[00:00:06.602 --> 00:00:08.624]  It's Monday, October 12th.
[00:09:32.145 --> 00:09:38.789]  Global bombshell, UN says COVID restrictions and lockdowns are killing millions, must stop.
[00:09:38.789 --> 00:09:43.752]  This all broke on Saturday at Infowars.com and GatewayPundit.com also broke it.
[00:09:43.752 --> 00:09:46.073]  And why is that important?
[00:09:46.073 --> 00:09:52.257]  Well, look at what just came out and what just broke.
[00:09:52.257 --> 00:09:54.418]  Today, Australian news.
[00:09:56.684 --> 00:09:58.605]  News.com.au.
[00:09:58.605 --> 00:09:59.645]  Coronavirus.
[00:09:59.645 --> 00:10:05.808]  WHO backflips on virus stance by condemning lockdowns.
[00:10:05.808 --> 00:10:07.949]  ABC News, Australia.
[00:10:07.949 --> 00:10:15.212]  WHO doctor says lockdowns should not be main coronavirus defense, killing millions worldwide.
[00:10:15.212 --> 00:10:24.996]  WHO Director General Special Envoy, that's the guy that communicates to the world for the UN on COVID-19 preparedness and response, came out, we played the video last night,
[00:10:26.886 --> 00:10:35.891]  On the Sunday Show, and said that it's causing more death than it's saving by orders of magnitude.
[00:10:35.891 --> 00:10:44.757]  Now I know you've heard this here 500 times, if not more, and I know you've looked at it yourself, I know you know that, but here's the good news.
[00:10:44.757 --> 00:10:53.422]  They're being forced to cover it now, because there's major resistance in Latin America and in Africa where they're really getting hit hard, and in poorer areas of Asia.
[00:10:54.642 --> 00:11:03.905]  And Eastern Europe, and people understand this is siege, this is blockade, and they understand that it's mass murder.
[00:11:03.905 --> 00:11:16.389]  So when a yuppie trendy is wearing their mask or telling you a lockdown needs to continue, just explain to them, hey, the hysteria and the chicken little fear mongering and the lockdown of the economy is killing the third world.
[00:11:16.389 --> 00:11:19.330]  When the first world has a depression, the third world dies.
[00:11:21.345 --> 00:11:23.006]  And a lot of people are cynical.
[00:11:23.006 --> 00:11:23.906]  A lot of leftist are.
[00:11:23.906 --> 00:11:29.150]  It's come out in studies that they're seven to nine times more likely to steal.
[00:11:29.150 --> 00:11:33.172]  Six to eight times more likely to actually be secretly racist.
[00:11:33.172 --> 00:11:34.713]  You know, five to nine times.
[00:11:34.713 --> 00:11:37.254]  They all vary.
[00:11:37.254 --> 00:11:41.397]  That they virtue signal that they're giving to charity, but don't give to charity.
[00:11:41.397 --> 00:11:46.479]  They come into any organization or group and start infighting and destroy it, claiming they care about everyone.
[00:11:46.479 --> 00:11:49.841]  They want power without actually doing any work.
[00:11:49.841 --> 00:11:50.542]  They're troublemakers.
[00:11:51.909 --> 00:11:54.153]  And so they're not even what you'd think of as a liberal.
[00:11:54.153 --> 00:11:55.515]  Thomas Jefferson was a liberal.
[00:11:55.515 --> 00:11:58.139]  He said, small government, rugged individualism.
[00:11:58.139 --> 00:12:04.490]  These people want government to micromanage every facet of your life and have you wear a bubble when you go outside and just engage in constant fraud.
[00:12:04.490 --> 00:12:05.551]  They're scammers.
[00:12:05.551 --> 00:12:06.172]  They're magicians.
[00:12:07.432 --> 00:12:08.373]  They're fraudsters.
[00:12:08.373 --> 00:12:14.516]  They're not a magician you pay at a dinner party to do some fun tricks with his lovely assistant, who's wearing fishnets.
[00:12:14.516 --> 00:12:23.581]  These are scammers that brainwash your children, take control of your society, and set up frauds, and then always set up new frauds on the problems they create.
[00:12:23.581 --> 00:12:30.265]  Problem, reaction, solution, the Hegelian dialectic.
[00:12:30.265 --> 00:12:32.346]  I went out many times the last few months.
[00:12:32.346 --> 00:12:34.147]  Many of you have seen the videos at BandOnVideo.
[00:12:34.943 --> 00:12:41.166]  We'll go to the local park, we'll go to downtown, and we'll show the trendies all staying six feet apart wearing their mask.
[00:12:41.166 --> 00:12:46.670]  And we point out, hey, this lockdown here, this chain reaction here, is causing mass death.
[00:12:46.670 --> 00:12:48.971]  And a lot of them say you're right and nod their heads.
[00:12:48.971 --> 00:12:50.672]  About a third of them or more flip us off.
[00:12:52.492 --> 00:12:54.493]  And they come over to me and say, you're a racist.
[00:12:54.493 --> 00:12:57.075]  I mean, it's on video at the park.
[00:12:57.075 --> 00:12:58.375]  Women go, F you racist.
[00:12:58.375 --> 00:13:00.276]  I'm like, Africa is starving.
[00:13:00.276 --> 00:13:02.017]  It's the main continent being hit.
[00:13:02.017 --> 00:13:03.858]  Two million have already starved to death.
[00:13:03.858 --> 00:13:05.419]  They're like, F you racist.
[00:13:05.419 --> 00:13:06.620]  And it's a bunch of white women.
[00:13:06.620 --> 00:13:08.341]  One of them was black.
[00:13:08.341 --> 00:13:10.242]  Like 10 women under a tree on a big blanket.
[00:13:11.155 --> 00:13:15.138]  They're all wearing masks, like they're Bane from Batman.
[00:13:15.138 --> 00:13:18.982]  And I hear them going, ah, shut up, racist, shut up, yeah.
[00:13:18.982 --> 00:13:24.166]  So I walk over politely and go, hey, it's Starving the Third World, can I show you on my phone?
[00:13:24.166 --> 00:13:25.387]  Get back!
[00:13:25.387 --> 00:13:26.829]  And they had their pepper spray because...
[00:13:28.035 --> 00:13:30.736]  To them, following mainstream media is virtue.
[00:13:30.736 --> 00:13:33.818]  They don't think, they just follow what the mainstream media says.
[00:13:33.818 --> 00:13:49.867]  But now the United Nations scientists themselves are saying vaccines don't work, vaccines are dangerous, the doctors don't believe in them, and we shouldn't have these lockdowns and shouldn't have all this garbage because it's actually not helping people.
[00:13:50.563 --> 00:13:52.064]  It's causing mass death.
[00:13:52.064 --> 00:13:53.465]  And I'm not lionizing the UN.
[00:13:53.465 --> 00:13:57.548]  It's a terrible group set up by the Rockefellers, set up by multinational corporations.
[00:13:57.548 --> 00:13:58.970]  It's international.
[00:13:58.970 --> 00:14:06.035]  Human Rights Board has got, you know, North Korea and... What is it?
[00:14:06.035 --> 00:14:09.318]  Qatar and Saudi Arabia on it.
[00:14:09.318 --> 00:14:11.059]  I mean, it's a joke, folks.
[00:14:11.059 --> 00:14:12.280]  Communist China is on their board.
[00:14:14.690 --> 00:14:18.391]  And so all of this is going on, and these people just want to feel good.
[00:14:18.391 --> 00:14:31.275]  Well, it's our job to not let them have the moral authority while they wear their masks, and while they keep businesses shut down, and while they don't want school to go back, and while they sue their employer because somebody got COVID in the office, but nobody even got sick, but they didn't shut the office down.
[00:14:31.275 --> 00:14:37.537]  You need to confront them that they're idiots that follow the Rockefeller head operative now.
[00:14:38.646 --> 00:14:39.847]  Bill Gates.
[00:14:39.847 --> 00:14:41.968]  He heads up the Rockefeller Foundation.
[00:14:41.968 --> 00:14:43.309]  That's who's really behind this.
[00:14:43.309 --> 00:14:44.910]  And the Cardi endowment.
[00:14:44.910 --> 00:14:50.313]  He gets all their money into his foundation for the takeover of world medicine.
[00:14:50.313 --> 00:15:04.281]  And you tell them, this is about Bill Gates setting a precedent to put things in my body and your body, and it's about a global reset to shut down the economy, to starve the third world, and then when the third world collapses, the UN weaponizes those groups and uses them to invade us.
[00:15:05.660 --> 00:15:11.023]  So even the average leftist that is a secret racist and wants to starve Africans to death.
[00:15:11.023 --> 00:15:13.804]  Hell, most leftists will tell you there's too many people and go, well yeah, we need to kill them.
[00:15:13.804 --> 00:15:19.527]  Oh, but we need to take them in then and put them on welfare so you can have them as a pet that you control.
[00:15:19.527 --> 00:15:20.307]  No, no.
[00:15:20.307 --> 00:15:26.291]  We need to build up Africa, build up every country with first world standards and then we'll turn it all into giant tourist spots.
[00:15:26.291 --> 00:15:28.191]  America will be a tourist spot for Africans.
[00:15:28.191 --> 00:15:30.493]  They'll be a tourist spot for us.
[00:15:30.493 --> 00:15:31.153]  That's what you do.
[00:15:31.153 --> 00:15:32.774]  Development, like Trump talks about,
[00:15:33.885 --> 00:15:37.746]  That cleans up the environment, lowers birth rates to two children for every two adults.
[00:15:37.746 --> 00:15:38.346]  That's the answer.
[00:15:38.346 --> 00:15:40.426]  But the globalists don't want a utopia.
[00:15:40.426 --> 00:15:42.307]  They want a dystopia.
[00:15:42.307 --> 00:15:51.189]  And it's up to us to recognize it and rebuke the snot-nosed, educated idiot, morons that are really eugenicists and don't even know it.
[00:15:51.189 --> 00:15:55.630]  But now the UN officially says that the COVID event is killing more people than COVID.
[00:15:57.387 --> 00:16:00.288]  2020ElectionCenter.com.
[00:16:00.288 --> 00:16:03.069]  Just type it in one time, and you've got it saved right there in your browser.
[00:16:03.069 --> 00:16:17.293]  And then you can share it on Twitter, Facebook, YouTube, Apple platforms, and most importantly, via text message, email, or by word of mouth, because they have banned the links to ban.video.
[00:16:17.293 --> 00:16:25.836]  But 2020ElectionCenter.com is a clone of the site, the exact same links, the exact same videos, where you can comment, you can share them, everything.
[00:16:25.836 --> 00:16:26.356]  The system,
[00:16:27.396 --> 00:16:28.317]  Oh, that really upsets him.
[00:16:28.317 --> 00:16:28.677]  Oh, yeah.
[00:16:57.366 --> 00:17:06.530]  The Bible talks about there being ten kings of the earth that sit above the nation states and who give their power unto the one world leader, the Antichrist.
[00:17:06.530 --> 00:17:14.074]  And he has a beast system that no one can buy or sell unless he has that mark in the forehead or in the palm of their hand.
[00:17:14.074 --> 00:17:21.257]  And we look back on all the warnings that were given and all just the common sense that you don't believe in God.
[00:17:21.977 --> 00:17:23.218]  We're prophecy.
[00:17:23.218 --> 00:17:33.225]  Giving governments and corporations the power to control who can buy and who can sell and to track everything we do is not just a recipe, it's a blueprint for total enslavement.
[00:17:33.225 --> 00:17:43.972]  And now you look at Bill Gates, you look at Bloomberg and others who openly say, we're technocrats, we should decide how much salt you get, how much alcohol you get, how much red meat you get.
[00:17:43.972 --> 00:17:45.373]  We're technocrats, we know best.
[00:17:45.373 --> 00:17:49.355]  We're now going to set up the economy with a social score to totally control you.
[00:17:49.355 --> 00:17:51.097]  You snap your fingers, we're here.
[00:17:51.957 --> 00:17:53.820]  They're just rolling it out.
[00:17:53.820 --> 00:17:55.141]  And a lot of people are complying with it.
[00:17:55.141 --> 00:17:59.627]  It's insane.
[00:17:59.627 --> 00:18:02.270]  You're listening to the Alex Jones Show.
[00:18:14.129 --> 00:18:27.575]  All right, ladies and gentlemen, again, super good news that the UN is being forced to cover their butt and say, OK, the lockdown's killing 10, 20, 30, 40 times what COVID is.
[00:18:27.575 --> 00:18:31.297]  It needs to stop all the social distancing, the end of the economy.
[00:18:31.297 --> 00:18:32.717]  It's causing a planetary collapse.
[00:18:32.717 --> 00:18:33.738]  It's going to flood the West.
[00:18:34.298 --> 00:18:39.422]  But of course, they've already triggered this, so now they want to act like they're fighting what they've already created.
[00:18:39.422 --> 00:18:44.947]  But at least we forced them, earlier than they would, to come out and say, end the lockdowns.
[00:18:44.947 --> 00:18:50.011]  Now their solutions are going to be implantable chips, forced inoculations, contact tracers, and tracking apps.
[00:18:50.011 --> 00:18:51.092]  That's all admitted.
[00:18:51.092 --> 00:18:53.253]  But first, we'll cover that next segment.
[00:18:53.253 --> 00:18:56.216]  Let's get into this powerful report that just went live by Greg Reese.
[00:18:57.591 --> 00:19:10.099]  Last month, the popular, internationally syndicated program, The Dr. Phil Show, delved into something that until recently hasn't even been on the pop culture radar, but is now one of the top trending issues in culture.
[00:19:10.099 --> 00:19:14.302]  The subject of adrenochrome.
[00:19:14.302 --> 00:19:22.688]  21 years ago, when I was investigating the secretive Bohemian Grove elite cult in Northern California... Midsummer sets us free!
[00:19:27.731 --> 00:19:30.074]  I became aware of adrenochrome.
[00:19:30.074 --> 00:19:37.242]  In my research, I noted that Hunter S. Thompson had written about it in his book, Fear and Loathing in Las Vegas.
[00:19:37.242 --> 00:19:43.610]  Two years ago, InfoWars investigative journalist Greg Reese did a five-minute detailed analysis of adrenochrome.
[00:19:43.610 --> 00:19:45.492]  Adrenochrome.
[00:19:45.492 --> 00:19:46.513]  Adrenochrome?
[00:19:46.513 --> 00:19:46.714]  Hmm.
[00:19:48.897 --> 00:20:05.881]  Anyone who's even done a cursory review of history knows that human sacrifice and the eating of organs to have a physical effect or get high happened in every ancient culture in Africa, in Asia, in what is the Middle East today, Europe, Mesoamerica.
[00:20:05.881 --> 00:20:16.763]  Every culture during different periods degenerated and established priest class who would actually carry out the orderly human sacrifice of, quote, virgins and children.
[00:20:17.779 --> 00:20:28.504]  The population's awakening to the grisly fact of adrenochrome is a red flag to the establishment that all of their satanic and dark occult practices are now being exposed.
[00:20:28.504 --> 00:20:36.107]  Mainstream media, the Democratic Party, make fun of anyone exposing giant child kidnapping rings that have been exposed.
[00:20:36.107 --> 00:20:47.072]  When the Associated Press came out two years ago and revealed thousands of Haitian children kidnapped by the UN, sex trafficked, and many of them murdered, the left again covered the story up and made jokes.
[00:20:48.160 --> 00:20:57.950]  Humanity is awakening to the secret priesthood that sees us as animals, as lower than animals in many cases, who see us as a commodity to be bought, sold, and traded.
[00:20:59.125 --> 00:21:01.626]  I want to believe that Dr. Phil is a good man.
[00:21:01.626 --> 00:21:14.994]  On the subject of adrenochrome and ritual satanism and black sabbaths that are part of the historical record, I would be more than happy to come on Dr. Phil's show anytime he'd like and or to give him information and other guests that can give him the facts and the reality.
[00:21:14.994 --> 00:21:18.816]  Because this subject isn't going away, it's just getting bigger as humanity awakens.
[00:21:18.816 --> 00:21:23.679]  Here is part of the Dr. Phil segment and then Greg Reese's original from two years ago.
[00:21:23.999 --> 00:21:28.002]  My investigation has revealed that this is all linked to a ritual.
[00:21:28.002 --> 00:21:33.545]  I believe somebody in an occult was drugging my daughter Jessie for a year before she went missing.
[00:21:33.545 --> 00:21:42.351]  I believe that she was killed June 20th, 2016 because it was a full moon and the summer solstice at the same time and then the next day was Lilith.
[00:21:42.351 --> 00:21:47.555]  Lilith is a holiday that the occult does celebrate and it requires a human sacrifice.
[00:21:48.152 --> 00:21:54.240]  I had a person say to me that if I looked around at the environment and looked at the seasons, I would see a pattern.
[00:21:54.240 --> 00:22:01.889]  And as I looked and did more research, realized that it was very specific and that people went missing on very specific days throughout the whole year.
[00:22:01.889 --> 00:22:05.433]  My mom thinks everything's connected to other missing persons cases.
[00:22:05.433 --> 00:22:06.475]  Like it's a big web.
[00:22:06.875 --> 00:22:12.460]  A lot of the times she'll say things like, I know I sound crazy, but it just started getting too out of control.
[00:22:12.460 --> 00:22:15.783]  I believe that Jesse was tortured for the drug adrenochrome.
[00:22:15.783 --> 00:22:24.171]  Adrenochrome is a chemical that our body produces when we are extremely fearful or have a lot of distress.
[00:22:24.171 --> 00:22:25.932]  It's a strength that gives you vitality.
[00:22:26.949 --> 00:22:30.250]  And the people that killed Jessie are harvesting that from other people.
[00:22:30.250 --> 00:22:32.751]  And when you drink it, it gives you euphoria and power.
[00:22:32.751 --> 00:22:37.212]  A gang member told me later that he had a video of her death.
[00:22:37.212 --> 00:22:44.974]  He told me that Jessie had been killed, that her body had been put into a barrel and set on fire.
[00:22:44.974 --> 00:22:47.215]  The police do have a part of that video.
[00:22:47.215 --> 00:22:52.996]  I believe that the police are protecting her killer.
[00:22:52.996 --> 00:22:54.857]  Adrenochrome.
[00:22:54.857 --> 00:22:55.897]  Adrenochrome?
[00:22:55.897 --> 00:22:56.037]  Hmm.
[00:22:58.361 --> 00:23:10.247]  Adrenochrome first hit pop culture in 1971, when gonzo journalist Hunter S. Thompson wrote about it in his book, Fear and Loathing in Las Vegas.
[00:23:10.247 --> 00:23:18.952]  He wrote that his lawyer, Oscar Acosta, was defending a Satanist who was charged with molesting a child.
[00:23:18.952 --> 00:23:22.254]  The Satanist client paid his lawyer with adrenochrome.
[00:23:24.304 --> 00:23:31.430]  And claim the only source was the adrenaline glands from a living human body.
[00:23:31.430 --> 00:23:43.200]  If you search Google for adrenochrome, the Google-supported result is from the conspiracy wiki, which suggests that it is all merely fantasy.
[00:23:43.200 --> 00:23:47.023]  But just to the right, you will find that adrenochrome is real.
[00:23:48.311 --> 00:23:57.313]  According to scientific research, adrenochrome is formed by the oxidation of its precursor, adrenaline.
[00:23:57.313 --> 00:24:05.496]  Adrenaline is the active hormone from the adrenal medulla, otherwise known as epinephrine.
[00:24:05.496 --> 00:24:09.777]  Epipens are auto-injectors that contain synthetic adrenaline.
[00:24:11.488 --> 00:24:22.552]  Developed by the US military to protect soldiers in the event of chemical warfare, EpiPens are used to treat extreme allergic reactions.
[00:24:22.552 --> 00:24:27.134]  EpiPens only have a shelf life of about 18 months.
[00:24:27.134 --> 00:24:36.697]  According to the manufacturer, after 18 months, the oxidation process begins and the EpiPens are turned into adrenochrome.
[00:24:39.855 --> 00:24:52.778]  Interestingly, both companies that manufacture the EpiPen, Mylon and Kaleo, are connected to the Clinton Foundation.
[00:24:52.778 --> 00:25:02.181]  Ambrosia, a controversial new startup company, was recently charging $8,000 to fill your veins with the blood of young people.
[00:25:03.860 --> 00:25:17.230]  Founder and CEO, Dr. Jesse Karmazin, who claims it will give you superhuman powers, has recently ceased patient treatments due to a recent FDA warning.
[00:25:17.230 --> 00:25:28.939]  In Greek mythology, ambrosia means immortality and was the food of the gods that gave longevity or immortality to whoever consumed it.
[00:25:28.939 --> 00:25:33.082]  It is believed by many researchers to represent the blood of the young.
[00:25:35.339 --> 00:25:44.281]  The cosmetic industry has been using aborted fetal tissues in various anti-aging skincare products.
[00:25:44.281 --> 00:25:51.283]  The taboo culture of consuming the young seems to go back through all of human history.
[00:25:51.283 --> 00:25:54.524]  But now, it seems to be coming out into the open.
[00:25:56.567 --> 00:25:59.931]  Democrats are pushing for full-term abortions.
