[00:00:46.659 --> 00:00:47.123]  Yeah!
[00:04:07.312 --> 00:04:10.453]  So I salute you, and America salutes you,
[00:04:11.812 --> 00:04:14.514]  And our incredible president needs our support.
[00:04:14.974 --> 00:04:15.894]  People need to go to D.C.
[00:04:15.934 --> 00:04:16.935]  and surround the White House.
[00:04:17.615 --> 00:04:27.061]  The next thing is, the communists funded by Soros and other Nazi collaborators like Soros are saying they're going to attack the White House in the next few days.
[00:04:28.338 --> 00:04:31.339]  Olbermann has called for the murder of the President.
[00:04:31.679 --> 00:04:37.082]  They're censoring all patriots on the Internet while letting Democrats call for mass murder.
[00:04:37.742 --> 00:04:42.984]  So everyone who can needs to go and surround the White House and support the President.
[00:04:43.504 --> 00:04:45.365]  I'm going to be going to Washington D.C.
[00:04:45.425 --> 00:04:49.407]  next to defend the President and to surround the White House myself.
[00:04:49.787 --> 00:04:55.489]  And I want to ask all of America to act like these great Arizonans and Georgians and Pennsylvanians
[00:05:00.996 --> 00:05:02.677]  I'll be going to Washington, D.C.
[00:05:03.097 --> 00:05:04.437]  in the next 48 hours.
[00:05:04.938 --> 00:05:08.999]  They'll be launching their attacks this weekend, Antifa and BLM.
[00:05:09.500 --> 00:05:11.220]  Join me, America!
[00:05:11.280 --> 00:05:12.081]  Join Trump!
[00:05:12.581 --> 00:05:16.963]  And let Trump know he backed in and he will not concede to this fraud!
[00:05:17.283 --> 00:05:20.704]  He will not concede to the Communist Chinese agent Joe Biden!
[00:05:20.844 --> 00:05:25.846]  And if they wanted to fight, they have summoned to fight!
[00:05:26.186 --> 00:05:27.867]  They have summoned the Kraken!
[00:05:28.556 --> 00:05:33.419]  America is rising and we will defeat the globalists!
[00:05:33.819 --> 00:05:34.820]  Fuck Bill Gates!
[00:05:35.380 --> 00:05:36.501]  Fuck Bill Gates!
[00:05:36.521 --> 00:05:38.042]  Arrest Bill Gates!
[00:05:38.622 --> 00:05:39.523]  Arrest Bill Gates!
[00:05:58.564 --> 00:05:59.825]  Arrest Joe Biden!
[00:06:00.605 --> 00:06:01.905]  Arrest Joe Biden!
[00:06:02.246 --> 00:06:03.546]  Arrest Joe Biden!
[00:06:03.906 --> 00:06:05.187]  Arrest Joe Biden!
[00:06:05.487 --> 00:06:06.707]  Arrest Joe Biden!
[00:06:07.068 --> 00:06:08.348]  Arrest Joe Biden!
[00:06:08.588 --> 00:06:09.749]  Arrest Joe Biden!
[00:06:09.769 --> 00:06:11.329]  Arrest Joe Biden!
[00:06:11.689 --> 00:06:13.150]  Arrest Joe Biden!
[00:06:13.190 --> 00:06:19.072]  The Chinese people need to take their country back, and they need to get that mass murder of Xi Jinping and string his ass up!
[00:06:19.092 --> 00:06:25.455]  I want the Communist Chinese to be overthrown by their people, and the good Chinese people
[00:06:26.169 --> 00:06:26.970]  We're good to go.
[00:06:58.354 --> 00:06:58.734]  We are free!
[00:06:58.754 --> 00:06:59.495]  We are free!
[00:06:59.515 --> 00:06:59.895]  We are free!
[00:07:23.700 --> 00:07:24.701]  We are free!
[00:07:25.041 --> 00:07:26.062]  We are free!
[00:07:26.122 --> 00:07:27.423]  We are free!
[00:07:27.843 --> 00:07:28.783]  We are free!
[00:07:29.004 --> 00:07:30.685]  And we are a nation-state.
[00:07:30.725 --> 00:07:32.266]  We are a nationalist system.
[00:07:32.466 --> 00:07:38.490]  We are a people together under our American values, not under communist China, not under the UN, not under the U.S.
[00:07:38.530 --> 00:07:38.750]  border.
[00:07:38.790 --> 00:07:39.911]  We are USA!
[00:07:39.931 --> 00:07:40.171]  USA!
[00:07:40.211 --> 00:07:40.311]  USA!
[00:07:40.331 --> 00:07:40.391]  USA!
[00:07:50.501 --> 00:07:51.001]  USA!
[00:07:51.202 --> 00:07:51.362]  USA!
[00:07:51.802 --> 00:07:52.322]  USA!
[00:07:52.362 --> 00:07:57.526]  Can you order the woman or the man, whoever's got the God Wins, alright?
[00:07:57.546 --> 00:07:58.286]  So they come forward.
[00:07:59.046 --> 00:08:00.627]  Please knock out God Wins, bring it forward.
[00:08:02.409 --> 00:08:04.010]  This is Bill Gates ain't God!
[00:08:05.411 --> 00:08:07.092]  Joe Biden ain't God!
[00:08:07.152 --> 00:08:09.533]  Donald Trump's not God!
[00:08:09.553 --> 00:08:10.114]  PPP's not God!
[00:08:10.514 --> 00:08:11.474]  God is God!
[00:08:11.675 --> 00:08:12.615]  This is it right here!
[00:08:12.635 --> 00:08:12.975]  God Wins!
[00:08:19.667 --> 00:08:19.967]  God wins!
[00:08:20.007 --> 00:08:20.227]  God wins!
[00:08:20.247 --> 00:08:20.648]  God wins!
[00:08:20.708 --> 00:08:21.048]  God wins!
[00:08:21.068 --> 00:08:21.569]  God wins!
[00:08:21.589 --> 00:08:21.769]  God wins!
[00:08:21.789 --> 00:08:22.249]  God wins!
[00:08:22.549 --> 00:08:22.870]  God wins!
[00:08:22.910 --> 00:08:23.350]  God wins!
[00:08:23.650 --> 00:08:23.930]  God wins!
[00:08:23.950 --> 00:08:24.431]  God wins!
[00:08:24.731 --> 00:08:25.051]  God wins!
[00:08:25.071 --> 00:08:25.412]  God wins!
[00:08:25.432 --> 00:08:25.932]  God wins!
[00:08:25.952 --> 00:08:26.232]  God wins!
[00:08:26.312 --> 00:08:26.633]  God wins!
[00:08:26.893 --> 00:08:27.173]  God wins!
[00:08:27.193 --> 00:08:27.633]  God wins!
[00:08:27.653 --> 00:08:27.954]  God wins!
[00:08:28.014 --> 00:08:28.414]  God wins!
[00:08:28.434 --> 00:08:28.614]  God wins!
[00:08:28.674 --> 00:08:28.874]  God wins!
[00:08:28.914 --> 00:08:29.075]  God wins!
[00:08:29.095 --> 00:08:29.295]  God wins!
[00:08:29.315 --> 00:08:29.575]  God wins!
[00:08:29.615 --> 00:08:29.995]  God wins!
[00:08:30.015 --> 00:08:30.336]  God wins!
[00:08:30.376 --> 00:08:30.636]  God wins!
[00:08:30.656 --> 00:08:30.816]  God wins!
[00:08:30.836 --> 00:08:31.196]  God wins!
[00:08:31.216 --> 00:08:31.436]  God wins!
[00:08:31.457 --> 00:08:31.817]  God wins!
[00:08:31.837 --> 00:08:32.137]  God wins!
[00:08:32.157 --> 00:08:32.457]  God wins!
[00:08:32.477 --> 00:08:32.698]  God wins!
[00:08:32.718 --> 00:08:32.998]  God wins!
[00:08:33.058 --> 00:08:33.398]  God wins!
[00:08:33.418 --> 00:08:33.678]  God wins!
[00:08:33.718 --> 00:08:34.119]  God wins!
[00:08:34.139 --> 00:08:34.659]  God wins!
[00:08:34.699 --> 00:08:34.939]  God wins!
[00:08:34.979 --> 00:08:35.280]  God wins!
[00:08:35.380 --> 00:08:35.560]  God wins!
[00:08:35.620 --> 00:08:35.940]  God wins!
[00:08:35.960 --> 00:08:36.841]  God wins!
[00:08:36.901 --> 00:08:37.121]  God wins!
[00:08:37.181 --> 00:08:37.441]  God wins!
[00:08:37.481 --> 00:08:37.962]  God wins!
[00:08:38.282 --> 00:08:38.762]  God wins!
[00:08:38.802 --> 00:08:39.063]  God wins!
[00:08:39.083 --> 00:08:39.523]  God wins!
[00:08:39.543 --> 00:08:39.863]  God wins!
[00:08:40.244 --> 00:08:40.544]  God wins!
[00:08:40.584 --> 00:08:40.784]  God wins!
[00:08:40.804 --> 00:08:40.964]  God wins!
[00:08:40.984 --> 00:08:41.184]  God wins!
[00:08:41.204 --> 00:08:41.625]  God wins!
[00:08:41.645 --> 00:08:41.825]  God wins!
[00:08:41.845 --> 00:08:42.105]  God wins!
[00:08:42.205 --> 00:08:42.425]  God wins!
[00:08:42.465 --> 00:08:42.706]  God wins!
[00:08:42.746 --> 00:08:43.126]  God wins!
[00:08:43.666 --> 00:08:44.207]  God wins!
[00:08:44.227 --> 00:08:44.567]  God wins!
[00:08:44.627 --> 00:08:44.867]  God wins!
[00:08:44.927 --> 00:08:45.768]  God wins!
[00:08:45.788 --> 00:08:46.248]  God wins!
[00:08:46.288 --> 00:08:46.669]  God wins!
[00:08:46.689 --> 00:08:46.889]  God wins!
[00:08:46.949 --> 00:08:47.770]  God wins!
[00:08:47.790 --> 00:08:48.130]  God wins!
[00:08:48.170 --> 00:08:48.410]  God wins!
[00:08:48.470 --> 00:08:48.690]  God wins!
[00:08:48.710 --> 00:08:48.931]  God wins!
[00:08:48.951 --> 00:08:49.291]  God wins
[00:08:49.944 --> 00:08:51.225]  Soros burn in hell!
[00:08:51.805 --> 00:08:53.086]  Soros burn in hell!
[00:08:53.506 --> 00:08:55.388]  Pelosi burn in hell!
[00:08:55.408 --> 00:08:57.629]  Pelosi burn in hell!
[00:08:58.229 --> 00:08:59.910]  Pelosi burn in hell!
[00:09:00.471 --> 00:09:01.992]  Pelosi burn in hell!
[00:09:05.587 --> 00:09:08.949]  You guys, this started with us.
[00:09:09.189 --> 00:09:12.012]  We put a call to action out, and you guys showed up.
[00:09:12.412 --> 00:09:13.032]  Wednesday.
[00:09:13.453 --> 00:09:14.613]  Wednesday.
[00:09:14.633 --> 00:09:15.754]  All right?
[00:09:16.134 --> 00:09:18.096]  All of our platforms have been deactivated.
[00:09:18.456 --> 00:09:20.377]  We have no more social media.
[00:09:20.958 --> 00:09:22.239]  They are afraid of us.
[00:09:22.359 --> 00:09:27.743]  When your car is getting taken over, they cut the transmission lines.
[00:09:28.584 --> 00:09:32.065]  You know, it's like an alien, when they're about to attack, they go, what do you mean they cut the power?
[00:09:32.365 --> 00:09:33.866]  Dude, we're being taken over.
[00:09:34.106 --> 00:09:37.227]  But as long as we recognize it, this could totally flip on the enemy.
[00:09:37.587 --> 00:09:41.809]  We are here and are now, guys.
[00:09:41.849 --> 00:09:43.049]  We are here.
[00:09:43.489 --> 00:09:44.090]  We are here.
[00:09:44.130 --> 00:09:44.950]  What are we going to do?
[00:09:45.370 --> 00:09:46.511]  We're not going to back down.
[00:09:46.771 --> 00:09:48.691]  We're not going to turn our back.
[00:09:48.811 --> 00:09:55.454]  And under the cover of darkness, let these commies take our state, take our children, and take our freedom.
[00:09:58.219 --> 00:10:01.361]  I just want to say something right now.
[00:10:02.242 --> 00:10:09.187]  Whether it takes a month, whether it takes a year or a hundred years, we're never giving up, we're never backing down, we're never giving in.
[00:10:09.488 --> 00:10:12.330]  The globalists are scared of us.
[00:10:12.530 --> 00:10:15.252]  All over the world, Bolsonaro, so many others are getting elected.
[00:10:15.979 --> 00:10:19.720]  Nationalism and patriotism and love of God and family and country is exploding.
[00:10:20.020 --> 00:10:21.681]  The enemy is in trouble!
[00:10:22.141 --> 00:10:25.542]  They have to extinguish the American system because it threatens their system.
[00:10:25.842 --> 00:10:28.503]  We will defeat the authoritarians and their minions.
[00:10:28.723 --> 00:10:32.364]  We are strong and we are dug in and we're never backing down.
[00:10:36.505 --> 00:10:37.125]  Absolutely.
[00:10:37.665 --> 00:10:39.286]  They stole this in front of everybody.
[00:10:39.566 --> 00:10:40.986]  Now Trump's going to fight it in the courts.
[00:10:41.446 --> 00:10:43.247]  They did it right in front of God and country.
[00:10:44.423 --> 00:10:45.964]  It's a major miscalculation.
[00:10:46.525 --> 00:10:48.066]  But they are now, and they're successful.
[00:10:48.086 --> 00:10:49.207]  We're going to come after everybody.
[00:10:49.527 --> 00:10:50.487]  That's what we've got to realize.
[00:10:50.688 --> 00:10:51.728]  The real fight's coming.
[00:10:52.129 --> 00:10:53.049]  Get ready for the fight.
[00:10:53.390 --> 00:10:55.771]  And we're going to take humanity back together.
[00:10:56.352 --> 00:11:00.375]  Because they're going to give us a 1984 system.
[00:11:00.855 --> 00:11:01.956]  Well, what counters 1984?
[00:11:02.076 --> 00:11:02.276]  It is 1776!
[00:11:02.316 --> 00:11:02.276]  1776!
[00:11:02.396 --> 00:11:02.276]  1776!
[00:11:02.416 --> 00:11:02.276]  1776! 1776!
[00:11:15.525 --> 00:11:35.511]  I was in the Queen Creek University location, and it was my pens that they were jerking out of people's hands, all the voters, and telling them if they didn't vote with Sharpies, that their vote wouldn't count.
[00:11:36.311 --> 00:11:52.077]  And this was happening all over, and it was my handing out pins to these voters that caused them to call the cops on me to tell me I had to get out of there, that my constitutional rights to hand out these pins and lines, they were just plain big pins.
[00:11:52.097 --> 00:11:55.419]  They didn't even have an associated party on them.
[00:11:55.539 --> 00:12:04.222]  They were trying to jerk them out of people's hands at the polls while they were inside their queue and while they were actually voting.
[00:12:04.842 --> 00:12:06.102]  This is not okay!
[00:12:07.083 --> 00:12:11.443]  Also, Fontaine's hat on his website in 2019, do not use sharpies!
[00:12:11.843 --> 00:12:22.926]  Listen everybody, my name is Andrew Tupolsky, and if you hear my last name, it's Polish.
[00:12:23.586 --> 00:12:27.147]  I'm first born on this soil, okay?
[00:12:27.427 --> 00:12:33.448]  My grandfather was in a concentration camp, and I'm only here because
[00:12:34.830 --> 00:12:36.301]  They ran from the Nazis!
[00:12:37.046 --> 00:12:37.366]  Right.
[00:12:37.406 --> 00:12:40.847]  They had every bit of freedom stolen from them.
[00:12:41.167 --> 00:12:44.307]  My family actually has mansions in Poland.
[00:12:44.947 --> 00:12:45.307]  All right.
[00:12:45.548 --> 00:12:48.248]  So do not believe the lies.
[00:12:48.308 --> 00:12:49.808]  The lies are so evil.
[00:12:50.188 --> 00:12:58.030]  And Alex, I promise you, I was in real estate and everything in the last eight months has changed.
[00:12:58.730 --> 00:13:01.170]  I don't care about any of that anymore.
[00:13:01.470 --> 00:13:02.971]  I care about all of you.
[00:13:04.011 --> 00:13:05.531]  I care about America.
[00:13:06.912 --> 00:13:11.535]  That is gonna be my fight for the rest of my life.
[00:13:11.775 --> 00:13:15.078]  Alright, thank you, and I love you, man.
[00:13:15.158 --> 00:13:20.081]  I just wanted to say thank you, Alex Jones, for coming out and showing your support here in Arizona.
[00:13:20.101 --> 00:13:20.982]  We love you here, man.
[00:13:21.282 --> 00:13:24.704]  Alex has been fighting on the front lines for decades, you guys.
[00:13:25.004 --> 00:13:28.407]  Let me tell you, when you take on these globalists, they give you so much shit.
[00:13:28.447 --> 00:13:29.567]  They try to ruin your life.
[00:13:29.868 --> 00:13:31.829]  This guy is a warrior.
[00:13:31.849 --> 00:13:33.490]  Let's give it up for Alex Jones!
[00:13:36.536 --> 00:13:39.398]  Well, you know, they keep asking, like, this media, like, where's the proof of fraud?
[00:13:39.618 --> 00:13:41.040]  They violated the laws in Michigan.
[00:13:41.060 --> 00:13:43.982]  They violated the laws in Pennsylvania, in Georgia.
[00:13:44.142 --> 00:13:47.585]  And then they froze everything and then brought in all these extra ballots later.
[00:13:47.745 --> 00:13:48.806]  It's a massive scam.
[00:13:48.986 --> 00:13:50.367]  That's why they launched the COVID scam.
[00:13:50.387 --> 00:13:52.168]  That's why they did it all.
[00:13:52.248 --> 00:13:53.669]  And it's just absolutely out of control.
[00:13:53.709 --> 00:13:54.450]  It's dangerous.
[00:13:54.610 --> 00:13:59.274]  Dad, listen, when they fine $70,000 for Biden and not a single one for Trump, that's democracy.
[00:13:59.574 --> 00:14:01.996]  That's how democracy works, OK?
[00:14:02.036 --> 00:14:02.977]  It's all impossible.
[00:14:03.917 --> 00:14:05.519]  It's all a giant, giant scam.
[00:14:06.462 --> 00:14:07.703]  But America and the world's waking up.
[00:14:07.723 --> 00:14:10.344]  We don't want to be a colony of the globalists.
[00:14:10.364 --> 00:14:12.045]  That's who's doing this, is the globalists.
[00:14:12.065 --> 00:14:13.246]  They're splitting all the other countries.
[00:14:13.266 --> 00:14:14.547]  Now they're going to use those systems on us.
[00:14:14.627 --> 00:14:18.309]  So what brought you out here today?
[00:14:18.349 --> 00:14:19.290]  Support the President.
[00:14:19.510 --> 00:14:21.591]  Get the legal votes counted.
[00:14:22.872 --> 00:14:23.672]  Stop the steal.
[00:14:23.692 --> 00:14:26.714]  Fight for America.
[00:14:26.734 --> 00:14:27.275]  This is it.
[00:14:27.355 --> 00:14:30.737]  If it doesn't happen today, or it doesn't happen now, it's not going to happen.
[00:14:30.757 --> 00:14:33.678]  Do you believe 70 million people voted for Joe Biden?
[00:14:33.739 --> 00:14:34.559]  Hell no.
[00:14:35.039 --> 00:14:35.780]  Not a chance.
[00:14:37.989 --> 00:14:39.390]  The corruption is obscene.
[00:14:39.770 --> 00:14:40.711]  It needs to stop.
[00:14:40.791 --> 00:14:45.634]  And I think Trump, if we get this stopped, we're going to clean this mess up.
[00:14:45.674 --> 00:14:47.235]  And we've got a lot of work to do.
[00:14:47.255 --> 00:14:53.198]  The globalists have run amok in this country, and they are embedded deep.
[00:14:53.499 --> 00:14:55.700]  And it's going to take a hell of an effort to carve them out.
[00:14:58.766 --> 00:14:59.567]  I think so, too.
[00:14:59.607 --> 00:15:00.848]  You know, I really do.
[00:15:00.888 --> 00:15:02.810]  I think it needs to be rammed down.
[00:15:02.850 --> 00:15:06.995]  People need to wake up to the fact that these elections need to be fair.
[00:15:07.035 --> 00:15:11.660]  And I strongly suspect we haven't had a fair election in this country in at least 20 years.
[00:15:14.002 --> 00:15:15.544]  This state is not blue.
[00:15:15.804 --> 00:15:17.005]  There is not a chance.
[00:15:17.145 --> 00:15:18.587]  And you can't sell that to me.
[00:15:18.647 --> 00:15:19.408]  I've been here since 1984.
[00:15:22.646 --> 00:15:26.229]  I moved here from New York a long time ago and this state is nothing like that.
[00:15:26.389 --> 00:15:27.390]  I escaped from New York.
[00:15:27.450 --> 00:15:28.471]  I'm happy to be here.
[00:15:28.531 --> 00:15:29.331]  I love this state.
[00:15:29.652 --> 00:15:30.232]  This is home.
[00:15:30.953 --> 00:15:41.561]  And there is no way that this has the liberal attitudes and belief system that exists on the East Coast and the Northeast.
[00:15:42.662 --> 00:15:44.223]  This is an independent state.
[00:15:44.344 --> 00:15:45.124]  Always has been.
[00:15:45.144 --> 00:15:47.006]  The Second Amendment is
[00:15:49.022 --> 00:15:53.525]  It's part of our heritage in this state.
[00:15:54.246 --> 00:15:55.367]  Proud to be in Arizona.
[00:15:56.607 --> 00:15:57.748]  We've got to clean this up.
[00:15:58.209 --> 00:15:59.069]  It's going to start here.
[00:15:59.089 --> 00:16:00.450]  It's going to start here.
[00:16:08.858 --> 00:16:15.041]  Alex, I've been watching you since 2008.
[00:16:15.201 --> 00:16:20.023]  You fucking woke me up.
[00:16:20.223 --> 00:16:22.784]  I love you, brother.
[00:16:22.984 --> 00:16:27.386]  I love you, motherfucker.
[00:16:27.446 --> 00:16:28.927]  Thank you.
[00:16:29.247 --> 00:16:30.507]  I love you, Alex.
[00:16:44.716 --> 00:16:48.759]  The globalist attempt to steal this will be their undoing!
[00:16:49.640 --> 00:16:52.422]  Humanity will defeat the globalists!
[00:16:53.002 --> 00:16:54.723]  And I salute all of you!
[00:16:54.743 --> 00:16:55.784]  And I salute Arizona!
[00:16:55.824 --> 00:16:57.646]  And I salute President Trump!
[00:16:58.086 --> 00:16:59.587]  Pray for Trump!
[00:16:59.687 --> 00:17:01.709]  Pray for Trump!
[00:17:01.789 --> 00:17:03.190]  Pray for Trump!
[00:17:03.210 --> 00:17:04.070]  Pray for Trump!
[00:17:04.571 --> 00:17:05.552]  Pray for Trump!
[00:17:14.335 --> 00:17:19.339]  I get asked all the time by listeners and by the media, what am I most proud of when it comes to the show?
[00:17:19.499 --> 00:17:36.534]  And it's the fact that Infowars, more than 25 years ago, doing basic research with what the Club of Rome and the CFR and others were actually saying, developed the hypothesis that communist China had been set up to take our jobs and transfer them to China and then make us economically destitute and position us into debt.
[00:17:37.094 --> 00:17:38.315]  Well, now China owns the debt.
[00:17:38.355 --> 00:17:41.118]  Now China owns Hollywood, all the one-sided trading deals.
[00:17:41.838 --> 00:17:46.000]  It turns out our analysis was absolutely dead on, but again, it wasn't that hard.
[00:17:46.020 --> 00:17:52.063]  The CFR and others admitted what they were doing, but still others didn't want to focus on that issue.
[00:17:52.103 --> 00:17:56.164]  We did, and you focused on it by supporting us and InfoWars.
[00:17:56.625 --> 00:18:07.369]  So when you go to InfoWarsStore.com and get all the great supplements, books, t-shirts, films, water filtration, air filtration, all of it, you're funding the organization that literally helped make up the world what's really happening.
[00:18:07.710 --> 00:18:09.230]  So that's a big accomplishment for all of you.
[00:18:09.490 --> 00:18:10.511]  I want to thank you for your support.
