[00:00:02.431 --> 00:00:04.673]  January 21st, 2020.
[00:09:05.651 --> 00:09:08.972]  And you can still see it in their URL.
[00:09:08.972 --> 00:09:11.513]  Because they were the ones who were stoking the fear.
[00:09:11.513 --> 00:09:12.233]  Unnecessarily.
[00:09:12.233 --> 00:09:15.834]  So we're going to talk about that, but first I want to talk about what President Trump is doing today.
[00:09:18.144 --> 00:09:31.456]  He's right now, he's in Davos and he has spoken to the group there on the main stage while Greta Thunberg spoke before and after as a bookend.
[00:09:31.456 --> 00:09:43.886]  Now what President Trump said on the main stage as she scorned, scornfully looked on, he said, we must reject the perennial prophets of doom and their predictions of the apocalypse.
[00:09:43.886 --> 00:09:45.388]  They are false prophets.
[00:09:46.758 --> 00:09:52.860]  Seems to me like I remember something in the Mosaic Law about what you do to false prophets.
[00:09:52.860 --> 00:09:58.462]  I don't know how many decades a false prophet gets to false prophesy.
[00:09:58.462 --> 00:09:59.862]  President Trump laid it out.
[00:09:59.862 --> 00:10:04.304]  He said they are the heirs of yesterday's fortune tellers.
[00:10:05.433 --> 00:10:06.314]  Soothsayers.
[00:10:06.314 --> 00:10:07.977]  Astrologers.
[00:10:07.977 --> 00:10:16.708]  They predicted an overpopulation crisis in the 60s, mass starvation in the 70s, and an end of oil in the 90s.
[00:10:16.708 --> 00:10:20.013]  Well, President Trump got that exactly right, except for the last thing.
[00:10:21.001 --> 00:10:23.262]  I've got to say, he got that wrong.
[00:10:23.262 --> 00:10:24.423]  It was actually 1979.
[00:10:24.423 --> 00:10:27.064]  I've got the magazines.
[00:10:27.064 --> 00:10:30.325]  I bring them out on a regular basis to show people on my show in the morning.
[00:10:30.325 --> 00:10:32.126]  Here's Newsweek, July 16, 1979.
[00:10:32.126 --> 00:10:36.568]  The Energy Crisis, a program for the 80s.
[00:10:36.568 --> 00:10:41.530]  And if you look at this, show this guys, we've got a program for the 80s.
[00:10:41.530 --> 00:10:45.752]  You can see the gas pump there, overgrown with kudzu or whatever it is.
[00:10:45.752 --> 00:10:47.793]  But here's the key thing, this graphic over here.
[00:10:48.773 --> 00:10:50.814]  Why we must act now.
[00:10:50.814 --> 00:10:54.315]  We've got 8.7 years of crude oil left, they said in 1979.
[00:10:54.315 --> 00:10:55.156]  Only 8.7, middle of the 1980s.
[00:10:55.156 --> 00:10:58.457]  They have 10.7 years of natural gas left, but they've got 666 years of coal.
[00:10:58.457 --> 00:10:59.818]  Where'd they get that 666?
[00:10:59.818 --> 00:11:00.258]  I don't know.
[00:11:10.618 --> 00:11:14.300]  Anyway, we were going to be out of crude oil by the middle of the 80s.
[00:11:14.300 --> 00:11:17.562]  By 1990, we were going to be out of natural gas.
[00:11:17.562 --> 00:11:21.824]  And the concern at the time was that we had to have energy.
[00:11:21.824 --> 00:11:26.166]  Now, the totalitarians don't want us to have energy.
[00:11:26.166 --> 00:11:27.346]  They want you to starve.
[00:11:27.346 --> 00:11:28.567]  They want to take away your food.
[00:11:28.567 --> 00:11:30.388]  They want to take away your car, your home.
[00:11:30.388 --> 00:11:37.952]  That's the program from every one of these Democrats, as they are competing with each other to hand out free money.
[00:11:37.952 --> 00:11:39.733]  I mean, literally handing out free money.
[00:11:40.603 --> 00:11:43.425]  They don't even try to hide it anymore.
[00:11:43.425 --> 00:11:45.567]  You know, back in the 20s and 30s, H.L.
[00:11:45.567 --> 00:11:48.489]  Meakin said an election is an advanced auction of stolen goods.
[00:11:48.489 --> 00:11:51.552]  They're not even trying to hide that anymore.
[00:11:51.552 --> 00:11:52.973]  It's right out front.
[00:11:52.973 --> 00:11:54.634]  They're auctioning it off.
[00:11:54.634 --> 00:11:58.918]  Elizabeth Warren, $50,000 to everybody with a college loan.
[00:11:58.918 --> 00:12:01.700]  And I don't even have to get Congress to come in.
[00:12:01.700 --> 00:12:03.442]  I can do this through an executive order.
[00:12:04.531 --> 00:12:07.234]  I don't know what she thinks gives her that authority.
[00:12:07.234 --> 00:12:11.238]  It certainly isn't in the Constitution, 9th and 10th Amendment make that pretty clear.
[00:12:11.238 --> 00:12:18.265]  But President Trump goes on, he says, these alarmists always demand the same thing.
[00:12:18.265 --> 00:12:24.292]  Absolute power to dominate, to transform and control every aspect of our life.
[00:12:24.292 --> 00:12:27.155]  That's why I said yesterday they are totalitarians.
[00:12:28.240 --> 00:12:32.002]  The key aspect of totalitarianism has two components.
[00:12:32.002 --> 00:12:35.844]  Number one, no restrictions on central power.
[00:12:35.844 --> 00:12:38.586]  That is one of the reasons why I voted for President Trump.
[00:12:38.586 --> 00:12:42.788]  Because I knew that he was going to push back against the people in Washington.
[00:12:42.788 --> 00:12:47.550]  And boy, that is the point where the friction has begun.
[00:12:47.550 --> 00:12:50.272]  But first of all, no restrictions on central power.
[00:12:51.556 --> 00:13:00.259]  And the second thing is that they control every aspect of our lives, every detail of our lives, under their control, and everything in Washington.
[00:13:00.259 --> 00:13:09.442]  As I've said, remember when we were young, some of us, used to hear the expression, hey it's a free country, isn't it?
[00:13:09.442 --> 00:13:11.323]  And why are you making a federal case out of this?
[00:13:11.323 --> 00:13:16.605]  Well now everything is a federal case, and literally a federal case, because not only has all power
[00:13:17.512 --> 00:13:22.999]  Gone to Washington, which was the nightmare scenario of the founders of this country.
[00:13:22.999 --> 00:13:29.968]  They talked about consolidation and how they did not want to have what we call it centralization of power, central control.
[00:13:29.968 --> 00:13:32.191]  But they talked about it as consolidation.
[00:13:32.191 --> 00:13:35.435]  And so they made sure that with the 9th and 10th Amendment,
[00:13:36.027 --> 00:13:44.930]  That you had power, made it very clear that if the central government has not been specifically given these, any powers, they do not have them.
[00:13:44.930 --> 00:13:46.550]  They cannot assume them.
[00:13:46.550 --> 00:13:50.671]  By using something like the General Welfare Clause, or the Commerce Clause, or something like that.
[00:13:50.671 --> 00:13:51.292]  No, no, no.
[00:13:51.292 --> 00:13:55.433]  You have to have it specifically granted to you.
[00:13:55.433 --> 00:14:02.715]  And within the Constitution, the design was to furthermore subdivide the power between the three branches of government.
[00:14:02.715 --> 00:14:05.656]  And now, everybody goes to the Supreme Court.
[00:14:06.721 --> 00:14:12.403]  We have not only consolidation of power into Washington, but consolidation of power into the Supreme Court.
[00:14:12.403 --> 00:14:14.764]  Judicial tyranny is what we have.
[00:14:14.764 --> 00:14:16.965]  Judicial totalitarianism.
[00:14:16.965 --> 00:14:20.627]  They decide every detail of our lives.
[00:14:20.627 --> 00:14:33.432]  From Washington, these nine political appointees, President Trump continued, we will never let radical socialists destroy our economy, wreck our country, or eradicate our liberty.
[00:14:34.352 --> 00:14:36.014]  Whoa, he used the L word!
[00:14:36.014 --> 00:14:39.098]  Not leftist, but liberty.
[00:14:39.098 --> 00:14:41.201]  I'm glad to see President Trump talking about liberty.
[00:14:41.201 --> 00:14:46.448]  It must be election time because that's when people will talk about liberty.
[00:14:46.448 --> 00:14:49.592]  Hopefully it will not end after the election.
[00:14:49.592 --> 00:14:51.995]  But you know, when we look at the fraud of environmentalism,
[00:14:52.990 --> 00:15:07.361]  Zero Hedge points out that as Tesla is moving into Germany, going under the turf of BMW and the giant Volkswagen, they've decided to put a battery factory in Germany.
[00:15:07.361 --> 00:15:12.045]  And of course they're cutting down thousands of trees and the green people are not very happy about that.
[00:15:12.045 --> 00:15:16.289]  They were not very happy about the fact that Elon Musk was ticked off
[00:15:17.156 --> 00:15:21.617]  about the Porsche Taytan and how fast it was around the Nurburgring.
[00:15:21.617 --> 00:15:26.899]  So he sent over a modified Tesla and he needed a supercharger.
[00:15:26.899 --> 00:15:34.081]  And he brought that over and he ran it off of a noisy, very, very dirty diesel generator.
[00:15:34.081 --> 00:15:35.542]  And the neighbors were very upset about that.
[00:15:35.542 --> 00:15:42.024]  I said, that is the perfect image of the fraud of these battery electric vehicles.
[00:15:42.024 --> 00:15:43.444]  Absolutely.
[00:15:43.444 --> 00:15:44.384]  So, I don't know.
[00:15:44.384 --> 00:15:45.725]  You know, he's got
[00:15:47.000 --> 00:15:52.924]  The electric cars that continue to reignite time after time, just like a joke birthday candle.
[00:15:52.924 --> 00:15:53.604]  But it's okay!
[00:15:53.604 --> 00:15:55.425]  We need to shower cash on him.
[00:15:55.425 --> 00:15:56.026]  We'll be right back.
[00:15:56.026 --> 00:15:57.787]  Stay with us.
[00:15:57.787 --> 00:16:00.428]  Attention GCN self-reliance listeners.
[00:16:00.428 --> 00:16:08.974]  If you've ever wanted an emergency solar survival backup system, but were waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[00:16:08.974 --> 00:16:14.457]  Bill Hyde here, and I want to tell you about a huge sale with historically low prices on our PPX microgrid system.
[00:16:14.537 --> 00:16:18.279]  That's going to let you produce an endless supply of electricity off the grid.
[00:16:18.279 --> 00:16:23.562]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[00:16:23.562 --> 00:16:27.764]  Because of the flooding, we've had to move a lot of our inventory to a temporary location.
[00:16:27.764 --> 00:16:35.748]  And rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwaters backstory.
[00:16:35.748 --> 00:16:37.009]  So here's what you should do right now.
[00:16:37.009 --> 00:16:38.990]  Check out the PPX microgrid system.
[00:16:39.070 --> 00:16:40.530]  We're good to go.
[00:16:57.556 --> 00:16:59.517]  Heart disease is on the rise.
[00:16:59.517 --> 00:17:04.819]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:17:04.819 --> 00:17:06.420]  But the symptoms are there.
[00:17:06.420 --> 00:17:14.764]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:17:14.764 --> 00:17:20.446]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:17:20.646 --> 00:17:22.448]  My blood pressure has normalized.
[00:17:22.448 --> 00:17:24.730]  My diabetes has totally improved.
[00:17:24.730 --> 00:17:29.115]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:29.115 --> 00:17:31.318]  I recommend Heart and Body Extract to everyone.
[00:17:31.318 --> 00:17:39.166]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:39.206 --> 00:17:43.367]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[00:17:43.367 --> 00:17:48.469]  That's 8 6 6 2 9 5 5 3 0 5 or order online.
[00:17:48.469 --> 00:17:53.770]  HB extract .com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract .com
[00:17:59.352 --> 00:18:04.056]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:18:04.056 --> 00:18:14.484]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:18:15.365 --> 00:18:20.187]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:18:20.187 --> 00:18:28.589]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:18:28.589 --> 00:18:36.291]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:18:36.291 --> 00:18:38.272]  Wake up refreshed and take on the day.
[00:18:38.732 --> 00:18:46.676]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:18:46.676 --> 00:18:50.358]  Get the sleep you deserve and experience the power of knockout.
[00:18:50.358 --> 00:18:54.740]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:18:54.740 --> 00:18:56.160]  That's InfoWarsLife.com
[00:18:59.776 --> 00:19:05.338]  25 years ago when I first began broadcasting, I was a realist and I was honest with the listeners.
[00:19:05.338 --> 00:19:07.238]  America was in a coma.
[00:19:07.238 --> 00:19:11.700]  We were being absolutely poisoned physically, culturally, and spiritually.
[00:19:11.700 --> 00:19:16.641]  The New World Order was running rampant because the public was asleep.
[00:19:16.641 --> 00:19:25.504]  Fast forward to this year, in 2020, and to see Soros spend over $100 million on the Women's March here in D.C.
[00:19:25.504 --> 00:19:27.685]  and in Los Angeles, and they might have had 30,000 people.
[00:19:29.085 --> 00:19:30.246]  Maybe.
[00:19:30.246 --> 00:19:33.167]  They had five million three years ago, ladies and gentlemen.
[00:19:33.167 --> 00:19:34.128]  I was here.
[00:19:34.128 --> 00:19:43.073]  That is emblematic of how his money and Chai Com money cannot buy them the AstroTurf anymore.
[00:19:43.073 --> 00:19:45.934]  So yes, the awakenings happened, but we're not out of the woods.
[00:19:45.934 --> 00:19:53.418]  The globalists are going to throw a bunch of Hail Marys during this Trump Senate trial, and we're going to be covering it live from D.C.
[00:19:53.418 --> 00:19:54.859]  at Band.Video.
[00:19:54.859 --> 00:19:56.440]  Please be Paul Revere and share this link.
[00:20:01.647 --> 00:20:08.630]  You're listening to the Alex Jones Show.
[00:20:08.630 --> 00:20:11.392]  Let me tell you something, ladies and gentlemen.
[00:20:11.392 --> 00:20:13.313]  You have kicked Lobel's ass today.
[00:20:13.313 --> 00:20:14.753]  You have come out here and
[00:20:33.860 --> 00:20:34.220]  Yeah!
[00:20:34.220 --> 00:20:34.440]  Well...
[00:21:02.794 --> 00:21:08.998]  The establishment corporate media told us this would be Charlottesville 2.0.
[00:21:08.998 --> 00:21:10.799]  But it wasn't!
[00:21:10.799 --> 00:21:11.299]  It wasn't.
[00:21:11.299 --> 00:21:23.346]  You came here and exercised beautifully your First and Second Amendment and you showed why an armed citizenry is a polite and orderly and almost time-free society.
[00:21:23.346 --> 00:21:27.828]  And all the media hype saying we'd be violent was a damn lie again!
[00:21:27.828 --> 00:21:28.609]  Another hoax!
[00:21:29.569 --> 00:21:31.892]  I love everybody, but I wanted to go live.
[00:21:31.892 --> 00:21:33.313]  My voice is going out.
[00:21:33.313 --> 00:21:35.635]  So there's a live feed right over here for the next 20 minutes.
[00:21:35.635 --> 00:21:40.700]  I want you guys to say something to the camera and to my live radio TV show and not just me over here because I'm about to go.
[00:21:40.700 --> 00:21:42.282]  Everybody ask why my voice is like this.
[00:21:42.282 --> 00:21:43.743]  It's from 25 years of this.
[00:21:43.743 --> 00:21:44.103]  USA!
[00:21:44.103 --> 00:21:45.124]  USA!
[00:21:45.124 --> 00:21:45.565]  USA!
[00:21:45.565 --> 00:21:45.825]  USA!
[00:21:58.573 --> 00:22:03.417]  All right, that was Alex Jones yesterday at the rally.
[00:22:03.417 --> 00:22:08.181]  And of course, this is something, Lobby Day, is something that's been held every single day since 2003.
[00:22:08.181 --> 00:22:12.364]  They've never had an incident, and they didn't have one yesterday.
[00:22:12.364 --> 00:22:13.084]  Surprise, surprise!
[00:22:13.084 --> 00:22:15.006]  We're telling everybody that.
[00:22:15.006 --> 00:22:27.396]  We're telling everybody that not only is Ralph Northam the only racist that was around there that everybody knows for sure is a racist, he's projecting his racism on other people, so is the media.
[00:22:28.198 --> 00:22:55.120]  Calling the people there white supremacists and so forth and then projecting his conspiracy theories of violence because it's the Democrats who have been talking about confronting people with force to confiscate weapons that have been legal in this country for the entire 400 years that we have had Europeans here in this country and enshrined in our Constitution as a protected God-given right.
[00:22:56.089 --> 00:23:00.567]  So, yesterday we had Kuhnman and Antifa missing in action there.
[00:23:01.497 --> 00:23:11.041]  And I think the subtitle of that should be domestic terrorists are a no-show because the real terrorists were Coon Man and the Antifa people.
[00:23:11.041 --> 00:23:20.165]  We did have one arrest, one 21 year old girl, female, I guess 21 years old, you're not a girl anymore.
[00:23:20.165 --> 00:23:25.527]  But she was arrested because she refused to remove her mask multiple times.
[00:23:26.440 --> 00:23:27.480]  And I talked about that yesterday.
[00:23:27.480 --> 00:23:37.404]  I said, if he wants to make sure there's not going to be any violence, then discourage Antifa from showing up by telling them that there is an anti-mask law in Virginia, that it is a felony.
[00:23:39.295 --> 00:23:39.495]  I don't
[00:23:58.880 --> 00:24:05.026]  Chanting USA, they were singing the national anthem, the Pledge of Allegiance.
[00:24:05.026 --> 00:24:09.731]  They were cleaning up the trash after the event.
[00:24:09.731 --> 00:24:12.634]  These are people who are law-abiding citizens.
[00:24:13.430 --> 00:24:15.911]  As a matter of fact, they will go above and beyond.
[00:24:15.911 --> 00:24:24.036]  In most cases, they even go through the process to have concealed carry, which I don't believe is necessary.
[00:24:24.036 --> 00:24:25.097]  I would never go through that.
[00:24:25.097 --> 00:24:31.561]  I took all the classes for concealed carry, but I'm not going to ask permission from anyone to carry a firearm.
[00:24:31.561 --> 00:24:33.241]  I have the Constitution that lets me do that.
[00:24:33.241 --> 00:24:40.346]  I'm a firm believer in applying the Constitution and not turning my fundamental rights into a government-granted privilege.
[00:24:40.346 --> 00:24:42.387]  But these people are going above and beyond, and I understand that.
[00:24:43.095 --> 00:24:50.598]  As far as possible, try to be at peace with anybody, even when they don't have the authority to do something that they claim that they want to do.
[00:24:50.598 --> 00:24:53.659]  If you want to be at peace with them, fine, go ahead and do that.
[00:24:53.659 --> 00:24:57.821]  But understand that it does set a dangerous precedent.
[00:24:57.821 --> 00:25:06.325]  We have at InfoWars.com an article, Governor Ralph Northam is now suggesting that he saved Virginia from a volatile situation.
[00:25:06.325 --> 00:25:06.985]  I know he didn't.
[00:25:07.944 --> 00:25:19.854]  As a matter of fact, as I mentioned earlier in the program, USA Today changed their headline from, Virginia gun rally protest draws militias and fear of violence.
[00:25:19.854 --> 00:25:21.876]  And you can still see that on the URL.
[00:25:23.745 --> 00:25:27.589]  If you click on this article in the URL, you can see the old headline up there.
[00:25:27.589 --> 00:25:29.911]  And it says, updated 5 o'clock p.m.
[00:25:29.911 --> 00:25:30.972]  Eastern Time.
[00:25:30.972 --> 00:25:33.214]  They changed it to Civil Rights March of My Life.
[00:25:33.214 --> 00:25:39.260]  Quote, thousands of pro-gun protesters, many of them heavily armed, rallied peacefully in Richmond.
[00:25:39.260 --> 00:25:43.423]  They said this was a peaceful day to address our legislature.
[00:25:43.423 --> 00:25:44.965]  That's part of the First Amendment.
[00:25:46.554 --> 00:25:52.380]  They appeared to generate none of the violence feared by some state leaders, you know, like Ralph Northam.
[00:25:52.380 --> 00:25:56.043]  And I would say it wasn't feared by them, they were fear mongers.
[00:25:56.043 --> 00:26:01.349]  Many demonstrators openly displayed military-style semi-automatic weapons.
[00:26:01.349 --> 00:26:03.451]  Some of them had signs that said, come and take it.
[00:26:03.451 --> 00:26:07.515]  And if they were the original signs, they would have a military-style cannon.
[00:26:08.683 --> 00:26:12.427]  Because that was what was on the flag here in Goliad in Texas.
[00:26:12.427 --> 00:26:14.109]  Yeah, Santa Ana, other tires.
[00:26:14.109 --> 00:26:16.992]  You want to take this military-style cannon?
[00:26:16.992 --> 00:26:18.213]  Come and take it if you can.
[00:26:18.213 --> 00:26:20.816]  It's all about the military.
[00:26:20.816 --> 00:26:22.377]  They want to talk about militias.
[00:26:23.663 --> 00:26:24.984]  The militias are not the problem.
[00:26:24.984 --> 00:26:26.485]  The standing army is the problem.
[00:26:26.485 --> 00:26:30.707]  People who think that citizens should not be able to defend themselves are the problem.
[00:26:30.707 --> 00:26:32.428]  We call them pirates.
[00:26:32.428 --> 00:26:39.393]  Anyway, only one arrest, this 21-year-old female, charged with one felony count of wearing a mask in public.
[00:26:39.393 --> 00:26:42.194]  But here's some other women who were there.
[00:26:42.194 --> 00:26:44.996]  Connie Stanley, 58, came to the rally with a group of women.
[00:26:44.996 --> 00:26:49.699]  She said where she lives, it could take police too long to respond if she calls 911.
[00:26:49.699 --> 00:26:51.660]  Well, that's true wherever you live.
[00:26:52.344 --> 00:26:55.907]  Because as we saw in that church shooting, it was over in about six or eight seconds.
[00:26:55.907 --> 00:26:58.749]  As a woman, I feel like it's about protection.
[00:26:58.749 --> 00:27:00.870]  Well, that's right.
[00:27:00.870 --> 00:27:06.994]  Another individual said, you've got thousands of guns here and not a single bullet fired.
[00:27:06.994 --> 00:27:19.403]  I've said before this rally, every time I have been to a rally or protest or whatever you want to call it, where people show up armed, it's always been a very peaceful rally.
[00:27:19.403 --> 00:27:19.803]  That's right.
[00:27:19.803 --> 00:27:21.525]  An armed society or assembly
