[00:00:12.403 --> 00:00:14.684]  Wednesday, February 12, 2020.
[00:12:50.436 --> 00:12:59.263]  Prosecutors insist Smollett faked the racist anti-gay attack on himself in the hopes that the attention would advance his acting career.
[00:12:59.963 --> 00:13:11.265]  But with little explanation, authorities last year abruptly dropped all charges against Smollett, abandoning the criminal case only five weeks after the allegations were filed.
[00:13:11.265 --> 00:13:17.946]  In return, prosecutors said that the actor agreed to let the city keep his $10,000 in bail.
[00:13:17.946 --> 00:13:27.548]  The dismissal drew a swift backlash from the mayor and police chief and raised questions about why Smollett was not forced to admit that prosecutors had said
[00:13:28.208 --> 00:13:34.034]  That they could prove in court that the entire episode was a publicity stunt.
[00:13:34.034 --> 00:13:36.076]  Just like everything the Democrats do.
[00:13:36.076 --> 00:13:38.279]  Just like the attacks on the Jewish centers.
[00:13:38.279 --> 00:13:40.141]  Or the attacks at the Air Force Academy.
[00:13:40.141 --> 00:13:42.784]  Or the attacks here, there, everywhere.
[00:13:42.784 --> 00:13:44.706]  It's what the left does.
[00:13:46.701 --> 00:13:53.527]  My security people have caught them at rallies coming up and punching me in the back or pinching me and trying to get me to hit them.
[00:13:53.527 --> 00:13:59.753]  And it's usually somebody in a wheelchair doing it because they want to have the image of me slugging somebody in a wheelchair.
[00:13:59.753 --> 00:14:03.156]  They're professional victims.
[00:14:03.156 --> 00:14:04.177]  That's what the left do.
[00:14:04.177 --> 00:14:05.518]  They virtue signal.
[00:14:05.518 --> 00:14:09.262]  But studies show they're nine times more likely not to give to charity.
[00:14:11.803 --> 00:14:14.425]  They could be black, they could be white, they could be old, they could be young.
[00:14:14.425 --> 00:14:22.010]  But what they do is manipulate and deceive and create division 24-7.
[00:14:22.010 --> 00:14:24.532]  Newsflash!
[00:14:24.532 --> 00:14:30.436]  There's not white dudes at 2.30 in the morning at 25 below zero running up starting fights with black dudes.
[00:14:31.658 --> 00:14:36.104]  It's not going on and everybody knows it, ladies and gentlemen.
[00:14:36.104 --> 00:14:39.428]  But this was an attempt to trigger a race war in this country.
[00:14:39.428 --> 00:14:41.751]  The same thing Soros has been caught doing.
[00:14:41.751 --> 00:14:42.953]  His son's been caught doing.
[00:14:42.953 --> 00:14:44.435]  We have all the documents.
[00:14:44.435 --> 00:14:47.539]  Hoping to foment a race war in this country with the media.
[00:14:48.260 --> 00:14:51.241]  Trying to exacerbate the crisis.
[00:14:51.241 --> 00:14:53.121]  This is terrorism.
[00:14:53.121 --> 00:14:56.742]  Psychological warfare executed against the American people.
[00:14:56.742 --> 00:15:00.542]  But notice, all the criminality of the Democrats isn't working anymore.
[00:15:00.542 --> 00:15:03.603]  So now as Trump strikes back, what's coming next?
[00:15:03.603 --> 00:15:04.983]  We'll break it down when we come back.
[00:15:04.983 --> 00:15:14.105]  Please don't forget, we are going to shell out the next few days of super silver three ounce and super silver one ounce immune gargle.
[00:15:15.302 --> 00:15:16.743]  We've already sold out of the 16-ounce.
[00:15:16.743 --> 00:15:29.571]  We are going to sell out of the Super Silver whitening toothpaste and Super Blue toothpaste within a couple weeks at current sales rates because people know it has the patented nano silver in it that's so good for taking out these viruses and the rest of it.
[00:15:29.571 --> 00:15:40.058]  Well, I've still got it at 50% off on the toothpaste despite the fact it's going to sell out because I want people to have this in their hands, be able to defend themselves and see how great the product is.
[00:15:41.417 --> 00:15:45.459]  Get it all, the Immune Gargle and the Super Solar, before it sells out.
[00:15:45.459 --> 00:15:46.519]  And so much more.
[00:15:46.519 --> 00:15:47.760]  And of course, storable food.
[00:15:47.760 --> 00:15:49.001]  We have it in stock.
[00:15:49.001 --> 00:15:50.181]  High quality and fresh.
[00:15:50.181 --> 00:15:51.222]  Almost no one else does.
[00:15:51.222 --> 00:15:53.323]  Infowarstore.com.
[00:15:53.323 --> 00:15:55.744]  Get yours today, because 2020 is already one hell of a year.
[00:15:57.745 --> 00:15:58.945]  Hi, I'm Dan Pilla.
[00:15:58.945 --> 00:16:02.867]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[00:16:02.867 --> 00:16:04.407]  I sued the IRS and won.
[00:16:04.407 --> 00:16:07.368]  I beat the IRS then, and I've been beating them ever since.
[00:16:07.368 --> 00:16:12.570]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[00:16:12.930 --> 00:16:14.131]  I can help you too.
[00:16:14.131 --> 00:16:17.052]  If you owe taxes you can't pay, don't wait another day.
[00:16:17.052 --> 00:16:19.273]  There's no such thing as a hopeless tax case.
[00:16:19.273 --> 00:16:23.715]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[00:16:23.715 --> 00:16:27.416]  That's danpilla.com, danpilla.com.
[00:16:27.416 --> 00:16:30.878]  I'm here with Scott Youseum, founder of OMG Tax.
[00:16:30.878 --> 00:16:35.040]  Tell us how your company helps our listeners out there who have a problem with the IRS.
[00:16:35.720 --> 00:16:42.122]  My team of lawyers, enrolled agents, and licensed tax experts remove wage garnishments sometimes in the same day.
[00:16:42.122 --> 00:16:47.584]  We even have reduced the total debt some of our clients were required to pay through what is known as an offer in compromise.
[00:16:47.584 --> 00:16:50.025]  Can you give us an example of somebody you help?
[00:16:50.025 --> 00:16:51.466]  Oh, can I ever?
[00:16:51.466 --> 00:16:56.628]  We have taken a $500,000 liability with the IRS.
[00:16:56.628 --> 00:16:57.388]  Guess what?
[00:16:57.388 --> 00:17:02.210]  The client didn't pay a dime through the representation known as non-collectible status with the government.
[00:17:02.430 --> 00:17:12.980]  If you owe the IRS more than $10,000 and you want to see if it's possible to pay a lot less, call OMG Tax right now for a free tax-saving consultation.
[00:17:12.980 --> 00:17:13.220]  Call 800-486-8112.
[00:17:13.220 --> 00:17:13.280]  800-486-8112.
[00:17:13.280 --> 00:17:13.340]  800-486-8112.
[00:17:13.340 --> 00:17:13.520]  That's 800-486-8112.
[00:17:26.812 --> 00:17:29.454]  Hunters, anglers, campers and survivalists.
[00:17:29.454 --> 00:17:30.535]  Get back to nature.
[00:17:30.535 --> 00:17:37.860]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:17:37.860 --> 00:17:41.282]  Slingbow products are compact and models start from just 1798.
[00:17:41.282 --> 00:17:44.845]  They're perfect for your bug out bag or storing in your vehicle.
[00:17:44.845 --> 00:17:49.008]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:17:49.008 --> 00:17:53.591]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:17:53.591 --> 00:17:56.253]  Feel the thrill only at slingbow.com.
[00:17:59.389 --> 00:18:07.760]  I spend a lot of time reminding the M4 Wars family of listeners and viewers that without you, we won't be on the air.
[00:18:07.760 --> 00:18:09.262]  And I spend a lot of time thanking you.
[00:18:10.046 --> 00:18:17.408]  But I really think you should thank yourself for keeping us on the air and really changing the world for the better and raising the alarm as modern Paul Revere's.
[00:18:17.408 --> 00:18:24.890]  But something I should spend more time on is just reminding you that these products are really amazing.
[00:18:24.890 --> 00:18:33.733]  You've got that pledge from me, but you've seen the third party test out there, the air filtration, the water filtration, the supplements are all the very best you're going to find out there.
[00:18:33.733 --> 00:18:38.254]  And you can't fund an operation anywhere else that's fighting the globalists.
[00:18:39.178 --> 00:18:39.798]  This hard.
[00:18:39.798 --> 00:18:43.700]  So it's not a burden to support InfoWars.
[00:18:43.700 --> 00:18:54.326]  It really is something that is good for everybody that stands for justice and freedom and makes your life and your family's life and your children's life so much better.
[00:18:54.326 --> 00:18:56.988]  So visit InfoWarsStore.com today.
[00:18:59.929 --> 00:19:03.172]  This should really be easier than it is.
[00:19:03.172 --> 00:19:05.315]  I'm not here giving you a sales pitch.
[00:19:05.315 --> 00:19:07.797]  I'm pointing out the way forward.
[00:19:07.797 --> 00:19:14.965]  Things that I've discovered that I absolutely know work, that if you listen to me and try them out for yourself, you will see
[00:19:15.305 --> 00:19:24.511]  How amazing it is and then your support of the product we're selling will help you and will help us and it's symbiotic.
[00:19:24.511 --> 00:19:29.554]  My friends, I harp and harp and harp about iodine because it's the good halogen.
[00:19:29.554 --> 00:19:37.199]  Fluoride's the bad halogen and people told me about it for years and I didn't listen and I'm so thankful that finally I listened to Dr. Grip.
[00:19:38.340 --> 00:19:43.344]  Eight years ago I started taking True Iodine, Atomic Iodine.
[00:19:43.344 --> 00:19:51.029]  We've got it back in stock, X2, 40% off right now at Infowarestore.com and I'm telling you folks, get it.
[00:19:51.029 --> 00:19:52.210]  It's amazing.
[00:19:52.210 --> 00:19:55.793]  Discover the benefits and it funds the Infowar, a 360 win.
[00:19:55.793 --> 00:20:01.557]  You can't lose unless you don't take action.
[00:20:01.557 --> 00:20:04.179]  You're listening to the Alex Jones Show.
[00:20:12.674 --> 00:20:37.525]  When you're demoralized, when you're down, you feel like you can't do anything.
[00:20:37.525 --> 00:20:39.046]  You feel like your back's broken.
[00:20:40.333 --> 00:20:54.219]  But as soon as you start to get up and get engaged and start fighting back, start getting the blood pumping through your brain, through your muscles, through your body, you feel alive again.
[00:20:54.219 --> 00:20:56.300]  And you don't feel like giving up.
[00:20:56.300 --> 00:20:59.781]  You feel like fighting back.
[00:20:59.781 --> 00:21:03.423]  Make no mistake, humanity has some incredible obstacles facing it.
[00:21:06.544 --> 00:21:13.646]  But we also have God on our side, and the atheists and the establishment want us to believe that we're all alone in the universe and we don't have God.
[00:21:13.646 --> 00:21:16.087]  But they know that's not true.
[00:21:16.087 --> 00:21:23.709]  They want us to forget about God so that we don't realize the birthright we have.
[00:21:23.709 --> 00:21:30.531]  So on this February 12th, Wednesday edition, I just want listeners to know something.
[00:21:30.531 --> 00:21:34.592]  There's a lot of different political ideas and systems out there.
[00:21:35.930 --> 00:21:39.614]  But they all really boil down to two different groups.
[00:21:39.614 --> 00:21:54.029]  Systems that empower humanity and that are based on common sense and God's law and those that destroy humanity and are based on systems that don't work and are corrupt and God has a name for that.
[00:21:54.029 --> 00:21:54.849]  It's called sin.
[00:21:58.359 --> 00:22:02.560]  Incentives is simply something that hurts you and hurts others.
[00:22:02.560 --> 00:22:04.460]  And it's not in God's plan.
[00:22:04.460 --> 00:22:07.921]  But see, you've got free will, so you can say piss on the owner's manual.
[00:22:07.921 --> 00:22:12.241]  It says put this type of motor oil in here, I'm gonna put bleach in it.
[00:22:12.241 --> 00:22:17.322]  And when it blows up, well that's not Ford's fault, is it?
[00:22:17.322 --> 00:22:22.823]  It's not Ferrari's fault, it's not Chevy's fault, it's not Honda's fault.
[00:22:22.823 --> 00:22:26.964]  You put salt water in the gas tank, it doesn't work.
[00:22:29.926 --> 00:22:38.412]  But it's, I guess, kind of fun when you're doing it at first, watching the engine seize up, I guess.
[00:22:38.412 --> 00:22:41.494]  So here's what I wanted to say right now.
[00:22:41.494 --> 00:22:59.006]  We've seen all these people that got into the power structure and went to Harvard, went to Yale, and got into bureaucracy, and both political parties shared power in the sellout of America, to demoralizers, got behind the whole Hollywood system, try to break the will of the American people.
[00:23:02.039 --> 00:23:03.279]  But they miscalculated.
[00:23:03.279 --> 00:23:07.240]  They believed that they had frightened us and demoralized us.
[00:23:07.240 --> 00:23:10.721]  The truth is they just put us into a trance.
[00:23:10.721 --> 00:23:15.862]  And now all this intimidation has just taken a lot of people out of the trance, and it's only pissing them off more.
[00:23:15.862 --> 00:23:18.583]  There's a lot of examples of this I could give, but look at Brexit.
[00:23:18.583 --> 00:23:26.505]  I told people four and a half years ago when it passed, I said, mark my words, this will take three to five years to finally get implemented.
[00:23:26.505 --> 00:23:30.446]  And in the process of them trying to block the people, they'll wake up even more.
[00:23:30.446 --> 00:23:31.566]  And exactly that happened.
[00:23:33.080 --> 00:23:40.344]  Because when you've studied history, it does repeat itself.
[00:23:40.344 --> 00:23:56.714]  So now I've tried to keep track of it, but it's hundreds and hundreds of people have been fired in the last two days by President Trump from senior positions at the Justice Department and the State Department and the National Security Council.
[00:23:56.714 --> 00:23:57.635]  And it's a beautiful thing.
[00:24:00.438 --> 00:24:06.282]  And when he was paralyzed before because it was nothing but bad people under him, he didn't know what he was doing.
[00:24:06.282 --> 00:24:08.624]  Now he's a quick learner.
[00:24:08.624 --> 00:24:17.291]  And so, oh, you're being nominated over here at the Treasury Department, the woman that prosecuted Stone and engaged in all those incredible crimes, in my view.
[00:24:17.291 --> 00:24:19.953]  And by the way, I was under investigation.
[00:24:19.953 --> 00:24:21.634]  My father was under investigation.
[00:24:28.544 --> 00:24:37.466]  Beds tried to set me up, posing as Russians.
[00:24:37.466 --> 00:24:43.668]  And this is off record, but there's national talk show hosts know about it, the documents.
[00:24:43.668 --> 00:24:46.048]  I've been into the FBI.
[00:24:46.048 --> 00:24:48.949]  I've been into the FBI offices.
[00:24:48.949 --> 00:24:49.729]  That's how far this went.
[00:24:52.782 --> 00:24:56.944]  And just imagine how crazed the Democrats were.
[00:24:56.944 --> 00:25:02.186]  They wanted to put me and my father in prison.
[00:25:02.186 --> 00:25:03.827]  They thought that dog would hunt.
[00:25:03.827 --> 00:25:11.891]  That the American people would believe that I was a Russian agent and that my dad was one.
[00:25:11.891 --> 00:25:17.013]  That's with the government being able to look at my records and my dad's records and knowing that it's the opposite.
[00:25:24.910 --> 00:25:26.571]  Why are we here?
[00:25:26.571 --> 00:25:46.923]  Because these arrogant SOBs thought that they were invincible, and they sent the message out across the country to every bureaucracy, to every lawyer, to every fellow traveler, harass Trump supporters, spit on their food, sue them, lie about them, try to convince their wives and husbands to leave them.
[00:25:46.923 --> 00:25:51.566]  This is the harassment that's been going on, but instead of the harassment,
[00:25:53.234 --> 00:25:59.015]  Four years later, working, all it's done is piss people off and made them get more hardcore.
[00:25:59.015 --> 00:26:04.116]  And that's what's beautiful about all of this.
[00:26:04.116 --> 00:26:11.177]  Again, I hadn't watched a lot of World War II documentaries in years, but I watched World War II in Color, great documentary series.
[00:26:11.177 --> 00:26:16.718]  The first couple hours is the war starting and the Battle of Britain and the Blitz.
[00:26:16.718 --> 00:26:22.299]  And Hitler really thought, if I bomb London, they'll give up.
[00:26:23.404 --> 00:26:31.428]  British intelligence knew if they bombed Berlin, which they did, just to piss Hitler off, he would target the British people, and that would get them behind the war.
[00:26:31.428 --> 00:26:47.797]  They were not for the war, they just lost millions a few decades before in World War I. Almost everybody had lost somebody or had somebody in their home, you know, with their arms and legs blown off, or their lungs burned out from mustard gas, and so they didn't want that.
[00:26:47.797 --> 00:26:49.558]  But when Hitler bombed for
[00:26:53.482 --> 00:27:02.386]  Hundreds of days straight, the polls went from 70% against the war to 99% for it.
[00:27:02.386 --> 00:27:03.286]  Wow!
[00:27:03.286 --> 00:27:04.947]  So the Democrats thought the same thing.
[00:27:04.947 --> 00:27:15.211]  You think threatening us, trying to put us in prison, trying to set us up, suing us, you think doing all of this made me want to go get in a fetal position and piss all over myself?
