[00:00:16.519 --> 00:00:18.861]  It's Monday, September 7th.
[00:03:21.526 --> 00:03:23.429]  I'm holding the Associated Press in my hand right here.
[00:03:25.919 --> 00:03:31.466]  And it says, UN says, new polio outbreak in Sudan caused by oral vaccine.
[00:03:32.167 --> 00:03:35.691]  Now, ladies and gentlemen, they've been doing that since polio vaccines came out.
[00:03:35.711 --> 00:03:41.779]  They soft killed my grandmother in the 1950s and they told her that she got polio for the vaccine.
[00:03:43.775 --> 00:03:56.482]  I've talked to top medical doctors that have been involved in Africa and in the United States giving black children, which was done in black neighborhoods in Austin, live polio vaccine that actually gives them cancer, has SV40 live cancer in it.
[00:03:56.502 --> 00:03:58.843]  It would take about five hours just to cover those areas.
[00:03:58.863 --> 00:04:02.445]  Let's just say this, crime's about a thousand times bigger than Tuskegee.
[00:04:03.445 --> 00:04:08.410]  Are going on all the time, and I'm getting to the point where I just can't stand by and just talk about this anymore.
[00:04:08.430 --> 00:04:09.911]  We're going to have to start taking some action.
[00:04:10.231 --> 00:04:11.152]  I'm not sure what that's going to be.
[00:04:11.192 --> 00:04:18.339]  We just were having a debate about that because they're normalizing all of this, and they've come out and admitted it's a big article at NationalFile.com and InfoWars.com.
[00:04:18.579 --> 00:04:22.502]  It's on the World Bank site that they had developed and deployed COVID-19 in 2018.
[00:04:22.582 --> 00:04:24.904]  We actually already knew this.
[00:04:24.944 --> 00:04:28.107]  We knew that Spain a few years ago also found it in their sewage.
[00:04:29.042 --> 00:04:33.043]  We had a new scientist reported on this five years ago that it was man-made, that it was a big crime.
[00:04:33.943 --> 00:04:35.724]  I covered it all on yesterday's Sunday Show in detail.
[00:04:35.744 --> 00:04:39.985]  You really should watch that and share that if you missed it, but this is an out-of-control moment we're at.
[00:04:40.665 --> 00:04:48.987]  They are just telling us that, hey, sometimes you gotta break eggs to make an omelette, and they're normalizing mass genocide and secret medical experimentation on the people.
[00:04:49.087 --> 00:04:50.668]  And it's crimes against humanity.
[00:04:50.688 --> 00:04:54.689]  It violates the Nuremberg Code, the Geneva Convention, and it is an assault on everyone.
[00:04:54.989 --> 00:04:56.412]  We have a right to defend ourselves from assault.
[00:04:56.753 --> 00:04:57.354]  I'm Alex Jones.
[00:04:57.694 --> 00:05:00.881]  Please stay tuned and please share this transmission, because if you're watching, you are the resistance.
[00:05:05.367 --> 00:05:08.768]  This is going to come down to a fight over how many people are awake and how many aren't.
[00:05:08.788 --> 00:05:09.948]  They're going to contest the election.
[00:05:09.968 --> 00:05:11.508]  They're going to say Trump lost.
[00:05:11.708 --> 00:05:13.089]  They're super pissed that I'm on air.
[00:05:13.189 --> 00:05:14.189]  I want them shut down.
[00:05:14.269 --> 00:05:15.149]  I want them silenced.
[00:05:15.229 --> 00:05:15.869]  I want them muted.
[00:05:15.929 --> 00:05:17.850]  I think they are horrible for our society.
[00:05:17.890 --> 00:05:18.810]  You kept us on air.
[00:05:18.930 --> 00:05:20.211]  We did the analysis first.
[00:05:20.511 --> 00:05:21.511]  It's now gone mainstream.
[00:05:21.571 --> 00:05:23.551]  We continue to be the epicenter.
[00:05:23.651 --> 00:05:29.533]  And what they've said directly to us is you continue to be the epicenter of our plans not going the way we want.
[00:05:29.753 --> 00:05:31.213]  And you need to stop right now.
[00:05:31.313 --> 00:05:32.353]  And they're very, very serious.
[00:05:32.513 --> 00:05:34.874]  Well, I'm not signing on with a bunch of devil-worshipping child molesters.
[00:05:35.014 --> 00:05:35.794]  It's not going to happen.
[00:05:35.834 --> 00:05:37.715]  So, they are moving now to destroy me.
[00:05:38.195 --> 00:05:39.296]  I used to say support InfoWars.
[00:05:39.736 --> 00:05:40.636]  Rescue InfoWars.
[00:05:40.716 --> 00:05:41.377]  Save yourself.
[00:05:41.717 --> 00:05:42.357]  Save the world.
[00:05:42.677 --> 00:05:43.538]  We're in this together.
[00:05:43.658 --> 00:05:45.458]  Because let me tell you something.
[00:05:45.478 --> 00:05:46.299]  Communism's up here.
[00:05:46.499 --> 00:05:49.440]  InfoWars is the dam blocking it, which is all of us together supporting.
[00:05:49.840 --> 00:05:51.661]  And you and I are all down here with our families.
[00:05:51.861 --> 00:05:53.422]  My children are right here!
[00:05:54.142 --> 00:05:55.783]  But I need money to fight a war!
[00:05:56.103 --> 00:05:57.143]  And I need word of mouth!
[00:05:57.343 --> 00:05:58.244]  And I need prayer!
[00:05:58.504 --> 00:05:59.344]  And I need action!
[00:05:59.544 --> 00:06:01.285]  Because that dam's going to come down!
[00:06:02.045 --> 00:06:04.006]  Trump's told you, hell's coming!
[00:06:05.310 --> 00:06:09.533]  The answer to 1984 is 1776.
[00:06:19.559 --> 00:06:23.862]  Info Wars has been banned.
[00:06:23.942 --> 00:06:24.463]  Arrested.
[00:06:27.857 --> 00:06:29.178]  Attacked and threatened.
[00:06:30.619 --> 00:06:32.280]  Because we are effective.
[00:06:33.902 --> 00:06:35.403]  The Great Awakening is here.
[00:06:35.743 --> 00:06:37.444]  Go to band.video.
[00:06:38.045 --> 00:06:40.226]  Download the videos and share.
[00:06:42.148 --> 00:06:46.471]  Support the Information War at infowarestore.com.
[00:06:49.473 --> 00:06:51.214]  And never give up the fight.
[00:07:08.792 --> 00:07:11.473]  60 days out.
[00:07:11.633 --> 00:07:13.974]  September 3rd on this live Thursday transmission.
[00:07:15.154 --> 00:07:17.975]  I'm your host Alex Jones and I'm going to be here for the next four hours.
[00:07:18.235 --> 00:07:22.416]  Things are always urgent here with the transmission.
[00:07:36.630 --> 00:07:38.451]  The world is a very dangerous place.
[00:07:39.691 --> 00:07:52.374]  And if people aren't informed, if people aren't involved, if people aren't engaged, they always fall to nightmare tyrannies, horrible systems run by psychopaths and their devilish minions below them.
[00:07:55.675 --> 00:08:05.118]  You know, there's a lot of things I know that I'm not at liberty to tell you, but this is what I can tell you, and I think you already know this.
[00:08:08.746 --> 00:08:35.912]  For this corrupt technocracy, for this corporate anti-human world government to fully take over and carry out its devilish designs, it must, absolutely must, have America fall and have Western values of real human empowerment and Christianity
[00:08:38.874 --> 00:08:40.174]  Destroyed and devalued.
[00:08:42.015 --> 00:08:45.136]  That is the game plan, ladies and gentlemen.
[00:08:50.578 --> 00:08:53.578]  Now, what does it mean when the United States isn't here anymore?
[00:08:53.598 --> 00:08:56.259]  I'm gonna lay that out.
[00:08:57.800 --> 00:09:04.862]  You know, a lot of people laugh at folks fleeing out of New York, New Jersey,
[00:09:06.457 --> 00:09:11.198]  Illinois, California, Michigan.
[00:09:16.160 --> 00:09:20.001]  And they're not just fleeing the fact that they're poor or there's crime.
[00:09:20.421 --> 00:09:22.422]  They're fleeing because they're starving to death.
[00:09:24.142 --> 00:09:26.443]  They're fleeing because they're addicted to drugs.
[00:09:26.523 --> 00:09:28.763]  They're fleeing because they're on their last leg.
[00:09:28.783 --> 00:09:33.505]  They're fleeing because the country has been put into artificial collapse.
[00:09:34.679 --> 00:09:47.102]  And Trump was desperately trying to prop up things to at least get control of the government so we could negotiate to the Chai Koms and others because we had been positioned for total collapse and humiliation.
[00:09:48.782 --> 00:10:03.685]  But there were enough loyal forces to the Republic and to sanity and to their own self-interest who were not on the globalist payroll to rally against the NWO, whose great sin was being arrogant, and get Trump in.
[00:10:06.800 --> 00:10:14.346]  But getting Trump in just got us back on the field to play this deadly game for all the chips and all the marbles and our children's future.
[00:10:16.127 --> 00:10:21.151]  And so, obviously, I talked to Roger Stone.
[00:10:21.171 --> 00:10:22.472]  I talked to a lot more people than that.
[00:10:22.572 --> 00:10:25.474]  And I'm going to leave it at that because I've been asked not to get into who I talked to.
[00:10:25.534 --> 00:10:29.057]  But I can tell you the president is under absolute siege.
[00:10:30.310 --> 00:10:33.112]  I can tell you the level of harassment, the things he's going through.
[00:10:33.972 --> 00:10:35.974]  I've been told, Jones, we know what you're going through.
[00:10:36.094 --> 00:10:37.454]  You're lucky you're only going through this.
[00:10:37.935 --> 00:10:40.236]  And I've been told what the president's going through.
[00:10:40.596 --> 00:10:44.379]  Directly by... I'll leave it at that.
[00:10:46.760 --> 00:10:47.781]  And it's bad, folks.
[00:10:48.661 --> 00:10:50.322]  And that's why I get so mad at the Q thing.
[00:10:50.823 --> 00:10:57.427]  Not that folks are waking up and having fun with it and going and researching things and getting into their secret agents and the fun mystery of it all.
[00:10:57.847 --> 00:10:59.128]  I know what's going on.
[00:11:01.764 --> 00:11:07.328]  I really am inside of it, and it's not about me going, oh, I've got more magic contacts than people.
[00:11:07.528 --> 00:11:08.268]  That's not what this is about.
[00:11:08.609 --> 00:11:13.372]  It's about I know how much trouble this country's in, and I'm not going to lie to you about that.
[00:11:16.094 --> 00:11:18.535]  Because we need people to be engaged and informed.
[00:11:18.635 --> 00:11:20.416]  I don't tell people this stuff to scare you.
[00:11:20.536 --> 00:11:22.438]  I tell you so you can get ready and be prepared.
[00:11:22.738 --> 00:11:23.638]  Now, here's the big announcement.
[00:11:23.658 --> 00:11:28.802]  You can see the live feed of the show today has a very frightening-sounding, horrifying title, but it's true.
[00:11:32.955 --> 00:11:35.138]  Emergency broadcast.
[00:11:37.401 --> 00:11:41.386]  Globalist planning massive world depression if Trump wins or loses.
[00:11:43.769 --> 00:11:50.517]  Alex Jones is going to lay out the absolutely horrifying facts of this incredibly important Thursday transmission.
[00:11:50.637 --> 00:11:51.719]  Not to scare you, but to see.
[00:11:54.042 --> 00:11:58.686]  If you can get ready and I kind of shot that headline out as I walked in here two minutes, three minutes ago.
[00:11:59.247 --> 00:12:00.888]  So let's let's it's not a proper headline.
[00:12:00.908 --> 00:12:01.889]  I'm glad I said pull that up.
[00:12:02.349 --> 00:12:05.372]  It's not to scare you but so you can get ready.
[00:12:06.673 --> 00:12:07.434]  So you can get ready.
[00:12:08.955 --> 00:12:13.960]  So I'm working around the clock as much as I physically can in this fight.
[00:12:14.830 --> 00:12:17.991]  And I just want you to know that we rallied back.
[00:12:18.031 --> 00:12:19.651]  We took control of the country to a certain extent.
[00:12:20.331 --> 00:12:21.552]  We got the UK, Brexit.
[00:12:21.572 --> 00:12:22.512]  You've seen Bolsonaro.
[00:12:22.552 --> 00:12:24.212]  You've seen the EU's in trouble.
[00:12:24.252 --> 00:12:27.593]  But now they're launching everything they've got back at humanity.
[00:12:27.753 --> 00:12:30.574]  And they're going to contest the election.
[00:12:30.614 --> 00:12:31.514]  We first told you that.
[00:12:31.654 --> 00:12:33.095]  Now they're on record saying they're going to do it.
[00:12:33.115 --> 00:12:34.395]  They're calling it a red mirage.
[00:12:34.695 --> 00:12:36.175]  Now Facebook has joined in on it.
[00:12:36.215 --> 00:12:37.556]  We first broke that two days ago.
[00:12:38.256 --> 00:12:38.916]  It's now official.
[00:12:42.205 --> 00:12:51.707]  And they're not going to, quote, take the President's speech or his video, they're saying, if he declares victory the day after the election.
[00:12:52.307 --> 00:12:58.468]  They're telling you that they're taking control of the election and they're going to tell the public that Trump lost.
[00:13:00.189 --> 00:13:05.530]  Michael Bloomberg's own PR firm is running the entire thing and Zuckerberg just put $300 million into it.
[00:13:07.694 --> 00:13:15.719]  To push the lie that these 80 million ballots they've randomly mailed out are legitimate and we can't have the final tally till they've all been counted.
[00:13:15.779 --> 00:13:16.699]  What the hell does that mean?
[00:13:18.240 --> 00:13:19.041]  They've poisoned the well.
[00:13:22.426 --> 00:13:24.307]  So our republic is fighting for its life.
[00:13:24.427 --> 00:13:26.687]  We're in dire straits, ladies and gentlemen.
[00:13:27.347 --> 00:13:28.168]  Dire straits.
[00:13:28.848 --> 00:13:30.108]  And I need you to hit the streets.
[00:13:31.249 --> 00:13:32.349]  I need you to get involved.
[00:13:32.409 --> 00:13:41.251]  I need you to speak up and expose this and delegitimize it and circumvent their censorship and circumvent their garbage to everyone you know now if you want to win.
[00:13:42.132 --> 00:13:45.913]  Anyone telling you that this isn't a close football game is working for the enemy.
[00:13:46.713 --> 00:13:50.154]  Trump has his ads running that it's dire straits, America will end,
[00:13:51.519 --> 00:14:01.070]  That we are in incredible trouble, that the enemy is dangerous, that they will absolutely dominate and enslave you and break you financially if they get control, and it's all true.
[00:14:01.791 --> 00:14:07.958]  And then you've got other people telling you everything's fine, trust the plan, go to sleep, everything's good.
[00:14:08.058 --> 00:14:09.319]  That's not true, ladies and gentlemen.
[00:14:10.191 --> 00:14:11.932]  And I'm not here fighting with the Q people.
[00:14:12.352 --> 00:14:16.974]  I'm talking about folks in general that think Trump's a shoo-in and, oh, the polls show he's going to win.
[00:14:17.354 --> 00:14:21.096]  They're doing that so you are passive, and they're going to challenge it regardless.
[00:14:21.316 --> 00:14:23.957]  We've got to have the discussion about what we're going to do about that.
[00:14:25.518 --> 00:14:27.239]  And then I'll tell you this separately when we come back.
[00:14:28.819 --> 00:14:36.343]  When I tell you that there's going to be food shortages, there already are, and starvation in this country, there already is in the third world, at double the rate it was a year ago,
[00:14:37.605 --> 00:14:39.707]  That's all coming out now, but that's the facts.
[00:14:39.727 --> 00:14:50.417]  But I'm hooked in to multiple big supply chains around the country and the world, and I talk to high-level individuals that run the factories that supply the grocery stores.
[00:14:51.278 --> 00:14:57.965]  And I've got some really important news, and I'll show you news articles paralleling all of that.
[00:14:59.551 --> 00:15:09.439]  As well, guys, when you pulled me out of yesterday's stack, that big food shortage, food line breakdown, the food pantries running out and the supply chains breaking down, stack, thank you.
[00:15:11.681 --> 00:15:19.888]  But before I get to all that when we come back, I'm just going to tell you about what InfoWars is going through behind the scenes.
[00:15:20.708 --> 00:15:22.370]  And I try to just leave that out.
[00:15:23.302 --> 00:15:26.883]  Because it really makes the enemy happy to tune in and you'll hear about what they're doing, what they're up to.
[00:15:27.343 --> 00:15:31.864]  But I mean, at this point you need to know, because it's Alamo-level stuff, okay?
[00:15:32.624 --> 00:15:37.565]  And I've sent my letters out, I've asked for reinforcements, and I'm asking those reinforcements from you.
[00:15:38.385 --> 00:15:41.406]  And you have to understand that this is a very serious situation.
[00:15:41.886 --> 00:15:49.088]  Now, beyond that, they've officially announced to the state government of Ohio FEMA camps for people who they think
[00:15:50.390 --> 00:15:50.970]  You see this ad?
[00:15:51.011 --> 00:15:51.791]  I wrote it about a week ago.
[00:15:51.811 --> 00:15:53.752]  And I believe every single word in it.
[00:16:09.457 --> 00:16:17.867]  The safest bet you can make in the world right now is getting high quality, storable food at a low price because the future is so uncertain.
[00:16:18.488 --> 00:16:25.275]  The entire new order operation is about making you dependent and making you domesticated where you're not self-sufficient.
[00:16:25.856 --> 00:16:29.639]  The number one thing you need is a relationship with God and self-defense.
[00:16:30.479 --> 00:16:33.021]  After that comes food and water.
[00:16:33.341 --> 00:16:38.945]  We've got the best storable food and the best water filters in-house and portable at InfoWarsTore.com.
[00:16:39.265 --> 00:16:41.346]  And we have the storable food in stock.
[00:16:41.567 --> 00:16:45.169]  All the other big competitors have sold out or have like 10-week waiting periods.
[00:16:45.409 --> 00:16:45.789]  We don't.
[00:16:46.290 --> 00:16:47.931]  One to two weeks to ship to you.
[00:16:48.151 --> 00:16:48.951]  We have the food.
[00:16:49.212 --> 00:16:50.232]  We've got to get it packaged.
[00:16:50.472 --> 00:16:54.015]  It's the biggest company in the world because they've got the name because they're trusted.
[00:16:54.455 --> 00:16:55.736]  InfoWarsTore.com.
[00:16:56.456 --> 00:16:59.878]  Get prepared now before the globalists go completely crazy.
[00:16:59.938 --> 00:17:00.738]  Get ready now.
[00:17:15.704 --> 00:17:16.544]  Man, come on, man.
[00:17:16.564 --> 00:17:18.785]  I ain't finna go Alex Jones level with y'all, man.
[00:17:18.805 --> 00:17:19.425]  Come on, man.
[00:17:19.445 --> 00:17:23.146]  What y'all... Like... Wake up!
[00:17:23.166 --> 00:17:24.467]  I want people to wake up right now.
[00:17:25.418 --> 00:17:27.760]  I want people to listen to me and just come out of your trance.
[00:17:27.920 --> 00:17:31.803]  We have got to realize that we're being conditioned on a mass scale.
[00:17:31.843 --> 00:17:32.724]  White males!
[00:17:32.744 --> 00:17:37.827]  So Alex Jones' whole brand is based around the idea that he's giving you the real story, not the fake news out there.
[00:17:37.847 --> 00:17:38.608]  Hey, listen!
[00:17:38.688 --> 00:17:39.649]  I'm here to warn people!
[00:17:39.669 --> 00:17:40.950]  You keep telling me to shut up!
[00:17:41.250 --> 00:17:42.191]  This isn't a game!
[00:17:42.731 --> 00:17:44.192]  Humanity is awakening!
[00:17:44.412 --> 00:17:45.453]  InfoWars.com!
[00:17:45.953 --> 00:17:47.575]  This is Alex Jones.
[00:17:48.095 --> 00:17:48.735]  Pirates did it.
[00:17:48.995 --> 00:17:49.936]  Hitler took the guns.
[00:17:50.196 --> 00:17:51.217]  Stalin took the guns.
[00:17:51.537 --> 00:17:52.397]  Mao took the guns.
[00:17:52.697 --> 00:17:57.980]  And I'm here to tell you, 1776 will commence again if you try to take our firearms!
[00:17:58.040 --> 00:17:58.840]  Alex Jones!
[00:17:59.080 --> 00:18:00.841]  Infowars.com I just don't know who you are.
[00:18:00.861 --> 00:18:01.661]  You guys know who he is?
[00:18:01.701 --> 00:18:03.202]  You know Alex Jones says Infowars?
[00:18:03.222 --> 00:18:05.463]  Very popular.
[00:18:05.483 --> 00:18:08.605]  Infowars, it's a radio show hosted by Alex Jones.
[00:18:08.845 --> 00:18:10.926]  You need to listen to Alex Jones.
[00:18:11.106 --> 00:18:12.426]  We know we're under attack!
[00:18:12.506 --> 00:18:13.367]  We know it!
[00:18:13.527 --> 00:18:14.908]  We're breaking the conditioning!
[00:18:18.044 --> 00:18:19.584]  I'm talking about Alex Jones.
[00:18:19.744 --> 00:18:20.284]  InfoWars.
[00:18:20.424 --> 00:18:21.145]  Alex Jones.
[00:18:21.285 --> 00:18:21.645]  InfoWars.
[00:18:21.725 --> 00:18:22.545]  Alex Jones.
[00:18:27.926 --> 00:18:28.906]  That's just level one.
[00:18:29.146 --> 00:18:29.626]  What's level two?
[00:18:29.666 --> 00:18:30.366]  I'll tell you.
[00:18:30.766 --> 00:18:34.727]  The animated contest of liberty is waiting for you.
[00:18:34.767 --> 00:18:38.308]  But you've got to take it in your hands.
[00:18:38.708 --> 00:18:43.649]  You've got to have the will to accept the truth and fuck the system and the group collective.
[00:18:43.829 --> 00:18:46.129]  Do that and you'll earn your way to the next level.
[00:18:47.874 --> 00:18:48.826]  This is the info.
[00:19:04.716 --> 00:19:05.676]  Living Defense.
[00:19:05.936 --> 00:19:07.157]  This is beyond a probiotic.
[00:19:07.197 --> 00:19:13.358]  It's got all these things known to flush out the bad little visitors in the guts and really get your guts up to optimum condition.
[00:19:13.398 --> 00:19:15.139]  And have you ever thought probiotics were amazing?
[00:19:15.159 --> 00:19:15.539]  Which they aren't.
[00:19:15.879 --> 00:19:18.040]  This is next level and does it a different way.
[00:19:18.220 --> 00:19:19.740]  It targets and gets rid of bad guys.
[00:19:19.820 --> 00:19:21.101]  It doesn't promote the good guys.
[00:19:21.121 --> 00:19:23.861]  Because when you get rid of the bad guys, the good guys can operate.
[00:19:23.901 --> 00:19:25.102]  The new allure is targeting your gut.
[00:19:25.182 --> 00:19:27.182]  Living Defense is the best, most powerful formula.
[00:19:27.302 --> 00:19:28.343]  And it is a big bottle.
[00:19:28.523 --> 00:19:29.443]  Let me show TV viewers this.
[00:19:30.023 --> 00:19:30.683]  It's a brand new bottle.
[00:19:30.703 --> 00:19:32.184]  Remember, I haven't taken this in about six months.
[00:19:32.284 --> 00:19:33.224]  I take it about twice a year.
[00:19:33.484 --> 00:19:33.864]  Look at this.
[00:19:34.004 --> 00:19:34.564]  Look at that.
[00:19:34.644 --> 00:19:34.984]  Look at this.
[00:19:35.024 --> 00:19:36.404]  Damn, it's going all over the floor everywhere.
[00:19:36.424 --> 00:19:37.145]  There's so many of them.
[00:19:37.305 --> 00:19:37.785]  Hold on.
[00:19:37.825 --> 00:19:38.265]  There you go.
[00:19:38.385 --> 00:19:39.405]  I mean, what's on the floor?
[00:19:39.485 --> 00:19:40.485]  These babies are amazing.
[00:19:40.525 --> 00:19:45.507]  You take a few of these a day for a month, you're going to have some results that are, let's just say, magnificent.
[00:19:45.687 --> 00:19:47.787]  And this is Mother Nature gave us.
[00:19:47.887 --> 00:19:48.887]  God gave us Mother Nature.
[00:19:48.907 --> 00:19:51.068]  It is LivingDefenseInfoWarStore.com.
[00:19:51.208 --> 00:19:54.369]  And you fund the Info War, so it's a total win-win, win-win-win.
[00:19:54.549 --> 00:19:55.609]  InfoWarStore.com.
[00:20:04.921 --> 00:20:09.006]  Leading a frontal assault on the lies of the New World Order.
[00:20:09.527 --> 00:20:10.809]  It's Alex Jones!
[00:20:55.120 --> 00:20:58.288]  It is Thursday, September 3rd, 60 days out from the election.
[00:20:58.328 --> 00:20:59.651]  I'm your host, Alex Jones.
[00:21:00.152 --> 00:21:04.542]  All right, I've got an incredible amount of world news that brings into crisp focus
[00:21:05.643 --> 00:21:13.967]  What we told you was coming from Spain and Australia, North Korea and China under UN directives was being beta tested there and is now here in the United States.
[00:21:13.987 --> 00:21:32.895]  They've announced that Democrat state governors will begin forcibly arresting you if a contact tracer, which is a former Clinton-level initiative or Obama Corps member, saw you have sniffles, cough, or if you say you have a sore throat, you will then be forcibly taken
[00:21:34.202 --> 00:21:39.526]  Uh, to a jail cell at a FEMA camp that they've gotten FEMA to agree to fund.
[00:21:39.606 --> 00:21:42.929]  So, uh, mainstream news, started getting text messages last night.
[00:21:43.049 --> 00:21:44.150]  Ohio Department of Health.
[00:21:45.011 --> 00:21:47.032]  The article's up on InfoWars.com.
[00:21:47.752 --> 00:21:52.453]  Ohio Department of Health partners with FEMA to create shelter facilities for people exposed to COVID-19.
[00:21:52.493 --> 00:21:53.193]  Notice exposed.
[00:21:53.513 --> 00:21:54.314]  You're not even tested.
[00:21:54.354 --> 00:22:03.196]  They just take you if you, quote, have symptoms, and they say the symptoms are coughing, runny nose, anything else with the borders the Democrats want to keep wide open.
[00:22:03.216 --> 00:22:04.616]  That's coming up next segment.
[00:22:04.996 --> 00:22:08.577]  We have a guest on from Australia about they didn't just go arrest one lady.
[00:22:08.657 --> 00:22:09.838]  Oh, they were busy beavers.
[00:22:10.638 --> 00:22:20.648]  Going to the houses of 80 plus people that dared to speak out against the unending COVID lockdown, or to point out the CDC's own numbers that 90 plus percent of the tests are false positive.
[00:22:22.129 --> 00:22:23.270]  That's now all over the news.
[00:22:23.310 --> 00:22:25.973]  They tried to suppress it since last weekend, but that failed.
[00:22:28.175 --> 00:22:32.198]  And we've got massive election meddling by
[00:22:33.513 --> 00:22:41.514]  The Democrats and how they openly are saying they plan to scuttle the election, and now it's not my analysis from a year ago or more.
[00:22:41.554 --> 00:22:43.955]  Now it's public, so we've got big developments on that front.
[00:22:44.475 --> 00:22:49.556]  Facebook joins red mirage plot, won't allow false victory claims from Trump on election night.
[00:22:50.196 --> 00:23:00.358]  They also says that Facebook declares Kyle Rittenhouse actions mass murder, and says his lawyers aren't allowed to speak, he is not allowed to speak, and no one is allowed to raise him money for his defense.
[00:23:00.518 --> 00:23:01.858]  Though the Weathermen they think are wonderful.
[00:23:02.839 --> 00:23:05.525]  And of course, Twitter won't let his lawyer speak either.
[00:23:06.587 --> 00:23:11.076]  And, I mean, this is the total management control of what we're going under.
[00:23:12.233 --> 00:23:15.454]  Because we put up with it, and Congress put up with it, and Trump put up with it.
[00:23:15.554 --> 00:23:20.336]  Big tech is racketeering internationally, like they've done in China to suppress the population.
[00:23:20.936 --> 00:23:26.978]  It is racketeering, organized crime practices, just like Hitler did when he first got in control of Germany.
[00:23:27.018 --> 00:23:32.040]  He took away banking of people, he took away businesses, he took away people's right to contract, and that's their plan.
[00:23:32.480 --> 00:23:33.921]  And that brings me next to this issue.
[00:23:35.322 --> 00:23:42.745]  You've heard how they're targeting all these conservatives, not letting them have GoFundMe accounts, and then if another group funds them, they take the bank account away from that group.
[00:23:43.425 --> 00:23:45.246]  That's what they've done to everybody.
[00:23:45.826 --> 00:23:48.027]  And what they've done to Laura Loomer, they've done to us.
[00:23:48.267 --> 00:23:55.289]  I've just not made a big deal about it and found some workarounds, but they are rapidly closing those as well.
[00:23:56.810 --> 00:23:57.150]  Also,
[00:23:58.337 --> 00:24:01.538]  I'll cover this more in the last segment of this hour because it's really important for everybody to know.
[00:24:01.959 --> 00:24:08.001]  I wouldn't get up here and tell you there's going to be food shortages and food spike increases and the cost of food just for no reason.
