[00:00:15.512 --> 00:00:15.992]  We are live.
[00:11:08.151 --> 00:11:14.053]  Who said eight plus weeks ago here on air that it's a man-made bioweapon out of Wuhan has been vindicated.
[00:11:14.113 --> 00:11:16.394]  It's now the Pentagon's coming out saying that's what they believe.
[00:11:16.834 --> 00:11:30.478]  The Senate Intelligence Committee saying that and it's in the news and other prestigious microbiologists and others are now coming out and saying that indeed it is a bioweapon.
[00:11:31.414 --> 00:11:33.896]  The question is, did it escape or was it released on purpose?
[00:11:34.096 --> 00:11:46.183]  Obviously, I believe that all evidence points towards on purpose, with all the scripting, all the preparation, China covering up how deadly it was, letting it incubate in their country, demanding that we leave our borders open and let the Chinese fly into the U.S.
[00:11:47.864 --> 00:11:55.089]  The media's saying Xi Jinping did a great job, it's saying President Trump and America's done a terrible job, the fact that China's back open for business, but we're not supposed to basically ever open again?
[00:11:56.314 --> 00:12:21.938]  You see the economic warfare weapon, the psychological weapon, and then it creates the post-human world, the robot takeover, the 5G driverless cars, the drones delivering the food and policing us, the shutdown of the grassroots mom-and-pop economy, the move to ban cash, the snitch society being promoted and pushed, Google saying we're giving the police and government all of your Google data travel forever,
[00:12:23.831 --> 00:12:24.812]  They've got the apps ready.
[00:12:25.252 --> 00:12:29.657]  Remember eight weeks ago I said they'll now come out with apps on your phone to say when you can leave your house and where you went.
[00:12:29.857 --> 00:12:31.980]  They'll use all the Google travel data to track you.
[00:12:32.160 --> 00:12:36.304]  They'll admit they have AI listening to the microphones on your cell phone and apps.
[00:12:36.885 --> 00:12:40.508]  And then we'll give you countervailing messages when you're talking to people.
[00:12:41.305 --> 00:12:43.966]  It's not just in your text apps now where they pop in and say, that's not true.
[00:12:43.986 --> 00:12:46.706]  It was just a year or two ago, it was, oh, Alex Jones is wrong.
[00:12:46.746 --> 00:12:48.987]  Here's a link to, you know, disinfo from Snopes.
[00:12:49.847 --> 00:12:53.628]  Then it's now, it's this year, it's on your app, it's on your text message.
[00:12:53.668 --> 00:12:56.889]  And now it happened to my wife and to Rob, one of the crew members.
[00:12:57.569 --> 00:13:06.891]  Friday, everybody's talking about 5G and the studies, lower your immune system, helping viral outbreaks, helping the common cold kill people.
[00:13:07.631 --> 00:13:08.812]  And folks all start popping up.
[00:13:08.832 --> 00:13:09.372]  We showed it on air.
[00:13:10.865 --> 00:13:11.305]  From Twitter!
[00:13:12.686 --> 00:13:13.607]  Uh-uh!
[00:13:13.627 --> 00:13:19.071]  5G's not connected to Corona.
[00:13:20.252 --> 00:13:21.834]  And then you go look, and they're listening.
[00:13:21.874 --> 00:13:25.036]  They go, yep, we have AI computer listening to everything you're saying.
[00:13:25.056 --> 00:13:27.938]  We have the mic on, and it hears a bunch of talk, and it goes, no!
[00:13:28.959 --> 00:13:31.501]  So, notice it's like, this is how a war starts, folks.
[00:13:32.362 --> 00:13:36.485]  And by the way, it's in the news that it says your home assistants and everything are listening to you for your own good.
[00:13:36.525 --> 00:13:39.908]  There's gonna be messages sent to you, and they hear a fight going on or whatever.
[00:13:42.093 --> 00:13:44.474]  I mean, all the time, my kids are yelling and screaming at each other.
[00:13:44.494 --> 00:13:47.275]  All of a sudden, the phone just turns on, starts recording.
[00:13:47.655 --> 00:13:48.776]  They admit all this.
[00:13:49.796 --> 00:14:01.781]  Government and corporations just told their employees in Bloomberg last week, turn off your home assist and turn off your phone when you're talking about corporate data, bank accounts, or anything else, because other corporations and governments are listening.
[00:14:05.243 --> 00:14:08.804]  We first broke all this, and I understand back then it sounded insane.
[00:14:09.284 --> 00:14:10.505]  This is the total takeover.
[00:14:11.698 --> 00:14:13.419]  In fact, Friday, guys, have it for later.
[00:14:13.939 --> 00:14:14.720]  We never showed this.
[00:14:14.860 --> 00:14:16.801]  I sent to the crew, and I can do it again if you don't have it.
[00:14:17.441 --> 00:14:19.902]  Just the 5G for AT&T in Austin.
[00:14:23.324 --> 00:14:24.665]  Yeah, there it is, New York Post.
[00:14:24.765 --> 00:14:27.487]  Alexa's new feature will help break up holiday fights.
[00:14:27.667 --> 00:14:27.887]  See?
[00:14:28.667 --> 00:14:31.409]  It will tell you, stop it, or I'll call police.
[00:14:32.129 --> 00:14:33.270]  It's AI programmed.
[00:14:34.490 --> 00:14:35.291]  People go, oh, well.
[00:14:36.437 --> 00:14:37.518]  I just won't have one of those.
[00:14:37.578 --> 00:14:43.925]  The phone is the original and it's way more high-tech and dozens of times more sophisticated than the cheap home assist.
[00:14:44.726 --> 00:14:49.691]  That is a robot spy in your house, controlling your life and building algorithms on you.
[00:14:50.952 --> 00:14:52.013]  It's making you obsolete.
[00:14:52.113 --> 00:14:55.897]  It is a precursor
[00:14:56.909 --> 00:15:02.070]  To just something out of Doctor Who, with the Daleks that roll around going exterminate, exterminate, exterminate.
[00:15:02.450 --> 00:15:11.392]  And now, in North Korea, in Japan, in the U.S., they have Daleks, exact Daleks, that actually roll around with cameras and surveillance, and now they're arming them.
[00:15:11.572 --> 00:15:13.012]  They go, have a gun.
[00:15:13.032 --> 00:15:15.333]  Do as I say or you die.
[00:15:15.593 --> 00:15:19.273]  I mean, this is the, see, everything they showed you is now the plan.
[00:15:19.673 --> 00:15:22.854]  Anything evil ever imagined will be used against you and your family.
[00:15:25.046 --> 00:15:27.307]  Pull up Doctor Who Daleks and then pull up police robots.
[00:15:27.367 --> 00:15:28.967]  It's the exact same little domed robot.
[00:15:29.207 --> 00:15:31.327]  You cannot make up this stuff.
[00:15:31.868 --> 00:15:32.968]  Truth is stranger than fiction.
[00:15:34.688 --> 00:15:40.749]  And again, just like a major war starts, they will line up.
[00:15:40.809 --> 00:15:41.390]  I'll show you a Dalek.
[00:15:41.410 --> 00:15:43.270]  I'll show you one right now.
[00:15:43.450 --> 00:15:44.450]  Doctor Who Dalek.
[00:15:47.871 --> 00:15:48.471]  This is important.
[00:15:48.511 --> 00:15:49.211]  I need to show you this.
[00:15:49.431 --> 00:15:50.552]  There you go.
[00:15:51.032 --> 00:15:52.072]  Now, that's a Dalek.
[00:15:54.369 --> 00:15:58.591]  And then you fast forward to what they're actually rolling out and they look just like that.
[00:15:58.711 --> 00:16:02.292]  In fact, the military even has Daleks now that look just like that exactly.
[00:16:04.313 --> 00:16:07.134]  But let's just go ahead and stop for a moment.
[00:16:07.394 --> 00:16:13.977]  And of course, it rolls around and says, exterminate, exterminate, exterminate, because it's a job by a eugenics government is to kill all humans.
[00:16:15.117 --> 00:16:19.539]  So see, it's predictive programming so that when you finally see it roll out, you already know it.
[00:16:20.478 --> 00:16:24.640]  And you know to accept it, because this is what's supposed to happen, because your whole life you saw this.
[00:16:25.640 --> 00:16:27.401]  See, what's scary is the unknown.
[00:16:27.681 --> 00:16:31.543]  That's why they use a virus that you can't tell where it is or who's gonna get it.
[00:16:32.183 --> 00:16:43.247]  But if you've seen something really scary, like a robot riding around killing people, but you didn't respond, you sat there in the comfort of your home eating pizza or popcorn, your mind associates it with not really being a threat.
[00:16:43.267 --> 00:16:45.808]  Let me give you an example of this.
[00:16:46.169 --> 00:16:48.730]  Before the US invaded Panama in the late 80s,
[00:16:49.997 --> 00:16:52.481]  This was declassified about 20 years ago.
[00:16:53.663 --> 00:17:03.560]  They had the US Army and Marines land helicopters, throw flashbangs out, and do live fire exercises for six months before, so that when they actually attacked, folks thought it was a drill again.
[00:17:06.843 --> 00:17:10.205]  And so, see, that's what this is with the robots and the checkpoints and all of it.
[00:17:10.485 --> 00:17:12.926]  It's just getting the police, the military, everybody ready.
[00:17:13.206 --> 00:17:15.628]  And then the final phase is replacing humans.
[00:17:15.648 --> 00:17:17.809]  Because, see, humans could spread disease in the future.
[00:17:18.249 --> 00:17:20.070]  So soldiers aren't going to be able to go out and fight.
[00:17:20.470 --> 00:17:25.433]  They're going to sit back like with the Predator drones, but with ground robots, like a video game, and run those.
[00:17:25.733 --> 00:17:30.375]  And then now they're already becoming autonomous, meaning the globalists just program them and humans aren't needed.
[00:17:30.396 --> 00:17:32.837]  Because what the globalists really fear is fighting men
[00:17:33.317 --> 00:17:40.003]  And fighting women in the future when they're doing the final mop-up of humanity and folks finally figure out it was a total exterminism plan.
[00:17:40.423 --> 00:17:43.206]  A lot of people are going to go, wait a minute, you're going to bring us down to 500 million?
[00:17:43.486 --> 00:17:44.227]  I don't believe that.
[00:17:44.527 --> 00:17:54.315]  The deeper plans are going to bring it down to about a million people and then those people have to merge with silicon and become this new super being according to what the globalists admit they want to do.
[00:17:54.375 --> 00:17:55.096]  That's the real plan.
[00:17:55.116 --> 00:17:56.817]  And you're going to go, wait a minute, I don't believe this.
[00:17:56.837 --> 00:17:57.938]  This is a satanic plan.
[00:17:58.259 --> 00:17:59.300]  I don't want to kill everybody.
[00:17:59.640 --> 00:18:00.581]  When you've already killed, you know,
[00:18:01.241 --> 00:18:02.281]  8 or 9 billion at that point.
[00:18:02.561 --> 00:18:05.923]  The population will be about 8 or 9 billion when they run their full extermination.
[00:18:06.883 --> 00:18:08.023]  You know, the mass plant.
[00:18:09.003 --> 00:18:16.646]  So, you have to understand that you need to do that now.
[00:18:17.146 --> 00:18:20.047]  The military, the police, all of us need to say we're pro-human.
[00:18:21.247 --> 00:18:27.069]  We know this is an anti-human rollout that's happening and we're not going to go along with this.
[00:18:30.506 --> 00:18:32.107]  Because it's now out in the open.
[00:18:32.127 --> 00:18:35.110]  But see, a lot of people in the intelligentsia, they know this.
[00:18:35.850 --> 00:18:37.632]  They were recruited into this in college.
[00:18:38.552 --> 00:18:39.133]  Or high school.
[00:18:39.693 --> 00:18:41.455]  And they're in this eugenics cult.
[00:18:41.795 --> 00:18:54.525]  When Bill Gates, 10 years ago, got up in front of TED Talks, and he said, we need to bring down the number of one of these groups to zero to save the Earth because carbon dioxide is a deadly poison, which is totally false.
[00:18:54.786 --> 00:18:55.586]  It's a life-giving gas.
[00:18:56.087 --> 00:18:59.429]  But if you label something life-giving as bad, well, you can label what's putting it out as bad.
[00:18:59.910 --> 00:19:00.190]  Humans.
[00:19:02.093 --> 00:19:04.515]  And have control over everything because you're stopping something bad.
[00:19:06.678 --> 00:19:08.900]  It's like saying oxygen is fentanyl.
[00:19:09.260 --> 00:19:10.041]  Well, we better ban it.
[00:19:11.022 --> 00:19:12.564]  Now it gives you jurisdiction over everything.
[00:19:14.245 --> 00:19:17.529]  And he said to this whole big science group, so here's my equation.
[00:19:17.549 --> 00:19:23.195]  And he had humans down to zero to save the earth and everyone laughed because
[00:19:24.622 --> 00:19:26.263]  They teach life and death to doctors.
[00:19:27.003 --> 00:19:28.084]  They teach bioethics.
[00:19:28.244 --> 00:19:32.246]  And they've now taught doctors nationwide in the last 40 years.
[00:19:32.747 --> 00:19:34.768]  No longer is there a Hippocratic Oath of Hippocrates.
[00:19:36.269 --> 00:19:38.210]  Now they teach them, we're gonna have to triage life.
[00:19:38.250 --> 00:19:40.731]  We're gonna have to get rid of the old people to take care of the young people.
[00:19:40.751 --> 00:19:45.374]  No, you just build a bigger economy and higher scale and that makes it a richer, better economy, a loving economy.
[00:19:45.514 --> 00:19:46.174]  That's actually true.
[00:19:46.355 --> 00:19:52.078]  But they teach you that it's a zero-sum game, not a non-zero-sum game and the pizza's only so big, you don't grow the pie.
[00:19:53.635 --> 00:20:09.920]  And so once you get people in that predatory view, that we've got to get rid of humans, there's too many people, people are lazy, they're dumb, they're stupid, which is happening, because they're helping put flora in the water, GMO, vaccines that cause brain damage, TV designed to make the attention span very short.
[00:20:09.940 --> 00:20:10.921]  Globalists all admit this.
[00:20:11.321 --> 00:20:17.783]  So they make us dumb, grease the skids for our fall, and then say, oh look, they're a bunch of scum, we've got to get rid of them.
[00:20:19.264 --> 00:20:34.214]  And then the public's so dumbed down, so evil, so satanic, that the good people, here's the final trick, that are left, actually join with the world government in the final phases to save themselves from the bioweapons being released by who knows?
[00:20:35.375 --> 00:20:37.277]  The globalists are the good guys, they're the saviors, remember?
[00:20:37.757 --> 00:20:40.639]  They're not behind it, even though they publicly are, they get caught all the time.
[00:20:42.213 --> 00:20:44.734]  They tell you they want to reduce your population, but now they're the savior.
[00:20:44.874 --> 00:20:47.955]  They tell you, let's kill the old people, but now Bill Gates loves the old people.
[00:20:48.276 --> 00:20:49.556]  See, it's all hidden in plain view.
[00:20:49.596 --> 00:20:50.536]  It's a spiritual choice.
[00:20:51.577 --> 00:20:54.518]  They have to tell you who they are, but then flip it and say, but I'm going to save you.
[00:20:54.718 --> 00:20:55.178]  Come with me.
[00:20:57.359 --> 00:20:57.980]  It's terrorism.
[00:20:59.420 --> 00:21:07.123]  And so then the good people, 5, 10, 15, 20 years from now, depending on how long we can hold this back, but you notice they don't care now.
[00:21:07.163 --> 00:21:08.044]  They're just rolling forward.
[00:21:08.564 --> 00:21:10.485]  They said by 2020, we're launching a world government.
[00:21:11.357 --> 00:21:12.317]  Worldwide martial law.
[00:21:13.598 --> 00:21:14.258]  Ray Kurzweil.
[00:21:14.658 --> 00:21:15.218]  Ted Turner.
[00:21:15.458 --> 00:21:16.119]  Bill and Melinda Gates.
[00:21:16.139 --> 00:21:16.799]  They're all on record.
[00:21:16.819 --> 00:21:17.459]  Pull their quotes up.
[00:21:18.259 --> 00:21:19.160]  We've been showing them here on air.
[00:21:20.140 --> 00:21:22.241]  In pieces I put out last week.
[00:21:22.261 --> 00:21:23.001]  It's an endgame.
[00:21:24.822 --> 00:21:26.962]  So see, now you understand what's really going on.
[00:21:28.243 --> 00:21:33.404]  And I'll tell you, you know, I've never sold out to the Globalist.
[00:21:35.805 --> 00:21:36.626]  I've never bowed to them.
[00:21:36.646 --> 00:21:37.506]  I've never joined with them.
[00:21:39.443 --> 00:22:01.163]  My job is to get as many people as warned, so that as we go into this attempt that the Bible told us was coming, and it's so real, this post-human move against humanity by the deceiver, he becomes a kill, steal, and destroy, that we don't have to go down the really hardcore trajectory that they've got planned.
[00:22:01.543 --> 00:22:05.867]  This is a choose-your-own-adventure situation.
[00:22:08.533 --> 00:22:19.840]  And then I've got to make sure my soul's clear on this, and I've got to be willing to be persecuted and taken out to be able to warn people, or I haven't done my job and I haven't been a man.
[00:22:19.860 --> 00:22:21.261]  This is not some heroic thing I'm doing.
[00:22:21.281 --> 00:22:23.962]  This is just the right decision to not join with Satan.
[00:22:25.483 --> 00:22:26.944]  That's why people say, oh, thank you so much.
[00:22:27.024 --> 00:22:27.924]  Oh, this is so great.
[00:22:28.285 --> 00:22:29.666]  We really appreciate you doing this.
[00:22:32.227 --> 00:22:33.688]  Something, this evil's taking over.
[00:22:35.749 --> 00:22:42.072]  And we know it, and it's all confirmed now, and then we're supposed to think it's heroic to say no to it?
[00:22:42.973 --> 00:22:44.994]  You are an electrochemical creature.
[00:22:45.014 --> 00:22:55.660]  Look at all these medical doctors coming out that were atheists before, but now that they're scanning the body, they're learning how it works, they're learning how dark matter works, they're learning the equations show other dimensions holding this one in place.
[00:22:59.062 --> 00:23:01.523]  They're actually mapping other dimensions beyond this one.
[00:23:03.680 --> 00:23:12.365]  And they're saying, no, our cells are a manifestation of our consciousness, and that we are the electrochemical activity between those cells.
[00:23:14.667 --> 00:23:23.332]  And it's bombarding our cells with artificial systems that are manipulating our electromagnetic algorithms.
[00:23:24.613 --> 00:23:29.336]  But simply by going out and getting in the sun, you can reset it.
[00:23:31.121 --> 00:23:34.142]  That's why there's big moves in the Globalist White Papers.
[00:23:35.082 --> 00:23:43.366]  Obama's chief strategist said they wanted to make it illegal to say that you need sun for vitamin D and that all sunbathing should be banned.
[00:23:43.846 --> 00:23:57.551]  I remember reading that like in the Washington Post 10 years ago and they were sitting with a straight face that they say ban families in official books, official textbooks at the
[00:23:58.795 --> 00:24:00.797]  Doctorate level for social workers.
[00:24:01.617 --> 00:24:02.838]  I've shown these to you.
[00:24:02.918 --> 00:24:07.302]  University of Texas teaches the family is archaic and barbaric and must be outlawed.
[00:24:08.323 --> 00:24:10.244]  Babies must not be held by their parents.
[00:24:10.525 --> 00:24:11.826]  They must be kept in cribs.
[00:24:12.006 --> 00:24:14.348]  They have 30-40% IQ reductions.
[00:24:14.648 --> 00:24:17.951]  Totally screwed up if you're not held up against your mother in the first year and a half.
[00:24:19.315 --> 00:24:20.976]  Babies should be sleeping with their parents.
[00:24:21.216 --> 00:24:22.777]  Babies should be up against your skin.
[00:24:23.137 --> 00:24:24.458]  It absolutely boosts them.
[00:24:24.498 --> 00:24:25.219]  It's electrical.
[00:24:25.239 --> 00:24:26.159]  They need to be close to you.
[00:24:26.359 --> 00:24:27.880]  It's not just the coddling and the warmth.
[00:24:28.040 --> 00:24:28.801]  It's electrical.
[00:24:29.061 --> 00:24:30.022]  You're electrical field.
