[00:00:22.862 --> 00:00:23.383]  99 days.
[00:07:56.373 --> 00:07:58.614]  The Emperor has no clothes.
[00:07:58.614 --> 00:08:04.937]  Everything Fauci has told us has been a giant, galactic-sized lie.
[00:08:04.937 --> 00:08:09.158]  He told us 2.5 million would be dead in America, then 2.2 million.
[00:08:09.158 --> 00:08:13.320]  Then he told us all the hospitals would be full and we needed hundreds of thousands of ventilators.
[00:08:15.697 --> 00:08:22.364]  And now as they test everybody, the number of positives goes up, the number of deaths goes down, but they put out the septum headlines saying record deaths.
[00:08:22.364 --> 00:08:25.707]  Then they'll say, oh, because it's some little town had three deaths.
[00:08:25.707 --> 00:08:28.029]  They didn't have any before, so now it's record deaths.
[00:08:28.029 --> 00:08:32.574]  They're all playing semantical games.
[00:08:32.574 --> 00:08:40.682]  And Greg Reeves did an excellent report that we're going to air coming up at the bottom of the hour, where he shows the NIH website currently.
[00:08:41.920 --> 00:08:54.911]  Admitting that if you've ever had a bacterial infection, I didn't know that, they've added that, or a coronavirus, that's the common cold, or the flu, usually in about a decade, you will test positive for COVID-19.
[00:08:54.911 --> 00:09:02.938]  So when you see stories about there's 60% false positives, bull, you know what?
[00:09:02.938 --> 00:09:07.022]  Unbelievable fraud, because it was the Wuhan lab
[00:09:08.305 --> 00:09:19.992]  That had a Bill of Melinda Gates finance directive in it that created the test that was then approved seven months ago in China that we then adopted.
[00:09:19.992 --> 00:09:22.374]  Look it up.
[00:09:22.374 --> 00:09:24.855]  Unbelievable.
[00:09:24.855 --> 00:09:30.319]  And medical doctors are trying to write books and publish them and Amazon won't even let them sell them.
[00:09:30.319 --> 00:09:32.260]  But it's all NIH, it's all admitted.
[00:09:32.260 --> 00:09:35.462]  That's what's crazy is none of this is even hidden.
[00:09:39.781 --> 00:09:42.082]  I just showed you New Scientist.
[00:09:42.082 --> 00:09:45.044]  I just showed you NIH.
[00:09:45.044 --> 00:10:08.375]  I just showed you Newsweek saying Fauci ran the programs with Bill and Melinda Gates Foundation grants from them to the NIH and then given to the Wuhan lab in the hundreds of millions of dollars illegal gain-of-function weaponized testing that they shipped to China to do it there.
[00:10:09.565 --> 00:10:15.389]  Just like the CIA has black portrait sites in China under Obama.
[00:10:15.389 --> 00:10:31.760]  But then Sinclair, bigger than Fox, thousands of TV stations around the country, tried to air it, CNN tattled, and so now they're not gonna do it right.
[00:10:31.760 --> 00:10:33.682]  Now this is how crazy this is.
[00:10:35.427 --> 00:10:43.772]  It's like if Eric Bolling wanted to have a thing on Sinclair saying Santa Claus has a big white beard and Santa Claus wears a red and white outfit.
[00:10:43.772 --> 00:10:44.973]  He's a jolly old elf.
[00:10:44.973 --> 00:10:46.634]  They'd say, oh, you can't talk about that.
[00:10:46.634 --> 00:10:50.076]  Santa Claus wears a green outfit.
[00:10:50.076 --> 00:10:52.958]  It's unbelievable fraud.
[00:10:52.958 --> 00:10:55.379]  Let me just stop there.
[00:10:55.379 --> 00:10:56.120]  Let me just stop there.
[00:11:05.305 --> 00:11:30.226]  The very same criminal groups that have brought you the overblown hoax of COVID-19, the very same groups that are telling us that we can never reopen the country again, but China's wide open, are the same ones telling you that every day when Black Lives Matter
[00:11:31.573 --> 00:11:37.756]  And Antifa shoot up innocent people's cars, in many cases brain damaging them and killing them.
[00:11:37.756 --> 00:11:41.398]  A whole bunch of deaths in the last three days.
[00:11:41.398 --> 00:11:50.522]  That that's peaceful, while simultaneously saying, we're gonna burn the country down if Trump gets re-elected in Atlantic Monthly.
[00:11:50.522 --> 00:11:57.065]  Oh, and we're gonna use the military to take Trump out if we challenge the election and he doesn't bow to that.
[00:11:57.065 --> 00:11:58.486]  I've got a bunch of compilations
[00:11:59.631 --> 00:12:05.933]  Of people being shot and shot at when we come back.
[00:12:05.933 --> 00:12:20.799]  And I'm going to go over for radio listeners and narrate it, but you have to understand that this is systematic, terroristic activity being done to bring this nation to its knees and intimidate Americans.
[00:12:20.799 --> 00:12:22.919]  And people say, well, Americans won't be intimidated.
[00:12:22.919 --> 00:12:23.720]  This will backfire.
[00:12:23.720 --> 00:12:23.960]  Really?
[00:12:27.028 --> 00:12:33.971]  Public schools and colleges all over the country, if you try to say man or woman on the entrance form, we'll throw you out!
[00:12:33.971 --> 00:12:36.171]  We live in a cult!
[00:12:36.171 --> 00:12:41.293]  Look at political correctness!
[00:12:41.293 --> 00:12:49.737]  On YouTube, they get strikes on famous chess channels if white knight takes black pawn, because that could be seen as racist.
[00:12:49.737 --> 00:12:51.617]  I was telling a lawyer that, and he didn't believe me.
[00:12:51.617 --> 00:12:53.298]  He pulled it up and his mouth fell open.
[00:12:55.851 --> 00:13:07.874]  That's the level of the cult and we've bowed to them so much for so long they think we're going to bow to them again and forever.
[00:13:07.874 --> 00:13:11.395]  But one young man last night in Austin thought that too.
[00:13:11.395 --> 00:13:13.015]  We'll play that when we come back.
[00:13:13.015 --> 00:13:15.156]  He's got his AK-47.
[00:13:15.156 --> 00:13:17.117]  He's too ignorant to know that it's actually like a Mac 90.
[00:13:17.117 --> 00:13:18.377]  It's semi-auto.
[00:13:20.014 --> 00:13:22.815]  And he says, you know, I'd like to kill some police.
[00:13:22.815 --> 00:13:25.977]  If I kill cops, they'll kill me, so we'll see.
[00:13:25.977 --> 00:13:31.700]  He goes, none of these people out here that we're going to be menacing or threatening have got any balls.
[00:13:31.700 --> 00:13:35.541]  And so he said, well, you'll see what he said when we come back.
[00:13:35.541 --> 00:13:37.222]  We'll play that first.
[00:13:37.222 --> 00:13:41.344]  And then he runs out into traffic and blocks people's cars.
[00:13:41.344 --> 00:13:42.985]  And the witnesses say he raised the gun.
[00:13:42.985 --> 00:13:45.146]  And there's video of him raising it up towards the window.
[00:13:45.146 --> 00:13:48.888]  And then you hear what sounds like rifle shots and then handgun shots.
[00:13:49.688 --> 00:13:56.770]  And some journalists are saying that that's why the news is being suppressed is what happened because it looks like it's like a Somali in Seattle drove through.
[00:13:56.770 --> 00:13:58.271]  They were running around on the road at night.
[00:13:58.271 --> 00:13:59.051]  He hit two women.
[00:13:59.051 --> 00:14:00.711]  They wanted to say it was a white supremacist.
[00:14:00.711 --> 00:14:02.792]  For days they wouldn't say what color he was.
[00:14:02.792 --> 00:14:08.174]  It was a Somali guy that just got on the highway and people ran out in front of him at night.
[00:14:08.174 --> 00:14:10.895]  And you saw that story go away?
[00:14:10.895 --> 00:14:12.135]  But the point is is that
[00:14:14.482 --> 00:14:18.784]  You heard, oh, a white supremacist attacked somebody for no reason in Austin last night.
[00:14:18.784 --> 00:14:31.548]  And then we've got all this footage of BLM, mainly white people, and Antifa all over the country running out in roads and just shooting at vehicles.
[00:14:31.548 --> 00:14:37.751]  But I kept saying, man, in a lot of areas of Texas, you run up and surround somebody's car and then point a rifle at them?
[00:14:39.326 --> 00:14:44.791]  It's not going to go well, but that's why the orders from Soros have come down in places like St.
[00:14:44.791 --> 00:14:49.915]  Louis with the McCluskey family, where they broke down their gate, came on their yard, were threatening to kill them.
[00:14:49.915 --> 00:14:51.096]  It's on the video.
[00:14:51.096 --> 00:14:52.437]  They pointed guns at them.
[00:14:52.437 --> 00:14:53.699]  One of them was a prop.
[00:14:53.699 --> 00:14:54.840]  They were lawyers.
[00:14:54.840 --> 00:14:56.281]  It was a prop from a case they had.
[00:14:59.738 --> 00:15:10.762]  And they SWAT teamed them, now they've indicted them, because they want the message that when we come to burn your house, you bow down and don't fight back, so the riots can get steam and really burn down the country.
[00:15:10.762 --> 00:15:25.406]  Because they want the citizens to stand down, and the police to stand down, so they can take full control of all the government buildings, just like the Bolsheviks did in 1917, and refuse fascism, and all the Soros-funded groups admit that's their plan.
[00:15:25.406 --> 00:15:26.907]  And they just overthrew Ukraine!
[00:15:27.367 --> 00:15:33.573]  Five years ago, with the very same groups, and the very same tactics!
[00:15:33.573 --> 00:15:40.220]  And now, Atlantic Monthly and others are saying, and remember what Maxine Waters said, confront these people everywhere, attack them everywhere!
[00:15:40.220 --> 00:15:44.845]  And now they've gone to the head of DHS's house, and they're threatening him!
[00:15:44.845 --> 00:15:46.786]  Because that's what they do!
[00:15:46.786 --> 00:15:48.909]  They went to Mitch McConnell's house and said, we're gonna murder you!
[00:15:50.063 --> 00:15:55.158]  When Mitch said it was wrong, Twitter censored him and Mitch McConnell faint twittering on his knees.
[00:15:55.158 --> 00:15:57.364]  So you're capitulating as asking for this.
[00:15:59.870 --> 00:16:04.311]  Storeable food is again available for shipping within three to four weeks.
[00:16:04.311 --> 00:16:04.952]  We have it.
[00:16:04.952 --> 00:16:08.433]  It's high quality, but it's got to be packaged and shipped out to you.
[00:16:08.433 --> 00:16:10.973]  Some items are shipping in a week, some in four weeks.
[00:16:10.973 --> 00:16:12.314]  So they're saying three to four weeks.
[00:16:12.314 --> 00:16:13.374]  It's my Patriot.
[00:16:13.374 --> 00:16:14.434]  We have their full catalog.
[00:16:14.434 --> 00:16:17.355]  They're in our back end at InfoWarsStore.com.
[00:16:17.355 --> 00:16:22.397]  Get your orders in now before the next big surge comes in.
[00:16:22.397 --> 00:16:27.218]  Believe me, every angle I've looked at tells me that really, really serious times are ahead.
[00:16:27.538 --> 00:16:35.488]  Whether Trump wins or loses, the globalists have already created a worldwide depression, lockdowns on a planetary scale, and it's only intensifying.
[00:16:35.488 --> 00:16:38.693]  This is one of the big boxes you've got to get checked off.
[00:16:38.693 --> 00:16:40.155]  It's high quality, affordable food.
[00:16:40.155 --> 00:16:44.180]  My Patriot has really good, high quality food at a very affordable price.
[00:16:44.520 --> 00:16:47.402]  And the packaging is the best you're going to find out there.
[00:16:47.402 --> 00:16:50.483]  Check it out for yourself at InfoWarStore.com.
[00:16:50.483 --> 00:16:57.127]  And then, the money that comes in that's extra helps us fund the information warfare operation that fights the globalist toe-to-toe.
[00:16:57.127 --> 00:16:59.608]  Get your storable food now at InfoWarStore.com.
[00:16:59.608 --> 00:17:04.830]  There are a lot of reasons to get an Alex Jones plastic mask at InfoWarStore.com.
[00:17:04.830 --> 00:17:06.451]  You can wear them out to political events.
[00:17:06.451 --> 00:17:08.152]  You can trigger LibTards.
[00:17:08.152 --> 00:17:13.515]  One of the biggest reasons is it's a great conversation starter at any costume party or
[00:17:14.241 --> 00:17:15.301]  At Halloween.
[00:17:15.301 --> 00:17:21.543]  But on top of that, they admit that wearing these masks does absolutely nothing to protect you from COVID-19 or anything else.
[00:17:21.543 --> 00:17:28.144]  It's total virtue signaling to show that you're prepared for the forced inoculations and contact tracing that they're openly announcing.
[00:17:28.144 --> 00:17:29.945]  It's an act of submission.
[00:17:29.945 --> 00:17:33.366]  It's an act of like putting a burka on your head and bowing down.
[00:17:33.366 --> 00:17:38.247]  But a big reason to wear these is then into stores when people ask you why you're wearing a Halloween mask, say,
[00:17:38.706 --> 00:17:43.108]  It's just as useless as the stupid cloth mask that you're wearing.
[00:17:43.108 --> 00:17:46.909]  And the M95 mask only controls what's coming in, not what's going out.
[00:17:46.909 --> 00:17:48.990]  So they quote, spread COVID-19.
[00:17:48.990 --> 00:17:50.490]  They don't protect from it.
[00:17:50.490 --> 00:17:53.451]  So again, it's a great way to throw it back in these control freak spaces.
[00:17:53.451 --> 00:17:56.092]  You buy one for $9.95, you get four more free.
[00:17:56.092 --> 00:17:57.092]  They're at cost.
[00:17:57.092 --> 00:17:58.493]  Infowarrestore.com.
[00:18:00.151 --> 00:18:10.466]  The bad news is Western governments have totally let multinational big tech bring in communist Chinese style total net surveillance censorship with AI.
[00:18:10.466 --> 00:18:15.173]  The good news is they had to do that to carry out this world government COVID takeover.
[00:18:15.854 --> 00:18:24.217]  This planetary corporate reset that COVID covers for, because the truth is powerful and will defeat them and will smash them.
[00:18:24.217 --> 00:18:44.104]  And the good news is there are still sites like band.video, newswars.com, infowars.com, paulwatsonsite, summit.news, and a lot of other great sites that are getting massive traffic thanks to you and your word of mouth that is king, that is queen, that is the master of our own
[00:18:44.744 --> 00:18:45.785]  Destinies.
[00:18:45.785 --> 00:18:52.708]  Ladies and gentlemen, there is a war on reality, a war on civilization, a war on our health, a war on our economy.
[00:18:52.708 --> 00:18:57.211]  But being aware of it and standing up to it and speaking out against it will defeat it.
[00:18:57.211 --> 00:19:00.933]  So take action or be slaves.
[00:19:00.933 --> 00:19:09.057]  As men age, they often experience a slowdown in vitality, energy, and overall wellness.
[00:19:10.393 --> 00:19:15.137]  And that's why we made one of our most popular formulas to date.
[00:19:15.137 --> 00:19:17.479]  Super Male Vitality!
[00:19:17.479 --> 00:19:26.346]  Specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[00:19:26.346 --> 00:19:37.195]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[00:19:37.495 --> 00:19:38.175]  Yes.
[00:19:38.175 --> 00:19:43.077]  We're talking about ancient wisdom combined with modern technology.
[00:19:43.077 --> 00:19:49.838]  Working together in perfect synchronicity to help you get the most out of this herb-packed formula.
[00:19:49.838 --> 00:19:51.039]  So what are you waiting for?
[00:19:51.039 --> 00:19:52.899]  Go to the InfoWars store.
[00:19:52.899 --> 00:19:55.720]  Never been a better time than right now.
[00:19:55.720 --> 00:20:03.782]  Super Male Vitality at InfoWarsStore.com.
[00:20:03.782 --> 00:20:06.463]  You're listening to the Alex Jones Show.
[00:20:24.044 --> 00:20:36.832]  The social engineers, the globalists, and their bought-and-paid-for corporate media that's back on the chi-coms and every other America-hating institution are counting on sucker-punching the American people.
[00:20:37.639 --> 00:21:01.181]  But I've been reading the Council on Foreign Relations reports and tracking them since Trump got elected, and they talked about triggering nationwide riots, calling it racial, and then using that as the pretext to have a coup against the President, and then they think everybody will just sit down in fear and accept it, but they need a lockdown in place first, and that's what they're using the virus for, so you're used to being told, stay in your home, do what we say.
[00:21:02.227 --> 00:21:05.548]  We've already put you into that artificial martial law.
[00:21:05.548 --> 00:21:07.189]  So here's the headline for the live show today.
[00:21:07.189 --> 00:21:07.949]  I hope you'll share it.
[00:21:07.949 --> 00:21:09.990]  That's how we reach new people and stop this.
[00:21:09.990 --> 00:21:10.510]  Red alert!
[00:21:10.510 --> 00:21:14.312]  Deep state Dems have already launched a violent plan to overthrow the U.S.
[00:21:14.312 --> 00:21:16.072]  government.
[00:21:16.072 --> 00:21:20.134]  Now let me show you some news articles and I'm going to play the clips proving it all.
[00:21:20.134 --> 00:21:20.934]  Schiff!
[00:21:20.934 --> 00:21:31.238]  Trump will refuse to accept election results and allow peaceful transition, though they're the ones gearing up for total violence now with people being killed every couple hours and the media in lockstep covering it up.
[00:21:31.997 --> 00:21:36.779]  Leftist mag issues threat violence and riots will skyrocket if Trump wins election.
[00:21:36.779 --> 00:21:38.400]  That's Atlantic Monthly.
[00:21:38.400 --> 00:21:42.722]  Black Trump supporter executed in broad daylight for holding up a Trump sign in Wisconsin.
[00:21:42.722 --> 00:21:47.145]  Leftist pledge anyone supporting Trump will be murdered.
[00:21:47.145 --> 00:21:49.426]  All they want to do is condemn law enforcement.
[00:21:49.426 --> 00:21:53.108]  DHS Secretary Chad Wolf blasts Democrats on Fox News.
[00:21:53.108 --> 00:21:54.969]  They come to his house, threaten to kill him.
[00:21:55.882 --> 00:21:57.842]  That's right, townhall.com.
[00:21:57.842 --> 00:22:04.524]  Meanwhile, Portland rioters occupy exterior of federal courthouse, raise American flag upside down, because they're inverting it.
[00:22:04.524 --> 00:22:05.164]  Actually, it's true.
[00:22:05.164 --> 00:22:07.404]  The country is in crisis.
[00:22:07.404 --> 00:22:09.405]  That's coming up.
[00:22:09.405 --> 00:22:15.266]  Radio host mocks Trump by claiming Seattle's peaceful, then rioters burn down his apartment building.
[00:22:15.266 --> 00:22:21.587]  Video, Colorado BLM protester shoots fellow demonstrator while aiming at a car that sped through the crowd.
[00:22:21.587 --> 00:22:23.628]  They just ran on the highway trying to be hit.
[00:22:24.636 --> 00:22:27.477]  And the glass from a Somali hit him so they couldn't say white supremacist.
[00:22:27.477 --> 00:22:28.477]  The guy didn't know what was happening.
[00:22:28.477 --> 00:22:30.478]  He just ran out in front of him at night.
[00:22:30.478 --> 00:22:32.118]  Protests erupt across country.
[00:22:32.118 --> 00:22:35.099]  Black militia member accidentally shoots comrades in parts.
[00:22:35.099 --> 00:22:37.860]  Promptly blames white supremacism.
[00:22:37.860 --> 00:22:43.902]  Black Lives Matter activists have their toddlers carry F the police signs and use them as human shields.
[00:22:43.902 --> 00:22:47.783]  Black conservatives stabbed by anti-med during Portland Black Lives Matter riots.
[00:22:47.783 --> 00:22:48.583]  Shocking video.
[00:22:48.583 --> 00:22:50.104]  We're going to play all this next segment.
[00:22:51.161 --> 00:22:52.922]  And the flag upside down.
[00:22:52.922 --> 00:22:54.563]  Austin Protester.
[00:22:54.563 --> 00:22:55.823]  Allegedly armed with AK-47.
[00:22:55.823 --> 00:22:58.024]  I don't know why it says allegedly.
[00:22:58.024 --> 00:22:59.185]  He said he had an AK-47.
[00:22:59.185 --> 00:23:01.426]  It was a semi-automatic version of that.
[00:23:01.426 --> 00:23:06.289]  Shot by a driver while blocking traffic and approaching vehicle.
[00:23:06.289 --> 00:23:09.850]  We're gonna get to that first, right now.
[00:23:09.850 --> 00:23:12.612]  Listen to what... By the way, look at this guy's background.
[00:23:12.612 --> 00:23:15.033]  You talk about a creep.
[00:23:15.033 --> 00:23:15.913]  I'm just gonna leave it at that.
[00:23:17.776 --> 00:23:21.299]  You talk about bizarre and stupid.
[00:23:21.299 --> 00:23:24.981]  LARPing out at night, blocking traffic with a gun, pointing it at somebody.
[00:23:24.981 --> 00:23:25.362]  A threat.
[00:23:25.362 --> 00:23:27.303]  People have a right to defend themselves.
[00:23:27.303 --> 00:23:30.725]  But this individual, we've got his name, all the information is on Infowars.com.
[00:23:30.725 --> 00:23:38.911]  Here's what he said about ten minutes before he ran out with a mob to stop cars, pointed his gun reportedly at somebody and got shot.
[00:23:38.911 --> 00:23:39.212]  Here it is.
[00:23:43.032 --> 00:23:44.254]  Oh, it's AK-47.
[00:23:44.254 --> 00:23:48.101]  Why'd you got it out tonight?
[00:23:48.101 --> 00:23:52.049]  They don't let us march in the streets anymore, so I got to practice some of our rights.
[00:23:54.213 --> 00:23:57.436]  Do you feel like you'll need to use it?
[00:23:57.436 --> 00:24:03.982]  Nah, I think the uh... I mean if I use it against the cops I'm dead.
[00:24:03.982 --> 00:24:13.650]  And I think all the people that hate us and you know want to say s*** to us are too big of a pussies to stop and actually do anything about it.
[00:24:14.711 --> 00:24:16.572]  Why'd you start carrying?
[00:24:16.572 --> 00:24:21.796]  Well, our roommate got arrested and they stopped letting us march anywhere, so I started carrying.
[00:24:21.796 --> 00:24:21.916]  Thanks.
[00:24:45.312 --> 00:24:51.880]  But you hear in the video it sounds like he's shooting first, you hear a rifle shoot, then you hear three shots return that are muffled.
[00:24:52.762 --> 00:24:58.647]  And that's what experts that are looking at the tape are saying, but of course it will be covered up by the leftist city of Austin, if that is indeed the case.
[00:24:58.647 --> 00:25:02.970]  But regardless, run out in traffic, block somebody, point a gun at them, this is what happens.
[00:25:02.970 --> 00:25:08.555]  We have all these videos that just happened of them shooting at cars and actually shooting people.
[00:25:08.555 --> 00:25:10.737]  And when it happens, it's hardly on the news.
[00:25:10.737 --> 00:25:16.341]  It's a little blip on the radar screen that, oh, peaceful protesters shot somebody else today.
[00:25:16.341 --> 00:25:17.803]  Here's one shock video.
[00:25:17.803 --> 00:25:20.345]  BLM Antifa rioter shoots driver
[00:25:21.909 --> 00:25:26.150]  Trying to pass protests across the country.
[00:25:26.150 --> 00:25:30.291]  Black militia member accidentally shoots comrades in a park.
[00:25:30.291 --> 00:25:39.773]  And we're showing all this for TV viewers.
[00:25:39.773 --> 00:25:40.394]  Let's do this.
[00:25:40.394 --> 00:25:41.514]  Let's let's do this.
