[00:00:09.645 --> 00:00:11.227]  I rarely get goosebumps.
[00:03:28.603 --> 00:03:30.424]  We've known day one, 11 months, don't do it.
[00:03:30.905 --> 00:03:33.726]  But they did it, and he's dead.
[00:03:34.687 --> 00:03:36.688]  Deader than a box of hammers.
[00:03:39.030 --> 00:03:46.014]  But when you see the headlines, oh, he died of COVID, and the left celebrated it.
[00:03:46.374 --> 00:03:47.915]  Oh, he's a Republican.
[00:03:48.095 --> 00:03:49.196]  Oh, he deserves it.
[00:03:49.516 --> 00:03:49.696]  Oh.
[00:03:50.537 --> 00:03:52.518]  But you see, we already have the CDC's own numbers.
[00:03:53.516 --> 00:03:54.997]  Year to date, the year's almost over.
[00:03:55.857 --> 00:04:00.279]  Right at about the same amount of deaths we had in 2019, we've had in 2020.
[00:04:00.319 --> 00:04:07.941]  The facts don't lie, but oh, what happened to Epstein's jailmate that got moved the day before he was killed?
[00:04:10.062 --> 00:04:12.183]  He got his neck broken, reportedly, like Epstein.
[00:04:12.823 --> 00:04:14.364]  But they said he died of COVID.
[00:04:16.658 --> 00:04:17.979]  You know, Kennedy died of COVID.
[00:04:18.079 --> 00:04:19.820]  Yeah, he didn't get his head blown off or anything.
[00:04:20.360 --> 00:04:21.941]  So that's all coming up.
[00:04:22.081 --> 00:04:22.881]  Died of car wreck?
[00:04:22.961 --> 00:04:23.321]  COVID.
[00:04:23.741 --> 00:04:24.862]  Died of motorcycle accident?
[00:04:24.982 --> 00:04:25.322]  COVID.
[00:04:25.542 --> 00:04:28.884]  When I grow up, I want to see Bill Gates put in prison.
[00:04:29.064 --> 00:04:33.206]  We now take you live to the front lines of the fight for the human future.
[00:04:33.746 --> 00:04:35.227]  It is December 30th.
[00:04:35.487 --> 00:04:42.290]  The year is 2020, and we are 21 days out from the inauguration of the Chinese Communist agent.
[00:04:42.931 --> 00:04:44.472]  I am Alex Jones, your host.
[00:04:44.732 --> 00:04:45.012]  Woo!
[00:04:47.728 --> 00:04:52.051]  You know, as negative as things seem, I gotta get my Ric Flair on and say, WOO!
[00:04:52.631 --> 00:04:59.815]  Because, if you look back 20 years ago, 10 years ago, a year ago, the world is white-hot awake to the New World Order right now.
[00:05:00.316 --> 00:05:04.678]  And they've been forced to try to steal this election in front of God and the whole world.
[00:05:06.519 --> 00:05:15.525]  And just everything they do is turning to pure crap as they try to wreck the economy, as they put us under siege, as everything they do gets exposed, they're a bunch of criminals.
[00:05:16.997 --> 00:05:20.839]  And so humanity's not going down without an explosive fight.
[00:05:22.820 --> 00:05:27.683]  And humanity is fighting back, and the New World Order is in a absolute panic.
[00:05:28.843 --> 00:05:36.848]  Okay, we've got that New York nurse that first came on and showed how they are intubating people that are totally healthy and do not have COVID-19 and killing them.
[00:05:37.408 --> 00:05:42.010]  She's gonna pop back in today, big whistleblower, because this is in the news.
[00:05:42.131 --> 00:05:44.252]  Congressman-elect Luke Letlob
[00:05:45.345 --> 00:05:47.806]  Suffered a heart attack following operation.
[00:05:50.066 --> 00:05:52.687]  They were doing, they were intubating him and a bunch of other stuff.
[00:05:53.447 --> 00:05:55.807]  And they say he died of a heart attack, not of COVID.
[00:05:57.608 --> 00:06:02.249]  Well, that's exactly what this nurse and many medical doctors have said is going on.
[00:06:02.269 --> 00:06:04.149]  But when you read the rest of the news, that's the New York Post.
[00:06:05.669 --> 00:06:13.631]  Fox reporter backpedals at his mocking of Republican representative-elect from COVID after Twitter beatdown.
[00:06:15.247 --> 00:06:16.627]  But he didn't die of COVID.
[00:06:16.647 --> 00:06:24.209]  They say he died of a heart attack from the procedures they were doing to his lungs, lungs, lungs, lungs, lungs.
[00:06:28.209 --> 00:06:30.130]  Simply amazing.
[00:06:32.910 --> 00:06:38.091]  We're gonna be going through all of the latest COVID information today.
[00:06:38.311 --> 00:06:42.012]  Also, we have Joe Hoft, the analyst,
[00:06:43.379 --> 00:06:49.524]  Corporate Fraud Auditor with a lot of big new developments on the election fraud front popping in.
[00:06:51.746 --> 00:07:02.195]  And we also have a very interesting analyst and former world champion, Bare Knuckles boxer, Andrew Tate of CobraTate.com joining us.
[00:07:02.695 --> 00:07:03.997]  He lives in Eastern Europe.
[00:07:04.872 --> 00:07:12.676]  I can give you a breakdown on the Islamic ongoing invasion, the UN lockdowns, how Eastern European countries are resisting in some cases, submitting in others.
[00:07:13.156 --> 00:07:16.198]  That should be a very informative talk as well.
[00:07:18.925 --> 00:07:28.471]  Trump said three days ago, I'm going to sign the bill because they've promised to go back and vote on $2,000 per person, $4,000 per family.
[00:07:29.432 --> 00:07:32.454]  And the left attacked him for that and said it was evil and wrong.
[00:07:33.074 --> 00:07:37.877]  They wanted to give 90 plus percent of the emergency package to foreign banks and dictatorships.
[00:07:38.477 --> 00:07:42.040]  And Trump said, no, we should give the majority of the money if we're going to do this out of the Treasury.
[00:07:42.080 --> 00:07:43.501]  It's their tax money anyways to them.
[00:07:44.241 --> 00:07:46.122]  I think it's a very dangerous game to begin with.
[00:07:46.202 --> 00:07:53.387]  You keep doing these stimuluses and it's the road to inflation, it's the road to dependency, but it is a lesser of two evils if there ever was one.
[00:07:53.407 --> 00:08:04.475]  Instead of giving all the money to foreign countries and dictators and corrupt institutions and gender studies in Africa, teaching African men how to be women, literally,
[00:08:06.212 --> 00:08:08.713]  Shouldn't it just be direct payments to kickstart the economy?
[00:08:08.733 --> 00:08:14.397]  Because the whole point of the Globalist is to shut down the economy, to bankrupt Main Street, to bankrupt the middle class.
[00:08:14.497 --> 00:08:15.137]  That's on record.
[00:08:15.177 --> 00:08:16.038]  That's the Great Reset.
[00:08:16.398 --> 00:08:17.178]  That's the New World Order.
[00:08:18.659 --> 00:08:20.940]  So Trump is trying to directly fight that.
[00:08:21.521 --> 00:08:24.002]  But I mean, what, the last stimulus money was six months ago?
[00:08:25.863 --> 00:08:26.704]  Well, it was $2,000.
[00:08:28.184 --> 00:08:29.765]  Now it's $2,000 again?
[00:08:30.906 --> 00:08:32.627]  Even if Mitch McConnell can get the bill through?
[00:08:33.891 --> 00:08:35.072]  It is a lesser of two evils.
[00:08:35.112 --> 00:08:43.540]  It would be much better to end the lockdowns, to end the shutdown, and get the talking point out that Communist China is bragging.
[00:08:44.687 --> 00:08:50.030]  We've played the clip, so has Tucker Carlson, on national TV that, haha, the Americans will not even exist soon.
[00:08:50.370 --> 00:08:51.570]  America will be dead.
[00:08:51.590 --> 00:08:52.451]  These are quotes.
[00:08:53.111 --> 00:08:54.752]  We control their higher circles.
[00:08:54.832 --> 00:08:56.553]  They will never reopen again.
[00:08:57.173 --> 00:08:58.414]  We did right with COVID.
[00:08:58.454 --> 00:08:58.934]  They didn't.
[00:08:59.174 --> 00:09:01.835]  Of course, they just did a fake lockdown and were never really closed.
[00:09:02.336 --> 00:09:04.897]  And now, because they did bad, they have all the cases.
[00:09:05.277 --> 00:09:06.978]  They've stopped the PCR test.
[00:09:10.407 --> 00:09:17.573]  Here, if three people take the test, sometimes they make businesses, make people, some of them, take it three times a day.
[00:09:17.593 --> 00:09:18.794]  I mean, three times a week.
[00:09:20.715 --> 00:09:25.459]  We had a DC cop and we had some Maryland cops as security last time we were in DC.
[00:09:26.620 --> 00:09:29.763]  And I went out to dinner with a few of them because I wanted to pick their brains.
[00:09:30.203 --> 00:09:33.206]  And they said, listen, we do auxiliary work for the Secret Service.
[00:09:34.312 --> 00:09:43.260]  And when we work for the Feds, every time we go in for a shift, they do a PCR test in a little automatic machine like Joe Rogan had me do for his show.
[00:09:46.203 --> 00:09:55.451]  And when somebody does test positive, they keep testing them and they count it as a COVID each time, even though they admit, no, you really don't have COVID.
[00:09:56.800 --> 00:10:03.642]  But that's put into a database of all these COVID numbers, and now they just count everyone that dies of something else as COVID.
[00:10:03.802 --> 00:10:04.622]  And we all know that.
[00:10:06.163 --> 00:10:15.266]  But at the minute I saw that this congressman had, quote, died of COVID, I said, I bet when I read deeper, there'll be a footnote that he died of something else.
[00:10:16.286 --> 00:10:19.607]  And sure, as the sun came up, he died of a heart attack.
[00:10:21.348 --> 00:10:25.369]  It's like, the head Palestinian negotiator died of COVID.
[00:10:26.547 --> 00:10:34.134]  And it said two years ago, he got a risky double lung transplant because of lung cancer.
[00:10:34.555 --> 00:10:37.558]  He also had liver cancer and had been in a coma.
[00:10:39.319 --> 00:10:41.882]  He died in Israel of COVID.
[00:10:47.605 --> 00:11:00.989]  But as soon as I saw CNN, you know, oh, the head Palestinian died, and then I read, not even CNN, I had to read other places, oh, that he had had a double lung transplant years ago and had been in a coma and had cancer?
[00:11:03.830 --> 00:11:08.371]  So basically, if you get hit by a car, if you get eaten by a shark,
[00:11:09.434 --> 00:11:13.736]  If you die of cancer, if you die of pneumonia, if you die of the flu, you are COVID.
[00:11:14.036 --> 00:11:16.497]  And every winter, they'll say, oh, COVID is up.
[00:11:16.958 --> 00:11:18.118]  We've got a lockdown again.
[00:11:18.158 --> 00:11:19.599]  And notice, all the lockdowns don't work.
[00:11:19.819 --> 00:11:20.499]  It only gets worse.
[00:11:20.920 --> 00:11:24.982]  Because what does Cuomo and what does Newsom and what does all of them say?
[00:11:26.142 --> 00:11:28.143]  Testing, testing, testing, testing.
[00:11:28.523 --> 00:11:30.504]  Ventilators, ventilators, ventilators, ventilators.
[00:11:31.065 --> 00:11:33.686]  Get a bunch of people that aren't sick, put them on ventilators, kill them.
[00:11:34.446 --> 00:11:34.666]  Get your $53,000.
[00:11:34.706 --> 00:11:35.066]  Hype up the fear.
[00:11:39.574 --> 00:11:40.874]  It's simply incredible.
[00:11:42.375 --> 00:11:45.576]  So I want to ask you, what do you think Trump should do with 21 days out?
[00:11:47.077 --> 00:11:52.579]  Do you think he's going to be at the big, giant march on Wednesday?
[00:11:52.599 --> 00:11:55.159]  Gee, I don't know.
[00:11:55.179 --> 00:11:58.341]  I don't even know what time he's speaking on Wednesday.
[00:11:58.941 --> 00:12:00.581]  But I'm going to let the president announce that.
[00:12:00.701 --> 00:12:03.662]  And the word is, he should be making an announcement this afternoon.
[00:12:05.463 --> 00:12:07.244]  But he said, please come to D.C.
[00:12:07.284 --> 00:12:08.064]  It's going to be wild.
[00:12:10.450 --> 00:12:25.480]  And we need millions and millions of people there when the Congress is set to have senatorial debate on not accepting these electors from Wisconsin, Michigan, Pennsylvania, Georgia, Arizona, Nevada, where now
[00:12:26.670 --> 00:12:28.791]  People just become kind of numb to it.
[00:12:29.251 --> 00:12:30.472]  The evidence of fraud.
[00:12:30.532 --> 00:12:32.193]  They had total evidence a month ago.
[00:12:32.593 --> 00:12:34.514]  Complete over-the-top evidence two weeks ago.
[00:12:34.994 --> 00:12:38.976]  And now, it's just videos of people stuffing ballot boxes.
[00:12:39.296 --> 00:12:41.617]  Videos of people running the same stack of ballots over and over again.
[00:12:41.877 --> 00:12:46.199]  Videos of them kicking everybody out and covering up the windows and then engaging in the fraud.
[00:12:46.460 --> 00:12:47.380]  Michigan, you name it.
[00:12:48.260 --> 00:12:49.081]  Pennsylvania, Georgia.
[00:12:52.389 --> 00:12:56.470]  Democrat judges trying to block signature checks when they're found.
[00:12:58.230 --> 00:13:00.471]  They're getting ready to steal Georgia with both the Senate seats.
[00:13:00.591 --> 00:13:04.191]  I mean, this is absolutely out of control and crazy.
[00:13:05.272 --> 00:13:08.892]  I think Trump should be at the Resolute Desk every night exposing this and fighting this.
[00:13:08.912 --> 00:13:13.473]  I guess he wants to build up the crescendo so when he does speak, people really listen.
[00:13:13.533 --> 00:13:14.594]  I don't think that's the strategy.
[00:13:14.634 --> 00:13:16.034]  We're running out of time.
[00:13:17.861 --> 00:13:18.682]  What do you think you should do?
[00:13:18.962 --> 00:13:30.209]  And what are you going to do when they try to intimidate you to take these deadly vaccines, which they now admit, Pfizer, Moderna, they all came out and said quietly, by the way, this won't even protect you from COVID.
[00:13:30.709 --> 00:13:36.433]  It won't protect you from mutations and you'll have to get five of them a year and you'll still be able to spread it.
[00:13:37.374 --> 00:13:40.176]  Now the head of the WHO, the head vaccine program, she said that yesterday.
[00:13:41.044 --> 00:13:46.147]  And now nurses that took the shot two weeks ago are going, they say I've got COVID now!
[00:13:46.487 --> 00:13:49.769]  Of course the vaccine made you test positive, Dumbo!
[00:13:50.850 --> 00:13:52.991]  Why do you think they're testing positive for HIV?
[00:13:53.011 --> 00:13:56.313]  I mean, this is such an evil rollout.
[00:13:57.434 --> 00:14:03.497]  We'll open the phones up, we'll get the number out when we come back, and I'll explain the methodology behind what's happening, why this is so obvious.
[00:14:04.378 --> 00:14:05.979]  I can tell you, my friends, this
[00:14:07.441 --> 00:14:09.483]  January 6th in D.C.
[00:14:10.303 --> 00:14:11.744]  has got the establishment scared.
[00:14:13.526 --> 00:14:16.808]  They've had the CIA and the FBI following me around for over a month.
[00:14:17.429 --> 00:14:18.650]  They've been following other people around.
[00:14:19.350 --> 00:14:20.511]  They've had people reach out to us.
[00:14:20.811 --> 00:14:24.534]  They've come and visited us and just said, please be careful in D.C.
[00:14:24.934 --> 00:14:26.035]  Please be careful at these rallies.
[00:14:26.115 --> 00:14:27.677]  Please don't incite anyone.
[00:14:28.537 --> 00:14:29.738]  Please, it's so dangerous.
[00:14:29.778 --> 00:14:31.019]  We're so concerned.
[00:14:31.760 --> 00:14:33.241]  They had a big ABC Nightly News.
[00:14:35.106 --> 00:14:40.690]  Anchor, I'll leave it at that, say one of their big people, call me up and say, we're so scared, you're not planning anything.
[00:14:40.710 --> 00:14:42.812]  And I always say to them, you know, that's funny.
[00:14:42.992 --> 00:14:50.678]  Antifa is the one that burned down all those police stations and public housing and shot people in the head and ran checkpoints and did all that terrible stuff.
[00:14:51.779 --> 00:15:00.565]  And BLM, they got $10.6 billion and it's been the left calling for all this violence and the overthrow of the government and no borders, no walls, no USA at all.
[00:15:00.605 --> 00:15:03.608]  It's the UN building refugee centers, then hammering our borders.
[00:15:05.430 --> 00:15:11.013]  It's Hollywood saying they wanted to bankrupt the economy and basically use COVID to drive Trump for power.
[00:15:12.714 --> 00:15:18.598]  And so past activity is always the best indicator of future activity.
[00:15:19.819 --> 00:15:23.181]  And so no, we're not planning to come to DC to overrun the Capitol.
[00:15:24.684 --> 00:15:26.204]  We're not planning to go to D.C.
[00:15:26.264 --> 00:15:28.965]  to shoot anybody or bomb anything.
[00:15:29.005 --> 00:15:29.885]  That's the last thing we want.
[00:15:30.085 --> 00:15:35.026]  We're there to show the numbers that Joe Biden can't get 1,000 people out or 100 people out.
[00:15:35.266 --> 00:15:40.327]  And everywhere Trump goes, he can get 20,000, 50,000, 100,000 or 5 million.
[00:15:41.707 --> 00:15:42.688]  We're voting with our feet.
[00:15:42.728 --> 00:15:46.128]  The Democrats are closing a bunch of the hotels and saying, oh, you're not allowed in the city.
[00:15:46.368 --> 00:15:46.809]  You know what?
[00:15:46.869 --> 00:15:47.969]  But the illegal aliens are.
[00:15:48.949 --> 00:15:49.649]  We're just not allowed.
[00:15:50.009 --> 00:15:53.750]  I got footage out of San Antonio where our listeners went to the mall.
[00:15:55.506 --> 00:15:58.328]  Didn't wear their mask and got assaulted by police.
[00:15:58.888 --> 00:16:02.771]  But if they were BLM burning the place down, the police would salute them.
[00:16:04.932 --> 00:16:09.155]  Because this is a disgusting political takeover.
[00:16:12.577 --> 00:16:13.377]  That's what this is.
[00:16:13.437 --> 00:16:15.919]  And so, I say this.
[00:16:15.959 --> 00:16:16.399]  We're going to DC.
[00:16:16.419 --> 00:16:18.080]  There's going to be millions of people there.
[00:16:18.601 --> 00:16:21.202]  And anti-fund BLM aren't going to show their little rat faces.
[00:16:23.064 --> 00:16:24.925]  If you are with children,
[00:16:26.428 --> 00:16:30.131]  You don't want to go out unaccompanied at parking garages or at night.
[00:16:32.073 --> 00:16:34.475]  Because there aren't really children or people in D.C.
[00:16:34.495 --> 00:16:34.695]  now.
[00:16:34.755 --> 00:16:36.857]  It's been locked down for months and months and months.
[00:16:37.417 --> 00:16:40.640]  And so, yes, they will attack women and children, but it's only a few cases of it.
[00:16:41.141 --> 00:16:42.882]  And that is if you get off the beaten path.
[00:16:43.843 --> 00:16:51.750]  And if you're wearing a Make America Great Again hat or any type of American flag, that is like a red banner to a bull.
[00:16:53.083 --> 00:17:05.592]  But we will outnumber them a thousand to one, and the police are under globalist control in D.C., but they are not about to try to start anything with millions of American people.
[00:17:05.652 --> 00:17:08.594]  So all of you should come to D.C.
[00:17:08.954 --> 00:17:09.895]  for this historic event.
[00:17:09.935 --> 00:17:16.800]  This is the same level as July 4, 1776, as we declare independence against the globalists and their operatives.
[00:17:16.880 --> 00:17:20.442]  And believe me, you're going to want to be there on the 5th and the 6th.
[00:17:22.352 --> 00:17:25.674]  And depending on what happens, a lot of people are going to end up just staying in D.C.
[00:17:26.334 --> 00:17:30.236]  and occupying it because Joe Biden is not our president.
[00:17:31.437 --> 00:17:32.277]  Be part of history.
[00:17:32.517 --> 00:17:33.237]  Fight for Trump.
[00:17:33.297 --> 00:17:33.998]  Fight for yourself.
[00:17:34.038 --> 00:17:34.798]  Fight for America.
[00:17:34.838 --> 00:17:36.539]  Fight for voting integrity.
[00:17:38.480 --> 00:17:41.782]  Fight with the First Amendment and with nonviolent action.
[00:17:43.683 --> 00:17:47.805]  Now, let's go to the puppet in chief, the so-called president-elect,
[00:17:48.837 --> 00:17:51.719]  Joe Biden again says the quiet part aloud.
[00:17:52.100 --> 00:17:54.282]  President-elect Kamala Harris.
[00:17:54.302 --> 00:17:54.722]  Here it is.
[00:17:57.164 --> 00:17:59.706]  I took it to instill public confidence in the vaccine.
[00:18:00.427 --> 00:18:04.130]  President-elect Harris took hers today for the same reason.
[00:18:05.751 --> 00:18:11.075]  And when the president's doctors recommend it, President Trump should take it and instill the same degree of confidence.
[00:18:16.291 --> 00:18:22.095]  Here is Joe Biden yesterday saying he's not getting his military briefings as a communist Chinese agent.
[00:18:22.536 --> 00:18:30.261]  With his son going, I work for the head communist Chinese, me and my dad are under criminal investigation, we get billions from them, I'm scared!
[00:18:31.182 --> 00:18:32.803]  But Bill Barr says no problem.
[00:18:33.784 --> 00:18:38.127]  And now Jeffrey Epstein's cellmate was found with his neck broken in his apartment.
[00:18:38.167 --> 00:18:43.051]  He died of COVID, just like this congressman they killed with innovation with a heart attack.
[00:18:44.071 --> 00:18:44.592]  Died of COVID.
[00:18:46.240 --> 00:18:52.162]  Next they're gonna say Jesus died of COVID, not of being crucified and bayoneted in the side.
[00:18:53.402 --> 00:19:01.505]  Let's go ahead and go to Joe Biden, whining that as a Chinese Communist agent, he hasn't been given the keys to the nukes yet to give the CHICOMs.
[00:19:01.525 --> 00:19:01.865]  Here it is.
[00:19:03.125 --> 00:19:11.688]  And right now, as our nation is in a period of transition, we need to make sure that nothing is lost in the handoff between administrations.
[00:19:13.103 --> 00:19:19.650]  My team needs a clear picture of our force posture around the world and our operations to deter our enemies.
[00:19:20.450 --> 00:19:32.542]  We need full visibility into the budget planning underway at the Defense Department and other agencies in order to avoid any window of confusion or catch-up that our adversaries may try to exploit.
[00:19:32.843 --> 00:19:33.563]  Our adversaries?
[00:19:33.784 --> 00:19:34.865]  As I said from the beginning,
[00:19:35.913 --> 00:19:42.819]  We have encountered roadblocks from the political leadership at the Department of Defense and the Office of Management and Budget.
[00:19:43.800 --> 00:19:53.589]  Right now, we just aren't getting all the information that we need from the ongoing administration in key national security areas.
[00:19:54.565 --> 00:19:57.487]  It's nothing short in my view of irresponsibility.
[00:19:57.967 --> 00:19:59.068]  Irresponsibility.
[00:19:59.108 --> 00:20:07.872]  You're the ones that had a shadow government and shadow diplomacy with you and John Kerry and Obama following Trump around the world telling world leaders don't listen to him.
[00:20:08.193 --> 00:20:09.173]  He'll be gone soon.
[00:20:09.213 --> 00:20:10.374]  Your previous coup attempts.
[00:20:11.434 --> 00:20:14.956]  You're the ones that tried to keep him from even getting an office.
[00:20:15.196 --> 00:20:17.678]  You're the ones that had the bureaucracy not do what the president said.
[00:20:19.986 --> 00:20:20.447]  Unbelievable.
[00:20:21.147 --> 00:20:22.148]  Let's go to this next clip.
[00:20:22.188 --> 00:20:28.114]  This is Australian Senator Jim Malone, former Major General on Communist China.
[00:20:29.595 --> 00:20:33.639]  Cutting edge night vision helmets soon to be distributed to more than 5,000 ADF personnel.
[00:20:37.600 --> 00:20:44.523]  It's part of the Morrison Government's record $270 billion investment in defence capability over the next decade.
[00:20:44.844 --> 00:20:47.765]  The ADF has never been better than it is now.
[00:20:48.205 --> 00:20:50.486]  And according to some, there's a reason for that.
[00:20:50.786 --> 00:21:00.031]  We are likely in the next three to five years, or in the next five to ten years, to be involved in a war between China and the United States.
[00:21:00.151 --> 00:21:08.134]  Former Major General and Liberal Senator Jim Molan says Australia must develop a national security strategy to prepare for war.
[00:21:08.554 --> 00:21:12.496]  A war is more likely now than it's been probably for 75 years.
[00:21:12.796 --> 00:21:14.476]  And security experts agree.
[00:21:14.777 --> 00:21:18.258]  It's certainly a much higher risk than we've seen for a long, long time.
[00:21:18.638 --> 00:21:24.820]  There are also concerns that the United States, our most powerful ally, is not at its greatest military capacity.
[00:21:25.721 --> 00:21:29.942]  In 1991, the US Navy was 600 warships strong.
[00:21:30.062 --> 00:21:31.343]  Now, it's less than 300.
[00:21:31.463 --> 00:21:34.304]  There's limits even to what the Americans can actually do.
[00:21:34.824 --> 00:21:39.867]  Labor says speculating about war is only making a bad situation with China worse.
[00:21:40.207 --> 00:21:44.109]  What we need now is a calm and strategic approach from Scott Morrison.
[00:21:44.449 --> 00:21:47.911]  Others within the coalition believe that we shouldn't be arguing with China.
[00:21:48.291 --> 00:21:53.134]  Rather, we should send officials to Beijing to try and repair the damaged relationship.
[00:21:53.674 --> 00:22:01.899]  Former Deputy PM Barnaby Joyce told 7Sunrise that Scott Morrison should not have demanded an inquiry into the origins of the coronavirus.
[00:22:02.059 --> 00:22:05.701]  You don't walk into the pub and pick a fight with the biggest person and think that you're not going to get punched back.
[00:22:06.141 --> 00:22:10.543]  One thing everyone agrees on, the current environment is extremely volatile.
[00:22:11.003 --> 00:22:12.804]  Jennifer Beshawati, 7 News.
[00:22:13.224 --> 00:22:14.544]  Did you hear that capitulation?
[00:22:14.604 --> 00:22:15.985]  China's basically taken over.
[00:22:17.907 --> 00:22:27.876]  Australia, they've taken control of all the rare earth minerals, they've bought off most of the city leaders, they implemented the lockdowns there, and so the Australian central government's trying to struggle away right now, that's what's happening.
[00:22:28.216 --> 00:22:34.462]  You heard the appeasement of some of the Democrat Labour leaders, like, you don't mess with the big guy, you do what they say.
[00:22:35.123 --> 00:22:40.107]  These are the Neville Chamberlains of our age, and now they're putting in their agent, Joe Biden, into the White House.
[00:22:40.507 --> 00:22:42.069]  That will only make them more aggressive.
[00:22:42.349 --> 00:22:42.869]  God help us.
[00:22:43.650 --> 00:22:48.673]  I cannot stress to you how incredibly important this time is we're all alive in.
[00:22:48.693 --> 00:22:55.198]  How important opening up a channel to God and asking God for guidance and discernment in the Holy Spirit.
[00:22:55.998 --> 00:22:58.360]  That is beyond critical, it is essential.
[00:23:01.772 --> 00:23:03.914]  I want to open the phones up in this segment and the next.
[00:23:04.434 --> 00:23:08.058]  The toll free number to join us is 877-789-2539.
[00:23:08.378 --> 00:23:12.662]  First time callers, long time callers, callers that disagree, callers that agree, I don't care.
[00:23:12.702 --> 00:23:13.602]  I want to move you quick.
[00:23:14.123 --> 00:23:17.025]  What's your take on what Trump needs to do with 21 days out?
[00:23:17.206 --> 00:23:17.966]  He's not giving up.
[00:23:18.246 --> 00:23:19.287]  More evidence is coming out.
[00:23:19.668 --> 00:23:20.468]  What's going to happen on the 6th?
[00:23:21.229 --> 00:23:22.629]  What do you make of all the COVID news?
[00:23:22.649 --> 00:23:23.990]  People dying from the vaccine.
[00:23:24.290 --> 00:23:25.230]  People convulsing.
[00:23:25.270 --> 00:23:26.810]  People getting paralyzed.
[00:23:26.850 --> 00:23:27.911]  People going into comas.
[00:23:28.391 --> 00:23:29.691]  The media trying to cover it up.
[00:23:29.831 --> 00:23:31.912]  It is just an insane time.
[00:23:31.932 --> 00:23:34.532]  What do you make of China threatening to attack the U.S.
[00:23:34.572 --> 00:23:35.893]  and threatening to attack Australia?
[00:23:36.273 --> 00:23:36.873]  Toll free number 877-789-2539.
[00:23:36.893 --> 00:23:38.013]  What would you call this time we're in?
[00:23:38.113 --> 00:23:39.434]  That's the big question.
[00:23:39.454 --> 00:23:39.674]  877-789-ALEX.
[00:23:49.838 --> 00:23:50.799]  Let me tell you who's coming up.
[00:23:51.260 --> 00:23:54.823]  Joe Hoff, the expert from Gateway Pond on the latest on election fraud.
[00:23:56.205 --> 00:24:03.012]  Nurse Erin Olszewski, that big whistleblower where they were killing people on purpose up in New York at the so-called epicenter of epicenters.
[00:24:03.032 --> 00:24:07.137]  That ties into this congressman-elect that they just killed intubating, it looks like.
[00:24:07.717 --> 00:24:09.820]  Many died of a heart attack during, quote, intubation.
