[00:00:01.101 --> 00:00:04.602]  It's Sunday, October 18th.
[00:01:54.084 --> 00:01:56.905]  They've now, they've now given him so much money, he's totally compromised.
[00:01:57.605 --> 00:02:03.207]  They now have pictures of his son doing things that, uh, doing things that I can't describe.
[00:02:06.628 --> 00:02:08.889]  Doing things that are illegal, he goes on to say.
[00:02:11.130 --> 00:02:11.910]  It's game time.
[00:02:12.771 --> 00:02:15.852]  The battle for Western civilization and the whole planet.
[00:02:18.419 --> 00:02:22.200]  October 18th, 2020, on this live Sunday transmission.
[00:02:26.902 --> 00:02:28.903]  I'm gonna be honest with you.
[00:02:29.643 --> 00:02:35.205]  I'm already freaked out by how evil the Globalist are and I live with this every day, knowing what a bunch of satanic pedophiles they are.
[00:02:36.026 --> 00:02:40.467]  So, I'm happy right now that this stuff's coming out.
[00:02:40.627 --> 00:02:41.608]  It also makes me sick.
[00:02:42.288 --> 00:02:44.549]  I sit there and look at the evidence hour after hour today.
[00:02:45.751 --> 00:02:52.857]  I've probably worked 20 hours the last two days just researching all this, just to try to prove myself wrong.
[00:02:55.198 --> 00:03:06.507]  And then this morning, I remembered Ted Gunderson, who never made a big deal about the fact that they actually tried to make him the FBI director, but he wasn't corrupt, so they wouldn't do it.
[00:03:07.868 --> 00:03:12.632]  And he ran the Southern California area and learned all the devil worship.
[00:03:13.407 --> 00:03:15.308]  So when he retired, he went up against it full-time.
[00:03:16.308 --> 00:03:33.036]  So I was reading the FBI website this morning, I just thought I'd Google his name, and I was reading the things he said, quotes in the 80s about, there's a shadow government using pedophilia to control and blackmail the population, and it's setting up networks internationally to bring down the United States.
[00:03:33.257 --> 00:03:38.179]  And I mean, I'm reading this from the FBI's own website, and it all was true.
[00:03:39.380 --> 00:03:41.621]  And I used to sit there, I probably had dinner with this guy 10 times.
[00:03:42.574 --> 00:03:45.575]  Paid for his hotel rooms a couple times when he came and gave speeches.
[00:03:46.175 --> 00:03:47.976]  And he's like, oh, I'm a retired FBI agent.
[00:03:48.496 --> 00:03:50.196]  Oh, yeah, I used to be kind of a big deal.
[00:03:51.096 --> 00:03:55.298]  And then later after, I mean, later once I've known him for about 10 years, I was like, wait a minute.
[00:03:55.818 --> 00:03:57.838]  This is like one of the most famous FBI agents ever.
[00:03:58.979 --> 00:04:01.680]  And he later admitted in some of the stuff he did is why he went to the top.
[00:04:02.000 --> 00:04:07.081]  He believed he was fighting communists, so he did a lot of, let's not say very friendly things to people.
[00:04:08.021 --> 00:04:09.962]  COINTELPRO, he ran COINTELPRO.
[00:04:11.426 --> 00:04:13.879]  So I mean, the point is, is that...
[00:04:16.471 --> 00:04:20.313]  I was going to come on the air and kind of just read quotes from him and then say, who is this?
[00:04:20.353 --> 00:04:20.933]  Who is this?
[00:04:21.373 --> 00:04:22.974]  For like 30 minutes, then tell you who it was.
[00:04:23.034 --> 00:04:25.515]  But I got so much big breaking news.
[00:04:25.535 --> 00:04:26.636]  We'll cover it all when we come back.
[00:04:27.196 --> 00:04:29.357]  Biden has gone into hiding for the next five days.
[00:04:30.017 --> 00:04:32.738]  And his lawyer has confirmed the laptop is real.
[00:04:33.299 --> 00:04:37.621]  So the whole house of cards of the pedo devil worshiper kingdom is coming down.
[00:04:38.321 --> 00:04:40.302]  And of course, the enemy is going to launch a counterattack.
[00:04:40.362 --> 00:04:41.662]  So watch your six.
[00:04:42.083 --> 00:04:42.683]  We'll be back.
[00:04:45.561 --> 00:04:48.304]  Ladies and gentlemen, I am your host Alex Jones.
[00:04:48.344 --> 00:04:55.032]  Thank you so much for joining us on this live teleprompter-free Sunday edition.
[00:04:55.072 --> 00:04:56.233]  I'll be here for the next two hours.
[00:04:56.313 --> 00:04:57.495]  I'm going to co-host with the great
[00:04:58.792 --> 00:05:02.674]  Owen Schroyer, the new Sunday Live two-hour show.
[00:05:02.714 --> 00:05:04.895]  We intend to keep it right through the election, probably forever.
[00:05:05.776 --> 00:05:10.619]  And it only has six minutes of breaks an hour, so all the station breaks are there, but there's no network breaks for us.
[00:05:11.059 --> 00:05:14.240]  We've gone commercial free when it comes to network breaks.
[00:05:14.681 --> 00:05:19.523]  Local stations get theirs at the bottom and top of the hour, but I'll be co-hosting with him.
[00:05:21.184 --> 00:05:21.464]  Okay.
[00:05:22.505 --> 00:05:24.186]  We always cover epic information.
[00:05:27.441 --> 00:05:32.505]  And our North Star is the truth in history, and God's guidance.
[00:05:35.427 --> 00:05:52.900]  But what's broken in the last week is so huge, and I'll admit, I was so close to the problem, I totally missed the boat this week, until a bunch of people contacted me and sources and I did research on this Hunter Biden thing, because I was obsessed with what came out.
[00:05:54.485 --> 00:06:00.448]  You know, at first was, oh, here they are with the emails with Burisma saying, we're going to pay you in these criminal investigations.
[00:06:00.508 --> 00:06:01.509]  Tell your dad to do it.
[00:06:01.909 --> 00:06:03.169]  I mean, that was open and shut.
[00:06:03.209 --> 00:06:06.071]  I was like, oh, so what if he's got a crack pipe and hookers?
[00:06:06.711 --> 00:06:08.232]  The media is diverting off onto that.
[00:06:08.632 --> 00:06:13.995]  I wasn't defending crack pipes and hookers or meth pipes and hookers, but that was what the media chose to focus on.
[00:06:14.015 --> 00:06:14.755]  I kind of took the bait.
[00:06:15.476 --> 00:06:17.597]  And then I began to go back and do research.
[00:06:17.657 --> 00:06:18.237]  I'm like, wait a minute.
[00:06:18.257 --> 00:06:20.038]  There was a major Chinese dissident group.
[00:06:21.226 --> 00:06:27.468]  From inside the Communist Party back in September, three weeks ago, that said that this laptop's there.
[00:06:27.989 --> 00:06:28.749]  It's coming out.
[00:06:28.829 --> 00:06:29.769]  Giuliani's got it.
[00:06:30.369 --> 00:06:34.171]  Turns out the dissident that put this out is working with Giuliani.
[00:06:34.211 --> 00:06:35.111]  We confirmed all that.
[00:06:36.192 --> 00:06:41.134]  And it's not just taking Chinese Communist money.
[00:06:43.174 --> 00:06:44.495]  It's not just
[00:06:47.662 --> 00:06:51.506]  Doing all of that, or the Burisma Ukrainian money that's all illegal.
[00:06:52.628 --> 00:07:04.601]  It is actual videos, reportedly, of Hunter Biden having sex with very young Chinese girls and reportedly beating the living hell out of them.
[00:07:07.028 --> 00:07:09.369]  Torture, is what the Chinese translation is.
[00:07:10.049 --> 00:07:14.650]  And then we've got the FBI confirming they had it seven months ago, that it was under pedophile investigation.
[00:07:14.890 --> 00:07:19.752]  The New York Post has the images and videos and says they will not publish it because it is pedophilia.
[00:07:20.492 --> 00:07:22.653]  I've got all the articles, all the statements right here.
[00:07:23.973 --> 00:07:29.435]  So I'm like, oh my gosh, look at this, it shows charisma, it shows money from Ukraine and China, we got them.
[00:07:30.862 --> 00:07:35.523]  But the media chose, that's what it was, that massive Twitter, Facebook, Google, Apple censorship.
[00:07:35.983 --> 00:07:47.886]  They only let out photos of the crack pipe and the meth pipe and stuff like that and made it about hookers to divert off of everything, which we already knew was going on.
[00:07:48.086 --> 00:07:55.408]  But I'm so close to the problem, I was just blown away by what they admitted was going on and the whole Burisma situation.
[00:07:56.664 --> 00:07:57.645]  Because that's open and shut.
[00:07:58.266 --> 00:07:59.348]  Now here's the big news.
[00:08:00.469 --> 00:08:08.540]  Biden's lawyer, they've released emails where Biden's lawyer a year ago was talking to the Mac shop in Delaware.
[00:08:10.097 --> 00:08:26.622]  Anybody that's ever turned in a computer, haven't worked on, you sign a contract that says if you derelict this, if you leave this, if you don't pay, after 90 days, that's what most places say, some say six months, they can repossess the computer for the charges, wipe it, and sell it.
[00:08:28.222 --> 00:08:29.663]  Turns out they released the contract.
[00:08:29.683 --> 00:08:33.084]  Turns out the lawyer contacted him after they'd already contacted Biden.
[00:08:33.124 --> 00:08:34.224]  He hadn't responded for months.
[00:08:35.407 --> 00:08:37.889]  And said, give me that hard drive, give me that laptop.
[00:08:38.490 --> 00:08:40.752]  So that's all confirmed now as well.
[00:08:42.293 --> 00:08:48.378]  And again, it's a giant blackmail ring run by Communist China working with the deep state here in the United States.
[00:08:49.099 --> 00:08:53.503]  With whatever you want, money, hookers, underage girls, cocaine, you name it.
[00:08:54.904 --> 00:09:01.790]  And Hunter Biden's on record leaving cars, random places in the middle of the road, leaving his bags at the airport.
[00:09:03.325 --> 00:09:04.646]  Being bombed out of his brain.
[00:09:04.666 --> 00:09:07.608]  Giuliani's looked at the tens of thousands of files.
[00:09:08.068 --> 00:09:15.032]  He says every other day Biden is photographing himself smoking crack, methamphetamine, vomiting everywhere.
[00:09:15.493 --> 00:09:16.993]  I mean, that's who these people are.
[00:09:18.314 --> 00:09:20.015]  We've allowed them to act like this and do this.
[00:09:20.035 --> 00:09:20.836]  They never got in trouble.
[00:09:20.856 --> 00:09:22.177]  So they think they're above the law.
[00:09:22.537 --> 00:09:25.539]  It's like Biden went on CFR television on C-SPAN.
[00:09:26.940 --> 00:09:34.962]  At a CFR event and said, yeah, you know, told him if you don't stop the investigation to my son, I'll keep a billion dollars back from you and son of a bitch they did.
[00:09:37.143 --> 00:09:51.227]  So this is all going down folks, but I was already talking to people in New York and DC, very close to the president, very close to Giuliani saying, listen, well, OAN's on record seeing the video saying it's underage girls and
[00:09:52.512 --> 00:09:53.733]  Brutal stuff going on with him.
[00:09:54.414 --> 00:10:04.442]  And then Giuliani told several interviews, Daily Caller and others, that indeed this stuff's illegal, that these clearly are underage girls, and this is brutal.
[00:10:04.462 --> 00:10:08.045]  And he said, I'm not going to repeat what's on it, it's too horrible to say on air.
[00:10:09.966 --> 00:10:20.035]  I talked to sources, just like General Flynn's lawyer, very respected, talked to NYPD police that saw the hard drive of Weiner, and Hillary's hard drive.
[00:10:21.016 --> 00:10:31.120]  And they said that literally they'd have to go in shifts looking at it, where you can only look at like a couple videos, and then grown men that have been on homicide squads had to literally go cry their eyes out and throw up.
[00:10:31.800 --> 00:10:32.060]  Okay?
[00:10:32.140 --> 00:10:35.562]  I mean, it's like, folks, it's stuff so horrible.
[00:10:36.702 --> 00:10:38.483]  But see, this is the club these people are in.
[00:10:39.343 --> 00:10:45.726]  It's like, you never see the MS-13 videos they've got, where they're chopping up seven, eight, nine, ten-year-old girls in rituals as a...
[00:10:50.148 --> 00:10:50.868]  Gang initiation.
[00:10:52.209 --> 00:10:54.870]  All that stuff gets hidden from the public because it's so brutal.
[00:10:54.970 --> 00:10:58.011]  And I understand why, but at a certain point, this needs to all come out.
[00:11:00.712 --> 00:11:12.977]  So that we understand exactly what we're dealing with, and then understand why Hollywood is into movies like Saw, and why Hollywood is into all the pedophilia, all the rest of it, because these are very, very sick, depraved people.
[00:11:15.520 --> 00:11:20.544]  And they've got FBI agents going public saying seven months ago, Ray blocked the release of this info.
[00:11:21.545 --> 00:11:24.887]  You've got cops going public that have seen it saying it's the most horrible thing you've ever seen.
[00:11:25.228 --> 00:11:25.988]  That's Weiner.
[00:11:26.248 --> 00:11:26.909]  That's Hillary.
[00:11:27.649 --> 00:11:32.133]  And reportedly, Hunter Biden's laptop is even worse.
[00:11:32.653 --> 00:11:38.938]  And again, this is a guy that puts out on Twitter photos of himself with no teeth.
[00:11:41.040 --> 00:11:42.081]  He has dentures.
[00:11:44.261 --> 00:11:45.341]  Because of his meth mouth.
[00:11:46.402 --> 00:11:51.204]  And even his dentures are stained brown because he smoked so much meth and so much crack.
[00:11:54.306 --> 00:12:01.209]  And this is the bag man between Communist China and Ukraine, the Russian mayor that gave him 11 payments.
[00:12:01.369 --> 00:12:08.392]  I mean, imagine putting emails out saying, I want 30 million and I want half the money, which is billions.
[00:12:09.673 --> 00:12:10.934]  And they just do it.
[00:12:11.235 --> 00:12:12.616]  And you're like, well, that's crazy.
[00:12:12.976 --> 00:12:14.498]  Well, why did his dad go on TV?
[00:12:14.558 --> 00:12:15.459]  I'm not going to play it again.
[00:12:15.479 --> 00:12:16.440]  I've played it probably 40 times.
[00:12:19.182 --> 00:12:23.466]  Where he goes on C-SPAN and says, oh, you're investigating me for corruption?
[00:12:23.907 --> 00:12:25.949]  Well, son of a bitch, you're not getting a million dollars.
[00:12:25.969 --> 00:12:27.951]  And they said, well, you can't do that.
[00:12:27.971 --> 00:12:28.551]  You're not the president.
[00:12:28.791 --> 00:12:29.472]  Well, call him then.
[00:12:29.973 --> 00:12:31.634]  And I said, I'm flying out of here in six hours.
[00:12:32.095 --> 00:12:33.216]  And then sure enough, they fired him.
[00:12:35.031 --> 00:12:40.232]  That's what these criminals are doing because we've put up with them so long.
[00:12:40.912 --> 00:12:42.572]  So you're like, man, Hunter really screwed up.
[00:12:44.113 --> 00:12:49.494]  He left a laptop at a Mac shop a year and a half ago.
[00:12:50.334 --> 00:12:51.254]  Why would he do that?
[00:12:51.854 --> 00:12:53.614]  And then they go to wipe it and look what's on there.
[00:12:53.654 --> 00:12:54.955]  Like, what the hell is this?
[00:12:57.035 --> 00:13:02.096]  So they go to the FBI and they go to others and no one helps them.
[00:13:02.436 --> 00:13:03.196]  So they finally
[00:13:05.151 --> 00:13:13.336]  Go to the New York underground and folks inside the FBI that are not child molesters.
[00:13:16.238 --> 00:13:21.221]  But then as all this info came out, I learned two days ago that no one had the will to put this out.
[00:13:21.241 --> 00:13:25.063]  So I was sitting in my office yesterday at like 11 a.m.
[00:13:27.105 --> 00:13:28.686]  saying, well, no one will actually write this.
[00:13:28.726 --> 00:13:29.146]  I'm gonna do it.
[00:13:29.186 --> 00:13:30.407]  All of a sudden, Mike Adams calls up.
[00:13:31.309 --> 00:13:34.151]  Literally goes, hey, you know, my wife speaks Chinese.
[00:13:34.171 --> 00:13:34.972]  She's Taiwanese.
[00:13:35.472 --> 00:13:40.116]  On the full video of this, they talk about actual sex torture, torture of children, not just pedophilia.
[00:13:41.237 --> 00:13:43.699]  And I already had sources telling me that, so I said, well, that's just the green light.
[00:13:43.719 --> 00:13:44.519]  I got to put this out.
[00:13:44.780 --> 00:13:45.320]  And so we did.
[00:13:46.641 --> 00:13:48.382]  Fifteen days until the election.
[00:13:48.983 --> 00:13:53.246]  Deep state communist Chinese-backed Democrats with big tech in the media.
[00:13:53.787 --> 00:13:56.008]  The Hollywood America haters say they're going to contest.
[00:13:56.028 --> 00:13:56.769]  They know they're going to lose.
[00:13:56.789 --> 00:13:58.610]  They're going to try to trigger a civil war.
[00:13:59.656 --> 00:14:08.544]  They have fought to shut us down, they have fought to silence us together, but they have failed because we have hung together, as Benjamin Franklin said.
[00:14:09.305 --> 00:14:13.409]  And our necks are not as skinny and weak as they thought they are strong.
[00:14:14.030 --> 00:14:19.295]  We are live, broadcasting worldwide, and I want to thank you all for being here tonight.
[00:14:19.955 --> 00:14:20.336]  Remember,
[00:14:21.414 --> 00:14:26.197]  When you get excited, you share the articles, you share the links, they get millions of views.
[00:14:27.138 --> 00:14:32.622]  The videos I put out since yesterday, all total have 2 million views at Band.Video.
[00:14:33.703 --> 00:14:45.551]  On this key subject we're about to cover, that in defiance of Big Tech's attempt to silence the people, Bill Gates and the New World Order, Sundar Pichai, all of them have failed.
[00:14:48.302 --> 00:14:50.864]  All right, I want to play these clips right now, but let me just show you these headlines.
[00:14:50.924 --> 00:14:52.426]  If you just tuned in again, I'm Alex Jones, your host.
[00:14:52.446 --> 00:14:53.087]  Very honored to be here.
[00:14:55.569 --> 00:15:00.333]  You have Hunter Biden, this total drug addict criminal, kicked out of the Navy for being a cocaine head.
[00:15:01.394 --> 00:15:06.099]  On the payroll of Ukraine, on the payroll of Communist China, his laptop comes out.
[00:15:06.459 --> 00:15:10.323]  The Biden campaign just today had to confirm, okay, yes, it's our laptop.
[00:15:12.011 --> 00:15:13.412]  Biden had all these events scheduled.
[00:15:13.432 --> 00:15:14.312]  He's gone to hiding.
[00:15:14.752 --> 00:15:16.974]  He says, until the debate Thursday night.
[00:15:17.254 --> 00:15:18.814]  And some say he may cancel this.
[00:15:20.235 --> 00:15:20.916]  In-person debate.
[00:15:20.936 --> 00:15:28.319]  So when you talk about wheels coming off, folks, there's no way for them to spin this.
[00:15:28.379 --> 00:15:29.120]  Look at these headlines.
[00:15:29.220 --> 00:15:29.680]  Breaking!
[00:15:29.800 --> 00:15:33.622]  Email from Hunter Biden's lawyer to computer shop owner revealed.
[00:15:33.662 --> 00:15:34.222]  Confirms.
[00:15:35.663 --> 00:15:36.964]  Laptop was Biden's.
[00:15:37.044 --> 00:15:37.444]  Breaking!
[00:15:37.544 --> 00:15:39.285]  Email sent to computer shop confirms it.
[00:15:40.922 --> 00:15:41.282]  Wow!
[00:15:41.382 --> 00:15:46.245]  Crooked Joe Biden to go into hiding starting today until debate Thursday night.
[00:15:47.646 --> 00:15:48.846]  Here's all the actual emails.
[00:15:49.927 --> 00:15:51.148]  They are so scared.
[00:15:52.328 --> 00:15:55.390]  Here's the articles for TV viewers that are at InfoWars.com.
[00:15:55.450 --> 00:16:00.233]  Chai Com Dissident predicts Hunter Biden laptop leak in September.
[00:16:01.033 --> 00:16:02.774]  And he's been meeting with Giuliani.
[00:16:03.274 --> 00:16:05.956]  And it all came out as they predicted three weeks ago.
[00:16:06.755 --> 00:16:08.497]  And what do they say is actually on these videos?
[00:16:08.998 --> 00:16:14.103]  Not just raping children, which is torture, but physically beating the living hell out of them, which is another form of torture.
[00:16:15.345 --> 00:16:18.328]  Of course, Joe Biden supports cutting the testicles off of eight-year-old children.
[00:16:19.149 --> 00:16:20.090]  That's total mutilation.
[00:16:20.110 --> 00:16:21.512]  I mean, that's beyond rape.
[00:16:21.832 --> 00:16:22.733]  That's actual mutilation.
[00:16:24.015 --> 00:16:25.356]  That's what the Nazis did to people.
[00:16:25.376 --> 00:16:26.818]  But, oh, it's liberal and trendy.
[00:16:26.858 --> 00:16:27.259]  It's cool.
[00:16:28.544 --> 00:16:35.885]  Meanwhile, bombshell, New York Post refuses to publish 25,000 Hunter pics after reports they include underage obsessions.
[00:16:36.245 --> 00:16:37.225]  It's way worse than that.
[00:16:37.305 --> 00:16:39.666]  It's reportedly rape and torture.
[00:16:41.266 --> 00:16:52.068]  And here is Senator Ron Johnson saying, yes, he thinks it will possibly be revealed, pedophilia coming out soon, but the media is already not willing to publish it because it's so horrible.
[00:16:52.268 --> 00:16:53.508]  Well, pixelate it and put it out.
[00:16:53.888 --> 00:16:55.649]  Justice be done, may the heavens fall.
[00:16:56.769 --> 00:16:57.789]  Here's what the Senator just said.
[00:16:58.473 --> 00:17:03.746]  Who was the FBI agent who served the subpoena investigating child pornography, Senator?
[00:17:04.568 --> 00:17:06.208]  Well, you just read the news report.
[00:17:06.548 --> 00:17:08.009]  I can't comment any further.
[00:17:08.089 --> 00:17:19.911]  I don't want to speculate other than to say that what I said publicly before, our report uncovered so many troubling connections, so many things that need to be investigated that I really think we're just scratching the surface.
[00:17:19.971 --> 00:17:24.652]  And yes, I've heard all kinds of things that I think will probably be revealed over the next few days.
[00:17:25.352 --> 00:17:32.294]  There's a treasure trove of emails and video and pictures in not only the purported computer of Hunter Biden,
[00:17:32.714 --> 00:17:39.219]  But now we've got the pro-conspirator, Devin Cooney, that also starting to reveal information.
[00:17:39.339 --> 00:17:43.242]  I guess we're probably just find new more information every day over the next couple weeks.
[00:17:43.802 --> 00:17:50.007]  And again, Biden went on TV and said, I was going to not give him a billion dollars if they didn't fire the prosecutor investigating me.
[00:17:50.467 --> 00:17:51.548]  And son of a bitch, they fired him.
[00:17:51.928 --> 00:17:56.171]  I mean, they just hide this in plain view to make it look like they're invincible.
[00:17:56.811 --> 00:17:58.433]  Please like turn in laptops with the
[00:17:59.560 --> 00:18:00.481]  The child rape on it?
[00:18:00.621 --> 00:18:02.383]  They don't care, folks.
[00:18:03.444 --> 00:18:04.945]  They want everybody to know they've been doing it.
[00:18:05.926 --> 00:18:06.987]  Because everybody's scared.
[00:18:07.007 --> 00:18:08.549]  Like, the FBI's like, we can't release this.
[00:18:08.849 --> 00:18:09.890]  We'll bring down the whole system.
[00:18:10.090 --> 00:18:11.552]  The system's already being brought down.
[00:18:12.072 --> 00:18:13.514]  Big Tech's already bigger than the government.
[00:18:13.834 --> 00:18:15.255]  Our country's almost done.
[00:18:15.836 --> 00:18:17.978]  Just attack on every front, so what?
[00:18:18.238 --> 00:18:19.099]  Bring these people down.
[00:18:19.319 --> 00:18:19.940]  They want to fight?
[00:18:19.980 --> 00:18:20.581]  They got one.
[00:18:22.363 --> 00:18:23.204]  Now here's Giuliani.
[00:18:23.244 --> 00:18:24.545]  It's a 27 minute interview.
[00:18:24.585 --> 00:18:28.249]  The Daily Caller I'm fans of just absolutely is scared.
[00:18:28.269 --> 00:18:32.413]  So they're attacking Giuliani for 27 minutes when he's got all the facts laying it out.
[00:18:32.753 --> 00:18:35.295]  But here's two minutes towards the end where he really broke it down.
[00:18:35.836 --> 00:18:39.580]  The Chinese government was not hiring Hunter Biden.
[00:18:40.220 --> 00:18:41.602]  The Chinese are not stupid.
[00:18:42.466 --> 00:18:48.310]  They're not going to pay $10 million a year and 50% of the profits to hunt a Biden.
[00:18:48.891 --> 00:18:53.354]  They're going to pay it to who they think is the next president of the United States so they can jam him up.
[00:18:54.335 --> 00:18:59.799]  And when you look at these photographs that are disgusting and horrible, the Chinese have every single one of them.
[00:19:00.840 --> 00:19:03.722]  The Chinese have every single one of them, probably 10 times more.
[00:19:04.903 --> 00:19:11.768]  Because what the Chinese government has been doing, and a country was totally undefended against this, is setting Biden up.
[00:19:12.878 --> 00:19:14.919]  Putting him in a position where he's totally compromised.
[00:19:15.839 --> 00:19:18.920]  They've now, they've now given him so much money he's totally compromised.
[00:19:19.360 --> 00:19:24.961]  They now have pictures of his son doing things that, uh, doing things that I can't describe.
[00:19:25.501 --> 00:19:26.442]  Some of which are illegal.
[00:19:26.582 --> 00:19:26.942]  Why not?
[00:19:27.642 --> 00:19:29.042]  This is the internet, you can describe anything.
[00:19:29.062 --> 00:19:30.043]  Yeah, you'll get to see it.
[00:19:30.863 --> 00:19:31.463]  I don't have to describe it.
[00:19:31.483 --> 00:19:32.043]  I want to see it, man.
[00:19:32.063 --> 00:19:33.303]  I'm trying to get something out of you.
[00:19:33.323 --> 00:19:34.844]  Well, you, you'll get to see it.
[00:19:35.264 --> 00:19:35.584]  Alright.
[00:19:35.764 --> 00:19:38.325]  But the reality is, the reality is,
[00:19:40.529 --> 00:19:42.410]  Very, very simple analysis of all this.
[00:19:42.470 --> 00:19:47.093]  If you understand intelligence operations, the Chinese have been setting them up since about 2014.
[00:19:47.173 --> 00:19:57.999]  They've been buying Joe, which is why they got him to be so compliant when he was negotiating for us and trying to get them to remove from the islands that they contest with Japan.
[00:19:58.580 --> 00:19:59.440]  He failed completely.
[00:20:00.341 --> 00:20:01.081]  Failed completely.
[00:20:02.002 --> 00:20:06.765]  But the son came back with a billion dollar pledge to his
[00:20:07.938 --> 00:20:10.359]  Totally ridiculous little private equity fund.
[00:20:12.240 --> 00:20:14.220]  Well, Mr. Mayor, again, thank you.
[00:20:14.660 --> 00:20:15.501]  I'm going to keep hammering you.
[00:20:15.541 --> 00:20:16.421]  We want those files.
[00:20:16.821 --> 00:20:18.742]  In due time.
[00:20:18.982 --> 00:20:19.322]  All right.
[00:20:20.062 --> 00:20:21.163]  Well, we'll have to do this again.
[00:20:21.343 --> 00:20:25.024]  And to everyone at home, click subscribe if you like this interview with Mayor Giuliani.
[00:20:25.324 --> 00:20:25.924]  Hit the bell.
[00:20:26.105 --> 00:20:27.365]  They'll all get pushed to your phone.
[00:20:27.845 --> 00:20:28.745]  I'm Christian Detock.
[00:20:28.806 --> 00:20:29.706]  We'll see you guys next time.
[00:20:31.506 --> 00:20:35.048]  So, and again, the full interview is even more powerful than that.
[00:20:35.868 --> 00:20:38.590]  But the little guy is so snot-nosed with Giuliani.
[00:20:38.670 --> 00:20:40.772]  I mean, it's not confirmed this is a real laptop.
[00:20:41.132 --> 00:20:41.792]  It's all there.
[00:20:41.812 --> 00:20:42.873]  They already gave it to the New York Post.
[00:20:42.893 --> 00:20:43.854]  They're scared to put it out.
[00:20:44.574 --> 00:20:55.562]  And we're going to play, going out to break, the Chinese dissident group that reported on this three weeks ago, confirmed it, that we know is working with Giuliani, laying out some of what's happening.
[00:20:55.982 --> 00:20:57.984]  This is in Chinese, so I'm going to read over the subtitles.
[00:20:58.024 --> 00:20:58.304]  Go ahead.
[00:20:58.324 --> 00:20:59.645]  One by one.
[00:20:59.685 --> 00:21:01.426]  Hunter Biden.
[00:21:08.924 --> 00:21:12.066]  Extremely disturbing and obscene.
[00:21:12.406 --> 00:21:13.446]  Pedophile extreme.
[00:21:13.586 --> 00:21:15.947]  He goes on, real torture, is the real quote.
[00:21:15.987 --> 00:21:19.609]  Not treating the Chinese as human beings.
[00:21:19.629 --> 00:21:23.491]  Frankly speaking, they've signed a deal with Democrats, right?
[00:21:23.531 --> 00:21:23.931]  They're here.
[00:21:23.971 --> 00:21:29.933]  The message from the CPP is that, don't ever think I don't have your secrets in possession.
[00:21:31.374 --> 00:21:33.535]  First of all, you must win this election.
[00:21:33.615 --> 00:21:35.416]  You must do whatever it is it takes to win this election.
[00:21:36.600 --> 00:21:37.701]  Otherwise, you will be in trouble.
[00:21:38.141 --> 00:21:42.043]  Secondly, once you win, you still have to follow CPP's order.
[00:21:43.063 --> 00:21:56.269]  The plan is to control not only the 1.4 million Chinese people, also the United Nations and the United States, the U.S.
[00:21:56.289 --> 00:21:59.671]  President, any future presidents.
[00:21:59.971 --> 00:22:04.233]  From now to many, many years after, all shall be under CPP control.
[00:22:05.367 --> 00:22:09.870]  Now, you have to understand, I talked to Chinese-Americans, and they actually looked at it, it's worse.
[00:22:09.890 --> 00:22:13.833]  He doesn't just say, extreme pedophilia, extreme torture of little children.
[00:22:15.014 --> 00:22:18.677]  By Hunter Biden, that's what he's saying, and that's the guy that's working with Giuliani.
