[00:00:00.409 --> 00:00:03.751]  They're actually admitting day one up front, that's it.
[00:09:41.109 --> 00:09:44.411]  Who won a Nobel Prize and is arguably the top virologist in the world.
[00:09:44.431 --> 00:09:45.512]  I have the articles right here.
[00:09:45.992 --> 00:09:46.713]  Cover them next segment.
[00:09:48.694 --> 00:09:51.636]  Came out to the world a week ago!
[00:09:51.756 --> 00:09:53.317]  I didn't learn about it for five days!
[00:09:56.079 --> 00:10:05.686]  And said, I've looked at it, we've scanned the virus at our laboratory, because they have those systems, and the Indians and others are damn right, it's 100% lab made.
[00:10:08.578 --> 00:10:09.400]  And then the U.S.
[00:10:09.480 --> 00:10:13.488]  government trying to say, okay, it came out of Wuhan, but it was naturally occurring.
[00:10:13.888 --> 00:10:14.129]  No.
[00:10:14.950 --> 00:10:17.716]  Only genetic engineering creates these.
[00:10:19.239 --> 00:10:19.820]  It's incredible.
[00:10:29.710 --> 00:10:38.257]  So, the headline of the crew wants to pull it up is, the discoverer of HIV, Nobel Prize winner, says coronavirus had to come from a lab.
[00:10:38.537 --> 00:10:39.197]  That's the headline.
[00:10:41.860 --> 00:10:42.280]  There it is.
[00:10:42.480 --> 00:10:43.381]  Newsworks.com.
[00:10:43.461 --> 00:10:48.725]  Scientists who discovered HIV says COVID-19 could only have come and be created in a lab.
[00:10:53.061 --> 00:11:01.431]  So you might want to get that and you might want to read that and then you go oh well Facebook says that's fake news and so does the Washington Post.
[00:11:01.771 --> 00:11:12.043]  Do you know the fact checker group they use is a female scientist named Danielle Anderson who wrote papers on bats and
[00:11:13.573 --> 00:11:16.015]  Weaponize SARS-CoV-19.
[00:11:16.555 --> 00:11:17.296]  Did you hear me?
[00:11:17.376 --> 00:11:18.377]  But wait, it gets better.
[00:11:19.117 --> 00:11:20.639]  On her own bio!
[00:11:21.499 --> 00:11:22.760]  On her own webpage!
[00:11:23.863 --> 00:11:30.324]  She says she's also developed the test for COVID-19 and is making a pretty penny.
[00:11:31.205 --> 00:11:31.925]  Did you hear me?
[00:11:31.945 --> 00:11:46.248]  It'd be one thing if she worked at the Wuhan lab and ran all the censorship for Facebook and for the Washington Post and everybody else and silences the president and says he's wrong, but doesn't tell you when she's doing it that she works at Wuhan.
[00:11:47.108 --> 00:11:59.740]  But then it turns out she works with the bats, where they grind up the bats, the dead bats, and feed them to the piglets to get them sick, and they feed those to other piglets to isolate the mutagenic virus that's able to jump species.
[00:11:59.961 --> 00:12:02.603]  That's all in the papers that AP got a week ago!
[00:12:04.445 --> 00:12:08.329]  It turns out she's involved in it and ran the damn project!
[00:12:10.371 --> 00:12:11.372]  So the woman
[00:12:12.785 --> 00:12:40.710]  Writing papers at Wuhan, running projects with weaponized COVID coronaviruses, runs the Facebook group that's then approved so that all their media decides it's the fact checker that trumps the president, Alex Jones, scientists, the FBI, the Defense Department, and then she works there and works with the bats and
[00:12:41.949 --> 00:12:44.052]  Makes money off the test they developed.
[00:12:44.413 --> 00:12:46.195]  How the hell they have a test ready?
[00:12:46.215 --> 00:12:57.291]  You know, a lot of times the police will, if there's been an arson, they'll, they'll, they'll, they see as a suspect whoever first called it in.
[00:12:58.519 --> 00:13:00.621]  They show up, it's an old lady, and she's all freaked out.
[00:13:00.661 --> 00:13:01.441]  They go, yeah, that's not her.
[00:13:01.461 --> 00:13:16.614]  But if it's like a young kid, or maybe, usually it's a fire department person, you know, because a lot of fire department people are great, but there's a certain statistic that a lot of fires that get set are by fire department people, because it is weirdos that want to be heroes, and sometimes the bomb squad guys get caught planting bombs, you know, it's a well-known thing.
[00:13:17.054 --> 00:13:29.482]  So it's kind of like when she works there, she works on these, she's the fact checker, she's got a blood test they're adopting, she's making money off of it, and now we know it came out of the lab, and she's telling us it didn't?
[00:13:29.642 --> 00:13:30.042]  Wow!
[00:13:30.983 --> 00:13:32.584]  Talk about the fox guarding the hen house.
[00:13:32.944 --> 00:13:33.804]  This is next level.
[00:13:33.844 --> 00:13:40.428]  But again, the deeper you get into all this, the crazier it gets by the minute.
[00:13:42.069 --> 00:13:44.351]  The crazier it gets by the second.
[00:13:45.882 --> 00:13:48.703]  The more insane when you pull back it all is.
[00:13:50.383 --> 00:14:05.907]  Because Bill Gates launched Event 201 in November where a coronavirus kills 65 million and they bring in world government to force inoculation and an embedded microchip that's an ink so you can't cut it out of your body that's in the vaccine.
[00:14:05.987 --> 00:14:07.507]  I mean this is all being announced.
[00:14:09.198 --> 00:14:17.823]  And then he's heavily involved funding the NIH that specifically funds the Wuhan lab developing chimera coronaviruses.
[00:14:20.345 --> 00:14:26.428]  And then the fact checker that decides who can talk about what works there on these very projects.
[00:14:27.269 --> 00:14:31.431]  And, don't worry, has a blood test coming right out for you and your family.
[00:14:34.473 --> 00:14:35.654]  And you know how much those cost.
[00:14:35.694 --> 00:14:37.635]  We're talking about billions of dollars here.
[00:14:37.775 --> 00:14:38.656]  Billions and billions.
[00:14:40.225 --> 00:14:42.026]  So they script themselves as the saviors.
[00:14:42.066 --> 00:14:44.608]  They script themselves as the people taking over society.
[00:14:44.688 --> 00:14:45.469]  They're the experts.
[00:14:45.549 --> 00:14:56.056]  And Fauci and the NIH headed up that program for Obama, transferring the money from North Carolina Chapel Hill to the Communist Chinese Wuhan lab.
[00:14:56.316 --> 00:14:58.898]  And all we did was point this out 11 weeks ago.
[00:14:59.698 --> 00:15:00.619]  And we got a sack for it.
[00:15:00.739 --> 00:15:03.060]  They're trying to indict me right now because of it.
[00:15:03.421 --> 00:15:04.101]  But it doesn't matter.
[00:15:04.221 --> 00:15:06.323]  I'm going to expose them.
[00:15:06.843 --> 00:15:07.944]  They will burn in hell.
[00:15:09.045 --> 00:15:12.767]  I will burn in hell before I ever sit there and back down to what's going on.
[00:15:13.007 --> 00:15:14.768]  But it's all coming out, and they don't know what to do.
[00:15:15.048 --> 00:15:17.389]  And the Internet's on fire with this.
[00:15:17.809 --> 00:15:20.170]  Everybody's reporting, oh, Bill Gates is getting beat up.
[00:15:20.390 --> 00:15:22.551]  They claim he has a stake in the vaccine falsely.
[00:15:22.811 --> 00:15:24.892]  They claim he wants to force inoculation falsely.
[00:15:25.112 --> 00:15:29.234]  They claim he wants a digital tattoo falsely, while he's all on video announcing it.
[00:15:29.434 --> 00:15:30.835]  They're going, oh no, that's not true!
[00:15:31.096 --> 00:15:32.397]  And now there's two petitions.
[00:15:32.757 --> 00:15:34.079]  One of them's past the threshold.
[00:15:34.439 --> 00:15:40.405]  300,000 plus signatures to investigate Bill Gates and the eugenicists for their connections to this.
[00:15:42.432 --> 00:15:44.333]  You are obsolete, Mr. Wordsworth.
[00:15:44.894 --> 00:15:45.254]  A lie!
[00:15:45.694 --> 00:15:47.395]  No man is obsolete!
[00:15:47.696 --> 00:15:49.517]  You have no function, Mr. Wordsworth.
[00:15:49.577 --> 00:15:52.459]  You're an anachronism, like a ghost from another time.
[00:15:52.819 --> 00:15:57.903]  I am nothing more than a reminder to you that you cannot destroy truth by burning pages.
[00:15:58.263 --> 00:16:01.025]  You're a bug, Mr. Wordsworth, a crawling insect.
[00:16:01.705 --> 00:16:05.509]  Ugly, misformed little creature who has no purpose here, no meaning!
[00:16:06.130 --> 00:16:07.231]  I am a human being!
[00:16:07.611 --> 00:16:14.838]  Words, Mr. Wordsworth, that have no substance and no dimension, like air, like the wind!
[00:16:15.359 --> 00:16:16.080]  I don't care!
[00:16:16.520 --> 00:16:17.541]  I tell you, I don't care!
[00:16:17.561 --> 00:16:19.663]  I'm a human being, I exist!
[00:16:19.763 --> 00:16:22.246]  And if I speak one thought aloud,
[00:16:23.069 --> 00:16:26.330]  That thought lives, even after I'm shoveled into my grave!
[00:16:26.790 --> 00:16:29.510]  Delusions, Mr. Wordsworth!
[00:16:29.950 --> 00:16:37.372]  Delusions that you inject into your veins to make you think you have a strength, when you have no strength at all!
[00:16:37.652 --> 00:16:43.053]  You have nothing but spindly limbs and a dream, and the state has no use for your kind!
[00:16:44.693 --> 00:16:48.153]  Resistance to tyrants is obedience to God.
[00:16:48.734 --> 00:16:50.514]  It's Alex Jones.
[00:17:19.301 --> 00:17:19.621]  Texas!
[00:17:19.661 --> 00:17:20.282]  Texas!
[00:17:20.302 --> 00:17:20.702]  Texas!
[00:17:36.465 --> 00:17:38.166]  Texas is awake!
[00:17:38.226 --> 00:17:40.406]  Texas knows the truth!
[00:17:41.086 --> 00:17:50.009]  Texas knows this is a dicom globalist fire weapon meant to shut down our economy!
[00:17:50.569 --> 00:17:53.030]  America will reopen!
[00:17:54.558 --> 00:17:56.479]  Texas is leading the way!
[00:17:56.499 --> 00:17:59.921]  America knows it was a Chinese Communist bio-weapon!
[00:17:59.941 --> 00:18:06.784]  Everyone knows it's a globalist Taitung weapon!
[00:18:08.304 --> 00:18:11.566]  Everybody knows!
[00:18:11.666 --> 00:18:20.050]  Hallelujah!
[00:18:20.610 --> 00:18:22.611]  We want parents over children!
[00:18:23.319 --> 00:18:29.061]  Do you believe we're having to protest to stop martial law so we can go outside when a Chinese communist launched an attack?
[00:18:29.621 --> 00:18:39.545]  And it turns out the woman that works for Bill Gates, who created the test, runs the lab, and owns the test, and does the fact-checking for Facebook.
[00:18:40.285 --> 00:18:41.526]  Very small group of criminals, man.
[00:18:42.446 --> 00:18:43.066]  Very easy to beat them.
[00:18:44.187 --> 00:18:45.907]  But we gotta admit we're being attacked by criminals to beat them.
[00:18:46.488 --> 00:18:47.568]  You gotta admit they're criminals.
[00:18:48.328 --> 00:18:49.669]  You gotta admit they're pulling this stuff to beat them.
[00:18:54.974 --> 00:18:55.014]  No!
[00:19:01.804 --> 00:19:14.770]  I want to salute all the amazing fellow Texans that came out here against the globalists and understand that the Chinese globalist Bill Gates attacked on our freedom.
[00:19:14.810 --> 00:19:23.173]  The Tsai Kongs have publicly been caught launching the attacks and they've got their operatives out here now testing it on the truth.
[00:19:23.233 --> 00:19:29.496]  And America knows this was the attempt to shut us down and shut down our freedom.
[00:19:29.916 --> 00:19:30.877]  But Texans,
[00:19:32.233 --> 00:19:32.893]  Hello to you all!
[00:19:32.913 --> 00:19:34.214]  Texas is leading the way against Michigan!
[00:19:34.234 --> 00:19:34.334]  Texas!
[00:19:34.374 --> 00:19:34.534]  Texas!
[00:19:34.574 --> 00:19:34.714]  Texas!
[00:19:34.734 --> 00:19:34.834]  Texas!
[00:19:34.874 --> 00:19:35.214]  Texas!
[00:19:35.234 --> 00:19:35.334]  Texas!
[00:19:35.354 --> 00:19:35.514]  Texas!
[00:19:35.554 --> 00:19:35.754]  Texas!
[00:19:35.855 --> 00:19:36.095]  Texas!
[00:19:36.115 --> 00:19:36.235]  Texas!
[00:19:36.255 --> 00:19:36.355]  Texas!
[00:19:36.475 --> 00:19:36.635]  Texas!
[00:19:36.695 --> 00:19:36.855]  Texas!
[00:19:36.875 --> 00:19:36.975]  Texas!
[00:19:36.995 --> 00:19:37.095]  Texas!
[00:19:37.115 --> 00:19:37.215]  Texas!
[00:19:37.235 --> 00:19:37.355]  Texas!
[00:19:37.375 --> 00:19:37.475]  Texas!
[00:19:37.495 --> 00:19:37.595]  Texas!
[00:19:37.615 --> 00:19:37.735]  Texas!
[00:19:37.755 --> 00:19:37.855]  Texas!
[00:19:37.915 --> 00:19:38.236]  Texas!
[00:19:38.276 --> 00:19:38.436]  Texas!
[00:19:38.456 --> 00:19:38.676]  Texas!
[00:19:38.696 --> 00:19:38.856]  Texas!
[00:19:38.876 --> 00:19:39.016]  Texas!
[00:19:39.056 --> 00:19:39.216]  Texas!
[00:19:39.256 --> 00:19:39.356]  Texas!
[00:19:39.376 --> 00:19:39.476]  Texas!
[00:19:39.496 --> 00:19:39.616]  Texas!
[00:19:39.656 --> 00:19:39.796]  Texas!
[00:19:39.816 --> 00:19:39.976]  Texas!
[00:19:40.136 --> 00:19:40.316]  Texas!
[00:19:40.376 --> 00:19:40.557]  Texas!
[00:19:40.677 --> 00:19:40.957]  Texas!
[00:19:40.997 --> 00:19:41.117]  Texas!
[00:19:41.137 --> 00:19:41.237]  Texas!
[00:19:41.257 --> 00:19:41.357]  Texas!
[00:19:41.377 --> 00:19:41.637]  Texas!
[00:19:41.737 --> 00:19:41.937]  Texas!
[00:19:41.957 --> 00:19:42.337]  Texas!
[00:19:42.357 --> 00:19:42.477]  Texas!
[00:19:42.637 --> 00:19:42.837]  Texas!
[00:19:42.897 --> 00:19:43.118]  Texas!
[00:19:43.138 --> 00:19:43.238]  Texas!
[00:19:43.338 --> 00:19:43.578]  Texas!
[00:19:43.598 --> 00:19:43.878]  Texas!
[00:19:43.998 --> 00:19:44.238]  Texas!
[00:19:44.258 --> 00:19:44.518]  Texas!
[00:19:44.538 --> 00:19:44.798]  Texas!
[00:19:44.858 --> 00:19:45.118]  Texas!
[00:19:45.178 --> 00:19:45.479]  Texas!
[00:19:45.499 --> 00:19:45.599]  Texas!
[00:19:45.699 --> 00:19:45.919]  Texas!
[00:19:45.939 --> 00:19:46.039]  Texas!
[00:19:46.299 --> 00:19:46.619]  Texas!
[00:19:46.639 --> 00:19:46.739]  Texas!
[00:19:46.819 --> 00:19:47.039]  Texas!
[00:19:47.059 --> 00:19:47.359]  Texas!
[00:19:47.379 --> 00:19:47.700]  Texas!
[00:19:47.720 --> 00:19:47.820]  Texas!
[00:19:47.860 --> 00:19:48.080]  Texas!
[00:19:48.100 --> 00:19:48.200]  Texas!
[00:19:48.220 --> 00:19:48.340]  Texas!
[00:19:48.440 --> 00:19:48.700]  Texas!
[00:19:48.720 --> 00:19:48.820]  Texas!
[00:19:48.920 --> 00:19:49.080]  Texas!
[00:19:49.100 --> 00:19:49.200]  Texas!
[00:19:49.220 --> 00:19:49.440]  Texas!
[00:19:49.460 --> 00:19:49.760]  Texas!
[00:19:49.780 --> 00:19:49.880]  Texas!
[00:19:49.980 --> 00:19:50.181]  Texas!
[00:19:50.201 --> 00:19:50.461]  Texas!
[00:19:50.501 --> 00:19:50.781]  Texas!
[00:19:50.801 --> 00:19:50.901]  Texas!
[00:19:50.981 --> 00:19:51.201]  Texas!
[00:19:51.221 --> 00:19:51.481]  Texas!
[00:19:51.521 --> 00:19:51.761]  Texas!
[00:19:51.781 --> 00:19:51.921]  Texas!
[00:19:52.001 --> 00:19:52.221]  Texas!
[00:19:52.241 --> 00:19:52.361]  Texas!
[00:19:52.522 --> 00:19:52.842]  Texas!
[00:19:52.862 --> 00:19:52.982]  Texas!
[00:19:53.002 --> 00:19:53.202]  Texas!
[00:19:53.222 --> 00:19:53.322]  Texas!
[00:19:53.542 --> 00:19:53.802]  Texas!
[00:19:53.822 --> 00:19:53.922]  Texas!
[00:19:54.022 --> 00:19:54.222]  Texas!
[00:19:54.242 --> 00:19:54.402]  Texas!
[00:19:54.562 --> 00:19:54.822]  Texas!
[00:19:54.843 --> 00:19:54.943]  Texas!
[00:19:54.983 --> 00:19:55.183]  Texas!
[00:19:55.203 --> 00:19:55.303]  Texas!
[00:19:55.523 --> 00:19:55.803]  Texas!
[00:19:55.823 --> 00:19:56.023]  Texas!
[00:19:56.043 --> 00:19:56.323]  Texas!
[00:19:56.343 --> 00:19:56.443]  Texas!
[00:19:56.543 --> 00:19:56.803]  Texas!
[00:19:56.823 --> 00:19:56.963]  Texas!
[00:19:57.083 --> 00:19:57.264]  Texas!
[00:19:57.284 --> 00:19:57.464]  Texas!
[00:19:57.484 --> 00:19:57.584]  Texas!
[00:19:57.604 --> 00:19:57.804]  Texas!
[00:19:57.824 --> 00:19:57.924]  Texas!
[00:19:57.964 --> 00:19:58.244]  Texas!
[00:19:58.264 --> 00:19:58.384]  Texas
[00:19:58.624 --> 00:19:58.724]  USA!
[00:19:58.744 --> 00:19:58.824]  USA!
[00:19:58.864 --> 00:19:58.944]  USA!
[00:19:59.064 --> 00:19:59.164]  USA!
[00:19:59.184 --> 00:19:59.264]  USA!
[00:19:59.284 --> 00:19:59.525]  USA!
[00:19:59.545 --> 00:19:59.665]  USA!
[00:20:00.025 --> 00:20:00.145]  USA!
[00:20:00.165 --> 00:20:00.325]  USA!
[00:20:00.525 --> 00:20:00.625]  USA!
[00:20:00.645 --> 00:20:00.805]  USA!
[00:20:00.925 --> 00:20:01.506]  USA!
[00:20:01.526 --> 00:20:01.646]  USA!
[00:20:01.706 --> 00:20:01.886]  USA!
[00:20:01.926 --> 00:20:02.006]  USA!
[00:20:02.026 --> 00:20:02.246]  USA!
[00:20:02.266 --> 00:20:02.406]  USA!
[00:20:02.746 --> 00:20:02.866]  USA!
[00:20:02.886 --> 00:20:03.006]  USA!
[00:20:03.066 --> 00:20:03.186]  USA!
[00:20:03.207 --> 00:20:03.327]  USA!
[00:20:03.367 --> 00:20:03.487]  USA!
[00:20:03.567 --> 00:20:03.707]  USA!
[00:20:04.087 --> 00:20:04.207]  USA!
[00:20:04.227 --> 00:20:04.327]  USA!
[00:20:04.347 --> 00:20:04.407]  USA!
[00:20:04.447 --> 00:20:04.527]  USA!
[00:20:04.727 --> 00:20:04.787]  USA!
[00:20:04.807 --> 00:20:04.947]  USA!
[00:20:04.967 --> 00:20:05.047]  USA!
[00:20:05.067 --> 00:20:05.228]  USA!
[00:20:05.448 --> 00:20:05.548]  USA!
[00:20:05.568 --> 00:20:05.768]  USA!
[00:20:05.828 --> 00:20:06.008]  USA!
[00:20:06.028 --> 00:20:06.108]  USA!
[00:20:06.228 --> 00:20:06.428]  USA!
[00:20:06.448 --> 00:20:06.748]  USA!
[00:20:06.768 --> 00:20:06.888]  USA!
[00:20:06.908 --> 00:20:06.968]  USA!
[00:20:06.988 --> 00:20:07.129]  USA!
[00:20:07.169 --> 00:20:07.429]  USA!
[00:20:07.569 --> 00:20:07.649]  USA!
[00:20:07.689 --> 00:20:07.789]  USA!
[00:20:07.949 --> 00:20:08.029]  USA!
[00:20:08.109 --> 00:20:08.189]  USA!
[00:20:08.289 --> 00:20:08.549]  USA!
[00:20:08.569 --> 00:20:08.929]  USA!
[00:20:08.950 --> 00:20:09.090]  USA!
[00:20:09.110 --> 00:20:09.310]  USA!
[00:20:09.490 --> 00:20:09.590]  USA!
[00:20:09.610 --> 00:20:09.690]  USA!
[00:20:10.150 --> 00:20:10.530]  USA!
[00:20:10.550 --> 00:20:10.710]  USA!
[00:20:10.891 --> 00:20:10.971]  USA!
[00:20:11.291 --> 00:20:11.371]  USA!
[00:20:11.411 --> 00:20:11.591]  USA!
[00:20:11.611 --> 00:20:11.671]  USA!
[00:20:11.711 --> 00:20:11.871]  USA!
[00:20:12.051 --> 00:20:12.111]  USA!
[00:20:12.251 --> 00:20:12.411]  USA!
[00:20:12.431 --> 00:20:12.651]  USA!
[00:20:13.112 --> 00:20:13.212]  USA!
[00:20:13.232 --> 00:20:13.412]  USA!
[00:20:13.432 --> 00:20:13.492]  USA!
[00:20:13.512 --> 00:20:13.692]  USA!
[00:20:13.732 --> 00:20:13.892]  USA!
[00:20:13.932 --> 00:20:14.052]  USA!
[00:20:14.652 --> 00:20:14.853]  USA!
[00:20:14.893 --> 00:20:15.033]  USA!
[00:20:15.053 --> 00:20:15.273]  USA!
[00:20:15.313 --> 00:20:15.453]  USA!
[00:20:15.473 --> 00:20:15.653]  USA!
[00:20:15.673 --> 00:20:15.773]  USA!
[00:20:15.913 --> 00:20:16.273]  USA!
[00:20:16.293 --> 00:20:16.393]  USA!
[00:20:16.413 --> 00:20:16.674]  USA!
[00:20:16.694 --> 00:20:16.814]  USA!
[00:20:16.834 --> 00:20:17.014]  USA!
[00:20:17.034 --> 00:20:17.134]  USA!
[00:20:17.154 --> 00:20:17.314]  USA!
[00:20:17.354 --> 00:20:17.554]  USA!
[00:20:17.694 --> 00:20:17.774]  USA!
[00:20:17.794 --> 00:20:17.974]  USA!
[00:20:17.994 --> 00:20:18.094]  USA!
[00:20:18.755 --> 00:20:18.995]  USA!
[00:20:19.015 --> 00:20:19.195]  USA!
[00:20:19.515 --> 00:20:19.635]  USA!
[00:20:19.655 --> 00:20:19.895]  USA!
[00:20:19.915 --> 00:20:19.995]  USA!
[00:20:20.075 --> 00:20:20.295]  USA!
[00:20:20.315 --> 00:20:20.435]  USA!
