[00:00:06.511 --> 00:00:07.611]  It's game time.
[00:04:30.298 --> 00:04:32.820]  We're talking about raping babies, ladies and gentlemen.
[00:04:32.820 --> 00:04:35.724]  I have stacks of articles today of people busted.
[00:04:35.724 --> 00:04:40.669]  Mothers, fathers, church deacons, you name it.
[00:04:40.669 --> 00:04:42.671]  Islamic groups are huge into it.
[00:04:42.671 --> 00:04:44.834]  Running sex rings of kidnapped little kids.
[00:04:59.394 --> 00:05:16.594]  Hello, my name is Dr. Fauci, and I've been at the NIH and CDC for 45 years, and I've overseen, well, you know, the AIDS pandemic and so many other things, and I take my orders from Bill Gates, Dr. Bill Gates.
[00:05:16.594 --> 00:05:19.518]  I mean, he's not a doctor, but he controls
[00:05:19.918 --> 00:05:21.740]  Everything you do.
[00:05:21.740 --> 00:05:25.403]  And he now says, you're going to take the shots.
[00:05:25.403 --> 00:05:28.827]  And of course, in England, they are now saying what I told you.
[00:05:28.827 --> 00:05:31.069]  You will not be allowed to travel.
[00:05:31.069 --> 00:05:35.213]  Leave your home until you take all the shots.
[00:05:35.213 --> 00:05:36.594]  Dr. Gates, I mean Bill.
[00:05:37.415 --> 00:05:44.321]  Gates, your owner, your master, says you have to take four to five COVID shots a year.
[00:05:44.321 --> 00:05:50.507]  For adult, two for baby, and baby much more manageable.
[00:05:50.507 --> 00:05:53.930]  Just like Bill Gates give you polio and vaccine.
[00:05:53.930 --> 00:05:57.153]  I'm Dr. Fauci, reminding you that we own
[00:06:14.600 --> 00:06:16.201]  Live from Austin, Texas.
[00:06:16.201 --> 00:06:21.726]  If you are receiving this transmission, you are the resistance.
[00:06:21.726 --> 00:06:27.730]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:27.730 --> 00:06:34.255]  27 days to the election, but that's just the start in the 79 days of insanity.
[00:06:34.255 --> 00:06:38.418]  79 days of America fighting for its life.
[00:06:38.418 --> 00:06:40.160]  Welcome and thank you for joining us today.
[00:06:40.160 --> 00:06:41.341]  Let me tell you who we got coming up.
[00:06:42.366 --> 00:06:46.068]  We got Mark Dice, hard to get on air.
[00:06:46.068 --> 00:06:47.529]  He does a great job live on air.
[00:06:47.529 --> 00:06:50.991]  He doesn't think he does a great job, but he comes on this show.
[00:06:50.991 --> 00:06:53.653]  I think the only live show he goes on, he's on Fox News and stuff.
[00:06:53.653 --> 00:06:54.953]  He's starting to do his own talk show.
[00:06:54.953 --> 00:06:55.934]  I'm really glad he's doing it.
[00:06:55.934 --> 00:07:02.778]  He's got a new book out that we're not going to announce until he is on air with us, that he's launching today.
[00:07:02.778 --> 00:07:06.120]  A lot of big things happening.
[00:07:06.120 --> 00:07:09.962]  We also have Jay Dyer coming on and we have a guy that broke a big story.
[00:07:12.776 --> 00:07:14.837]  David Knight.
[00:07:14.837 --> 00:07:21.159]  Yesterday afternoon, I was surfing around on YouTube and I saw like 100,000 views of David Knight in just a few hours.
[00:07:21.159 --> 00:07:22.360]  And I said, what is that?
[00:07:22.360 --> 00:07:25.881]  And it's, wow, the Federal Reserve is going to get rid of cash?
[00:07:25.881 --> 00:07:28.442]  So I watched the video and sure enough, it was true.
[00:07:28.442 --> 00:07:30.323]  Went back to find the video this morning on YouTube.
[00:07:30.323 --> 00:07:31.204]  It was gone.
[00:07:31.204 --> 00:07:31.764]  But you know what?
[00:07:31.764 --> 00:07:36.126]  I could go to band.video and I could find it.
[00:07:36.126 --> 00:07:37.106]  I could find it right there.
[00:07:38.541 --> 00:07:42.502]  But the Federal Reserve under COVID has begun the end of cash.
[00:07:42.502 --> 00:07:45.843]  You notice you can't get coins anymore either.
[00:07:45.843 --> 00:07:47.084]  So he's gonna be in studio with us.
[00:07:47.084 --> 00:07:50.845]  We're gonna tie it all into the COVID madness and juxtapose all of this.
[00:07:50.845 --> 00:08:00.247]  Here's President Trump when he got off Marine One, walked away, and then took his mask off and saluted the helicopter.
[00:08:00.247 --> 00:08:01.828]  Go ahead and roll that footage.
[00:08:07.714 --> 00:08:10.896]  And he's being attacked for standing on a balcony with a mask off.
[00:08:10.896 --> 00:08:11.836]  Talk about a cult.
[00:08:11.836 --> 00:08:15.978]  Now, here's what Trump had to say about don't fear the virus.
[00:08:15.978 --> 00:08:20.421]  The only thing we have to fear is fear itself.
[00:08:20.421 --> 00:08:29.326]  And of course that absolutely made the left incredibly upset because they want to use this as a straitjacket.
[00:08:29.326 --> 00:08:34.809]  They want to use this as the pretext for their social credit score tracking, the tracking apps,
[00:08:35.970 --> 00:08:37.131]  And all the rest of it.
[00:08:37.131 --> 00:08:40.313]  And now it's all official!
[00:08:40.313 --> 00:08:45.017]  Now it's all official that that is the model.
[00:08:45.017 --> 00:08:51.522]  Let's go ahead and play the clip of Trump saying, don't be afraid of coronavirus, leaving hospital or turning to the White House.
[00:08:51.522 --> 00:08:54.304]  I just left Walter Reed Medical Center.
[00:08:54.304 --> 00:08:56.646]  And it's really something very special.
[00:08:56.646 --> 00:09:00.369]  The doctors, the nurses, the first responders.
[00:09:00.369 --> 00:09:02.651]  And I learned so much about coronavirus.
[00:09:03.760 --> 00:09:08.661]  And one thing that's for certain, don't let it dominate you.
[00:09:08.661 --> 00:09:10.702]  Don't be afraid of it.
[00:09:10.702 --> 00:09:11.382]  You're going to beat it.
[00:09:11.382 --> 00:09:13.623]  We have the best medical equipment.
[00:09:13.623 --> 00:09:17.724]  We have the best medicines, all developed recently.
[00:09:17.724 --> 00:09:18.524]  And you're going to beat it.
[00:09:18.524 --> 00:09:21.145]  I went, I didn't feel so good.
[00:09:21.145 --> 00:09:23.085]  And two days ago, I could have left two days ago.
[00:09:23.085 --> 00:09:26.226]  Two days ago, I felt great, like better than I have in a long time.
[00:09:26.226 --> 00:09:29.027]  I said just recently, better than 20 years ago.
[00:09:29.949 --> 00:09:31.351]  Don't let it dominate.
[00:09:31.351 --> 00:09:33.573]  Don't let it take over your lives.
[00:09:33.573 --> 00:09:34.674]  Don't let that happen.
[00:09:34.674 --> 00:09:36.777]  We're the greatest country in the world.
[00:09:36.777 --> 00:09:37.638]  We're going back.
[00:09:37.638 --> 00:09:38.679]  We're going back to work.
[00:09:38.679 --> 00:09:40.721]  We're going to be out front as your leader.
[00:09:40.721 --> 00:09:41.742]  I had to do that.
[00:09:41.742 --> 00:09:44.525]  I knew there's danger to it, but I had to do it.
[00:09:44.525 --> 00:09:46.027]  I stood out front.
[00:09:46.027 --> 00:09:46.427]  I led.
[00:09:47.409 --> 00:09:51.451]  Nobody that's a leader would not do what I did.
[00:09:51.451 --> 00:09:55.012]  And I know there's a risk, there's a danger, but that's okay.
[00:09:55.012 --> 00:09:57.253]  And now I'm better, and maybe I'm immune.
[00:09:57.253 --> 00:09:58.514]  I don't know.
[00:09:58.514 --> 00:10:00.375]  But don't let it dominate your lives.
[00:10:00.375 --> 00:10:01.575]  Get out there.
[00:10:01.575 --> 00:10:02.756]  Be careful.
[00:10:02.756 --> 00:10:05.217]  We have the best medicines in the world.
[00:10:05.217 --> 00:10:06.698]  And it all happened very shortly.
[00:10:06.698 --> 00:10:08.478]  And they're all getting approved.
[00:10:08.478 --> 00:10:11.900]  And the vaccines are coming momentarily.
[00:10:11.900 --> 00:10:12.840]  Thank you very much.
[00:10:12.840 --> 00:10:15.301]  And Walter Reed, what a group of people.
[00:10:15.301 --> 00:10:16.142]  Thank you very much.
[00:10:18.407 --> 00:10:24.054]  They want to bring the vaccines in another year and a half and make you take them once all the contact tracing and tracker apps are there.
[00:10:24.054 --> 00:10:25.015]  Trump's preempting.
[00:10:25.015 --> 00:10:33.506]  I'm saying if you're old, if you want it, go ahead and get it, knowing it takes the power away and kills their program of when they want to launch it.
[00:10:33.506 --> 00:10:34.467]  Just like Owen said.
[00:10:35.586 --> 00:10:47.532]  On Friday evening on his show he was hosting, The War Room, he said, if Trump leaves in two or three days and says we've defeated the virus, you know he used this to destroy the whole Bill Gates combine.
[00:10:47.532 --> 00:10:51.534]  If he stays in there and keeps milking it, we know he's fallen to the enemy.
[00:10:51.534 --> 00:10:54.735]  He did exactly what I would predict he'd do.
[00:10:54.735 --> 00:10:56.496]  Trump is so damn real.
[00:10:56.496 --> 00:10:59.357]  And he absolutely just judo moved them.
[00:10:59.357 --> 00:11:00.358]  Did he probably have a cold?
[00:11:00.358 --> 00:11:01.819]  Did he probably have a COVID virus?
[00:11:01.819 --> 00:11:02.299]  Absolutely!
[00:11:03.888 --> 00:11:13.258]  But now they're saying that we can't ever go outside, even once we have vaccines, without masks.
[00:11:13.258 --> 00:11:16.082]  This is a cult takeover.
[00:11:16.082 --> 00:11:17.783]  This is absolute domination.
[00:11:17.783 --> 00:11:22.669]  And the former head of Health and Human Services that Trump just got rid of is a total Bill Gates quack.
[00:11:22.669 --> 00:11:25.152]  He's been doing the rounds, I'll play a clip in a moment, saying
[00:11:26.240 --> 00:11:27.141]  That it never ends.
[00:11:27.141 --> 00:11:28.601]  You never stop the lockdowns.
[00:11:28.601 --> 00:11:30.242]  You never take the mask off.
[00:11:30.242 --> 00:11:31.643]  And you've got to take the vaccine.
[00:11:31.643 --> 00:11:36.506]  See, this power grabber, he said, we must eradicate it where there is no virus on Earth.
[00:11:36.506 --> 00:11:42.789]  It's a cold virus that they've monkeyed with so that all the tests show you have it when you don't.
[00:11:42.789 --> 00:11:45.390]  Because it tests positive for regular corona.
[00:11:45.390 --> 00:11:47.351]  They'll never get rid of the common cold.
[00:11:47.351 --> 00:11:48.472]  It's part of everything.
[00:11:48.472 --> 00:11:49.573]  They know that.
[00:11:49.573 --> 00:11:51.214]  They've made an impossible bar.
[00:11:52.034 --> 00:12:04.557]  Because they're never gonna let us get out of this, and it's about fetishizing, creating hypochondria, creating neuroses, giving everyone agoraphobia to go in and never leave their houses, and then robots bring us our food!
[00:12:04.557 --> 00:12:04.658]  What?
[00:12:05.865 --> 00:12:07.386]  That's just one level.
[00:12:07.386 --> 00:12:16.410]  Once they've got us obsolete, once they've gotten us to opt in to being obsolete, the driverless cars and all the rest of it, the drones, they're going to wipe us out with real bioweapons.
[00:12:16.410 --> 00:12:19.292]  That's the stated UN globalist plan.
[00:12:19.292 --> 00:12:29.537]  I made a film 13 years ago called End Game, Blueprint for Global Enslavement, where I see exactly what they do, because we had documents then.
[00:12:31.442 --> 00:12:37.925]  Three years later, they put out Operation Lockstep saying, we're going to set up an authoritarian, planetary police state.
[00:12:37.925 --> 00:12:40.146]  These are quotes.
[00:12:40.146 --> 00:12:41.446]  For your own good.
[00:12:41.446 --> 00:12:49.329]  And you'll have apps to leave your house, on your smartphones, they even called it that, and you'll have no freedom.
[00:12:49.329 --> 00:12:56.652]  And they go on to say humanity is obsolete.
[00:12:56.652 --> 00:12:58.673]  Think about that.
[00:12:58.673 --> 00:13:00.494]  Think about that long, think about that hard.
[00:13:01.775 --> 00:13:07.078]  So here is Dr. Price on Fox.
[00:13:07.078 --> 00:13:10.780]  Even after coronavirus vaccine, we'll need masks and lockdowns.
[00:13:10.780 --> 00:13:11.801]  I mean, it's a five minute clip.
[00:13:11.801 --> 00:13:13.022]  I'm just going to play 30 seconds of it.
[00:13:13.022 --> 00:13:15.023]  Here it is.
[00:13:15.023 --> 00:13:23.648]  But it's important to again, this is going to continue to be the challenge that we have as a nation, even when we get a vaccine.
[00:13:24.464 --> 00:13:40.424]  We're going to have to continue to be cautious in the activities that we're doing, continue the mitigation efforts of physically distancing and hand washing and mask wearing until the virus has moved through our society and has moved on or has gone away.
[00:13:40.424 --> 00:13:43.668]  And it will at some point, but it certainly isn't at this point.
[00:13:45.424 --> 00:13:47.286]  Okay, so let me explain this again.
[00:13:47.286 --> 00:13:48.127]  This is a U.N.
[00:13:48.127 --> 00:13:53.632]  plan with the big pharma, controlled by the big banks, to have medical tyranny to put in your body what they want.
[00:13:53.632 --> 00:13:58.356]  Bill Gates has been positioned by the robber barons, by IBM, by all of them that are behind him.
[00:13:58.356 --> 00:14:03.281]  His mother was on the board to carry out the dreams of Thomas Watson and Adolf Hitler.
[00:14:03.281 --> 00:14:04.222]  You can't make this up.
[00:14:04.222 --> 00:14:05.143]  It's all mainstream news.
[00:14:06.223 --> 00:14:07.724]  I mean, it's just all hiding in plain view.
[00:14:07.724 --> 00:14:17.273]  To be able to get in your body what they want, when they want, including an mRNA vaccine that changes your DNA and makes you a GMO product.
[00:14:17.273 --> 00:14:24.059]  And now, if you go to Spain or you go to Australia, they have apps on everybody's phones.
[00:14:24.059 --> 00:14:26.241]  If you don't have the app, you're arrested.
[00:14:26.241 --> 00:14:27.282]  But a woman in Australia
[00:14:28.720 --> 00:14:31.441]  She had her papers, because she hadn't got an app yet.
[00:14:31.441 --> 00:14:39.585]  They arrested her for being outside without her papers, swimming with her children at the beach, but they didn't have the papers.
[00:14:39.585 --> 00:14:43.706]  We're going to come back from break with David Knight, and we're going to play this.
[00:14:43.706 --> 00:14:44.907]  Let's go ahead and start playing it now.
[00:14:48.306 --> 00:15:01.335]  Ladies and gentlemen, we don't have to wait to be Australia.
[00:15:01.335 --> 00:15:06.939]  In Michigan, in California, in New Jersey, in New York, you're not allowed to leave the campus.
[00:15:06.939 --> 00:15:10.782]  Again, five square miles is always the rule, even if the campus is smaller or bigger.
[00:15:10.782 --> 00:15:11.923]  That's the first app level.
[00:15:13.018 --> 00:15:14.559]  And then they just keep tightening it down.
[00:15:14.559 --> 00:15:16.500]  Oh, you can't go in your backyard now.
[00:15:16.500 --> 00:15:18.221]  And people are fetishizing this.
[00:15:18.221 --> 00:15:22.984]  And now they're announcing cameras in the stores that shout orders if you take your mask off.
[00:15:22.984 --> 00:15:24.465]  They face scan you when you go in.
[00:15:24.465 --> 00:15:28.347]  And they said, oh, this will be for cashless society soon, even after COVID.
[00:15:28.347 --> 00:15:30.128]  You'll have to be face scanned to go in a store.
[00:15:30.128 --> 00:15:33.470]  This is the rollout of their whole plan.
[00:15:33.470 --> 00:15:35.712]  I'll never forget there was an event.
[00:15:37.554 --> 00:15:41.677]  Twenty plus years ago here in Austin, the guy that ran it was called Texas Best Seminars.
[00:15:41.677 --> 00:15:42.878]  I only went to it six or seven times.
[00:15:42.878 --> 00:15:44.219]  I'd go give speeches there.
[00:15:44.219 --> 00:15:45.800]  And he was like a lay preacher.
[00:15:45.800 --> 00:15:50.823]  He talked about this preacher he knew in Texas that had a vision.
[00:15:50.823 --> 00:15:52.965]  And I'll tell you what that vision was when we come back.
[00:15:52.965 --> 00:15:57.108]  Stay with us.
[00:15:57.108 --> 00:16:00.030]  The planets have aligned globally.
[00:16:00.030 --> 00:16:01.251]  They've aligned nationally.
[00:16:01.251 --> 00:16:05.394]  They've aligned financially, culturally, but most importantly, spiritually.
[00:16:06.221 --> 00:16:12.929]  We are living at a point in human development that will decide the entire future destiny of our species.
[00:16:12.929 --> 00:16:25.184]  And that's why big tech controlled by the very dark forces above us is trying to dumb us down, isolate us, make us depressed, make us alone, and try to control every aspect of our lives.
[00:16:25.184 --> 00:16:25.485]  Literally,
[00:16:25.845 --> 00:16:36.693]  They're brainwashing us with the stimuli that they put forward because they do not want us to take our birthright, not as of Americana, but of true Christendom and the Renaissance and the Enlightenment.
[00:16:37.532 --> 00:16:49.845]  They are trying to create a new dark age where they have all the high technology and life extension and we are walled off in a technocracy that controls us through carbon credits and through a social credit score.
[00:16:49.845 --> 00:16:51.867]  This is their plan.
[00:16:51.867 --> 00:16:56.372]  We must come together and awaken out of our trance and say no, we must embrace God.
[00:16:57.571 --> 00:17:06.714]  The Bible talks about there being ten kings of the earth that sit above the nation states and who give their power unto the one world leader, the Antichrist.
[00:17:06.714 --> 00:17:14.256]  And he has a beast system that no one can buy or sell unless he has that marked in the forehead or in the palm of their hand.
[00:17:14.256 --> 00:17:21.439]  And we look back on all the warnings that were given and all just the common sense that you don't believe in God.
[00:17:22.199 --> 00:17:23.440]  Or prophecy.
[00:17:23.440 --> 00:17:29.804]  Giving governments and corporations the power to control who can buy and who can sell and to track everything we do.
[00:17:29.804 --> 00:17:33.427]  It's not just a recipe, it's a blueprint for total enslavement.
[00:17:33.427 --> 00:17:44.154]  And now you look at Bill Gates, you look at Bloomberg and others who openly say, we're technocrats, we should decide how much salt you get, how much alcohol you get, how much red meat you get.
[00:17:44.154 --> 00:17:45.595]  We're technocrats, we know best.
[00:17:45.595 --> 00:17:49.557]  And we're now gonna set up the economy with a social score to totally control you.
[00:17:49.557 --> 00:17:51.299]  You snap your fingers, we're here.
[00:17:52.139 --> 00:17:54.000]  They're just rolling it out.
[00:17:54.000 --> 00:17:55.321]  And a lot of people are complying with it.
[00:17:55.321 --> 00:17:59.903]  It's insane.
[00:17:59.903 --> 00:18:17.613]  You're listening to the Alex Jones Show.
[00:18:17.613 --> 00:18:19.534]  I just left Walter Reed Medical Center.
[00:18:20.345 --> 00:18:22.705]  And it's really something very special.
[00:18:22.705 --> 00:18:26.426]  The doctors, the nurses, the first responders.
[00:18:26.426 --> 00:18:29.827]  And I learned so much about coronavirus.
[00:18:29.827 --> 00:18:34.728]  And one thing that's for certain, don't let it dominate you.
[00:18:34.728 --> 00:18:36.768]  Don't be afraid of it.
[00:18:36.768 --> 00:18:37.448]  You're going to beat it.
[00:18:37.448 --> 00:18:39.689]  We have the best medical equipment.
[00:18:39.689 --> 00:18:43.809]  We have the best medicines, all developed recently.
[00:18:43.809 --> 00:18:44.610]  And you're going to beat it.
[00:18:44.610 --> 00:18:46.130]  I went, I didn't feel so good.
[00:18:47.202 --> 00:18:49.144]  And two days ago, I could have left two days ago.
[00:18:49.144 --> 00:18:52.287]  Two days ago, I felt great, like better than I have in a long time.
[00:18:52.287 --> 00:18:56.010]  I said just recently, better than 20 years ago.
[00:18:56.010 --> 00:18:57.431]  Don't let it dominate.
[00:18:57.431 --> 00:18:59.653]  Don't let it take over your lives.
[00:18:59.653 --> 00:19:00.734]  Don't let that happen.
[00:19:00.734 --> 00:19:02.856]  We have the greatest country in the world.
[00:19:02.856 --> 00:19:03.717]  We're going back.
[00:19:03.717 --> 00:19:04.737]  We're going back to work.
[00:19:04.737 --> 00:19:06.199]  We're going to be out front.
[00:19:06.199 --> 00:19:07.820]  As your leader, I had to do that.
[00:19:07.820 --> 00:19:10.603]  I knew there's danger to it, but I had to do it.
[00:19:10.603 --> 00:19:12.104]  I stood out front.
[00:19:12.104 --> 00:19:12.504]  I led.
[00:19:13.485 --> 00:19:17.528]  Nobody that's a leader would not do what I did.
[00:19:17.528 --> 00:19:21.091]  And I know there's a risk, there's a danger, but that's okay.
[00:19:21.091 --> 00:19:23.332]  And now I'm better, and maybe I'm immune.
[00:19:23.332 --> 00:19:24.593]  I don't know.
[00:19:24.593 --> 00:19:26.454]  But don't let it dominate your lives.
[00:19:26.454 --> 00:19:27.655]  Get out there.
[00:19:27.655 --> 00:19:28.816]  Be careful.
[00:19:28.816 --> 00:19:31.278]  We have the best medicines in the world.
[00:19:31.278 --> 00:19:32.779]  And it all happened very shortly.
[00:19:32.779 --> 00:19:34.560]  And they're all getting approved.
[00:19:34.560 --> 00:19:37.983]  And the vaccines are coming momentarily.
[00:19:37.983 --> 00:19:38.923]  Thank you very much.
[00:19:38.923 --> 00:19:41.385]  And Walter Reed, what a group of people.
[00:19:41.385 --> 00:19:42.206]  Thank you very much.
[00:19:46.400 --> 00:19:52.551]  The answer to the fear mongers is standing up and having courage.
[00:19:52.551 --> 00:19:54.154]  It's just that simple.
[00:19:54.154 --> 00:19:55.877]  What did Franklin Delano Roosevelt tell us?
[00:19:56.863 --> 00:19:58.705]  A classic American liberal.
[00:19:58.705 --> 00:20:02.268]  The only thing we have to fear is fear itself.
[00:20:02.268 --> 00:20:06.713]  And instead of being scared of Hitler and Kojo, we kicked their ass.
[00:20:06.713 --> 00:20:12.578]  Hitler thought if he bombed England and civilian targets that the Brits would become anti-war.
[00:20:12.578 --> 00:20:15.021]  They've been anti-war already.
[00:20:15.021 --> 00:20:18.284]  But the polls flipped from 90% against war to 99% for war when Hitler thought fear
[00:20:21.971 --> 00:20:25.535]  Would make them bow, but maybe the globalists are right.
[00:20:25.535 --> 00:20:29.019]  Maybe Americans in the West are cowards.
[00:20:29.019 --> 00:20:36.768]  And we want to buy into the permanent lockdown because the Democrats are calling for permanent mask, permanent shutdown, permanent forced inoculations, and still you can't.
[00:20:37.168 --> 00:20:39.410]  Travel without an app allowing you to.
[00:20:39.410 --> 00:20:44.054]  And now, first they're giving people papers, now they're forcing apps in the UK and Australia.
[00:20:44.054 --> 00:20:44.674]  They're the model.
[00:20:44.674 --> 00:20:45.275]  It's coming here.
[00:20:45.275 --> 00:20:47.056]  Universities in the US are doing this.
[00:20:47.056 --> 00:20:48.878]  Oh, you don't have your paperwork.
[00:20:48.878 --> 00:20:52.261]  You're outside the five miles you're allowed to travel now.
[00:20:52.261 --> 00:20:54.783]  What's to the beach in Australia?
[00:20:54.783 --> 00:20:56.284]  So they arrest her in front of her children.
[00:20:56.284 --> 00:20:56.825]  Here's the footage.
[00:20:59.932 --> 00:21:04.455]  You are not allowed to leave without an app or a piece of paper.
[00:21:04.455 --> 00:21:13.002]  Your piece of paper says you're outside your five kilometers, excuse me, not miles, like five kilometers, three and a half mile area.
[00:21:13.002 --> 00:21:13.542]  Yeah, three miles.
[00:21:13.542 --> 00:21:14.643]  And the campuses here in the U.S.
[00:21:14.643 --> 00:21:15.784]  also say the same thing.
[00:21:30.346 --> 00:21:33.447]  And they go and explain here in front of her children how they're doing it.
[00:21:33.447 --> 00:21:37.128]  David Knight, host of the David Knight Show, weekday mornings, 8 a.m.
[00:21:37.128 --> 00:21:39.569]  to 11 a.m., right before I come on.
[00:21:39.569 --> 00:21:42.930]  You've broken a big story that's one of the biggest developments shed in COVID.
[00:21:42.930 --> 00:21:44.510]  We'll get to that next segment.
[00:21:44.510 --> 00:21:47.591]  The Federal Reserve quietly announces to banks, I made some calls this morning,
[00:21:48.231 --> 00:21:51.734]  And confirmed this, he has the documents exclusive, thanks to Listers.
[00:21:51.734 --> 00:21:56.078]  They're telling him, you're not going to get cash out this Christmas and no more cash.
[00:21:56.078 --> 00:21:58.199]  They're getting rid of the coin money as well.
[00:21:58.199 --> 00:21:59.540]  People noticed that.
[00:21:59.540 --> 00:22:00.982]  So this gets on, folks.
[00:22:00.982 --> 00:22:02.063]  We're in a lot of trouble.
[00:22:02.063 --> 00:22:04.605]  President Trump needs to stop this as well.
[00:22:04.605 --> 00:22:13.492]  But David, we don't have to wait a few years for them to roll out the drones, face-carrying to go in grocery stores, contact tracers, kids being taken out of their homes.
[00:22:13.492 --> 00:22:13.912]  It's here.
[00:22:14.833 --> 00:22:19.976]  Yeah, you know, Alex, you just said, talking about FDR, you said, we have nothing to fear but fear itself.
[00:22:19.976 --> 00:22:29.362]  You know, the famous slogan that people have turned into t-shirts and everything else is what Winston Churchill said and what they put up in terms of posters in the UK at that time.
[00:22:29.362 --> 00:22:31.383]  They said, keep calm and carry on.
[00:22:31.383 --> 00:22:33.224]  But they also put up another poster.
[00:22:33.224 --> 00:22:37.487]  And I talked about both of these back on March 17th as we were entering lockdown.
[00:22:37.487 --> 00:22:38.207]  We're now 200 plus days.
[00:22:38.207 --> 00:22:39.408]  That video's on Band Off Video.
[00:22:39.408 --> 00:22:40.509]  You re-aired it yesterday.
[00:22:40.509 --> 00:22:41.109]  Yeah.
[00:22:41.109 --> 00:22:42.730]  You said, what, 200 plus days ago?
