[00:00:15.168 --> 00:00:17.171]  Uh, Bill Clinton.
[00:04:03.231 --> 00:04:04.971]  Because what did Von Bismarck say?
[00:04:04.971 --> 00:04:09.714]  God loves children, drunks, and the United States of America.
[00:04:11.297 --> 00:04:13.899]  So, count our lucky stars again.
[00:04:13.899 --> 00:04:16.481]  I mean, we're not out of the woods yet.
[00:04:16.481 --> 00:04:19.783]  By the way, there's so much huge news that I have trouble even dealing with it.
[00:04:19.783 --> 00:04:31.972]  I was shown secret documents yesterday by APD that I'm not allowed to show you on air about how this Saturday they're planning to take over the police station and burn it down.
[00:04:33.391 --> 00:04:36.573]  They're actually trafficking this at meetings from the Democrats.
[00:04:36.573 --> 00:04:39.255]  I mean, hell, the city council is going to blow it up.
[00:04:39.255 --> 00:04:40.676]  Blow up the police station.
[00:04:40.676 --> 00:04:41.957]  Now that's public.
[00:04:41.957 --> 00:04:54.967]  And now they're going to have overwatch snipers all over on top of parking garages that they're planning to shoot police and citizens if anyone stops Antifa taking control of major roads and setting up checkpoints.
[00:04:54.967 --> 00:04:55.567]  I'm not kidding.
[00:04:55.567 --> 00:04:57.689]  So you're going to have UT Tower shootings this weekend, I guess.
[00:04:59.028 --> 00:05:10.575]  Vicki Gibbs, 57-year-old lesbian preacher in Houston, went in with a cough, got intubated, and then died.
[00:05:10.575 --> 00:05:15.899]  And as soon as I saw her face, as soon as I saw the report, I said, watch, it'll be intubation.
[00:05:15.899 --> 00:05:17.260]  We know what's gonna happen.
[00:05:17.260 --> 00:05:18.661]  It's a blue city.
[00:05:18.661 --> 00:05:19.881]  Same story yet again.
[00:05:19.881 --> 00:05:21.863]  And they say her heart gave out.
[00:05:22.823 --> 00:05:27.705]  If you put somebody on a breathing tube of COVID-19 as a death sentence, it's on record.
[00:05:27.705 --> 00:05:30.407]  I want everyone you know before they go into the hospital and get killed.
[00:05:30.407 --> 00:05:34.008]  Why are almost all the deaths happening in blue cities and blue states?
[00:05:34.008 --> 00:05:40.952]  It's because they intubate them, putting a tube in their lungs, and COVID-19 is causing an autoimmune response.
[00:05:40.952 --> 00:05:45.074]  And if you do that with oxygen, the doctors are on record saying it will kill you.
[00:05:45.734 --> 00:05:50.398]  But all these doctors in blue cities and blue states follow their orders.
[00:05:50.398 --> 00:05:54.462]  And the minute I saw this report today, I knew what I would be reading.
[00:05:54.462 --> 00:05:57.284]  Don't end up like Vicki Gibbs or everyone.
[00:05:57.284 --> 00:06:04.771]  From coast to coast, from border to border, from sea to shining sea,
[00:06:13.598 --> 00:06:26.686]  The Deep State Globalist Controlled Democrats are planning, this weekend, the takeover of at least six more city police departments, starting with an attack plan this Saturday night.
[00:06:26.686 --> 00:06:40.195]  Now, us exposing this may have them back down, and then the media will say, oh, fake news from Jones, but you've already seen the takeover of police departments, and trying to take over federal buildings, and the shootings, and the bombings, and all the deaths, and the rest of it that were being told as peaceful demonstrations.
[00:06:40.195 --> 00:06:40.956]  But I have been shown
[00:06:42.130 --> 00:06:51.515]  By the APD, they have asked that we not actually show the documents themselves, because you can tell what unit and groups they are, but the police think you have a right to know about this.
[00:06:51.515 --> 00:07:04.282]  They have Overwatch already with Antifa in apartments, in high-rises, on balconies, but mainly in parking garages, like their Army Special Operations Command or something.
[00:07:05.652 --> 00:07:22.888]  And they are going to have men in pickup trucks that are already out there practicing setting up checkpoints, shutting down roads, and ordering people to roll down their windows and pledge allegiance to Antifa, like this individual was doing a week ago who got shot and killed downtown.
[00:07:22.888 --> 00:07:29.254]  Now the identity of the Army Sergeant who was doing his second job, drive share,
[00:07:31.025 --> 00:07:32.546]  Food delivery.
[00:07:32.546 --> 00:07:34.888]  Rideshare and food delivery.
[00:07:34.888 --> 00:07:38.031]  There are now witnesses that he indeed did aim a gun at him.
[00:07:38.031 --> 00:07:42.555]  So the army sergeant shot him five times in the chest to protect his own life.
[00:07:42.555 --> 00:07:47.379]  That's why he's not been charged.
[00:07:47.379 --> 00:07:50.561]  They were already planning this because I talked to several sources.
[00:07:50.561 --> 00:07:59.649]  This new expansion of taking over the roads and now taking over the parking garages is not in a response to this individual
[00:08:01.886 --> 00:08:05.669]  We'll just call him Shark Eyes, getting killed this weekend.
[00:08:05.669 --> 00:08:07.030]  They were already planning to roll this out.
[00:08:07.030 --> 00:08:09.372]  In fact, he was part of that rollout.
[00:08:09.372 --> 00:08:16.659]  And they have armed men all over downtown routinely walking up and shutting down traffic and pointing guns at people.
[00:08:16.659 --> 00:08:24.525]  And the minute they roll down the window and declare fealty to George Soros' Black Lives Matter.
[00:08:24.525 --> 00:08:27.267]  And so this is how violent revolutions start.
[00:08:27.267 --> 00:08:29.770]  With idiots, cannon fodder sent out to do it.
[00:08:31.158 --> 00:08:39.405]  And the police have tried to be able to go up and obviously detain and arrest individuals.
[00:08:39.405 --> 00:08:43.249]  It's one thing to have an open carry and exercise your First Amendment, your Second Amendment.
[00:08:43.249 --> 00:08:43.729]  We do that.
[00:08:43.729 --> 00:08:44.850]  We totally support it.
[00:08:44.850 --> 00:08:48.633]  And when you do it properly, you don't aim guns at people or you get shot dead.
[00:08:48.633 --> 00:08:55.580]  And you notice we could have 40,000 people out in Virginia for our rally and not one person got hurt and not one problem happened.
[00:08:55.580 --> 00:08:57.021]  One leftist started a fight and got arrested.
[00:08:58.928 --> 00:09:06.653]  That totally freaked the globalists out, but their people are just absolute, again, meth-head, devil-worshipping trash on average.
[00:09:06.653 --> 00:09:12.698]  The scum of the earth who are there as a smoke screen for more serious operators behind them.
[00:09:12.698 --> 00:09:18.302]  And so this is the type of time you're going to see bigger false flag event type things happen.
[00:09:18.302 --> 00:09:25.166]  But I can tell you right now, ladies and gentlemen, that communist forces, that's what Antifa is,
[00:09:26.198 --> 00:09:37.283]  In the Soros-funded, Democrat Party-funded combine, are planning assaults on new police stations and federal buildings tonight, all across the United States.
[00:09:37.283 --> 00:09:47.468]  And when the Austin police bring photos and video of this to the mayor's office, they are told, you are to stand down.
[00:09:47.468 --> 00:09:49.048]  I've seen the photos.
[00:09:49.048 --> 00:09:50.709]  I've seen the videos.
[00:09:50.709 --> 00:09:52.810]  I've seen the internal memorandums.
[00:09:52.810 --> 00:09:54.111]  This is happening for sure.
[00:09:55.430 --> 00:09:57.671]  And the rest of the press is being given this information.
[00:09:57.671 --> 00:10:06.654]  Of course, they're not reporting it because they're little toadies and, well, after all, the cops deserve to be shot in the back of the head and, you know, the police station deserves to be blown up.
[00:10:06.654 --> 00:10:16.078]  It's in the official city council budget to bomb with a controlled demolition as a symbol of stopping police hate.
[00:10:16.078 --> 00:10:19.819]  So, I mean, if they're publicly saying in the city council, blow up the police station,
[00:10:22.008 --> 00:10:23.209]  What do you think's going on?
[00:10:23.209 --> 00:10:28.451]  So there's going to be a back-to-blue demonstration this Saturday.
[00:10:28.451 --> 00:10:31.572]  I think Owen and Savannah Hernandez are going to be going.
[00:10:31.572 --> 00:10:35.754]  I don't want to go and overshadow it, because it's not my event.
[00:10:35.754 --> 00:10:44.818]  I will be rolling around downtown in the armored vehicle, because we need one, because we're getting shot at here, educating folks about what's happening in the country.
[00:10:44.818 --> 00:10:48.639]  And then we are going to be downtown.
[00:10:48.639 --> 00:10:49.880]  This is citizens.
[00:10:50.822 --> 00:10:54.325]  Watching what's going on in the parking garages and the rest of it.
[00:10:54.325 --> 00:10:59.689]  I'm just going to leave it at that because this is the time for all good men and women to come to the end of their country.
[00:10:59.689 --> 00:11:08.076]  And so wherever you are around the country, but if you're in Milwaukee or you're in Austin, Texas, or you're in Phoenix, Arizona.
[00:11:08.076 --> 00:11:12.780]  Or you are in Los Angeles, California, or you're in New York City, or you're in Miami.
[00:11:16.479 --> 00:11:24.721]  These are some of the towns that Antifa says they're going to take over the police stations and burn them down Saturday night.
[00:11:24.721 --> 00:11:29.523]  And as you've seen, they've done it all over the country, so you should probably take them at their word.
[00:11:29.523 --> 00:11:33.324]  Past behavior is the most indicative of future behavior.
[00:11:33.324 --> 00:11:35.705]  Past performance is the most indicative of future behavior.
[00:11:38.220 --> 00:11:39.241]  That's what they're planning.
[00:11:39.241 --> 00:11:40.921]  So that's what's going on.
[00:11:40.921 --> 00:11:47.185]  And I would just tell everybody who's going to be anywhere near downtown, you shouldn't go downtown in any of these cities to eat dinner.
[00:11:47.185 --> 00:11:51.887]  If you live in these areas, you should get out of them for the weekend, is my advice.
[00:11:51.887 --> 00:11:54.828]  If you have to be down there, you should be wearing body armor.
[00:11:54.828 --> 00:11:56.609]  I've never worn body armor.
[00:11:56.609 --> 00:11:58.230]  I'm going to wear body armor this weekend.
[00:11:58.230 --> 00:11:59.351]  It's important to stay in the fight.
[00:12:00.171 --> 00:12:02.894]  And obviously I'm a big target.
[00:12:02.894 --> 00:12:04.976]  And obviously we'll be armed, defensively.
[00:12:04.976 --> 00:12:08.120]  But if somebody comes up and points a gun at us, you know, we'll defend ourselves.
[00:12:08.120 --> 00:12:10.642]  That's just the way it is.
[00:12:10.642 --> 00:12:13.525]  We just can't get on our knees to you people.
[00:12:13.525 --> 00:12:18.170]  So you've got all these LARPers that want to go out and have their live action role play in the real world.
[00:12:21.548 --> 00:12:23.769]  What's crazy is, folks, I was reading this.
[00:12:23.769 --> 00:12:27.531]  This is actual, like, Al-Qaeda-ISIS terrorism.
[00:12:27.531 --> 00:12:33.673]  They are circulating on private Facebook that has been infiltrated by the feds, the state, and the local police.
[00:12:33.673 --> 00:12:37.094]  I mean, I've seen all this.
[00:12:37.094 --> 00:12:40.175]  And they're in there circulating where they're gonna put their snipers.
[00:12:41.849 --> 00:12:51.578]  And they have rules of engagement that if the cops try to stop somebody setting up a checkpoint and pointing guns at people, some crazy meth head, they're going to shoot the cops.
[00:12:51.578 --> 00:12:56.622]  And the mayor has been brought the battle plans to put snipers on roofs.
[00:12:57.503 --> 00:13:14.469]  Like we're back to the UT tower shooting and and the mayor is going to let these people deploy with guns with the stated aim of overwatch that when men in pickup trucks are setting up checkpoints going down the wrong way as they're already been doing this whole week the policeman told to stand down that when the cops are citizens
[00:13:15.777 --> 00:13:20.761]  Resist being abused or killed, they're going to start shooting from rooftops.
[00:13:20.761 --> 00:13:24.144]  And again, Antifa can't hit the side of a barn, folks.
[00:13:24.144 --> 00:13:33.091]  So you're going to have people 200, 300, 400 yards away trying to shoot police cars, and you know they're going to just shoot their own people in the demonstrations.
[00:13:33.091 --> 00:13:35.873]  So, this is the world we live in, in 2020.
[00:13:37.776 --> 00:13:39.777]  This is where Soros has taken us.
[00:13:39.777 --> 00:13:47.083]  This is where half the Justice Department being globalist, and your average FBI agent, you know, now being basically an Antifa all-star.
[00:13:47.083 --> 00:13:52.947]  This is where we've gotten on the verge of a communist overthrow.
[00:13:52.947 --> 00:14:05.596]  And the City Council of Austin, the official budget saying, hasten the controlled demolition of the police station as a symbol of stopping police hate.
[00:14:05.596 --> 00:14:06.177]  That's where we are.
[00:14:07.492 --> 00:14:24.009]  And people that don't even know which end of the gun bullets come out of are going to be up there pretending that they're American sniper on top buildings with their muzzles aimed down, schooning over crowds.
[00:14:24.009 --> 00:14:25.510]  I mean, I've been at demonstrations before.
[00:14:26.482 --> 00:14:31.124]  And they've had cops up in the parking garages and they have got their guns pointing out the crowd.
[00:14:31.124 --> 00:14:31.785]  I blew up.
[00:14:31.785 --> 00:14:33.225]  Cops shouldn't be doing that.
[00:14:33.225 --> 00:14:34.086]  I'm not a target.
[00:14:34.086 --> 00:14:35.467]  Demonstrators aren't.
[00:14:35.467 --> 00:14:38.568]  If some guy's in a trench coat and you think something's going on, okay, put a scope on him.
[00:14:38.568 --> 00:14:42.650]  But don't be sitting there pointing your gun at me when I'm not armed.
[00:14:42.650 --> 00:14:43.250]  Don't do it.
[00:14:43.250 --> 00:14:44.251]  Use your binoculars.
[00:14:44.251 --> 00:14:45.672]  Don't aim your scope at me.
[00:14:45.672 --> 00:14:47.172]  That's a very hostile act.
[00:14:47.172 --> 00:14:52.135]  Well, what are you going to do when Antifa is up on rooftops pointing guns at people?
[00:14:54.448 --> 00:14:58.811]  And they are just absolute drug addict nuts.
[00:14:58.811 --> 00:15:07.717]  It's bad enough if a cop's aiming a Remington .700, .308 at your head, and his finger's not on the trigger, it's triggered discipline.
[00:15:07.717 --> 00:15:10.719]  That's still not called for.
[00:15:10.719 --> 00:15:23.648]  When you've got a meth-head devil worshipper on top of a rooftop, whacked out of their gourd, who plays video games all day, because this is all the incel crowd, that's who they are, this is all the incel crowd that became liberal.
[00:15:25.703 --> 00:15:28.710]  And so that's Austin, Texas, this Saturday night.
[00:15:28.710 --> 00:15:33.760]  We'll be doing live streams on our own feed, build our own infrastructure, our own network, to be able to even bring you this information.
[00:15:36.311 --> 00:15:39.954]  I've asked my police source to call the police and let us show you these documents.
[00:15:39.954 --> 00:15:48.502]  Because this is national news, and they're going over the documents right now to see if there's some way to black things out so that I can show you this.
[00:15:48.502 --> 00:15:55.229]  Because, I mean, there's maps put out by Antifa of where they're going to have shooters on top buildings aiming guns at you and your family.
[00:15:55.229 --> 00:15:56.390]  And that's the communists for you.
[00:15:56.810 --> 00:16:09.020]  States cracking down on social gatherings, says CNN, because Fauci says if we don't, we'll see further surges in coronavirus positives.
[00:16:09.020 --> 00:16:18.028]  Because they're only ramping up the testing, and because the tests have been designed at the Wuhan lab, it turns out, to be completely fraudulent.
[00:16:18.028 --> 00:16:25.794]  They cook the whole thing up, offshore, in a communist dictatorship, with Fauci, Bill Gates, and the CHICOMS, to be
[00:16:25.854 --> 00:16:46.308]  Directed by the UN it's a giant planetary power grab and now it's all over the news that indeed Bill Gates has developed digital tattoos under your skin and so is Google and they're deploying them at the airports next year where you'll have to have it to be able to travel oh and then soon to leave your house or go in a grocery store and the contact
[00:16:46.528 --> 00:16:49.812]  There are only a few days left to take advantage of the biggest Infowars sale
[00:17:01.485 --> 00:17:02.085]  We're good to go.
[00:17:25.171 --> 00:17:40.410]  In many cases, this could be the last chance you've got in the year 2020 to get these amazing products that empower you and your family's life and health, your immune systems, you name it, your stamina, your libido, your focus, but also you know.
[00:17:41.571 --> 00:17:43.513]  You're listening to the Alex Jones Show!
[00:18:10.891 --> 00:18:12.474]  Welcome back, I'm your host Alex Jones.
[00:18:12.474 --> 00:18:17.241]  So, we have in our possession, but APD has asked us not to show it on air for a lot of obvious reasons.
[00:18:19.722 --> 00:18:34.548]  All the intelligence links of where they got the intel and the maps and the training and the planning to then build their own map of where Antifa and BLM Soros funded terrorists, the same types that overthrew Ukraine six years ago, the exact same tactics.
[00:18:34.548 --> 00:18:35.749]  They ordered the police to stand down.
[00:18:35.749 --> 00:18:38.790]  They started shooting the police and the public stood down.
[00:18:38.790 --> 00:18:42.051]  They overthrew the government and took over.
[00:18:42.051 --> 00:18:43.212]  They're not going to get rid of the police.
[00:18:43.212 --> 00:18:43.992]  They're going to take them over.
[00:18:45.796 --> 00:18:49.758]  And you see the little drug addict, devil worshipper, antifa, and you think, well those people won't do that.
[00:18:49.758 --> 00:18:55.062]  They're the cannon fodder.
[00:18:55.062 --> 00:19:01.366]  So what we're going to do is, we're going to show you the intel we've been sent, the links, and we're going to just reconstruct it for you and show it to you that way.
[00:19:01.366 --> 00:19:06.269]  But obviously some of the locations we're not going to show for obvious reasons.
[00:19:06.269 --> 00:19:14.134]  But imagine being on Facebook and publicly preparing to put snipers, dozens of them on rooftops,
[00:19:15.509 --> 00:19:27.981]  Talking about your rules of engagement that in police engage the demonstrators that are going to take over the police station and set up their own chop jazz down on 7th Street and I-35.
[00:19:30.359 --> 00:19:33.841]  That they're going to open fire on the police.
[00:19:33.841 --> 00:19:43.087]  And the mayor has told them that no police are allowed to use pepper spray or rubber bullets except SWAT.
[00:19:43.087 --> 00:19:44.789]  That's a tiny unit.
[00:19:44.789 --> 00:19:52.814]  And so you're going to see boiling out of their holes 10,000 communists, globalists, meth heads, homeless, drug addicts, criminals that want to take advantage of it.
[00:19:54.175 --> 00:19:55.398]  Basically, devil worshippers.
[00:19:55.398 --> 00:19:55.980]  That's what they are.
[00:19:55.980 --> 00:19:56.942]  I mean, go out and talk to them.
[00:19:56.942 --> 00:19:58.607]  I mean, got all these videos of anti-fascists.
[00:19:58.607 --> 00:19:59.449]  What do you identify as?
[00:19:59.449 --> 00:20:01.755]  I'm a Satanist that wants to kill babies and I hate America.
[00:20:01.755 --> 00:20:02.718]  And that's what they actually say.
[00:20:05.516 --> 00:20:16.965]  And the police, again in Austin, Austin is the next Portland, Austin is the next Seattle, but they didn't have armed men in trucks already setting up checkpoints and the police told us to stand down.
[00:20:16.965 --> 00:20:31.497]  And so that way these weird, crazy, brainwashed people that are being paid $20 an hour to do this, and the academics that control them, it's mainly academics, weathermen, 2.0 types, they're going out and driving the wrong way and setting up checkpoints and pointing guns at people.
[00:20:32.970 --> 00:20:35.471]  It's happened hundreds of times, we've confirmed.
[00:20:35.471 --> 00:20:44.557]  Only once did the individual get shot last weekend, because it was an army sergeant doing his second job delivering food, veteran of Afghanistan.
[00:20:44.557 --> 00:20:50.240]  They start beating on his car, they block his car, the guy comes up, raises his rifle, the videos come out, and he shot him five times in the chest.
[00:20:51.511 --> 00:20:55.712]  Everybody else, though, just like you heard the guy before he got killed, he said, I'm intimidating everybody.
[00:20:55.712 --> 00:20:57.092]  They're a bunch of wimps.
[00:20:57.092 --> 00:20:58.512]  He used the P word.
[00:20:58.512 --> 00:21:00.033]  They're a bunch of pussycats.
[00:21:00.033 --> 00:21:00.853]  I love it.
[00:21:00.853 --> 00:21:03.213]  I'm out here letting the racists know I'm the boss.
[00:21:03.213 --> 00:21:07.674]  Just random old ladies, random people, terrorizing them.
[00:21:07.674 --> 00:21:13.556]  And the police have to sit there under orders and put up with that.
[00:21:13.556 --> 00:21:15.256]  That's the country we live in.
[00:21:16.454 --> 00:21:17.655]  In 2020.
[00:21:17.655 --> 00:21:29.782]  And then the president has the federal and state courts, everybody, saying that he's bad for not letting them burn down the federal courthouse in Oregon.
[00:21:29.782 --> 00:21:31.963]  In Portland.
[00:21:31.963 --> 00:21:35.445]  This isn't, again, a dystopic novel you're reading.
[00:21:35.445 --> 00:21:36.405]  This isn't satire.
[00:21:36.405 --> 00:21:39.127]  This is really going on.
[00:21:39.127 --> 00:21:40.087]  And you ask, well, why?
[00:21:40.087 --> 00:21:42.249]  Because we've appeased everything.
[00:21:42.249 --> 00:21:45.931]  They take knees during the national anthem and now say America itself is bad?
[00:21:47.620 --> 00:21:52.764]  All the big NBA people worship Communist China and their death camps, but we're bad?
[00:21:52.764 --> 00:22:02.553]  We let convicted pedophiles come into schools and have access to our children during pervert, pedophile story time?
[00:22:02.553 --> 00:22:06.436]  We kill 62 million babies?
[00:22:06.436 --> 00:22:14.663]  Fauci, under UN directives, sent people with the flu and pneumonia into nursing homes in 10 states where over half the deaths happen now.
[00:22:16.704 --> 00:22:27.248]  And that little mass murderer goes up on TV yesterday and says, with Andrea Mitchell on MSNBC, it's good to ban these doctors at their press conferences.
[00:22:27.248 --> 00:22:28.688]  They shouldn't be allowed to have speech.
[00:22:28.688 --> 00:22:30.109]  It's dangerous disinfo.
[00:22:30.109 --> 00:22:36.411]  When he's the one that had his study funded by Gates that hydroxychloroquine doesn't help you pulled because it was a lie.
[00:22:37.560 --> 00:22:40.081]  He's the one that said 2.5 million would be dead.
[00:22:40.081 --> 00:22:46.844]  He's the one that set the parameters at the UN level to say that everybody that dies of car wrecks or gunshot wounds is COVID-19.
[00:22:46.844 --> 00:22:49.605]  He's the one that said we're not going to count flu deaths as flu now.
[00:22:49.605 --> 00:22:50.785]  We're going to count them as COVID-19.
[00:22:50.785 --> 00:22:51.866]  I have all the documents.
[00:22:51.866 --> 00:22:53.366]  Next hour we'll get into that.
[00:22:53.366 --> 00:23:03.130]  He's the one that's lied and lied with fake tests and then tests from China that were contaminated with COVID-19, which is a real virus, a bad pneumonia with incredible gain of function.
[00:23:04.753 --> 00:23:06.474]  But still not as deadly as they wanted.
[00:23:06.474 --> 00:23:09.156]  And plus, hot air kills it, so they've got a problem.
[00:23:09.156 --> 00:23:15.701]  They're adding all the deaths, and you've got the July effect, where all these new doctors and nurses come on into their residency.
[00:23:15.701 --> 00:23:17.783]  Every year you have a spike in deaths because of that.
[00:23:17.783 --> 00:23:21.786]  What they call medical practice, a practice.
[00:23:21.786 --> 00:23:27.250]  You practice on your patients.
[00:23:27.250 --> 00:23:27.751]  It's a cult!
[00:23:29.028 --> 00:23:30.709]  And some doctors are good, some are bad.
[00:23:30.709 --> 00:23:31.189]  And the U.N.
[00:23:31.189 --> 00:23:34.110]  admits that the doctors knew the vaccines were hurting people.
[00:23:34.110 --> 00:23:44.134]  And so now doctors themselves, thousands of them, have been censored on Twitter, Facebook, YouTube, Google, all of it, for coming out and saying hydroxychloroquine's saving people.
[00:23:44.134 --> 00:23:48.536]  But now major states are reversing and saying we're not following NIH guidelines.
[00:23:48.536 --> 00:23:51.717]  Even though Trump said stop doing those guidelines, the NIH ignores him.
[00:23:51.717 --> 00:23:57.540]  We're going to say you can treat with hydroxychloroquine because you always could for any viral infection.
[00:23:57.540 --> 00:23:58.380]  It was a default.
[00:24:01.818 --> 00:24:04.300]  Imagine that!
[00:24:04.300 --> 00:24:13.287]  Unapproved, multi-hundred-year-old drug that's known to treat pneumonias.
[00:24:13.287 --> 00:24:17.951]  And they tell you, oh, your doctor can't prescribe Advil for joint pain.
[00:24:17.951 --> 00:24:19.692]  You're like, everybody does that.
[00:24:19.692 --> 00:24:22.114]  Nope, nope, nope, can't.
[00:24:22.114 --> 00:24:26.838]  It's the equivalent of that.
[00:24:26.838 --> 00:24:30.821]  And I've got all the documents here where they had to withdraw their whole study.
[00:24:32.776 --> 00:24:36.839]  Because they want you dead, folks.
[00:24:36.839 --> 00:24:49.407]  This is a bioweapon that only kills people deficient in zinc, vitamin D3, and C. And old people get to where their guts do not absorb those anymore.
[00:24:49.407 --> 00:24:52.249]  Already a healthy person absorbs very little D3.
[00:24:52.249 --> 00:25:00.375]  You get to be 70, 80 years old, that's why they've got to take bigger dosages of C, D3, and zinc when you're older.
[00:25:00.375 --> 00:25:01.255]  Are there side effects?
[00:25:01.255 --> 00:25:01.776]  Absolutely.
[00:25:04.903 --> 00:25:09.305]  Folks, if you take 300 milligrams of zinc a day, the studies say you can't get a viral infection.
[00:25:09.305 --> 00:25:09.845]  You just can't.
[00:25:09.845 --> 00:25:12.686]  But it'll kill your kidneys in a couple of years.
[00:25:12.686 --> 00:25:16.567]  That's why you want to... I personally decided to take about 60 milligrams a day.
[00:25:16.567 --> 00:25:17.707]  It's not the best for your kidneys.
[00:25:17.707 --> 00:25:18.807]  Drink plenty of water.
[00:25:18.807 --> 00:25:26.690]  But your cells are... In like Flynn, baby.
[00:25:26.690 --> 00:25:28.110]  That's why it's called essential.
[00:25:28.110 --> 00:25:30.851]  And I know I keep hammering this, but you want to save lives, folks.
[00:25:32.162 --> 00:25:35.064]  Louie Gohmert got tested positive for COVID.
[00:25:35.064 --> 00:25:35.844]  He says he feels great.
