[00:00:11.947 --> 00:00:13.348]  Sorry folks, park's closed.
[00:11:13.271 --> 00:11:14.371]  I didn't know it would be released that day.
[00:11:14.391 --> 00:11:15.571]  I didn't know he'd come knocking on our door.
[00:11:15.591 --> 00:11:16.892]  A lot of weird stuff going on.
[00:11:17.692 --> 00:11:22.998]  And he's in here during the break and then on air saying, well, I think Roger runs everything.
[00:11:23.578 --> 00:11:23.919]  Wow.
[00:11:24.179 --> 00:11:24.799]  Roger runs everything.
[00:11:25.200 --> 00:11:26.601]  I sure wish he could make a Skype work.
[00:11:27.562 --> 00:11:28.763]  And I'm not even a computer person.
[00:11:28.783 --> 00:11:30.745]  I have to teach Roger how to use computers.
[00:11:30.806 --> 00:11:34.950]  So that's the weird thing about the liberal medium.
[00:11:36.598 --> 00:11:44.684]  They came out and they said, I ran the Trump campaign and Roger ran the Trump campaign and we're the reason he won and everything Trump did came out of my mouth or Roger's.
[00:11:44.944 --> 00:11:45.505]  It's not true.
[00:11:46.125 --> 00:11:48.127]  I would love to take that credit for that.
[00:11:49.328 --> 00:11:51.389]  I wish Trump listened to me as much as they said he did.
[00:11:51.890 --> 00:11:54.312]  We got a lot of ideas out there about rebooting America.
[00:11:54.372 --> 00:11:57.514]  We have a huge audience that helped get Trump over the top, getting elected.
[00:11:57.534 --> 00:11:59.336]  We promoted populism against globalism.
[00:11:59.656 --> 00:12:01.798]  We've been absolutely instrumental.
[00:12:02.802 --> 00:12:02.882]  It's
[00:12:27.224 --> 00:12:27.824]  It's bizarre.
[00:12:27.844 --> 00:12:32.669]  Because the crew works here, and the crew sees me, they know, they watch it all being done.
[00:12:32.710 --> 00:12:34.972]  The research, the guest, the info.
[00:12:35.332 --> 00:12:38.276]  And we just bring guests in and say, hey, say whatever you want.
[00:12:38.356 --> 00:12:40.138]  Well, you run the New World Order, Alex.
[00:12:41.940 --> 00:12:42.621]  Okay, great.
[00:12:43.281 --> 00:12:43.781]  Thanks a lot.
[00:12:44.302 --> 00:12:45.483]  Oh, and I'm going to post the film.
[00:12:45.543 --> 00:12:46.484]  We're the bad guys.
[00:12:46.544 --> 00:12:49.506]  I mean, it's just next level.
[00:12:50.207 --> 00:12:55.090]  But that's what happens in this whole Q-verse is Trump can't be trusted.
[00:12:55.150 --> 00:12:56.291]  Roger Stone can't be trusted.
[00:12:56.371 --> 00:12:57.552]  Alex Jones can't be trusted.
[00:12:58.373 --> 00:13:03.517]  But anybody off the street wearing a Trump jacket, whoa, whoa, okay, all right.
[00:13:04.218 --> 00:13:05.359]  Trump's bad now too, right?
[00:13:06.240 --> 00:13:13.904]  I mean, Robert Mueller's good, and all this other stuff's good, but oh, but the actual New World Order, the actual globalist operation, it's not a problem.
[00:13:14.184 --> 00:13:15.745]  But anyways, that is a distraction.
[00:13:15.805 --> 00:13:18.787]  Can't wait to get Millie out of jail.
[00:13:19.667 --> 00:13:28.111]  The problem is, they're having a CPS hearing at 10 a.m., and they're not supposed to have their arraignment hearing in that county in Ohio.
[00:13:28.151 --> 00:13:32.814]  It's all listed on InfoWars.com until, until,
[00:13:34.943 --> 00:13:37.345]  They are already had the CPS meeting.
[00:13:38.526 --> 00:13:40.688]  And so very, very serious situation.
[00:13:41.028 --> 00:13:42.810]  I've tried to figure out what's going on in that town.
[00:13:44.351 --> 00:13:45.632]  It's mainly a Democrat town.
[00:13:46.033 --> 00:13:57.603]  So, but again, why would the Democrats sit there and try to shut a film down that claims Roger Stone works with Barack Obama?
[00:13:58.465 --> 00:14:18.523]  Basically what it does because they're one expert in there says that and again I'm just getting this out there because it's it's always interesting you just wake up and you know I'm such a mastermind I don't even know what's in this film and then it's being talked about on my show and Roger has nothing to do with any of this as implicated as the big genius mastermind and I'm just supposed to sit here and take it so that's where I stand on that so there you go
[00:14:19.394 --> 00:14:30.060]  You know, the big secret conspiracy here is that there's no filter and that I am in charge of my own life and I built Infowars with the support of this broadcast and we are the American people and we're changing the whole planet together.
[00:14:30.280 --> 00:14:34.122]  I would be ashamed to ever be involved with the CIA or the FBI or any of these groups.
[00:14:36.695 --> 00:14:38.096]  78 days.
[00:14:38.116 --> 00:14:38.656]  78 days.
[00:14:38.736 --> 00:14:40.117]  What an incredible time to be alive.
[00:14:40.557 --> 00:14:45.360]  I'm your host, Alex Jones, coming to you from deep in the heart of Texas, Austin, broadcasting worldwide.
[00:14:45.380 --> 00:14:48.121]  All right, let's plow in to the really big news.
[00:14:48.922 --> 00:14:57.266]  When Roger Stone joins us next segment, I will get into all of his intel and his sources that are excellent on whether or not we're about to see widespread indictments.
[00:14:57.286 --> 00:15:05.371]  We've seen the beginning of it starting, and Trump said this is only the beginning that we are all about to witness.
[00:15:05.851 --> 00:15:08.853]  But let's get in to the latest COVID developments.
[00:15:09.934 --> 00:15:18.779]  New saliva-based COVID-19 test could be fast, cheap, game-changer, CNN.
[00:15:19.439 --> 00:15:26.964]  You read the type of test it is, it's the other basic test they've been using that give almost 90% false positives.
[00:15:27.004 --> 00:15:29.045]  So that'll create more hysteria, more fear.
[00:15:29.866 --> 00:15:31.167]  It's never about the death toll now.
[00:15:32.668 --> 00:15:35.570]  It's about the number of people that are infected.
[00:15:35.590 --> 00:15:43.314]  But once you get tens of millions that have been tested, then if they die in a car wreck, or if they die of a heart attack, you get to count them.
[00:15:43.654 --> 00:15:51.258]  They go, oh, 1,200 a day dying from COVID, when tens of thousands, hundreds of thousands some days die in the United States.
[00:15:53.672 --> 00:15:55.054]  Yeah, over 350 million people.
[00:15:55.795 --> 00:15:56.315]  Continuing.
[00:15:56.596 --> 00:15:56.856]  U.S.
[00:15:56.876 --> 00:16:00.160]  developing coronavirus strain for human challenge trials.
[00:16:01.061 --> 00:16:05.667]  What do you think they were developing at Wuhan under Bill and Melinda Gates with 11 different programs?
[00:16:07.990 --> 00:16:10.573]  The strains for human tests in vaccines.
[00:16:10.653 --> 00:16:11.474]  It's patented.
[00:16:12.195 --> 00:16:12.556]  Look up!
[00:16:13.936 --> 00:16:19.600]  Bill Gates Foundation funded COVID Chimera viruses for vaccine trials.
[00:16:20.020 --> 00:16:23.783]  They've already done them on animals, and it says would work in humans.
[00:16:23.803 --> 00:16:27.725]  That's why they're skipping the animal trials, because they already did them.
[00:16:28.446 --> 00:16:29.366]  It's already been done.
[00:16:31.107 --> 00:16:35.390]  That's why Gates said, oh, there'll be a lot of illness with this new vaccine, because they already did it.
[00:16:35.670 --> 00:16:38.512]  They've already done it on animals and on humans in China.
[00:16:40.640 --> 00:16:46.443]  French and Japanese TV shows and Italian ones three years ago about, is it safe?
[00:16:46.483 --> 00:16:51.606]  They've got dangerous chimera viruses from bats at Wuhan under U.S.
[00:16:51.666 --> 00:16:52.106]  funding.
[00:16:52.626 --> 00:16:56.088]  In 2015 there were new scientist articles about the scandal.
[00:16:58.549 --> 00:17:07.874]  And then we sit here and watch the guy over at Fauci telling us how to live our lives and tell us we never leave our houses again when he told us all these millions would be dead but there aren't.
[00:17:09.625 --> 00:17:11.225]  Tucker Carlson comes out and points that out.
[00:17:12.586 --> 00:17:14.947]  He says, oh, Tucker's the reason there's all this craziness.
[00:17:14.987 --> 00:17:18.508]  No, it isn't COVID causing the starvation and the depression.
[00:17:18.548 --> 00:17:19.248]  It isn't COVID.
[00:17:19.348 --> 00:17:21.429]  It's the lies about COVID that are doing it.
[00:17:21.949 --> 00:17:22.689]  So, U.S.
[00:17:22.709 --> 00:17:27.330]  developing coronavirus strain for human challenge trials.
[00:17:29.191 --> 00:17:29.751]  Think about that.
[00:17:31.752 --> 00:17:34.632]  More Americans go hungry amid coronavirus pandemic.
[00:17:35.173 --> 00:17:36.193]  Census shows.
[00:17:40.316 --> 00:17:41.917]  But it's not the coronavirus that's doing it.
[00:17:44.359 --> 00:17:46.941]  It is the hysteria and the lies and the lockdown.
[00:17:47.061 --> 00:17:53.185]  And people say, man, the left's collapsing their states, their cities, because they work for the new world order to collapse the whole country.
[00:17:53.605 --> 00:17:55.987]  You think they're just idiots that don't know how to run things.
[00:17:56.267 --> 00:17:57.748]  They know how to destroy things.
[00:17:58.049 --> 00:17:58.849]  It's a plan.
[00:17:59.690 --> 00:18:00.630]  They're like Terminators.
[00:18:00.871 --> 00:18:01.651]  They never give up.
[00:18:01.691 --> 00:18:02.412]  They never give in.
[00:18:03.524 --> 00:18:09.008]  Wall Street Journal reports that violent crime rises during pandemic as confidence in police takes hit.
[00:18:09.548 --> 00:18:10.008]  CNN.
[00:18:11.009 --> 00:18:18.454]  Violent crime explodes during the police getting defunded and the police being told not to respond and people being told to riot and kill and murder.
[00:18:18.634 --> 00:18:29.581]  But the article blames COVID and the police for the globalist economic depression and reset and martial law that comes out of it after Trump's removed if they're successful.
[00:18:30.182 --> 00:18:31.062]  Oh, you want a police state?
[00:18:31.082 --> 00:18:31.603]  You're about to get one.
[00:18:31.823 --> 00:18:33.324]  So as soon as you know, CNN says.
[00:18:35.465 --> 00:18:39.246]  COVID is Trump's fault, and it's the police fault.
[00:18:39.406 --> 00:18:41.486]  Crimes exploding when the left says go out and attack.
[00:18:41.506 --> 00:18:45.668]  I mean, I've got footage pouring in of white people being shot, stabbed, murdered.
[00:18:46.088 --> 00:18:49.029]  Lemonade stands being robbed by racist black men.
[00:18:50.469 --> 00:18:52.590]  And the media won't even show you what color they are.
[00:18:52.630 --> 00:18:54.890]  It leaks out on the internet to create a race war, folks.
[00:18:55.250 --> 00:18:59.732]  The media is instituting this and telling black people, go out and attack whites.
[00:18:59.812 --> 00:19:00.672]  It's pure evil.
[00:19:02.810 --> 00:19:06.692]  Local media recommends parents lie, trick kids into wearing face masks.
[00:19:06.952 --> 00:19:10.393]  We've got KVUE in Austin with the video piece.
[00:19:10.693 --> 00:19:11.694]  We have time, we'll play it later.
[00:19:12.454 --> 00:19:19.657]  Saying, be a superhero and lying to them and telling them it's good for them and that it protects them from a deadly virus that doesn't even affect children.
[00:19:20.417 --> 00:19:25.680]  When in truth, it stunts the children, messes up their teeth and gives them hypoxia from not getting enough oxygen.
[00:19:27.680 --> 00:19:28.801]  I want to cover this a lot.
[00:19:30.854 --> 00:19:45.002]  Remember Google, Apple, Facebook and others all have plans on the board for smart cities where they start doming in buildings to say that they're the safe zones from outside, pathogens and for future viral outbreaks.
[00:19:46.223 --> 00:19:49.065]  Denver, Toronto, Austin are already building these domed city areas.
[00:19:51.445 --> 00:20:05.230]  This shows China with a domed city and says how China controlled the coronavirus, the coronavirus crisis, and said, we've got to do like they did, Australia, and now Spain, we've got to lock down whole cities and not let you even leave your house.
[00:20:06.290 --> 00:20:08.511]  And then our contact tracers will deliver you your food.
[00:20:08.791 --> 00:20:12.653]  You're being taught how to be totally dependent and have a depression so bad you never come out of it.
[00:20:12.853 --> 00:20:18.875]  And it shows them living in domed cities in China, where the communist elite live.
[00:20:20.626 --> 00:20:23.647]  Mystery masks from China arrive at Florida addresses unsolicited.
[00:20:24.547 --> 00:20:26.007]  Many of the masks, of course, are used.
[00:20:26.047 --> 00:20:29.888]  You see the CHICOMs wiping their feet and their faces with them and loading them into packaging.
[00:20:30.528 --> 00:20:30.788]  Oh, yeah.
[00:20:32.688 --> 00:20:37.889]  Woman who has COVID-19 complications listed as death certificate, but family says she was never tested for it.
[00:20:39.290 --> 00:20:41.570]  Bald eagle attacks Michigan government drone.
[00:20:43.070 --> 00:20:45.311]  Fauci blames Tucker Carlson for coronavirus crazies.
[00:20:46.633 --> 00:20:51.916]  Michigan rejects more than 10,000 absentee ballots, including some from voters who died.
[00:20:51.936 --> 00:20:53.877]  The Daily Caller.
[00:20:54.878 --> 00:20:56.459]  But there's no election fraud.
[00:20:56.479 --> 00:20:59.861]  40% of U.S.
[00:20:59.881 --> 00:21:04.084]  COVID-19 tests come back too late to be clinically meaningful, data shows.
[00:21:04.624 --> 00:21:05.245]  That's CNBC.
[00:21:05.325 --> 00:21:06.385]  But it's worse than that.
[00:21:06.886 --> 00:21:10.168]  Because depending on the test, 60 to 90% are fake.
[00:21:12.349 --> 00:21:13.129]  This is big video.
[00:21:13.169 --> 00:21:13.790]  I'll play it later.
[00:21:15.000 --> 00:21:16.531]  Voiceless people are being tormented?
[00:21:17.751 --> 00:21:18.592]  And done away with.
[00:21:18.632 --> 00:21:19.412]  This is criminal.
[00:21:19.552 --> 00:21:22.614]  New Yorker testifies to Governor Cuomo's COVID cover-up.
[00:21:23.115 --> 00:21:25.977]  Even though they tried to rig who could testify, the truth came out.
[00:21:26.477 --> 00:21:27.758]  It's over 10,000 dead, not 6,000.
[00:21:28.278 --> 00:21:30.660]  And they knew what they were doing, but wanted high death numbers.
[00:21:30.900 --> 00:21:38.826]  They knew only by sending folks with flu or pneumonia into nursing homes so they get a high kill rate and suck 52,000 plus out of each murder.
[00:21:39.466 --> 00:21:41.047]  That's called hitman money.
[00:21:41.287 --> 00:21:42.408]  That's good hitman money.
[00:21:42.748 --> 00:21:43.649]  They are the best hitmen for 52,000.
[00:21:43.749 --> 00:21:43.869]  Gluns.
[00:21:47.563 --> 00:21:51.085]  Multiple people arrested for not wearing masks at OC grocery store.
[00:21:51.105 --> 00:21:53.526]  Store manager locked them in and called the police.
[00:21:53.926 --> 00:21:54.987]  Illegal imprisonment.
[00:21:55.447 --> 00:21:56.388]  False imprisonment.
[00:21:56.828 --> 00:21:57.888]  All for their giant hoax.
[00:21:59.629 --> 00:22:08.073]  Philadelphia Police City Council organized a home gun check campaign where they come to your house to see your guns and then intimidate you to turn them in.
[00:22:08.414 --> 00:22:10.755]  That hasn't been done since Obama and it's back!
[00:22:14.360 --> 00:22:15.120]  Let's continue.
[00:22:15.641 --> 00:22:18.882]  More Americans go hungry amid coronavirus pandemic census shows.
[00:22:19.222 --> 00:22:20.243]  Millions starving to death.
[00:22:20.483 --> 00:22:21.243]  But that's okay.
[00:22:21.283 --> 00:22:22.504]  It's all COVID's fault.
[00:22:22.804 --> 00:22:24.324]  But it's not COVID's fault.
[00:22:24.645 --> 00:22:30.007]  And after Roger Stone leaves us at the start of the next hour, I am going to get into this.
[00:22:30.147 --> 00:22:34.789]  A mad rush for the exits as New York City goes down the tubes.
[00:22:35.129 --> 00:22:36.270]  That dovetails Daily Mail.
[00:22:36.590 --> 00:22:37.810]  Hollywood apocalypse.
[00:22:37.830 --> 00:22:39.511]  The rich and famous are fleeing in droves.
[00:22:39.731 --> 00:22:41.132]  But it's part of a larger plan.
[00:22:41.832 --> 00:22:46.375]  They intend to use the blue cities and states as black holes to suck the entire country down.
[00:22:46.615 --> 00:22:54.801]  We go bankrupt and we're broken up by the United Nations and put into global world receivership, similar to the Weimar Republic going into the Versailles Treaty.
[00:22:55.221 --> 00:22:56.962]  The UN actually admits that's the plan.
[00:22:57.222 --> 00:22:58.903]  This is how they conquer us from within.
