[00:00:00.169 --> 00:00:04.630]  They were the ones that lied from A to Z about everything about coronavirus.
[00:03:56.794 --> 00:04:03.959]  There's a letter that General Flynn put out yesterday that lays this out where he explains this is a spiritual war to bring down the United States and that this is clearly Satanism
[00:04:20.618 --> 00:04:25.823]  Using communism as its template with powerful billionaires orchestrating and running the entire operation.
[00:04:26.303 --> 00:04:29.146]  This is the authoritarian fall of the United States.
[00:04:29.546 --> 00:04:35.191]  And the slaves that are begging for it, believing they will be empowered, will wake up even more enslaved than they were before.
[00:04:35.872 --> 00:04:38.955]  The United States is sliding rapidly into Venezuela.
[00:04:39.515 --> 00:04:42.198]  Venezuela has more wealth per capita than the United States.
[00:04:42.738 --> 00:04:43.599]  We're good.
[00:05:00.168 --> 00:05:03.270]  The United States is going because the globalists want to collapse us.
[00:05:03.330 --> 00:05:04.371]  They want to break us.
[00:05:04.411 --> 00:05:16.538]  And they're starting with the blue cities and blue states, creating artificial depressions, putting out the fentanyl, advertising that you can be homeless and live on the street to destroy confidence and to collapse the entire United States.
[00:05:16.658 --> 00:05:18.379]  That's why they're wrecking things by design.
[00:05:18.600 --> 00:05:20.101]  That's why they're saying overthrow the police.
[00:05:20.321 --> 00:05:24.283]  That's why they're saying blow up the police stations officially in the city of Austin budget.
[00:05:24.703 --> 00:05:26.785]  Because they are overthrowing America.
[00:05:27.025 --> 00:05:28.606]  They are engaged in a takeover.
[00:05:29.406 --> 00:05:34.950]  In closing, I'll tell listeners this, and viewers, this is the most critical time in human history, not just U.S.
[00:05:34.990 --> 00:05:35.270]  history.
[00:05:35.630 --> 00:05:48.238]  Eighty days out from the election, you need to share the articles and the videos from Man.Video and NewsWords.com and InfoWords.com like your very life depends on it because it does, ladies and gentlemen, it does.
[00:05:49.838 --> 00:06:01.701]  And it is so important now, when people are so hungry, when everybody else is being silenced, to know that hundreds of doctors and others that have been silenced are all in the Banned Video section of Banned.Video, where you can see them.
[00:06:01.801 --> 00:06:04.902]  And many of them have millions of views, but they need to have tens of millions of views.
[00:06:05.462 --> 00:06:08.923]  And also, you need to support InfoWars so we can pay for the bandwidth.
[00:06:09.003 --> 00:06:18.765]  Buy a t-shirt, buy a book, buy a film, buy a privacy pocket at InfoWarsTore.com and help yourself and help us, because it takes money to fight this war.
[00:06:19.141 --> 00:06:21.843]  But whatever you do, pray for us and keep spreading the word and sharing the links.
[00:06:22.096 --> 00:06:30.319]  Because we are really hurting the globalists, and we're about 50-50 right now, at the brink, sudden death over time, in the Super Bowl for humanity's future.
[00:06:30.740 --> 00:06:40.304]  And again, we have storable food right now, with 3-4 week delivery, highest quality, in stock, the best packaging, last 25 years, at InfoWareStore.com, powered by my Patreon.
[00:06:40.764 --> 00:06:44.986]  And I'm telling you, the way the world's going, whether Trump gets elected or not, things are just going to get crazier.
[00:06:45.126 --> 00:06:50.628]  You need to have storable food for the future, so that you're not dependent on the system when things collapse, and when inflation comes in.
[00:06:50.888 --> 00:06:51.889]  Because of what's unfolding.
[00:06:52.049 --> 00:06:56.412]  And if there's a successful plunge of the dollar, this country's going to look like Venezuela in six months.
[00:06:56.852 --> 00:06:58.853]  It won't take five years like Venezuela to get to that point.
[00:06:59.174 --> 00:07:11.562]  So I would suggest everyone go to mfullwestore.com and get a three month, a six month, a year supply and hide that food and know it's got the best packaging and the highest quality and it lasts 25 years because you need firearms.
[00:07:11.582 --> 00:07:12.462]  You need to know how to use them.
[00:07:12.502 --> 00:07:14.063]  You need water filtration, air filtration.
[00:07:14.324 --> 00:07:15.144]  You need storable food.
[00:07:15.885 --> 00:07:17.946]  We have everything with the firearms at mfullwestore.com.
[00:07:18.763 --> 00:07:20.025]  We have other survival accessories.
[00:07:20.265 --> 00:07:22.048]  All I'm just saying is get ready and get serious.
[00:07:22.375 --> 00:07:26.997]  And talk to your neighborhood, talk to your neighbors, talk to your family, and have an emergency plan.
[00:07:27.517 --> 00:07:30.759]  None of us have a perfect emergency plan, but we've got to start looking at that.
[00:07:31.139 --> 00:07:37.142]  I've been so focused on fighting the Globalist offensively, I've never even gotten ready for my own personal self on my own device.
[00:07:37.522 --> 00:07:49.848]  Things have gotten so serious, I bought a little piece of land, about 30 miles, 35 miles outside Austin, and I'm putting in the well, and I'm putting in the trailer, and I'm getting it ready in case things totally collapse, ladies and gentlemen, so I can
[00:07:50.868 --> 00:07:52.629]  Basically evacuate if the power goes off.
[00:07:52.709 --> 00:07:59.371]  I mean, the New World Order, just like Larry Grafwold exposed, really plans to implode everything and end this country forever.
[00:07:59.931 --> 00:08:00.151]  Okay?
[00:08:00.171 --> 00:08:14.036]  They really plan to collapse things, turn off the food, turn off the water, and make you come and sue for peace, and get on your knees and turn in your guns, and take your implantable chip that Gates is proposing, and take your forced inoculation, and carry your little Obama phone 2.0 that tracks what you do.
[00:08:14.376 --> 00:08:15.036]  I mean, it's here.
[00:08:15.116 --> 00:08:16.056]  This is the dystopia.
[00:08:16.257 --> 00:08:17.797]  They've been preparing for it for decades.
[00:08:17.877 --> 00:08:19.578]  It's now collapsing into us.
[00:08:19.658 --> 00:08:20.138]  This is it.
[00:08:21.144 --> 00:08:28.850]  So get ready and get prepared and just remember that people are already having to sell their children to slavery all over the world just to be able to feed their other children.
[00:08:28.990 --> 00:08:31.192]  Okay, you have to decide what child to sell them to sex slavery.
[00:08:31.212 --> 00:08:31.793]  That's in the news.
[00:08:33.074 --> 00:08:35.936]  It will become like that overnight here as well and it's so sad.
[00:08:36.016 --> 00:08:36.857]  It's so disgusting.
[00:08:37.307 --> 00:08:40.308]  And again, I'm just begging people to realize we're not in Kansas anymore.
[00:08:40.548 --> 00:08:41.929]  We're not in a normal situation anymore.
[00:08:42.169 --> 00:08:45.370]  We're fighting existentially for our very existence.
[00:08:45.430 --> 00:08:47.351]  That's why they're causing race war to divide everybody.
[00:08:47.371 --> 00:08:48.911]  That's why they're causing economic war.
[00:08:49.192 --> 00:08:52.693]  It's why they're causing this total lockdown because we are under new old order attack.
[00:08:53.373 --> 00:08:59.435]  And if American people aren't strong enough to admit that to themselves, Trump won't be strong enough to tell us the truth and really do what needs to be done.
[00:09:00.176 --> 00:09:00.756]  But this is it.
[00:09:01.296 --> 00:09:02.236]  Pray to God for guidance.
[00:09:02.837 --> 00:09:03.557]  God bless and good luck.
