[00:00:00.289 --> 00:00:05.432]  From the front lines of the information war, it's Alex Jones.
[00:08:06.751 --> 00:08:16.914]  But then, earlier today, his mother came out and said, oh, he was just a lovely, nice, polite boy, and he was only radicalized because he was sent to that prison.
[00:08:17.434 --> 00:08:22.056]  Well, no, he was already trying to radicalize members of his own family before he even went to prison.
[00:08:23.072 --> 00:08:32.256]  Article continues, he used social media and WhatsApp to share an Al-Qaeda magazine and exclaimed the Islamic State is here to stay, in his own words.
[00:08:33.516 --> 00:08:40.719]  The WhatsApp group, entitled La Familia, included images of Annan's younger siblings in poses reminiscent of IS supporters.
[00:08:42.500 --> 00:08:45.381]  And then I wrote an article about this which gets into more detail.
[00:08:45.421 --> 00:08:48.742]  Stretham terrorists released early despite pledging allegiance to ISIS.
[00:08:49.989 --> 00:08:51.190]  That's what we do around here.
[00:08:51.650 --> 00:08:59.635]  Meanwhile, you know, women with their babies in their arms are being arrested in their own kitchens for posting anti-transgender stuff on Facebook.
[00:09:00.655 --> 00:09:11.962]  Article reads, 20-year-old Islamic terrorist Sadash Aman, who was shot dead after trying to stab people in Stratham, South London, was released halfway through his prison sentence despite pledging allegiance to ISIS.
[00:09:12.614 --> 00:09:20.500]  And here's a list, and this is by no means an exhaustive list, of terror offences that he was initially jailed for in November 2018.
[00:09:21.961 --> 00:09:27.605]  Pledging allegiance to ISIS, plotting to carry out a terror attack using a knife, which is what he went on to do.
[00:09:28.305 --> 00:09:32.128]  Sharing terror manuals, including one on how to make a homemade bomb.
[00:09:33.149 --> 00:09:39.814]  Encouraging his girlfriend to behead her kuffar, which means in Islamic parlance, non-believer parents.
[00:09:40.720 --> 00:10:01.837]  He was asking his own girlfriend to behead her parents because they're not Muslims, stockpiling alms, inciting violence against Yazidis, because they're the Christians, and asserting the Quran permitted them to be raped, and encouraging an attack against the pro-right speaker in, pro-gay right speaker in Hyde Park, as I just mentioned.
[00:10:02.674 --> 00:10:11.597]  So for all that, and that's by no means an exhaustive list, he was given three years and four months in prison and was let out halfway through.
[00:10:13.038 --> 00:10:23.222]  Now what happened back in November 2019, you probably remember this one, Uzman Khan, the perpetrator of the November 29 London Bridge stabbings.
[00:10:23.282 --> 00:10:25.362]  Of course several people died during that attack.
[00:10:26.123 --> 00:10:29.564]  We had the ridiculous Benny Hill style situation of
[00:10:30.467 --> 00:10:38.193]  Brave, to be fair to them, courageous citizens chasing this guy around with narwhal tusks and fire extinguishers trying to take him on.
[00:10:38.774 --> 00:10:41.776]  But unfortunately, several people did die during that attack.
[00:10:42.277 --> 00:10:44.418]  But again, it had the very same M.O.
[00:10:45.539 --> 00:10:49.723]  This guy, Usman Khan, the previous Islamic terrorist on the loose in London,
[00:10:50.712 --> 00:10:53.073]  And of course, as you probably remember, in a horrible twist of irony,
[00:11:19.557 --> 00:11:26.300]  One of Khan's victims, Jack Merritt, was a coordinator for that very reintegration program.
[00:11:26.340 --> 00:11:27.781]  It was called Learning Together.
[00:11:28.521 --> 00:11:40.366]  And his father reacted to his son's death by asserting that his son would, quote, not wish his death to be used as the pretext for more draconian sentences or for detaining people unnecessarily.
[00:11:41.006 --> 00:11:47.149]  So again, his father was a big leftist, as was his son, and he came out after the death of his son and said,
[00:11:47.941 --> 00:11:54.904]  Don't use the death of my son to basically change the law so that we can keep these terrorists imprisoned longer.
[00:11:55.364 --> 00:12:06.988]  And yet, what happened yesterday, one of these terrorists who should have been imprisoned for longer was let out early and once again went on to attempt to commit jihad.
[00:12:07.992 --> 00:12:10.673]  The same MO over and over again.
[00:12:10.993 --> 00:12:19.215]  Why are we letting terrorists who pledge allegiance to ISIS plan jihadist terror attacks out of jail after 18 months?
[00:12:19.675 --> 00:12:21.995]  It wasn't even 18 months in the latest case.
[00:12:22.455 --> 00:12:24.636]  A man, it was about 14 months.
[00:12:25.636 --> 00:12:28.417]  He was telling his girlfriend to behead her own parents.
[00:12:28.917 --> 00:12:30.877]  He was building stockpiles of weapons.
[00:12:31.297 --> 00:12:34.538]  He was calling for violent attacks on gay rights people.
[00:12:35.359 --> 00:12:36.820]  You think the left would care about that?
[00:12:36.940 --> 00:12:37.120]  No.
[00:12:37.240 --> 00:12:38.841]  They want these people released early.
[00:12:40.822 --> 00:12:42.704]  He was telling people how to make homemade bombs.
[00:12:42.744 --> 00:12:45.445]  He was trying to radicalise members of his own family.
[00:12:45.745 --> 00:12:48.827]  He was let out early, after just 13 months.
[00:12:50.669 --> 00:12:51.809]  The article continues.
[00:12:51.869 --> 00:13:03.677]  Some reacted to yesterday's attack by pointing out that a man had left jail even more radicalised than when he went in, proving that prisons with large Muslim populations are recruiting grounds for terrorists.
[00:13:03.717 --> 00:13:04.217]  And this is the
[00:13:05.396 --> 00:13:06.337]  This is the key point.
[00:13:07.397 --> 00:13:21.067]  Just like Usman Khan, the London Bridge attacker, a man was being held at HMP Belmarsh Prison, a maximum security facility described by one former inmate as being, quote, like a jihadi training camp.
[00:13:22.088 --> 00:13:24.489]  Usman Khan was also in prison at Belmarsh.
[00:13:25.250 --> 00:13:30.574]  These terrorists, they're already terrorists, they go to Belmarsh, they come out even more radicalised.
[00:13:30.654 --> 00:13:32.135]  Why are they being released?
[00:13:33.163 --> 00:13:35.505]  They should be locked up for life!
[00:13:36.665 --> 00:13:46.512]  According to the former inmate, Belmarsh is occupied by a group of Islamists called the Brothers, otherwise known as the AKI, who quote, almost have the run of the prison.
[00:13:47.192 --> 00:13:52.796]  So they're sending terrorists into prisons that are run by other terrorists and then letting them out again.
[00:13:55.377 --> 00:14:02.402]  The inmate said the problem is that Belmarsh is also a holding prison and so young people who are brainwashed and indoctrinated then go out into the wider prison system
[00:14:03.083 --> 00:14:03.463]  I don't know.
[00:14:23.914 --> 00:14:30.898]  It's a rollout factory for these jihadists that are slaughtering people on the streets of London on now what seems like a monthly basis.
[00:14:31.399 --> 00:14:39.303]  The trend is London-wide and yet mass immigration from Muslim countries into the United Kingdom continues unabated.
[00:14:39.343 --> 00:14:39.964]  Don't go away.
[00:14:39.984 --> 00:14:49.990]  So of course the usual suspects on Twitter yesterday as this attack was unfolding in the aftermath, immediate aftermath, of this Islamic terror attack in London were on Twitter
[00:14:50.848 --> 00:14:59.112]  Expressing the real concern, which was not the fact that we just had the second Islamic terror attack, stabbing attack on the streets of London within the space of two months.
[00:15:00.833 --> 00:15:02.194]  The, uh, what was it now?
[00:15:02.314 --> 00:15:04.575]  The sixth or seventh in the past few years.
[00:15:04.635 --> 00:15:07.196]  Of course, we had the Manchester Arena bombing.
[00:15:07.216 --> 00:15:09.157]  We had the attack on Westminster Bridge.
[00:15:09.618 --> 00:15:19.923]  We had the other attack on London Bridge, where the terrorists mowed down a bunch of people, then got out and started cutting the throats of people in nearby bars and restaurants.
[00:15:20.143 --> 00:15:20.243]  No.
[00:15:21.198 --> 00:15:23.880]  The main concern is not why this keeps happening.
[00:15:23.920 --> 00:15:29.966]  The main concern is people having their feelings hurt on the internet in the immediate aftermath.
[00:15:30.526 --> 00:15:36.812]  Calls to stop the Islamophobia, that was the main concern with many of the blue checkmarks on Twitter, as it usually is.
[00:15:37.212 --> 00:15:43.417]  Of course, if a white supremacist far-right terrorist does anything similar, then of course all white people are immediately to blame.
[00:15:44.098 --> 00:15:46.200]  But if we look at the circumstances again to recap,
[00:15:47.020 --> 00:15:50.701]  The exact same situation happened with Usman Khan, the London Bridge terrorist.
[00:15:51.021 --> 00:15:57.842]  Released early, halfway through what was already a minimal sentence for terror offences.
[00:15:58.442 --> 00:16:00.183]  Same with this guy, Sudesh Aman.
[00:16:00.923 --> 00:16:09.945]  In London yesterday, pledged allegiance to ISIS, planned to carry out a terror attack, was stockpiling arms, was encouraging attacks against pro-gay rights people.
[00:16:10.025 --> 00:16:11.525]  Leftists don't seem to care about that.
[00:16:12.105 --> 00:16:15.966]  Encouraged his girlfriend to behead her parents because they weren't Muslims.
[00:16:16.880 --> 00:16:19.602]  We're sharing materials on how to make homemade bombs.
[00:16:20.302 --> 00:16:26.486]  He was released halfway through his sentence after 13 months in prison.
[00:16:26.966 --> 00:16:33.330]  People get more than 13 months in prison for far lesser offences, many of them related to hate speech, by the way.
[00:16:34.451 --> 00:16:42.036]  And we focus in on Belmarsh Prison because it's the same prison that Usman Khan was sent to and released from early.
[00:16:42.941 --> 00:16:47.425]  Former inmates talking about this network of Islamists who basically had the run of the prison.
[00:16:47.946 --> 00:16:58.796]  They radicalized people who weren't radicals going in and they also re-radicalized ones who were already planning terrorist attacks, as in the case of this individual from yesterday's attack.
[00:17:00.037 --> 00:17:01.078]  Article continues.
[00:17:01.118 --> 00:17:08.065]  This is Stratham terrorists released early despite pledging allegiance to ISIS up on summit.news.
[00:17:08.869 --> 00:17:14.911]  Over the past five years, the Muslim percentage of the prison population, this is Belmarsh, has doubled to 30%.
[00:17:17.671 --> 00:17:22.392]  Now when we talk about these, quote, hate facts, we tread on very sensitive ground.
[00:17:22.452 --> 00:17:28.514]  So this is the London Evening Standard reporting, quote, this trend is London-wide.
[00:17:30.114 --> 00:17:36.996]  HMP Isis, yes it's really called Isis, that's a prison in Thames Mead and Felham Young Offenders Institute,
[00:17:38.135 --> 00:17:49.582]  Both in London, Muslims now comprise 42 and 34 percent of prisoners respectively, despite Muslims amounting to just 12 percent of London's population.
[00:17:50.383 --> 00:18:00.429]  So in these prisons across London, many of which are breeding grounds for terrorists, Muslims are over-represented in the prison population by double or three times.
[00:18:01.049 --> 00:18:03.791]  I think that's a stat that we need to focus on, isn't it?
[00:18:04.577 --> 00:18:17.007]  Meanwhile, mass immigration from Muslim countries into the UK will continue in substantial numbers, with the Muslim population, according to demographic projections, set to triple within 30 years.
[00:18:17.127 --> 00:18:18.668]  So, good luck with that.
[00:18:19.589 --> 00:18:21.431]  And we have a similar situation in Sweden.
[00:18:22.291 --> 00:18:23.392]  This is out of Breitbart.
[00:18:23.973 --> 00:18:29.337]  Islamic terrorists who plotted Danish newspaper massacre released in Sweden.
[00:18:30.231 --> 00:18:41.560]  Radical Islamic extremists who plotted to massacre the staff of Danish newspaper Jylland Posten in 2010 has been released by Swedish authorities despite plotting more attacks while in prison!
[00:18:43.121 --> 00:18:49.806]  So it's as if the Charlie Hebdo jihadists had survived, they put them in prison and we're now releasing them in France.
[00:18:49.906 --> 00:18:54.590]  This is the level of insanity that we're subjected to in Europe at the moment.
[00:18:55.293 --> 00:19:07.081]  The man who's not been identified by name is said to be in his 40s and was one of three Swedish citizens arrested as co-conspirators in the 2010 plot who were initially imprisoned in Denmark but later moved to Sweden.
[00:19:07.902 --> 00:19:18.009]  Of course, Denmark closed its borders with Sweden partly because of rampant crime from no-go areas populated mainly by Islamist gangs.
[00:19:19.049 --> 00:19:21.091]  The article continues, during his time in prison,
[00:19:22.071 --> 00:19:30.337]  The Muslim radical is said to have plotted even more attacks with instructions on how to make a bomb and a map of Copenhagen's public transportation system being found in his cell.
[00:19:31.638 --> 00:19:39.645]  He's said to have behaved poorly after being transferred to a Swedish prison and told prison officials he was ready to, quote, kill and murder during his stay.
[00:19:40.065 --> 00:19:42.767]  Sounds like the perfect candidate to be released, doesn't he?
[00:19:42.787 --> 00:19:48.031]  According to the Swedish prison probation service, the man later presented a much calmer temperament.
[00:19:48.743 --> 00:19:51.987]  And no longer needed to be kept in a secure part of the prison in which he was housed.
[00:19:52.989 --> 00:20:00.118]  Last year, after completing his sentence, the terror plotter was released a year old in a Swedish university in the spring of 2019 and changed his name.
[00:20:00.939 --> 00:20:04.183]  Presumably disappeared into the general public, which is what a lot of them do.
[00:20:06.397 --> 00:20:08.138]  So he's been released.
[00:20:08.198 --> 00:20:19.626]  The guy yesterday who stabbed three people in Streatham was released early, despite literally telling his girlfriend to behead her parents and plotting terror attacks against gay people and others, pledging allegiance to ISIS.
[00:20:20.346 --> 00:20:23.609]  Osman Khan, the London Bridge terrorist, was also released early.
[00:20:24.829 --> 00:20:25.830]  What's the solution?
[00:20:26.771 --> 00:20:30.313]  Don't import huge numbers of people from Muslim countries.
[00:20:30.373 --> 00:20:31.474]  What's the other solution?
[00:20:32.054 --> 00:20:34.376]  If people are plotting terrorist attacks,
[00:20:35.134 --> 00:20:47.019]  In the case of Usman Khan, literally plotting to bomb the London Stock Exchange, why on earth are they getting out after 18 months, after 13 months in the case of this Aman guy from yesterday?
[00:20:47.039 --> 00:20:50.601]  I mean, Nigel Farage has made this point over and over again.
[00:20:51.061 --> 00:20:52.582]  Jihadism is a disease.
[00:20:52.622 --> 00:20:58.804]  You're not going to stamp it out by sending these people into prisons, which then re-radicalise them, make them even more radical.
[00:21:00.085 --> 00:21:02.206]  Don't allow them into the country in the first place.
[00:21:03.027 --> 00:21:06.571]  And if they're already in the country, keep them locked up.
[00:21:06.831 --> 00:21:09.794]  People are dying on an almost monthly basis now in London.
[00:21:10.695 --> 00:21:17.823]  On top of that, you've got the massive problem with knife crime as it is, which again has been exacerbated by mass migration.
[00:21:18.724 --> 00:21:20.926]  Again, the London Evening Standard did a report on that.
[00:21:21.827 --> 00:21:23.529]  They talked to officials from the government.
[00:21:24.133 --> 00:21:37.323]  Who said yes, the crime gangs in London are having to one-up their violence because they're having to compete with more violent gangs who are coming in predominantly from the Middle East, from African countries like the Congo.
[00:21:37.984 --> 00:21:41.927]  So they're having to up their level of violence simply to compete in these turf wars.
[00:21:42.407 --> 00:21:44.069]  I've done numerous videos about this.
[00:21:45.310 --> 00:21:53.156]  Somali migrant parents are now literally sending their children back to Somalia because they say it's safer than London.
[00:21:54.164 --> 00:22:10.649]  We've had weak police measures to the point where the previous Prime Minister, Theresa May, told the police that they couldn't chase violent criminals who were getting away on motorbikes if the criminals removed their helmets, because that might be a threat to their safety.
[00:22:11.049 --> 00:22:18.571]  And we wonder why the UK is experiencing a drastic rise in knife crime, in violent crime across the board.
[00:22:19.311 --> 00:22:22.672]  So it's gone to the level of absolute absurdity.
[00:22:23.729 --> 00:22:27.790]  And the frustration is always the fact that nobody wants to talk about any solutions.
[00:22:27.870 --> 00:22:30.210]  Nobody wants to ask why this is happening again and again.
[00:22:30.510 --> 00:22:42.593]  The only thing people want to talk about on Twitter, the blue check marks, the virtue signalers, is how we need to react to this by not being mean to people on the Internet and then maybe it will stop.
[00:22:42.873 --> 00:22:43.793]  No, it's not going to stop.
[00:22:43.853 --> 00:22:44.633]  That hasn't worked.
[00:22:44.854 --> 00:22:46.194]  We need to do something different.
[00:22:46.214 --> 00:22:51.455]  I'm going to come back in the next segment and talk about the latest with the coronavirus.
[00:22:52.498 --> 00:22:56.102]  China is now accusing the US of causing panic and spreading fear.
[00:22:56.563 --> 00:23:04.211]  Of course, we've had many experts who are saying that China's not releasing the full numbers, not telling the true story about what's happening with the coronavirus spread.
[00:23:05.177 --> 00:23:10.000]  And now publications who question the Communist Party of China are being banned.
[00:23:10.780 --> 00:23:17.603]  Alex Jones here reporting from the road on the incredibly dangerous developments concerning the coronavirus.
[00:23:17.623 --> 00:23:21.646]  It has now infected hundreds and hundreds of thousands of people.
[00:23:22.106 --> 00:23:26.408]  It has now spread across the entire planet and of course we've now discovered
[00:23:26.408 --> 00:23:26.488]  It's
[00:23:48.909 --> 00:23:58.896]  40% off despite the fact it's selling out in three different sizes at InfoWarsStore.com and that's what I'm using, what my family's using as a frontline defense.
[00:23:59.037 --> 00:24:10.045]  Nothing's perfect except, you know, prayer and God's intervention and we hope that this thing isn't as bad as it looks but definitely we know why governments are panicking right now because this is certainly a bizarre virus.
[00:24:10.905 --> 00:24:12.886]  The demand for food has not let up.
[00:24:13.366 --> 00:24:15.427]  We are selling record amounts of it.
[00:24:15.767 --> 00:24:20.108]  Everybody else is basically already sold out, or they have a giant wait list.
[00:24:20.488 --> 00:24:26.390]  Our suppliers have it in-house, but it's taken 7 to 10 days to deliver because, again, they have to package it.
[00:24:26.410 --> 00:24:28.071]  They're running 24 hours a day.
[00:24:28.471 --> 00:24:32.833]  But in a few days, they're telling me it may go to a longer wait if you haven't gotten your order in.
[00:24:33.273 --> 00:24:34.353]  So I wouldn't procrastinate.
[00:24:34.393 --> 00:24:36.414]  We wanted this virus to be petering out.
[00:24:36.454 --> 00:24:37.474]  We wanted it to just be hype.
[00:24:37.954 --> 00:24:39.635]  Looks like it is really, really bad.
[00:24:39.815 --> 00:24:40.736]  And is man-made.
[00:24:41.056 --> 00:24:43.638]  And so that's why we're seeing the huge freakout.
[00:24:43.658 --> 00:24:46.300]  So get your storable food at InfoWarsStore.com.
[00:24:46.680 --> 00:24:48.041]  That helps fund our operation.
[00:24:48.061 --> 00:24:48.602]  It's insurance.
[00:24:48.622 --> 00:24:50.523]  You can eat a total 360 win.
[00:24:50.883 --> 00:24:55.307]  Again, get your food and actually get it delivered at InfoWarsStore.com.
[00:24:55.527 --> 00:24:56.167]  Get your order in.
[00:24:56.247 --> 00:24:58.209]  It's locked in, guaranteed 7 to 10 days.
[00:24:58.229 --> 00:25:00.711]  InfoWarsStore.com.
[00:25:00.951 --> 00:25:02.532]  And regardless, it funds the operation.
[00:25:02.752 --> 00:25:04.653]  We also have the immune gargle at 40% off.
[00:25:04.934 --> 00:25:07.616]  We are going to sell out of that, but I'm just keeping it at that sales price.
[00:25:07.936 --> 00:25:09.097]  InfoWarsStore.com.
[00:25:10.126 --> 00:25:14.367]  I heard Alex there getting into the latest on the coronavirus, latest stats.
[00:25:14.428 --> 00:25:19.089]  Again, these numbers likely to be substantially below the true scale of this.
[00:25:19.429 --> 00:25:25.051]  According to many experts, 17,000 confirmed cases, 361 people dead.
[00:25:25.731 --> 00:25:30.233]  BBC headline, coronavirus, China accuses US of causing panic and spreading fear.
[00:25:30.593 --> 00:25:35.975]  The Chinese government has accused the US of causing panic in its response to the deadly coronavirus outbreak, even though
[00:25:36.604 --> 00:25:58.371]  The US response was by no means as severe, as immediate, as countries like Mongolia, which closed its border with China, as countries like Russia, which closed its border with China, and countries like Israel, which shut down all flights from China way before the United States did anything, and in fact hasn't done that much in comparison to many other nations.
[00:25:59.471 --> 00:26:02.112]  We have an article out of Nature, a study,
[00:26:03.183 --> 00:26:08.549]  Says a pneumonia outbreak associated with the new coronavirus has probable bat origin.
[00:26:09.210 --> 00:26:15.196]  Oh, but the media told me that linking coronavirus to bats was a racist conspiracy theory.
[00:26:15.777 --> 00:26:20.022]  Literally, over the past 10 days, there have probably been about two dozen articles
[00:26:20.712 --> 00:26:38.089]  Blaming people, including yours truly, for spreading the racist conspiracy theory that coronavirus was linked to bats, despite the fact that the Ebola outbreak in Africa was linked to bats, where they eat bats, despite the fact that the SARS outbreak in Asia was linked to bats.
[00:26:38.189 --> 00:26:44.435]  So now actual peer-reviewed scientific studies are coming out in China being published by nature.com
[00:26:45.169 --> 00:26:48.391]  Saying that it does have a bat origin.
[00:26:48.652 --> 00:26:54.236]  That hasn't been confirmed completely yet, but that's not the first scientific study to make that connection.
[00:26:54.496 --> 00:27:03.923]  So no, it's not a racist conspiracy theory to talk about bats, and indeed the consumption of bats in many areas of China possibly being linked to coronavirus.
[00:27:03.943 --> 00:27:05.084]  And not just bats, of course.
[00:27:05.944 --> 00:27:11.048]  In the Wuhan animal market, they sold all kinds of grisly things, including snakes.
[00:27:12.088 --> 00:27:13.989]  I went to China literally about four times.
[00:27:14.209 --> 00:27:17.291]  They serve snake in the best restaurants in China.
[00:27:17.671 --> 00:27:24.255]  It's not just in these backstreet illegal meat markets, where of course they use sewer waste as cooking oil.
[00:27:24.355 --> 00:27:26.416]  I'm sure that's very healthy and nutritious.
[00:27:27.116 --> 00:27:28.917]  Not going to cause any infections whatsoever.
[00:27:29.658 --> 00:27:36.421]  But they actually sell bats, snakes, sorry, and all this other stuff, even in some of the best restaurants in Shanghai and Beijing.
[00:27:36.822 --> 00:27:37.522]  I've been there.
[00:27:38.641 --> 00:27:39.942]  I'm ashamed to say I've eaten it.
