[00:00:00.130 --> 00:00:00.394]  Shut up.
[00:06:55.887 --> 00:06:59.088]  So I know that Ali Alexander is a smart guy.
[00:06:59.088 --> 00:07:01.169]  Mike Cernovich is a great guy.
[00:07:01.169 --> 00:07:09.453]  A lot of people are out there, even Carpe D'Antem, who usually never criticizes Trump, thought that Trump got his ass kicked.
[00:07:11.055 --> 00:07:18.380]  And I guess if you have that view, maybe it's, you know, you get to kind of be the Monday morning quarterback and people are entitled to their views.
[00:07:18.380 --> 00:07:21.021]  I just didn't see the same debate.
[00:07:21.021 --> 00:07:27.446]  I saw Chris Wallace controlling things with the questions he asked and Trump not going
[00:07:28.424 --> 00:07:40.507]  Where he could have sometimes by just basically ignoring the fake loaded questions, but the way Wallace interrupted him five times more, that's the number, they've done the math, than Biden, was just incredible.
[00:07:40.507 --> 00:07:49.149]  On top of that, I don't just say that Joe Biden clearly had blood transfusions, that's what these rich people do.
[00:07:49.149 --> 00:07:52.790]  They even have big global companies now where parents sign agreements and the kids sign agreements.
[00:07:53.738 --> 00:08:00.612]  And the children get paid $500 or more for their blood as young as seven.
[00:08:02.500 --> 00:08:05.521]  I mean, Peter Thiel's come out with a company that does this.
[00:08:05.521 --> 00:08:08.702]  And the Queen Mother lived past a hundred on these things.
[00:08:08.702 --> 00:08:16.125]  So when you see him suddenly look like he gained about 10 pounds, he disappeared last week and now he's all plump and he's all rosy.
[00:08:16.125 --> 00:08:20.247]  If you look at his hands, I looked at his hands from a week ago, more plump.
[00:08:20.247 --> 00:08:28.330]  That's how you know they were putting in him probably two or three pints of blood a day for a week.
[00:08:28.330 --> 00:08:31.111]  And when you put in young people's blood, that's what happens.
[00:08:33.117 --> 00:08:36.198]  The super-rich are injecting blood from teenagers to gain immortality.
[00:08:36.198 --> 00:08:48.604]  Ladies and gentlemen, I was approached when I was out at a kind of richy-rich type party a few years ago in the hills of Austin, kind of over in the same area where Joe Rogan lives today.
[00:08:48.604 --> 00:08:53.307]  And there was a medical doctor there and he's like, yeah, you ought to come by.
[00:08:55.336 --> 00:08:57.318]  Blood transfusions, it's all been screened, it's all clean.
[00:08:57.318 --> 00:08:58.719]  It'll make you tired of the kite.
[00:08:58.719 --> 00:09:01.000]  It'll make you feel like you're 15 years old again.
[00:09:01.000 --> 00:09:03.202]  And he had like a 55-year-old wife.
[00:09:03.202 --> 00:09:03.902]  She looked like she was about 35.
[00:09:03.902 --> 00:09:06.665]  He was like 60.
[00:09:06.665 --> 00:09:07.745]  He looked like he was about 45.
[00:09:07.745 --> 00:09:09.647]  They were just glowing.
[00:09:09.647 --> 00:09:12.389]  It was blood, folks.
[00:09:12.389 --> 00:09:16.492]  So, I know people that are almost 80 years old that get blood who are rich every week.
[00:09:16.492 --> 00:09:17.553]  And they're nice people.
[00:09:17.553 --> 00:09:19.814]  But they get young people's blood here in Austin.
[00:09:19.814 --> 00:09:21.916]  And it definitely is rejuvenating.
[00:09:24.215 --> 00:09:27.157]  So I'm telling you, he was not on a bunch of methamphetamine.
[00:09:27.157 --> 00:09:33.862]  He probably took some Adderall or something, but Biden was clearly on blood.
[00:09:33.862 --> 00:09:37.505]  First time I ever heard about this was Queen Mother stuff like 20 something years ago.
[00:09:37.505 --> 00:09:42.669]  And Al Gore was an AP article, has a little refrigerator that goes around with him on private jets.
[00:09:42.669 --> 00:09:48.713]  And he gets daily blood transfusions sometimes.
[00:09:48.713 --> 00:09:50.855]  So guaranteed folks,
[00:09:52.771 --> 00:09:59.173]  On some type of designer amphetamine and on blood, because he was a different person entirely.
[00:09:59.173 --> 00:10:02.234]  A lot of folks think, oh, he must have had a wire in his ear.
[00:10:02.234 --> 00:10:06.615]  No, he was responding too quickly.
[00:10:06.615 --> 00:10:09.916]  He did a lot of debate preparation, but the blood.
[00:10:11.121 --> 00:10:11.521]  The blood.
[00:10:34.517 --> 00:10:34.917]  I think so.
[00:10:58.277 --> 00:11:04.882]  Months before, refrigerate, and so he would then have that supercharged, you know, very, very high blood cell saturation.
[00:11:04.882 --> 00:11:08.385]  The blood cells were trained from altitude to be able to take on a lot of oxygen.
[00:11:08.385 --> 00:11:17.972]  So he would be going up the French, you know, Alps with the back tire jumping back and forth with so much power.
[00:11:17.972 --> 00:11:22.715]  When everybody else was slowing down, he was going faster uphill because he had so much more blood pumping through him.
[00:11:22.715 --> 00:11:26.138]  So that's what Trump should look into, guaranteed.
[00:11:26.138 --> 00:11:27.319]  We need to see
[00:11:28.612 --> 00:11:31.073]  Joe Biden's veins.
[00:11:31.073 --> 00:11:32.173]  Okay, I'm done.
[00:11:32.173 --> 00:11:51.381]  Now, it's the avant-garde thing, and we're going to have some guests on today that think Trump did a terrible job of the debate, and he could have done a better job, but when you're being ganged up on, and that's happening, if you think about all the good things that happened, all the great things he said, and then suddenly Chris Wallace started erupting,
[00:11:53.010 --> 00:11:56.153]  Then you talk about the win that happened instead of saying it was a loss.
[00:11:56.153 --> 00:11:58.775]  Now, a lot of Republicans thought he lost.
[00:11:58.775 --> 00:12:02.938]  You know what Democrats and you know what Hispanics think?
[00:12:02.938 --> 00:12:06.161]  CNN had a poll with a focus group.
[00:12:06.161 --> 00:12:14.007]  Everyone but one person, and we'll show you that video coming up next segment, thought that Trump won.
[00:12:14.007 --> 00:12:15.208]  Telemundo had a poll.
[00:12:15.208 --> 00:12:19.791]  The vast majority of Hispanics watching thought that Trump won.
[00:12:21.192 --> 00:12:22.272]  That's the reality.
[00:12:22.272 --> 00:12:24.693]  People see the ganging up.
[00:12:24.693 --> 00:12:26.034]  Now was it annoying?
[00:12:26.034 --> 00:12:27.615]  Did parts of it get very hard to listen to?
[00:12:27.615 --> 00:12:29.035]  Absolutely.
[00:12:29.035 --> 00:12:31.036]  Because Trump was being interrupted constantly.
[00:12:31.036 --> 00:12:32.997]  And I've got a bunch of these clips.
[00:12:32.997 --> 00:12:34.597]  But he got into election fraud.
[00:12:34.597 --> 00:12:38.899]  He got in to Hunter Biden on the Russian payroll.
[00:12:38.899 --> 00:12:41.240]  He got in to Antifa.
[00:12:41.240 --> 00:12:42.060]  He got in.
[00:12:42.060 --> 00:12:45.062]  I wish he would have gotten into Jeffrey Epstein and the Democrats.
[00:12:45.062 --> 00:12:48.423]  Now the party itself uses pedophilia to blackmail people.
[00:12:49.602 --> 00:12:51.082]  He'd have gotten an A-plus if he did that.
[00:12:51.082 --> 00:12:52.563]  But here's the deal.
[00:12:52.563 --> 00:12:55.283]  Trump got 66% on Telemundo.
[00:12:55.283 --> 00:12:55.863]  The 34%.
[00:12:55.863 --> 00:12:58.464]  In a major poll.
[00:12:58.464 --> 00:12:59.764]  And other polls show the same number.
[00:12:59.764 --> 00:13:03.345]  So, whatever the Hispanics were watching, that's what I was watching too.
[00:13:03.345 --> 00:13:06.866]  I mean, I say Trump handily defeated two men.
[00:13:06.866 --> 00:13:10.707]  And usually with a gladiator, it's one man against another man, right?
[00:13:10.707 --> 00:13:13.167]  Well, this was two against one.
[00:13:13.167 --> 00:13:15.448]  And one of the guys against him was the judge.
[00:13:16.994 --> 00:13:20.959]  And was in control of the situation, was a referee.
[00:13:20.959 --> 00:13:21.600]  The arbiters.
[00:13:21.600 --> 00:13:22.761]  So that's not a good thing.
[00:13:22.761 --> 00:13:27.006]  We've got a lot of big guests today coming up.
[00:13:27.006 --> 00:13:30.390]  And we've got Jim Hoff who thinks Trump did a great job joining us.
[00:13:30.390 --> 00:13:32.493]  We've got Dan Lyman on huge news in Europe.
[00:13:34.298 --> 00:13:38.760]  With now, European countries are now arresting the NGO heads that Soros funds.
[00:13:38.760 --> 00:13:39.980]  So that's how you cut the head off the snake.
[00:13:39.980 --> 00:13:41.701]  That's really good news.
[00:13:41.701 --> 00:13:45.982]  And we're going to get Ali Alexander, he can come on, Robert Barnes, a bunch of folks we're getting on the show.
[00:13:45.982 --> 00:13:49.063]  Hell, let's call Paul Watson and get him to pop on for just one segment.
[00:13:49.063 --> 00:13:50.704]  Let's get Carpe Donk to come on for one segment.
[00:13:50.704 --> 00:13:53.865]  Let's get them all on for one segment and get their take.
[00:13:53.865 --> 00:13:55.605]  But you know who else I want to get on?
[00:13:55.605 --> 00:13:57.026]  I want to get you on.
[00:13:57.026 --> 00:14:00.047]  We're opening the phones up at the start of the next segment.
[00:14:01.715 --> 00:14:05.858]  So nobody's in there, the phone system isn't fired up yet, so don't wait a few minutes until we call.
[00:14:05.858 --> 00:14:10.061]  But when we go to break, we're going to start opening the phones up, specifically on what you thought.
[00:14:10.061 --> 00:14:10.862]  We don't screen your calls.
[00:14:10.862 --> 00:14:12.243]  Just make sure you have a good phone.
[00:14:12.243 --> 00:14:14.144]  You want to tell us where you're calling from, that's fine.
[00:14:14.144 --> 00:14:16.786]  You want to tell us an affiliate, you ought to ask that.
[00:14:16.786 --> 00:14:19.588]  We never even plug our affiliates anymore, we should, we love them.
[00:14:19.588 --> 00:14:22.331]  And then you're on the air.
[00:14:22.331 --> 00:14:23.331]  You think you did a terrible job?
[00:14:23.331 --> 00:14:23.832]  Call and tell me.
[00:14:23.832 --> 00:14:24.832]  You think you did a great job?
[00:14:24.832 --> 00:14:29.176]  I really respect you, and it's that communal debate and discussion that really brings us to the next level.
[00:14:30.140 --> 00:14:32.882]  And again, I'm not putting anybody down that thought Trump could have done a better job.
[00:14:32.882 --> 00:14:35.465]  It's easy when you're sitting on your sofa.
[00:14:36.903 --> 00:14:48.730]  And you're 30 years old, you're 40 years old, and you're not 74, and you're not under the lights with Chris Wallace interrupting you constantly to point out where the doer of deeds could have done better.
[00:14:48.730 --> 00:14:54.093]  But I just know what it's like to be under pressure up on the stage with someone interrupting you.
[00:14:54.093 --> 00:14:57.474]  Not at that level, but pretty much as high a level as you can get before that.
[00:14:57.474 --> 00:15:03.278]  So I've been right to almost where Trump's at with that level of stress on the stage when people are outnumbering you.
[00:15:03.278 --> 00:15:04.198]  And it's hard.
[00:15:05.939 --> 00:15:11.343]  That's why I have the tactic, while they won't have me on any shows, is I just say what I'm going to say and ignore what they're saying.
[00:15:11.343 --> 00:15:13.104]  And that's a tactic, a good way to win debates.
[00:15:13.104 --> 00:15:14.545]  So that's how I mop the floor with them.
[00:15:14.545 --> 00:15:15.846]  Destroy Piers Morgan.
[00:15:15.846 --> 00:15:17.247]  Destroy Geraldo Rivera.
[00:15:17.247 --> 00:15:20.469]  Destroy them all, because I have the facts.
[00:15:20.469 --> 00:15:23.631]  And I would have gone right at the juggler and said, your whole corrupt system's going down.
[00:15:23.631 --> 00:15:24.591]  America's been reborn.
[00:15:24.591 --> 00:15:25.832]  You'll never stop us.
[00:15:25.832 --> 00:15:28.334]  He'd get 10-point punch.
[00:15:28.334 --> 00:15:31.536]  Just start to play games with these people.
[00:15:31.536 --> 00:15:33.237]  Just grab them and crush them.
[00:15:33.237 --> 00:15:35.619]  Let their eyeballs politically pop out of their rotten skulls.
[00:15:38.021 --> 00:15:41.844]  But, Trump went with the nuance, the polish, presidential.
[00:15:41.844 --> 00:15:43.506]  He looked better than he looked four years ago.
[00:15:43.506 --> 00:15:47.189]  He looked incredibly presidential, sounded great, looked great.
[00:15:47.189 --> 00:15:53.294]  And I think Barnes is right when he says, too polished, too insulated, could have been more hardcore.
[00:15:53.294 --> 00:15:54.735]  That's the real critique.
[00:15:54.735 --> 00:15:56.637]  Did Trump fall on his face?
[00:15:56.637 --> 00:15:58.218]  Hell no!
[00:15:58.218 --> 00:16:05.625]  The Renaissance, the Great Enlightenment, it's all being swept away and being replaced by scientific tyranny.
[00:16:06.909 --> 00:16:19.892]  That's establishing a form of planetary digital law, where the technocrats are above the law, and the public isn't even considered to be as valuable as a cow.
[00:16:19.892 --> 00:16:24.754]  In fact, humans are seen as garbage that's going to be taken out and removed.
[00:16:24.754 --> 00:16:28.134]  That is the post-human exterminist plan.
[00:16:28.134 --> 00:16:30.095]  That is the public ideology of the globalists.
[00:16:31.155 --> 00:16:40.518]  And everything they've built with this high-tech grid is to absorb us and anesthetize our minds as we're slowly killed.
[00:16:40.518 --> 00:16:48.680]  And any future generations that happen to straggle out of their mother's wounds will be a mere shadow of what humans once were.
[00:16:48.680 --> 00:16:55.682]  This is the satanic ruling elite engaged in mass vandalism against God's creation, humanity.
[00:16:55.682 --> 00:16:56.822]  This is the essence of evil.
[00:16:57.421 --> 00:17:04.566]  We've now entered month number eight of the global lockdown, and it's horrible, and it's killing millions of people via starvation.
[00:17:04.566 --> 00:17:08.949]  But the good news is it's caused a planetary awakening as well.
[00:17:08.949 --> 00:17:12.792]  The general public all over the planet hate Bill Gates.
[00:17:12.792 --> 00:17:15.554]  He's the most unpopular person on Earth.
[00:17:15.554 --> 00:17:17.175]  People know he's not a doctor.
[00:17:17.175 --> 00:17:18.596]  People know he's a eugenicist.
[00:17:19.136 --> 00:17:26.443]  The population knows that his vaccines that he pushes have been filled with cancer viruses, polio, steroids, and more.
[00:17:26.443 --> 00:17:28.485]  It's even in the Associated Press.
[00:17:28.485 --> 00:17:43.498]  So now they're beginning to understand that we the people know that there is a corporate global government and that these top tech billionaires sit in meetings and decide to pull the type of race war scams and coronavirus scams that we're witnessing.
[00:17:43.498 --> 00:17:44.339]  So remember that.
[00:17:44.859 --> 00:17:52.626]  And let them know that we know who they are and what they've done, and we hold them responsible for the collapse of civilization.
[00:17:52.626 --> 00:17:55.649]  They are the enemies of humanity.
[00:17:55.649 --> 00:17:59.852]  They want you dead.
[00:17:59.852 --> 00:18:02.495]  You're listening to the Alex Jones Show.
[00:18:19.318 --> 00:18:28.780]  I have more than 20 clips of the debate here, and they're all extremely important.
[00:18:28.780 --> 00:18:31.861]  That's right, if you're listening to this transmission, you are the resistance.
[00:18:31.861 --> 00:18:35.062]  I got 23 clips on this sheet, a bunch of other ones right here.
[00:18:35.062 --> 00:18:36.962]  Incredibly important hour and a half debate.
[00:18:36.962 --> 00:18:39.403]  Went a little long.
[00:18:39.403 --> 00:18:43.503]  But let me right now play you the most important clip of the night, in my view.
[00:18:43.503 --> 00:18:45.884]  And then we'll give the number out, open the phones up, and get your take on that.
[00:18:49.616 --> 00:18:58.382]  Chris Wallace was the final domino to fall, with the fix being in.
[00:18:58.382 --> 00:19:13.233]  From a year and a half ago, we had CIA operatives that they got elected to the House of Representatives, who then got on the House Armed Services Committee, who have been privately proposing the overthrow militarily of the President.
[00:19:14.585 --> 00:19:23.267]  Then about two and a half months ago, they sent letters to General Milley privately asking him if he would be part of such a coup.
[00:19:23.267 --> 00:19:34.311]  Two days after the letter was sent, there was a front page article in the Washington Post saying, we're going to arrest any members of the Joint Chiefs and anyone else, and we're going to have the FBI go after their families.
[00:19:34.311 --> 00:19:36.751]  It was in the front of the Washington Post.
[00:19:36.751 --> 00:19:38.252]  I probably showed you the article 30 times.
[00:19:38.252 --> 00:19:40.192]  It's in the headline.
[00:19:40.192 --> 00:19:42.473]  We will arrest anyone that doesn't support our coup.
[00:19:44.121 --> 00:19:47.363]  That was also a public threat to Millie and others.
[00:19:47.363 --> 00:19:55.248]  That, hey, we're so powerful, we will say we're gonna have a coup, and we're going to overthrow Trump, and you'll be arrested if you don't support us.
[00:19:55.248 --> 00:19:57.950]  Millie came out and said, that's illegal, I will not support you.
[00:19:57.950 --> 00:20:07.697]  So that's the level of brinksmanship going on, while we comfortably sit around and debate how Trump did up on the stage.
[00:20:07.697 --> 00:20:09.958]  Now, did this come up last night?
[00:20:09.958 --> 00:20:10.599]  Yeah, it came up.
[00:20:11.994 --> 00:20:32.066]  And it was the crux of the whole debate, and Trump kept trying to go back to it, and they both kept ganging up and interrupting, because they didn't want the leader to be able to communicate with you and I. He says, hey, there's going to be a process, it's going to take some time, weeks, months, and will you pledge to not tell your supporters to get violent?
[00:20:32.066 --> 00:20:33.747]  Where has Trump's supporters been violent?
[00:20:34.721 --> 00:20:41.103]  Where has Trump supporters gone out and burned things and gone after police stations and killed people and shot folks in the head at checkpoints?
[00:20:41.103 --> 00:20:42.143]  No, it's not.
[00:20:42.143 --> 00:20:43.743]  It's them.
[00:20:43.743 --> 00:20:48.224]  They're the ones that set all this up.
[00:20:48.224 --> 00:20:49.565]  They're the ones that did all this.
[00:20:49.565 --> 00:20:58.427]  They're the ones that have announced they're going to have a civil war and secession of the states during the build-up to January 20th, the 79 days of hell.
[00:21:02.449 --> 00:21:09.091]  Because the real fight doesn't end on November 3rd, 33 days from now.
[00:21:09.091 --> 00:21:09.972]  It starts.
[00:21:09.972 --> 00:21:13.353]  And no one else on air is saying this.
[00:21:13.353 --> 00:21:16.594]  And I'm not saying, oh look, I'm exclusive.
[00:21:16.594 --> 00:21:18.274]  Oh look, no one is as smart as me.
[00:21:18.274 --> 00:21:20.455]  No.
[00:21:20.455 --> 00:21:22.116]  Everyone is in a normalcy bias.
[00:21:22.116 --> 00:21:24.236]  We need Tucker Carlson.
[00:21:24.236 --> 00:21:25.857]  We need Rush Limbaugh.
[00:21:27.025 --> 00:21:37.752]  We need Sean Hannity to move away from Durham and move away from worrying about them ever getting in trouble and move into the real world.
[00:21:37.752 --> 00:21:43.656]  And it sounds crazy to go on air and say the Democrats are planning not to leave and the Democrats have got a plan to cause secession.
[00:21:43.656 --> 00:21:56.204]  And then on January 20th, when they cannot finish the election and they're not going to have the electors seat Trump, Pelosi has readied the House and entered the bill as of Monday.
[00:21:57.534 --> 00:21:58.176]  Three days ago!
[00:21:58.176 --> 00:22:00.965]  You hear what I'm saying?
[00:22:00.965 --> 00:22:01.988]  I'm getting chills here, folks.
[00:22:03.459 --> 00:22:15.207]  It's like watching your kid walk out on the highway and you tell him, look out, a train's coming, or a bus, and it's a mile away, and you're tied up and can't help him, and the kid doesn't listen to you, and finally the train or the bus just runs him over.
[00:22:15.207 --> 00:22:21.532]  I mean, this is coming like a meteorite that's the size of Manhattan to destroy human life.
[00:22:21.532 --> 00:22:23.053]  This is coming to destroy our republic.
[00:22:23.053 --> 00:22:23.934]  It's coming.
[00:22:23.934 --> 00:22:24.494]  It's coming.
[00:22:24.494 --> 00:22:25.455]  The gun is loaded.
[00:22:25.455 --> 00:22:26.655]  Their finger is on the trigger.
[00:22:26.655 --> 00:22:28.557]  They've already pulled the damn trigger.
[00:22:30.376 --> 00:22:32.917]  And just the magnitude of this.
[00:22:32.917 --> 00:22:57.708]  And so she's prepared the bill under the Constitution that when the President isn't decided and seated by the 20th of January 2021, 112 days from now, 79 days after the election, that she will decide who the new President is with a vote in the House of Representatives.
[00:22:57.708 --> 00:22:59.589]  Now, that is the game plan.
[00:23:00.868 --> 00:23:01.989]  That's what's going down.
[00:23:01.989 --> 00:23:14.964]  So Trump's all worried about them stuck in ballot boxes and having dead people vote and all the rest of this and vote harvesting, when that's all just smoke screen.
[00:23:14.964 --> 00:23:16.947]  They know there's a landslide for Trump.
[00:23:16.947 --> 00:23:21.251]  My God, Telemundo, 66% support Trump after they saw the debate and said he won?
[00:23:22.995 --> 00:23:25.195]  There's a collapse in confidence of the globalists.
[00:23:25.195 --> 00:23:26.096]  They're done.
[00:23:26.096 --> 00:23:32.577]  Their only hope is to steal power and bring in permanent martial law using COVID-19-type lockdowns.
[00:23:32.577 --> 00:23:34.217]  And the EU's collapsing?
[00:23:34.217 --> 00:23:35.818]  It will have a permanent lockdown.
