[00:00:05.304 --> 00:00:06.506]  I don't know.
[00:04:09.568 --> 00:04:15.071]  Thank you for joining us on this March 10th, Tuesday, global transmission.
[00:04:15.091 --> 00:04:16.851]  327 days out from the historic election.
[00:04:17.672 --> 00:04:20.353]  Wow, so much crazy stuff's going on.
[00:04:20.373 --> 00:04:22.414]  The listeners have really liked the calls.
[00:04:23.334 --> 00:04:28.057]  We did a decent job of taking a lot of calls, but still didn't get to as many as I wanted to.
[00:04:28.797 --> 00:04:30.638]  And so, we're going to open the phones up.
[00:04:32.315 --> 00:04:39.218]  And we're going to take calls throughout the broadcast today until Paul Joseph Watson hosts the fourth hour ahead of the War Room with Owen Schroer.
[00:04:39.258 --> 00:04:42.160]  We just had a kick-butt David Knight show on.
[00:04:42.180 --> 00:04:44.961]  I was watching some of that this morning, getting ready for the transmission.
[00:04:45.922 --> 00:04:47.162]  I haven't had any sleep tonight.
[00:04:48.583 --> 00:04:50.084]  That's right, no sleep last night.
[00:04:50.144 --> 00:04:51.644]  I'll tell you about that, too.
[00:04:51.664 --> 00:04:53.445]  It's an interesting story, very informative.
[00:04:54.066 --> 00:04:57.827]  Talk about a bird's-eye view from a very interesting place.
[00:04:58.768 --> 00:05:00.169]  So it's a big transmission today.
[00:05:00.209 --> 00:05:00.849]  You don't want to miss it.
[00:05:04.429 --> 00:05:13.756]  Six weeks ago, we warned you that the choreographed nature of the global media and governments concerning coronavirus told us it was a major globalist operation.
[00:05:14.357 --> 00:05:24.985]  Now, whether it's super deadly or not, the issue is it's being used by the globalists as a weapon against the world economy and against nation states and against the populist movement here in America.
[00:05:25.566 --> 00:05:26.567]  And against InfoWars.
[00:05:26.808 --> 00:05:27.810]  And that means against you.
[00:05:28.331 --> 00:05:36.405]  So however you're going to do it, now is the time to get ready and to get prepared with emergency supplies and items that are known to boost your immune system.
[00:05:37.418 --> 00:05:39.279]  They're all at InfoWarsTore.com.
[00:05:39.460 --> 00:05:41.741]  High quality, storable food when nobody else has got it.
[00:05:42.382 --> 00:05:51.949]  Super powerful formulas like DNA Force Plus, X2, X3, Body's Ultimate Turmeric Formula, and our Nano Silver line of products.
[00:05:52.069 --> 00:05:56.832]  A bunch of which has been sold out, but a bunch of which is coming back in later this week.
[00:05:57.072 --> 00:06:00.215]  So check it all out at InfoWarsTore.com and get prepared!
[00:06:05.756 --> 00:06:11.482]  This transmission is coming to you.
[00:06:11.582 --> 00:06:13.684]  Waging war on corruption.
[00:06:15.987 --> 00:06:21.312]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:30.759 --> 00:06:37.046]  We had the opportunity to brief the President today on a broad range of issues.
[00:06:38.808 --> 00:06:46.816]  And once again, because of the unprecedented action that President Trump took in January, suspending all travel from China,
[00:06:48.650 --> 00:06:55.254]  Establishing travel advisories for portions of South Korea and Italy.
[00:06:56.175 --> 00:07:01.598]  Establishing screening of all direct flights, all passengers from all airports, Italy.
[00:07:02.603 --> 00:07:03.404]  We're good to go.
[00:07:27.288 --> 00:07:30.650]  Uh, among the American public also remains low.
[00:07:31.210 --> 00:07:40.374]  That being said, uh, uh, the president did deploy not just a whole of government approach, uh, but also a, a whole of America approach.
[00:07:41.034 --> 00:07:52.839]  And last week, uh, at the president's direction, we met with leaders in industries from nursing homes to airlines, pharmaceutical companies, uh, commercial labs, and it's had great, great impact.
[00:07:53.059 --> 00:07:55.080]  Pharmaceutical companies are already working.
[00:07:56.120 --> 00:08:04.062]  Uh, literally around the clock on the development of therapeutics that will be medicines that can bring relief to people that contract the coronavirus.
[00:08:05.283 --> 00:08:19.347]  And I know how pleased the president was to learn that the commercial labs in this country, led by companies like LabCorp and Quest, have already brought a test forward and are taking that to market effective
[00:08:20.248 --> 00:08:35.870]  Today, this week, the president's direction will be meeting with hospital CEOs, health insurance CEOs and all building on top of what the president will be announcing tomorrow with regard to economic relief for working Americans.
[00:08:36.611 --> 00:08:41.395]  We also met today in a conference call with 47 of America's governors.
[00:08:41.976 --> 00:08:45.519]  We were able to brief them on the latest, the progress that we've made.
[00:08:46.400 --> 00:08:54.727]  We were able to confirm with them that testing is now available in all state labs in every state in the country.
[00:08:55.327 --> 00:08:58.470]  Over a million tests have been distributed before the end of this week.
[00:08:58.510 --> 00:09:01.252]  Another four million tests will be distributed.
[00:09:01.332 --> 00:09:02.593]  But as I said before,
[00:09:03.294 --> 00:09:18.349]  With the deployment of the commercial labs, we literally are going to see a dramatic increase in the availability of testing, and that's all a direct result.
[00:09:18.469 --> 00:09:20.171]  Okay, let's stop right there.
[00:09:20.211 --> 00:09:24.395]  I thought we should hear from Tucker Carlson in the first little segment, and now from the Vice President.
[00:09:25.848 --> 00:09:35.538]  Tucker Carlson, I'm very tempted to re-air that little three and a half minutes again at the bottom of the hour because I'm not here in the Tucker Carlson ass-kissing gallery.
[00:09:35.558 --> 00:09:37.420]  In fact, I used to not like Tucker Carlson.
[00:09:37.940 --> 00:09:44.567]  Back when he was on CNN, he was more libertarian-esque, not really hardcore, but he's really matured into a de-thoroughbred.
[00:09:45.428 --> 00:09:47.149]  And I know he writes his own stuff.
[00:09:47.890 --> 00:09:51.671]  For his teleprompter, and I know him in person, he's that smart in person.
[00:09:52.492 --> 00:09:55.813]  And he just, he perfectly summed it up last night.
[00:09:56.733 --> 00:09:58.334]  And it's really hard to top that.
[00:09:58.354 --> 00:10:03.976]  I mean, I can get into all the minutiae, we'll take your calls, we'll bring in a lot of angles, but this is a big deal.
[00:10:04.076 --> 00:10:10.838]  And Communist China supplies the majority of our pharmaceuticals, and most of them are tainted and toxic.
[00:10:11.378 --> 00:10:13.519]  And they also hammer us with enough fentanyl
[00:10:15.014 --> 00:10:17.996]  To kill the entire world over and over again with an overdose.
[00:10:19.376 --> 00:10:22.618]  So that's the level of stuff that's going on.
[00:10:22.678 --> 00:10:24.699]  And I'm not just trying to make communist China the boogeyman.
[00:10:25.660 --> 00:10:30.182]  Communist China, in their own admissions, has killed over 100 million people.
[00:10:31.503 --> 00:10:35.085]  Communist China has aborted over 400 million babies, most of them little girls.
[00:10:36.025 --> 00:10:44.150]  Communist China is the model of the globalist surveillance grid right now all over the world and is being adopted and is rolling out teams
[00:10:45.219 --> 00:10:50.884]  To teach big tech how to surveil better, and how to surveil people for coronavirus, like they're the savior of the planet.
[00:10:51.264 --> 00:10:52.205]  It's disgusting!
[00:10:53.786 --> 00:11:07.618]  You take a man-made virus that leaks out of Wuhan, the Senate Intelligence Committee members have come out and said that's what the evidence shows, and somehow that turns them into the victims, and turns the chi-coms into the good guys.
[00:11:07.718 --> 00:11:10.821]  When we just saw something out of a science fiction zombie movie,
[00:11:12.947 --> 00:11:14.488]  With what they did to their own population.
[00:11:15.068 --> 00:11:24.795]  So I'm going to cover all the latest developments on that front, give the number out here in just a moment, and then start taking your calls because it's very informative and all the different angles you come up with any subjects you want to cover.
[00:11:25.275 --> 00:11:31.800]  Long time listeners, first time callers, long time callers, it's a free for all on this Tuesday.
[00:11:31.960 --> 00:11:33.301]  Global transmission 877-789-2539, 877-789-2539.
[00:11:40.100 --> 00:11:42.942]  Something very interesting happened this morning.
[00:11:43.483 --> 00:11:59.755]  I was talking to one of the crew members from another part of the building, and he was like, you know, there's a rumor in the office that you use cocaine because there's no way you can be so tired during a break and then explode, you know, once you come back on air.
[00:12:00.896 --> 00:12:02.337]  Well, that's what I do.
[00:12:03.138 --> 00:12:05.800]  I care passionately about this.
[00:12:06.460 --> 00:12:08.462]  And the reason Infowars has been so successful is
[00:12:09.679 --> 00:12:11.199]  Excitement is contagious.
[00:12:12.340 --> 00:12:17.841]  Adrenaline and endorphins and focused anger is a drug.
[00:12:19.141 --> 00:12:20.161]  It's a drug I use.
[00:12:20.221 --> 00:12:21.402]  It's a drug I'm addicted to.
[00:12:21.542 --> 00:12:23.502]  And it's a drug that I'm trying to get off of.
[00:12:24.643 --> 00:12:28.063]  That's the drug I'm on is hatred of devil worshippers and pedophiles.
[00:12:28.603 --> 00:12:29.584]  And it's an important drug.
[00:12:29.604 --> 00:12:30.684]  It's why God gave it to us.
[00:12:31.684 --> 00:12:34.805]  But at the same time, I've got too much of it.
[00:12:35.939 --> 00:12:36.839]  I've got too much of it.
[00:12:36.879 --> 00:12:40.020]  I don't want to die of a heart attack, you know, at 50, because I'm 46, man.
[00:12:40.061 --> 00:12:42.561]  It's, you know, it's in my family's background.
[00:12:42.721 --> 00:12:44.482]  Alpha male, super successful at everything.
[00:12:44.742 --> 00:12:46.863]  Gigantic, spectacular heart attacks at 55.
[00:12:46.903 --> 00:12:47.283]  They're gone.
[00:12:47.763 --> 00:12:49.444]  Then others learn how to chill out before then.
[00:12:49.464 --> 00:12:49.844]  They live to be 90.
[00:12:50.704 --> 00:12:51.945]  I want to be those guys that lived in 90.
[00:12:52.465 --> 00:12:53.605]  Hell, some of them 100.
[00:12:54.626 --> 00:12:55.426]  But it's hard.
[00:12:55.546 --> 00:13:00.528]  But then I see other people that don't care at all.
[00:13:01.969 --> 00:13:06.658]  I see other people that just don't think anything matters and they're dead.
[00:13:08.381 --> 00:13:09.303]  And it's better to...
[00:13:11.038 --> 00:13:17.860]  Be alive and burn twice as bright than to be basically a dim bulb that is never awake, never cares, and never has passions.
[00:13:17.880 --> 00:13:19.380]  And that's why I talk about the man in the arena.
[00:13:19.720 --> 00:13:22.561]  But that's why the left always says, Alex Jones, the coke head.
[00:13:23.401 --> 00:13:24.761]  Alex Jones, the drug addict.
[00:13:24.881 --> 00:13:26.482]  Alex Jones this, Alex Jones that.
[00:13:27.322 --> 00:13:32.583]  And it's because they don't have that type of passion.
[00:13:33.843 --> 00:13:47.335]  They don't have that drive so they can't imagine somebody that can broadcast 10 hours a day if they need to and love it and want to come back at night and do more because they don't have that spark that sets fires in the minds of men and women everywhere.
[00:13:47.355 --> 00:13:53.221]  But I know you have that spark and you have that focus and that's what we need more of.
[00:13:54.693 --> 00:13:55.513]  Turn things around.
[00:14:13.615 --> 00:14:14.215]  Depressants.
[00:14:14.375 --> 00:14:16.957]  I mean, I take natural knockout at night to help sleep.
[00:14:17.637 --> 00:14:18.317]  That's a depressant.
[00:14:18.557 --> 00:14:19.238]  Natural depressant.
[00:14:20.198 --> 00:14:23.119]  I drink alcohol to not, you know, care.
[00:14:24.320 --> 00:14:25.440]  Because I care too much.
[00:14:26.041 --> 00:14:31.203]  And I take it to take the focus away, to take the clarity away, because I can't handle reality.
[00:14:31.443 --> 00:14:31.883]  But you know what?
[00:14:31.943 --> 00:14:35.525]  That's me being honest about it, that I go and hide in places like that.
[00:14:36.845 --> 00:14:40.487]  But other people, they just don't give a damn, so why does it even matter to them?
[00:14:41.507 --> 00:14:42.108]  But I do care.
[00:14:42.881 --> 00:14:44.424]  And I care about having integrity.
[00:14:45.245 --> 00:14:54.881]  And that's why the system constantly says Alex Jones is a fake, Alex Jones is a phony, Alex Jones doesn't have integrity, Alex Jones' lawyer says that he is a actor.
[00:14:55.322 --> 00:14:56.003]  None of that's true.
[00:14:58.598 --> 00:15:04.621]  They were trying to enter as evidence that I was insane in a Joker makeup saying put fluoride in the water.
[00:15:04.901 --> 00:15:06.261]  I was doing a satire piece.
[00:15:06.481 --> 00:15:07.682]  I was being an actor there.
[00:15:08.162 --> 00:15:15.445]  But I'm not an actor when I'm on the show being Alex Jones myself as a father and a man and as a Christian and as a human telling the truth.
[00:15:17.126 --> 00:15:20.807]  So the globalists are great at stealing our identity saying we're racist, saying we're bad.
[00:15:20.947 --> 00:15:21.607]  It's not true.
[00:15:21.667 --> 00:15:22.928]  I care about humanity!
[00:15:25.407 --> 00:15:27.048]  And I will not let them steal my identity.
[00:15:27.368 --> 00:15:32.171]  And that's why it's so important for all of you to be vocal, and all of you to be involved, because they want to steal your identity.
[00:15:32.191 --> 00:15:39.535]  And when you don't speak out, and when you're not involved, they can lie, and take your voice as well.
[00:15:40.336 --> 00:15:46.079]  Don't let Ursula take your voice like she did the Little Mermaid, and make you one of those little slaves down in her pit.
[00:15:46.719 --> 00:15:50.782]  Break free and use that voice, and empower yourself.
[00:15:52.015 --> 00:15:53.736]  Okay, I was almost late.
[00:15:53.756 --> 00:15:55.917]  Well, I was 30 seconds late getting back in here because I was in a meeting.
[00:16:19.818 --> 00:16:30.826]  With a research scientist, a chemist, and then our marketing guys, and we have an expert in supplements, and I was like, hey, you need to come to this meeting.
[00:16:30.846 --> 00:16:32.207]  So I was there like four minutes, and they're like,
[00:16:33.513 --> 00:16:37.514]  We told you a few weeks ago we're selling record amounts of our clean atomic iodine.
[00:16:37.554 --> 00:16:40.115]  We have the only deep-earth crystal iodine you're going to find out there, X2.
[00:16:40.135 --> 00:16:42.775]  X3 has some of that in it and the other two types of iodine.
[00:16:42.815 --> 00:16:45.656]  Some people can't absorb only the pure atomic iodine.
[00:16:46.416 --> 00:16:49.417]  Everybody else calls their iodine atomic iodine, but that's not the case.
[00:16:49.457 --> 00:16:55.478]  It's this other type of iodine that's bound to other members of the periodic table.
[00:16:55.778 --> 00:17:02.620]  We'll leave it to you with that because no one wants to go through the DEA and have a DEA-controlled facility.
[00:17:03.899 --> 00:17:08.432]  That you gotta pay for every year at your factory and then DEA inspections every quarter.
[00:17:09.235 --> 00:17:09.816]  We did that!
[00:17:10.916 --> 00:17:12.896]  He's wanted to have the best iodine for you.
[00:17:13.136 --> 00:17:17.197]  They've been, for weeks, telling me, hey, we're selling three times as much iodine we're gonna sell out.
[00:17:17.257 --> 00:17:18.437]  And I said, that's not a problem.
[00:17:18.557 --> 00:17:23.398]  Call up the manufacturer in Utah and the other one in Arizona and tell them double production.
[00:17:23.458 --> 00:17:24.719]  Well, they just got off the phone with them.
[00:17:24.739 --> 00:17:25.939]  Well, they've been talking to them all day.
[00:17:25.979 --> 00:17:26.779]  It was the third phone call.
[00:17:26.839 --> 00:17:27.599]  They talked to them this morning.
[00:17:27.619 --> 00:17:29.960]  They go, yeah, we're glad you called about ramping up production.
[00:17:30.040 --> 00:17:32.000]  We have federal agencies calling us.
[00:17:32.180 --> 00:17:37.341]  By the second call, the feds are threatening them, saying you have a strategic stockpile
[00:17:38.510 --> 00:17:40.111]  And they're like, well, who's your boss?
[00:17:40.171 --> 00:17:41.451]  What's the, is there a court order?
[00:17:42.251 --> 00:17:44.572]  That's how hysterical this has gotten.
[00:17:44.872 --> 00:17:47.373]  I mean, I'm calling my nanotech silver people.
[00:17:47.453 --> 00:17:48.234]  It's getting all bought up.
[00:17:48.374 --> 00:17:49.714]  I'm calling my iodine people.
[00:17:49.774 --> 00:17:51.755]  It's all getting, the government's like threatening them.
[00:17:51.835 --> 00:17:54.256]  You're going to give us that iodine because it's atomic.
[00:17:54.456 --> 00:17:55.096]  It's crystal.
[00:17:55.256 --> 00:17:56.657]  I paid to have it mined.
[00:17:56.777 --> 00:17:58.978]  My million dollar contracts paid for that.
[00:17:59.178 --> 00:18:01.660]  You don't just think these Easter bunnies just get that, do you?
[00:18:02.020 --> 00:18:07.604]  You gotta pay the oil companies on their way down, the gas companies, at 10,000 feet, 7,000 to 12,000 feet.
[00:18:07.964 --> 00:18:12.607]  You gotta pay for them to extract it and pay to have it taken out, which is expensive for them.
[00:18:12.627 --> 00:18:14.709]  They're like, my God, they won a million dollars right on sale.
[00:18:14.829 --> 00:18:16.530]  No, compared to oil and gas, it's nothing.
[00:18:16.570 --> 00:18:18.071]  Millions a day just to drill those suckers.
[00:18:18.411 --> 00:18:19.531]  You want them to extract it?
[00:18:19.571 --> 00:18:20.412]  You gotta beg them.
[00:18:20.552 --> 00:18:23.072]  And then they'll get their engineers and they'll grab it and give it to you.
[00:18:23.092 --> 00:18:24.173]  And it's like these crystals.
[00:18:24.233 --> 00:18:27.533]  And if you throw one on the ground, it's just like... I dream of genie.
[00:18:27.593 --> 00:18:28.254]  Purple smoke.
[00:18:28.274 --> 00:18:29.374]  It eats holes through things.
[00:18:29.474 --> 00:18:31.775]  But once you put it in the palm oil, it's totally different for your body.
[00:18:31.795 --> 00:18:34.795]  Your body just takes it in like Superman takes in our yellow sun.
[00:18:34.995 --> 00:18:35.956]  It's amazing.
[00:18:36.156 --> 00:18:37.436]  And we have the X2.
[00:18:37.696 --> 00:18:39.297]  X3 is not a lowly product.
[00:18:39.477 --> 00:18:41.417]  It's just the Deep Earth Crystal and two others.
[00:18:41.437 --> 00:18:44.798]  Because again, some people cannot absorb what the engineers inside are telling me.
[00:18:44.838 --> 00:18:47.619]  The pure iodine without the other iodines in it.
[00:18:47.719 --> 00:18:49.901]  But my point is, all hell's breaking loose right now.
[00:18:49.981 --> 00:18:52.062]  And again, yet again, it's only God.
[00:18:52.262 --> 00:18:53.242]  All glory goes to God.
[00:18:53.502 --> 00:18:55.363]  We are again in the exact center.
[00:19:13.709 --> 00:19:15.512]  He never gives up.
[00:19:15.993 --> 00:19:17.857]  He's Alex Jones.
[00:19:18.017 --> 00:19:20.541]  Broadcasting from deep in the heart of Texas.
[00:19:21.122 --> 00:19:21.703]  Worldwide.
[00:19:25.636 --> 00:19:31.818]  I'm not gonna belabor this, but we have Swirlable Food and we have it at InfoWarsTore.com.
[00:19:31.838 --> 00:19:36.379]  We have great supplements that boost your immunity that you need regardless in this crazy world.
[00:19:37.059 --> 00:19:39.319]  All the other big manufacturers for four weeks have been sold out.
[00:19:39.339 --> 00:19:41.480]  They're lying to you saying one week delivery.
[00:19:41.520 --> 00:19:42.160]  That's not true.
[00:19:42.580 --> 00:19:45.981]  It's five to eight weeks putting on what you order when it's the Swirlable Foods.
[00:19:46.001 --> 00:19:48.942]  We're ready to ship the next day with the supplements.
[00:19:49.702 --> 00:19:54.584]  Like the turmeric and the DNA Force Plus at InfoWarsTore.com.
[00:19:54.904 --> 00:20:02.168]  InfoWarsTore.com and that funds our operation.
[00:20:05.589 --> 00:20:11.512]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:18.536 --> 00:20:20.497]  Waging war on corruption.
[00:20:20.917 --> 00:20:22.298]  It's Alex Jones.
[00:20:34.422 --> 00:20:40.865]  We're on this blue ball, spinning through the galaxy.
[00:20:41.825 --> 00:20:45.587]  And most people never even ask where we came from or who we are.
[00:20:46.991 --> 00:20:47.652]  Who's our daddy?
[00:20:49.233 --> 00:20:50.774]  Well, I'm asking that question.
[00:20:51.495 --> 00:20:54.377]  We're gonna open the phones up and take a ton of your calls today.
[00:20:56.559 --> 00:21:06.267]  From Judy, and Andre, and Roberto, and Hobbs, and Carlos, and John, and Tim, and many, many others.
[00:21:07.408 --> 00:21:08.649]  So that's all coming up.
[00:21:09.690 --> 00:21:14.114]  Okay, let's go ahead and burrow into the facts.
[00:21:16.206 --> 00:21:19.528]  There's a NewNaturalNews.com article up on Infowars.com.
[00:21:19.949 --> 00:21:30.636]  Breaking new analysis reveals President Trump must lock down the USA, just like Italy, in order to break the chain of exponential spread of the coronavirus.
[00:21:31.277 --> 00:21:33.979]  All air traffic and road traffic must be halted.
[00:21:35.000 --> 00:21:38.162]  You know, that is a very extreme statement by Mike Adams.
[00:21:38.402 --> 00:21:42.485]  And he's an engineer, he's a mathematician, he's one of the smartest people I know.
[00:21:43.326 --> 00:21:44.807]  But I've seen the other models.
[00:21:46.414 --> 00:21:53.138]  The virus will still just spread slower, but many models show it'll spread just as much.
[00:21:54.859 --> 00:21:57.600]  And who knows if it'll mutate to be worse or less.
[00:21:58.181 --> 00:21:59.962]  Looks like it's mutating to get worse.
[00:22:00.842 --> 00:22:05.005]  So... And we don't even know it's...
[00:22:06.499 --> 00:22:07.220]  Morbidity rate.
[00:22:07.960 --> 00:22:11.784]  First it was 15, and now it's 2, maybe it's lower.
[00:22:12.645 --> 00:22:15.147]  Again, if it's 1 tenth of 1 percent, it's a serious issue.
[00:22:15.167 --> 00:22:17.089]  But they don't have a vaccine for it.
[00:22:17.109 --> 00:22:18.410]  You don't want a vaccine for it.
[00:22:18.510 --> 00:22:19.891]  It's a mutant virus.
[00:22:19.951 --> 00:22:22.574]  You'll never have a proper vaccine.
[00:22:22.594 --> 00:22:23.795]  It's like the flu is always mutating.
[00:22:23.815 --> 00:22:25.857]  That's why no vaccine for the flu has ever worked.
[00:22:25.877 --> 00:22:27.518]  Especially if you read the real literature on it.
[00:22:27.558 --> 00:22:28.519]  The real white papers.
[00:22:28.539 --> 00:22:28.840]  It's a fact.
[00:22:37.975 --> 00:22:49.404]  And in the old days, just a few years ago, everybody knew there were huge crises caused by vaccines and mass deaths and side effects and secret vaccine payout funds.
[00:22:56.590 --> 00:23:05.256]  But now, Facebook and Twitter and Google, they say, and Apple, you're not going to say a word about vaccines unless you're a doctor approved by Big Pharma.
[00:23:05.577 --> 00:23:05.937]  Wow!
[00:23:06.237 --> 00:23:07.038]  So there goes
[00:23:09.352 --> 00:23:12.053]  The power of consumer reports.
[00:23:12.153 --> 00:23:14.575]  And, hey, I went in this restaurant and I think I got food poisoning.
[00:23:14.595 --> 00:23:16.796]  Or, hey, my kid took this shot and had a convulsion.
[00:23:18.056 --> 00:23:22.098]  We've always known that's the most important reporting there is, is the average person.
[00:23:23.739 --> 00:23:25.520]  But they've shut it all down, ladies and gentlemen.
[00:23:27.261 --> 00:23:32.143]  And now we know that things like Rotten Tomatoes and TripAdvisor are rigged.
[00:23:33.263 --> 00:23:35.364]  Just five, six years ago, they were pretty accurate.
[00:23:35.424 --> 00:23:36.125]  Now they're rigged.
[00:23:36.965 --> 00:23:38.546]  There's articles and reports of it everywhere.
[00:23:41.894 --> 00:23:52.942]  And so the system set up the internet and sold it to us that, oh, it's the internet of things and we're all able to go and say what we like and whatever is the best goes to the top.
[00:23:53.262 --> 00:23:55.904]  That got us all addicted because it was so real, it was so true.
[00:23:56.164 --> 00:23:57.105]  They still gamed it some.
[00:23:58.586 --> 00:24:10.534]  But now it's completely becoming synthetic where it's not just Alex Jones that the search results are fixed, all negative, all old news articles demonizing me and lies and incredible disinformation.
[00:24:19.437 --> 00:24:23.459]  It gets even more insane where it's almost everything now.
[00:24:24.619 --> 00:24:26.840]  Oh, you think Google just shows you where all the restaurants are?
[00:24:26.860 --> 00:24:27.920]  Remember they used to show you all of them?
[00:24:28.821 --> 00:24:30.101]  Or the nav on your car.
[00:24:30.401 --> 00:24:31.622]  But now it's who pays.
[00:24:32.782 --> 00:24:33.803]  It's who pays Dodge.
[00:24:34.183 --> 00:24:35.383]  It's who pays Toyota.
[00:24:35.663 --> 00:24:37.424]  It's who pays Mercedes.
