[00:00:08.916 --> 00:00:11.279]  No, he's corrupt.
[00:02:44.726 --> 00:02:53.729]  But we're told he's way ahead in all the polls, just like we were told Hillary Clinton had a 97% chance of winning New York Times internal polling algorithm.
[00:02:53.729 --> 00:02:56.210]  They have another name for it.
[00:02:56.210 --> 00:03:01.692]  It's called Bravo Sierra or bull crap.
[00:03:01.692 --> 00:03:02.613]  Horse manure.
[00:03:02.613 --> 00:03:03.733]  But you see, here's the key.
[00:03:05.233 --> 00:03:14.136]  They are positioning it to try to steal the election, so the electronic voting machines just came out in Oregon, that the machines can all easily be hacked, obviously for the Democrats.
[00:03:14.136 --> 00:03:21.019]  The 80 million fake ballots out there, they're intending to try to steal it, straight up.
[00:03:21.019 --> 00:03:30.683]  And then just have a decisive victory through fraud, have the media say that Biden is the victor, Trump will be locked down, all of us will be locked off any social media.
[00:03:32.392 --> 00:03:39.674]  Any of the modern communication systems with the electronic straitjacket they've already tested and have prepared.
[00:03:39.674 --> 00:03:44.255]  So that if Trump tries to contest fraud, they will claim he's a dictator and a bad guy.
[00:03:44.255 --> 00:03:50.376]  They've already pre-scripted all of that.
[00:03:50.376 --> 00:03:59.939]  If they're unable to get such a tsunami of fraud over the American people, they're going to contest regardless.
[00:04:00.919 --> 00:04:02.480]  And try to split the country up.
[00:04:02.480 --> 00:04:05.842]  And it's all financed by the globalist and communist China.
[00:04:05.842 --> 00:04:08.684]  And this really is the country fighting for its very existence.
[00:04:08.684 --> 00:04:21.171]  As Trump has said, if the United States gets Joe Biden as president, who's totally compromised, who's a Chinese communist agent on record, they are going to press the attack.
[00:04:21.171 --> 00:04:22.732]  They've already bought off most of the Democrats.
[00:04:22.732 --> 00:04:24.053]  They have them compromised.
[00:04:24.053 --> 00:04:26.094]  They will rule this country.
[00:04:27.602 --> 00:04:31.464]  And the ongoing sell-out of our jobs, our industry, everything will accelerate.
[00:04:31.464 --> 00:04:33.264]  I mean, we're fighting for our lives.
[00:04:33.264 --> 00:04:45.209]  And they've got all these dumbed-down leftists and all these dumbed-down housewives, you know, who hate men and hate America, who believe that they're unhappy because of Christian conservatism.
[00:04:45.209 --> 00:04:54.373]  They are literally stomping around, frothing, cheering on China and their own destruction, when Xi Jinping would throw them in a slave camp and harvest their organs so fast it'd make their fat asses spin.
[00:04:54.373 --> 00:04:56.194]  We'll be right back.
[00:04:56.194 --> 00:04:56.594]  Stay with us.
[00:04:59.190 --> 00:05:15.123]  If you pay close attention to what big tech is actually saying, and more importantly, what they're actually doing, when they shut down the Hunter Biden laptop story, that was a test to see if they could work in concert to totally suppress information.
[00:05:15.123 --> 00:05:22.289]  Because they've also been on record saying, coming up on election day and thereafter, they're not going to let anyone but, quote, authoritative sources.
[00:05:22.289 --> 00:05:24.511]  I mean, CNN, New York Times, what a joke.
[00:05:25.111 --> 00:05:28.115]  Come out and say who the real winner is.
[00:05:28.115 --> 00:05:39.270]  That way they can contest the election even though Trump's declared winner, hold everything up with the ballots, then cause a constitutional crisis, call for secession, and have the UN come in and declare the election for Biden.
[00:05:39.270 --> 00:05:41.553]  This is what John Podesta and others are on record saying.
[00:05:42.074 --> 00:05:55.582]  And so when you see them in concert censoring something like the Hunter Biden laptop story, that is a drill, that is a test to get all their systems ready, but also to condition the public that big tech works in unison to suppress speech and information.
[00:05:55.582 --> 00:05:57.283]  This is election meddling 101.
[00:05:57.283 --> 00:05:58.144]  This is illegal.
[00:06:07.307 --> 00:06:10.228]  It's Monday, October 19th, 2020.
[00:06:10.228 --> 00:06:17.711]  We are 14 days out from the election and the Civil War.
[00:06:17.711 --> 00:06:18.831]  InfoWars.
[00:06:18.831 --> 00:06:22.833]  Tomorrow's news, today.
[00:06:22.833 --> 00:06:26.114]  If Biden wins, China will own the United States.
[00:06:26.114 --> 00:06:28.735]  And I turned it all around, and you know that better than anybody.
[00:06:29.861 --> 00:06:38.149]  In 2019, if you go back 10 years, everybody projected 2019 the economy of China was going to be bigger than the U.S.
[00:06:38.149 --> 00:06:42.513]  Except it didn't happen because I got elected and I turned it the opposite way.
[00:06:42.513 --> 00:06:44.515]  We were picking up much more than them.
[00:06:45.493 --> 00:06:49.755]  And then I did the no dumping steel, and I did tariffs, and I did everything on them.
[00:06:49.755 --> 00:06:52.157]  No, no, they want Sleepy Joe to win.
[00:06:52.157 --> 00:06:58.280]  And if he does, if Sleepy Joe wins, China will own the United States.
[00:06:58.280 --> 00:07:04.803]  And when you look at these photographs that are disgusting and horrible, the Chinese have every single one of them.
[00:07:04.803 --> 00:07:08.866]  The Chinese have every single one of them, probably 10 times more.
[00:07:08.866 --> 00:07:11.467]  Because what the Chinese government has been doing and
[00:07:12.329 --> 00:07:13.370]  It's Saturday, October 17th.
[00:07:13.370 --> 00:07:13.910]  The year is 2020.
[00:07:13.910 --> 00:07:15.491]  We are now two weeks out from the election.
[00:07:15.491 --> 00:07:17.773]  And the information I'm about to cover here
[00:07:42.771 --> 00:07:46.734]  It's bigger than anything we covered in the run-up to the 2016 election.
[00:07:46.734 --> 00:07:48.156]  Well, I shot that emergency report.
[00:07:48.156 --> 00:07:52.539]  It's got 1,981,000 views at ban.video in defiance of Google and big tech that would have silenced you and I and us.
[00:08:05.267 --> 00:08:12.896]  We've had an extra 7 million views on our videos concerning the election at Band.Video.
[00:08:12.896 --> 00:08:19.964]  7 million people that have been able to see the truth and circumvent the giant media firestorm of un-American disinformation.
[00:08:20.925 --> 00:08:22.927]  It is Monday, October 9th.
[00:08:22.927 --> 00:08:23.547]  The year is 2020.
[00:08:23.547 --> 00:08:35.356]  We are exactly 14 days out from the election and the globalists moving with Communist China to break up the United States and balkanize us along racial and religious lines forever.
[00:08:35.356 --> 00:08:44.643]  But the path of America to its destruction will not be so smooth for the New World Order because the sleeping giant has awakened and the fight has just begun.
[00:08:46.277 --> 00:08:47.998]  And that's not hype.
[00:08:47.998 --> 00:08:53.800]  That's the reality of the epic moment we're all in together.
[00:08:53.800 --> 00:09:02.303]  When you get excited, when you take action, when you spread the word, when you become Paul Revere, it changes the world.
[00:09:02.303 --> 00:09:06.704]  And the globalists are in fear of you right now.
[00:09:06.704 --> 00:09:08.845]  In fear of you realizing your real power.
[00:09:08.845 --> 00:09:10.866]  Alright, I'm going to open the phones up.
[00:09:12.332 --> 00:09:13.813]  For the transmission.
[00:09:13.813 --> 00:09:18.495]  And we have several special guests as well during this epic countdown.
[00:09:18.495 --> 00:09:26.398]  Dr. Steve Puccini is going to come on and talk about the Hunter Biden China blackmail operation and the real inside baseball.
[00:09:26.398 --> 00:09:27.279]  He's got the sources.
[00:09:27.279 --> 00:09:30.760]  A lot of huge developments on that front as well.
[00:09:30.760 --> 00:09:31.981]  We'll be covering in just one moment.
[00:09:33.131 --> 00:09:46.497]  Philip Anderson, who's a black Christian conservative, tried to hold a free speech rally in San Francisco, was viciously beaten, teeth knocked out, put into the hospital, and the left just celebrated it with absolute pleasure.
[00:09:46.497 --> 00:09:54.902]  He's going to be popping in and joining us as well, and then Gerald Cilente, head of the War Room, and Owen Schroyer, I am your host, Alex Jones.
[00:09:54.902 --> 00:10:00.664]  Now, let's go right into it right now.
[00:10:00.664 --> 00:10:01.725]  The globalists think we're weak?
[00:10:03.404 --> 00:10:04.604]  They're making their move.
[00:10:04.604 --> 00:10:14.227]  Communist China is their command base, where they can carry out any crime they want, or they can organize and produce the economic prowess they need to take over the planet.
[00:10:14.227 --> 00:10:19.909]  That's the CFR and the Trilateral Commission of the Bilderberg Group's stated goal.
[00:10:19.909 --> 00:10:30.252]  Two minutes to midnight, we get Trump in four years ago, and he reverses the economic shutdown and the economic surrender that we've been under for 50 years.
[00:10:30.252 --> 00:10:31.333]  Really, 40 years or so.
[00:10:32.600 --> 00:10:35.442]  And overnight things come back.
[00:10:35.442 --> 00:10:41.787]  They launch hoax after hoax to try to delegitimize the election and the voters and the president.
[00:10:41.787 --> 00:10:48.132]  Everything they're guilty of, working with China, working with Russia, working with Ukraine, they project onto POTUS.
[00:10:48.132 --> 00:10:49.594]  They engage in massive crime.
[00:10:49.594 --> 00:10:52.716]  They get caught engaged in massive crime and attempted coups.
[00:10:52.716 --> 00:10:59.882]  They do not get in trouble because everyone is so scared of the Justice Department because they were put in there at the top to be yes-men and follow along.
[00:11:00.919 --> 00:11:26.041]  And so even though the president withstood and the American people withstood outrageous coup attempts and attacks and disinfo and economic warfare and lawsuits and physical attacks, it only emboldened the enemy to up the ante and become even more aggressive now with the global COVID exaggeration hoax shutdown, with the economic warfare shutdown, with the race war shutdown,
[00:11:27.450 --> 00:11:29.851]  China's been fully open for business for six months.
[00:11:29.851 --> 00:11:31.511]  Europe is still under martial law.
[00:11:31.511 --> 00:11:33.932]  The Democrats pledged to put us back under it.
[00:11:33.932 --> 00:11:35.933]  This is the form of warfare.
[00:11:35.933 --> 00:11:37.193]  Psychological.
[00:11:37.193 --> 00:11:42.055]  The Pentagon will tell you that in modern wars, 90% is psychological, no longer physical.
[00:11:43.720 --> 00:12:03.968]  The average American is so under mind control, a good 30% or so, Democrats, that they believe Xi Jinping's a hero, they believe America's bad, they believe Trump's evil, they don't even care about their own interests, they think Xi Jinping and the New World Order is going to give them a bunch of free goodies and take care of them if they can just help take the country down.
[00:12:03.968 --> 00:12:05.529]  You see, we keep trying to convince Democrats
[00:12:06.616 --> 00:12:16.060]  Then don't side with China and the globalists and those that rip us off and give us unfair deals and have de-industrialized us by design to capture us and control us!
[00:12:16.060 --> 00:12:17.061]  Stand up with America!
[00:12:17.061 --> 00:12:18.261]  Stand up for your own common sense!
[00:12:18.261 --> 00:12:19.102]  Stand up!
[00:12:19.102 --> 00:12:20.002]  And look at these headlines!
[00:12:20.002 --> 00:12:21.003]  Xi's choice!
[00:12:21.003 --> 00:12:25.084]  Destroy Trump or save him and weaken America!
[00:12:25.084 --> 00:12:26.185]  This is who they are!
[00:12:26.185 --> 00:12:30.667]  These are the globalists that set up the communist Chinese to enslave the Chinese people!
[00:12:30.667 --> 00:12:34.689]  And now they want to set up a dictatorship here that the globalists control to enslave us fully!
[00:12:36.520 --> 00:12:49.845]  Absolutely hellish, and you look at the list of demonic goons like Whitmer and others, and Psycho Newsome, and the rest of them.
[00:12:49.845 --> 00:12:52.806]  And they say, you want the lockdowns to end, vote out Trump.
[00:12:53.882 --> 00:12:55.363]  Big Mike says it.
[00:12:55.363 --> 00:12:56.604]  Newsom says it.
[00:12:56.604 --> 00:12:57.684]  Whitmer says it.
[00:12:57.684 --> 00:12:58.585]  Cuomo says it.
[00:12:58.585 --> 00:13:00.806]  Because he didn't follow all their rules.
[00:13:00.806 --> 00:13:01.486]  It's his fault.
[00:13:01.486 --> 00:13:04.148]  His rallies kept the COVID at all time levels.
[00:13:04.148 --> 00:13:08.570]  But notice, not spike deaths.
[00:13:08.570 --> 00:13:11.052]  Spike numbers.
[00:13:11.052 --> 00:13:13.173]  And then if it bumps up a little in death, it goes back down.
[00:13:13.173 --> 00:13:15.914]  They call that a huge spike.
[00:13:15.914 --> 00:13:16.895]  These are the scams.
[00:13:18.052 --> 00:13:30.099]  And they just keep pressing and pressing the compliance, hoping we get used to it all, a permanent martial law, telling you when you can stay open, when you can be outside, when you can do this, when you can do that.
[00:13:30.099 --> 00:13:40.866]  This is economic warfare, and I'm going to get into the laptop and the big revelations of Hunter, and not just hookers, and not just sex, and not just crack, and not just meth, but doing illegal things underage.
[00:13:42.441 --> 00:13:54.105]  Raping them is a form of torture, but reportedly beating up little Chinese girls as part of him, as the initiation into the Communist Party China, so that he'd be fully compromised.
[00:13:54.105 --> 00:13:56.606]  This is what's really happening.
[00:13:56.606 --> 00:13:57.946]  This is China's war.
[00:13:57.946 --> 00:14:03.988]  Chinese military beefs up coastal forces as it prepares for possible invasion of Taiwan.
[00:14:03.988 --> 00:14:08.030]  They are announcing they may invade as another surprise.
[00:14:09.138 --> 00:14:09.659]  And why not?
[00:14:09.659 --> 00:14:14.484]  They've got the Democrats, they've got our debt, they've got Hollywood, they've got most of the cities and states.
[00:14:14.484 --> 00:14:19.949]  And they can't believe the Chaikoms, the average American, won't stand up for themselves and are just total fools.
[00:14:19.949 --> 00:14:20.890]  But they're not.
[00:14:20.890 --> 00:14:21.391]  They're worse.
[00:14:21.391 --> 00:14:25.495]  They hate America and actually want to see it burn.
[00:14:25.495 --> 00:14:27.457]  It's sick.
[00:14:27.457 --> 00:14:31.842]  The NBA, black players love China, worship them, the most racist country in the world towards black people.
[00:14:32.853 --> 00:14:35.895]  Millions of Christians and Buddhists and Muslims in death camps.
[00:14:35.895 --> 00:14:38.056]  The left loves it because they're empty nobodies.
[00:14:38.056 --> 00:14:41.017]  Because LeBron James is as close to Hitler as you're going to get.
[00:14:41.017 --> 00:14:42.198]  He knows what he's doing.
[00:14:42.198 --> 00:14:43.139]  He wants the money.
[00:14:43.139 --> 00:14:45.520]  So he can call America racist.
[00:14:45.520 --> 00:14:49.602]  That covers his Chinese bosses that now fund most of the NBA.
[00:14:49.602 --> 00:14:53.424]  Think about that when you watch your ballers.
[00:14:53.424 --> 00:14:56.006]  China's economy is almost over COVID.
[00:14:56.006 --> 00:14:58.967]  Oh, New York Times, NPR.
[00:14:58.967 --> 00:14:59.788]  Oh, they're open.
[00:14:59.788 --> 00:15:00.948]  They did a good job.
[00:15:00.948 --> 00:15:02.029]  They had good martial law.
[00:15:03.200 --> 00:15:08.386]  But Republican states didn't have total martial law, so you're not allowed to ever reopen.
[00:15:08.386 --> 00:15:12.532]  French virus curfew produces eerie quiet on streets of Paris.
[00:15:12.532 --> 00:15:14.474]  They say the martial law will never end.
[00:15:14.474 --> 00:15:16.336]  Oh, see, he couldn't deal with the Yellow Vest?
[00:15:16.336 --> 00:15:17.698]  Couldn't deal with people wanting Macron out?
[00:15:17.698 --> 00:15:19.000]  Well, now he's a dictator.
[00:15:23.598 --> 00:15:24.939]  And it goes on from there.
[00:15:24.939 --> 00:15:29.944]  Sweden to start lockdowns as the world's 12th highest COVID-19 death rate.
[00:15:29.944 --> 00:15:31.285]  Totally made up garbage.
[00:15:31.285 --> 00:15:33.307]  They had the lowest rate in Europe.
[00:15:33.307 --> 00:15:34.108]  Notice the world.
[00:15:34.108 --> 00:15:35.929]  So now their socialist government's been pressured.
[00:15:35.929 --> 00:15:38.331]  So they'll lock down since the Swedes never did it.
[00:15:38.331 --> 00:15:40.814]  They'll go ahead and do a lockdown now just so they're good slaves.
[00:15:40.814 --> 00:15:43.696]  Polish gym dubs itself a church to bypass virus rules.
[00:15:44.855 --> 00:15:48.537]  Over here they ban you if you have a church because government just runs over the First Amendment.
[00:15:48.537 --> 00:15:52.880]  We've got so much more on the mask front, wait till we get to the top news on that, coming up.
[00:15:52.880 --> 00:15:54.601]  And there's so much more.
[00:15:54.601 --> 00:15:57.803]  Only you, though, can override the censor and share the live feed.
[00:15:57.803 --> 00:15:59.144]  The future isn't coming.
[00:15:59.144 --> 00:16:00.145]  It's here.
[00:16:01.005 --> 00:16:09.550]  And in the future, keeping your humanity, saving your soul, your integrity, your very essence is going to be your most valuable asset.
[00:16:09.550 --> 00:16:13.132]  In fact, it's going to be your only asset.
[00:16:13.132 --> 00:16:25.839]  The world being built by the technocrats and the trap they've now sprung with COVID-19 and the endless lockdown is the beginning of the process of taking us past domestication into total
[00:16:27.020 --> 00:16:29.582]  Incomplete dehumanization.
[00:16:29.582 --> 00:16:35.727]  Human life will be impossible to be carried out in an original biological way by the year 2050.
[00:16:35.727 --> 00:16:39.551]  This is their stated goal.
[00:16:39.551 --> 00:16:47.818]  I'm sorry to have to report horrifying things like this to you, but only by facing the horror and not projecting your own decency onto the enemy.
[00:16:47.818 --> 00:16:49.000]  Let me turn this around.
[00:16:49.820 --> 00:16:51.801]  You must study their own writings.
[00:16:51.801 --> 00:16:53.442]  You must face the facts.
[00:16:53.442 --> 00:16:55.203]  And you must come to grips with it.
[00:16:55.203 --> 00:16:57.384]  You're all being incrementally destroyed.
[00:16:57.384 --> 00:17:02.266]  As I taped this announcement, we were exactly 14 days out from the election.
[00:17:02.266 --> 00:17:07.229]  And the globalist-controlled Democrats know that America has woken up to them and turned against them.
[00:17:07.229 --> 00:17:10.370]  The whole planet is in a huge populist realignment.
[00:17:10.370 --> 00:17:17.534]  And so they've openly said, we need to go to pure authoritarianism, not just censorship, but physically attacking and arresting
[00:17:18.494 --> 00:17:29.682]  Anyone that doesn't submit to our agenda, and they're on record saying that once they remove Trump, they are going to persecute Trump's base and going to try to prosecute us and put us all in prison.
[00:17:29.682 --> 00:17:32.844]  This is what all the old Clinton-esers are saying.
[00:17:32.844 --> 00:17:35.106]  It's what the Obama-bots are saying.
[00:17:35.106 --> 00:17:36.547]  It's what Keith Overman's saying.
[00:17:36.547 --> 00:17:37.808]  It's what Nancy Pelosi's saying.
[00:17:39.119 --> 00:17:43.380]  This is their stated criminal authoritarian intent.
[00:17:43.380 --> 00:17:46.902]  And they intend to keep the lockdowns going forever and forced inoculations.
[00:17:46.902 --> 00:17:51.463]  Trump is trying to end the lockdowns and is saying vaccines will be voluntary.
[00:17:51.463 --> 00:17:53.284]  Donald Trump or die.
[00:17:53.284 --> 00:17:54.624]  We've got to get Trump in.
[00:17:54.624 --> 00:18:00.466]  Everybody get out there and vote and tell your family to vote now.
[00:18:00.466 --> 00:18:03.087]  You're listening to the Alex Jones Show.
[00:18:19.488 --> 00:18:22.569]  Trump knows he's going to win the election.
[00:18:22.569 --> 00:18:24.349]  And winning isn't everything.
[00:18:24.349 --> 00:18:26.250]  As Stalin said, it's a matter of votes.
[00:18:26.250 --> 00:18:29.090]  It's who counts the votes.
[00:18:29.090 --> 00:18:30.971]  The threat is real.
[00:18:30.971 --> 00:18:35.172]  America's great nation.
[00:18:35.172 --> 00:18:37.213]  Waging war on corruption.
[00:18:37.213 --> 00:18:38.933]  It's Alex Jones.
[00:18:38.933 --> 00:18:42.274]  Coming to you live from the front lines of the Infowar.
[00:18:44.645 --> 00:18:47.707]  Here we are, toe-to-toe, with the New World Order.
[00:18:47.707 --> 00:18:55.292]  The Tchaikons, the global master bankers, the genetic engineers, big tech, all the left, devil worshippers worldwide.
[00:18:55.292 --> 00:18:58.374]  Radical Islam aligned with them.
[00:18:58.374 --> 00:19:01.876]  With their great general Satan in command.
[00:19:01.876 --> 00:19:09.001]  Fusing together through a world fascist system, all these disparate groups into a giant battle axe, trying to destroy what's left of Christendom.
[00:19:10.009 --> 00:19:12.432]  Only our slumber empowers the devil.
[00:19:12.432 --> 00:19:14.434]  We must awaken and become born again.
[00:19:14.434 --> 00:19:22.322]  Now, let me just tell you what's coming up for the rest of the show, because I keep plowing into the COVID news.
[00:19:22.322 --> 00:19:23.583]  Don't want to scratch the surface.
[00:19:23.583 --> 00:19:24.384]  I'll do that next segment.
[00:19:24.384 --> 00:19:27.948]  I want to hit this laptop news, which is a giant October surprise.
[00:19:29.448 --> 00:19:31.269]  Because it's what we already knew.
[00:19:31.269 --> 00:19:40.592]  Just like his father goes on TV and says, yeah, they were gonna, you know, investigate me for Burisma, so I said, fire the prosecutor or you don't get a billion bucks, and they fired him that day.
[00:19:40.592 --> 00:19:44.133]  Son of a bitch!
[00:19:44.133 --> 00:19:55.157]  I was just reading about a rapper that made millions of dollars off of rap songs, bragging about crimes he'd committed, and the cops went and checked it, and they were true crimes he'd committed.
[00:19:55.157 --> 00:19:56.138]  So now he's gone to prison.
[00:19:56.138 --> 00:19:57.198]  I saw that in the news last night.
[00:20:00.299 --> 00:20:07.683]  I mean, this is what criminals do, ladies and gentlemen.
[00:20:07.683 --> 00:20:11.626]  There was an article, I guess last night, about a rapper that you guys could type it in.
[00:20:11.626 --> 00:20:21.772]  I thought I had it here on the stack, but he ripped off the federal government for 1.2 million dollars in just one scam, and then did a rap video about how he did it.
[00:20:21.772 --> 00:20:24.754]  And again, normal people go, why would you commit a crime and brag about it?
[00:20:24.754 --> 00:20:26.154]  Because you're not a criminal.
[00:20:26.154 --> 00:20:28.536]  You don't understand that they get off on doing the bad.
[00:20:30.430 --> 00:20:46.057]  So why would Hunter Biden go around with a laptop with 25,000 photos and videos of him smoking crack, him smoking meth?
[00:20:46.057 --> 00:20:50.279]  Why would he tweet photos of all his teeth falling out?
[00:20:50.279 --> 00:20:52.020]  Why would he do all that?
[00:20:52.020 --> 00:20:53.721]  Why would he send emails around going, hey,
[00:20:56.004 --> 00:20:59.946]  Yes, we'll follow your orders to end the criminal investigations into your company.
[00:20:59.946 --> 00:21:03.609]  I want an extra 30 million.
[00:21:03.609 --> 00:21:06.390]  Tells his family, hey, I've got you these cush jobs, but don't worry.
[00:21:06.390 --> 00:21:08.772]  You don't have to kick back 50% to me.
[00:21:08.772 --> 00:21:10.693]  They don't deny it's real.
[00:21:10.693 --> 00:21:17.237]  In fact, his lawyer comes out, has been talking to the shop, and they released the emails trying to get the laptop back, but it was too late.
[00:21:17.237 --> 00:21:20.779]  He'd already gone to the FBI.
[00:21:20.779 --> 00:21:22.180]  And then the FBI did nothing.
[00:21:24.264 --> 00:21:25.985]  And so the rest is history.
[00:21:25.985 --> 00:21:27.746]  But think about the new spin.
[00:21:27.746 --> 00:21:33.630]  And you knew this would happen when this broke last Thursday.
[00:21:33.630 --> 00:21:37.672]  They knew about this laptop a year ago.
[00:21:37.672 --> 00:21:39.594]  The FBI got it first, they said, seven months ago.
[00:21:39.594 --> 00:21:40.734]  Now it turns out 11 months ago.
[00:21:40.734 --> 00:21:42.195]  Remember the FBI put out a story?
[00:21:42.195 --> 00:21:42.235]  Oh!
[00:21:43.806 --> 00:21:48.889]  The Russians are trying to get the Biden's laptops and computers.
[00:21:48.889 --> 00:21:51.651]  They knew that they'd just gotten this from the computer shop.
[00:21:51.651 --> 00:21:53.952]  They knew that the Republicans are going to be made aware of it.
[00:21:53.952 --> 00:22:03.778]  So they planted that story parallel constructed that it was Russians when there's no evidence of that.
[00:22:03.778 --> 00:22:08.861]  Think about how these people operate.
[00:22:08.861 --> 00:22:12.403]  And it changes the subject to who cares if the tooth fairy got it?
[00:22:12.403 --> 00:22:13.064]  Who cares if the
[00:22:14.264 --> 00:22:15.825]  The Japanese got it.
[00:22:15.825 --> 00:22:17.325]  You know the Chinese have got it.
[00:22:17.325 --> 00:22:22.787]  It's blackmail, so the only way to stop the blackmail and the takeover of your country is to expose it.
[00:22:22.787 --> 00:22:27.249]  Oh no, but the FBI, besides to cover it up, is at the top.
[00:22:27.249 --> 00:22:33.851]  They work with the globalists that are working with China who want a controlled president in there that they've got by the short hairs.
[00:22:33.851 --> 00:22:34.871]  And that's who Biden is.
[00:22:34.871 --> 00:22:37.332]  He's the perfect puppet that can hardly talk.
[00:22:37.332 --> 00:22:39.493]  And then another puppet, Kamala Harris, right there.
[00:22:41.877 --> 00:22:42.757]  And so now they're doing it.
[00:22:42.757 --> 00:22:43.458]  Here's the headline.
[00:22:43.458 --> 00:22:50.120]  Hunter Biden's laptop is not some Russia disinformation campaign DNI Ratcliffe slams Schiff.
[00:22:50.120 --> 00:22:50.760]  Here's another one.
[00:22:50.760 --> 00:22:52.201]  The emails are Russian.
[00:22:52.201 --> 00:22:57.843]  They've already got Clapper and Brennan running around who just tried to sell the country out.
[00:22:57.843 --> 00:22:59.143]  Oh, another zero-edge article.
[00:22:59.143 --> 00:23:03.205]  Does this explain why Facebook was so quick to suppress Hunter Biden's revelations?
[00:23:03.205 --> 00:23:05.926]  They all formerly worked for Biden.
[00:23:05.926 --> 00:23:09.287]  The top Facebook people, the top Twitter people, they all work for the DNC.
[00:23:13.131 --> 00:23:16.553]  But you see the Republicans didn't do anything when everybody else got censored.
[00:23:16.553 --> 00:23:18.174]  So now it's the New York Post.
[00:23:18.174 --> 00:23:19.574]  Now it's members of Congress.
[00:23:19.574 --> 00:23:20.875]  Now it's Matt Gaetz.
[00:23:20.875 --> 00:23:25.777]  Now it's... everybody.
[00:23:25.777 --> 00:23:26.598]  Because why not?
[00:23:26.598 --> 00:23:27.758]  We keep rolling over.
[00:23:27.758 --> 00:23:32.861]  So here's the Director of National Intelligence, who is a good guy, Ratcliffe, laying this out.
[00:23:32.861 --> 00:23:34.862]  But notice we don't get to see what's in it.
[00:23:34.862 --> 00:23:36.063]  We don't talk about what's in it.
[00:23:36.063 --> 00:23:37.023]  That's not on the news.
[00:23:37.023 --> 00:23:38.604]  We just are told it's the Russians.
[00:23:38.604 --> 00:23:40.325]  So it's this get-out-of-jail-free card that
[00:23:41.291 --> 00:23:50.756]  Hunter Biden can reportedly rape 10-year-old girls, beat them, torture them, is what the witnesses say, who first broke all this, and they don't even deny it.
[00:23:50.756 --> 00:23:52.457]  They just say, well, it's the Russians.
[00:23:52.457 --> 00:23:54.598]  So, Hunter Biden could what?
[00:23:54.598 --> 00:23:57.520]  Blow up a sports stadium with a hydrogen bomb?
[00:23:57.520 --> 00:24:02.102]  Because, you know, and then if the Russians videotaped it, would it be their better fault?
[00:24:02.102 --> 00:24:08.306]  These are some magical creatures, these Russians, because they get you out of all the trouble you're in for the incredible crimes.
[00:24:08.306 --> 00:24:09.826]  They just say, oh, you don't get to see that.
[00:24:09.826 --> 00:24:10.567]  It's the Russians.
[00:24:12.278 --> 00:24:19.323]  You know, maybe you're 10 years old, you open the bedroom door, your mom and dad are having sex, and they go, you didn't say anything, it's the Russians.
[00:24:19.323 --> 00:24:21.884]  Or maybe your wife comes home and you're drunk with a bottle of Jack Daniels.
