[00:00:07.261 --> 00:00:09.222]  Yippee-I-Yay!
[00:08:06.037 --> 00:08:30.697]  I have spent hundreds of hours reading the studies, the literature, looking at the mutations, looking at what the scientists are saying, and they are in a consensus, unequivocal, that it's man-made and that it reinfects and it attacks one particular tissue more than the lungs, the testicles.
[00:08:30.697 --> 00:08:31.777]  Of course it does.
[00:08:33.499 --> 00:08:44.489]  We even have the Rockefeller white papers about bringing in a worldwide police state and a lockstep authoritarian clampdown.
[00:08:44.489 --> 00:08:46.811]  Those are words they use.
[00:08:46.811 --> 00:08:59.382]  Getting the world in lockstep, you know, like Nazi soldiers doing their high legged march like robots and the horses all
[00:09:01.036 --> 00:09:02.877]  Robots.
[00:09:02.877 --> 00:09:07.298]  The tanks all in geometric patterns like robots.
[00:09:07.298 --> 00:09:08.839]  Hitler loved it.
[00:09:08.839 --> 00:09:09.799]  Stalin loved it.
[00:09:09.799 --> 00:09:10.600]  Mao loved it.
[00:09:10.600 --> 00:09:15.341]  Kim Jong-il and his son Kim Jong-un loved it.
[00:09:15.341 --> 00:09:19.983]  Watching you behave like androids.
[00:09:19.983 --> 00:09:24.665]  Lockstep.
[00:09:24.665 --> 00:09:25.425]  You don't think
[00:09:30.660 --> 00:09:33.201]  This thing just came out of nowhere.
[00:09:33.201 --> 00:09:33.881]  No.
[00:09:33.881 --> 00:09:37.301]  The pre-scripting, the choreography, the pre-programming.
[00:09:37.301 --> 00:09:45.103]  It is absolutely the big globalist world government play.
[00:09:45.103 --> 00:09:53.785]  And the virus targets the old, who are no longer useful to the globalists that Bill Gates openly said we need to target.
[00:09:53.785 --> 00:09:54.725]  I can play the videos.
[00:09:54.725 --> 00:09:55.405]  We have.
[00:09:55.405 --> 00:09:57.305]  Everybody's seen them.
[00:09:57.305 --> 00:09:59.586]  And it targets men's testicles.
[00:10:02.333 --> 00:10:10.938]  Just like the HPV shot targets women's ovaries and boys and men's testicles.
[00:10:10.938 --> 00:10:11.839]  You can pull the studies up.
[00:10:11.839 --> 00:10:13.880]  Cyphing Gardasil, infertility.
[00:10:13.880 --> 00:10:16.862]  Gardasil, ovaries.
[00:10:16.862 --> 00:10:19.043]  Gardasil, testicles.
[00:10:19.043 --> 00:10:21.044]  And that too was an experimental vaccine.
[00:10:21.044 --> 00:10:22.365]  They couldn't get approved.
[00:10:22.365 --> 00:10:27.388]  Merck couldn't get it approved for a decade because it killed so many people and caused autoimmune diseases.
[00:10:31.897 --> 00:10:33.958]  And now it's all over the news.
[00:10:33.958 --> 00:10:41.981]  When you read the actual study by major hospitals, universities in China, the testicles are bloody, lacerated pulp.
[00:10:41.981 --> 00:10:47.663]  It says the majority of men that contract it are sterilized.
[00:10:47.663 --> 00:10:52.545]  That's a little key piece of intel.
[00:10:52.545 --> 00:10:56.806]  We knew eight weeks ago that it reinfected.
[00:10:56.806 --> 00:11:01.148]  That was in the Taiwanese and Hong Kong newspapers.
[00:11:03.820 --> 00:11:12.684]  And Mike Adams did a great job translating those into English at naturalnews.com that we reposted at newswars.com.
[00:11:12.684 --> 00:11:20.187]  And it says the majority of men are made infertile to the point of sterility.
[00:11:20.187 --> 00:11:31.152]  Now already the average Western man has a 90% to 97% sperm reduction by age 20 than what they did in the 1950s.
[00:11:35.779 --> 00:11:44.202]  And if you're a radio listener, we're simulcasting television at infowars.com forward slash show and band on video.
[00:11:44.202 --> 00:11:47.343]  We're putting up articles.
[00:11:47.343 --> 00:11:48.604]  They don't even get me before the show.
[00:11:48.604 --> 00:11:49.804]  I just start mentioning things.
[00:11:49.804 --> 00:11:55.146]  They type it in and sure enough, they pull up mainstream news about Gardasil sterilizing you.
[00:11:55.146 --> 00:11:59.388]  About COVID-19.
[00:11:59.388 --> 00:12:03.169]  Basically eating your testicles.
[00:12:03.169 --> 00:12:04.210]  And eating the ducts.
[00:12:05.384 --> 00:12:13.755]  Through which the sperm and semen go so that it can't even operate.
[00:12:13.755 --> 00:12:18.201]  The headlines though, I tell you to walk the plank in the middle of the North Atlantic.
[00:12:18.201 --> 00:12:19.282]  Oh, you might freeze to death.
[00:12:19.282 --> 00:12:20.263]  No, you're going to freeze to death.
[00:12:20.263 --> 00:12:23.708]  If you fall into that water in about 60 seconds, it's below zero.
[00:12:25.089 --> 00:12:26.911]  Idiots will go, well, isn't it frozen?
[00:12:26.911 --> 00:12:29.093]  Saltwater doesn't freeze at that temp.
[00:12:29.093 --> 00:12:29.674]  Excuse me.
[00:12:29.674 --> 00:12:33.357]  Point is, is that, oh, it may cause infertility.
[00:12:33.357 --> 00:12:34.398]  You read the studies.
[00:12:34.398 --> 00:12:38.462]  Bloody pulps!
[00:12:38.462 --> 00:12:43.767]  It's a virus made to eat your testicles.
[00:12:43.767 --> 00:12:46.550]  So people will say, well, Jones, you first said it was man-made.
[00:12:46.550 --> 00:12:47.871]  You showed the studies.
[00:12:47.871 --> 00:12:49.273]  And you said it looked like it was really bad.
[00:12:51.510 --> 00:12:52.910]  And then you said, whoa, don't panic.
[00:12:52.910 --> 00:12:59.552]  Well, yeah, panicking and acting like this will make us lose all of our liberties and freedoms.
[00:12:59.552 --> 00:13:01.453]  And this virus, they say, is going to be here forever.
[00:13:01.453 --> 00:13:02.973]  It's never going away.
[00:13:02.973 --> 00:13:10.935]  It's going to be seasonal, like the flu, except it eats your testicles.
[00:13:10.935 --> 00:13:13.576]  Now you know why Bill Gates is hopping around smiling so much.
[00:13:14.943 --> 00:13:17.345]  He says we need to get rid of the old people and save money.
[00:13:17.345 --> 00:13:18.045]  Everybody claps.
[00:13:18.045 --> 00:13:21.368]  He says we need to reduce the human population down to zero at the TED Talk.
[00:13:21.368 --> 00:13:22.829]  Everybody claps.
[00:13:22.829 --> 00:13:28.232]  The man is a psychotic!
[00:13:28.232 --> 00:13:30.394]  And I'm so over the target on his ass.
[00:13:30.394 --> 00:13:37.939]  He has produced at least five TV shows and movies I know of that he pays for.
[00:13:37.939 --> 00:13:41.502]  Where I'm attacked by name.
[00:13:41.502 --> 00:13:41.762]  Others
[00:13:45.626 --> 00:13:48.607]  Like The Good Doctor on ABC.
[00:13:48.607 --> 00:13:49.788]  It's Alex Jones' character.
[00:13:49.788 --> 00:13:51.028]  They admit it's Alex Jones' character.
[00:13:51.028 --> 00:13:52.329]  And I went, that's Bill Gates.
[00:13:52.329 --> 00:13:55.430]  I went and searched the director and the producer works for Bill Gates.
[00:13:55.430 --> 00:13:56.631]  And Bill Gates funded it.
[00:13:56.631 --> 00:13:58.132]  Took me two minutes to find that.
[00:13:58.132 --> 00:14:00.172]  I'll say that again.
[00:14:00.172 --> 00:14:10.237]  Bill Gates pays for ABC drama hospital shows where I'm an insane liar and that no vaccines ever hurt anyone and everything's fine.
[00:14:10.237 --> 00:14:14.879]  Even though the head scientist of the UN on December 2nd at the
[00:14:18.155 --> 00:14:18.695]  W.H.O.
[00:14:18.695 --> 00:14:46.888]  headquarters in the Swiss Alps said, and we played the video here, got no coverage, other than a couple million views on Banned.Video, thank God, that vaccines aren't tested, and they are killing and hurting people, and that their own doctors know it, and there's a total rebellion, and that the front line is wobbly, and the cover-up can't continue, and that they're scared for their own families, and that they would not give people vaccines with adjuvants.
[00:14:49.893 --> 00:14:52.356]  Seven different scientists we played clips of here.
[00:14:52.356 --> 00:14:54.217]  That was just like 15 minutes of video.
[00:14:54.217 --> 00:14:57.481]  There's two days of it.
[00:14:57.481 --> 00:14:59.102]  19 hours of it.
[00:14:59.102 --> 00:15:04.908]  Rob Dews sat up here for two days and watched all of it.
[00:15:04.908 --> 00:15:08.191]  On the weekend while his children were at home.
[00:15:08.191 --> 00:15:12.616]  Because he understands they have to have somebody that does the research.
[00:15:16.283 --> 00:15:19.646]  So, this is a big plan about the world and the future.
[00:15:19.646 --> 00:15:23.389]  And in the future, you and your family aren't in it.
[00:15:23.389 --> 00:15:30.815]  So remember in a couple years when they go, oh my gosh, COVID-19 literally sterilized most men on earth.
[00:15:30.815 --> 00:15:40.303]  Just remember, it's man-made, on record, and Obama sold them the precursor chimera virus in 2015.
[00:15:40.303 --> 00:15:43.246]  It's in Science and all the other big publications.
[00:15:44.384 --> 00:15:48.566]  We are under soft-kill bio-weapon attacks.
[00:15:48.566 --> 00:15:51.308]  But I'll explain soft-kill later.
[00:15:51.308 --> 00:15:56.131]  It reinfects, reinfects, reinfects, reinfects to sap the money and bankrupt the country.
[00:15:56.131 --> 00:15:57.892]  Then you die.
[00:15:57.892 --> 00:16:04.015]  Get healthy, not high, with 100% pure CBD powerful natural pain relief from Veterans Vitality.
[00:16:04.015 --> 00:16:07.817]  GCN listeners, have you ever thought about how CBD may help you?
[00:16:07.817 --> 00:16:10.438]  I'm sure you've heard about the many benefits of CBD.
[00:16:10.438 --> 00:16:12.900]  Well, here's your opportunity to try before you buy.
[00:16:13.240 --> 00:16:13.900]  We're good to go.
[00:16:13.900 --> 00:16:14.741]  We're good to go.
[00:16:14.741 --> 00:16:15.201]  We're good to go.
[00:16:15.201 --> 00:16:15.701]  We're good to go.
[00:16:15.701 --> 00:16:16.242]  We're good to go.
[00:16:16.242 --> 00:16:16.842]  We're good to go.
[00:16:16.842 --> 00:16:17.222]  We're good to go.
[00:16:17.222 --> 00:16:17.603]  We're good to go.
[00:16:17.603 --> 00:16:18.103]  We're good to go.
[00:16:18.103 --> 00:16:18.503]  We're good to go.
[00:16:18.503 --> 00:16:19.003]  We're good to go.
[00:16:19.003 --> 00:16:19.644]  We're good to go.
[00:16:19.644 --> 00:16:20.064]  We're good to go.
[00:16:20.064 --> 00:16:20.784]  We're good to go.
[00:16:20.784 --> 00:16:21.685]  We're good to go.
[00:16:21.685 --> 00:16:22.205]  We're good to go.
[00:16:22.205 --> 00:16:22.706]  We're good to go.
[00:16:22.706 --> 00:16:23.326]  We're good to go.
[00:16:23.326 --> 00:16:24.006]  We're good to go.
[00:16:24.006 --> 00:16:24.507]  We're good to go.
[00:16:24.507 --> 00:16:25.007]  We're good to go.
[00:16:25.007 --> 00:16:25.867]  We're good to go.
[00:16:25.867 --> 00:16:26.288]  We're good to go.
[00:16:26.288 --> 00:16:26.988]  We're good to go.
[00:16:26.988 --> 00:16:27.668]  We're good to go.
[00:16:27.668 --> 00:16:28.229]  We're good to go.
[00:16:28.229 --> 00:16:28.649]  We're good to go.
[00:16:28.649 --> 00:16:29.410]  We're good to go.
[00:16:29.410 --> 00:16:29.850]  We're good to go.
[00:16:29.850 --> 00:16:30.330]  We're good to go.
[00:16:30.330 --> 00:16:30.930]  We're good to go.
[00:16:30.930 --> 00:16:31.491]  We're good to go.
[00:16:31.491 --> 00:16:32.351]  We're good to go.
[00:16:32.351 --> 00:16:32.972]  We're good to go.
[00:16:32.972 --> 00:16:33.712]  We're good to go.
[00:16:33.712 --> 00:16:34.352]  We're good to go.
[00:16:34.352 --> 00:16:34.913]  We're good to go.
[00:16:34.913 --> 00:16:35.153]  We're
[00:16:35.493 --> 00:16:37.655]  Our products do not contain THC.
[00:16:37.655 --> 00:16:41.137]  They are safe, non-addictive, effective, and 100% legal.
[00:16:41.137 --> 00:16:48.762]  GCN listeners, get your free trial bottle of premium CBD by simply paying shipping and handling at GCNFreeCBD.com.
[00:16:48.762 --> 00:16:51.244]  That's GCNFreeCBD.com.
[00:16:51.244 --> 00:16:53.865]  Again, GCNFreeCBD.com.
[00:16:53.865 --> 00:16:55.927]  Offered by Veterans Vitality Premium CBD.
[00:16:57.580 --> 00:17:01.021]  Attention all radio listeners who still need food supplies.
[00:17:01.021 --> 00:17:10.383]  If you've thought about the implication of food-related supply chain disruptions and are concerned about the coming quarantines, this will be the most important message you will ever hear.
[00:17:10.383 --> 00:17:11.324]  Here's why.
[00:17:11.324 --> 00:17:15.385]  In the next few days, all Americans will face extremely hard choices.
[00:17:15.385 --> 00:17:23.087]  If we've learned anything from China and Italy, it's that quarantines and enforced lockdowns are just a few days away here in the U.S.
[00:17:23.487 --> 00:17:31.673]  Listen, while dehydrated food is becoming scarce, you can still get enough open-pollinated heirloom seeds to grow a one-acre crisis garden.
[00:17:31.673 --> 00:17:38.458]  The truth is, growing nutrient-dense vegetables in the days ahead may actually be the single most important thing you do.
[00:17:38.458 --> 00:17:43.862]  Go to survivalseabank.com and watch the new video to understand the nature of the threat.
[00:17:43.862 --> 00:17:45.523]  This could be life-saving.
[00:17:45.523 --> 00:17:48.405]  Lockdowns can last from six to eight weeks.
[00:17:48.405 --> 00:17:49.666]  Get free bonus seeds.
[00:17:49.986 --> 00:17:51.869]  Special quarantine reports, too.
[00:17:51.869 --> 00:17:54.193]  Go to survivalseedbank.com.
[00:17:54.193 --> 00:17:58.860]  That's survivalseedbank.com.
[00:17:58.860 --> 00:17:59.962]  There is a paradox.
[00:18:01.158 --> 00:18:04.739]  Yes, this virus is deadly and does kill people.
[00:18:04.739 --> 00:18:11.782]  And so do many other countless viruses that have already existed, that do exist, and will exist.
[00:18:11.782 --> 00:18:22.805]  But when Trump says the cure is worse than disease, he's talking about the media hype creating hysteria and trying to create uncertainty.
[00:18:22.805 --> 00:18:24.826]  And it is that that I oppose.
[00:18:25.646 --> 00:18:44.213]  It is not the American way to cower and live in fear and to follow the edicts and precedents set by Communist China and hyper-authoritarian Singapore, where you're now being given six months in jail if you don't stand at least six feet away from someone.
[00:18:44.973 --> 00:18:55.638]  This is being used by social engineers, and they admit that they are trying to transform our world forever into something unrecognizable from what it's been.
[00:18:55.638 --> 00:18:58.900]  We are not slaves, and we must not act like it.
[00:18:58.900 --> 00:19:06.423]  One of our best-selling products is Living Defense, and it's been sold out for over four months because it's hard to source the ingredients that are organic.
[00:19:06.423 --> 00:19:12.586]  We've got a limited supply right now, but it's selling out fast, and I want those of you that haven't experienced Living Defense to get it for yourself.
[00:19:12.586 --> 00:19:14.047]  Here's just part of one testimonial.
[00:19:14.267 --> 00:19:16.931]  Look, in January 2016, I went in a hospital.
[00:19:16.931 --> 00:19:20.435]  I went in a VA hospital out here in Boise, and I was in there until June.
[00:19:20.435 --> 00:19:29.708]  And one of the only things that got me through that ordeal was listening to InfoWars three hours a day, and I kept hearing Dr. Group and all you guys talking about living defense.
[00:19:29.708 --> 00:19:30.569]  Let me tell you something, man.
[00:19:30.689 --> 00:19:35.673]  I had an internal digestive problem and I suffered with it for about five or six years.
[00:19:35.673 --> 00:19:37.554]  And the doctors, they tried every test.
[00:19:37.554 --> 00:19:39.035]  Nobody could figure out what it is.
[00:19:39.035 --> 00:19:43.038]  And then every day when I kept hearing you and Dr. Group and those commercials, I said, you know what?
[00:19:43.038 --> 00:19:45.219]  I'm going to get me some of that freaking Living Defense.
[00:19:45.219 --> 00:19:48.242]  Now, I wasn't supposed to have any nutritions because they don't want you to have it.
[00:19:48.242 --> 00:19:50.103]  But I ordered it, had it shipped to me.
[00:19:50.103 --> 00:19:50.643]  I got it.
[00:19:50.643 --> 00:19:51.884]  I hid it from the nurses.
[00:19:51.884 --> 00:19:52.925]  I started taking it.
[00:19:52.925 --> 00:19:54.966]  Man, that stuff changed my life.
[00:19:54.966 --> 00:19:55.907]  It saved my life.
[00:19:55.907 --> 00:19:58.629]  Alex Jones and InfoWars saved my life.
[00:20:01.866 --> 00:20:19.862]  You're listening to the Alex Jones Show.
[00:20:19.862 --> 00:20:22.504]  Waging war on corruption.
[00:20:22.504 --> 00:20:27.709]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:20:30.971 --> 00:20:53.110]  To have microchip identification devices implanted into their body.
[00:20:53.976 --> 00:21:22.141]  Got a long line of heartache, I carry it well The list of lives I've broken reach from here to hell Bad luck wind been blowing at my back I pray you don't look at me, I pray I don't look back
[00:21:23.084 --> 00:21:32.569]  Infowars is the definition of Americana and is the definition of outlaw radio and television.
[00:21:32.569 --> 00:21:37.232]  And it's because we just tell the truth and let the chips fall where they may.
[00:21:37.232 --> 00:21:40.454]  We don't follow the globalist disinformation and talking points.
[00:21:40.454 --> 00:21:42.695]  Welcome back, I'm your host Alex Jones.
[00:21:42.695 --> 00:21:50.079]  Now next segment I'm going to get into the big picture, the soft kill, how this empowers every facet of the globalist agenda.
[00:21:52.469 --> 00:21:54.531]  And then I'll cover the latest breaking news and information.
[00:21:54.531 --> 00:21:58.394]  But first, I want to talk about hope.
[00:21:58.394 --> 00:22:01.416]  The globalists want to kill hope.
[00:22:01.416 --> 00:22:07.701]  And you see Nancy Pelosi come out and say, every death is Trump's fault because he's fiddling around.
[00:22:07.701 --> 00:22:09.302]  Played that clip yesterday.
[00:22:09.302 --> 00:22:21.472]  Well, now they've dug up the clips of her in late February, a month ago, saying, do not social distance, go out in public, congregate in San Francisco.
[00:22:22.481 --> 00:22:24.902]  Again, this is insane.
[00:22:24.902 --> 00:22:28.983]  They're the ones that said don't block flights from China.
[00:22:28.983 --> 00:22:34.445]  For two weeks, a federal judge even tried to block Trump, a Democrat.
[00:22:34.445 --> 00:22:35.826]  Well, what happened last week?
[00:22:35.826 --> 00:22:44.589]  I got banned off of the Google app that was very popular, been around three years for the show.
[00:22:44.589 --> 00:22:47.030]  And why did they do that?
[00:22:47.030 --> 00:22:51.912]  They said Jones in a video talked about promising treatments.
[00:22:54.056 --> 00:22:57.479]  Hydroxychloroquine, zinc, and Z-Pak.
[00:22:57.479 --> 00:22:59.700]  I was quoting the president.
[00:22:59.700 --> 00:23:02.682]  I was quoting doctors on Fox News.
[00:23:02.682 --> 00:23:06.505]  Democrat governors responded in 20 states.
[00:23:06.505 --> 00:23:19.395]  Now, Michigan, California, and New York, ordering doctors to not prescribe it, even though Fauci's on record saying he would prescribe it to someone diagnosed with COVID-19.
[00:23:22.751 --> 00:23:26.614]  Think about the magnitude of this.
[00:23:26.614 --> 00:23:42.705]  The President of Brazil, Donald Trump of South America, came out and said, Zinc, Z-packs, hydroxychloroquine, don't be in fear.
[00:23:42.705 --> 00:23:50.511]  He said, we don't close automobile plants because tens of thousands of people die a month in automobile accidents in Brazil.
[00:23:52.176 --> 00:23:55.058]  We take precautions, but we don't run in panic and fear.
[00:23:55.058 --> 00:23:58.159]  Twitter banned those tweets.
[00:23:58.159 --> 00:24:08.225]  So a president can't say hydroxychloroquine because it's 97-98% effective in those they catch early.
[00:24:08.225 --> 00:24:11.086]  In the EU studies, I mean Trump was just covering that.
[00:24:11.086 --> 00:24:17.109]  Trump even in press conferences says, well we're doing tests now, hopefully it'll work well.
[00:24:17.109 --> 00:24:18.570]  The FDA backed down, folks.
[00:24:18.570 --> 00:24:19.571]  The Democrats backed down.
[00:24:20.768 --> 00:24:21.528]  Here it is.
[00:24:21.528 --> 00:24:23.189]  ABC News.
[00:24:23.189 --> 00:24:24.489]  Coronavirus.
[00:24:24.489 --> 00:24:25.350]  Live updates.
[00:24:25.350 --> 00:24:29.351]  FDA gives anti-malaria drugs emergency approval to treat COVID-19.
[00:24:29.351 --> 00:24:33.073]  Because the doctors rebelled so hard.
[00:24:33.073 --> 00:24:46.518]  The bureaucrats and Democrat governors literally just banned Malasaro for saying what Trump and doctors say.
[00:24:46.518 --> 00:24:47.158]  They banned me!
[00:24:48.157 --> 00:24:52.759]  The video they linked to in the articles on Banned.Video.
[00:24:52.759 --> 00:24:54.720]  And it's where I'm bitching about Democrat governors.
[00:24:54.720 --> 00:24:57.541]  It was 10 governors at that time, last Tuesday.
[00:24:57.541 --> 00:24:58.841]  Took them a few days to get me banned.
[00:24:58.841 --> 00:24:59.922]  And I was saying, how dare them?
[00:24:59.922 --> 00:25:05.564]  And I was showing you studies and medical reports that it's 90 plus percent effective.
[00:25:05.564 --> 00:25:09.285]  And that the FDA was blocking it.
[00:25:09.285 --> 00:25:10.326]  What the hell?
[00:25:12.182 --> 00:25:14.343]  Because they want total panic.
[00:25:14.343 --> 00:25:15.383]  Because they're behind it.
[00:25:15.383 --> 00:25:17.524]  They're with the globalists, they're with the chi-coms.
[00:25:17.524 --> 00:25:21.745]  It's a real virus, but it's an attack on our economy.
[00:25:21.745 --> 00:25:24.846]  Unbelievable!
