[00:00:00.209 --> 00:00:01.549]  It was all pre-planned.
[00:17:11.721 --> 00:17:15.242]  They have different policies, they follow different ideas, different schools of thought.
[00:17:15.462 --> 00:17:17.602]  But the UN said you intubate them.
[00:17:19.443 --> 00:17:23.584]  If they come in with a fever and coughing, you stick a tube down their throat.
[00:17:24.804 --> 00:17:25.784]  And then right away they went away.
[00:17:25.804 --> 00:17:26.984]  That actually killed people in Europe.
[00:17:27.064 --> 00:17:27.965]  That doesn't work with this.
[00:17:28.005 --> 00:17:28.485]  Don't do that.
[00:17:28.525 --> 00:17:28.965]  Don't do that.
[00:17:29.889 --> 00:17:40.792]  Then it turned out in these blue states, now ten of them, they were following special recommendations from the UN about the pressure to set a debt, and doctors started going, wait a minute, all the other studies show this will kill you!
[00:17:41.072 --> 00:17:43.073]  They were murdering people!
[00:17:44.833 --> 00:17:50.495]  Because once they can get doctors and nurses in on murdering people, they can corrupt them.
[00:17:51.415 --> 00:17:57.257]  And now in all those blue cities and states, the governors, the democrats, the attorney generals like
[00:17:58.424 --> 00:18:18.551]  Letitia Gray, who ordered with the governor that you take people with pneumonia and supposed COVID-19 and all these other supposed viral problems, like the flu, into nursing homes, taking healthy asymptomatic people, putting them in with the one group they had a chance at killing!
[00:18:20.492 --> 00:18:24.113]  Mega, criminal, psychotic, premeditated.
[00:18:25.853 --> 00:18:27.194]  Too evil to fail is what they believe.
[00:18:28.103 --> 00:18:29.524]  Too horrible to admit.
[00:18:30.044 --> 00:18:36.446]  And then once they get you into a criminal conspiracy like that, and once the public doesn't stand up and say no, they can do anything.
[00:18:37.746 --> 00:18:45.729]  And now those governors in Michigan and New York and California and Pennsylvania and other areas have said, you hospitals and nursing homes, shut your mouth.
[00:18:45.789 --> 00:18:48.470]  We're going to indict you for letting people die.
[00:18:51.311 --> 00:18:53.372]  That's criminal energy.
[00:18:56.977 --> 00:18:59.659]  You can make a joke and watch a 1980s, you know, G.I.
[00:18:59.979 --> 00:19:09.344]  Joe where Cobra's like, I will release a virus that's actually harmless, but then I will kill people in the medical facilities, corrupting all the doctors and taking control.
[00:19:09.544 --> 00:19:10.945]  You'd say, oh, that's a ridiculous plot.
[00:19:11.285 --> 00:19:12.066]  They did it!
[00:19:16.007 --> 00:19:16.787]  And they've been caught.
[00:19:16.847 --> 00:19:19.088]  So here's Tucker Carlson last night.
[00:19:19.128 --> 00:19:21.269]  The full 12 minutes is up on InfoWars.com.
[00:19:21.509 --> 00:19:23.690]  Tucker Carlson, we were all played.
[00:19:23.710 --> 00:19:28.591]  And then we're going to show you pieces of the documentary from Journeyman Films, who's been censored before.
[00:19:29.172 --> 00:19:34.033]  That former head virologist at Rockefeller Hospital was on there, you know, laying out all this.
[00:19:34.093 --> 00:19:35.334]  And they took that down.
[00:19:36.014 --> 00:19:37.415]  So Journeyman Films are heroes.
[00:19:37.435 --> 00:19:40.776]  I hate to even single them out and give them attention, but they're getting tens of millions of views.
[00:19:41.826 --> 00:19:44.248]  They're the ones going out and interviewing just randomly.
[00:19:44.268 --> 00:19:44.989]  They go to hospitals.
[00:19:45.009 --> 00:19:46.310]  They weren't just talking to nurses and doctors.
[00:19:46.330 --> 00:19:47.451]  They go, yeah, it's all fraud.
[00:19:48.933 --> 00:19:50.715]  They've got dozens of people they've interviewed.
[00:19:50.755 --> 00:19:51.435]  It's incredible.
[00:19:52.857 --> 00:19:55.519]  And anything we think is going to get banned, we grab and put on banned on video.
[00:19:56.861 --> 00:19:58.602]  And of course, stuff we predict gets taken down.
[00:19:58.682 --> 00:19:59.944]  I predict this will be taken down.
[00:20:00.584 --> 00:20:01.645]  I'm surprised it's still up there.
[00:20:01.745 --> 00:20:03.187]  The hospital's not responded.
[00:20:04.548 --> 00:20:20.038]  So let's hear from Dr. Carlson, then we're gonna get to the documentary they don't want you to see, where she shows video off the computer screens, negative, negative, negative, and they order them to say it's positive, and then they put a tube down their throat and blow their lungs out.
[00:20:21.960 --> 00:20:28.304]  Because they got all that money, $39,000 for intubating, $14,000 for saying they had a sick patient.
[00:20:29.204 --> 00:20:29.645]  That's 52,000 clams.
[00:20:33.578 --> 00:20:34.699]  But it's about the corruption.
[00:20:34.719 --> 00:20:35.919]  It's about the human sacrifice.
[00:20:35.959 --> 00:20:36.860]  It's about the evil.
[00:20:37.780 --> 00:20:41.522]  Because they want to fully corrupt those hospitals where they can get away with anything.
[00:20:41.542 --> 00:20:42.883]  This is a testing process.
[00:20:43.383 --> 00:20:44.264]  A laboratory.
[00:20:44.304 --> 00:20:45.164]  A laboratory.
[00:20:45.664 --> 00:20:46.745]  Here is Tucker last night.
[00:20:47.751 --> 00:20:55.015]  Millions of Americans remain subjected to unprecedented restrictions on their personal lives, their daily lives, their families' lives.
[00:20:55.575 --> 00:20:58.437]  The coronavirus lockdowns continue in many places.
[00:20:58.457 --> 00:21:00.958]  You may not know that because it gets no publicity, but it's true.
[00:21:00.978 --> 00:21:02.539]  And if you're living under it, you definitely know.
[00:21:03.220 --> 00:21:07.202]  As a result of this, tens of millions of people are now unemployed.
[00:21:07.642 --> 00:21:10.123]  A huge number of them have no prospects of working again.
[00:21:10.544 --> 00:21:14.406]  Many thousands of small businesses are closed and will never reopen.
[00:21:15.126 --> 00:21:20.811]  More Americans have become dependent on drugs and alcohol, seen their marriages dissolve, become clinically depressed.
[00:21:21.332 --> 00:21:22.593]  Some of them delayed their weddings.
[00:21:22.913 --> 00:21:27.097]  Others were banned by the government from burying their loved ones in funerals.
[00:21:27.777 --> 00:21:31.080]  Some Americans will die of cancer because they couldn't get cancer screenings.
[00:21:31.561 --> 00:21:34.584]  Some unknown number have taken their own lives in despair.
[00:21:35.044 --> 00:21:40.008]  Others have flooded the streets to riot because bottled up rage and frustration take many forms.
[00:21:40.669 --> 00:21:47.854]  The cost of shutting down the United States and denying our citizens desperately needed contact with one another is hard to calculate.
[00:21:48.554 --> 00:21:49.775]  But the cost has been staggering.
[00:21:50.316 --> 00:21:53.418]  The people responsible for doing all of this say they have no regrets about it.
[00:21:53.818 --> 00:21:55.839]  We faced a global calamity, they say.
[00:21:56.300 --> 00:21:59.582]  COVID-19 was the worst pandemic since the Spanish flu.
[00:21:59.962 --> 00:22:01.703]  That flu killed 50 million people.
[00:22:02.204 --> 00:22:03.685]  We had no choice.
[00:22:03.925 --> 00:22:05.166]  We did the right thing.
[00:22:06.564 --> 00:22:07.505]  That's what they're telling us.
[00:22:08.346 --> 00:22:09.006]  Is it true?
[00:22:09.867 --> 00:22:16.674]  The answer to that question matters, not just because the truth always matters, but because the credibility of our leaders is at stake here.
[00:22:17.175 --> 00:22:19.577]  This is the biggest decision they have made in our lifetimes.
[00:22:20.037 --> 00:22:21.038]  They were able to make it.
[00:22:21.078 --> 00:22:23.100]  They rule because we let them.
[00:22:23.601 --> 00:22:25.042]  Their power comes from us.
[00:22:25.723 --> 00:22:28.825]  So the question now and always is, are they worthy of that power?
[00:22:29.386 --> 00:22:31.187]  That's not a conversation they want to have.
[00:22:31.287 --> 00:22:39.093]  And right now they don't have to have that conversation because right now all of us are distracted and mesmerized by the woke revolution underway outside.
[00:22:39.553 --> 00:22:41.635]  They just created a separate country in Seattle, huh?
[00:22:42.520 --> 00:22:44.401]  And as we said, we'll bring you the latest on that in just a minute.
[00:22:45.081 --> 00:22:54.784]  But we do think it's worth for a minute taking a pause to assess whether or not they were in fact lying to us about the coronavirus and our response to it.
[00:22:55.505 --> 00:22:56.605]  And the short answer is this.
[00:22:56.925 --> 00:22:58.846]  Yes, they were definitely lying.
[00:22:59.466 --> 00:23:03.988]  As a matter of public health, we can say conclusively the lockdowns were not necessary.
[00:23:04.909 --> 00:23:06.010]  In fact, we can prove that.
[00:23:06.210 --> 00:23:07.571]  And here's the most powerful evidence.
[00:23:08.052 --> 00:23:20.443]  States that never locked down at all, states where people were allowed to live like Americans and not cower indoors alone, in the end turned out no worse than states that had mandatory quarantines, the state you probably live in.
[00:23:23.025 --> 00:23:25.507]  Now ladies and gentlemen, let me give you the ultimate cherry on top.
[00:23:26.168 --> 00:23:29.151]  All run by the UN, all premeditated, all standardized.
[00:23:30.774 --> 00:23:42.700]  And remember, in all the blue states particularly, you couldn't see your family member in the hospital or at the nursing home while they were bringing people in that were positive with pneumonias to kill your family.
[00:23:43.520 --> 00:23:44.661]  That's the cherry on top.
[00:23:44.761 --> 00:23:52.085]  You can't come because you might have it, but someone that does have it, we want to bring them, but you can't be here so they could kill them.
[00:23:53.024 --> 00:23:57.407]  And study the hospital and nursing home workers to see who was against it, who wasn't.
[00:23:57.867 --> 00:24:03.291]  And now this nurse noticed that and saw that, that they were testing to see who would be part of the criminal conspiracy.
[00:24:03.571 --> 00:24:07.713]  They're building an army of psychotic murderers through medical tyranny.
[00:24:07.873 --> 00:24:09.254]  And they're coming for you and your family.
[00:24:11.035 --> 00:24:18.000]  Evil doesn't make sense until you immerse yourself in how it operates and how it corrupts others to join it.
[00:24:22.247 --> 00:24:41.704]  And if you look at Bill Gates publicly promoting, kill granny, kill old people and depopulate the planet, and then you learn that he wrote the actuaries and the battle plan with the NIH and with the UN on record and ran the Wuhan lab and ran the weaponized COVID-19 operation.
[00:24:44.867 --> 00:24:47.650]  So they'd have the whole response all programmed out.
[00:24:50.060 --> 00:24:59.162]  But you also want to then corrupt the medical facilities and have them sign on to your evil operation because now they're going to defend it no matter what because they don't want to go to prison.
[00:25:00.783 --> 00:25:02.143]  This is how you set people up.
[00:25:05.644 --> 00:25:11.466]  And they had tabletop exercises lockstep ten years ago, seven months ago.
[00:25:12.796 --> 00:25:13.656]  Event 201.
[00:25:14.196 --> 00:25:15.797]  And I said, this is a drill.
[00:25:16.457 --> 00:25:21.798]  There's going to be new Chimera COVIDs released, and then Gates is going to own it.
[00:25:22.939 --> 00:25:26.719]  And then sure enough, he went on Colbert a few months after I said that and said, oh, this is kind of a drill.
[00:25:27.040 --> 00:25:29.060]  This is just event one.
[00:25:29.540 --> 00:25:30.540]  The big event's coming.
[00:25:30.580 --> 00:25:33.241]  They're going to, terrorists are going to release a weaponized form of this.
[00:25:33.761 --> 00:25:35.282]  But don't worry, I'll have a vaccine for you.
[00:25:35.342 --> 00:25:36.062]  And he's got it.
[00:25:37.222 --> 00:25:38.282]  Then he'll be the savior.
[00:25:38.702 --> 00:25:40.723]  And then the precedent's set for forced inoculations.
[00:25:42.269 --> 00:25:44.931]  Look, I've already studied them so much I'm inside their head.
[00:25:44.951 --> 00:25:46.813]  I know exactly what they're going to do next.
[00:25:46.853 --> 00:25:47.613]  And they can't stand it.
[00:25:47.733 --> 00:25:54.578]  They literally have nightmares about this broadcast at night because we are inside their heads and we know what we're doing.
[00:25:58.981 --> 00:26:02.083]  Because these psychos formulaically lay this out.
[00:26:02.123 --> 00:26:05.606]  It's like watching a movie and you've not read the script but you know how it ends.
[00:26:05.646 --> 00:26:06.607]  It's so obvious.
[00:26:07.637 --> 00:26:12.581]  When you're watching a whodunit or something that, oh, it's the good guy that's the bad guy, and at the end you find that out.
[00:26:13.101 --> 00:26:17.284]  I mean, Fauci was involved in the whole AIDS operation and depopulation.
[00:26:17.584 --> 00:26:19.626]  The damn person is a master criminal.
[00:26:21.807 --> 00:26:22.528]  He's a monster.
[00:26:24.209 --> 00:26:34.457]  And Trump just inherits the national health system and doesn't understand that every bureaucracy is just absolutely full of these people, but the medical system is where it's pure.
