[00:00:05.264 --> 00:00:07.305]  Careful what you wish.
[00:04:24.836 --> 00:04:36.099]  How do you think the president would explain to Mrs. Merkel about his inability to have that happen here in the United States when Germany's taken him close to a million people?
[00:04:36.099 --> 00:04:42.822]  Well, again, I think the president, when he travels to Germany, will be prepared to tell her that he's prepared to meet the goal.
[00:04:45.056 --> 00:04:50.443]  That seems like it might be a little embarrassing to not be able to get 10,000 people into your country.
[00:04:50.443 --> 00:04:52.746]  But Ron, I'm not willing to say that we're not going to hit the goal.
[00:04:52.746 --> 00:04:56.532]  John Bowne for Infowars.com.
[00:04:56.532 --> 00:04:57.353]  We'll be back.
[00:04:57.353 --> 00:04:58.014]  Stay with us.
[00:04:59.983 --> 00:05:01.444]  December 23rd, 1776.
[00:05:01.444 --> 00:05:05.425]  These are the times that try men's souls.
[00:05:05.425 --> 00:05:10.447]  The summer soldier and the sunshine patriot will, in this crisis, shrink from the service of their country.
[00:05:10.447 --> 00:05:15.249]  But he that stands by it now deserves the love and thanks of man and woman.
[00:05:15.249 --> 00:05:17.870]  Tyranny, like hell, is not easily conquered.
[00:05:17.870 --> 00:05:22.873]  Yet we have this consolation with us, that the harder the conflict, the more glorious the triumph.
[00:05:22.873 --> 00:05:25.914]  What we obtain too cheap, we esteem too lightly.
[00:05:25.914 --> 00:05:28.555]  It is dearness only that gives everything its value.
[00:05:28.875 --> 00:05:37.582]  Heaven knows how to put a proper price on its goods, and it would be strange indeed if so celestial an article as freedom should not be highly rated.
[00:05:37.582 --> 00:05:45.968]  Britain, with an army to enforce her tyranny, has declared that she has a right not only to tax, but to bind us in all cases whatsoever.
[00:05:45.968 --> 00:05:51.213]  And if being bound in that matter is not slavery, then there is no such thing as slavery upon Earth.
[00:05:51.213 --> 00:05:56.196]  Even the expression is impious, for so unlimited a power can only belong to God.
[00:05:57.077 --> 00:05:59.980]  Thomas Paine, The American Crisis.
[00:05:59.980 --> 00:06:03.483]  When cells become toxic, they die early and aging sets in.
[00:06:03.483 --> 00:06:11.730]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:06:11.730 --> 00:06:16.734]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:06:17.134 --> 00:06:19.656]  You want the best that's out there at the lowest price anywhere?
[00:06:19.656 --> 00:06:21.778]  We now have the synergistic solution.
[00:06:21.778 --> 00:06:25.962]  Secure your DNA force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:06:29.978 --> 00:06:30.878]  Shower Filters.
[00:06:30.878 --> 00:06:32.619]  We're introducing the best yet.
[00:06:32.619 --> 00:06:36.680]  The brand new ProPure ProMax High Performance Shower Filter.
[00:06:36.680 --> 00:06:41.502]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[00:06:41.502 --> 00:06:48.584]  This new 4-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[00:06:48.584 --> 00:06:55.546]  You can find more details on this amazing new filter and free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax Shower Filter from ProPure today.
[00:07:01.118 --> 00:07:04.901]  Thousands of years ago, there was a basic form of chivalry.
[00:07:04.901 --> 00:07:12.626]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:07:12.626 --> 00:07:21.272]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:07:21.272 --> 00:07:25.674]  But in the 21st century, there are silent weapons for quiet war.
[00:07:25.674 --> 00:07:30.818]  Pathogens added to the food and water, to the lining of plastics that destroy our vitality.
[00:07:31.038 --> 00:07:31.819]  We're good to go.
[00:08:02.780 --> 00:08:12.284]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:08:12.284 --> 00:08:13.865]  Thomas Jefferson.
[00:08:13.865 --> 00:08:22.149]  It's Alex Jones on the GCN Radio Network.
[00:08:22.149 --> 00:08:31.573]  There are times in history, critical junctures, when populations either awaken to the challenge
[00:08:33.155 --> 00:08:40.722]  And adapt and overcome, or go quietly into societal decline.
[00:08:40.722 --> 00:08:47.228]  Warfare, and then explosive collapse.
[00:08:47.228 --> 00:08:59.979]  Coming to you from the former state of Texas, under the provisional reorganization government, in FEMA Region 6, I am broadcasting worldwide.
[00:09:02.611 --> 00:09:07.113]  The United States has been captured by foreign banking cartels openly.
[00:09:07.113 --> 00:09:18.979]  The United States was then used as a command base with our energy and our troops and our inventive population to launch the World Government Project.
[00:09:18.979 --> 00:09:26.162]  Now we enter the final phases of the open birth of world government, the rollout of world government that's already in place.
[00:09:26.162 --> 00:09:27.463]  The skeletal system is there.
[00:09:28.285 --> 00:09:32.188]  The muscles, the organs, the vascular system is being added.
[00:09:32.188 --> 00:09:33.750]  The skin is being prepared.
[00:09:33.750 --> 00:09:40.555]  The panopticon computer surveillance grids are being fired up.
[00:09:40.555 --> 00:09:42.337]  Tested.
[00:09:42.337 --> 00:09:47.121]  Psychological warfare grids are heating up.
[00:09:47.121 --> 00:09:49.082]  We are living in a fantastical time.
[00:09:49.082 --> 00:09:53.586]  And what's amazing is so many prominent people call me.
[00:09:56.047 --> 00:10:08.359]  Off the record, heads of newspapers, heads of major news websites, and they say, you know, I worked in the government before, and I worked in intelligence, or I worked in, and everything you're saying is true.
[00:10:08.359 --> 00:10:09.320]  It's just unbelievable.
[00:10:09.320 --> 00:10:14.465]  What do we do?
[00:10:14.465 --> 00:10:18.309]  Well, you pull back and look at how we were put into this trance.
[00:10:23.649 --> 00:10:26.110]  And therein you find the answer of how to reverse this.
[00:10:26.110 --> 00:10:32.393]  But yesterday, I took a screenshot of it and tweeted it out at Real Alex Jones.
[00:10:32.393 --> 00:10:34.854]  It's a screenshot of the Drudge Report yesterday.
[00:10:34.854 --> 00:10:39.556]  Kerry declares borderless world.
[00:10:39.556 --> 00:10:48.560]  And then below that, there was another article where Cameron basically says a new world war could start or a war could start if the UK tries to leave the Euro.
[00:10:51.308 --> 00:11:02.099]  And I tweeted, when Kerry declares borderless world, close quote, he is talking about a corporate world government that can run over the nation state.
[00:11:02.099 --> 00:11:10.748]  That's obviously an oversimplification because it's Twitter, so I had a limited number of letters to use.
[00:11:10.748 --> 00:11:11.549]  But that's what it is!
[00:11:13.430 --> 00:11:19.031]  And the same arrogance of a Cameron saying you better do this or we'll be destabilized into war.
[00:11:19.031 --> 00:11:25.493]  You better let these unelected foreign boards make all our laws and run everything in secret or we're not going to be safe.
[00:11:25.493 --> 00:11:27.134]  That's terrorism.
[00:11:27.134 --> 00:11:35.456]  And when you've got open world government being announced and college students being told by Obama this weekend and by
[00:11:37.813 --> 00:11:41.236]  Kerry, that's the new talking point, that you're going to live in a borderless world.
[00:11:41.236 --> 00:11:43.478]  It's going to be very challenging, very confusing.
[00:11:43.478 --> 00:11:51.465]  Yeah, because you'll have nation-states that are communist, nation-states that are fascist, administered and run by multinational combines who are above the law.
[00:11:51.465 --> 00:11:56.309]  That's what Obama, a month and a half ago, went to Argentina, or a month ago, and told them.
[00:11:56.309 --> 00:12:01.554]  He said, oh, we're merging the two.
[00:12:01.554 --> 00:12:04.717]  Internationally, you need free trade, but then the nation-state can be communist.
[00:12:05.814 --> 00:12:14.218]  Where they call it communism, and you're a slave to the globalists.
[00:12:14.218 --> 00:12:16.059]  Here's a headline, a Bloomberg.
[00:12:16.059 --> 00:12:20.681]  Catastrophe is the new normal for Venezuelans.
[00:12:20.681 --> 00:12:30.486]  And guess who's completely in debt to the IMF and World Bank by design, and who the IMF and World Bank would rather work with is communists.
[00:12:30.486 --> 00:12:34.088]  Communists have been the clients of the globalists
[00:12:35.109 --> 00:12:45.878]  Bank system since the Bolsheviks were financed by the House of Rothschild and by JPMorgan Chase and others in 1970.
[00:12:45.878 --> 00:12:50.101]  And you've got all these ignorant pseudo-intellectuals running around with their Bernie Sanders shirts on.
[00:12:50.101 --> 00:12:58.868]  I went and picked up some tacos for the family Sunday morning at a taco deli.
[00:12:58.868 --> 00:13:00.289]  It's a name of a place, pretty good tacos.
[00:13:01.477 --> 00:13:04.001]  And there were like five people wearing Bernie shirts.
[00:13:04.001 --> 00:13:05.523]  The place was completely standing room only.
[00:13:05.523 --> 00:13:06.564]  I was getting food to go.
[00:13:06.564 --> 00:13:12.833]  Sat there 15 minutes waiting and I had no less than three of the people wearing Bernie shirts that were running the orders out to people.
[00:13:12.833 --> 00:13:15.677]  It was like a hundred people in there or more just standing up waiting at their food.
[00:13:15.677 --> 00:13:18.421]  It's so popular on a Sunday morning.
[00:13:20.638 --> 00:13:21.899]  Okay, I really appreciate your work, Alex.
[00:13:21.899 --> 00:13:22.559]  Thank you for the good work.
[00:13:22.559 --> 00:13:24.500]  And they were wearing Bernie shirts.
[00:13:24.500 --> 00:13:37.007]  And I get he's the populist, socialist, and he's cute, and he's anti-banker, and, you know, why should the Walmart family have $300 billion and all the rest of it?
[00:13:37.007 --> 00:13:41.310]  But they play that class envy, and it's so dumbed down and simplistic.
[00:13:42.366 --> 00:13:54.652]  That they sit here in a country where you can have thousands of choices and millions of different opportunities when it comes to where you want to work or where you want to live or what you want to buy or what lifestyle.
[00:13:54.652 --> 00:14:03.296]  You've got so many choices and these spoiled brats sit here in this TV generation liking the idea that Bernie Sanders is going to give them something free.
[00:14:03.296 --> 00:14:04.997]  Let me explain something to everyone.
[00:14:04.997 --> 00:14:09.359]  I know our audience knows this, but we have new viewers every millisecond, new listeners every millisecond.
[00:14:11.124 --> 00:14:17.548]  The ultra-rich are funding collectivism because they're exempt from it and offshore.
[00:14:17.548 --> 00:14:28.416]  They create centralized, top-down, regulated, command-and-control, crony-capitalist economies.
[00:14:28.416 --> 00:14:38.283]  And because production is so high, we can still have the baubles and the symbols of success that the media tells us we need, but culturally,
[00:14:39.326 --> 00:14:44.549]  And when it comes to savings and so many other ways, we are completely impoverished.
[00:14:44.549 --> 00:15:00.340]  When it comes to knowing how to plant a garden, or knowing how to climb a tree and pick fruit, or how to fix an engine, or how to mend a broken leg, we don't have any of our frontier smarts that made the United States so special.
[00:15:01.496 --> 00:15:02.859]  We are completely domesticated.
[00:15:02.859 --> 00:15:04.703]  I mean, I see these articles every day.
[00:15:04.703 --> 00:15:05.525]  London Telegraph.
[00:15:05.525 --> 00:15:06.628]  Parents.
[00:15:06.628 --> 00:15:10.657]  Smartphones harming children's ability to hold conversations, say teachers.
[00:15:12.108 --> 00:15:14.070]  Well, I mean, we know it causes brain damage.
[00:15:14.070 --> 00:15:15.791]  We know it causes rewiring of the brain.
[00:15:15.791 --> 00:15:17.072]  We know it limits vocabulary.
[00:15:17.072 --> 00:15:20.795]  We know it's hurting us, but we just can't help it because the kids are already addicted.
[00:15:20.795 --> 00:15:22.116]  We're addicted on our smartphone.
[00:15:22.116 --> 00:15:26.079]  We throw them a smartphone, and then none of us even talk when we're at dinner at night.
[00:15:26.079 --> 00:15:27.621]  Isn't that where this is going?
[00:15:27.621 --> 00:15:39.651]  And we're one step away from Zuckerberg walking openly, bipedally, with everyone else squatting like gorillas, wearing their virtual reality goggles that he programs the reality for.
[00:15:40.686 --> 00:15:42.647]  It's beyond the wizard's curtain.
[00:15:42.647 --> 00:15:51.293]  You put a curtain over your head and then live in this tiny false reality, which they admit is their plan.
[00:15:51.293 --> 00:15:54.735]  And here's where I'm going with all this.
[00:15:54.735 --> 00:16:02.661]  I don't take any pleasure, quite frankly, when I get calls from some of the biggest media people in the United States.
[00:16:02.661 --> 00:16:07.484]  And they're all nervous and they want to talk off air and that they want this to be off record.
[00:16:09.653 --> 00:16:24.377]  They sit there and think they're having some big solidarity with me, when they're going, I guess you're right about the government working with radical Islam, and I guess you're right about them shipping drugs in, and I guess you're right about the media control, and about infiltrators, and about all this, and how bad's it gonna get?
[00:16:24.377 --> 00:16:32.360]  And I talk to people all the time, and I'm sitting there going, look, you should have been awake a decade ago, 20 years ago.
[00:16:32.360 --> 00:16:34.280]  Everybody warned the public about this.
[00:16:34.280 --> 00:16:38.042]  This stuff is all in international trade agreements.
[00:16:38.042 --> 00:16:39.362]  We're going into world government.
[00:16:42.711 --> 00:16:49.574]  And the fact that I'm so cutting edge talking about this shows the trance people are in.
[00:16:49.574 --> 00:16:52.755]  Because I'm just discussing what is admitted open fact.
[00:16:52.755 --> 00:16:54.756]  The Pope has called for world government.
[00:16:54.756 --> 00:17:09.803]  We know the nature of the world government is a private corporate banking cartel with SDR, strategic drawing rights, new digital currency that all other currencies will be based on in QE unlimited basically, which then gives these central banks total absolute control.
[00:17:09.803 --> 00:17:11.764]  You think the old fractional reserve banking
[00:17:12.602 --> 00:17:16.046]  Where they'd have $10 in the bank and loan out $100.
[00:17:16.046 --> 00:17:18.969]  Gave the central banks power.
[00:17:18.969 --> 00:17:30.962]  You think it gave them power to take one mortgage and sell it 20, 30, 40, 50, sometimes 100 plus times and leverage $100,000 into a billion?
[00:17:30.962 --> 00:17:34.566]  They've just got giant piles of monopoly digital garbage.
[00:17:35.609 --> 00:17:40.072]  That they created, that they got governments to sign on to by holding us hostage in 2008.
[00:17:40.072 --> 00:17:48.377]  And now they're announcing world government with all these carbon taxes and wellhead taxes and other energy taxes and digital money transfer taxes.
[00:17:48.377 --> 00:17:49.818]  That's why they want to get rid of cash now.
[00:17:49.818 --> 00:17:51.159]  They're moving us into their plan.
[00:17:51.159 --> 00:17:52.860]  Their plan's public.
[00:17:52.860 --> 00:18:01.045]  A world cashless society where you'll be social engineered according to your choices, controlling what you buy, sell and do.
[00:18:01.045 --> 00:18:04.928]  And where the greatest crime anywhere will be underground economy.
[00:18:08.871 --> 00:18:13.314]  Remember the headline a few years ago, $15 million fine for garage sale, Fox News.
[00:18:13.314 --> 00:18:27.063]  It actually said, on the second offense, you're caught selling something at a garage sale without it going through some federal inventory, you will be given a $15 million fine.
[00:18:27.063 --> 00:18:28.484]  And you're like, well, that'll never happen.
[00:18:28.484 --> 00:18:31.305]  Oh, yes, it will.
[00:18:31.305 --> 00:18:34.428]  This is total control.
[00:18:34.428 --> 00:18:36.509]  And it shows the arrogance
[00:18:38.977 --> 00:18:51.780]  Of all these different global partnerships, chaired by the very same handful of men and women, owned by the very same corporations, merging us into world government, that Kerry comes out and says, we're getting rid of borders, there will be no borders at a commencement speech.
[00:18:51.780 --> 00:18:53.800]  I have the clip coming up.
[00:18:53.800 --> 00:19:00.802]  And then Cameron comes out and says, you'll destabilize everything, you know, we'll go into war if the UK tries to leave the Euro.
[00:19:00.802 --> 00:19:04.322]  Which, again, they never voted to enter it, neither did Germany or France.
[00:19:04.322 --> 00:19:06.183]  They can't vote to get out of it.
[00:19:06.183 --> 00:19:07.583]  The polls all show that they would leave it.
[00:19:08.710 --> 00:19:10.571]  It's like 80% in Europe.
[00:19:10.571 --> 00:19:15.532]  I don't believe these polls are just 50-something percent winning out in England.
[00:19:15.532 --> 00:19:25.255]  And it's the very same arrogance here where Paul Ryan, this is coming up with Roger Stone just in about 15 minutes, this is exclusive, it's up on InfoWars.com, red-linked.
[00:19:25.255 --> 00:19:37.699]  Paul Ryan and Rince Priebus, who used to work for Ryan, are saying they're going to just keep all the RNC money, all the money that gets donated goes to them, be divvied up, instead of to Donald Trump.
[00:19:38.513 --> 00:19:40.676]  So he can't even raise money.
[00:19:40.676 --> 00:19:45.982]  And they admit they're preparing to scuttle Donald Trump and give it to Hillary.
[00:19:45.982 --> 00:19:52.709]  Just because, you know, he has a cute little trendy beard, little blue eyes, and Priebus looks like a little sock puppet or something.
[00:19:52.709 --> 00:19:53.770]  Just these arrogant guys.
[00:19:53.770 --> 00:19:55.052]  They've stolen the country.
[00:19:55.052 --> 00:19:56.494]  They think it's legitimately theirs.
[00:20:00.078 --> 00:20:01.439]  Hi, this is Ron Paul.
[00:20:01.439 --> 00:20:05.583]  I'm a former 22-year congressman and Republican presidential candidate.
[00:20:05.583 --> 00:20:09.326]  I'm here to tell you about something that just might save your lives.
[00:20:09.326 --> 00:20:14.170]  You never know when there will be another Katrina, an economic collapse, or a serious drought.
[00:20:14.170 --> 00:20:17.853]  We should all have a little food storage that will carry us through tough times.
[00:20:17.853 --> 00:20:20.175]  I'm going to tell you about a great way to do that.
[00:20:20.675 --> 00:20:21.176]  A U.S.
[00:20:21.176 --> 00:20:26.043]  company named Harvest Right has a kitchen appliance that can help you be prepared.
[00:20:26.043 --> 00:20:27.685]  It's a home freeze dryer.
[00:20:27.685 --> 00:20:30.969]  With the product, you can preserve the foods your family loves.
[00:20:30.969 --> 00:20:35.375]  And the best part is, the food will last 25 years and still taste great.
[00:20:36.016 --> 00:20:37.756]  I've tried it and it's amazing.
[00:20:37.756 --> 00:20:44.798]  With a home freeze dryer from Harvest Right, you can literally freeze dry anything you eat, even things like ice cream.
[00:20:44.798 --> 00:20:47.619]  To learn more, call Harvest Right today at 800-594-4635 or go to HarvestRight.com.
[00:20:47.619 --> 00:20:48.919]  That's 800-594-4635 or HarvestRight.com.
[00:20:59.702 --> 00:21:02.363]  Silver has always been nature's very own antibiotic.
[00:21:02.363 --> 00:21:06.605]  And only one system allows you to generate an endless supply of natural silver solutions.
[00:21:06.605 --> 00:21:07.965]  Silverlungs.com.
[00:21:07.965 --> 00:21:10.606]  You'll find no wild claims or pseudoscience.
[00:21:10.606 --> 00:21:13.547]  Just a lifetime of nano-sized pure silver solutions.
[00:21:13.547 --> 00:21:15.848]  The Silverlungs generator allows you to make your own.
[00:21:15.848 --> 00:21:17.709]  So stop paying for silver solutions.
[00:21:17.709 --> 00:21:23.191]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[00:21:23.191 --> 00:21:26.932]  See the Silverlungs generator and lung delivery system at Silverlungs.com.
[00:21:26.932 --> 00:21:28.413]  That's Silverlungs.com.
[00:21:29.403 --> 00:21:32.004]  Hunters, anglers, campers, and survivalists.
[00:21:32.004 --> 00:21:33.084]  Get back to nature.
[00:21:33.084 --> 00:21:40.266]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:21:40.266 --> 00:21:43.647]  Slingbow products are compact and models start from just $17.98.
[00:21:43.647 --> 00:21:47.128]  They're perfect for your bug out bag or storing in your vehicle.
[00:21:47.128 --> 00:21:51.269]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:21:51.269 --> 00:21:55.790]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:21:55.790 --> 00:21:58.391]  Feel the thrill only at slingbow.com.
[00:21:59.110 --> 00:22:08.553]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:08.553 --> 00:22:12.955]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:12.955 --> 00:22:19.057]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:19.057 --> 00:22:21.838]  Buy now at DefenderShield.com.
[00:22:21.838 --> 00:22:24.239]  For 10% off, use promo code GCN.
[00:22:24.239 --> 00:22:27.760]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:28.755 --> 00:22:31.796]  My dad was 59 when he collapsed from a heart attack late last year.
[00:22:31.796 --> 00:22:34.437]  Just this past August was when we spread his ashes on the St.
[00:22:34.437 --> 00:22:35.178]  Croix River.
[00:22:35.178 --> 00:22:37.419]  I loved my dad, but boy was he stubborn.
[00:22:37.419 --> 00:22:40.380]  He hadn't been to the doctor in over 25 years.
[00:22:40.380 --> 00:22:41.260]  His excuse?
[00:22:41.260 --> 00:22:42.581]  He simply couldn't afford it.
[00:22:42.581 --> 00:22:44.201]  He wasn't a rich man by any means.
[00:22:44.201 --> 00:22:49.964]  At less than $107 per month, LibertyOnCall.org would have been the perfect alternative for my father.
[00:22:49.964 --> 00:22:51.004]  Don't wait.
[00:22:51.004 --> 00:22:53.645]  Go to LibertyOnCall.org right now.
[00:22:53.645 --> 00:22:56.146]  For not just your sake, but for the sake of your loved ones.
[00:22:56.146 --> 00:22:57.747]  Again, that's LibertyOnCall.org.
[00:22:58.707 --> 00:23:02.170]  Water is the single most important thing your body needs.
[00:23:02.170 --> 00:23:05.493]  So you want to be sure it's the best for you and your family.
[00:23:05.493 --> 00:23:09.756]  Since 2005, thousands have depended on Berkey Purified Water.
[00:23:09.756 --> 00:23:14.380]  The Berkey guy provides the lowest price filtration systems in every size.
[00:23:14.380 --> 00:23:18.243]  Pour incredibly delicious water now and in an emergency.
[00:23:18.243 --> 00:23:19.924]  Get to GoBerkey.com or call 877-886-3653.
[00:23:19.924 --> 00:23:20.064]  877-886-3653.
[00:23:20.064 --> 00:23:20.425]  GoBerkey.com
[00:23:28.471 --> 00:23:33.754]  There's nothing more enticing and intoxicating than the finest meat cooking on an open flame.
[00:23:33.754 --> 00:23:36.636]  Freeze-dried meat from NewHarvest.com is U.S.
[00:23:36.636 --> 00:23:39.917]  grown, 100% all-natural with no extra fillers.
[00:23:39.917 --> 00:23:44.360]  Just grass-fed beef and free-range chicken guaranteed to stay fresh and delicious.
[00:23:44.360 --> 00:23:47.521]  Add New Harvest freeze-dried meats to your current food storage.
[00:23:47.521 --> 00:23:52.464]  You'll buy direct from the factory, not a third party, ensuring the best price and the highest quality.
[00:23:52.464 --> 00:23:55.186]  See all our products at NewHarvestFoods.com.
[00:23:55.186 --> 00:23:57.047]  That's NUHarvestFoods.com.
[00:24:10.876 --> 00:24:15.598]  There's a man going around taking names.
[00:24:15.598 --> 00:24:21.220]  And he decides who to free and who to blame.
[00:24:21.220 --> 00:24:24.321]  Everybody won't be treated all the same.
[00:24:24.321 --> 00:24:25.881]  No.
[00:24:25.881 --> 00:24:28.902]  There'll be a golden ladder reaching down.
[00:24:28.902 --> 00:24:32.103]  When the man comes around.
[00:24:32.103 --> 00:24:33.844]  When the man comes around.
[00:24:35.114 --> 00:24:36.755]  All right, let's get back into the news.
[00:24:36.755 --> 00:24:46.560]  Head of Roger Stone joining us with probably the biggest Trump news we've ever announced here in the next segment.
[00:24:46.560 --> 00:24:58.487]  So many times in history, populations take the arrogance of the elite and their confidence as invincibility.
[00:24:58.487 --> 00:25:03.750]  But the type of grasping, bootlicking, sycophantic,
[00:25:05.666 --> 00:25:15.730]  Like Paul Ryan and Rens Prevost and the rest of them that rise to the tops of these organizations.
[00:25:15.730 --> 00:25:31.436]  Not because they're good leaders or independent men, but because they're total minions who get off on the security of going into their big marble buildings and into their back rooms and sitting around with a lobbyist and the representatives from the establishment thinking they're invincible.
[00:25:34.805 --> 00:25:37.287]  That's criminology.
[00:25:37.287 --> 00:25:40.749]  That the more criminals get away with something, the more reckless they get.
[00:25:40.749 --> 00:25:44.612]  Just like they tried to announce there was never voting in a primary.
[00:25:44.612 --> 00:25:46.233]  You silly conspiracy theorists.
[00:25:46.233 --> 00:25:47.694]  Actually use those terms.
[00:25:47.694 --> 00:25:54.119]  Conspiracy theorists and kooks think that your vote counts and the delegates supposedly pledge themselves.
[00:25:54.119 --> 00:25:55.059]  Well, they do.
[00:25:55.059 --> 00:25:57.701]  And I don't care if you change some rule to say it.
[00:25:57.701 --> 00:26:04.046]  Then we need to change that back where you claim the inner party decides who can run for president directly out of the communist
[00:26:06.087 --> 00:26:08.669]  Politburo Central Committee System.
[00:26:08.669 --> 00:26:15.134]  I mean, that's what it is.
[00:26:15.134 --> 00:26:34.669]  And these lawyers, they all get up there in their $3,000, $4,000 suits, and they sit there with their $500 ties on and their $4,000 shoes, and they think because they're banging hookers every night on taxpayer expense and, you know, eating $200 steaks and fly around in helicopters, that that means they're infallible and invincible.
[00:26:35.885 --> 00:26:38.588]  I'm always reading about billionaires and people like one of the Walmart heirs.
[00:26:38.588 --> 00:26:39.809]  The guy was worth like 80 billion.
