[00:00:18.817 --> 00:00:19.797]  You want answers?
[00:02:42.492 --> 00:03:01.808]  So when pro-life activist David DeLeden exposed Planned Parenthood's sale of fetal tissue via secret recordings and investigative techniques, the liberal Rockefeller-supported organization Planned Parenthood used the unchecked liberal inertia to slap DeLeden with a possible 22-year sentence.
[00:03:02.169 --> 00:03:06.953]  While beyond the embarrassment, no charges were ever filed against Planned Parenthood.
[00:03:07.313 --> 00:03:19.142]  Now documentary filmmaker Joel Gilbert, creator of the Obama expose, Dreams From My Real Father, faces a federal precedent-setting onslaught by the FEC.
[00:03:19.443 --> 00:03:31.032]  WorldNetDaily writes, in a case spotlighting regulation of conservative media, the three Democrats on the FEC alleged Gilbert violated reporting
[00:03:31.288 --> 00:03:37.314]  The panel's three Republican members quashed the move, however, arguing the standard media exemption had been given to liberal filmmakers such as Michael Moore.
[00:03:51.647 --> 00:04:11.453]  Gilbert added, if the makeup of the Federal Election Commission is changed because a Democrat wins the presidency and appoints one more Democrat than Republican to the commission, we face a dire future in which only political speech favorable to far-left agenda will be tolerated in America.
[00:04:11.633 --> 00:04:14.934]  Documentary films shown on television or the internet.
[00:04:15.074 --> 00:04:19.558]  or broadcast over radio may be subject to criminal penalties.
[00:04:19.899 --> 00:04:38.095]  Gilbert said, the liberal line is being drawn in the sand and as the Obama administration slowly reveals its teeth, their guard goes down as the possibility of their actions backfires into charges against their own criminal violations of the First Amendment.
[00:04:38.356 --> 00:04:40.918]  We are seeing nothing less than a witch hunt.
[00:04:41.118 --> 00:04:43.341]  Masquerading as a liberal agenda.
[00:04:43.581 --> 00:04:56.475]  It's not that they're breaking the laws, it's that the laws are so poorly designed that they allow people, if they've got enough lawyers and enough accountants, to wiggle out of responsibilities that ordinary citizens are having to abide by.
[00:04:56.835 --> 00:04:58.818]  John Bowne for Infowars.com
[00:05:10.023 --> 00:05:19.051]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:05:19.111 --> 00:05:27.359]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:05:27.519 --> 00:05:32.184]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:05:32.384 --> 00:05:39.107]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:05:39.187 --> 00:05:46.271]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:05:46.351 --> 00:05:48.152]  Hands down, this is my favorite coffee.
[00:05:48.252 --> 00:05:53.234]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:05:53.374 --> 00:05:57.736]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:05:57.856 --> 00:06:01.078]  Available in original or with our immune support infusion blend.
[00:06:01.238 --> 00:06:07.380]  You will be supporting a free press, all the while enjoying a truly great-tasting cup of my favorite coffee.
[00:06:07.540 --> 00:06:09.760]  Available at Infowarslife.com.
[00:06:09.860 --> 00:06:13.161]  The globalist social engineers are not just targeting us with propaganda.
[00:06:13.321 --> 00:06:15.582]  They are manipulating our genetics.
[00:06:15.762 --> 00:06:24.144]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:06:24.384 --> 00:06:27.746]  The key is to be aware of this attack and to fight back against it.
[00:06:27.886 --> 00:06:38.352]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:06:38.552 --> 00:06:45.816]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[00:06:46.036 --> 00:06:47.897]  I've always believed in nutrition and herbs.
[00:06:48.257 --> 00:06:55.902]  Supermail Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:06:56.203 --> 00:07:02.367]  Supermail Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:07:02.687 --> 00:07:09.612]  Visit InfoWarsLife.com today to secure your Supermail Vitality and other powerful products from InfoWars Life.
[00:07:11.255 --> 00:07:14.658]  Thousands of years ago, there was a basic form of chivalry.
[00:07:15.018 --> 00:07:22.143]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:07:22.744 --> 00:07:31.110]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:07:31.391 --> 00:07:35.474]  But in the 21st century, there are silent weapons for quiet war.
[00:07:35.794 --> 00:07:41.098]  Pathenogens added to the food and water, to the lining of plastics that destroy our vitality,
[00:07:41.378 --> 00:07:45.200]  Turn off our hormones and accelerate our journey towards death.
[00:07:45.621 --> 00:07:48.782]  I personally counter this onslaught with AnthroPlex.
[00:07:49.022 --> 00:08:00.109]  AnthroPlex is designed with known organic concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[00:08:00.169 --> 00:08:02.850]  Discover why AnthroPlex is turning so many heads today.
[00:08:03.070 --> 00:08:09.034]  It's time for us to take our bodies back into our own hands and it starts at InfoWarsLife.com with AnthroPlex.
[00:08:11.638 --> 00:08:13.843]  He's the T-Rex of political talk.
[00:08:14.404 --> 00:08:17.190]  Alex Jones on the GCN Radio Network.
[00:08:27.970 --> 00:08:36.712]  Leaked Memo reveals how the Donald Trump campaign really feels about mainstream media and the government.
[00:08:36.752 --> 00:08:40.712]  We're going to be breaking that down in this hour.
[00:08:41.632 --> 00:08:50.234]  We also have a lot of really, really big reports out there that we're going to be going over, dealing with this so-called biggest WikiLeaks-style data dump ever.
[00:08:50.274 --> 00:08:54.655]  When I first saw this yesterday, I said, it's going to be low-level groups trying to protect their money.
[00:08:54.695 --> 00:08:56.075]  It's going to be the Russian networks.
[00:08:57.415 --> 00:09:01.438]  As soon as I saw that they were going after that soccer, that international football group.
[00:09:02.699 --> 00:09:20.249]  This is the big mega banks that control trillions, that create trillions in derivatives, that engage in all forms of drug dealing, money laundering, child kidnapping, white slavery, overthrow of governments, 5 billion to overthrow Ukraine, 5 billion to the rebels in Syria.
[00:09:21.775 --> 00:09:31.719]  This is the most corrupt group you can imagine simply leaking this to the Germans, handing it out to a hundred different newspapers or more in the last year to quote vet it.
[00:09:32.299 --> 00:09:37.761]  No, that was to make sure that it didn't connect to any Western operations and to cherry pick what to go after.
[00:09:39.884 --> 00:09:41.425]  And sure enough, it's in the news today.
[00:09:41.445 --> 00:09:46.128]  They're saying this is a selective leak by the West against other networks they don't control.
[00:09:46.769 --> 00:09:47.389]  This is how it works.
[00:09:47.469 --> 00:09:51.952]  You get Arthur Anderson previously, or now it's another big accounting firm that the former Attorney General runs.
[00:09:53.073 --> 00:09:54.894]  Then you can have offshore accounts.
[00:09:54.954 --> 00:09:56.455]  Then you cannot pay taxes.
[00:09:56.515 --> 00:10:05.841]  They certify it and the government doesn't touch it because it's full of vice presidents, former presidents on their boards, former attorney generals, former FBI directors.
[00:10:06.862 --> 00:10:08.283]  There's only two or three of these firms in D.C.
[00:10:10.000 --> 00:10:10.861]  Like Arthur Anderson.
[00:10:10.881 --> 00:10:11.641]  And then you're left alone.
[00:10:11.941 --> 00:10:14.283]  Now the law says you can have an offshore bank account.
[00:10:14.323 --> 00:10:17.525]  The law says you can go to the Cayman Islands or Switzerland or Luxembourg.
[00:10:19.086 --> 00:10:22.149]  But when they want to, they will come and shake you down and arrest you.
[00:10:23.189 --> 00:10:32.296]  This is a model of global government where you have the FBI going out and arresting the leadership of the International Football League, of the International Soccer League.
[00:10:33.117 --> 00:10:41.250]  This is global governance, and I'm going to go over that later in the hour with our guest and get his view on it, because he's an expert on people going offshore and more.
[00:10:42.071 --> 00:10:46.859]  But Wikileaks reveals IMF plan to cause a credit event in Greece and destabilize Europe.
[00:10:46.919 --> 00:10:47.640]  Don't forget that.
[00:10:49.588 --> 00:10:51.109]  The French elite, where it went wrong.
[00:10:51.210 --> 00:10:53.511]  Financial Times admitting they don't pay taxes themselves.
[00:10:53.572 --> 00:10:56.394]  French billionaire to salt to face trial for tax fraud.
[00:10:57.255 --> 00:10:59.697]  Chinese newspaper editor resigns over media control.
[00:11:00.017 --> 00:11:03.660]  Associated Press willfully cooperated with the Nazis to show how they're controlled.
[00:11:04.000 --> 00:11:07.303]  Top German journalist admits mainstream media is completely fake.
[00:11:07.363 --> 00:11:10.166]  We quote, all lie for the CIA in Germany.
[00:11:10.966 --> 00:11:12.648]  It's a whole bunch of their biggest reporters coming out.
[00:11:13.128 --> 00:11:13.969]  Why is that important?
[00:11:13.989 --> 00:11:16.171]  Because when it comes out of Germany particularly,
[00:11:17.844 --> 00:11:21.427]  People see Germany as like, oh, modern, liberal, you can really trust it.
[00:11:22.048 --> 00:11:25.811]  It's the worst garbage you'll ever find.
[00:11:26.952 --> 00:11:41.565]  Some of their news is accurate, if you research it, but general scandal news is really coming out of the CIA, out of the MI6, out of Israel, out of other groups, but they fence it through Germany, because somehow they have credibility.
[00:11:41.766 --> 00:11:43.047]  They never got over being occupied.
[00:11:44.331 --> 00:11:49.336]  High earners say goodbye to France, so again, they want this international tax grab.
[00:11:49.696 --> 00:12:01.606]  Tax traders widen division in belt-tightening France, and now they're trying to blame Russia for $2 billion in the quote, biggest scandal ever with this Panama data dump, the Panama Papers.
[00:12:02.587 --> 00:12:03.148]  $2 billion?
[00:12:03.208 --> 00:12:04.449]  I mean, that is nothing.
[00:12:04.729 --> 00:12:07.672]  You know how many trillions exchange hands in the currency markets every day?
[00:12:08.584 --> 00:12:17.287]  The rigged stock markets, the rigged credit default swaps, the rigged currency, the rigged interest rates, all of it.
[00:12:18.887 --> 00:12:21.008]  They admit it's all rigged is what's crazy.
[00:12:21.408 --> 00:12:32.311]  Just like they've tried to steal elections, they've manipulated them before, but never come right out and said, we're going to put Paul Ryan in, this is Karl Rove last week, even if he doesn't have one delegate.
[00:12:33.297 --> 00:12:39.060]  And Kasich is showing his wares saying, you know, it doesn't matter if he's only got a few, he deserves to win.
[00:12:39.080 --> 00:12:42.602]  I don't know what you call this coming out in the open.
[00:12:43.903 --> 00:12:46.325]  Is this really the fall of America, the fall of the West?
[00:12:47.065 --> 00:12:50.187]  Or is this a psyop to prepare us for just anything?
[00:12:50.587 --> 00:12:54.689]  Because when things get this crazy in history, you go over the edge of a cliff.
[00:12:54.769 --> 00:12:56.490]  Are we going over the edge of the cliff right now?
[00:12:57.451 --> 00:12:58.952]  Have we reached the event horizon?
[00:13:00.247 --> 00:13:01.568]  We're going to talk geopolitics.
[00:13:01.588 --> 00:13:02.489]  We're going to talk Syria.
[00:13:02.509 --> 00:13:03.350]  We're going to talk Iran.
[00:13:03.650 --> 00:13:05.391]  We're going to talk Ukraine.
[00:13:05.612 --> 00:13:06.552]  We're going to talk Obama.
[00:13:06.572 --> 00:13:09.175]  We're going to talk Black Lives Matter and the destabilization program.
[00:13:09.815 --> 00:13:14.099]  We're going to talk the entire waterfront, 2016 and beyond.
[00:13:14.579 --> 00:13:16.141]  But first off, I don't know his view.
[00:13:16.521 --> 00:13:20.805]  I follow his articles, but he's pretty libertarian, conservative, apolitical, though.
[00:13:20.825 --> 00:13:22.246]  He just does analysis of the world.
[00:13:22.726 --> 00:13:24.648]  Best-selling nonfiction author.
[00:13:24.728 --> 00:13:26.409]  Best-selling fiction author.
[00:13:27.310 --> 00:13:32.955]  James Leslie Rawls is an American novelist and blogger who is best known for his recently completed Patriots novel series.
[00:13:33.015 --> 00:13:34.136]  Rawls is a former U.S.
[00:13:34.196 --> 00:13:35.237]  Army intelligence officer.
[00:13:35.557 --> 00:13:42.764]  He is the founder of the senior editor of SurvivalBlog.com, which is one of the top sites in the world with tens of millions of visitors a month.
[00:13:43.144 --> 00:13:48.909]  For the past 10 years, he's covered survival and preparedness topics from a constitutional Christian libertarian perspective.
[00:13:49.289 --> 00:13:51.091]  His latest novel is titled Land of Promise.
[00:13:51.111 --> 00:13:52.012]  He's got another one coming out too.
[00:13:52.412 --> 00:13:55.355]  The first book in the Counter Caliphate Chronicle series.
[00:13:55.695 --> 00:14:00.799]  This novel, set two decades in the future, describes the establishment of a Christian nation under siege.
[00:14:00.839 --> 00:14:05.463]  Now, I could do three hours with this guy, because I got a lot to say, a lot of angles to cover.
[00:14:05.484 --> 00:14:11.869]  He's only on to the bottom of the next hour, but I want to invite him back in a few weeks for a part two, for two full hours, because he was willing to do it today.
[00:14:11.909 --> 00:14:12.490]  He's a busy guy.
[00:14:14.002 --> 00:14:16.904]  Because I've got my reporters popping in for the last 30 minutes of the next hour.
[00:14:17.325 --> 00:14:19.386]  I may push them, though, up to David Knight, though.
[00:14:19.747 --> 00:14:20.787]  We'll see how this goes.
[00:14:20.867 --> 00:14:23.830]  But I just threw out that menu of what I want to cover.
[00:14:23.870 --> 00:14:27.192]  But front and center is, what is this caliphate plan?
[00:14:27.693 --> 00:14:33.938]  Why would the West be bold enough to bring in 5 million people they know, many of which are military-age men and are jihadis?
[00:14:35.438 --> 00:14:40.020]  Will they carry out attacks and then martial law comes in like areas of Europe have already done?
[00:14:41.021 --> 00:14:46.023]  And how will our political elite get away with bringing them in and then having them attack us?
[00:14:46.083 --> 00:14:49.245]  Is that part of this victory over logic and common sense?
[00:14:49.845 --> 00:14:55.448]  Just like, in effect, they're suspending the election by stealing Bernie Sanders and Donald Trump's delegates.
[00:14:56.630 --> 00:14:56.950]  Openly.
[00:14:57.751 --> 00:14:59.271]  I mean, we're really entering a new phase.
[00:14:59.371 --> 00:15:00.212]  Is this bravado?
[00:15:00.572 --> 00:15:01.372]  Is this arrogance?
[00:15:01.512 --> 00:15:02.613]  Is this megalomania?
[00:15:02.913 --> 00:15:05.134]  Or is this a desperate attempt to look confident?
[00:15:05.814 --> 00:15:07.035]  I've thrown out a lot there.
[00:15:07.935 --> 00:15:10.196]  James Wesley Rawls, survivalblog.com.
[00:15:10.796 --> 00:15:12.877]  We're going to break here in about 15 minutes.
[00:15:12.917 --> 00:15:13.758]  You've got the floor.
[00:15:14.158 --> 00:15:17.959]  Tell us where you want to start first and what you think is currently happening.
[00:15:19.120 --> 00:15:22.661]  Well, Alex, I think looking at it from a 30,000 foot view,
[00:15:24.818 --> 00:15:47.831]  What we have in the global geopolitical realm is with the end of the Cold War, the powers that be needed to have a continued destabilization as an excuse for carrying on with all of their banking shenanigans, their massive military buildups and so forth.
[00:15:49.577 --> 00:16:03.648]  They, in effect, through Osama Bin Laden and other Islamic leaders, that they supported, the CIA itself created ISIS, as you've pointed out many times.
[00:16:04.969 --> 00:16:06.490]  They want destabilization.
[00:16:08.111 --> 00:16:18.879]  They are hoping that they can walk the tightrope of destabilization to the point where they can continue to consolidate power
[00:16:19.673 --> 00:16:44.418]  With a massively centralized government, with an electronic currency replacing physical currency, and with the whole statist agenda, by building up the Islamic threat, and then hoping to counter that threat, all the time accumulating more power and wealth for themselves.
[00:16:45.163 --> 00:17:00.389]  But what I'm afraid is going to happen is that they are going to over destabilize and they will, in effect, create their own downfall and perhaps the downfall of all the Western nations in the process.
[00:17:01.309 --> 00:17:09.572]  They're hoping that they can kind of lock that tightrope and carry on year after year after year.
[00:17:10.845 --> 00:17:25.107]  But I'm afraid it's going to come back and blow up in their face because a lot of these terrorist groups that they have created don't have any compunctions at all against using true weapons of mass destruction.
[00:17:25.508 --> 00:17:29.888]  So that Wall Street itself may be the next ground zero.
[00:17:30.368 --> 00:17:39.570]  And their best laid plans of these totalitarian wannabes is gonna come back and haunt them.
[00:17:40.956 --> 00:17:42.460]  Well, you just crystallized it perfectly.
[00:17:42.480 --> 00:17:45.527]  I want you to continue, but I just want to back up, sir, what you were just saying.
[00:17:47.415 --> 00:17:50.716]  Obviously, I know you're retired, but you talked to a lot of your sources in government.
[00:17:50.816 --> 00:17:54.477]  I have amazing sources, high-level in government, but also out.
[00:17:55.037 --> 00:17:56.837]  People say, well, I mean, how do you do that?
[00:17:56.857 --> 00:17:57.818]  They're going out for whistleblowers.
[00:17:58.438 --> 00:18:00.958]  Things are so bad now that mainly the U.S.
[00:18:01.038 --> 00:18:11.521]  Army, strangely enough, that's just historical, one of the oldest institutions in this country, has been the main group inside the Pentagon saying no to Syria, no to all these events, no to double-crossing Egypt.
[00:18:12.261 --> 00:18:15.302]  And they are basically telling the neocons, the left,
[00:18:16.112 --> 00:18:30.856]  And the socialists, you better stop it, and there's such a socialist vein in this godless, atheist, New World Order culture that really the only ideology they have is destroy the better clingers, destroy the farms, collectivize everything under corporate control.
[00:18:30.876 --> 00:18:35.257]  You know, a type of high-tech, fascist, Great Leap Forward.
[00:18:36.117 --> 00:18:38.258]  Not communist, but fascist more like.
[00:18:38.778 --> 00:18:42.659]  And that they're blowing the engine that made the globalists have a major command base
[00:18:43.556 --> 00:18:53.804]  And that the military, not even because the top brass and statisticians are angels, but because they want to keep playing golf and don't want their grandkids killed, they're saying stop it right now.
[00:18:53.885 --> 00:19:01.891]  You're about to bring civilization down by crisis creation because you keep getting more power out of crises, but at a certain point this black hole is going to swallow you.
[00:19:02.151 --> 00:19:11.199]  Now that message you just kind of threw out is the message I've been getting for about six years from high-level Pentagon people and others that obviously use this show as a conduit to warn people.
[00:19:11.539 --> 00:19:14.923]  But now, even down to low-level enlisted officers, they know.
[00:19:15.344 --> 00:19:17.066]  The military, basically, has been warned.
[00:19:17.707 --> 00:19:19.449]  About 90% of the Army's on board.
[00:19:19.469 --> 00:19:21.531]  About 60% of the Marines are on board.
[00:19:21.872 --> 00:19:24.015]  About 60% of the Navy knows what's going on.
[00:19:24.035 --> 00:19:26.097]  For whatever reason, the Navy's not doing too good waking up.
[00:19:26.778 --> 00:19:28.620]  That's just kind of a dead reckoning number.
[00:19:29.522 --> 00:19:45.596]  But this is really a big deal where you almost have a Mexican standoff between institutions in our government, newer, more corrupt private contractor institutions and delusional people like Hillary and Samantha Powers and Obama who have no idea what they're doing and watch SportsCenter all day.
[00:19:45.936 --> 00:19:52.822]  At least Hitler was in a bunker when he was endangering his whole country and doing super dangerous stuff and knew he could lose and had been in the military.
[00:19:53.382 --> 00:19:58.287]  These people are completely out of their minds, and it really is frightening to see them not knowing what they're doing.
[00:19:58.827 --> 00:20:00.529]  And is that what you're basically coming down to?
[00:20:02.050 --> 00:20:12.340]  Yes, I agree with you, Alex, that there is a level of self-delusion that now exists amongst the powers that be that's unprecedented.
[00:20:13.289 --> 00:20:28.036]  And their level of control over the economy, over the stock markets, manipulating the derivatives market, manipulating the precious metals market, which is a very thin market, the level of control they have is frightening.
[00:20:29.216 --> 00:20:32.238]  And again, it's likely to come back and blow up in their faces.
[00:20:33.303 --> 00:20:35.685]  And it's the law of unintended consequences.
[00:20:36.106 --> 00:20:48.817]  So for many years, you've talked about the Hegelian dialectic, and it's been employed heavily for the last seven years under the Obama administration.
[00:20:49.618 --> 00:20:52.981]  And my fear is that regardless of who comes in,
[00:20:55.342 --> 00:21:17.195]  In the next administration, we're probably going to see a statist of some sort who's going to want to continue playing the same game, playing the same political games, playing pressure groups off of one another, trying to increase divisiveness within our own country.
[00:21:18.075 --> 00:21:29.048]  By bringing in almost uncontrolled immigration of Islamists who are not going to be properly vetted at all.
[00:21:30.489 --> 00:21:36.256]  And in fact, right now there seems to be a preference within the US State Department
[00:21:37.265 --> 00:21:40.671]  To bring in Islamists rather than persecuted Christians.
[00:21:50.339 --> 00:22:00.769]  They put people at odds with one another to create friction, and out of that friction, they're, you know, it's the Hegelian dialectic again.
[00:22:00.809 --> 00:22:12.942]  They create the crisis, and out of that crisis comes their solution, which is all stage-managed, to fill their coffers and to build political power.
[00:22:15.874 --> 00:22:35.971]  And then under their Agenda 21 depopulation program, they codify the cosmology of us being poor and them being rich as their guardians, getting rid of the scourge of humanity, all perfectly scripted, where they play savior of the earth, while they literally block industrialization, block systems that would set up a two
[00:22:38.271 --> 00:22:45.256]  Two-child family, with all the actuaries we know that lead towards stabilization, global prosperity.
[00:22:46.573 --> 00:22:54.917]  And a new renaissance, and they themselves, going back even to Bertrand Russell and the non-fiction books of H.G.
[00:22:54.957 --> 00:23:05.381]  Wells and Galton and all the rest of them, admit a hundred years ago that they were going to have to block a new renaissance and quote, kill a lot of beautiful and gallant people, to quote H.G.
[00:23:05.421 --> 00:23:07.422]  Wells, to get their new world order.
[00:23:07.922 --> 00:23:10.363]  And they even wrote the book and had the movie, Things to Come.
[00:23:10.803 --> 00:23:11.884]  The movie came out in the early 30s.
[00:23:13.237 --> 00:23:18.620]  Where they set up a world government run by a UN that flies around in giant B-2 style bombers.
[00:23:19.000 --> 00:23:20.320]  Actually shows B-2 bombers.
[00:23:20.941 --> 00:23:21.161]  Right.
[00:23:21.241 --> 00:23:27.324]  Nervegassing nation states and taking the guns from the people and depopulating the planet.
[00:23:28.244 --> 00:23:39.169]  I mean these people are completely out of their minds but the thing is they've got control because the British Empire got behind them and funded this wild dream and Mr. Rawls looks like they're pretty much getting there.
[00:23:39.189 --> 00:23:40.070]  Do you think they'll succeed?
[00:23:41.661 --> 00:23:42.462]  It seems like it.
[00:23:43.142 --> 00:23:44.403]  You mentioned H.G.
[00:23:44.443 --> 00:23:45.584]  Wells and Things to Come.
[00:23:46.124 --> 00:23:50.127]  He was a socialist, but he was very prescient about what might happen.
[00:23:50.928 --> 00:23:54.430]  And you'll notice that in the storyline of Things to Come,
[00:23:55.899 --> 00:24:09.133]  The way that they were able to create their global governance was out of the aftermath of a global socioeconomic collapse following war after war after war.
[00:24:09.534 --> 00:24:11.216]  It looks a lot like what we're seeing right now.
[00:24:13.487 --> 00:24:23.497]  And that's why his boss, as you know, anybody can look this up, the letters, the writings are public, the man that basically took the British Empire and folded it into the U.S.
[00:24:23.637 --> 00:24:28.582]  Empire, Cecil Rhodes and the Rhodes Scholars envision the whole plan we're currently living under.
[00:24:30.665 --> 00:24:36.330]  Yeah, and ironically, the legacy of Cecil Rhodes
[00:24:37.239 --> 00:24:42.942]  was, is now being protested in South Africa.
[00:24:44.243 --> 00:24:55.148]  They don't want anything to do with any of the colonialist, any of that history.
[00:24:55.188 --> 00:25:02.632]  They're literally tearing down statues in South Africa at the universities right now.
[00:25:03.572 --> 00:25:04.413]  Cecil Rhodes
[00:25:05.515 --> 00:25:15.622]  Really had a view, not just for the African continent, not just as they said in those days, Cape to Cairo, but for the whole world.
[00:25:16.763 --> 00:25:27.410]  And a lot of his proteges ended up creating organizations like the CFR and the Trilateral Commission and so forth, years later.
[00:25:28.422 --> 00:25:48.922]  It's all been an almost uninterrupted chain of this quest for global dominance, global control, and they've very wisely co-opted the educational system, the mass media, and the banking system.
[00:25:48.962 --> 00:25:50.443]  And let's be clear, no further.
[00:25:50.604 --> 00:25:52.846]  Again, you're getting the inside scoop here, listeners.
[00:25:54.065 --> 00:26:12.102]  Cecil Rhodes, all the rest of it, they even said, I mean he wrote, you can read it, a hundred years ago, we will then even finally get rid of the trappings of the empire, the flags, the statues, the parades, the uniforms, and it'll be invisible through our corporate interlocking directorates like the Royal Institute of International Affairs, the Council on Foreign Relations.
[00:26:12.762 --> 00:26:20.266]  And it'll be multinational, and now that's why at Oxford and places, they're supporting, you know, pulling down bust of the Queen.
[00:26:20.286 --> 00:26:34.412]  And that's why Obama sent back the bust of Churchill, is because they're going to even let the socialists and leftists pull that down and believe they've defeated it, when they've actually are helping it bring in the next phase, the end of free speech.
[00:26:34.672 --> 00:26:36.373]  I mean, these folks are so sophisticated.
[00:26:38.434 --> 00:26:39.114]  It is indeed.
[00:26:44.152 --> 00:27:00.810]  It's worth mentioning that 20 years ago, the socialists in England turned their own flag, the Union Jack, into a supposed symbol of racism and colonialism.
[00:27:02.322 --> 00:27:10.489]  And they declared that the Union Jack couldn't be used in political rallies and protests.
[00:27:10.509 --> 00:27:10.790]  That's right.
[00:27:10.870 --> 00:27:12.111]  In fact, the police tried to arrest you.
[00:27:12.891 --> 00:27:13.071]  Right.
[00:27:13.932 --> 00:27:14.993]  That was 20 years ago.
[00:27:15.454 --> 00:27:19.197]  And at the time, I was in shock and disbelief that that could happen.
[00:27:19.497 --> 00:27:25.963]  But right now, in America, we're on the verge of that happening with our own American flag.
[00:27:27.415 --> 00:27:27.816]  Exactly.
[00:27:27.836 --> 00:27:29.397]  They start with the rebel battle flag.
[00:27:29.417 --> 00:27:31.880]  It has nothing to do with slavery, but ignorant people are told so.
[00:27:32.300 --> 00:27:34.463]  So what if some toothless racists drive around with it?
[00:27:34.483 --> 00:27:35.484]  It's not what it symbolizes.
[00:27:36.064 --> 00:27:37.846]  And then now they want the American flag.
[00:27:37.906 --> 00:27:42.011]  And to expand on that, that was only one symbol of empire.
[00:27:42.051 --> 00:27:43.332]  The globalists have conquered.
[00:27:44.093 --> 00:27:45.755]  The Rothschilds have conquered England.
[00:27:45.775 --> 00:27:50.559]  They're using that model and the people they use to enforce it upon the world.
[00:27:50.619 --> 00:27:51.880]  It's moved on from England.
[00:27:51.921 --> 00:27:54.143]  It's still based there to a certain extent.
[00:27:54.483 --> 00:27:59.788]  But now they're demonizing anything Western when it's England that ended slavery worldwide.
[00:28:00.208 --> 00:28:02.751]  It's England that brought forward the abolitionist movement.
[00:28:03.011 --> 00:28:07.655]  And now in the ultimate victory, while slavery goes on in more than 10 Muslim nations today,
[00:28:08.456 --> 00:28:10.458]  And women are slaves in hundreds of nations.
[00:28:10.938 --> 00:28:17.103]  It's okay because the greatest evil on earth is England, where we got Magna Carta and the beginning of the Renaissance.
[00:28:19.005 --> 00:28:20.086]  You're so right, Alex.
[00:28:22.028 --> 00:28:32.777]  It's just almost a sweet irony to see that the symbols of what really stand for freedom are being stood on their head
[00:28:34.205 --> 00:29:01.151]  And the institutions that really stand for individual liberty are being denigrated while everything that represents statism, control, collectivism, socialism, are being lifted up by people like the Obama administration, by all the socialists of Europe and so forth.
[00:29:02.955 --> 00:29:08.724]  Right now we are living in what I refer to as the age of deception and betrayal.
[00:29:09.586 --> 00:29:14.974]  Where our basic institutions are that anything that stands for freedom
