[00:00:04.574 --> 00:00:17.868]  Intruder alert!
[00:07:57.735 --> 00:07:58.956]  It's September 29th, 2016.
[00:07:58.956 --> 00:08:07.622]  Only 39 short days until the historic 2016 November election.
[00:08:30.529 --> 00:08:34.850]  We're so close, you can almost touch it.
[00:08:34.850 --> 00:08:38.271]  Americanism versus globalism.
[00:08:38.271 --> 00:08:42.051]  The New World Order corporate combine has hijacked our nation.
[00:08:42.051 --> 00:08:46.012]  Wants to tell us that sovereignty is racist and evil.
[00:08:46.012 --> 00:08:51.133]  And that if we go the way of the Brigs in the UK, we're somehow Russian agents.
[00:08:51.133 --> 00:08:54.854]  The truth is, Russia has nothing to do with this election.
[00:08:54.854 --> 00:08:59.135]  Other than the fact that Russia has already partially pulled away from the New World Order.
[00:09:04.520 --> 00:09:14.444]  It's now time for us to proudly join the UK and Russia in re-establishing national sovereignty and our constitutional republics.
[00:09:14.444 --> 00:09:26.329]  You're listening to the Alex Jones Show, broadcasting from Austin, Texas, worldwide.
[00:09:26.329 --> 00:09:31.332]  Just 39 days, ladies and gentlemen, 39 days.
[00:09:31.332 --> 00:09:32.052]  I purposely
[00:09:33.775 --> 00:09:37.317]  Did not wear a sports jacket, did not wear a dress shirt today.
[00:09:37.317 --> 00:09:44.482]  I purposely only did about two hours of prep.
[00:09:44.482 --> 00:09:47.144]  Normally I would do four hours of prep.
[00:09:47.144 --> 00:09:52.707]  And I realized, I've known this for a while, but I've really psychoanalyzed it for myself.
[00:09:52.707 --> 00:09:58.571]  I remember my grandfathers listening to the radio
[00:10:00.836 --> 00:10:13.580]  And hearing some stock news or some farming news or some oil news and getting excited or going, you know, cussing under their breath occasionally or reading the newspaper, my mom's dad especially, and just face turning red sometimes.
[00:10:13.580 --> 00:10:14.361]  Does he really care?
[00:10:14.361 --> 00:10:19.803]  God, I miss all those folks that are dead.
[00:10:19.803 --> 00:10:20.863]  Great people.
[00:10:20.863 --> 00:10:21.983]  You don't see people like that anymore.
[00:10:21.983 --> 00:10:24.484]  It's scary.
[00:10:24.484 --> 00:10:26.105]  And I was just thinking about it this morning.
[00:10:26.105 --> 00:10:28.386]  I was like, wow!
[00:10:28.386 --> 00:10:29.046]  I get in here
[00:10:31.431 --> 00:10:32.832]  And I research all this news.
[00:10:32.832 --> 00:10:38.454]  I study it in the evening, at night.
[00:10:38.454 --> 00:10:39.794]  I work on Saturday and Sunday.
[00:10:39.794 --> 00:10:41.515]  I'm not complaining.
[00:10:41.515 --> 00:10:55.781]  Wild horses couldn't drag me away, but no wonder after I watch 20, 30 video clips and look at over 100 news articles conservatively, I get on air and it's like, how do I tell people how real this is?
[00:10:55.781 --> 00:11:00.403]  I have trouble believing how open this is, where yesterday,
[00:11:01.522 --> 00:11:03.804]  I probably got to only five of them.
[00:11:03.804 --> 00:11:20.475]  There was more than 20 articles from mainstream media promoting the United Nations running America's elections, our police, everything.
[00:11:20.475 --> 00:11:21.376]  It's really happening.
[00:11:24.158 --> 00:11:33.521]  And then I sit there and I watch State Department clips where they say, we'll basically turn jihadis loose in Russia to attack Russian targets inside Russia if you don't pull out.
[00:11:33.521 --> 00:11:36.342]  We have that clip coming up.
[00:11:36.342 --> 00:11:49.786]  And then I remember three years ago, the UN ambassador from Saudi Arabia, Prince Sultan Bandar, threatening the Russians with jihadi attacks if they didn't back out of Syria.
[00:11:51.618 --> 00:11:55.880]  And I know that the globalists and NATO and Hillary and Obama created ISIS.
[00:11:55.880 --> 00:11:56.721]  That's admitted.
[00:11:56.721 --> 00:11:59.162]  The Pentagon knows that.
[00:11:59.162 --> 00:12:00.342]  General Flynn knows that.
[00:12:00.342 --> 00:12:04.364]  That's really the guy in there that's the quarterback with Trump.
[00:12:04.364 --> 00:12:06.105]  Trump's the head coach.
[00:12:06.105 --> 00:12:08.086]  Let me tell you, the quarterback's Flynn.
[00:12:08.086 --> 00:12:09.527]  Flynn's running the show.
[00:12:13.097 --> 00:12:15.417]  In fact, the word is Flynn didn't even want the VP position.
[00:12:15.417 --> 00:12:16.798]  He said, no, I don't want that.
[00:12:16.798 --> 00:12:21.679]  I want to be able to totally focus on not just giving proxy speeches, but actually getting stuff lined up.
[00:12:21.679 --> 00:12:41.263]  In fact, I didn't play all of Flynn a few weeks ago whenever Trump chomped the mainstream media and said he was going to respond to the birther controversy and spent 30 seconds on it at the end of a 45 minute rally with a bunch of congressional medal honor winners and generals and former admirals and people endorsing him.
[00:12:42.003 --> 00:12:53.392]  We ought to queue that up today and play General Flynn, almost coming to tears, talking about 1775, Lexington and Concord, this is it, America's been captured, we have to take it back.
[00:12:53.392 --> 00:12:55.273]  That's what's happened, folks.
[00:12:55.273 --> 00:12:59.957]  And the news won't carry Trump's speeches when he says, Hillary Clinton is a Chinese agent.
[00:12:59.957 --> 00:13:01.918]  She is.
[00:13:01.918 --> 00:13:03.139]  This isn't rhetoric.
[00:13:03.139 --> 00:13:09.924]  So no wonder they call Trump a Russian agent, no wonder they call me a Russian agent, and
[00:13:11.581 --> 00:13:15.783]  Put our faces up there with Vladimir Putin on CNN and MSNBC and you name it.
[00:13:15.783 --> 00:13:17.384]  Because these are globalists.
[00:13:17.384 --> 00:13:19.385]  These are people that hijacked our country.
[00:13:19.385 --> 00:13:20.446]  They are the outsiders.
[00:13:20.446 --> 00:13:34.133]  And as I've said a thousand times, once you identify that an outside global force has hijacked you with 21st century high-tech algorithms that have taken over the stock markets, the interest rates, the currency rates, the economy, that's all admitted.
[00:13:34.133 --> 00:13:40.917]  And you understand that there's five megabanks that control basically almost everything now, and they want to mop up what's left of wealth to control you.
[00:13:42.526 --> 00:13:56.130]  And you identify that the New World Order is a worldwide corporate tyranny, and the former head of the NSA, technical leader, the guy that actually ran the NSA, that was number two at the NSA, comes on and I say, what is the master plan?
[00:13:56.130 --> 00:13:58.090]  He goes, a global corporate government.
[00:13:58.090 --> 00:14:01.971]  It is a technocracy, a total takeover.
[00:14:01.971 --> 00:14:07.513]  The NSA isn't joining with other companies for America, the NSA is forming a global grid.
[00:14:11.653 --> 00:14:13.556]  And this is the death of this country, people.
[00:14:13.556 --> 00:14:19.523]  You're watching it, okay?
[00:14:19.523 --> 00:14:22.687]  This is an admitted program.
[00:14:22.687 --> 00:14:24.169]  And they admit it.
[00:14:24.169 --> 00:14:25.510]  But they've done it.
[00:14:25.510 --> 00:14:26.151]  To a great extent.
[00:14:26.920 --> 00:14:33.825]  And that's why the State Department's so arrogant, and that's why the Saudis are so arrogant, and that's why the Communist Chinese are so arrogant.
[00:14:33.825 --> 00:14:53.079]  Almost every movie I go see now that has to do with technology or science fiction or action-adventure, the Communist Chinese are in it at the Politburo advising America with red flags flying, with hammers and sickles, and pictures of Mao, and then they tell NASA, they tell the Army, they tell the superheroes what to do, they tell the Avengers what to do,
[00:14:55.083 --> 00:14:59.847]  They tell, you know, what type of booster to save Matt Damon when he's stuck on Mars.
[00:14:59.847 --> 00:15:10.996]  I mean, again, when you go see almost every movie, and it's Chinese communist propaganda, you're like, what in the world is going on?
[00:15:10.996 --> 00:15:18.683]  I mean, that alone, everybody should just go, whoa, and the hair on the back of their neck.
[00:15:18.683 --> 00:15:20.805]  The first few times I started seeing it, remember they,
[00:15:21.564 --> 00:15:26.088]  Didn't release Red Dawn for over a year because it had the communist Chinese attacking?
[00:15:26.088 --> 00:15:28.510]  So they changed it to North Korea?
[00:15:28.510 --> 00:15:32.953]  And they had to reshoot and re-edit a bunch of the movie?
[00:15:32.953 --> 00:15:34.174]  That's how controlled we are!
[00:15:34.174 --> 00:15:35.575]  That's who's running our country!
[00:15:35.575 --> 00:15:38.978]  Do the Russians control what goes on our movies?
[00:15:38.978 --> 00:15:41.520]  Do the British for that matter?
[00:15:41.520 --> 00:15:44.623]  No, it's global government.
[00:15:44.623 --> 00:15:47.325]  Iceland has pulled out of it.
[00:15:47.325 --> 00:15:48.986]  The UK is trying to pull out.
[00:15:48.986 --> 00:15:50.287]  Russia is trying to pull out.
[00:15:50.287 --> 00:15:51.248]  We're trying to pull out.
[00:15:55.066 --> 00:16:03.436]  And a lot of people, like Dr. Paul Greg Roberts, who's a smart guy, but, you know, he just, he doesn't get one level of this three-dimensional chess game.
[00:16:03.436 --> 00:16:05.278]  And I say this because it's a fact.
[00:16:05.278 --> 00:16:06.860]  I've been proved right.
[00:16:06.860 --> 00:16:08.162]  The emails are all public.
[00:16:08.162 --> 00:16:09.103]  You know, the data leaks.
[00:16:09.103 --> 00:16:10.124]  It's everything I said.
[00:16:10.124 --> 00:16:12.226]  World government.
[00:16:12.226 --> 00:16:14.009]  George Soros trying to cause race wars.
[00:16:14.009 --> 00:16:14.950]  He symbolized the country.
[00:16:17.220 --> 00:16:19.442]  And criminal elites here in the U.S.
[00:16:19.442 --> 00:16:21.283]  transferring power to the U.N.
[00:16:21.283 --> 00:16:25.066]  Because Roberts goes, it's the United States and the neocons, it's not the U.N.
[00:16:25.066 --> 00:16:25.947]  I know that.
[00:16:25.947 --> 00:16:31.511]  It's criminals here transferring the power into a diplomatically immune combine.
[00:16:31.511 --> 00:16:31.971]  The U.N.'
[00:16:31.951 --> 00:16:33.352]  's only the head of it.
[00:16:33.352 --> 00:16:41.739]  The OECD, the IMF, the World Bank, the WTO, the TPP agreement, they're transferring it to this system above us.
[00:16:42.875 --> 00:16:44.977]  But he gets caught and goes, but it's America.
[00:16:44.977 --> 00:16:52.083]  Yes, it's criminals that use our energy, our weapons, our culture to empower the machine.
[00:16:52.083 --> 00:16:55.246]  But we're being melted down to form the new system.
[00:16:57.594 --> 00:16:58.315]  It's a fact.
[00:16:58.315 --> 00:17:01.977]  The UN with Justice Department power is coming in to run our police departments.
[00:17:01.977 --> 00:17:02.617]  It's a fact.
[00:17:02.617 --> 00:17:05.900]  They're running a call for reparations for, quote, black people.
[00:17:05.900 --> 00:17:11.583]  It's a fact that they're suing Arpaio and getting ready to sue the Texas government for even having any border control.
[00:17:11.583 --> 00:17:15.686]  It's a fact they're running the refugees coming into Europe and coming into the United States.
[00:17:15.686 --> 00:17:18.088]  It's a fact they're running global carbon taxes.
[00:17:18.088 --> 00:17:21.410]  It's a fact.
[00:17:21.410 --> 00:17:22.951]  But people get lost in it because
[00:17:25.729 --> 00:17:27.050]  Always!
[00:17:27.050 --> 00:17:30.413]  It was supposed to be America running the UN, America running the global government.
[00:17:30.413 --> 00:17:31.174]  That was the whole plan.
[00:17:31.174 --> 00:17:36.178]  That's why, after World War II, the United States funded the whole thing with the Rockefellers.
[00:17:36.178 --> 00:17:45.025]  And it was supposed to be America is going to project Americanism and free market into the world with this global corporate government by giving technology to third world countries to build them up.
[00:17:45.025 --> 00:17:46.526]  But it was all double-crossed.
[00:17:46.526 --> 00:17:48.588]  And by 49, the decision was made.
[00:17:48.588 --> 00:17:49.689]  It's in the Royal Commission.
[00:17:49.689 --> 00:17:51.350]  1949, look it up.
[00:17:53.541 --> 00:17:55.722]  Queen Elizabeth's father's name is on the letterhead.
[00:17:55.722 --> 00:17:59.242]  And they said, we're not going to industrialize the third world.
[00:17:59.242 --> 00:18:14.166]  We're going to exploit it, have reservations of high-tech, give them nothing, let their populations explode, and then exploit them further, and then use them in reverse colonization within the next 60 years to overtake our Western competitors.
[00:18:14.166 --> 00:18:16.387]  It's cold-blooded people.
[00:18:16.387 --> 00:18:17.667]  They got a plan.
[00:18:17.667 --> 00:18:20.108]  And they mean business.
[00:18:20.108 --> 00:18:21.028]  And you've got corrupt
[00:18:22.512 --> 00:18:28.414]  Strongman, gangster-style Russia.
[00:18:28.414 --> 00:18:34.857]  Stumbling around, trying to get reorganized, that barely pulled away from the robber barons.
[00:18:34.857 --> 00:18:41.819]  And the West is trying to destroy that, while it's trying to destroy itself.
[00:18:41.819 --> 00:18:48.622]  And the Brits learn, hey, 90% of your laws, or more, are made by the European Union, and you never got to vote to enter it.
[00:18:49.673 --> 00:18:52.294]  So the Brits vote to go, yeah, we should be able to make our own laws.
[00:18:52.294 --> 00:18:54.095]  We want out of this.
[00:18:54.095 --> 00:18:55.595]  We don't want open borders.
[00:18:55.595 --> 00:18:56.756]  We don't want all these huge taxes.
[00:18:56.756 --> 00:18:59.757]  We don't want to be like France or Germany.
[00:18:59.757 --> 00:19:04.699]  And I told you before it happened, I said, this mayor is going to ignore all this, this Muslim mayor.
[00:19:04.699 --> 00:19:09.480]  And it's going to say, I'm going to issue visas within the city I control.
[00:19:09.480 --> 00:19:10.601]  And of course, he's now announced that.
[00:19:10.601 --> 00:19:11.521]  And how did I know he'd do that?
[00:19:11.521 --> 00:19:13.642]  Because it's a battle plan.
[00:19:13.642 --> 00:19:16.683]  Arnold, I'm going to skip this break, Schwarzenegger.
[00:19:20.782 --> 00:19:30.305]  Was hired six years ago when the Copenhagen Treaty fell through for carbon taxes globally because it raped the third world.
[00:19:30.305 --> 00:19:32.066]  It was sold as a way to empower the third world.
[00:19:32.066 --> 00:19:34.667]  Oh, liberal, loving, a liberal world order.
[00:19:34.667 --> 00:19:36.868]  It was a nightmare system of eugenics and control.
[00:19:36.868 --> 00:19:40.809]  Would kill a billion people over a decade, most experts agreed.
[00:19:40.809 --> 00:19:41.709]  Horrible.
[00:19:41.709 --> 00:19:42.950]  How about turning the global economy off?
[00:19:42.950 --> 00:19:43.390]  This would do it.
[00:19:43.390 --> 00:19:47.271]  And then make who was surviving in third world's flood even harder.
[00:19:47.271 --> 00:19:48.952]  Again, the big refugee crisis they've been planning.
[00:19:50.245 --> 00:20:16.010]  And Schwarzenegger was dispatched to organize programs to get mayors elected with UN and IMF and World Bank and Soros money in every major industrialized country to then create their own sanctuary cities and to quote work with the UN and become partners with it to circumvent national sovereignty and Schwarzenegger gave press conferences and was in the news saying we're going to circumvent Congress
[00:20:17.133 --> 00:20:22.815]  We're going to circumvent this and we're going to implement this because the Earth needs to be safe.
[00:20:22.815 --> 00:20:24.036]  It's heating up!
[00:20:24.036 --> 00:20:26.477]  It is heating up!
[00:20:26.477 --> 00:20:36.041]  This is a pig with, admittedly, thousands of automatic weapons, four or five army tanks, helicopters with rocket launchers on them, because he's an elitist, he can have it.
[00:20:36.041 --> 00:20:40.302]  He wants to ban semi-auto.
[00:20:40.302 --> 00:20:45.565]  But it's okay because he's a Republican and Republicans feel good because, oh, he's in our team or whatever.
[00:20:45.565 --> 00:20:46.145]  Pure bull.
[00:20:48.652 --> 00:20:50.434]  So I knew what Khan would do.
[00:20:50.434 --> 00:20:51.436]  I looked at who funded him.
[00:20:51.436 --> 00:20:52.076]  I knew.
[00:20:52.076 --> 00:20:53.518]  I know the exact battle plan.
[00:20:53.518 --> 00:20:54.459]  I know their playbook.
[00:20:54.459 --> 00:20:56.462]  And by the way, I'm not bragging.
[00:20:56.462 --> 00:21:02.650]  How stupid are our governors and others that think they know what's going on and are only partly fighting this when this is, you know, it's like...
[00:21:04.036 --> 00:21:13.959]  I mean, I get called sometimes by former governors, current governors, and they're like, Alex, I don't want to come on the air, but I want you to know we listen all the time, but you're just, you're the tip of the spear, and thanks for making it safe for us to talk, but wow, you're being proven right.
[00:21:13.959 --> 00:21:15.279]  This is really happening.
[00:21:15.279 --> 00:21:18.480]  And I'm like, this is much worse than I'm even saying, okay?
[00:21:18.480 --> 00:21:19.360]  This is cut and dry.
[00:21:19.360 --> 00:21:24.102]  You must address it for how bad it is, and how serious it is, because that's what it is.
[00:21:25.327 --> 00:21:46.860]  If an asteroid was coming, and it was 2 million miles out, and it was going to get here in a couple months, and it was the size of Rhode Island, and was going to kill all the life on Earth and create a new ice age, we need to get ships on the gantry, on the launch pad, we need to launch everything we've got with weapons, and go out there and nuke the damn thing.
[00:21:46.860 --> 00:21:47.481]  Or die trying.
[00:21:48.837 --> 00:21:50.837]  Oh, that's fear-mongering to say a giant asteroid's coming.
[00:21:50.837 --> 00:21:53.198]  Again, this is figurative for the New York Times and others.
[00:21:53.198 --> 00:21:56.838]  You'll still deceive your people and still let somebody see and cut me out saying a giant asteroid's coming.
[00:21:56.838 --> 00:21:58.099]  It's an analogy.
[00:21:58.099 --> 00:21:59.319]  It's an allegory.
[00:21:59.319 --> 00:22:00.319]  It's a parable.
[00:22:00.319 --> 00:22:01.159]  It's an example.
[00:22:01.159 --> 00:22:02.639]  It's a case point.
[00:22:02.639 --> 00:22:06.060]  You've got this 25-mile-wide asteroid coming, okay?
[00:22:06.060 --> 00:22:07.280]  It's a couple million miles away.
[00:22:07.280 --> 00:22:09.180]  It's going to be here in a few months.
[00:22:09.180 --> 00:22:13.181]  We could mobilize and stop it, but you've got to admit the damn thing's coming.
[00:22:13.181 --> 00:22:18.062]  You've got to admit it's going to t-bone right in the middle of the Pacific Ocean with the computer models.
[00:22:19.155 --> 00:22:20.376]  They know when it's gonna hit!
[00:22:20.376 --> 00:22:22.537]  They know the minute it's coming into the atmosphere!
[00:22:22.537 --> 00:22:26.680]  We gotta stop it!
[00:22:26.680 --> 00:22:44.312]  We are faced with a technological takeover, stealing our ingenuity, stealing our ideas, sequestering it, building a breakaway civilization, that's mopping up Africa, mopping up Latin America, mopping up Asia, mopping up Russia, mopping up the Middle East, with destabilization,
[00:22:45.390 --> 00:22:46.932]  Mopping up our families.
[00:22:46.932 --> 00:22:48.613]  Mopping up our farms.
[00:22:48.613 --> 00:22:52.737]  Mopping up the Amish.
[00:22:52.737 --> 00:22:53.398]  Ending everything!
[00:22:55.475 --> 00:23:01.736]  And they write books, and they brag, and they say, the future doesn't need you, it's gonna be great, we're gonna phase you out, it's gonna be a utopia, you're done.
[00:23:01.736 --> 00:23:13.979]  And they just walk by like we don't even exist, and then they have these stay-behind networks, these rearguard actions as they build their breakaway civilization over here on the launchpad right in front of us, a hundred times the Manhattan Project in their own words.
[00:23:13.979 --> 00:23:17.760]  I'm here going, uh, uh, uh, they're so arrogant they admit this, we gotta do something.
[00:23:20.270 --> 00:23:25.752]  And the average man is telling me about fantasy football, and the average woman, you know, is getting their eyelashes done.
[00:23:25.752 --> 00:23:27.433]  Fine, I mean, I get it, whatever.
[00:23:27.433 --> 00:23:31.635]  It's going on about your life.
[00:23:31.635 --> 00:23:44.381]  And I'm sitting here, watching these idiots in mainstream media, who are going along with the destruction of the planet and their own species, thinking they're on a winning team, reading off teleprompters.
[00:23:44.381 --> 00:23:46.802]  When their kids are eating GMO, they're breathing the poison air.
[00:23:51.132 --> 00:23:52.953]  Everywhere I turn, people are getting Parkinson's.
[00:23:52.953 --> 00:23:54.254]  Young people.
[00:23:54.254 --> 00:23:55.535]  Neurological disorders.
[00:23:55.535 --> 00:23:57.616]  We are being murdered.
[00:23:57.616 --> 00:24:08.282]  The globalists are on such a demonic power trip that they believe they're going to have this super technology soon, with the singularities, they can just do whatever they want, clean up the earth in a flash, whatever, where they don't even care if reactors leak or melt down now.
[00:24:08.282 --> 00:24:12.144]  They admit they just have, you know, Mombiot and the Guardian going, I love radiation, it's good, ooh!
