[00:00:04.676 --> 00:00:05.897]  It's October 30th, 2016.
[00:07:43.608 --> 00:07:47.612]  And we have it from sources as high as it gets, exactly what's happening.
[00:07:47.612 --> 00:07:49.794]  And what's happening is panic.
[00:07:49.794 --> 00:07:57.601]  Comey is hedging his bet because all the evidence shows a landslide for Donald Trump, which is very hard to steal, in eight, nine days.
[00:07:59.380 --> 00:08:00.261]  That's the bottom line.
[00:08:00.261 --> 00:08:09.107]  We know that last Monday, one of the new data dumps came out from Wikileaks from Podesta's emails, her Chief of Staff, where he said, I can't believe how illegal this is.
[00:08:09.107 --> 00:08:12.089]  We should draw and quarter the folks that are involved in this.
[00:08:12.089 --> 00:08:14.231]  Who the hell told Hillary she could do this?
[00:08:14.231 --> 00:08:15.992]  It's totally illegal.
[00:08:15.992 --> 00:08:17.853]  It's got her staff saying, we've got to cover this up.
[00:08:17.853 --> 00:08:19.595]  And the White House saying, yes, cover it up.
[00:08:19.595 --> 00:08:21.756]  The President's using an illegal email, too.
[00:08:21.756 --> 00:08:23.758]  He's told everybody he doesn't have one.
[00:08:23.758 --> 00:08:25.179]  They're going to catch us.
[00:08:25.179 --> 00:08:26.500]  I mean, this all came out Monday.
[00:08:27.563 --> 00:08:33.266]  On top of everything else, them calling black people dumb and their constituents dumb.
[00:08:33.266 --> 00:08:40.289]  I mean, every day, mega information comes out that if Trump had one of these, it'd be over.
[00:08:40.289 --> 00:08:42.070]  They have hundreds and hundreds and hundreds.
[00:08:42.070 --> 00:08:47.393]  I've asked Paul Watson tomorrow to come out with the 20 most important WikiLeaks concerning this election.
[00:08:47.393 --> 00:08:48.293]  That sounds like a lot.
[00:08:48.293 --> 00:08:48.773]  That is out of...
[00:08:50.495 --> 00:09:02.777]  Hundreds and hundreds and hundreds and hundreds and hundreds and hundreds and hundreds of thousands of these things with them rigging the polls and rigging the media and wanting to make us poor and wanting to keep us dumb.
[00:09:02.777 --> 00:09:11.859]  And they say, we gotta keep them poor, we gotta keep them dumb, we gotta keep them absolutely hopeless, we gotta keep them in the dark, we gotta keep them distracted.
[00:09:11.859 --> 00:09:14.759]  These are words they use for us.
[00:09:14.759 --> 00:09:17.900]  And then you see their supporters, mentally ill,
[00:09:22.793 --> 00:09:28.278]  You see the supporters like absolute Stockholm victims.
[00:09:28.278 --> 00:09:32.282]  And they're not like Stockholm victims.
[00:09:32.282 --> 00:09:32.822]  They are.
[00:09:32.822 --> 00:09:45.875]  Stockholm Syndrome happens especially with women, where if you have a kidnapper or you have somebody that has basically taken control of your life and is abusing you, you then decide that you are going to support them.
[00:09:47.486 --> 00:09:47.766]  You think?
[00:10:10.242 --> 00:10:16.307]  Even this election, because it deals with the eugenics, medical tyranny behind the scenes that is pulling the strings.
[00:10:16.307 --> 00:10:19.030]  Here is part of this bombshell report that needs to be spread.
[00:10:19.030 --> 00:10:23.994]  It's at Infowars.com.
[00:10:23.994 --> 00:10:31.201]  ... instances of secret government testing on the American people where tens of thousands were maimed and killed.
[00:10:31.201 --> 00:10:32.502]  The enemy thinks we're stupid.
[00:10:33.627 --> 00:10:41.191]  They believe they can commit crimes so over-the-top evil that average good men and women will not be able to believe it's happening.
[00:10:41.191 --> 00:10:44.192]  But history and the facts show it is happening.
[00:10:44.192 --> 00:10:54.578]  And humanity, the sleeping giant, is awakening.
[00:10:54.578 --> 00:10:59.380]  Ladies and gentlemen, I am going to give you information that is absolutely 100% life and death.
[00:11:02.110 --> 00:11:14.554]  And I'm begging all of you, especially parents, grandparents, siblings, you name it, of unborn and small children to listen to me very, very carefully.
[00:11:14.554 --> 00:11:15.835]  I have researched
[00:11:17.369 --> 00:11:29.480]  With in-depth analysis, what's really happening in this country but also around the world, and it is the most horrific, criminal, murderous cover-up that this planet's ever seen.
[00:11:29.480 --> 00:11:34.905]  There is a covert holocaust going on of secret testing on humanity.
[00:11:35.666 --> 00:11:41.390]  Everybody knows about Tuskegee and secretly shooting black people up with syphilis over 45 years.
[00:11:41.390 --> 00:11:44.072]  Everybody knows about secret radiation testing on kids in the U.S.
[00:11:44.072 --> 00:11:47.655]  and what Joseph Mengele did with the Nazis and what the Soviets did.
[00:11:47.655 --> 00:11:56.262]  Ladies and gentlemen, it's going on today, bigger than ever, and no one is even covering it.
[00:11:56.262 --> 00:12:03.007]  Now, I saw an article in the LA Times today saying hundreds and hundreds of children suddenly, when they're about a year old,
[00:12:04.432 --> 00:12:11.445]  Stop moving or two years old stop walking and then they stop breathing and then some die and we don't know what's happening.
[00:12:13.848 --> 00:12:21.476]  Ladies and gentlemen, I saw this done 10 years ago in Pakistan and in other areas of Central Asia, where they would go and give polio vaccine.
[00:12:21.476 --> 00:12:23.278]  It would actually cause polio.
[00:12:23.278 --> 00:12:26.442]  And then they would announce that they didn't know why everybody was getting paralyzed.
[00:12:26.442 --> 00:12:30.647]  Then other aid groups would go and test and find out they were getting polio from the shots.
[00:12:30.647 --> 00:12:31.568]  Just Google it.
[00:12:31.568 --> 00:12:32.769]  We can put it on screen.
[00:12:32.769 --> 00:12:34.971]  Children got, by the tens of thousands, polio from the shot.
[00:12:36.516 --> 00:12:40.078]  You look here in the United States, it's a combo of things.
[00:12:40.078 --> 00:12:57.008]  But if you read the flu shot insert, or the tetanus shot insert, or any of the major inserts, it says, causes Guillain-Barré and other neurological disorders, which are your hands, your feet becoming numb, then you can't walk, then you become paralyzed, in some cases you die, but not generally.
[00:12:57.008 --> 00:12:59.870]  They're not telling people there's treatments for Guillain-Barré.
[00:12:59.870 --> 00:13:00.950]  These doctors know.
[00:13:00.950 --> 00:13:04.873]  Now listen, Rob Dew about two years ago interviewed some of the nurses that contacted us.
[00:13:06.161 --> 00:13:12.989]  And they told us how in the preemie wards, they're ordered to give the preemies vaccines, which never sort of happened until five years ago.
[00:13:12.989 --> 00:13:17.434]  And they all get them ready to put them on respirators because they follow the orders and give them the shot.
[00:13:17.434 --> 00:13:20.358]  And then they stop breathing and prepare to die.
[00:13:21.445 --> 00:13:22.406]  We'll link to that interview here.
[00:13:41.616 --> 00:13:53.266]  Ladies and gentlemen, they are practicing getting doctors and nurses and everyone to go along with this entire program when the insert says vaccines cause Guillain-Barre's, especially in children.
[00:13:53.266 --> 00:13:57.769]  They're testing to see how many children they can give neurological disorders.
[00:13:58.670 --> 00:14:01.813]  And see if the nurses and doctors in public don't notice.
[00:14:01.813 --> 00:14:10.480]  They're testing soft kill on the public to see if they can manage massive numbers of dead and dying and maimed children.
[00:14:10.480 --> 00:14:12.581]  Again, the doctors and nurses aren't even involved.
[00:14:12.581 --> 00:14:15.964]  They're command and controlled, told from the top down.
[00:14:15.964 --> 00:14:17.945]  And this is a huge test to see what they can get away with.
[00:14:18.886 --> 00:14:23.033]  We've gone from 1 in 30,000 with autism 36 years ago.
[00:14:23.033 --> 00:14:27.480]  Now, in the year 2016, 1 in 58 American children has autism.
[00:14:27.480 --> 00:14:29.763]  In South Korea, it's like something like 1 in 30.
[00:14:29.763 --> 00:14:30.845]  Look it up.
[00:14:30.845 --> 00:14:31.766]  In fact, the numbers are getting worse.
[00:14:32.837 --> 00:14:33.998]  This is assaulting us.
[00:14:33.998 --> 00:14:41.386]  It's causing autoimmune releases in the brain, swelling on the brain, and in the young, it's causing them to be paralyzed.
[00:14:41.386 --> 00:14:47.272]  Guillain-Barré is only one of the problems on the insert, but they go to the doctors and they're not allowed to say it now.
[00:14:47.272 --> 00:14:48.534]  They're told by the hospitals.
[00:14:48.534 --> 00:14:50.756]  So they go, we don't know why, we don't know why.
[00:14:50.756 --> 00:14:54.020]  But inside the hospitals, the doctors have reached out to us, the nurses have as well.
[00:14:54.760 --> 00:14:56.041]  They know it's the vaccines.
[00:14:56.041 --> 00:14:57.323]  They know it's the autoimmune responses.
[00:14:57.323 --> 00:15:01.687]  They've gone from like 15 vaccines they wanted to give them 20 years ago to 40, 50, 60.
[00:15:01.687 --> 00:15:03.248]  Now they want to do 100 by 2020.
[00:15:03.248 --> 00:15:06.711]  They're talking about people getting thousands of vaccines by 2025.
[00:15:06.711 --> 00:15:12.997]  And then as people die and become brain damaged, they play dumb and go, we don't know why.
[00:15:12.997 --> 00:15:13.858]  Ladies and gentlemen,
[00:15:14.935 --> 00:15:18.136]  Japan has banned giving vaccines until 18 months.
[00:15:18.136 --> 00:15:22.298]  Other countries have banned Gardasil that's been killing little girls around the world.
[00:15:22.298 --> 00:15:23.039]  Don't believe me.
[00:15:23.039 --> 00:15:24.119]  This is life and death.
[00:15:24.119 --> 00:15:27.441]  If you care about your kids, look into it and find out for yourself.
[00:15:27.441 --> 00:15:28.781]  They know the mystery.
[00:15:28.781 --> 00:15:30.362]  They know why.
[00:15:30.362 --> 00:15:34.484]  And the doctors and nurses are telling us they're ordered not to tell the people.
[00:15:34.484 --> 00:15:35.564]  I'm here on Saturday night.
[00:15:35.564 --> 00:15:36.204]  That's right.
[00:15:36.204 --> 00:15:37.825]  I shot that last night.
[00:15:37.825 --> 00:15:39.486]  There's a couple more minutes of the report.
[00:15:39.486 --> 00:15:43.728]  If you're a radio listener, it has news articles, documentation that the government knows.
[00:15:44.631 --> 00:15:47.353]  That millions of people are brain damaged a year in the U.S.
[00:15:47.353 --> 00:15:49.234]  alone from vaccines.
[00:15:49.234 --> 00:15:55.718]  The polio vaccine alone, they admit, of the 70s killed 100 plus million Americans with cancer.
[00:15:55.718 --> 00:15:57.399]  It kills you, okay?
[00:15:57.399 --> 00:15:58.740]  So you are being murdered.
[00:15:58.740 --> 00:15:59.220]  That's a fact.
[00:16:00.532 --> 00:16:02.254]  I'm Alex Jones with a simple question.
[00:16:02.254 --> 00:16:06.537]  Will you and your family be financially protected if there's another economic meltdown?
[00:16:06.537 --> 00:16:10.120]  Like many experts, I believe another devastating crash is coming.
[00:16:10.120 --> 00:16:12.162]  I think it's a matter of when, not if.
[00:16:12.162 --> 00:16:15.064]  Don't wait for another crisis that could wipe out your hard-earned money.
[00:16:15.064 --> 00:16:20.589]  Do what I did and call United States Gold Vault at 844-541-ALEX.
[00:16:20.589 --> 00:16:21.950]  It's a company I trust.
[00:16:21.950 --> 00:16:27.755]  They're offering gold and silver coin survival packs that could help safeguard your money in an economic meltdown.
[00:16:28.035 --> 00:16:31.256]  I'm talking real money, not paper or worthless stocks.
[00:16:31.256 --> 00:16:35.697]  China recently bought more than a billion dollars worth of gold, proving that gold is on the move.
[00:16:35.697 --> 00:16:41.539]  Gold and silver are recognized worldwide as one of the most stable means of protecting finances.
[00:16:41.539 --> 00:16:42.219]  Don't delay.
[00:16:42.219 --> 00:16:49.241]  Call 844-541-ALEX now and get a rugged double locked bank bag to securely store your coins absolutely free.
[00:16:49.241 --> 00:16:53.702]  These are dangerous times and you need to make financial protection a priority.
[00:16:54.022 --> 00:16:56.643]  I personally own these survival packs and you should too.
[00:16:56.643 --> 00:17:00.385]  Pick up the phone and call 844-541-ALEX-NOW.
[00:17:00.385 --> 00:17:08.648]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war.
[00:17:08.648 --> 00:17:09.869]  A 360 win.
[00:17:09.869 --> 00:17:13.371]  Number one, when you choose auto ship before checkout, we give you 10% off.
[00:17:14.511 --> 00:17:16.432]  On your order at InfoWareStore.com.
[00:17:16.432 --> 00:17:24.357]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[00:17:24.357 --> 00:17:29.040]  Number three, we're giving you free shipping on all orders above $50.
[00:17:29.040 --> 00:17:35.545]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[00:17:35.545 --> 00:17:37.186]  Just go to InfoWareStore.com.
[00:17:37.186 --> 00:17:39.027]  Select your favorite product or products.
[00:17:39.087 --> 00:17:43.331]  Just click on AutoShip and choose how often you want us to send you another order.
[00:17:43.331 --> 00:17:50.537]  As you know, I coined the term 360Win, and with the new AutoShip feature at InfoWarsLife.com, this is a sure win.
[00:17:50.537 --> 00:17:51.498]  10% off on AutoShip.
[00:17:51.498 --> 00:17:53.920]  Win, win, win at InfoWarsLife.com.
[00:17:53.920 --> 00:17:55.922]  Free shipping on orders above $50.
[00:17:55.922 --> 00:17:59.786]  And all out of stock items are never out of stock when you sign up for AutoShip.
[00:18:01.613 --> 00:18:03.913]  Electrify your day with Secret 12.
[00:18:03.913 --> 00:18:05.474]  It's like lightning in a bottle!
[00:18:05.474 --> 00:18:09.374]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:18:09.374 --> 00:18:17.316]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:18:17.316 --> 00:18:22.277]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:18:22.277 --> 00:18:27.738]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:18:28.098 --> 00:18:35.862]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:18:35.862 --> 00:18:40.585]  It pairs two forms of vitamin B12 into one explosive formula.
[00:18:40.585 --> 00:18:46.468]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[00:18:46.468 --> 00:18:49.630]  But it also assists with many other functions of the body.
[00:18:49.630 --> 00:18:52.852]  Electrify your mind and body and take your health to the next level.
[00:18:53.172 --> 00:18:57.059]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:18:57.059 --> 00:18:58.682]  That's InfoWarsLife.com.
[00:19:01.027 --> 00:19:06.090]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:19:06.090 --> 00:19:14.934]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:19:14.934 --> 00:19:18.896]  Longevity also offers you an ingenious way to augment your income.
[00:19:18.896 --> 00:19:19.677]  And the best part?
[00:19:19.677 --> 00:19:22.558]  You'll be helping your friends and family along the way.
[00:19:22.558 --> 00:19:25.179]  Visit InfoWarsTeam.com today.
[00:19:25.179 --> 00:19:25.860]  Become a member.
[00:19:25.860 --> 00:19:30.022]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:19:30.222 --> 00:19:36.965]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:19:36.965 --> 00:19:37.906]  Another win-win.
[00:19:37.906 --> 00:19:41.647]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:19:41.647 --> 00:19:42.888]  And you can be too.
[00:19:42.888 --> 00:19:43.448]  It's simple.
[00:19:43.448 --> 00:19:46.390]  Just go to Infowarsteam.com today.
[00:19:46.390 --> 00:19:48.491]  Complete a short sign-up and you're part of the team.
[00:19:48.491 --> 00:19:51.732]  That's Infowarsteam.com or Infowarshealth.com.
[00:19:51.732 --> 00:19:58.055]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:19:58.055 --> 00:19:59.356]  Check it out for yourself today.
[00:20:05.026 --> 00:20:07.635]  You're listening to The Alex Jones Show!
[00:20:16.607 --> 00:20:23.134]  Fear is the passion of slaves, and this man knows no fear.
[00:20:23.134 --> 00:20:26.198]  He is Alex Jones.
[00:20:26.198 --> 00:20:29.702]  Yeah, that's one of the few liners I didn't write.
[00:20:29.702 --> 00:20:32.244]  I know a lot of fear.
[00:20:32.244 --> 00:20:37.630]  I know the fear of turning my soul over to evil and submitting to this tyranny.
[00:20:38.656 --> 00:20:43.657]  And I know the fear of seeing my fellow citizens and my fellow humans acting like zombies.
[00:20:43.657 --> 00:20:55.380]  Here's an example before I spend the entire rest of the hour and a half after this next break of the broadcast on the Hillary situation, the election, the inside baseball, the inside scoop.
[00:20:55.380 --> 00:20:56.541]  We've got it.
[00:20:56.541 --> 00:21:00.702]  We've got the inside scoop, the best thinking on it, and what's currently happening.
[00:21:00.702 --> 00:21:04.383]  Coming up with Larry Nichols and Roger Stone and more today.
[00:21:04.383 --> 00:21:05.803]  Larry Nichols at the start of the next segment.
[00:21:07.927 --> 00:21:15.793]  We put out a campaign ad dealing with the fact that Hillary's called for major war with Russia and others.
[00:21:15.793 --> 00:21:22.939]  That is undoubtedly the most powerful campaign ad of 2016.
[00:21:22.939 --> 00:21:29.525]  And the name of the video is, this might be the wildest campaign ad I've ever seen.
[00:21:29.525 --> 00:21:31.506]  And it deals with World War III.
[00:21:31.506 --> 00:21:34.589]  Now on Facebook, on one version of it, it has two million
[00:21:36.411 --> 00:21:38.313]  Plus views.
[00:21:38.313 --> 00:21:39.153]  2.3 million.
[00:21:39.153 --> 00:21:42.596]  Now to most people that is a super ultra viral video.
[00:21:42.596 --> 00:21:46.059]  I mean Donald Trump thinks a video with a million views is viral.
[00:21:46.059 --> 00:21:54.025]  We have videos with 15 million, 30 million, 20 million, 18 million, 16 million, 10 million.
[00:21:54.025 --> 00:21:57.108]  Every week we have videos with 5, 6, 7, 8, 9, 10 million.
[00:21:57.108 --> 00:21:59.690]  Every month we have videos with 15, 20 million.
[00:21:59.690 --> 00:22:02.192]  We have had videos with 30 million, 40 million, 50 million, 60 million, 80 million, 100 million before.
[00:22:06.581 --> 00:22:07.102]  Many times.
[00:22:07.102 --> 00:22:09.948]  I've only had one with over 100 million once.
[00:22:09.948 --> 00:22:15.859]  But the point is that whenever I want something to go super viral, it doesn't go viral.
[00:22:17.998 --> 00:22:24.420]  And then when something's important, but not as important as other issues, it gets 500,000 views, 2 million views, 3 million views.
[00:22:24.420 --> 00:22:30.521]  And the reason this is important is, we have 3, 4, 5 million, depending on which day of the week it is, people tuning into the radio show.
[00:22:30.521 --> 00:22:34.782]  You're the hardcore, awake Americans and people globally that understand what's happening.
[00:22:34.782 --> 00:22:38.143]  You're the brain trust in global resistance against these tyrants.
[00:22:38.143 --> 00:22:41.024]  You're a godsend.
[00:22:41.024 --> 00:22:45.885]  But on YouTube and Facebook, we reach people that have never been reached in many cases with the truth.
[00:22:46.894 --> 00:22:51.697]  And we reach them with incontrovertible evidence.
[00:22:51.697 --> 00:23:00.844]  We show people the... ...WikiLeaks emails that the media isn't covering.
[00:23:00.844 --> 00:23:02.725]  Or they call you stupid.
[00:23:02.725 --> 00:23:04.527]  Or they say they want you poor.
[00:23:04.527 --> 00:23:06.268]  Or they say they want to hurt you.
[00:23:06.268 --> 00:23:09.490]  Or they say that they want to bankrupt the nation to control us.
[00:23:09.490 --> 00:23:12.752]  Or they say black people are dumb.
[00:23:12.752 --> 00:23:14.894]  Or they admit they're engaged in criminal activity.
[00:23:16.380 --> 00:23:18.081]  One of these will bring them down.
[00:23:18.081 --> 00:23:20.363]  We have thousands.
[00:23:20.363 --> 00:23:23.604]  We put videos out that get millions of views.
[00:23:23.604 --> 00:23:30.449]  I mean, I put out eight videos yesterday that all total have about 2 million views if you go and tally it up.
[00:23:30.449 --> 00:23:31.309]  So I feel good.
[00:23:31.309 --> 00:23:36.352]  I could sleep last night knowing what's going on only because I had 2 million extra views.
[00:23:36.352 --> 00:23:37.613]  I must have 50 million.
[00:23:37.613 --> 00:23:38.874]  I must have 100 million.
[00:23:38.874 --> 00:23:40.735]  If you think I'm joking, I'm not.
[00:23:42.492 --> 00:23:44.994]  I'm not up here to lose this thing, okay?
[00:23:44.994 --> 00:23:45.975]  I know how evil they are.
[00:23:45.975 --> 00:23:50.059]  Now I'm going to speak very slowly and very clearly because I'm so pissed right now.
[00:23:50.059 --> 00:23:52.841]  I'm about to walk off and I'm going to do the show.
[00:23:52.841 --> 00:23:57.705]  That has nothing to do with you or even the audience or the crew.
[00:23:57.705 --> 00:24:04.451]  It's that I am a bad person because I care and that scene is sick today.
[00:24:04.451 --> 00:24:09.075]  And I'm not up here saying I'm a bad person because I want to make a joke out of it or be satirical.
[00:24:10.239 --> 00:24:12.521]  I am a bad person compared to the average person.
[00:24:12.521 --> 00:24:14.482]  I am the immoral person that cares.
[00:24:14.482 --> 00:24:16.243]  I'm the immoral person that's informed.
[00:24:16.243 --> 00:24:17.964]  I'm the immoral person that's involved.
