[00:00:00.370 --> 00:00:03.884]  And your support is helping us defend liberty worldwide.
[00:03:03.118 --> 00:03:18.303]  As Zero Hedge reports, Wikileaks has now verified what former head of the Bank of England, Mervyn King, admitted one month ago when he said that Europe's economic depression is the result of deliberate policy choices made by EU elites.
[00:03:18.643 --> 00:03:25.986]  It is also what AIG bank strategist Bernard Connolly said back in 2008 when laying out what Europe wants.
[00:03:26.226 --> 00:03:47.182]  The evidence is staggering, as Wikileaks published the transcript of a teleconference that took place on March 19, 2016, between the top two IMF officials in charge of managing the Greek debt crisis, Paul Thompson, the head of IMF's European Department, and Delia Velkulescu, the IMF mission chief for Greece.
[00:03:47.722 --> 00:04:09.477]  The IMF officials say that a threat of an imminent financial catastrophe, as The Guardian puts it, is needed to force other players into accepting its measures, such as cutting Greek pensions and working conditions, or as Bloomberg puts it, considering a plan to cause a credit event in Greece and destabilize Europe.
[00:04:09.737 --> 00:04:11.919]  Under the banner of the globalist soft war,
[00:04:12.199 --> 00:04:22.524]  Through the terror of ISIS, Europe is gradually being forced into total submission, while many Americans bitterly cling to their blind ignorance in the face of an upcoming storm.
[00:04:22.544 --> 00:04:24.505]  Oh, I see nothing!
[00:04:24.766 --> 00:04:25.866]  I was not here!
[00:04:26.126 --> 00:04:28.688]  I did not even get up this morning!
[00:04:30.708 --> 00:04:34.252]  With all due respect, the fact is we had four dead Americans.
[00:04:34.292 --> 00:04:39.517]  Was it because of a protest or was it because of guys out for a walk one night who decided they'd go kill some Americans?
[00:04:40.078 --> 00:04:42.621]  What difference at this point does it make?
[00:04:42.961 --> 00:04:49.368]  It is our job to figure out what happened and do everything we can to prevent it from ever happening again, Senator.
[00:04:49.588 --> 00:04:59.245]  As ISIS Brigadier General Hillary Clinton lectures the home of the brave and the land of the free, the average American citizen is genuinely insulted.
[00:04:59.545 --> 00:05:00.847]  John Bowne for InfoWars.com
[00:05:02.870 --> 00:05:07.552]  Another powerful hard-hitting report by John Bowne posted on InfoWars.com right now.
[00:05:07.572 --> 00:05:07.992]  Stay with us.
[00:05:08.792 --> 00:05:09.813]  Brain Force is here.
[00:05:10.353 --> 00:05:12.634]  Ladies and gentlemen, I've been on this the last few months.
[00:05:12.894 --> 00:05:20.717]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[00:05:21.485 --> 00:05:24.627]  One of the worst things with most energy products is it's not sustainable.
[00:05:24.927 --> 00:05:25.067]  Right?
[00:05:25.087 --> 00:05:27.429]  You're gonna crash and gonna feel really bad afterwards.
[00:05:27.789 --> 00:05:31.292]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:05:31.352 --> 00:05:34.494]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:05:34.994 --> 00:05:39.797]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:05:40.338 --> 00:05:42.159]  For example, the L-theanine inside of it.
[00:05:42.519 --> 00:05:46.942]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:05:47.102 --> 00:05:49.124]  This just increases the compounds you already have.
[00:05:49.744 --> 00:05:51.205]  This is what you're actually designed to run on.
[00:05:51.345 --> 00:05:51.585]  Exactly.
[00:05:51.605 --> 00:05:55.389]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:05:55.910 --> 00:06:03.197]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com.
[00:06:03.458 --> 00:06:03.918]  Or call 888-253-3139.
[00:06:08.660 --> 00:06:11.642]  A clean, toxic-free body is the foundation of true health.
[00:06:11.922 --> 00:06:21.527]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:06:21.827 --> 00:06:27.010]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:06:27.110 --> 00:06:35.955]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:06:36.215 --> 00:06:44.798]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:06:45.038 --> 00:06:51.961]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigerex herbal processing technique.
[00:06:52.101 --> 00:06:58.183]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[00:06:58.463 --> 00:07:02.926]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:07:02.966 --> 00:07:06.809]  That's InfoWarsLife.com or call 888-253-3139.
[00:07:08.370 --> 00:07:09.750]  Clean, pure drinking water.
[00:07:10.011 --> 00:07:11.311]  You can't survive without it.
[00:07:11.492 --> 00:07:12.412]  But where do you get it?
[00:07:12.712 --> 00:07:18.476]  Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[00:07:18.696 --> 00:07:24.420]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:07:24.600 --> 00:07:41.455]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:07:41.855 --> 00:07:43.977]  Filter capacity up to 5,000 gallons.
[00:07:44.337 --> 00:07:45.538]  Stainless steel construction.
[00:07:45.819 --> 00:07:46.579]  Easy assembly.
[00:07:46.860 --> 00:07:47.480]  Low maintenance.
[00:07:47.760 --> 00:07:49.582]  Replacement filters are simple to install.
[00:07:49.862 --> 00:07:56.989]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:07:57.149 --> 00:08:02.153]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:08:02.354 --> 00:08:04.916]  Go to InfowarsStore.com or call 888-253-3139.
[00:08:12.366 --> 00:08:20.408]  Born upon the altar of God, eternal hostility against every form of tyranny over the mind of man.
[00:08:21.188 --> 00:08:22.228]  Thomas Jefferson.
[00:08:22.768 --> 00:08:26.509]  It's Alex Jones on the GCN Radio Network.
[00:08:31.451 --> 00:08:36.992]  April 6th, 2016 on this Wednesday Worldwide Broadcast.
[00:08:38.208 --> 00:08:52.733]  The private run-for-profit Federal Reserve that got its economic beachhead in New York City in 1913 has now basically taken over the United States and almost the entire world with its economic fraud.
[00:08:54.494 --> 00:09:01.257]  You gotta hand it to those foreign central banks and those foreign robber baron families.
[00:09:02.057 --> 00:09:04.258]  They know how to conquer a country by stealth.
[00:09:06.297 --> 00:09:12.379]  Coming up today, we are going to have the aftermath and we're going to look forward into the future.
[00:09:14.139 --> 00:09:27.443]  I talked to Roger Stone a few weeks ago and he said that he thought Trump would lose Wisconsin because the whole power structure was lining up against him there in the brainwashing campaign to end all brainwashing campaigns.
[00:09:28.183 --> 00:09:31.404]  He also, three months before Trump lost Iowa,
[00:09:33.260 --> 00:09:35.101]  Told me privately that he thought that was the case.
[00:09:36.002 --> 00:09:44.409]  And last night, he predicted, actually yesterday afternoon to me on the phone, exactly what the loss numbers would be.
[00:09:45.269 --> 00:09:53.696]  I don't know how much of this inside baseball he'll get into on air, but man, I wish, I wish I could tell you all the stuff that Roger Stone tells me.
[00:09:53.976 --> 00:09:55.817]  That guy is amazing.
[00:09:57.078 --> 00:09:59.060]  And what's coming up at the convention this year?
[00:10:00.993 --> 00:10:02.354]  In Cleveland, we're going to be there.
[00:10:02.374 --> 00:10:08.676]  I'm going to bring as much of the crew as I can, but it's so important, obviously, to run InfoWars here in Austin, Texas.
[00:10:08.696 --> 00:10:10.817]  David Knight's going to be co-hosting here.
[00:10:10.837 --> 00:10:19.301]  I'm going to be there for at least a week, probably more, because this is going to be the open attempt to steal the popular vote from the American people.
[00:10:19.781 --> 00:10:27.905]  The RNC is back on national television, openly saying they're going to select someone, probably not even Cruz or Kasich.
[00:10:28.860 --> 00:10:35.404]  Another top Republican, Karl Rove said this last week, but another top Republican said, oh, well, we may select Kasich.
[00:10:36.665 --> 00:10:41.268]  So we're going to be taught here that it isn't about our popular vote now, it's about the Kingmakers.
[00:10:42.669 --> 00:10:45.591]  RNC chairman suggests Kasich could be picked as nominee.
[00:10:45.711 --> 00:10:48.453]  Karl Rove and others say, no, we'll want a fresh face.
[00:10:50.214 --> 00:10:52.535]  So we'll play all of those clips coming up.
[00:10:52.615 --> 00:10:56.278]  This is really the curtain being pulled back in a big, big way.
[00:10:58.757 --> 00:11:21.375]  Also, finally, NBC News, Reuters, Associated Press, four days after I made this point, just pointing out that the mainstream media is the lagging, stumbling brachiosaurus of the dinosaurs, falling into the dustbin of history, constantly, Obama is now being asked, and others are being asked in press conferences,
[00:11:23.348 --> 00:11:28.909]  Why are there no Americans out of tens of thousands of people listed in the Panama Papers?
[00:11:31.350 --> 00:11:39.171]  There's another question, and Wayne Madsen's written about this from fullwars.com, investigative journalist.
[00:11:40.752 --> 00:11:45.433]  Why will none of the Soros publications or pundits even talk about it?
[00:11:46.273 --> 00:11:50.514]  Well, because when you're involved in something, you don't want to draw attention to yourself.
[00:11:51.584 --> 00:12:16.559]  It's come out the Rockefeller Foundation, this is on record, the Rockefeller Foundation, the Carnegie Endowment, the Ford Foundation, and two of Soros' foundations have been running this data dump for two years with the media preparing it, and within days it's falling flat on its face as a calculated system to go after legal
[00:12:18.047 --> 00:12:21.510]  Offshore accounts of people with as little as $20,000 in them.
[00:12:21.630 --> 00:12:25.172]  Of course, it's the biggest data dump in history.
[00:12:26.593 --> 00:12:28.034]  The biggest theft of data.
[00:12:29.395 --> 00:12:31.117]  Hundreds of times bigger than WikiLeaks.
[00:12:31.937 --> 00:12:33.699]  Because it's just provincial.
[00:12:33.779 --> 00:12:35.020]  It's a giant slice.
[00:12:35.860 --> 00:12:40.063]  And it vaguely is connected to the British Prime Minister's father.
[00:12:40.103 --> 00:12:42.485]  And it's vaguely connected to this soccer player.
[00:12:42.565 --> 00:12:44.907]  And, oh my gosh, we found an account of this
[00:12:46.624 --> 00:12:59.589]  European Prime Minister, and when you go for estate planning and you got $50,000, a mainline lawyer, when you're setting up a trust fund for your kid's college, will try to get you to put it offshore.
[00:13:01.469 --> 00:13:07.371]  It's legal, it's lawful, but they act like it's all the Pelican brief or something and it's totally illegal.
[00:13:09.512 --> 00:13:11.453]  So remember, the big mega banks,
[00:13:12.315 --> 00:13:18.377]  They have created 2.2 quadrillion in the last decade or so, it's really more than that, in totally counterfeit fraudulent paper.
[00:13:19.177 --> 00:13:26.979]  They fix the interest rates, they fix the stock markets, they fix the currency rates to the tune of trillions a day.
[00:13:29.640 --> 00:13:30.901]  That's what the currency market is.
[00:13:31.921 --> 00:13:33.141]  It's in the multi-trillions.
[00:13:33.521 --> 00:13:38.383]  And they're slicing billions off the top every day, totally rigged, they don't deny it.
[00:13:40.455 --> 00:13:44.396]  I know people like Bob Chapman on 20 years ago talking about it, and people roll their eyes.
[00:13:44.476 --> 00:13:51.678]  Since then, it's, you know, Rolling Stone, Associated Press, Headline, everything is rigged for a select group.
[00:13:52.558 --> 00:13:59.720]  And Goldman Sachs and JPMorgan are the number one and number two funders of everything from Hillary Clinton to Barack Obama.
[00:14:00.933 --> 00:14:15.441]  To Ted Cruz, to the gun control groups, the open borders, the sponsors of all the ethnic culture events that aren't celebrate art, literature, this and that of black culture, Hispanic culture, Asian culture.
[00:14:15.741 --> 00:14:16.602]  You go to these things.
[00:14:16.622 --> 00:14:17.922]  We have a report coming out soon.
[00:14:18.263 --> 00:14:24.846]  They sat at the Bob Bullock Museum that had a whole section on the plan of San Diego and how it was a Chicano civil rights movement.
[00:14:25.407 --> 00:14:29.249]  The Germans in World War I funded the Mexicans
[00:14:30.049 --> 00:14:32.710]  In Big Bend, across the border, to attack.
[00:14:33.730 --> 00:14:35.010]  Hundreds of people were killed.
[00:14:37.171 --> 00:14:39.531]  And it was the plan of San Diego to kill all whites.
[00:14:40.572 --> 00:14:42.032]  All white males above the age of 16.
[00:14:43.092 --> 00:14:44.492]  And I knew it was at Bob Bullock.
[00:14:44.532 --> 00:14:45.733]  I actually saw it in the paper.
[00:14:46.313 --> 00:14:48.613]  My friend Steve Mason kept trying to get me to go down there.
[00:14:48.633 --> 00:14:50.094]  It closed the other day, that exhibit.
[00:14:50.134 --> 00:14:51.134]  But he got some footage.
[00:14:51.154 --> 00:14:52.074]  We're going to show that to you.
[00:14:52.554 --> 00:14:55.015]  But man, that's, I mean, that's being celebrated.
[00:14:56.377 --> 00:14:59.719]  At the Bob Bullock Natural History Texas Museum.
[00:15:01.940 --> 00:15:03.060]  The Plan of San Diego.
[00:15:03.421 --> 00:15:09.924]  I learned about the Plan of San Diego like 18 years ago out of the Mexican Independence Day Parade.
[00:15:09.944 --> 00:15:17.567]  There were all these people wearing the Plan of San Diego shirts and a Hispanic professor from UT said, Alex, you know what the Plan of San Diego is?
[00:15:18.088 --> 00:15:19.348]  Because you might want to look into it.
[00:15:20.569 --> 00:15:22.110]  And it's just crazy.
[00:15:23.021 --> 00:15:27.863]  And again, it's not the free Hispanics or free Mexico, it's just to get us all fighting with each other.
[00:15:27.903 --> 00:15:37.808]  But at the University of Texas, they teach people that are in cultural studies, the plan of San Diego is a good thing to kill the white people.
[00:15:38.488 --> 00:15:45.512]  And you go see the new Black Panther Party and the Black Lives Matter groups in countless videos saying, we'd just be better off if all the whites were dead.
[00:15:46.564 --> 00:15:52.968]  That's just classic genocidal garbage that every culture has engaged in against itself and others.
[00:15:53.629 --> 00:15:56.731]  This is a human, aberrant behavior.
[00:16:00.953 --> 00:16:06.836]  By the way, I was against World War I. The Austrian-Hungarian Empire did not start that.
[00:16:06.916 --> 00:16:07.877]  The British started it.
[00:16:07.937 --> 00:16:14.440]  They had a, quote, German problem because the Germans were outmaneuvering them with industry and free trade and defeating their empire.
[00:16:14.780 --> 00:16:16.121]  And the Dutch were upset about it.
[00:16:16.141 --> 00:16:20.083]  A bunch of people were mad at the Austrian-Hungarian Empire and Germania itself.
[00:16:21.161 --> 00:16:26.583]  It was dominating economically, but they had a very medieval military command.
[00:16:26.823 --> 00:16:28.363]  It was high-tech, but very medieval.
[00:16:28.383 --> 00:16:29.443]  It was a war cult.
[00:16:30.124 --> 00:16:33.184]  And they just messed with the Germans until they got into that war.
[00:16:33.585 --> 00:16:37.986]  People ask, why would Mexico be allied with Germany and attack the United States during World War I?
[00:16:41.087 --> 00:16:49.169]  Because Germany went in there after Spain left and took over for the Austrian-Hungarian Empire.
[00:16:51.727 --> 00:16:55.510]  And so, again, I've got so much news to cover and I'm digressing.
[00:16:56.391 --> 00:17:00.494]  It's just frustrating to know history and to see the public not aware of history.
[00:17:02.696 --> 00:17:13.624]  But just because England started, just because the British Empire started a war with Germany to bring them down, doesn't mean I support German operations to attack the United States.
[00:17:15.606 --> 00:17:17.688]  So, why are Americans not included in the
[00:17:18.905 --> 00:17:21.949]  Panama Papers, NBC Nightly News ask.
[00:17:22.329 --> 00:17:23.571]  We were asking that on Sunday.
[00:17:25.353 --> 00:17:40.143]  Because it's totally tailored to put the Anglo-American establishment in the driver's seat worldwide to extradite anybody they want, including foreigners, or to black-bag American citizens that legally and lawfully take their money out of the U.S., after-tax money, and try to protect themselves.
[00:17:40.544 --> 00:17:46.048]  Only big mega-corporations are allowed to take their money offshore and be tax-exempt, and that's before-tax money.
[00:17:46.448 --> 00:17:54.734]  You can't take your after-tax money and put it overseas, because they can always find some ignorant federal grand jury more than happy to indict you.
[00:17:57.122 --> 00:18:03.185]  One of the many remarkable things about the massive leak of documents known as the Panama Papers is what's so far been lacking.
[00:18:03.345 --> 00:18:03.905]  Americans!
[00:18:04.725 --> 00:18:17.911]  The documents related to a Panamanian law firm that specializes in creating shell companies for many of the world's richest people proved a glimpse into how secret fortunes and ill-gotten gains are moved through a shadowy financial network according to the International Consortium of Investigative Journalism.
[00:18:18.451 --> 00:18:20.192]  The special consortium that you could
[00:18:21.997 --> 00:18:23.280]  The international consortium.
[00:18:23.300 --> 00:18:30.839]  Well, if you just switch that international and consortium, it's consortium, international, America, CIA.
[00:18:32.679 --> 00:18:34.300]  Of course, that's who's running all this, of course.
[00:18:34.900 --> 00:18:39.201]  And it goes on, which worked with news organizations around the world to analyze the files.
[00:18:39.841 --> 00:18:43.663]  Yes, with the directive to not burn any of the Anglo-American operatives.
[00:18:43.683 --> 00:18:46.924]  There's very few connected to the UK as well that have been burned.
[00:18:47.224 --> 00:18:52.766]  It's all been specifically come through for over a year to selectively cook it.
[00:18:53.346 --> 00:18:56.227]  This is parallel construction.
[00:18:57.500 --> 00:19:08.262]  Just like the DEA on record scans your phone records, listens to everything without warrants, not to stop drug dealers, but to shut down drug dealers that aren't on their payroll, that aren't kicking money back.
[00:19:08.502 --> 00:19:10.383]  And we told you that 15, 16 years ago.
[00:19:11.603 --> 00:19:27.046]  It was declassified two years ago that they listen to all your phones with AI computers, track your phone records with the NSA, and then they go create fake investigations with fake informants that then read the data out in court to put you in prison.
[00:19:28.188 --> 00:19:31.349]  And of course, many cases, they just completely frame you and just go all the way.
[00:19:31.709 --> 00:19:33.230]  You can't trust DNA testing.
[00:19:33.510 --> 00:19:36.411]  You can't trust hair, semen testing, blood testing.
[00:19:36.751 --> 00:19:37.191]  None of it.
[00:19:37.672 --> 00:19:38.092]  None of it.
[00:19:39.292 --> 00:19:47.715]  Because the FBI crime lab itself and its head, Dr. Frederick Whitehurst, who's been on the show repeatedly, have talked about how it was a factory of fraud.
[00:19:49.216 --> 00:19:55.018]  And almost every other major crime lab in the country is a factory of fraud.
[00:19:55.038 --> 00:19:56.179]  We're gonna go to break.
[00:19:56.259 --> 00:19:56.719]  Stay with us.
[00:19:57.754 --> 00:20:02.598]  From the front lines of the information war, it's Alex Jones.
[00:20:04.019 --> 00:20:07.843]  If you are receiving this transmission, you are the resistance.
[00:20:08.123 --> 00:20:09.644]  My name is Alex Jones.
[00:20:10.045 --> 00:20:15.990]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[00:20:16.190 --> 00:20:17.331]  When I got on air 20 years ago,
[00:20:18.732 --> 00:20:32.879]  I had discovered the Globalist program, their plan to take over the world, and my focus went from running six miles every other day, swimming two, three miles a couple times a week, and lifting weights, to focusing on fighting the Globalist.
[00:20:33.259 --> 00:20:41.063]  I've gone from 279 pounds all the way down to 235 pounds, and the weight's going off even faster.
[00:20:41.283 --> 00:20:47.706]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels
[00:20:48.086 --> 00:20:48.506]  We're good to go.
[00:21:07.691 --> 00:21:11.032]  The globalist social engineers are not just targeting us with propaganda.
[00:21:11.152 --> 00:21:13.412]  They are manipulating our genetics.
[00:21:13.592 --> 00:21:21.973]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:21:22.233 --> 00:21:25.554]  The key is to be aware of this attack and to fight back against it.
[00:21:25.714 --> 00:21:36.956]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula sourced from
[00:21:37.116 --> 00:21:43.646]  Powerful organic herbs harvested around the planet and then concentrated or maximum potency.
[00:21:43.866 --> 00:21:45.749]  I've always believed in nutrition and herbs.
[00:21:46.089 --> 00:21:53.640]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:21:54.020 --> 00:22:00.183]  Super Mill Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:22:00.503 --> 00:22:07.447]  Visit InfoWarsLife.com today to secure your Super Mill Vitality and other powerful products from InfoWars Life.
[00:22:07.707 --> 00:22:17.892]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet for more than a decade.
[00:22:18.092 --> 00:22:25.056]  My favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:22:25.216 --> 00:22:29.899]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:22:30.099 --> 00:22:36.783]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:22:36.883 --> 00:22:43.967]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:22:44.067 --> 00:22:45.828]  Hands down, this is my favorite coffee.
[00:22:45.948 --> 00:22:50.909]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:22:51.069 --> 00:22:55.430]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:22:55.550 --> 00:22:58.811]  Available in original or with our immune support infusion blend.
[00:22:58.951 --> 00:23:05.052]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:23:05.252 --> 00:23:06.893]  Available at Infowarslife.com.
[00:23:08.957 --> 00:23:12.378]  Thousands of years ago, there was a basic form of chivalry.
[00:23:12.738 --> 00:23:19.860]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:23:20.461 --> 00:23:28.823]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:23:29.103 --> 00:23:33.244]  But in the 21st century, there are silent weapons for quiet war.
[00:23:33.504 --> 00:23:38.666]  Pathenogens added to the food and water, into the lining of plastics that destroy our vitality,
[00:23:39.086 --> 00:23:42.908]  Turn off our hormones and accelerate our journey towards death.
[00:23:43.328 --> 00:23:46.470]  I personally counter this onslaught with AnthroPlex.
[00:23:46.750 --> 00:23:57.836]  AnthroPlex is designed with known organic concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[00:23:57.876 --> 00:24:00.577]  Discover why AnthroPlex is turning so many heads today.
[00:24:00.798 --> 00:24:06.781]  It's time for us to take our bodies back into our own hands and it starts at Infowarslife.com with AnthroPlex.
[00:24:18.534 --> 00:24:25.616]  I want to get into the election over-the-top brainwashing and political correctness and a lot more but first I was this morning driving into work.
[00:24:27.076 --> 00:24:32.077]  Well first off was another bizarre day.
[00:24:32.097 --> 00:24:41.900]  I was out there hiking for about an hour this morning up and down these hills and Lance Armstrong is just running at full speed up and down the hills right where I'm at in the middle of nowhere.
[00:24:41.920 --> 00:24:46.901]  I keep running into Lance Armstrong and the guy's just charging up and down like
[00:24:48.419 --> 00:24:50.820]  Massive degree hills, up and down like a mountain goat.
[00:24:50.840 --> 00:24:55.783]  I don't know why I'm throwing that in there, it's just part of my bizarre life.
[00:24:56.843 --> 00:24:59.725]  Hundreds of square miles of places, and I go here, it's Lance Armstrong.
[00:24:59.765 --> 00:25:01.206]  I go there, it's Lance Armstrong.
[00:25:01.226 --> 00:25:02.206]  He must live down there.
[00:25:03.507 --> 00:25:04.587]  Anyways, side issue.
[00:25:06.068 --> 00:25:08.469]  I was thinking about it then, but then I was also thinking about it driving into work.
[00:25:14.704 --> 00:25:17.528]  We're having our whole future stolen, our destiny stolen.
[00:25:17.828 --> 00:25:30.246]  I know I make that point a lot, but man, when they announce that, okay, there is little tech in all the new cars, so the police can remote control your vehicle, it's for your own good, and when somebody runs from the cops, we'll just disable their car.
[00:25:33.092 --> 00:25:46.138]  I first read about that like 20 years ago, and only select vehicles had it, but police were starting to do it out in LA, where the helicopter sends an order out to the car and there's a program already inside, it's ignition basically, that turns the car off.
[00:25:46.498 --> 00:25:47.959]  Well, it's way beyond that.
[00:25:47.999 --> 00:26:00.545]  It's going to tax us, it's going to track us, it's going to control us, and we're just allowing this whole system to be built that controls every facet of our lives and is run by globalists that are anti-human.
[00:26:02.796 --> 00:26:08.760]  And we know the smartphones and the iPads and the screen time dumbs us down, lowers our IQ, hurts our relationships.
[00:26:09.280 --> 00:26:11.562]  It's not healthy the way we're going.
[00:26:13.483 --> 00:26:18.427]  It'd be one thing if we were rapidly evolving technologically and physically in some good direction.
[00:26:18.667 --> 00:26:19.868]  We are devolving.
[00:26:20.428 --> 00:26:21.549]  We are rotting.
[00:26:21.949 --> 00:26:23.170]  We are falling apart.
[00:26:24.531 --> 00:26:28.954]  And I love the right-wing fake Christian PC police as well.
[00:26:29.952 --> 00:26:34.354]  If I use the word evolve or devolve, they go, there's no such thing as evolution!
[00:26:35.034 --> 00:26:42.317]  I'm not debating Charles Darwin's evolution that the pop liberals don't cover properly and that you don't cover properly.
[00:26:43.097 --> 00:26:46.658]  But no, I don't believe in pop evolution.
[00:26:48.179 --> 00:26:49.099]  And neither does the elite.
[00:26:49.419 --> 00:26:51.680]  You might want to research what they actually believe.
[00:26:52.040 --> 00:26:58.243]  Even the New York Times has reported what the majority of scientists and genetic engineers believe.
[00:26:59.155 --> 00:27:00.135]  They have a word for it.
[00:27:03.957 --> 00:27:05.398]  Maybe I should not even say the name.
[00:27:05.438 --> 00:27:06.739]  That'll make people want to go look it up.
[00:27:08.499 --> 00:27:14.522]  But basically the movie Prometheus is their creation story.
[00:27:16.383 --> 00:27:17.324]  That's what they believe.
