[00:00:13.854 --> 00:00:14.554]  Wow, folks.
[00:04:54.240 --> 00:04:56.081]  We thought it changed with Obama.
[00:04:56.321 --> 00:04:59.123]  There's nothing compared to what's gonna happen with Hillary.
[00:05:00.144 --> 00:05:11.933]  If all of this is just a little too much, remember, Benjamin Franklin prophetically said, only a virtuous- Only a virtuous people can run their own affairs, will be- I'm gonna lay it out short and sweet.
[00:05:13.710 --> 00:05:19.374]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[00:05:20.074 --> 00:05:24.057]  I was a total fitness nut 20 years ago.
[00:05:24.938 --> 00:05:27.159]  About 15 years ago, I just stopped working out.
[00:05:27.259 --> 00:05:28.420]  I gained close to 100 pounds.
[00:05:29.081 --> 00:05:31.662]  I have lost 50, 60 pounds of fat.
[00:05:32.623 --> 00:05:32.983]  Or more.
[00:05:33.043 --> 00:05:35.025]  I've gained 20 pounds of muscle.
[00:05:35.485 --> 00:05:36.966]  I'm stronger than I was when I was 22.
[00:05:37.066 --> 00:05:40.008]  When I could bench press close to 400 pounds and squat 600.
[00:05:40.048 --> 00:05:40.609]  It's actually scary.
[00:05:43.150 --> 00:05:53.258]  And it's because I take products that our researchers developed that block the estrogen mimickers that basically feminize men.
[00:05:54.238 --> 00:06:07.028]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support InfoWars in our fight for both human liberty and freedom.
[00:06:26.358 --> 00:06:46.163]  Ladies and gentlemen, we are now only two days out from the most historic election in U.S.
[00:06:46.203 --> 00:06:46.623]  history.
[00:06:47.324 --> 00:06:48.904]  The stakes could not be higher.
[00:06:50.563 --> 00:06:59.645]  Now, obviously, in the last two hours, the FBI director came out, James Comey, and said that she's completely exonerated in all the emails, basically forever.
[00:07:00.766 --> 00:07:06.487]  This is when new WikiLeaks emails have come out, showing they lied to Congress and the FBI and were, quote, covering up evidence.
[00:07:07.167 --> 00:07:17.690]  But see, they diverted the public into the 650,000 on Anthony Weiner's laptop and Uma Abedin, Hillary's girlfriend,
[00:07:19.744 --> 00:07:24.248]  And we had Larry Nichols, the former top Clinton operative, on last Sunday.
[00:07:24.268 --> 00:07:25.088]  He's joining us again.
[00:07:25.509 --> 00:07:29.031]  He said word for word, Alex, they're setting Trump up.
[00:07:29.712 --> 00:07:34.215]  Next Saturday or Sunday, Comey will come out and completely exonerate us.
[00:07:34.236 --> 00:07:37.198]  Now we're going to play that clip for you from last Sunday.
[00:07:40.267 --> 00:07:42.668]  But, I mean, we have the insiders.
[00:07:42.728 --> 00:07:51.654]  I talked to a Pentagon insider, I talked to a former high-level CIA official today, and they all told me the same thing.
[00:07:52.794 --> 00:07:57.517]  The military is being told, stand down, Hillary is going to be installed.
[00:07:58.978 --> 00:08:07.603]  Now, if you want to know how James Bond-y this is, before I get to any of this news, I'm sitting here, we've got a bunch of TV networks, CNN, Fox News, you name it, on.
[00:08:08.923 --> 00:08:13.747]  It's LeBron James of the Cleveland Cavaliers with Hillary, with close-up shots.
[00:08:15.449 --> 00:08:29.801]  I sit down, 15 minutes before airtime, and I'm sent a photo by, let's just say insiders, on the Cleveland Police Department to my phone.
[00:08:31.483 --> 00:08:32.924]  Document Cam Police for TV viewers.
[00:08:32.964 --> 00:08:33.945]  I'll describe it for radio listeners.
[00:08:34.465 --> 00:08:36.067]  This is the crowd that was there
[00:08:37.062 --> 00:08:44.805]  When LeBron James spoke, and I said 700, I was corrected, I went back and read the text message, the crowd is 300.
[00:08:48.386 --> 00:08:53.528]  Now, if you actually watched the newscast, even on Fox, they would not show you this.
[00:08:53.988 --> 00:08:57.009]  It was LeBron bowing up, everyone, it was a rock star party.
[00:08:58.149 --> 00:09:02.451]  These are total winners, and meanwhile, the police are sitting there running security, sending me this photo.
[00:09:02.471 --> 00:09:05.232]  By the way, this was sent by a high level.
[00:09:06.371 --> 00:09:07.812]  Okay, let's just say that.
[00:09:10.293 --> 00:09:10.674]  High level.
[00:09:11.614 --> 00:09:13.435]  Now, that's what's going on in this country.
[00:09:16.557 --> 00:09:30.126]  Literally a tiny crowd of a couple hundred in front, maybe a hundred or so behind her, with close shots, to create the illusion that she's really the coolest person to vote for because, you know, she's hanging out with folks in the hood like LeBron James.
[00:09:31.226 --> 00:09:32.646]  I mean, this is the ultimate joke.
[00:09:33.167 --> 00:09:38.028]  LeBron James was going to cancel, I was told by our police sources, but then Hillary threw a complete fit.
[00:09:38.808 --> 00:09:42.390]  And the word is, they were basically paying people off the street to come in.
[00:09:46.191 --> 00:09:51.752]  Now, they also fell on their face because they tried for a week to recruit in mainly black areas, and hardly any black folks showed up.
[00:09:52.153 --> 00:09:55.694]  And there's massive low black turnout right now being reported for Democrats.
[00:09:55.934 --> 00:09:58.855]  And joining us is Roger Stone at the bottom of the hour on that front.
[00:10:00.526 --> 00:10:03.808]  This is a landslide for Trump, but they are intending to steal it.
[00:10:03.848 --> 00:10:04.689]  This is confirmed.
[00:10:05.550 --> 00:10:07.611]  This is so historical what we're living through.
[00:10:07.631 --> 00:10:08.952]  Now let me just stop right there.
[00:10:10.193 --> 00:10:20.340]  If you think I'm joking about it and you're a radio listener about the crowd of 300 she had, I just showed the photo to TV viewers and then showed you the mainstream media with close-up shots to deceive the public.
[00:10:23.339 --> 00:10:26.722]  You can go to our Facebook from last night from the special broadcast we did.
[00:10:27.842 --> 00:10:31.245]  One video, archived from us live last night for four hours.
[00:10:31.645 --> 00:10:32.906]  Guess how many views it has?
[00:10:32.926 --> 00:10:33.727]  We can pull it up.
[00:10:34.848 --> 00:10:36.349]  On Alex Jones' Facebook right now.
[00:10:37.570 --> 00:10:40.952]  Just go to Alexander Emmert Jones' Facebook, see the video box area.
[00:10:41.493 --> 00:10:42.854]  You scroll down, there you go, that's it.
[00:10:45.492 --> 00:10:46.153]  837,000 views.
[00:10:46.213 --> 00:10:48.755]  They broke the video in two.
[00:10:48.775 --> 00:10:54.319]  There's another one with 300 and a couple, when I say a million, it's actually a million two, but there it is.
[00:10:54.379 --> 00:10:55.700]  One video, 837,000 views.
[00:10:55.820 --> 00:10:57.362]  On YouTube, 200,000.
[00:10:57.442 --> 00:11:01.064]  On our internal streams, 400 plus thousand people.
[00:11:01.285 --> 00:11:02.185]  How many millions is that?
[00:11:03.686 --> 00:11:04.787]  Two and a half million or so?
[00:11:05.188 --> 00:11:09.311]  We have two and a half million viewers last night, separate from even my terrestrial radio show.
[00:11:12.096 --> 00:11:17.420]  If you go to Hillary's Facebook mentions, because only quote celebrities get them, it's not the Facebook live thing, it's Facebook mentions.
[00:11:18.061 --> 00:11:19.382]  So we're celebrities, so we get one.
[00:11:20.082 --> 00:11:24.646]  When you go to hers right now, guess how many watched today live with LeBron James through now?
[00:11:24.666 --> 00:11:27.368]  Because it counts live and then afterwards.
[00:11:29.129 --> 00:11:32.431]  That watched the archive.
[00:11:32.452 --> 00:11:35.194]  5,500 as of 12 minutes ago before I went live.
[00:11:36.455 --> 00:11:38.516]  Donald Trump has crowds of 30, 40, 50,000 people, on average 10,000 in small towns.
[00:11:42.295 --> 00:11:44.016]  Because he averages between big towns and small towns.
[00:11:44.856 --> 00:11:47.637]  Hillary has 300 people.
[00:11:48.037 --> 00:11:49.838]  They have to do ultra-close shots.
[00:11:49.858 --> 00:11:51.118]  Let me show TV viewers again.
[00:11:51.519 --> 00:11:54.420]  We're showing their ultra-close shot of the crowd.
[00:11:55.440 --> 00:11:57.081]  Now, back out.
[00:11:57.721 --> 00:12:01.302]  Sent to us by the Cleveland Police Department.
[00:12:02.983 --> 00:12:04.163]  That's the wide shot.
[00:12:04.644 --> 00:12:06.744]  And notice they know exactly what to send us.
[00:12:07.485 --> 00:12:08.305]  Didn't ask for it.
[00:12:08.465 --> 00:12:08.765]  Nothing.
[00:12:09.225 --> 00:12:10.846]  They know exactly what we need.
[00:12:16.397 --> 00:12:19.400]  Ladies and gentlemen, this is massive, massive fraud.
[00:12:19.760 --> 00:12:20.661]  You go to her site.
[00:12:24.824 --> 00:12:25.505]  You go to the video.
[00:12:27.529 --> 00:12:28.049]  You can see it.
[00:12:28.530 --> 00:12:29.990]  And you got all of her videos combined.
[00:12:30.010 --> 00:12:31.351]  It's like something like 6 million views.
[00:12:31.371 --> 00:12:32.251]  And they're pumping it.
[00:12:32.271 --> 00:12:35.213]  But the main one with LeBron James on stage, that one says 6.5 million.
[00:12:35.533 --> 00:12:37.934]  The one with LeBron James has 5,000 as of I checked it.
[00:12:37.954 --> 00:12:39.795]  That's, I think, another compilation of videos.
[00:12:39.815 --> 00:12:46.078]  The point is, is that they are pushing this with Facebook and Zuckerberg and everybody totally behind them.
[00:12:46.859 --> 00:12:48.520]  And they're in total panic mode.
[00:12:49.100 --> 00:12:51.821]  But when Hillary puts out a full hour-long video, 5,000 watch it.
[00:12:52.001 --> 00:12:55.283]  Little 20-second snips for people that have no attention span, 6 million.
[00:12:57.526 --> 00:13:04.068]  And InfoWars is only one small part of this, but this is the whole media, every TV channel, force-feeding you to go watch this.
[00:13:06.908 --> 00:13:09.229]  And what they're giving you is close-up, blown-up shots.
[00:13:09.569 --> 00:13:11.070]  It just shows what the Wikileaks show.
[00:13:11.590 --> 00:13:12.390]  How rigged it is.
[00:13:12.730 --> 00:13:13.710]  How they're rigging the polls.
[00:13:13.970 --> 00:13:14.871]  How they're rigging the numbers.
[00:13:15.151 --> 00:13:17.551]  How they're rigging on every single front.
[00:13:19.312 --> 00:13:19.872]  These issues.
[00:13:21.832 --> 00:13:23.753]  And how stupid they think you are.
[00:13:25.188 --> 00:13:28.249]  Now, that said, I don't know what's going to happen in two days.
[00:13:28.269 --> 00:13:43.633]  You can say technically it's just the rest of the day and tomorrow and then it's election day, but it's a little more than 48 hours until we're in the thick of the election and we know that Harris, who's bipartisan, she's a Democrat, she said Hillary is clearly going to steal it.
[00:13:44.684 --> 00:13:46.648]  They're not going to let Trump win, but he is the leader.
[00:13:46.748 --> 00:13:50.435]  The fraud is in with this fraction, fractionating thing they're doing.
[00:13:51.116 --> 00:13:52.739]  Then, they've caught him with the programs.
[00:13:53.520 --> 00:13:57.327]  Then, WikiLeaks comes out today and says they're not going to allow
[00:13:58.697 --> 00:13:59.898]  Trump to win the fix is in.
[00:14:00.158 --> 00:14:01.158]  He is a big liberal.
[00:14:01.578 --> 00:14:08.081]  Any real liberal just wants to have integrity in our voting system and is admitting massive vote fraud is now happening.
[00:14:08.361 --> 00:14:09.462]  Want to go watch her full report?
[00:14:09.802 --> 00:14:12.343]  Biggest election fraud in history discovered in the United States.
[00:14:12.383 --> 00:14:13.323]  That was from last Monday.
[00:14:13.524 --> 00:14:14.564]  Seems like a hundred years ago.
[00:14:15.084 --> 00:14:16.965]  Time now was moving super quick.
[00:14:17.045 --> 00:14:19.806]  Now it's moving like really fast but also super slow.
[00:14:19.826 --> 00:14:20.266]  You know what I mean?
[00:14:21.327 --> 00:14:25.789]  It's like we're moving forward really fast but then I look back in time a week ago seems like 20 years ago.
[00:14:28.723 --> 00:14:36.009]  So, so much is unfolding, so much is happening, and this is such a huge time to be alive, but here's the bottom line.
[00:14:37.250 --> 00:14:47.458]  Larry Nichols, we're going to play the clip when we come back, came out, and he said, well he called me last Friday, and I talked to him Saturday and Sunday and talked to other sources.
[00:14:48.299 --> 00:14:53.463]  He talked to Supreme Court Justice and others, and he said,
[00:14:55.097 --> 00:15:01.642]  Now, I don't know if the military is going to do something or anybody else, but as it stands, and I don't want to demoralize people, but they're going to give it to her.
[00:15:01.882 --> 00:15:03.364]  Trump's winning by a landslide.
[00:15:04.204 --> 00:15:09.248]  But Alex is stealing it in Philadelphia and Cleveland and Miami, Alex.
[00:15:10.589 --> 00:15:17.154]  And Comey will announce on Saturday or Sunday that she's totally exonerated.
[00:15:17.234 --> 00:15:17.635]  Watch.
[00:15:18.851 --> 00:15:20.933]  Then he came on air and basically said the same thing.
[00:15:21.434 --> 00:15:41.133]  And you're just sitting here, watching the country stolen in front of you, and with all these poor, sad, lottery ticket mentality people that wanted free health care and wanted this and that, and they have no idea it was always a screw job, it was always meant to be a screw job, and then Gruber and others go on TV and make fun of you, and now, when we come back, even before the Larry Nichols,
[00:15:42.708 --> 00:15:48.530]  The Washington Post, all of them are now celebrating, and they said, yes, non-citizens will decide the election.
[00:15:49.131 --> 00:15:51.912]  They are voting, and there's nothing you can do to stop it.
[00:15:51.932 --> 00:16:00.415]  So they're going to have this big celebration to collapse our borders more, bring in more third world, and just basically, I guess, make Americans slaves.
[00:16:01.475 --> 00:16:03.216]  I mean, it's on, folks.
[00:16:03.556 --> 00:16:07.778]  It is all being announced, and Obama said it's OK for illegals to vote.
[00:16:08.934 --> 00:16:19.478]  If you ever wanted to live off the grid and produce your own clean energy in a silent, reliable way, this is a message you want to pay very close attention to.
[00:16:19.798 --> 00:16:26.061]  Thanks to a new development in solar generator technology, it's now possible for my listeners and viewers
[00:16:26.301 --> 00:16:26.521]  I think?
[00:16:56.281 --> 00:17:00.027]  Folks, there has never been a better time to get off the grid.
[00:17:00.347 --> 00:17:04.674]  It's going to be crucial in 2017, maybe even life-saving.
[00:17:04.974 --> 00:17:07.097]  Powergridchaos.com for 70% off.
[00:17:15.407 --> 00:17:36.222]  You look at Hillary Clinton's career and it baffles me so much that she has been allowed, mostly by our mainstream press and to the shame of her own party, to somehow be held up as some kind of champion for women and fighter for justice for children through 40 years of her career, when time after time she's chosen the side of rapists just to make herself look good.
[00:17:36.442 --> 00:17:39.905]  Cathy, do you want to tell folks, just look at the camera over there and tell folks what happened to you?
[00:17:41.141 --> 00:17:56.908]  Um, I was riding my bicycle, or going a couple blocks riding my bicycle over to church and my mother really didn't want me to, but she let me and she said after church she'd pick me up in the bicycle.
[00:17:56.928 --> 00:18:02.370]  It was like a couple blocks away on the way over there, um, this truck stopped.
[00:18:03.471 --> 00:18:10.074]  Um, two men got out of it, started coming towards me and scared me really bad and um,
[00:18:11.440 --> 00:18:14.222]  They told me I was going with them, and I said, no, I'm not.
[00:18:14.242 --> 00:18:16.123]  I tried to get away, but I couldn't.
[00:18:17.003 --> 00:18:18.684]  They jerked me off my bicycle.
[00:18:19.305 --> 00:18:25.668]  They put me in the truck, and they were beating me, and then they raped me.
[00:18:26.208 --> 00:18:33.392]  And he was saying he knew I liked it, except in a more terribly manner than that.
[00:18:34.133 --> 00:18:37.355]  I was left out on the ground.
[00:18:39.569 --> 00:18:40.851]  Fairly conscious.
[00:18:42.093 --> 00:18:44.776]  Sometimes at one time I was unconscious.
[00:18:45.758 --> 00:18:49.523]  I crawled to a porch out of nowhere.
[00:18:49.543 --> 00:18:56.672]  I don't know where the house was or how I made it there, but they thought they had killed me and they're coming back.
[00:18:57.333 --> 00:19:05.415]  For me and the lady at the porch, I crawled out, turned her porch light on and it scared them back off.
[00:19:05.575 --> 00:19:17.758]  I woke up in the hospital five days later out of a coma and was told that I couldn't, 99% chance I couldn't have kids and I had several stitches down in my private area.
[00:19:18.058 --> 00:19:30.608]  I realized this year that Kathy's story is one that it's so different, it's so unique, it really does represent the epitome of the type of corruption that Hillary Clinton practices.
[00:19:30.628 --> 00:19:44.720]  It has nothing to do with her husband Bill Clinton, it has everything to do with her choices, Hillary's own choices and decisions to bend and break rules, ignore protocol and procedures, cheat the system, rig the system to get an outcome that she wants.
[00:19:44.760 --> 00:19:46.501]  And by the way, we now learned about Tim Kaine.
[00:19:47.922 --> 00:19:54.827]  Would cry when horrible rapists and killers and people... He was unable to get them off and he said he enjoyed it.
[00:19:55.168 --> 00:19:58.230]  There's these videos of him acting really weird.
[00:19:58.330 --> 00:19:59.971]  It's like some type of celebration.
[00:19:59.991 --> 00:20:02.673]  It's like, who are these people?
[00:20:13.441 --> 00:20:16.103]  You're listening to The Alex Jones Show.
[00:20:20.686 --> 00:20:21.286]  We've got it.
[00:20:21.327 --> 00:20:27.751]  This transmission is coming to you.
[00:20:27.831 --> 00:20:29.953]  Waging war on corruption.
[00:20:32.235 --> 00:20:37.879]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:20:45.299 --> 00:20:47.520]  We've got some stories up on TrumpsReport.com.
[00:20:48.140 --> 00:20:51.162]  It's from the great folks over at Gateway Pundit who did the research.
[00:20:51.742 --> 00:20:58.806]  Guess who shouted out, reportedly, gun and made a run at Trump to make him look like a fool and a coward?
[00:21:00.286 --> 00:21:00.826]  Which he wasn't.
[00:21:00.847 --> 00:21:03.728]  He stood there very strong until the Secret Service forcefully took him off the stage.
[00:21:04.048 --> 00:21:04.748]  He came right back.
[00:21:05.469 --> 00:21:08.710]  It's a bird dogger, a Democratic Party blogger operative.
[00:21:08.750 --> 00:21:11.872]  We can put it up on screen for TV viewers.
[00:21:13.294 --> 00:21:14.795]  So isn't that just special?
[00:21:14.835 --> 00:21:18.178]  That story is also, again, posted to InfoWars.com.
[00:21:18.258 --> 00:21:21.121]  Update, Trump attacker was Bird Dogger.
[00:21:21.501 --> 00:21:22.322]  That's in the WikiLeaks.
[00:21:22.502 --> 00:21:24.744]  You know, go out and attack people, basically cause disturbance.
[00:21:25.365 --> 00:21:26.426]  Mentioned in WikiLeaks.
[00:21:27.944 --> 00:21:28.544]  So there you go.
[00:21:28.724 --> 00:21:31.065]  Oh, and there's another report in the Washington Post.
[00:21:31.085 --> 00:21:35.126]  The Washington Post finally, I guess, because the word came in, the fix is in for Hillary, they think.
[00:21:35.406 --> 00:21:40.747]  They've got to go ahead and act like they're distancing themselves from her because, you know, they've got to fight for her to get her in.
[00:21:40.787 --> 00:21:44.388]  But then once she's in, they can play the part of opposition and not lose all their readers.
[00:21:44.428 --> 00:21:46.128]  Well, too late, you're totally discredited.
[00:21:46.488 --> 00:21:51.130]  There's a new big, giant graphic image we should tweet out, and it's Hillary.
[00:21:51.410 --> 00:21:52.210]  And if you scroll down,
[00:21:53.254 --> 00:21:56.317]  Hillary Clinton's lying is the behavior of a sociopath.
[00:21:57.938 --> 00:22:01.041]  No, it goes a little bit further than that.
[00:22:02.362 --> 00:22:10.729]  In fact, I tweeted an image out today where folks found a photo of her that really crystallizes who she is, where she looks like a demonic clown.
[00:22:11.529 --> 00:22:15.653]  And that's what people that are around her closely describe her as, is a very, very scary person.
[00:22:15.693 --> 00:22:19.396]  Now, they have created such an upside-down world.
[00:22:20.725 --> 00:22:40.735]  That if I don't want to pay for Ukrainian, Mexican, Chinese, Venezuelan, you name it, people to come in, have babies for free, get put on welfare, welfare's not enough to live on though, then you go out and get a job and then drive down wages.
[00:22:40.935 --> 00:22:41.856]  You're not a bad person.
[00:22:42.076 --> 00:22:42.956]  I get why you're coming here.
[00:22:43.056 --> 00:22:43.897]  I would too if I was you.
[00:22:44.257 --> 00:22:49.860]  The point is it's designed not to even rise you up, but to create a permanent underclass, and then they've got the nerve
[00:22:50.580 --> 00:22:55.285]  To have all these states trying to pass laws, some have done it, but not put it on the books.
[00:22:55.646 --> 00:23:01.032]  That is, the governors didn't sign in Illinois or California this year to let illegals vote.
[00:23:01.712 --> 00:23:08.159]  And now, all over the big Spanish language channels, they have arrogant entitled people going
[00:23:09.488 --> 00:23:12.069]  If you live here, you're a citizen, and you should be able to vote.
[00:23:12.469 --> 00:23:22.653]  Really, can I go to Mexico, or Venezuela, or Ukraine, or Nigeria, and just show up and say, I've been here a year, I work here, you've got to let me vote.
[00:23:22.693 --> 00:23:24.073]  They would kick your butt.
[00:23:24.834 --> 00:23:27.635]  But now, the video's up on InfoWars.com.
[00:23:29.496 --> 00:23:30.556]  President Obama.
[00:23:32.853 --> 00:23:37.395]  Encourages illegals to vote, says there is no penalty, and if you vote, you're a citizen.
[00:23:37.435 --> 00:23:39.536]  He repeats what the pundit says.
[00:23:39.576 --> 00:23:45.259]  And in case you think this is some type of mental typo, it's all scripted, because we've seen it literally in hundreds of articles.
[00:23:45.299 --> 00:23:46.239]  Here's the Washington Post.
[00:23:47.240 --> 00:23:49.621]  Could non-citizens decide the November election?
[00:23:50.341 --> 00:24:00.086]  Just like Bloomberg, the same day, last week, came out and said, illegals are voting nationwide, but Trump is still wrong about it and it doesn't exist.
[00:24:00.905 --> 00:24:02.687]  And it was designed to be mental illness.
[00:24:03.547 --> 00:24:05.769]  And just totally confuse everyone and go, what?
[00:24:08.031 --> 00:24:13.516]  Because, see, they want to get this down so inculcated that when illegals get caught voting, people go, okay, it's their right to.
[00:24:13.536 --> 00:24:21.944]  I mean, folks, if I showed up in Mexico, tried to walk in with a US ID card, tried to vote, they would kick my butt.
[00:24:23.319 --> 00:24:25.680]  Because they still have common sense of nationalism.
[00:24:26.401 --> 00:24:30.203]  But only here, oh you just got here, oh here, everything's free and you can vote.
[00:24:30.303 --> 00:24:30.483]  What?
[00:24:31.423 --> 00:24:32.624]  This is total checkmate, folks.
[00:24:34.545 --> 00:24:35.886]  But again, it's a conspiracy theory.
[00:24:35.986 --> 00:24:38.107]  Alex Jones and Donald Trump are totally insane.
[00:24:39.087 --> 00:24:41.068]  It's totally racist.
[00:24:41.228 --> 00:24:47.872]  Ladies and gentlemen, ladies and gentlemen, there is, listen to me, there is no law.
[00:24:48.272 --> 00:24:49.653]  If you vote, you're a citizen.
[00:24:50.833 --> 00:24:51.774]  Even if you're not a citizen.
[00:24:53.131 --> 00:24:54.592]  This is the throwing it in your face.
[00:24:55.412 --> 00:24:57.054]  This is the crapping on you and rubbing it in.
[00:24:57.094 --> 00:24:58.354]  This is only going to get worse.
[00:25:00.115 --> 00:25:01.997]  This is like Alice in Wonderland Tea Party.
[00:25:02.037 --> 00:25:02.697]  It's so crazy.
[00:25:03.077 --> 00:25:03.778]  Here is Obama.
[00:25:03.798 --> 00:25:13.544]  Many of the millennials, dreamers, undocumented citizens, and I call them citizens because they contribute to this country, are fearful of voting.
[00:25:13.664 --> 00:25:17.166]  So if I vote, will immigration know where I live?
[00:25:17.366 --> 00:25:19.168]  Will they come for my family and deport us?
[00:25:19.668 --> 00:25:20.088]  Not true.
[00:25:20.749 --> 00:25:22.390]  And the reason is, first of all,
[00:25:23.270 --> 00:25:34.259]  When you vote, you are a citizen yourself, and there is not a situation where the voting rolls somehow are transferred over and people start investigating, etc.
[00:25:34.619 --> 00:25:38.222]  The sanctity of the vote is strictly confidential.
[00:25:40.664 --> 00:25:42.526]  I can't believe I heard what I heard.
[00:25:42.546 --> 00:25:46.088]  The president's even questioning
[00:25:47.365 --> 00:25:54.028]  Whether the person who is an illegal is voting, outside of reminding people that if you're a citizen, you vote.
[00:25:54.529 --> 00:26:03.313]  But it's very clear that the question is being asked was about illegals voting and afraid that they might be reported to border security.
[00:26:04.394 --> 00:26:06.675]  You're illegal, you cannot vote.
[00:26:07.535 --> 00:26:11.617]  And the President of the United States is saying, don't worry, no one will be spying on you, catching you.
[00:26:11.777 --> 00:26:12.598]  It was an encouragement.
[00:26:12.798 --> 00:26:16.420]  Maybe whether you're for the president, against the president, whether you're- I'll stop right there.
[00:26:17.725 --> 00:26:18.886]  This is all done on purpose.
