[00:00:03.959 --> 00:00:06.262]  Wednesday, April 20th, 2016.
[00:04:12.917 --> 00:04:13.837]  I have no idea.
[00:04:13.837 --> 00:04:14.538]  I've never heard that.
[00:04:16.451 --> 00:04:33.900]  We must never forget our fellow Americans that paid the ultimate price in a bid to end the American way, quarterbacked by a protected elite class now blackmailing the US government by threatening to sell off $750 billion in US assets.
[00:04:33.900 --> 00:04:39.083]  This obvious and inflated admission of guilt by the Saudis begs the question,
[00:04:39.443 --> 00:04:46.250]  How much are the 2,996 innocent fellow American lives that perished on 9-11-2001 worth to you?
[00:04:46.250 --> 00:04:48.752]  What's going on, Betty?
[00:04:48.752 --> 00:04:51.595]  Betty, talk to me.
[00:04:51.595 --> 00:04:55.859]  Betty, are you there?
[00:04:55.859 --> 00:04:58.702]  John Bowne for Infowars.com.
[00:04:58.702 --> 00:04:59.343]  We'll be back.
[00:04:59.343 --> 00:04:59.904]  Stay with us.
[00:05:00.629 --> 00:05:08.653]  Hillary Clinton once again brazenly violated New York State election laws by campaigning within 100 feet of a polling place.
[00:05:08.653 --> 00:05:16.496]  A Reuters video shows Hillary and Bill Clinton greeting voters outside their polling precinct and posing for photos inside of the building.
[00:05:16.496 --> 00:05:24.760]  The law clearly states that candidates cannot engage in electioneering or display of any political signs in the vicinity of a polling station.
[00:05:25.000 --> 00:05:30.203]  However, this is not the first time that the Clinton campaign appears to have broken the law.
[00:05:30.203 --> 00:05:37.368]  Back on March 1st, a voting location in New Bedford, Massachusetts was locked down to accommodate a visit by Bill Clinton.
[00:05:37.368 --> 00:05:39.750]  They are affecting the voting at this poll.
[00:05:39.750 --> 00:05:43.292]  It's fraud and illegal, stated the person who filmed the footage.
[00:05:43.292 --> 00:05:48.596]  From one side of the street to the other, there's no way anybody can get down there to vote.
[00:05:48.596 --> 00:05:50.557]  New Bedford Mayor John F. Mitchell
[00:05:50.697 --> 00:05:56.308]  Then campaign for Clinton during a bullhorn speech, another violation of Massachusetts law.
[00:05:56.308 --> 00:05:59.995]  You can find more reports on InfoWars.com.
[00:06:00.755 --> 00:06:01.435]  Uh, yeah.
[00:06:01.435 --> 00:06:07.258]  First of all, I want to say take the 12X2, Supermail, Brain Force, Prostagart, Silver Bullet.
[00:06:07.258 --> 00:06:08.219]  I use them all.
[00:06:08.219 --> 00:06:09.199]  They're phenomenal.
[00:06:09.199 --> 00:06:09.940]  They work.
[00:06:09.940 --> 00:06:10.780]  Buy them, folks.
[00:06:10.780 --> 00:06:11.180]  Thank you, brother.
[00:06:11.180 --> 00:06:13.181]  I really thank you guys for putting those out there.
[00:06:13.181 --> 00:06:20.005]  I am a relatively short-time listener, and I'm quite a supporter of your fine, fine products.
[00:06:20.005 --> 00:06:21.405]  Welcome to the InfoWar.
[00:06:21.405 --> 00:06:26.808]  It's so easy to get these incredible nutraceuticals that support your health and the InfoWar at the same time.
[00:06:27.248 --> 00:06:27.968]  I'm a nine-year listener.
[00:06:27.968 --> 00:06:31.870]  I buy all the nutraceuticals, Pacu FX, uh, nascent iodine.
[00:06:31.870 --> 00:06:32.650]  Let me ask you a question.
[00:06:32.650 --> 00:06:33.691]  Have they worked for you?
[00:06:33.691 --> 00:06:36.552]  They're the most unbelievable products I've ever had in my life.
[00:06:36.552 --> 00:06:37.892]  What products are you taking?
[00:06:37.892 --> 00:06:45.896]  Everything from, uh, Super Male to, uh, Brain Force to Winter Sun, uh, X2, even got a little, uh, DNA Force.
[00:06:45.896 --> 00:06:49.397]  So, and I just re-upped everything and I just went to Autofill.
[00:06:49.537 --> 00:06:54.588]  Visit Infowarslives.com to read the information and research and to see the reviews for yourself.
[00:06:54.588 --> 00:06:56.612]  That's Infowarslives.com or call 888-253-3139.
[00:07:00.640 --> 00:07:08.903]  Please listen carefully, because I'm about to point out three things that will save you a lot of money while you get high-quality products and fund the info war.
[00:07:08.903 --> 00:07:10.123]  A 360 win.
[00:07:10.123 --> 00:07:16.685]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at infowarshore.com.
[00:07:16.685 --> 00:07:24.208]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip, because we hold back a surplus for AutoShip customers.
[00:07:24.608 --> 00:07:29.292]  Number three, we're giving you free shipping on all orders above $50.
[00:07:29.292 --> 00:07:35.797]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[00:07:35.797 --> 00:07:43.583]  Just go to InfoWarsTore.com, select your favorite product or products, click on auto ship, and choose how often you want us to send you another order.
[00:07:43.583 --> 00:07:50.808]  As you know, I coined the term 360 win, and with the new auto ship feature at InfoWarsLife.com, this is a sure win.
[00:07:50.808 --> 00:07:51.609]  10% off on auto ship.
[00:07:51.749 --> 00:07:54.193]  Win-win-win at Infowarslife.com.
[00:07:54.193 --> 00:07:56.176]  Free shipping on orders above 50 bucks.
[00:07:56.176 --> 00:08:00.762]  And all out-of-stock items are never out-of-stock when you sign up for AutoShip.
[00:08:00.762 --> 00:08:05.610]  As a community moves towards despotism, respect is restricted to fewer people.
[00:08:08.490 --> 00:08:17.693]  That's veteran Denver Police Officer Charles Jones IV smashing an unarmed suspect in the face six times.
[00:08:17.693 --> 00:08:22.075]  Officers accused of using excessive force on a suspect and then trying to erase the evidence.
[00:08:22.075 --> 00:08:26.977]  I'm observing what they're doing and I don't understand what's going on.
[00:08:26.977 --> 00:08:36.340]  A community rates low on an information scale when the press, radio, and other channels of communication are controlled by only a few people.
[00:08:37.148 --> 00:08:44.993]  It doesn't raise ethical questions about the use of government money to produce stories about the government that wind up being aired with no disclosure that they were produced by the government.
[00:08:44.993 --> 00:08:46.574]  How can you ask such a question?
[00:08:46.574 --> 00:08:50.236]  What difference at this point does it make?
[00:08:50.236 --> 00:08:56.600]  When a competent observer looks for signs of despotism in the community, he looks beyond fine words and noble phrases.
[00:08:56.600 --> 00:09:04.225]  There are actions I have the legal authority to take as president that will help make our immigration system more fair and more just.
[00:09:05.487 --> 00:09:07.570]  Tonight, I'm announcing those actions.
[00:09:07.570 --> 00:09:08.932]  What I say, go.
[00:09:08.932 --> 00:09:09.774]  See?
[00:09:09.774 --> 00:09:14.020]  I'm the law around here.
[00:09:14.020 --> 00:09:16.924]  You came, you saw, you died.
[00:09:19.218 --> 00:09:25.923]  Yes, in modern warfare, our military leaders are finding that words and ideas are highly effective weapons.
[00:09:25.923 --> 00:09:27.764]  We just have to be repetitive about this.
[00:09:27.764 --> 00:09:34.710]  We need to do this every day of the week and just really brainwash people into thinking about guns in a vastly different way.
[00:09:34.710 --> 00:09:37.572]  We are trained to deceive if we have to.
[00:09:37.572 --> 00:09:39.093]  You really don't have to trust me.
[00:09:39.093 --> 00:09:39.913]  You shouldn't trust me.
[00:09:39.913 --> 00:09:43.997]  In fact, by my actually participating that, I will taint the news.
[00:09:43.997 --> 00:09:47.219]  In communities of this kind, despotism stands a good chance.
[00:09:49.140 --> 00:09:55.462]  Nine most terrifying words in the English language are, I'm from the government and I'm here to help.
[00:09:55.462 --> 00:10:00.324]  Oh goodness you, well we're gonna do everything we can to help you.
[00:10:00.324 --> 00:10:04.365]  Resistance to tyrants is obedience to God.
[00:10:04.365 --> 00:10:07.066]  It's the Alex Jones Show.
[00:10:07.066 --> 00:10:10.807]  Because there is a world for your mind.
[00:10:13.138 --> 00:10:20.421]  Ladies and gentlemen, we are seeing just amazing historical things happen every day now.
[00:10:20.421 --> 00:10:33.105]  The conspiratorial patriot, extreme right-wing view of the world is being documented to be the true state of the planet and how things operate.
[00:10:33.105 --> 00:10:36.966]  Now, I don't call it the extreme right-wing patriot movement.
[00:10:36.966 --> 00:10:38.827]  That's what the mainstream media calls it.
[00:10:40.219 --> 00:10:43.883]  We're a movement based in the United States, but allied across the world.
[00:10:43.883 --> 00:10:59.858]  There are patriots and pro-humans in parties in Africa, in parties in Asia, in parties in Europe, in parties in Central and South America, as well as North America and the Pacific Islands, right through to Australia.
[00:10:59.858 --> 00:11:02.601]  We study history.
[00:11:02.601 --> 00:11:04.543]  We study economics.
[00:11:06.274 --> 00:11:09.075]  We study empires.
[00:11:09.075 --> 00:11:12.897]  We study cartels.
[00:11:12.897 --> 00:11:15.278]  We are learned.
[00:11:15.278 --> 00:11:17.558]  We are informed.
[00:11:17.558 --> 00:11:19.619]  We are involved.
[00:11:19.619 --> 00:11:25.361]  We are empowered individuals, as the Pentagon calls us.
[00:11:25.361 --> 00:11:34.205]  And the Pentagon is tasked with going after its number one enemy, Jade Helm's own document submitted, the empowered individual.
[00:11:35.359 --> 00:11:47.445]  Not a terrorist, not a criminal, but the empowered individual enlightened with a mind of renaissance.
[00:11:47.445 --> 00:11:59.791]  That individual will not fit in to this new robotic planetary dark age that the establishment is trying to foist upon us.
[00:12:02.159 --> 00:12:13.689]  But the spirit of liberty that beats in the human breast, the indomitable human spirit that refuses to submit, is beginning to rise.
[00:12:13.689 --> 00:12:26.040]  And just as the Earth itself goes through birth pains, and just as tectonic activity rises to the highest level ever recorded, just as volcanoes begin to erupt,
[00:12:31.528 --> 00:12:32.789]  As above, so below.
[00:12:32.789 --> 00:12:35.651]  That's what the ancient alchemist said.
[00:12:35.651 --> 00:12:39.794]  And you're seeing that happen yet again in front of everyone.
[00:12:39.794 --> 00:12:41.936]  This is a great time of change.
[00:12:41.936 --> 00:12:45.658]  A lot of horrible things are going to happen in the next decade, obviously.
[00:12:45.658 --> 00:12:47.900]  But a lot of amazing things are going to happen as well.
[00:12:49.028 --> 00:12:53.449]  Humanity is entering its birthright of super-science.
[00:12:53.449 --> 00:12:59.791]  I use the 1900 term for comic book super-science, imaginary super-science.
[00:12:59.791 --> 00:13:09.654]  What was super-science a hundred years ago has been surpassed in almost every imagination of the mind of man.
[00:13:09.654 --> 00:13:10.674]  Quite a species!
[00:13:11.803 --> 00:13:14.064]  And that's why you've been told you're ugly.
[00:13:14.064 --> 00:13:16.224]  It's why you've been told you're a failure.
[00:13:16.224 --> 00:13:20.545]  It's why you've been told you're not beautiful and have no power.
[00:13:20.545 --> 00:13:31.028]  Because as Mahatma Gandhi said, in our heart, in each human, there is the seed of the universe.
[00:13:31.028 --> 00:13:33.488]  That's what we're talking about here today.
[00:13:33.488 --> 00:13:39.470]  The globalists want to rob that seed, that potential of our destiny,
[00:13:40.939 --> 00:13:43.740]  And run for the hills with it.
[00:13:43.740 --> 00:13:48.822]  This is a mugging, a cosmic globalist mugging of our species.
[00:13:48.822 --> 00:13:52.564]  An attempt to harness our species.
[00:13:52.564 --> 00:13:55.045]  True slavery.
[00:13:55.045 --> 00:13:57.346]  Slavery to the next power.
[00:13:57.346 --> 00:14:00.807]  Slavery squared.
[00:14:00.807 --> 00:14:03.568]  Total control of reality.
[00:14:03.568 --> 00:14:05.709]  False paradigms.
[00:14:05.709 --> 00:14:06.950]  Programmed masses.
[00:14:10.202 --> 00:14:17.826]  Donald Trump, just a symbol of populism, a flawed one as all humans are, was able to have an election.
[00:14:17.826 --> 00:14:31.333]  The last five contests, the Republicans cancelled them and just gave all the votes to the anointed one, Ted Cruz, anointed by I guess our high priest, Glenn Beck, because he said so.
[00:14:31.333 --> 00:14:36.755]  And he wears ironic sweaters to look non-threatening, so everything's fine when he creeps around.
[00:14:36.755 --> 00:14:38.056]  We must do what he says.
[00:14:38.056 --> 00:14:39.337]  Him and Count Chocula.
[00:14:40.336 --> 00:14:44.698]  Excuse me, Ted Cruz.
[00:14:44.698 --> 00:14:52.001]  Trump actually got to have an election and he dominated getting all the delegates in New York.
[00:14:54.502 --> 00:15:00.946]  Now, of course, Hillary was behind the polls in New York, but Bernie Sanders magically lost.
[00:15:00.946 --> 00:15:03.727]  And, of course, when he wins states, he gets the delegates.
[00:15:03.727 --> 00:15:15.054]  That's why Cruz just started having the Republicans cancel primaries all out, because if you have them and then give the delegates when Trump wins in Tennessee, Arizona, Louisiana, and a bunch of other states, it's a little bit embarrassing.
[00:15:15.054 --> 00:15:18.936]  You know, like in Wyoming was another one.
[00:15:18.936 --> 00:15:20.777]  So you just cancel things outright, like
[00:15:22.998 --> 00:15:24.478]  Like Colorado and now other states.
[00:15:24.478 --> 00:15:32.741]  And the problem is that they're not, they can't get the Republicans and the party machines in states like Pennsylvania and New York.
[00:15:32.741 --> 00:15:38.622]  They're just not agreeing to say there was never voters, they didn't exist, and you're a kook if you say it.
[00:15:38.622 --> 00:15:43.323]  I saw this talking point starting three weeks ago and I played a lot of clips of it, made a big deal out of it.
[00:15:43.323 --> 00:15:50.045]  Because Cruz would go on national television and radio and say, the Texas Senator,
[00:15:52.810 --> 00:15:56.871]  I mean, I gotta say, at the Carpetbagging Center, I now do not accept Ted Cruz as a Texan.
[00:15:56.871 --> 00:15:57.511]  He's not from here.
[00:15:57.511 --> 00:15:58.231]  Nothing against Canadians.
[00:15:58.231 --> 00:15:59.492]  You've got a great country.
[00:15:59.492 --> 00:16:06.053]  But, you know, just please, man, stop with the cowboy hats and the boots and making us all look bad, okay?
[00:16:06.053 --> 00:16:06.774]  I mean, seriously.
[00:16:06.774 --> 00:16:13.635]  I mean, you hand that guy a lariat, he'd think it was for hanging the Constitution by the neck until dead.
[00:16:13.635 --> 00:16:16.336]  He wouldn't know what to do with it.
[00:16:16.336 --> 00:16:18.737]  So there was a paradigm shift when Sean Hannity
[00:16:19.600 --> 00:16:22.564]  I've been a critic of over the years, you know, at least he's pro-gun and stuff.
[00:16:22.564 --> 00:16:23.645]  I mean, I'm not an enemy with him.
[00:16:23.645 --> 00:16:27.490]  I don't think he's like, he's not duplicitous and sneaky like Glenn Beck.
[00:16:29.622 --> 00:16:31.684]  I don't like to bash these people.
[00:16:31.684 --> 00:16:33.605]  I'm not in competition with them.
[00:16:33.605 --> 00:16:34.826]  I'm changing the narrative.
[00:16:34.826 --> 00:16:36.207]  I'm changing the talking points.
[00:16:36.207 --> 00:16:38.409]  They follow us, and that's a fact.
[00:16:38.409 --> 00:16:54.962]  We influence them and take their fake conservatism and bring it into true constitutional libertarianism because we educate the public to where they're forced to follow or become passé, become obsolete, become redundant, become vestigial, become ceremonial.
[00:16:56.857 --> 00:17:01.860]  Become empty if they don't follow because the truth is unstoppable.
[00:17:01.860 --> 00:17:05.502]  But to his credit, Hannity really got it.
[00:17:05.502 --> 00:17:07.323]  I'm going to play the clip coming up.
[00:17:07.323 --> 00:17:07.843]  Cruz is on.
[00:17:07.843 --> 00:17:10.365]  He goes, listen, man, you've been on my show more than anybody.
[00:17:10.365 --> 00:17:14.567]  And you keep playing this mind game where you talk about landslides in these terms.
[00:17:14.567 --> 00:17:17.029]  You've been canceling elections.
[00:17:17.029 --> 00:17:18.029]  And don't give me this.
[00:17:18.029 --> 00:17:19.030]  Nothing's going on.
[00:17:19.030 --> 00:17:20.531]  And voters aren't upset.
[00:17:20.531 --> 00:17:21.972]  My audience is really upset.
[00:17:22.978 --> 00:17:24.978]  We're going to play the club, but that's a paraphrase.
[00:17:24.978 --> 00:17:28.319]  And Cruz just keeps going, no, I won a landslide.
[00:17:28.319 --> 00:17:28.799]  I won.
[00:17:28.799 --> 00:17:29.959]  He's a sore loser.
[00:17:29.959 --> 00:17:30.539]  Only Trump.
[00:17:30.539 --> 00:17:33.080]  I mean, it's just amazing.
[00:17:33.080 --> 00:17:36.520]  And to finally see Hannity go, Hannity goes, stop it.
[00:17:36.520 --> 00:17:37.460]  Stop it.
[00:17:37.460 --> 00:17:39.181]  Stop it.
[00:17:39.181 --> 00:17:40.521]  Stop it.
[00:17:40.521 --> 00:17:50.243]  Because when someone's looking at you, insulting you, it's like if you're standing there at high noon outside and the sky is blue, and somebody goes, no, it's not.
[00:17:50.243 --> 00:17:51.103]  It's black.
[00:17:51.103 --> 00:17:52.103]  Or it's purple.
[00:17:53.083 --> 00:17:56.525]  And you're like, no, it's an azure blue sky.
[00:17:56.525 --> 00:17:58.485]  Heavenly.
[00:17:58.485 --> 00:18:00.646]  And they look at it and they go, I say it's not.
[00:18:00.646 --> 00:18:21.656]  There comes a point where no matter how big your red carpet is, or how fancy your tuxedo is, or how slick you can talk, people just go, hey, the sky's blue, two plus two equals four, Obamacare's a ripoff, you are coming after our guns, the country's run by foreign banks, the Chinese communists lecture us and own our debt and tell us what to do, along with the Saudi Arabians who run slave brothels?
[00:18:22.824 --> 00:18:27.447]  They're lecturing us on human rights and they run the UN Human Rights Commission?
[00:18:27.447 --> 00:18:36.933]  Man, this is funnier than George Carlin, if it wasn't so serious!
[00:18:36.933 --> 00:18:46.239]  So, look, the world is going to decide that 2 plus 2 equals 4, or it's not, as Eric Blair, aka George Orwell, wrote in 1948, when he published 1984.
[00:18:50.680 --> 00:19:13.955]  What he believed it would be like if the socialists took over, they would destroy language, turn everything on its head, call tyranny love, create social justice warrior networks of young trendies running around, denouncing everyone, to have them drug off to re-education centers, because he'd worked for the British Secret Police, he'd been in MI6 and OSS, and he'd worked for the communists as well, as a commander in the Spanish Civil War fighting the Nazis.
[00:19:15.327 --> 00:19:22.091]  He wrote essay after essay, non-fiction, about how he figured out the communists were as bad as the Nazis.
[00:19:22.091 --> 00:19:24.432]  And how they didn't want to set up a nice world.
[00:19:24.432 --> 00:19:31.215]  They wanted to rape your wife and have you starve to death when they sat up in a castle.
[00:19:31.215 --> 00:19:35.097]  They want to stomp on your face because they like it.
[00:19:35.097 --> 00:19:37.458]  You ask, why does a pedophile want to grab your kid out of their backyard?
[00:19:37.458 --> 00:19:38.339]  It's horrible.
[00:19:38.339 --> 00:19:40.080]  Because you're not like them.
[00:19:42.588 --> 00:19:44.991]  You're attracted to a Wonder Woman.
[00:19:44.991 --> 00:19:46.213]  Who wouldn't be?
[00:19:46.213 --> 00:19:52.281]  Powerful, beautiful, creature made of God, reproductive, the feminine energy.
[00:19:52.281 --> 00:19:53.763]  That's what a real man's attracted to.
[00:19:53.763 --> 00:19:54.984]  Not these people.
[00:19:54.984 --> 00:19:58.369]  They want to grab your five-year-old out of the backyard and torture him to death.
[00:19:58.369 --> 00:19:58.910]  Okay?
[00:19:58.910 --> 00:19:59.631]  That's who they are.
[00:20:00.894 --> 00:20:04.495]  A good stove is at the top of the list for any serious survivalist.
[00:20:04.495 --> 00:20:08.077]  That's why you have to see the full range at EmberLit.com.
[00:20:08.077 --> 00:20:10.738]  Simple, elegant, but extraordinarily efficient.
[00:20:10.738 --> 00:20:17.121]  Available in titanium or stainless steel, the EmberLit line of stoves are ultra-light, pack flat, and work great.
[00:20:17.121 --> 00:20:23.823]  Fueled only by sticks and debris, from emergency situations to long-term survival, EmberLit stoves are up to the task.
[00:20:23.823 --> 00:20:27.885]  EmberLit, the most convenient, easy-to-carry wood stoves on the planet.
[00:20:27.885 --> 00:20:29.826]  See them all at EmberLit.com.
[00:20:30.626 --> 00:20:32.327]  Is there a difference in body armor?
[00:20:32.327 --> 00:20:33.048]  You bet!
[00:20:33.048 --> 00:20:33.708]  Quality.
[00:20:33.708 --> 00:20:34.389]  Warranty.
[00:20:34.389 --> 00:20:34.989]  Price.
[00:20:34.989 --> 00:20:36.390]  Get it all from Patriot Armor.
[00:20:36.390 --> 00:20:39.252]  Veteran owned and operated Patriot Armor plates are made in America.
[00:20:39.252 --> 00:20:40.032]  Max tested.
[00:20:40.032 --> 00:20:41.273]  Independent lab certified.
[00:20:41.273 --> 00:20:45.956]  Come in many options and protection levels with a lifetime warranty on our steel armor plates and Viper plate carriers.
[00:20:45.956 --> 00:20:47.858]  Plus industry leading prices starting at just $149.99.
[00:20:47.858 --> 00:20:49.118]  Click PatriotArmorDefense.com.
[00:20:49.118 --> 00:20:51.020]  That's PatriotArmorDefense.com.
[00:20:51.020 --> 00:20:51.320]  Or call 727-280-7146.
[00:20:51.320 --> 00:20:53.261]  When your life depends on it, trust no other.
[00:20:53.261 --> 00:20:53.681]  Patriot Armor.
[00:21:00.586 --> 00:21:02.347]  This is not an offering to sell a franchise.
[00:21:02.347 --> 00:21:05.109]  Franchise offerings are made through the Franchise Disclosure Document.
[00:21:05.109 --> 00:21:08.691]  Are you one of the 70% of Americans who hate their jobs?
[00:21:08.691 --> 00:21:11.352]  Do you wish you could work for yourself but don't know what to do?
[00:21:11.352 --> 00:21:13.153]  Then we have a proven solution for you.
[00:21:13.153 --> 00:21:15.815]  A budget-blinds franchise opportunity.
[00:21:15.815 --> 00:21:23.359]  Our franchise owners enjoy freedom and flexibility as well as the unlimited income potential of owning their own home-based business.
[00:21:23.359 --> 00:21:27.221]  And right now you have the opportunity to join our low-investment franchise network.
[00:21:27.481 --> 00:21:30.564]  Budget Blinds has been an established name for over 20 years.
[00:21:30.564 --> 00:21:39.311]  When you join our franchise, you get all the benefits of a well-known national brand plus the added benefit of nearly $10 million in marketing to help drive customers to you.
[00:21:39.311 --> 00:21:41.053]  Don't wait another year to make a change.
[00:21:41.053 --> 00:21:45.957]  Transform your career and enjoy a flexible lifestyle by owning your own successful business.
[00:21:45.957 --> 00:21:47.138]  Call Budget Blinds today.
[00:21:47.358 --> 00:21:50.482]  But hurry, franchise opportunities in this area are limited.
[00:21:50.482 --> 00:21:50.742]  Call 1-800-215-3334.
[00:21:50.742 --> 00:21:51.043]  That's 1-800-215-3334.
[00:21:51.043 --> 00:21:51.123]  1-800-215-3334.
[00:21:51.123 --> 00:21:52.905]  We use mobile devices right against our bodies every day.
[00:22:03.038 --> 00:22:09.682]  But growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:09.682 --> 00:22:14.105]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:14.105 --> 00:22:20.209]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:20.209 --> 00:22:23.912]  Buy now at DefenderShield.com for 10% off.
[00:22:23.912 --> 00:22:25.392]  Use promo code GCN.
[00:22:25.392 --> 00:22:28.915]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:29.833 --> 00:22:32.874]  My dad was 59 when he collapsed from a heart attack late last year.
[00:22:32.874 --> 00:22:35.515]  Just this past August was when we spread his ashes on the St.
[00:22:35.515 --> 00:22:36.256]  Croix River.
[00:22:36.256 --> 00:22:38.497]  I loved my dad, but boy was he stubborn.
[00:22:38.497 --> 00:22:41.458]  He hadn't been to the doctor in over 25 years.
[00:22:41.458 --> 00:22:42.318]  His excuse?
[00:22:42.318 --> 00:22:43.659]  He simply couldn't afford it.
[00:22:43.659 --> 00:22:45.279]  He wasn't a rich man by any means.
[00:22:45.279 --> 00:22:51.022]  At less than $107 per month, LibertyOnCall.org would have been the perfect alternative for my father.
[00:22:51.022 --> 00:22:52.062]  Don't wait.
[00:22:52.062 --> 00:22:54.723]  Go to LibertyOnCall.org right now.
[00:22:54.723 --> 00:22:57.224]  For not just your sake, but for the sake of your loved ones.
[00:22:57.224 --> 00:22:58.825]  Again, that's LibertyOnCall.org.
[00:22:59.745 --> 00:23:06.527]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:23:06.527 --> 00:23:10.789]  Since 2005, thousands have depended on Berkey Purified Water.
[00:23:10.789 --> 00:23:15.410]  The Berkey guy provides the lowest price filtration systems in every size.
[00:23:15.410 --> 00:23:20.992]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
