[00:00:07.785 --> 00:00:10.406]  Ladies and gentlemen, wow!
[00:04:09.509 --> 00:04:10.450]  That's what it is.
[00:04:10.450 --> 00:04:12.651]  It's an attack on humanity.
[00:04:12.651 --> 00:04:13.552]  And it's got to be stopped.
[00:04:14.548 --> 00:04:20.330]  If you take a trip along the San Diego-Mexico border, on the surface you won't notice anything different.
[00:04:20.330 --> 00:04:21.550]  But there is.
[00:04:21.550 --> 00:04:24.131]  It's the changing face of immigration.
[00:04:24.131 --> 00:04:27.632]  Right now we're seeing a large influx of Syrian refugees seeking asylum.
[00:04:27.632 --> 00:04:32.994]  Crime will surge, disease will spread, and more terror attacks are inevitable.
[00:04:33.234 --> 00:04:37.776]  Unfortunately, Obama's days as president are coming to a close.
[00:04:37.776 --> 00:04:45.480]  The lifting of Obama's fog of apocalyptic immigration will be finally recognized for what it is.
[00:04:45.480 --> 00:04:55.164]  And anyone with any sense in their head will come to the conclusion that this is why we have immigration laws that need to be enforced.
[00:04:55.164 --> 00:04:58.386]  John Bowne for Infowars.com.
[00:04:58.386 --> 00:05:00.046]  We're live, ladies and gentlemen.
[00:05:00.046 --> 00:05:01.267]  Stay with us, I'm Alex Jones.
[00:05:02.899 --> 00:05:16.815]  All the perplexities, the confusion and distress in America arise not from objects in their constitution or confederation, not from want of honor or virtue, so much as from the downright ignorance of the nature of coin, credit and circulation.
[00:05:16.815 --> 00:05:21.100]  Those are the words of John Adams, the second president of the United States.
[00:05:21.100 --> 00:05:23.062]  Are you ignorant of the private Federal Reserve?
[00:05:23.642 --> 00:05:25.844]  Do you understand the nature of our fiat currency?
[00:05:25.844 --> 00:05:32.968]  Do you understand how a private corporation has the ability to create boom and bust cycles and to profit from it?
[00:05:32.968 --> 00:05:37.711]  What kind of leverage do these people in the Federal Reserve have over the American people?
[00:05:37.711 --> 00:05:41.454]  Or for that matter, what kind of leverage do the Saudis have over our money?
[00:05:42.034 --> 00:05:44.497]  Will you be a slave or will you be free?
[00:05:44.497 --> 00:05:49.504]  Adams also said liberty cannot be preserved without general knowledge among the people.
[00:05:49.504 --> 00:05:50.846]  Join the InfoWars.
[00:05:50.846 --> 00:05:52.147]  Spread the information.
[00:05:52.147 --> 00:05:54.070]  Educate yourself and others.
[00:05:54.070 --> 00:05:56.032]  The truth shall set you free.
[00:05:56.032 --> 00:05:57.014]  InfoWars.com.
[00:05:57.014 --> 00:05:57.715]  I'm David Knight.
[00:06:01.641 --> 00:06:09.127]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:06:09.127 --> 00:06:22.336]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:06:23.277 --> 00:06:35.173]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:06:35.173 --> 00:06:41.140]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:06:41.881 --> 00:06:50.909]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:06:50.909 --> 00:06:59.097]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[00:07:00.973 --> 00:07:02.794]  It's not just our water we need to filter.
[00:07:02.794 --> 00:07:04.875]  It's not just our food that needs to be cleaned.
[00:07:04.875 --> 00:07:07.796]  It's the air we're breathing, especially for our children.
[00:07:07.796 --> 00:07:13.859]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[00:07:13.859 --> 00:07:23.044]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems have now developed Alexa Pure Breathe.
[00:07:23.044 --> 00:07:27.906]  Whether it's your home or office, you owe it to yourself, your co-workers, your family, your children.
[00:07:28.106 --> 00:07:30.569]  Do the best job you can to purify your air.
[00:07:30.569 --> 00:07:38.598]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most the toxic effects for themselves.
[00:07:38.598 --> 00:07:39.580]  The general public doesn't.
[00:07:40.778 --> 00:07:44.719]  The Alexa Pure Breeze will be a steal at $300, $400, $500.
[00:07:44.719 --> 00:07:48.280]  One of these systems can keep 800 square feet incredibly clean.
[00:07:48.280 --> 00:07:55.002]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[00:07:55.002 --> 00:07:59.083]  Find out why this system is so revolutionary today at m4warstore.com.
[00:08:19.125 --> 00:08:27.236]  23 days until President Trump is seated, inaugurated the 45th President of the United States of America.
[00:08:30.086 --> 00:08:32.507]  We're only four days away from 2017.
[00:08:32.507 --> 00:08:37.450]  It's Tuesday, the 27th day of December 2016.
[00:08:37.450 --> 00:08:58.321]  I'm your host, Alex Jones, and we're going to be here live for the next four hours as we transmit globally from deep in the heart of Texas, Austin, from the InfoWars News Studios.
[00:08:58.321 --> 00:08:59.242]  There is a real
[00:09:01.121 --> 00:09:08.225]  Global realignment taking place right now.
[00:09:08.225 --> 00:09:14.389]  Does it mean the forces that are engaging the globalists and attempting to overthrow their system are perfect?
[00:09:14.389 --> 00:09:18.251]  Absolutely not.
[00:09:18.251 --> 00:09:22.033]  We've reached the point now where the pendulum is swinging the other way.
[00:09:22.033 --> 00:09:27.817]  The globalist program of dehumanization and planetary regime is being capsized.
[00:09:29.696 --> 00:09:48.073]  And so there are now a lot of globalists and their minions who are opportunists running over attempting to insert their little piggy snouts in and try to take over the movement.
[00:09:48.073 --> 00:09:50.535]  But we knew that was always going to happen.
[00:09:50.535 --> 00:09:54.618]  The point is, globalism and private planetary government
[00:09:55.467 --> 00:10:06.052]  Of the private central banks that control the private Federal Reserve, the private IMF, the private World Bank, they're all in deep crisis and being identified now.
[00:10:06.052 --> 00:10:16.057]  And once the public understands, oh, there's a ruling elite above this, and they're the ones that are trying to make us poor by design, and they write books admitting it all,
[00:10:18.032 --> 00:10:20.454]  Well, once we get to that point, it's game over.
[00:10:20.454 --> 00:10:33.384]  Now, if you're a listener who's been listening 21 years, we've had listeners that have been tuning that long, or a listener for five years, or even a year, you're like, Alex, you probably open 10% of your broadcasts the way you just did.
[00:10:33.384 --> 00:10:34.224]  We know that.
[00:10:34.224 --> 00:10:35.565]  We understand that.
[00:10:35.565 --> 00:10:36.906]  We know about the Davos Group.
[00:10:36.906 --> 00:10:37.927]  We know about Bilderberg.
[00:10:37.927 --> 00:10:39.548]  We know about the globalist system.
[00:10:39.548 --> 00:10:40.749]  We know about the TPP.
[00:10:40.749 --> 00:10:43.511]  We know they admit it's a world government.
[00:10:43.511 --> 00:10:46.674]  I know, but the general public still doesn't completely get it.
[00:10:47.799 --> 00:10:52.081]  So see, I'm not here just trying to have an entertaining show.
[00:10:52.081 --> 00:10:54.763]  This isn't broadcast.
[00:10:54.763 --> 00:10:57.765]  This is information warfare using the truth.
[00:10:57.765 --> 00:11:01.187]  In fact, I forgot my stack of news from yesterday when I was up here working last night.
[00:11:01.187 --> 00:11:03.708]  It's on Zimmerman's desk.
[00:11:03.708 --> 00:11:08.971]  And there's a copy of the bill, subsections that Obama signed Friday night.
[00:11:08.971 --> 00:11:10.952]  Can somebody run that into me?
[00:11:10.952 --> 00:11:11.612]  Please, thank you.
[00:11:11.612 --> 00:11:15.915]  I forgot to bring that off his desk where I was working with him last night.
[00:11:20.734 --> 00:11:34.680]  The bill, if it's implemented, completely federalizes all communications in the United States and weaponizes 16 U.S.
[00:11:34.680 --> 00:11:37.201]  intelligence agencies against the American people.
[00:11:37.201 --> 00:11:42.063]  A lot of folks on Infowars went, well, Alex, isn't the CIA already running the mainstream media?
[00:11:42.063 --> 00:11:47.926]  Yes, but this just officially puts it on paper and then gives billions of dollars of funding.
[00:11:49.597 --> 00:11:53.518]  One part of it's $160 million just for the State Department.
[00:11:53.518 --> 00:11:57.439]  The headlines, Red Alert, Obama signs bill putting CIA in control of media.
[00:11:57.439 --> 00:12:00.620]  Now that's one live video I did that was 45 minutes long.
[00:12:00.620 --> 00:12:07.002]  I did another one that was HD, because after I shot that one live, I went, that's not actually as bad as it is.
[00:12:07.002 --> 00:12:08.363]  People always say I'm sensational.
[00:12:08.363 --> 00:12:08.963]  No, no, no.
[00:12:08.963 --> 00:12:13.144]  Reality's so sensational, nine times out of 10, I underestimate.
[00:12:13.144 --> 00:12:14.485]  And I went, what is this?
[00:12:14.485 --> 00:12:16.265]  What are we facing, Zimmerman?
[00:12:16.265 --> 00:12:18.306]  And he said, this is total federalization of all media.
[00:12:18.306 --> 00:12:18.946]  And I go, that's it.
[00:12:21.203 --> 00:12:31.731]  Now, we'll battle this, we'll fight this, and then in five years, when it doesn't completely happen, if we're blessed, and we fight hard, people will say, oh, he said they'd federalize it!
[00:12:31.731 --> 00:12:47.563]  Now, they have taken over a lot of stuff, and they do go after people, and they do have a tax on people that they claim are disinformation, and they do have filters that block it, and the government does sue people now, but that's what they're announcing, and the Board of Governors of the FCC has taken over all communications,
[00:12:48.163 --> 00:12:51.106]  But, you know, still Alex Jones is allowed to operate.
[00:12:51.106 --> 00:12:52.467]  So it wasn't as bad as you said.
[00:12:52.467 --> 00:12:57.052]  That's how they roll.
[00:12:59.039 --> 00:13:01.581]  But let me teach you how I roll.
[00:13:01.581 --> 00:13:10.369]  Just so you can get a mind's eye, a bird's eye view, a window into how my brain works, because I'm somebody more committed than probably anybody else to fighting this.
[00:13:10.369 --> 00:13:15.574]  Seven days a week, 365 days a year, I dream this stuff.
[00:13:15.574 --> 00:13:16.695]  I eat this stuff.
[00:13:16.695 --> 00:13:21.239]  I don't feel alive unless I'm resisting it, because I understand how diabolical they are.
[00:13:23.234 --> 00:13:27.696]  People go watch movies where they're on a spaceship and there's a monster creeping around killing people.
[00:13:27.696 --> 00:13:29.016]  That's made up!
[00:13:29.016 --> 00:13:38.420]  I'm not scared when I go see a horror movie and then I'm walking around, you know, with the lights off in my huge, sprawling complex, even though it looks like a spaceship with all the computer terminal lights.
[00:13:38.420 --> 00:13:43.622]  Little kids, though, come in here, my kids do, and it's dark and they're, like, scared because they've seen a few movies or whatever.
[00:13:43.622 --> 00:13:44.763]  Those are fantasies.
[00:13:44.763 --> 00:13:46.803]  Those aren't real fears.
[00:13:46.803 --> 00:13:48.084]  The globalist tyrants?
[00:13:49.468 --> 00:14:00.071]  They're a clear and present danger, a menace that's killed hundreds of millions of people last century and this century alone combined and who openly have declared war on humanity.
[00:14:00.071 --> 00:14:05.092]  So I'm constantly in war mode against them.
[00:14:05.092 --> 00:14:16.275]  And because I realize it's a war and I direct operations against them like it's a war, it's having an effect because it is a war and they call it a war against us.
[00:14:16.275 --> 00:14:17.615]  So I was sitting here this morning.
[00:14:19.326 --> 00:14:29.301]  And I'm always frustrated when I'm reading literally hundreds of news articles that I'm scanning over that I'm missing something.
[00:14:29.301 --> 00:14:31.725]  And I keep thinking, what are you missing?
[00:14:31.725 --> 00:14:32.786]  It's in legislation.
[00:14:32.786 --> 00:14:33.568]  It's been announced.
[00:14:35.902 --> 00:14:43.008]  What are you looking at that's triggered a memory here that's got you so upset because you're on the verge of a huge understanding?
[00:14:43.008 --> 00:14:45.210]  So I went back through like 60, 70 articles.
[00:14:45.210 --> 00:14:45.690]  Where was it?
[00:14:45.690 --> 00:14:46.370]  Where was it?
[00:14:46.370 --> 00:14:48.152]  Something triggered a memory.
[00:14:48.152 --> 00:14:52.676]  Something triggered something key and then it hit me.
[00:14:52.676 --> 00:14:56.839]  So I'm going to reenact that right now before I get into all the huge news.
[00:14:56.839 --> 00:14:58.740]  Here's a headline.
[00:14:58.740 --> 00:15:04.145]  New York Times fumes after conservative media appropriated fake news, turned it against MSM.
[00:15:05.356 --> 00:15:07.037]  We've always been calling you the fake news.
[00:15:07.037 --> 00:15:23.267]  You've stolen our term, we're using it back on you, but now you've really popularized it because you have this system set up where you supposedly create the new definitions and we're supposed to accept it like from Moses on top Mount Sinai with the tablets that God carved with his fiery finger.
[00:15:23.267 --> 00:15:25.889]  So I'm looking at that headline, then I go through another stack.
[00:15:25.889 --> 00:15:29.231]  The Washington Post blacklist story is shameful and disgusting.
[00:15:29.231 --> 00:15:30.812]  I'd ask for that to be reprinted.
[00:15:30.812 --> 00:15:31.633]  That's Rolling Stone.
[00:15:32.972 --> 00:15:34.713]  I saw an article about do people still read books?
[00:15:34.713 --> 00:15:36.334]  The answer is Democrats don't on average.
[00:15:36.334 --> 00:15:41.998]  And then I saw this headline from Infowars.com by Fiona Miller.
[00:15:41.998 --> 00:15:46.541]  And the headline was, Sunlight Supports Immune System.
[00:15:46.541 --> 00:15:49.303]  And I thought, who said that?
[00:15:49.303 --> 00:15:55.207]  Who said that should be outlawed and you should be fined $10,000 if you publish it?
[00:15:55.207 --> 00:15:58.729]  Even though it's in thousands and thousands of studies.
[00:15:58.729 --> 00:16:02.132]  And old timer doctors always said, get out, get some fresh air, go on a hike, get some sunshine.
[00:16:04.281 --> 00:16:08.337]  Get sunshine, feed a cold, eat garlic, eat chicken noodle soup, you know, things like that.
[00:16:12.694 --> 00:16:14.515]  And I went, Cass Sunstein, that's it.
[00:16:14.515 --> 00:16:25.624]  Cass Sunstein called for taxing alternative news, and Cass Sunstein talked for a global system to mimic China, when he wrote articles as a professor at Harvard, but also at Chicago Business School.
[00:16:25.624 --> 00:16:33.229]  And then I went and started pulling up the actual papers this morning, and there it all was, the fake news plan of what these agencies are going to do.
[00:16:33.229 --> 00:16:37.613]  Because I knew a lot of what they were going to do by what they'd announced, but I went, there's a battle plan.
[00:16:37.613 --> 00:16:38.653]  There's a battle plan.
[00:16:38.653 --> 00:16:39.974]  Where was the battle plan?
[00:16:39.974 --> 00:16:41.596]  I knew it was the Communist Chinese with a model.
[00:16:42.276 --> 00:16:46.348]  I knew they were in our papers the last month lecturing us that this is the thing to do.
[00:16:46.348 --> 00:16:47.532]  And then it hit me.
[00:16:47.532 --> 00:16:48.675]  And that's how it works all the time.
[00:16:49.721 --> 00:17:00.844]  That's why I seem so frustrated is my brain speeds up and is constantly accessing all this data and all this backup info, and then I'm kind of like, uh-uh-uh-uh-uh-uh, because I can't even get it all out to you.
[00:17:00.844 --> 00:17:02.805]  That's what's so frustrating.
[00:17:02.805 --> 00:17:09.827]  And it's just everything, since lightning chills through me, the AI systems getting placed in all of our homes.
[00:17:09.827 --> 00:17:12.808]  You think smart meters forced on you are bad.
[00:17:14.690 --> 00:17:23.975]  This total takeover, this battle to control the home and control your life, in the words of Microsoft, 15 years ago.
[00:17:23.975 --> 00:17:26.296]  And now it's all happening.
[00:17:26.296 --> 00:17:31.859]  I'm gonna get into that stack of news.
[00:17:31.859 --> 00:17:40.104]  But first, I'm sitting here, deciding what to lead with.
[00:17:41.448 --> 00:17:56.162]  The fact that John Kerry is about to announce, according to our sources and other leaks, a full recognition of Palestine ahead of Trump getting into office to hand him a civil war in the Middle East.
[00:17:56.162 --> 00:17:57.784]  They weren't going to do this previously.
[00:17:57.784 --> 00:17:59.946]  This is being done as sabotage.
[00:17:59.946 --> 00:18:03.409]  Part of the internal civil war going on inside our government.
[00:18:03.409 --> 00:18:05.351]  And I went, no, I'll get to that later.
[00:18:06.391 --> 00:18:11.595]  And I looked over here at all the smart meters that are really AI surveillance grids in their own words.
[00:18:11.595 --> 00:18:14.177]  I said, no, that's not our top story.
[00:18:14.177 --> 00:18:18.100]  I said, our top story is what it was yesterday while I came in and shot special reports.
[00:18:18.100 --> 00:18:22.523]  Obama enacts ministry of truth as public focuses on holidays.
[00:18:22.523 --> 00:18:24.084]  You got to read the bill to believe it.
[00:18:24.084 --> 00:18:28.808]  It says it's to counter information warfare, foreign and domestic.
[00:18:32.501 --> 00:18:38.605]  I studied what the globalists were doing 20 years ago and called it information warfare resistance.
[00:18:38.605 --> 00:18:42.307]  Well, they now recognize we're kicking their butt up and down the street because we're the real Americans.
[00:18:42.307 --> 00:18:43.227]  We have the moral high ground.
[00:18:43.227 --> 00:18:43.687]  We have the history.
[00:18:43.687 --> 00:18:44.508]  We have the facts.
[00:18:44.508 --> 00:18:51.772]  But I was sitting here looking at this and I was looking at this article going, what is this article about sunlight supports immune system?
[00:18:51.772 --> 00:18:52.893]  What does this have to do?
[00:18:54.890 --> 00:18:57.913]  With fake news, and then it hit me.
[00:18:57.913 --> 00:19:07.260]  Cass Sunstein, and I pulled up the articles, and there he was saying $10,000 fines if you say some sunlight is needed for health.
[00:19:07.260 --> 00:19:11.604]  You'll die without it.
[00:19:11.604 --> 00:19:13.966]  I mean, the studies are absolutely conclusive.
[00:19:13.966 --> 00:19:16.968]  You will die without sunlight early.
[00:19:16.968 --> 00:19:21.752]  And if you don't have vitamin D supplementation, you will die within just a year or so.
[00:19:21.752 --> 00:19:22.593]  It's an absolute fact.
[00:19:25.066 --> 00:19:32.292]  Now that's nothing to do with the whole fake news story other than the fact that's an example of what they plan to ban once they get in full control.
[00:19:32.292 --> 00:19:38.318]  And how Sunstein wants to do it, and the inside thinking, this got rejected eight years ago.
[00:19:38.318 --> 00:19:44.503]  This was eight years ago he was pushing all this, right when he first got in, so like seven years ago and eight, nine months.
[00:19:44.503 --> 00:19:48.146]  And we've got it all, and then now it ties to all the new information.
[00:19:49.406 --> 00:19:58.372]  And no one else had made this point, and I'm not bragging, it's just, I'm telling you, I've got ten times more of the data buried in my brain that I can't even pull up on this subject.
[00:20:01.584 --> 00:20:05.565]  We use cell phones against our heads every day, but now a landmark U.S.
[00:20:05.565 --> 00:20:11.187]  government study confirms increased health risks from exposure to EMF radiation emitted from these devices.
[00:20:11.187 --> 00:20:13.247]  The time to protect yourself is now.
[00:20:13.247 --> 00:20:15.088]  The solution is DefenderShield.
[00:20:15.088 --> 00:20:22.210]  Proudly made in the USA, DefenderShield blocks virtually 100% of EMF radiation emitted from cell phones, tablets, and laptops.
[00:20:22.210 --> 00:20:24.130]  Buy now at DefenderShield.com.
[00:20:24.130 --> 00:20:26.351]  Use discount code DEFENDER for 10% off.
[00:20:26.351 --> 00:20:27.711]  DefenderShield.com.
[00:20:27.711 --> 00:20:30.272]  The worldwide leader in EMF radiation protection.
[00:20:31.147 --> 00:20:33.048]  Fully cooked, ready-to-eat bacon.
[00:20:33.048 --> 00:20:36.270]  I'm talking thick, meaty, center-cut, presidential bacon.
[00:20:36.270 --> 00:20:37.870]  Savory and delicious.
[00:20:37.870 --> 00:20:40.692]  I buy some, I use some, I store some.
[00:20:40.692 --> 00:20:41.352]  Awesome.
[00:20:41.352 --> 00:20:44.454]  No refrigeration needed with a 10-year shelf life.
[00:20:44.454 --> 00:20:46.015]  NASA PAC Technology.
[00:20:46.015 --> 00:20:46.635]  Bacon.
[00:20:46.635 --> 00:20:50.797]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[00:20:50.797 --> 00:20:52.218]  Or warm and served.
[00:20:52.218 --> 00:20:54.279]  Life-saving, ready-to-eat bacon.
[00:20:54.279 --> 00:20:56.240]  10-year shelf life bacon.
[00:20:56.240 --> 00:20:59.001]  Ships free at FullyCookedBacon.com.
[00:20:59.001 --> 00:21:00.622]  FullyCookedBacon.com.
[00:21:01.917 --> 00:21:03.518]  What's it going to take?
[00:21:03.518 --> 00:21:04.998]  Another new story?
[00:21:04.998 --> 00:21:07.539]  You've heard about Infidel Body Armor for years.
[00:21:07.539 --> 00:21:09.719]  You know you should have a set.
[00:21:09.719 --> 00:21:11.040]  So should your wife.
[00:21:11.040 --> 00:21:12.560]  Things aren't getting better.
[00:21:12.560 --> 00:21:13.921]  They're getting worse.
[00:21:13.921 --> 00:21:16.542]  Thousands already wear Infidel Body Armor.
[00:21:16.542 --> 00:21:17.942]  Now get yours.
[00:21:17.942 --> 00:21:21.903]  Go to InfidelBodyArmor.com and check out today's specials.
[00:21:21.903 --> 00:21:25.684]  We make armor easy to understand and easy to purchase.
[00:21:25.684 --> 00:21:28.385]  InfidelBodyArmor.com.
[00:21:28.385 --> 00:21:28.966]  Just.
[00:21:28.966 --> 00:21:29.546]  Won't.
[00:21:29.546 --> 00:21:29.786]  Quit.
[00:21:31.006 --> 00:21:32.266]  Maybe not today.
[00:21:32.266 --> 00:21:33.547]  Maybe not tomorrow.
[00:21:33.547 --> 00:21:37.288]  But soon, you'll need a plan and place to survive.
[00:21:37.288 --> 00:21:38.368]  Forget bunkers.
[00:21:38.368 --> 00:21:40.209]  You're not a live underground gopher.
[00:21:40.209 --> 00:21:41.909]  You need Survivalist Camps.
[00:21:41.909 --> 00:21:49.711]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[00:21:49.711 --> 00:21:50.711]  Bold statement?
[00:21:50.711 --> 00:21:51.712]  You bet.
[00:21:51.712 --> 00:21:54.192]  See them now at survivalistcamps.com.
[00:21:54.192 --> 00:21:56.393]  That's survivalistcamps.com.
[00:21:56.393 --> 00:21:59.554]  Trust your family's survival to survivalistcamps.com.
[00:22:01.425 --> 00:22:04.568]  What looks good under your Christmas tree and tastes even better?
[00:22:04.568 --> 00:22:06.130]  Big Berkey Water Filters!
[00:22:06.130 --> 00:22:08.092]  Yes, the gift of clean water.
[00:22:08.092 --> 00:22:12.757]  A gift that provides a great foundation for achieving good health in the lives of your loved ones.
[00:22:12.757 --> 00:22:16.361]  A Big Berkey Water Filter gives them protection from bacteria, heavy metals,
[00:22:16.641 --> 00:22:20.404]  Chlorine, fluoride, pesticides and herbicides, VOCs and more.
[00:22:20.404 --> 00:22:25.969]  And best of all, a big Berkey water filter is a gift that lasts for many years with no additional investment.
[00:22:25.969 --> 00:22:30.032]  And that saves time and money in filter replacements that other water filters require.
[00:22:30.032 --> 00:22:35.056]  And are even powerful enough to purify treated, untreated or even stagnant pond water.
[00:22:35.436 --> 00:22:42.120]  As always, all orders over $50 are shipped free, and GCN listeners get 5% off all ceramic filter systems.
[00:22:42.120 --> 00:22:49.083]  Order online at BigBerkeyWaterFilters.com, spelled B-E-R-K-E-Y, waterfilters.com.
[00:22:49.083 --> 00:22:50.024]  Or call 877-99-BERKEY.
[00:22:50.024 --> 00:22:50.624]  That's 877-99-BER-K-E-Y.
[00:22:50.624 --> 00:22:51.585]  Gift well this Christmas.
[00:22:51.585 --> 00:22:53.165]  Give a Big Berkey Water Filter!
[00:23:00.225 --> 00:23:08.309]  There is an affordable alternative to the high cost of health care that offers freedom from insurance while providing compliance with the Obamacare individual mandate.
[00:23:08.309 --> 00:23:14.572]  Imagine having access to quality, affordable health care that allows you the freedom to choose your doctor and hospital.
[00:23:14.572 --> 00:23:20.175]  Members can share up to 100% of necessary medical expenses, including some alternative treatments.
[00:23:20.175 --> 00:23:25.138]  Find out how you and your family can contain health care costs without giving up your freedom.
[00:23:25.138 --> 00:23:27.359]  Go to LibertyOnCall.org.
[00:23:27.359 --> 00:23:29.220]  That's LibertyOnCall.org.
[00:23:30.120 --> 00:23:34.902]  In these uncertain times, it makes sense to have a sustainable backup method to cook food and boil water.
[00:23:34.902 --> 00:23:40.784]  If your current plan includes using a fuel-burning stove or cooking over an open fire, then there's a much better way.
[00:23:40.784 --> 00:23:47.306]  The Minuteman Rocket Stove is a biomass-burning cooking stove that only requires small quantities of sticks and twigs for fuel.
[00:23:47.306 --> 00:23:51.347]  The Minuteman Stove is easy to use, smokeless, portable, powerful, and sustainable.
[00:23:51.347 --> 00:23:57.589]  For the finest in survival cooking stoves and fire starters made right here in the USA, go to MinutemanStove.com.
[00:23:57.589 --> 00:23:59.350]  That's MinutemanStove.com.
[00:24:07.395 --> 00:24:31.825]  Okay, so there's so much tyranny that I'm here already reading articles about a new department created, run by the, quote, intelligence agencies, the Pentagon and the State Department, to oversee the Board of Governors of the FCC to regulate the internet, print media, cable TV, not just broadcast TV or radio, and to organize and then police that information.
