[00:00:10.931 --> 00:00:11.532]  Is the U.S.
[00:05:18.859 --> 00:05:27.684]  General Dover being the chairman of the Joint Chiefs, we have to understand a no-fly zone at this point in time would do nothing to help secure the situation and would likely lead to another war.
[00:05:29.165 --> 00:05:33.906]  The biggest threat right now, globally, is not Islamic terror, it's actually the Russians.
[00:05:33.986 --> 00:05:37.326]  No one has a plan for Syria, and the plans that have been put forth by Ms.
[00:05:37.346 --> 00:05:43.808]  Clinton on her side are really dangerous and really designed to do damage to our national security.
[00:05:44.568 --> 00:05:52.069]  She wants to continue this unabated import of Islamist terror, like they did in Germany and France.
[00:05:52.369 --> 00:05:56.530]  And that policy is not only dangerous, it is guaranteed to see more U.S.
[00:05:56.550 --> 00:05:57.390]  citizens die.
[00:05:58.770 --> 00:06:00.813]  What's happened in Europe and that would come here.
[00:06:01.094 --> 00:06:04.559]  She wants to knowingly import the problems we have in Europe.
[00:06:04.619 --> 00:06:11.508]  And the reason you would do that is because you can both be the provider of the crisis and the provider of the solution to the crisis.
[00:06:11.568 --> 00:06:14.413]  Of course, their solution, Alex, as you know, is more control.
[00:06:15.374 --> 00:06:16.274]  I don't know.
[00:06:35.092 --> 00:06:35.953]  I'm a political scientist.
[00:06:35.993 --> 00:06:37.275]  I know exactly what they're trying to do.
[00:06:37.675 --> 00:06:42.440]  They're trying to create adverse circumstances that they then can come in and solve.
[00:06:42.460 --> 00:06:48.206]  This is a global version of the Munchausen by proxy treatment of psychosis.
[00:06:48.587 --> 00:06:54.213]  So basically, she's trying to basically be, you know, be the parent who injures their own child for purposes of going in to be the hero.
[00:06:54.533 --> 00:06:56.856]  That's what they're doing, except their purpose long-term, Alex,
[00:06:57.396 --> 00:06:58.096]  We're good to go.
[00:07:19.305 --> 00:07:26.672]  That no matter how you feel about Trump, and, you know, he's gone back and forth on some issues, I sincerely believe that Ms.
[00:07:26.712 --> 00:07:38.624]  Clinton will do exactly what she said regarding open borders, regarding attempting to gain control and prevent normal, you know, legitimate citizens having legitimate rights to have weapons from having them.
[00:07:38.744 --> 00:07:39.985]  And there's nothing else I agree with Ms.
[00:07:40.025 --> 00:07:40.525]  Trump on.
[00:07:40.846 --> 00:07:41.847]  If you look at her record,
[00:07:42.627 --> 00:07:45.408]  Uh, you know, you look at her 30 years of service, yeah, all of it's bad.
[00:07:45.468 --> 00:07:46.448]  All of it's failure.
[00:07:46.889 --> 00:07:53.591]  And I don't think anybody can look at her record and actually find something that's been successful for the American people.
[00:07:54.071 --> 00:08:00.453]  And the only thing she's done, Alex, if you look at it, she's created havoc and chaos in every possible way.
[00:08:00.493 --> 00:08:01.753]  For her own gain.
[00:08:01.973 --> 00:08:02.194]  Right.
[00:08:02.494 --> 00:08:05.335]  So, for personal gain, which is very clearly they have.
[00:08:05.375 --> 00:08:07.815]  So you have to ask yourself, who is Ms.
[00:08:07.855 --> 00:08:09.276]  Clinton really trying to help?
[00:08:22.330 --> 00:08:23.950]  The Alex Jones Show.
[00:08:24.431 --> 00:08:27.951]  Because there is a war on your mind.
[00:08:34.933 --> 00:08:35.653]  Oh my gosh!
[00:08:35.753 --> 00:08:37.673]  It's big breaking national news!
[00:08:38.354 --> 00:08:40.494]  The New York Times might get a Pulitzer Prize!
[00:08:41.234 --> 00:08:45.275]  AT&T is paid by the NSA to spy on you!
[00:08:45.295 --> 00:08:47.536]  Of course, we broke that in 1996.
[00:08:49.471 --> 00:08:50.512]  Like I said, we broke it.
[00:08:50.792 --> 00:09:03.821]  It was in the Telecommunications Act of 1996 that they would spend up to $5 billion a year paying the telecoms to set up the spy hubs for the NSA and pass all your data through it.
[00:09:03.861 --> 00:09:10.546]  Now it ended up being closer to $10 billion a year by the time that the act was fully implemented under law October 1st, 2001.
[00:09:10.907 --> 00:09:11.547]  Statutorily.
[00:09:11.707 --> 00:09:13.208]  One month after 9-11.
[00:09:18.902 --> 00:09:35.451]  They had it scripted five years before to have it statutorily be in place, the entire grid, one month after 9-11, right when they magically passed all the accompanying legislation to make it legal.
[00:09:35.491 --> 00:09:37.893]  You know what that is?
[00:09:37.993 --> 00:09:41.275]  It's called continuity of agenda, continuity of purpose.
[00:09:44.216 --> 00:09:46.798]  It's how the big telecoms can communicate with each other all around the world.
[00:09:47.557 --> 00:09:53.679]  When you read the big white papers, you learn that they are building a planet that will not need people.
[00:09:55.120 --> 00:09:58.041]  Why the future doesn't need us is the term they most often use.
[00:09:59.782 --> 00:10:02.483]  Where humans are obsolete, obsolescent.
[00:10:04.424 --> 00:10:07.265]  The final technotronic, technocrat dream.
[00:10:09.185 --> 00:10:15.388]  And so I've got big stacks of news here in front of me where men, no matter what color you are,
[00:10:16.914 --> 00:10:20.858]  Are at record numbers out of the workforce at a level higher than the Great Depression.
[00:10:23.420 --> 00:10:31.188]  And that ties into Anheuser-Busch has had the first autonomous 18-wheeler delivery of cold beer in Colorado.
[00:10:31.208 --> 00:10:34.971]  And it's being hailed as the greatest thing ever.
[00:10:35.852 --> 00:10:38.154]  Self-driving truck's first mission, a beer run.
[00:10:38.655 --> 00:10:39.636]  Isn't that just special?
[00:10:40.937 --> 00:10:41.798]  That ties in
[00:10:43.933 --> 00:10:45.954]  But the fact that this isn't innovation.
[00:10:46.094 --> 00:10:53.957]  An economy is being built worldwide that ends the human species as we know it, and that is the officialdom plan.
[00:10:56.458 --> 00:11:07.442]  But it doesn't matter to pseudo-intellectuals like John Ronson, the journalist, who talks about how I am the... What's the quote?
[00:11:14.460 --> 00:11:21.984]  I am the most, because I was just reading this last night, most reckless person in the world.
[00:11:26.147 --> 00:11:29.189]  The most out of control.
[00:11:32.851 --> 00:11:42.917]  And I just sit back and I'm out of control because I talked to NSA whistleblowers in 1996 and they pointed out how the whole system worked.
[00:11:43.851 --> 00:12:01.064]  And we've been proven right and so I'm bad again because it's scary to the people that have bet on the system and who believe that the establishment's on their side because I'm exposing to them that it's all a fantasy land.
[00:12:10.091 --> 00:12:10.752]  Obamacare
[00:12:12.349 --> 00:12:21.237]  We're now learning, according to Obama, he told us, you can bet it's gonna be a lot higher, is going to boost the average premium, including that of poor people, 25%.
[00:12:22.838 --> 00:12:30.305]  And of course, we've already seen massive premium increases.
[00:12:31.105 --> 00:12:36.190]  And then of course we have the Hillary Rodham Clinton emails,
[00:12:37.503 --> 00:12:40.865]  Where she says, I want it to go bankrupt, then we'll have a single payer.
[00:12:40.905 --> 00:12:42.806]  Well, we always told you that was the plan.
[00:12:42.846 --> 00:12:49.349]  In fact, they were so arrogant, they would simultaneously say we were conspiracy theorists, or racist, or a combination of both.
[00:12:50.349 --> 00:13:01.475]  But then Ezekiel Emanuel would go on television, on Fox, I've played it in other channels, and say, of course we're trying to bankrupt healthcare and bring in a single payer.
[00:13:03.695 --> 00:13:06.256]  But it isn't some utopian communist single-payer.
[00:13:07.196 --> 00:13:15.820]  It's big mega-corporations that will basically make you go to them and work through their system at prices even higher than what you're seeing now.
[00:13:15.960 --> 00:13:17.261]  It is a looting.
[00:13:19.822 --> 00:13:29.666]  But because Obama goes on the entertainment shows and acts like he's your little buddy, a lot of these people, like, have childlike minds and they really believe that Obama is their friend and out to help them.
[00:13:31.684 --> 00:13:41.128]  Despite the fact that it's in all of the emails that they are deceiving us.
[00:13:42.128 --> 00:13:53.793]  Just like it was in Data Dump 16 on Podesta's emails that we're going to work with the entire press and the entire polling industry to oversample for Hillary.
[00:13:55.373 --> 00:13:58.835]  We want to get ahead of this early and have her dominate right through the election.
[00:14:00.370 --> 00:14:09.293]  Now, we don't need the Podesta email to see unparalleled fraud by the polling industry as a whole.
[00:14:12.994 --> 00:14:18.935]  And the way the polling industry works, if they don't like you, they won't even conduct a poll the way you want it, or they won't even do it fairly.
[00:14:22.717 --> 00:14:27.378]  Ten years ago, I did quite a bit of polling because it became a way to make points in the news.
[00:14:28.922 --> 00:14:40.809]  And I would call up Reuters and Gallup and others and I would talk to them and they would come back about a day later with the pollster or a manager and say, you're a conspiracy theorist.
[00:14:41.970 --> 00:14:43.971]  We will not give you our services.
[00:14:45.292 --> 00:14:47.253]  And I said, well, you're not a conspiracy theorist.
[00:14:47.273 --> 00:14:48.714]  I understand you control reality.
[00:14:48.734 --> 00:14:50.475]  You decide what's real and what isn't.
[00:14:50.955 --> 00:14:53.297]  So how about you even set up the poll for me?
[00:14:53.837 --> 00:14:54.758]  I'm sure you'll do it fair.
[00:14:55.178 --> 00:14:56.038]  Show me the methodology.
[00:14:56.098 --> 00:14:56.459]  They're like, no.
[00:14:59.750 --> 00:15:10.515]  In fact, I don't remember the actual numbers, but I want to say that I would go through maybe 10 polling companies before I'd find one that would even do our poll.
[00:15:15.818 --> 00:15:16.578]  Now you think about that.
[00:15:17.479 --> 00:15:21.401]  And I was ready to spend $10,000, $15,000, you name it, on a real poll sampling thousands of people.
[00:15:21.421 --> 00:15:21.781]  Wouldn't do it.
[00:15:30.816 --> 00:15:33.158]  So, look, if Donald Trump was really behind, I'd tell you that.
[00:15:33.638 --> 00:15:33.999]  He's not.
[00:15:35.460 --> 00:15:40.624]  Donald Trump, depending on which battleground state you're in, those are the ones that matter, are 5, 10, 15 points ahead.
[00:15:43.747 --> 00:15:50.953]  And that's why you've got Washington Post polls that show Hillary 12 points ahead of him, and you've got CNN polls that show her 25 points ahead.
[00:15:53.776 --> 00:15:56.077]  It's because they're not
[00:15:57.208 --> 00:15:59.429]  Sampling as many Republicans as they do Democrats.
[00:15:59.809 --> 00:16:00.309]  It's that simple.
[00:16:00.849 --> 00:16:05.551]  A lot of times they'll have Hillary Clinton in an ABC News poll we covered yesterday, 12 points ahead in Florida.
[00:16:05.891 --> 00:16:11.434]  Do you know how much they oversampled Democrats in the poll?
[00:16:11.774 --> 00:16:11.434]  12%.
[00:16:12.234 --> 00:16:17.016]  Now that would have them in a dead heat in Florida, until you look at all the Independent, and that's where they really hide the fraud.
[00:16:17.036 --> 00:16:22.638]  Because you don't know who they're really polling there, but that's where they, in the past, have been caught engaging in the fraud.
[00:16:24.428 --> 00:16:33.973]  But they'll argue, hey, you signed a contract with us, we're a polling company, we conduct it the way we want, with our science and our methodology, and then you just accept it.
[00:16:33.993 --> 00:16:42.858]  Kind of like you get a Dallas Cowboys ticket, you know, right on the 50-yard line, and it says on the back of the ticket, this is for entertainment purposes, this game isn't even real.
[00:16:45.339 --> 00:16:47.320]  And you're not even guaranteed that there'll even be a game.
[00:16:48.641 --> 00:16:49.502]  You waive all your rights.
[00:16:50.430 --> 00:16:53.693]  And that's the thing about vaccines or NFL tickets or any of it.
[00:16:54.033 --> 00:16:55.395]  They don't want you to read the fine print.
[00:16:55.775 --> 00:16:56.316]  Well, guess what?
[00:16:56.616 --> 00:16:57.857]  Infowars read the fine print.
[00:17:03.082 --> 00:17:06.706]  And we have a very corrupt elite in this country that back dictators all over the world.
[00:17:06.766 --> 00:17:07.726]  Now, why is that important?
[00:17:08.067 --> 00:17:16.455]  They'll back a dictator, communist, socialist, fascist, they don't care, over an elected government that's even pro-America because they don't want people to be self-determined.
[00:17:17.520 --> 00:17:21.662]  And the very same elites that don't want other countries to be free, they don't want us to be free.
[00:17:22.123 --> 00:17:25.745]  So you can bet whatever they're promoting, whatever they're pushing is about globalism.
[00:17:26.285 --> 00:17:39.513]  I have a stack of articles and videos today of illegals recruited by the Democratic Party openly to knock on doors and to basically tell immigrant groups how to go vote.
[00:17:41.311 --> 00:17:52.797]  Now can you imagine if in China, where they don't even have voting, or Mexico, if there were people going around beating on doors, who weren't citizens, saying this is how you should vote, the Mexicans would kill you.
[00:17:53.818 --> 00:17:55.419]  Because that's just normal nationalism.
[00:17:55.439 --> 00:17:57.220]  Despite all their problems, they would attack you.
[00:17:58.428 --> 00:18:03.472]  Only in America do we have stuff like this rubbed in, but then it gets more fun.
[00:18:04.132 --> 00:18:16.481]  It's now back in the news that the security force of the private corporation that founded modern Europe under the Marshall Plan, the OECD, that is the root of the world government.
[00:18:16.741 --> 00:18:17.261]  That's it.
[00:18:17.721 --> 00:18:18.962]  The robber barons in 1945 set up the OECD.
[00:18:22.193 --> 00:18:23.414]  They did the reconstruction of Europe.
[00:18:23.934 --> 00:18:25.555]  Europe's never gotten out from under its control.
[00:18:25.795 --> 00:18:27.656]  That's why the EU was put in place without voting.
[00:18:28.696 --> 00:18:29.477]  It's a dictatorship.
[00:18:30.337 --> 00:18:34.059]  They have voting, but the ministers aren't in control.
[00:18:34.599 --> 00:18:43.644]  That's why they've had four Goldman Sachs presidents appointed as presidents and prime ministers in Europe, in places like Greece and Italy, just in the last few years.
[00:18:43.704 --> 00:18:49.507]  I mean, and then they're in the news saying, it's a new form of government, technocracy, where you don't elect your leaders.
[00:18:50.367 --> 00:18:51.608]  They say it openly.
[00:18:52.728 --> 00:19:00.271]  And I'll sit there with some journalist who begs for an interview and promises and swears it's not a hit piece, and then I'll tell them this stuff and show them quotes and their eyes glaze over.
[00:19:01.532 --> 00:19:05.534]  And so that's back in the news today, that we have all these foreign observers here.
[00:19:06.234 --> 00:19:19.480]  With the Feds, making sure Trump and the Russians don't steal it, but then again, we live in la-la land, there's no such thing as fraud, it's insane, doesn't exist, but Russian takeover of the election is imminent, oh my God, thank goodness,
[00:19:20.253 --> 00:19:32.105]  The security force of the OECD, that's like the Pinkerton Railroad men of Europe, they're here to run our election.
[00:19:33.987 --> 00:19:35.548]  And Homeland Security is federalizing it.
[00:19:36.509 --> 00:19:37.090]  It's a setup.
[00:19:37.170 --> 00:19:37.350]  U.S.
[00:19:37.410 --> 00:19:42.055]  officials warn that Russians will undermine elections with fake documents showing voter fraud.
[00:19:43.117 --> 00:19:44.357]  That's right, ladies and gentlemen.
[00:19:44.377 --> 00:19:50.920]  There's no voter fraud, even though it's on local radio and WAI that the machines are all turning off and votes are flipping and we have all these witnesses and our story's on drudge.
[00:19:51.380 --> 00:19:52.300]  None of that's happening.
[00:19:52.320 --> 00:19:53.460]  There's never a problem.
[00:19:54.081 --> 00:19:56.141]  Hell, they might even take Texas and just give it to Hillary.
[00:19:56.341 --> 00:19:57.442]  They might give her all 50 states.
[00:19:57.462 --> 00:19:59.222]  Why not give her 100% of the vote?
[00:19:59.983 --> 00:20:00.203]  Hell, 200%.
[00:20:00.343 --> 00:20:04.384]  I mean, we've already got the emails where they admit they're stealing the election.
[00:20:05.404 --> 00:20:07.345]  They just hope the public doesn't see that.
[00:20:10.157 --> 00:20:14.041]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[00:20:14.321 --> 00:20:21.628]  We have worked for years with our chemists and scientists to create the most powerful and affordable grape-tasting multivitamin formula available.
[00:20:21.788 --> 00:20:32.739]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:20:33.239 --> 00:20:40.782]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:20:41.062 --> 00:20:50.386]  But I am most proud of the product we're now launching today with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[00:20:50.706 --> 00:20:55.131]  This formula is the platinum standard of multivitamin mineral products.
[00:20:55.151 --> 00:21:01.898]  The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[00:21:02.219 --> 00:21:03.320]  That means it's clean.
[00:21:03.680 --> 00:21:04.741]  That means it's pure.
[00:21:04.862 --> 00:21:07.625]  That's infowarswipes.com and Vitamin Mineral Fusion.
[00:21:07.765 --> 00:21:09.447]  Take action now before we sell out.
[00:21:10.296 --> 00:21:17.401]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:21:17.762 --> 00:21:30.971]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:21:31.912 --> 00:21:43.147]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:21:43.808 --> 00:21:49.775]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:21:50.516 --> 00:21:58.925]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:21:59.546 --> 00:22:07.715]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[00:22:10.743 --> 00:22:12.804]  Electrify your day with Secret 12.
[00:22:13.044 --> 00:22:14.385]  It's like lightning in a bottle.
[00:22:14.605 --> 00:22:18.148]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:22:18.508 --> 00:22:26.252]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:22:26.453 --> 00:22:31.255]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:22:31.416 --> 00:22:36.899]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:22:37.239 --> 00:22:44.762]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:22:45.002 --> 00:22:49.463]  It pairs two forms of vitamin B12 into one explosive formula.
[00:22:49.723 --> 00:22:58.526]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:22:58.746 --> 00:23:02.028]  Electrify your mind and body and take your health to the next level.
[00:23:02.308 --> 00:23:05.990]  Experience the power of Secret 12 at Infowarslife.com.
[00:23:06.210 --> 00:23:08.271]  That's Infowarslife.com.
[00:23:10.072 --> 00:23:11.453]  Clean, pure drinking water.
[00:23:11.713 --> 00:23:13.013]  You can't survive without it.
[00:23:13.213 --> 00:23:14.134]  But where do you get it?
[00:23:14.414 --> 00:23:20.177]  Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[00:23:20.397 --> 00:23:26.120]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:23:26.300 --> 00:23:43.167]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:23:43.547 --> 00:23:45.688]  Filter capacity up to 5,000 gallons.
[00:23:46.048 --> 00:23:47.248]  Stainless steel construction.
[00:23:47.528 --> 00:23:48.288]  Easy assembly.
[00:23:48.549 --> 00:23:49.189]  Low maintenance.
[00:23:49.469 --> 00:23:51.289]  Replacement filters are simple to install.
[00:23:51.569 --> 00:23:58.672]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:23:58.832 --> 00:24:03.833]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:24:04.033 --> 00:24:06.614]  Go to InfowarsStore.com or call 888-253-3139.
[00:24:37.406 --> 00:24:40.507]  Bottom line, they are getting ready to steal this election big time.
[00:24:40.527 --> 00:24:41.767]  We're 13 days out.
[00:24:41.787 --> 00:24:45.689]  14, if you go by Fox's numbers, they count the day of the election.
[00:24:45.709 --> 00:24:49.430]  November 8th is another day, so... I mean, I guess in a way they're right.
[00:24:49.530 --> 00:24:50.571]  It's like 14 days.
[00:24:51.411 --> 00:24:56.693]  It'll be 14 days until we're really knowing how the voting's going.
[00:24:57.915 --> 00:25:05.303]  They tried to put out this big hoax in every major publication out there in the last month that, well, when early voting comes in, it's going to show Hillary clearly dominating.
[00:25:05.764 --> 00:25:12.170]  And that hasn't happened yet, despite all their ballot stuffing and busing people around to vote over and over again that's on record.
[00:25:12.967 --> 00:25:16.488]  We have it from the top election officials, the head of the New York elections.
[00:25:16.528 --> 00:25:18.309]  We have it from the people actually stealing the election.
[00:25:18.549 --> 00:25:20.309]  Then we have the emails about stealing the election.
[00:25:20.329 --> 00:25:22.510]  And then we have the emails about faking the polls.
[00:25:22.530 --> 00:25:29.092]  We have the emails about keeping the public dumb and making us poor and bankrupting the healthcare system to screw us even more.
[00:25:29.112 --> 00:25:30.332]  See, that's the thing.
[00:25:30.733 --> 00:25:35.314]  It's always get you in a worse position than preside over the crisis and get more power.
[00:25:36.634 --> 00:25:37.635]  That's what's so frustrating.
[00:25:37.655 --> 00:25:41.176]  And they have all these pseudo-intellectuals and followers and cowards.
[00:25:44.465 --> 00:25:47.286]  Let's sit there and preside over the destruction of this nation.
[00:25:48.587 --> 00:25:51.668]  And they all just go along with it because they're not innovative.
[00:25:51.688 --> 00:25:52.929]  They can't build their own system.
[00:25:53.349 --> 00:25:55.830]  All they know how to do is say, yes, yes, yes, yes, yes, yes, yes.
[00:25:56.950 --> 00:26:02.472]  And all our corrupt leaders can do is say, yes, yes, yes, yes, yes, the Communist Chinese and every other evil organization.
[00:26:03.573 --> 00:26:06.034]  Until there is no bottom to how far we could fall.
[00:26:09.011 --> 00:26:17.015]  I know, starting three years ago, my parents got kicked off their insurance they'd had for 30 years, that they never even used, and it doubled in prices.
[00:26:17.215 --> 00:26:17.935]  And then it tripled.
[00:26:17.975 --> 00:26:28.240]  And then everybody else right down the line, including people that are right above the poverty line, are getting the fines, up to $5,000 a year for not having it.
[00:26:28.721 --> 00:26:29.801]  And the employers are getting it.
[00:26:29.861 --> 00:26:33.463]  And you go in to try to get the insurance.
[00:26:35.299 --> 00:26:38.401]  Because thanks to Obamacare, GCN had insurance for some people.
[00:26:38.481 --> 00:26:40.242]  I had it there for like 18 years.
[00:26:40.883 --> 00:26:41.363]  Got rid of it.
[00:26:41.703 --> 00:26:44.385]  So I went out and got my own insurance and it was way higher.
[00:26:44.725 --> 00:26:46.847]  And now they're telling me in letters it's gonna go up more.
[00:26:47.227 --> 00:26:49.108]  And so I've gone out and shopped around.
[00:26:50.569 --> 00:26:52.891]  And no matter what I do, I'm gonna pay a lot more.
[00:26:58.454 --> 00:27:03.918]  It's the gullibility of the Democrat voter
[00:27:05.296 --> 00:27:08.198]  Lord knows the Republicans are gullible as well, but the Democrats are a whole other animal.
[00:27:09.879 --> 00:27:18.984]  I've told the story many times, but used to I would go swim almost every day when it was warm enough at one of the biggest freshwater pools in this country called Barton Springs in downtown Austin.
[00:27:21.446 --> 00:27:25.228]  Everybody knew who I was out there, and they have a lot of lifeguards, sometimes as many as 20 on duty.
