[00:00:00.029 --> 00:00:00.090]  You
[00:02:47.214 --> 00:03:02.720]  And of course, InfoWars is here, but a lot of investigative journalism as well, analysis and historical review and breaking through globalist disinformation and really putting out, again, counter-narratives to their globalist world government system and exposing the whole technocracy.
[00:03:04.585 --> 00:03:07.907]  The point is, there is a new burgeoning media that isn't the alternative media.
[00:03:07.987 --> 00:03:10.489]  We are the new media, and that's becoming more evident every day.
[00:03:10.529 --> 00:03:26.059]  So the system wants to come in with censorship, show we can't go back into the memory hole, as we do, and show you the flip-flopping, show you the deceptions, show you Obama promising he wouldn't come after his guns or your guns, but then he does, or you can keep your doctor, but you can't.
[00:03:26.859 --> 00:03:30.782]  Now Mitt Romney says that Donald Trump is the worst thing on earth, basically.
[00:03:32.163 --> 00:03:33.804]  If he only had those type of words for Obama.
[00:03:35.299 --> 00:03:35.700]  But he didn't.
[00:03:36.461 --> 00:03:39.685]  He's got them for Donald Trump as the establishment hits the panic button.
[00:03:40.045 --> 00:03:50.058]  Well, what about all the flashbacks to the endorsements that he made and the endorsement he got from Trump that he groveled for?
[00:03:50.118 --> 00:03:50.479]  Here it is.
[00:03:52.640 --> 00:03:59.865]  Donald Trump has shown an extraordinary ability to understand how our economy works, to create jobs for the American people.
[00:04:00.285 --> 00:04:01.366]  He's done it here in Nevada.
[00:04:01.986 --> 00:04:03.207]  He's done it across the country.
[00:04:03.667 --> 00:04:07.129]  He understands that our economy is facing threats from abroad.
[00:04:07.650 --> 00:04:10.792]  He's one of the few people who stood up and said, you know what, China has been cheating.
[00:04:11.412 --> 00:04:13.454]  They've taken jobs from Americans.
[00:04:13.514 --> 00:04:14.454]  They haven't played fair.
[00:04:14.874 --> 00:04:16.936]  We have to have a president who will stand up to cheaters.
[00:04:17.396 --> 00:04:21.599]  We believe in free trade and free enterprise, but we don't believe in allowing people to cheat day in and day out.
[00:04:22.179 --> 00:04:27.282]  I spent my life in the private sector, not quite as successful as this guy, but successful nonetheless.
[00:04:27.802 --> 00:04:33.326]  Sufficiently successful to understand what it takes to get America to be the most attractive place in the world.
[00:04:34.046 --> 00:04:38.170]  For innovators, entrepreneurs, and business, and job creators.
[00:04:39.211 --> 00:04:42.434]  I think it's time for us to recognize we can't keep going down the road we're on.
[00:04:43.074 --> 00:04:45.336]  We have to dramatically change course.
[00:04:46.177 --> 00:04:47.038]  So I want to say thank you.
[00:04:47.058 --> 00:04:48.780]  Now basically he wants to thank Donald Trump.
[00:04:48.820 --> 00:04:49.841]  So there you go.
[00:04:50.541 --> 00:04:52.403]  Now we've seen the reverse of that today.
[00:04:52.423 --> 00:04:54.585]  We've got clips of that coming up as well.
[00:04:55.185 --> 00:04:56.226]  Roger Stone joins us.
[00:04:56.306 --> 00:04:58.648]  Mark Dice on his new book, The Illuminati in Hollywood.
[00:04:59.570 --> 00:05:06.507]  And how that ties into the secret rituals and things at Bohemian Grove and Justice Scalia's death in part of a secret society.
[00:05:06.888 --> 00:05:07.890]  It's all coming up today.
[00:05:10.137 --> 00:05:15.520]  We are quickly approaching the five-year anniversary of Osama Bin Laden's supposed death at the hands of Navy SEALs.
[00:05:15.660 --> 00:05:22.523]  And to commemorate this, the Obama administration released 113 documents that were seized in the May 2nd, 2011 raid.
[00:05:22.823 --> 00:05:29.807]  And if you read the myriad of articles at Daily Mail, he supposedly writes he wants to leave his vast multi-million dollar fortune to the global jihad.
[00:05:30.007 --> 00:05:32.548]  He also worried that his wife had been implanted with a tracking chip.
[00:05:32.748 --> 00:05:35.109]  But he doesn't sign any of the documents in his name.
[00:05:35.309 --> 00:05:40.930]  He signs one, Saeed bin Usama, another, Usama bin Muhammad, and another, Abu Abdallah.
[00:05:41.131 --> 00:05:45.252]  But I ask, why didn't he use his CIA codename of Tim Osman in any of these letters?
[00:05:45.612 --> 00:05:52.034]  Remember, it was C. Bell Edmonds, the FBI translator, who broke a gag order and said that the US had been working with Osama bin Laden right up until 9-11.
[00:05:52.714 --> 00:05:55.535]  And they were outsourcing him to conduct terror operations all over the world.
[00:05:55.795 --> 00:05:56.656]  There's one final note.
[00:05:56.696 --> 00:06:00.098]  He was calling on Americans to help President Obama fight climate change.
[00:06:00.298 --> 00:06:06.000]  So using liberal logic, if you don't disavow climate change, then you refer Osama bin Laden.
[00:06:06.320 --> 00:06:09.102]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:06:10.066 --> 00:06:24.220]  My fellow InfoWarriors, I am very excited to be able to announce to you the introduction at InfoWarsLife.com of a new way to save time and money when you stock up on InfoWarsLife formulations like Survival Shield X2 and Super Metal Vitality.
[00:06:24.460 --> 00:06:33.990]  Just go to InfoWarsLife.com today, select your favorite product, click on Auto Ship before adding to cart, and choose how often you want us to send you another order.
[00:06:34.250 --> 00:06:43.017]  Every time you choose AutoShip at InfoWarsLife.com, you get 10% off and you won't have to worry about running out and having to reorder next time.
[00:06:43.257 --> 00:06:45.679]  And of course, you can cancel with one click anytime.
[00:06:46.079 --> 00:06:49.582]  As you know, I'm all about the idea of a 360 win.
[00:06:49.782 --> 00:06:53.885]  And the new AutoShip feature at InfoWarsLife.com is a sure win for everybody.
[00:06:54.145 --> 00:06:57.851]  A win for liberty, a win for health, and a win when it comes to big savings.
[00:06:58.151 --> 00:07:04.300]  Visit InfoWarsLife.com today and save 10% on your next InfoWarsLife order by selecting AutoShip at checkout.
[00:07:04.421 --> 00:07:06.444]  That's InfoWarsLife.com or call 888-253-3139.
[00:07:09.924 --> 00:07:11.305]  Clean, pure drinking water.
[00:07:11.565 --> 00:07:12.885]  You can't survive without it.
[00:07:13.065 --> 00:07:13.965]  But where do you get it?
[00:07:14.266 --> 00:07:20.027]  Alexa Pure Pro is a brand-new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:07:20.248 --> 00:07:25.989]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:07:26.170 --> 00:07:33.892]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities.
[00:07:36.693 --> 00:07:43.019]  Including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:07:43.440 --> 00:07:45.562]  Filter capacity up to 5,000 gallons.
[00:07:45.902 --> 00:07:47.103]  Stainless steel construction.
[00:07:47.384 --> 00:07:48.104]  Easy assembly.
[00:07:48.425 --> 00:07:49.045]  Low maintenance.
[00:07:49.325 --> 00:07:51.147]  Replacement filters are simple to install.
[00:07:51.427 --> 00:07:54.931]  And now, as part of an exclusive limited time introductory offer,
[00:07:55.171 --> 00:07:58.534]  You can save $20 off the retail price and get free shipping.
[00:07:58.694 --> 00:08:03.699]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:08:03.879 --> 00:08:06.461]  Go to InfowarsStore.com or call 888-253-3139.
[00:08:16.630 --> 00:08:20.033]  From the front lines of the information war, it's Alex Jones.
[00:08:33.695 --> 00:08:39.918]  And it's 3-3 2016 on this Thursday Worldwide Broadcast.
[00:08:40.719 --> 00:08:50.564]  I'm your host Alex Jones and we are going to be live here for the next four hours.
[00:08:50.844 --> 00:08:57.668]  Anthony Gucciardi will be hosting the fourth hour today.
[00:09:00.836 --> 00:09:18.841]  Roger Stone is going to be joining us about the huge developments with Mitt Romney coming out and saying that Donald Trump is quote a phony and a fraud and echoing the con artist statements that has been coming out of the flying elephant Marco Rubio, Dumbo.
[00:09:20.001 --> 00:09:26.223]  And I wish Dumbo would just fly away since he wants to make comments about Donald Trump's T-Rex hands.
[00:09:27.432 --> 00:09:27.552]  What's
[00:09:48.103 --> 00:09:52.886]  People's hand sizes are some type of insult that you supposedly are unendowed.
[00:09:53.506 --> 00:09:56.988]  At least in my life, that is the wives' tale that has not been true.
[00:09:57.928 --> 00:10:08.154]  But this is what the campaign has stooped to, so we are now stooping to that with the Ferengi ambassador, Marco Rubio, who I heard has been scheduled to be in the next Star Trek.
[00:10:08.174 --> 00:10:08.914]  I'm actually serious.
[00:10:09.275 --> 00:10:13.497]  They want to cast him because in the next episode, the Ferengi actually attack the Federation.
[00:10:14.560 --> 00:10:20.464]  And so he's got a big starring role as the Ferengi ambassador in the new Star Trek series.
[00:10:20.564 --> 00:10:20.744]  Okay.
[00:10:22.285 --> 00:10:23.806]  I'm joking around, ladies and gentlemen.
[00:10:23.826 --> 00:10:25.567]  He actually has a starring role in Dumbo.
[00:10:27.568 --> 00:10:28.509]  I don't write this stuff.
[00:10:28.549 --> 00:10:29.369]  I just come up with it.
[00:10:31.811 --> 00:10:32.431]  He does also.
[00:10:32.932 --> 00:10:33.312]  Never mind.
[00:10:34.571 --> 00:10:35.312]  Let's get serious.
[00:10:35.352 --> 00:10:38.534]  We don't care about how big his ears are or what he does in bubble baths, quite frankly.
[00:10:38.614 --> 00:10:39.735]  The fact is he's a globalist.
[00:10:39.755 --> 00:10:44.640]  The establishment, the Koch brothers, the entire establishment is behind him and that's why he's bad news.
[00:10:49.664 --> 00:10:57.751]  We also have the Republicans trying to obviously stop Trump with a broken convention coming up.
[00:10:59.048 --> 00:11:01.190]  At the Republican National Convention in a few months.
[00:11:01.690 --> 00:11:03.672]  And they're admitting now more and more that's their plan.
[00:11:04.072 --> 00:11:08.536]  Trial ballooning, selling, stealing an election like it's no big deal, and kosher.
[00:11:11.458 --> 00:11:14.401]  Well, there's also something called a FBI primary.
[00:11:15.061 --> 00:11:22.627]  And the fact that they just gave one of Hillary's underlings that minded her computer immunity means it looks like he's getting ready to testify.
[00:11:22.647 --> 00:11:25.370]  And if he does testify,
[00:11:26.812 --> 00:11:34.475]  Chances are that's not going to be good news for Hillary, who's been caught lying so many times and has changed her story so many times.
[00:11:35.616 --> 00:11:42.939]  I tried to do a video on it and found like 15, 16 different times she changed it the last few years to where I got so confused I didn't even do the video.
[00:11:44.119 --> 00:11:45.280]  That's the problem with the Clintons.
[00:11:46.360 --> 00:11:47.461]  It's just there's so many lies.
[00:11:48.490 --> 00:11:54.152]  It's kind of like I tried to find all the clips where Donald Trump, since 2001, disavowed David Duke and the KKK.
[00:11:54.732 --> 00:12:02.135]  And there were so many of them in so many instances that I just turned it over to Rob Dew and I said, you try to find them all.
[00:12:02.655 --> 00:12:03.475]  And it's well over 15.
[00:12:03.595 --> 00:12:04.496]  I had said 14.
[00:12:05.036 --> 00:12:05.416]  We found 15.
[00:12:05.456 --> 00:12:05.416]  15.
[00:12:05.796 --> 00:12:09.037]  And of course, there's more since then.
[00:12:09.097 --> 00:12:11.738]  But it was so funny Tuesday night during the live coverage.
[00:12:11.758 --> 00:12:13.839]  I've talked a lot about this because it illustrates everything.
[00:12:15.612 --> 00:12:18.153]  Three different reporters get up and say, why won't you disavow the Klan?
[00:12:18.193 --> 00:12:25.575]  He said, I disavowed it in 2001, I disavowed it last week, a whole bunch of times, I disavowed it today, several times on the road, but I disavow.
[00:12:25.595 --> 00:12:33.216]  I don't support any of that, I'm inclusive, and I love the fact that blacks and Hispanics are voting for me in record numbers, it's wonderful.
[00:12:36.077 --> 00:12:38.958]  Guys that like the Klan don't have black ladies up on stage kissing him.
[00:12:42.424 --> 00:12:45.686]  And the next reporter gets up and says, why won't you disavow?
[00:12:47.408 --> 00:12:51.991]  Not go deeper into how you disavow or some angle like that, still pushing it, but just, why would you disavow?
[00:12:52.011 --> 00:12:53.232]  And he went, I just disavowed.
[00:12:53.972 --> 00:12:54.553]  Two minutes ago.
[00:12:54.573 --> 00:12:55.593]  Okay, I'll disavow again.
[00:12:55.613 --> 00:12:56.834]  Another one.
[00:12:57.214 --> 00:12:57.695]  Disavow.
[00:12:57.715 --> 00:12:58.896]  Oh, wait a minute.
[00:12:59.216 --> 00:12:59.916]  How many times?
[00:12:59.936 --> 00:13:00.717]  Okay, I'll disavow.
[00:13:00.737 --> 00:13:01.978]  But wait, you just heard the answer.
[00:13:03.259 --> 00:13:06.861]  And he had to disavow and play the game because they're going to keep saying it.
[00:13:06.881 --> 00:13:08.042]  If he says, look, I already did that.
[00:13:08.082 --> 00:13:08.963]  I'm not getting into it.
[00:13:10.303 --> 00:13:10.844]  That's the game.
[00:13:12.674 --> 00:13:13.595]  And this is how they operate.
[00:13:13.615 --> 00:13:27.206]  Then they can get Democrats into Republican positions, have them say wild and crazy things, like we see happening in Travis County right now, in my view, and then say, disavow this person.
[00:13:29.167 --> 00:13:29.928]  It's the oldest trick in the book.
[00:13:29.968 --> 00:13:30.629]  It happened to Rand Paul.
[00:13:31.823 --> 00:13:34.724]  When he won the Republican primary, the Democrats started coming out.
[00:13:34.964 --> 00:13:35.704]  Remember four years ago?
[00:13:36.324 --> 00:13:38.505]  Dressed in hayseed outfits with overalls.
[00:13:38.865 --> 00:13:40.666]  And I remember saying, that looks like that's fake.
[00:13:40.686 --> 00:13:42.146]  We need to investigate who these people are.
[00:13:42.606 --> 00:13:49.468]  Folks did Google face analysis and found them Democratic Party campaign paid members.
[00:13:50.688 --> 00:13:52.689]  Out with signs saying, I hate Mexicans.
[00:13:52.769 --> 00:13:57.791]  In fact, you guys, Democrats caught posing as racist against Rand Paul.
[00:13:58.131 --> 00:13:59.231]  They also got caught in Houston.
[00:14:02.617 --> 00:14:14.663]  A proto Black Lives Matter type group got caught doing that, and they just do it over, running around screaming the N-word and saying, I support Rand Paul.
[00:14:15.303 --> 00:14:20.126]  This is what they do, and it's a dirty trick, and it just shows how sick these people are.
[00:14:20.166 --> 00:14:23.807]  Now, I'm not getting back to an old story from yesterday because I have lack of information.
[00:14:23.847 --> 00:14:24.488]  I got too much.
[00:14:24.508 --> 00:14:28.630]  The Justice Department grants immunity to
[00:14:30.285 --> 00:14:32.926]  Hillary Clinton's email server technician.
[00:14:38.529 --> 00:14:44.092]  Denmark's leading Muslim imam calls for death of infidels and women who cheat on their husbands.
[00:14:45.192 --> 00:14:46.593]  He's telling his flock, kill people.
[00:14:47.513 --> 00:14:48.394]  That's a call to action.
[00:14:48.414 --> 00:14:49.254]  That's not legal.
[00:14:49.454 --> 00:14:50.174]  It's not free speech.
[00:14:50.635 --> 00:14:55.417]  France warns Britain of migrant influx after EU exit.
[00:14:57.423 --> 00:15:03.785]  Mass transit meets mass surveillance, and now legislation is being introduced to not let them listen and watch you on buses and on street corners.
[00:15:04.185 --> 00:15:06.925]  See, now we admit this is going on to ourselves, now we can do something to stop it.
[00:15:07.245 --> 00:15:11.286]  Police have killed the lawmakers for future options on arming drones.
[00:15:12.027 --> 00:15:15.207]  My issue was, when we warned of all this coming, people said it didn't exist.
[00:15:15.607 --> 00:15:21.469]  Remember just three or four years ago they would say, there's no plan to put drones in the sky surveilling farmers, when it was already happening.
[00:15:22.910 --> 00:15:25.534]  Again, Mitt Romney, Donald Trump is a phony and a fraud.
[00:15:26.235 --> 00:15:28.199]  Trump rolls out free market health care plan.
[00:15:28.239 --> 00:15:29.160]  It's an excellent plan.
[00:15:29.400 --> 00:15:30.582]  He actually does have a plan.
[00:15:30.602 --> 00:15:33.146]  The media just runs this hoax that he doesn't have a plan.
[00:15:34.161 --> 00:15:37.763]  Mitt Romney's niece to stuff Republican debate audience with anti-Trump insiders.
[00:15:38.603 --> 00:15:40.164]  It's good to be on the inside, isn't it there?
[00:15:41.065 --> 00:15:47.768]  Audio Rubio campaign manager plots broker convention in Manhattan donor meeting with the Koch brothers to take nomination from Trump.
[00:15:48.209 --> 00:15:52.511]  This, by the way, confirms everything that Stone said that he had an operative in the meeting listening to.
[00:15:52.531 --> 00:15:55.693]  And of course, Stone writes for Breitbart.
[00:15:56.193 --> 00:16:01.216]  I'm not mad at him that he's giving them the scoop, but gee, I wonder whose operative got the audio in Manhattan.
[00:16:01.736 --> 00:16:03.037]  Roger Stone is joining us next hour.
[00:16:04.204 --> 00:16:05.865]  I don't care if other groups get the scoops.
[00:16:06.285 --> 00:16:06.985]  I want them to.
[00:16:08.045 --> 00:16:13.167]  Because we need more successful groups exposing tyranny and more investigative journalism, not less.
[00:16:13.987 --> 00:16:16.348]  That's how I don't get killed or put in prison.
[00:16:17.888 --> 00:16:19.168]  We all fight for liberty together.
[00:16:19.508 --> 00:16:20.809]  Rising tide raises all ships.
[00:16:21.409 --> 00:16:25.150]  We work together in the liberty media and we defeat the globalist takeover.
[00:16:26.050 --> 00:16:31.432]  That's what this revolution against tyranny, this insurrection, this overthrow of the occupying globalist is about.
[00:16:32.964 --> 00:16:34.347]  And notice that narrative is getting out there.
[00:16:34.367 --> 00:16:38.074]  So we're going to play that audio next hour when Stone joins us.
[00:16:38.375 --> 00:16:40.399]  Report, this is from InfoWars.com.
[00:16:40.519 --> 00:16:41.882]  A lot of evidence points towards it.
[00:16:42.915 --> 00:16:47.639]  This is not a dirty trick here, you know, like they said the Carson was dropping out, the Cruz did.
[00:16:48.180 --> 00:16:56.087]  This is where it's all pointing to, because the elite aren't giving him money, they're all getting behind Rubio, with Romney in the back, as we told you, with Roger Stone last week.
[00:16:56.388 --> 00:17:08.119]  He had the inside moles at the inside meeting with 200 millionaires and billionaires, and they told him, we're giving you 25 million of our own money this week, another 50 million from these other donors is pledged in the next week,
[00:17:09.246 --> 00:17:13.469]  But if you lose Florida, coming up in the middle of March, you are done.
[00:17:14.510 --> 00:17:15.551]  And then Romney comes in.
[00:17:16.031 --> 00:17:17.832]  And that's exactly what Stone said last week.
[00:17:18.133 --> 00:17:23.156]  You gotta go watch that 10-minute interview I did on the outside after we ate dinner in downtown Austin with Stone.
[00:17:25.678 --> 00:17:30.221]  Headline, uh, what was that headline?
[00:17:30.261 --> 00:17:31.983]  It was Koch Brothers
[00:17:34.363 --> 00:17:37.665]  To give 75 million to Rubio to defeat Trump.
[00:17:38.125 --> 00:17:40.067]  And now everything Stone said has been borne out.
[00:17:41.187 --> 00:17:46.050]  Cruz next to exit race according to reports we have linked to Infowars.com.
[00:17:46.871 --> 00:17:52.054]  Kit Daniels article, Texas Senator losing cash fast and underperforming in delegate count.
[00:17:52.074 --> 00:17:53.175]  We're going to get into that article.
[00:17:55.476 --> 00:17:59.959]  The Republican establishment has four options to try to stop Trump and none of them are good.
[00:17:59.979 --> 00:18:01.360]  We'll get into Michael Snyder's article.
[00:18:02.952 --> 00:18:03.933]  Another Breitbart article.
[00:18:04.273 --> 00:18:08.837]  We're having the President of Breitbart on to talk about this.
[00:18:08.997 --> 00:18:11.018]  No, this is the Eagle Forum, just from Breitbart.
[00:18:11.359 --> 00:18:16.222]  How the GOP-ers insider plan to steal the nod from Trump.
[00:18:16.263 --> 00:18:17.003]  Another big story.
[00:18:18.364 --> 00:18:21.727]  Neocons pen open letter declaring war on Donald Trump.
[00:18:22.147 --> 00:18:23.208]  I mean, what more do you need to know?
[00:18:23.228 --> 00:18:24.069]  We've got to be behind Trump.
[00:18:24.109 --> 00:18:24.969]  This is just ridiculous.
[00:18:25.510 --> 00:18:27.691]  Over 65,000 people signed petition.
[00:18:29.932 --> 00:18:32.754]  To arrest and prosecute Bill Clinton for violating election laws.
[00:18:32.874 --> 00:18:33.735]  That was last night.
[00:18:33.755 --> 00:18:34.735]  This morning it was close to 100,000.
[00:18:35.076 --> 00:18:38.478]  That's in the Don Salazar article in fullwars.com.
[00:18:39.038 --> 00:18:44.262]  Establishment strategist back Trump too late to ask mommy to rewrite rules.
[00:18:45.643 --> 00:18:47.144]  Threat against Trump on Facebook.
[00:18:47.804 --> 00:18:52.928]  Leads to deportation order for Egyptian student that wants Trump bye-bye.
[00:18:55.987 --> 00:19:01.131]  Congressman suggests the FBI is taking advantage of San Bernardino tragedy to push legislation.
[00:19:01.171 --> 00:19:01.852]  Gee, you think so?
[00:19:02.112 --> 00:19:11.499]  They let the jihadis in under White House orders, but then want to take all of our remaining remnant of liberties away to keep us safe.
[00:19:12.680 --> 00:19:15.142]  Carson has quit, as we said a few days ago he was set to.
[00:19:15.923 --> 00:19:18.044]  Quits presidential race saying no path forward.
[00:19:18.725 --> 00:19:21.367]  That is just some of the news I'm going to burrow back into after the break.
[00:19:22.924 --> 00:19:25.807]  This is even bigger than Trump and everything we're talking about.
[00:19:26.907 --> 00:19:30.350]  Because if you don't understand this, you don't understand anything.
[00:19:31.291 --> 00:19:36.816]  And when we come back, I'm going to get into the most important subject in the world for just the six-minute segment.
[00:19:37.793 --> 00:19:39.814]  We're going to come back in the long segment, get to all the clips.
[00:19:39.834 --> 00:19:42.455]  The Mitt Romney attack is flip-flopping.
[00:19:42.535 --> 00:19:45.976]  Trump's response, so much more.
[00:19:46.076 --> 00:19:51.779]  Military news, North Korea firing missiles across the bow of Japan, threatening nuclear war.
[00:19:52.439 --> 00:19:59.082]  There is a lot to cover, obviously, here on this live Thursday, the third day of March 2016, global transmission.
[00:19:59.502 --> 00:20:03.804]  I'm Alex Jones, InfoWars.com and PrisonPlanet.com are the frontline sites.
[00:20:04.464 --> 00:20:09.127]  And, uh, we also have a great store with a lot of amazing items and big discounts, and 50% off right now, coiled silver.
[00:20:13.209 --> 00:20:13.690]  Hey!
[00:20:14.330 --> 00:20:17.572]  I rode the elevator with you, but I don't work on the upper floors.
[00:20:17.992 --> 00:20:24.536]  I just want to squeeze in there right next to you, so the RFID scanner in my pocket can capture all your personal information.
[00:20:24.877 --> 00:20:27.938]  Your debit and credit cards, even your work ID badge.
[00:20:28.379 --> 00:20:30.740]  So your identity is now my identity.
[00:20:31.300 --> 00:20:31.741]  Going up?
[00:20:32.681 --> 00:20:40.602]  So am I. For over 10 years, ID Stronghold has pioneered RFID-blocking wallets and ID badge holders for consumers, the U.S.
[00:20:40.662 --> 00:20:43.383]  military, and even the Executive Office of the President.
[00:20:43.943 --> 00:20:45.443]  Shouldn't you be protected too?
[00:20:46.083 --> 00:20:50.744]  ID Stronghold wallets cost about the same as wallets in most stores, but give you extra protection.
[00:20:51.044 --> 00:20:53.745]  I'm Wal Augustinowitz, founder and CEO of ID Stronghold.
[00:20:54.085 --> 00:20:55.945]  Don't be a victim of electronic pickpocketing.
[00:20:56.145 --> 00:21:00.106]  Protect yourself from crimes you can't see with ID Stronghold wallets, card sleeves, and purses.
[00:21:00.526 --> 00:21:05.368]  Visit IDStronghold.com and get the original RFID blocking wallets and badge holders.
[00:21:06.909 --> 00:21:16.913]  IDStronghold.com Something just happened that has explained why survival food is literally flying off the shelves and is sold out in many areas of the country.
[00:21:17.353 --> 00:21:21.114]  It caught me totally by surprise, and it involves FEMA.
[00:21:21.555 --> 00:21:27.137]  Now, revealing FEMA's plaque could land me in hot water, but I think you deserve to know exactly what they're doing.
[00:21:27.797 --> 00:21:32.922]  I just created a free video presentation at 123fema.com that exposes the truth.
[00:21:33.403 --> 00:21:39.529]  Be warned, it's really disturbing because the fact is FEMA must know something we don't.
[00:21:40.130 --> 00:21:50.140]  Go to 123fema.com to see the number one item to hoard and why supplies of this critical item are so low or even completely sold out already at many stores across America.
[00:21:50.720 --> 00:21:55.403]  Watch the controversial video that thousands of other smart patriots have already seen in recent days.
[00:21:55.824 --> 00:22:01.007]  Go to 123fema.com and discover the number one item most critical in a crisis.
[00:22:01.407 --> 00:22:06.511]  Go watch my video now at 123fema.com before they force me to shut it down.
[00:22:06.871 --> 00:22:08.052]  Again, that's 123fema.com.
[00:22:09.986 --> 00:22:19.308]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:19.408 --> 00:22:23.728]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:23.828 --> 00:22:29.869]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:29.909 --> 00:22:32.550]  Buy now at DefenderShield.com.
[00:22:32.690 --> 00:22:34.910]  For 10% off, use promo code GCN.
[00:22:35.090 --> 00:22:38.611]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:39.591 --> 00:22:42.352]  My dad was 59 when he collapsed from a heart attack late last year.
[00:22:42.652 --> 00:22:45.273]  Just this past August was when we spread his ashes on the St.
[00:22:45.293 --> 00:22:45.713]  Croix River.
[00:22:46.033 --> 00:22:46.693]  I loved my dad.
[00:22:47.073 --> 00:22:48.034]  But boy was he stubborn.
[00:22:48.254 --> 00:22:50.974]  He hadn't been to the doctor in over 25 years.
[00:22:51.215 --> 00:22:51.735]  His excuse?
[00:22:52.095 --> 00:22:53.175]  He simply couldn't afford it.
[00:22:53.435 --> 00:22:54.716]  He wasn't a rich man by any means.
[00:22:55.036 --> 00:23:00.537]  At less than $107 per month, LibertyOnCall.org would have been the perfect alternative for my father.
[00:23:00.797 --> 00:23:01.538]  Don't wait.
[00:23:01.838 --> 00:23:04.198]  Go to LibertyOnCall.org right now.
[00:23:04.499 --> 00:23:06.739]  For not just your sake, but for the sake of your loved ones.
[00:23:06.979 --> 00:23:08.600]  Again, that's LibertyOnCall.org.
