[00:00:11.814 --> 00:00:12.714]  June 7th, 2016.
[00:06:58.407 --> 00:07:01.648]  Available in original or with our immune support infusion blend.
[00:07:01.788 --> 00:07:07.931]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:07:08.091 --> 00:07:09.772]  Available at Infowarslife.com
[00:07:10.612 --> 00:07:30.551]  Three years after the IRS admitted officials singled out conservative groups for extra scrutiny, the tax-collecting agency has released a near-complete list of the organizations targeted, and it numbers in the hundreds for the first time showing the extent to which the agency slow-walked applications for tax-exempt status.
[00:07:30.771 --> 00:07:32.092]  Reports, Fox News.
[00:07:32.332 --> 00:07:44.919]  The new list shows a total of 426 organizations, far higher than what the Treasury Department's Inspector General believed there to be back in May 2013, when he identified nearly 300 groups.
[00:07:45.219 --> 00:07:58.446]  The names span the gamut, covering well-known groups like the Tea Party Patriots, but also lower-profile locals like the Louisiana Campaign for Liberty, Patriots of Charleston, the Asheville Tea Party Incorporated, and many more.
[00:07:58.926 --> 00:08:05.169]  A federal judge earlier this year scolded the IRS for allegedly holding up requests for information.
[00:08:05.469 --> 00:08:09.231]  You can find more reports on InfoWars.com.
[00:08:22.020 --> 00:08:25.002]  Crashing through the lies and disinformation.
[00:08:25.603 --> 00:08:29.826]  It's Alex Jones on the GCN Radio Network.
[00:08:37.151 --> 00:08:39.152]  Our reporters are in Germany.
[00:08:39.853 --> 00:08:44.296]  Ram Du, Josh Owens are going to be joining us coming up today.
[00:08:48.479 --> 00:08:50.480]  At 12.30 Central Standard Time.
[00:08:51.340 --> 00:08:52.781]  Now that's over in Europe.
[00:08:53.662 --> 00:08:59.945]  Out on the West Coast, Leanne McAdoo, Joe Biggs and others will be joining us from California.
[00:09:00.445 --> 00:09:04.447]  And of course they've got those big primaries taking place today.
[00:09:05.167 --> 00:09:10.810]  And they're saying that Hillary Clinton has cinched the nomination even though she's stolen delegates from Bernie Sanders.
[00:09:10.850 --> 00:09:12.911]  He is not capitulating, says he's going to fight.
[00:09:13.611 --> 00:09:17.333]  But the mainstream media is saying that she is now the presumptive nominee and that
[00:09:18.413 --> 00:09:20.215]  Donald Trump has it 100%.
[00:09:21.696 --> 00:09:31.705]  I don't think it's over until the fat lady sings, or until the war criminal sings, because anything is possible with the technocrats that are in control of our nation right now.
[00:09:31.745 --> 00:09:37.530]  But we're going to be talking to Leanne McAdoo, Joe Biggs, and others coming up on the West Coast.
[00:09:38.513 --> 00:09:42.695]  And of course, Rob Dew and others with live video feeds as well from Germany.
[00:09:43.095 --> 00:09:44.496]  This is mainly a radio show.
[00:09:44.536 --> 00:09:49.099]  It started out 21 years ago as a radio show, but I'd also been doing television for 21 years.
[00:09:49.579 --> 00:09:57.083]  And so in about the last 16, 17 years, I merged the two, and this is what we call InfoWars Live with yours truly, Alex Jones.
[00:09:57.123 --> 00:10:04.847]  If you're just driving along in your car and hear us talking about video feeds and things like that, you can always go to infowars.com forward slash show.
[00:10:05.507 --> 00:10:14.532]  Or just go to Infowars.com and click on the show tab, radio show tab, and it actually has all of the video feeds as well.
[00:10:14.552 --> 00:10:19.894]  In fact, that ought to be radio slash TV tab, because that confuses some folks.
[00:10:20.175 --> 00:10:33.982]  But that's up there on Infowars.com, and it's a great link, obviously, to send out to everyone you know on a routine basis, because they are trying to shut down free speech and destroy nationalism, the family, and any form of possible
[00:10:34.683 --> 00:10:36.294]  Resistance to the technocracy.
[00:10:38.322 --> 00:10:42.143]  Let me do my best here and just go over some of these headlines.
[00:10:42.824 --> 00:10:46.725]  Dr. Bill Warner of PoliticalIslam.com will be joining us.
[00:10:46.745 --> 00:10:49.006]  He's been highly requested by listeners the last few years.
[00:10:49.486 --> 00:10:55.328]  I finally sat down and read one of his books a few months ago and watched some of his videos.
[00:10:56.288 --> 00:10:57.289]  He's well-spoken.
[00:10:57.329 --> 00:11:04.271]  He gives you a good historical breakdown, but I've read so many mainline history books, what he's saying is just admitted fact if you're informed.
[00:11:05.871 --> 00:11:08.852]  So he kind of goes slowly through it all.
[00:11:09.292 --> 00:11:11.673]  This will be his first visit with us for 30 minutes or so.
[00:11:12.093 --> 00:11:16.854]  I'm going to say, listen, you know, you're an expert on this, but I've already researched what you're saying before I knew you.
[00:11:17.334 --> 00:11:19.695]  I know what you're saying is just mainline historical fact.
[00:11:20.155 --> 00:11:24.717]  Give us the boil down and then the timeline of where this is going.
[00:11:26.037 --> 00:11:29.018]  So we're not going to have two, three hours to go over this with him, but, uh,
[00:11:30.163 --> 00:11:34.786]  He is a popular speaker that breaks all of this down, so he will be joining us.
[00:11:34.826 --> 00:11:56.822]  But I have to remember that even with informed groups out there, when you really learn about the history of Islam from its own writings and what the goal is, it's shocking that Western governments would be trying to bring in unsustainable groups of people from the most radical areas and then having everyone bow to their will.
[00:11:57.972 --> 00:12:05.657]  It really shows you how inherently wicked and anti-freedom based the Western controllers are.
[00:12:06.777 --> 00:12:18.545]  But again, after they've brought in radical Islam and funded radical Islam to take over much of the areas already controlled by Muslims, once that radicalization process is accelerated into La La Land,
[00:12:19.980 --> 00:12:25.144]  There will be a clash of civilizations that will be expanded between the West, per the PENAC plan.
[00:12:25.184 --> 00:12:27.326]  This is an official plan by the Globalist.
[00:12:27.927 --> 00:12:32.531]  And most of those countries will be basically turned into glass parking lots.
[00:12:32.931 --> 00:12:35.913]  So everyone's being set up right now and being played off against each other.
[00:12:35.933 --> 00:12:37.215]  I'm not against Muslims.
[00:12:37.255 --> 00:12:38.155]  I'm not against Arabs.
[00:12:38.496 --> 00:12:39.757]  I'm not against Indonesians.
[00:12:40.177 --> 00:12:41.878]  I'm not against Mongolian Muslims.
[00:12:42.439 --> 00:12:43.340]  But here's the deal.
[00:12:44.140 --> 00:12:48.024]  If you come here, we're not going to conform to your
[00:12:49.605 --> 00:12:50.845]  Religious beliefs and ideas.
[00:12:51.605 --> 00:12:59.987]  We're not going to lose our freedoms of the Renaissance, hard-fought, the Enlightenment, because you want us to bow to your will.
[00:13:00.328 --> 00:13:11.790]  And that goes the same for pedophile-run Hollywood that wants to teach five-year-olds how to have anal sex in the public schools and that wants to arrest California schoolgirls that talk about the Bible at lunch.
[00:13:12.310 --> 00:13:13.791]  SWAT teams are being deployed.
[00:13:13.951 --> 00:13:14.671]  I have the articles.
[00:13:16.127 --> 00:13:29.859]  So you've got the sick weird left in such a fetish to butcher the West that they'll ally with one of the most caveman, oppressive, monotheistic, chauvinistic, crazy town systems.
[00:13:31.178 --> 00:13:34.659]  Because it just creates such a melee and they want to blow it all up.
[00:13:34.719 --> 00:13:42.261]  They want to bring it down because they can't compete with free market, even though we're a limited free market, a crony capitalist system.
[00:13:43.021 --> 00:13:45.381]  What's left of it is so powerful.
[00:13:46.222 --> 00:13:55.724]  It has an engine of choice in what you buy and what you sell and what you produce that they fear its revolutionary power and want to fully extinct it.
[00:13:57.807 --> 00:14:15.350]  That's why for a normal person, you say this doesn't make any sense, they're promoting people being lazy, they're promoting people being stupid, they're promoting every form of racism and classism and sexism, while at the same time saying that they're trying to stop it.
[00:14:16.510 --> 00:14:27.012]  And it's because they are social engineers that exempt themselves from the very programs they put us under.
[00:14:28.601 --> 00:14:57.601]  Now, it was last Friday that I finally started paying attention, because a lot of times I'm ahead of the curve on big news items, but sometimes when I see a whole bunch of different attacks being beta tested against gun groups, or Christian groups, or veterans groups, or nationalist organizations, or medical freedom groups, whatever the case may be, anytime I'm seeing an attack on that, there's so many of them, I'll kind of watch it grow before I comment.
[00:14:59.733 --> 00:15:05.358]  And for a week I've been hearing about Trump University and how it's the most evil thing on the planet and so horrible.
[00:15:06.138 --> 00:15:08.821]  And I've been hearing about that for months, but it accelerated.
[00:15:09.121 --> 00:15:12.464]  And then Trump came out and said, this judge is being very political.
[00:15:13.024 --> 00:15:17.628]  He works with very political groups that are basically pro-Mexico.
[00:15:18.208 --> 00:15:22.152]  And so he is loyal to Mexico.
[00:15:24.002 --> 00:15:27.363]  But Trump just said, he's a Mexican, he's not for America.
[00:15:27.864 --> 00:15:34.647]  And allowed them to spin it, that he was saying because he's a Mexican, he can't be a judge.
[00:15:34.707 --> 00:15:36.267]  And that's not what Trump was really saying.
[00:15:36.287 --> 00:15:39.709]  In fact, the larger clip, he clarified it in his statement.
[00:15:40.933 --> 00:15:49.455]  But again, they know that they're dealing with a population in this country, especially on the West Coast, I don't care what color they are, that cannot find their butts with both hands.
[00:15:50.456 --> 00:15:56.017]  You've seen our videos, you've seen the other reporter videos, you've seen Mark Dice, I mean, these are unedited.
[00:15:56.057 --> 00:16:04.760]  We're showing you everyone we're talking to, and I don't care whether they're an old white man or a young black man or a young Hispanic woman, these people do not know what planet they're on.
[00:16:06.897 --> 00:16:10.420]  And then all they hear is, yeah, Trump said this judge can't rule because he's a Mexican.
[00:16:10.440 --> 00:16:12.341]  No, Trump said, no, he's fine.
[00:16:12.401 --> 00:16:16.765]  He's loyal to the Mexicans and not to this country.
[00:16:17.806 --> 00:16:18.847]  People said he's a federal judge.
[00:16:18.867 --> 00:16:19.227]  What do you mean?
[00:16:19.547 --> 00:16:22.089]  Well, most federal judges, in my view, aren't loyal to this country.
[00:16:22.309 --> 00:16:25.212]  Look at their rulings, throwing out the Bill of Rights and Constitution.
[00:16:27.622 --> 00:16:32.366]  So Trump's good at dumbing things down, but sometimes he dumbs it down too much, and the nuances get lost.
[00:16:32.406 --> 00:16:35.208]  But listen, The Daily Caller first reported on this.
[00:16:35.528 --> 00:16:37.810]  WorldNetDaily has dug into it, so have we.
[00:16:38.771 --> 00:16:41.873]  And there's 13,000 different articles out there.
[00:16:41.913 --> 00:16:43.795]  I saw on this today when I did a Google search.
[00:16:43.815 --> 00:16:48.258]  1,300 of them, strangely enough, have comments from yours truly in there.
[00:16:49.839 --> 00:16:52.561]  So at least we're counter-striking now with the facts.
[00:16:52.782 --> 00:16:53.622]  And here's the headline.
[00:16:58.379 --> 00:17:03.904]  So, both the judge and the law firm bringing the Trump University case, both tied to La Raza.
[00:17:05.165 --> 00:17:07.047]  And I love the spin in a bunch of different newspapers.
[00:17:07.067 --> 00:17:13.613]  They go, well, he's on a judicial La Raza board that gets scholarships for illegal aliens.
[00:17:15.134 --> 00:17:17.817]  Or undocumented, let me use the proper words since the government told me to.
[00:17:19.585 --> 00:17:34.200]  And he is involved in the same group that Sotomayor is, and I actually have a New York Times quote here, where Sotomayor in 1999, they were talking about her being a potential Supreme Court Justice if Obama got elected.
[00:17:41.479 --> 00:17:53.408]  Well, I've got the article, it's 2000-something, and she actually says in the article, well, I'm a Hispanic woman with particular wisdom, and so I'll be able to rule better on cases because I'm not a white man.
[00:17:54.369 --> 00:17:58.492]  Now, imagine if a white judge talked like that.
[00:17:59.873 --> 00:18:00.594]  It's just crazy.
[00:18:01.354 --> 00:18:02.435]  It's absolutely crazy.
[00:18:02.735 --> 00:18:03.616]  And here's what I'm getting at.
[00:18:04.216 --> 00:18:10.181]  If you're any other shade other than white, eggshell,
[00:18:13.658 --> 00:18:20.440]  Then you are allowed to engage in classical racial organizations.
[00:18:21.180 --> 00:18:22.321]  You're allowed to have BET.
[00:18:22.341 --> 00:18:24.081]  Can you imagine white entertainment television?
[00:18:24.501 --> 00:18:25.002]  And I get it.
[00:18:25.022 --> 00:18:30.283]  Blacks have been downtrodden, had problems, and foisted out to the edge of society and all the rest of it.
[00:18:30.303 --> 00:18:32.164]  So, you know, let folks have their own channel.
[00:18:32.404 --> 00:18:33.624]  I actually get that culturally.
[00:18:33.904 --> 00:18:38.506]  But there's been this extreme now where whites can't have any culture of any type.
[00:18:39.026 --> 00:18:42.307]  I've even seen articles saying, are Oktoberfest racist?
[00:18:43.203 --> 00:18:44.944]  I mean, they have those articles every year.
[00:18:45.705 --> 00:18:48.367]  Should we get rid of Oktoberfest because it's too white?
[00:18:48.687 --> 00:18:51.169]  You go to an Oktoberfest, there's people of every color out there having a great time.
[00:18:52.570 --> 00:18:55.232]  Eating sausages and drinking beer and eating pretzels.
[00:18:56.793 --> 00:19:04.479]  But that's what it's come down to where, if you're white or you're Christian, because that's where this is really going after is Western civilization and the real Christian ethic.
[00:19:04.679 --> 00:19:10.223]  Not the megachurch ethic, but the real Christian ethic, where I see articles every day
[00:19:12.403 --> 00:19:20.285]  Where you will have a Christian with a Bible at a college or at a public school or giving out Christmas cards.
[00:19:20.305 --> 00:19:21.806]  That happens every year all over the country.
[00:19:23.386 --> 00:19:30.128]  And they get called in and they get suspended or expelled or the police come because they talked about Bible verses.
[00:19:31.274 --> 00:19:32.775]  Kellan McBrain wrote an article about this.
[00:19:32.795 --> 00:19:36.418]  Well, you should be allowed to hand out birthday cards or Valentine's cards or cards.
[00:19:36.438 --> 00:19:38.439]  I mean, they teach Islam in the schools for, quote, diversity.
[00:19:38.459 --> 00:19:40.201]  But see, Christianity is prosada non grata.
[00:19:54.099 --> 00:20:00.542]  Remember the Pope said three weeks ago in La Croix newspaper, he goes, I just abhor, I just can't stand hearing about Christian roots in Europe.
[00:20:00.823 --> 00:20:01.643]  We need to stop this.
[00:20:02.523 --> 00:20:03.544]  This is xenophobic.
[00:20:04.404 --> 00:20:06.165]  This is colonialism.
[00:20:06.225 --> 00:20:09.867]  See, it is an attack on the West, period.
[00:20:11.408 --> 00:20:24.058]  This message is not just addressed to my fellow Americans, but addressed to people across the world of every race, color, and creed who believe in free speech, enshrined here in our republic as the First Amendment.
[00:20:24.778 --> 00:20:28.181]  It's the First Amendment to the Bill of Rights because it is the most important.
[00:20:28.201 --> 00:20:33.625]  The right to speak, the right to publish, the right to assemble, the right to petition, the right to practice
[00:20:33.985 --> 00:20:34.825]  We're good to go.
[00:20:58.951 --> 00:21:00.412]  Facebook's over a third of the internet.
[00:21:00.472 --> 00:21:01.132]  Did you think about that?
[00:21:01.612 --> 00:21:03.133]  Of the traffic and people visiting things.
[00:21:03.493 --> 00:21:04.093]  And then it's over.
[00:21:04.393 --> 00:21:08.695]  You think it's bad that communist China with a billion, 300 million people is censoring?
[00:21:09.536 --> 00:21:16.779]  Zuckerberg, who calls his users dumb effers, has been meeting with the Chinese censorship leadership, openly trying to tweak it.
[00:21:16.899 --> 00:21:21.841]  He met with Merkel and openly in a hot mic said, don't worry, I'm going to start suppressing and censoring people.
[00:21:22.001 --> 00:21:26.443]  They report when someone criticizes open borders to the German government and they come and arrest you.
[00:21:26.603 --> 00:21:27.424]  This is a global
[00:21:27.984 --> 00:21:28.425]  I don't
[00:21:46.664 --> 00:21:48.065]  This is the ultimate threat to humanity.
[00:21:48.466 --> 00:21:50.647]  This is worse than what we saw in the Soviet Union.
[00:21:51.048 --> 00:21:54.851]  This is right out of Nazi Germany or right out of Maoist China.
[00:21:55.231 --> 00:21:56.573]  So we're fighting for free speech.
[00:21:56.913 --> 00:22:06.982]  When you spread the word about InfoWars.com, our videos, our stories, our reports, and when you post it on different platforms, that circumvents their AI systems that are trying to restrict the flow of information.
[00:22:07.142 --> 00:22:09.043]  We stand together or we hang separate.
[00:22:09.264 --> 00:22:14.108]  Another thing we're doing is not just battling to stop the censorship, we're also building other platforms.
[00:22:14.548 --> 00:22:22.354]  Getting on as many third party systems as there are out there and spreading the word of basic free market liberty and human empowerment and the new renaissance.
[00:22:22.854 --> 00:22:26.116]  But also, the experts I've talked to said, Alex, you missed the boat.
[00:22:26.136 --> 00:22:29.419]  You've been a pioneer in many ways, but you haven't promoted email.
[00:22:29.499 --> 00:22:31.800]  And I said, yeah, I don't ever really market on email.
[00:22:31.921 --> 00:22:33.742]  I just, I just, it's low tech.
[00:22:33.902 --> 00:22:36.244]  And they're like, no, no, no, that's what's going to be hard to censor.
[00:22:36.304 --> 00:22:42.928]  Even if the internet kill switch comes into place, there are systems and there are developments that make it very hard still
[00:22:43.909 --> 00:22:49.410]  To stop email and to stop that information being sent over networks, you name it.
[00:22:49.470 --> 00:23:03.114]  So it's essential that everybody go to InfoWars.com forward slash newsletter to get exclusive articles, videos, promo code, sometimes the shopping cart like we had a few weeks ago with Hillary for prison, 50% off.
[00:23:03.434 --> 00:23:08.255]  I mean, there are some big discounts we send to incentivize people and pleasure some of those hardcore patriots.
[00:23:08.555 --> 00:23:10.756]  You can send the email and the newsletter on with
[00:23:11.076 --> 00:23:12.898]  Exclusive videos and articles many days.
[00:23:13.538 --> 00:23:14.499]  So that's another great reason.
[00:23:14.519 --> 00:23:20.845]  But overall, it's so that we have direct contact with fellow patriots out there around the world.
[00:23:21.366 --> 00:23:30.073]  And if they try to start shutting our websites down and other things which they've tried to do, and kick us off Facebook, Twitter, YouTube, you name it, we'll be able to send you direct videos
[00:23:30.754 --> 00:23:32.656]  That you can then send on to others.
[00:23:33.296 --> 00:23:52.611]  We've all got to start thinking about censorship and actively fighting it, getting more active and not taking independent liberty-based media for granted, which I know you don't do, but really having a sense of urgency and getting the info out more while building new avenues on cutting-edge tech and cutting-edge platforms but also old tech like email.
[00:23:52.852 --> 00:23:53.932]  So please join
[00:23:54.793 --> 00:24:00.240]  Hundreds of thousands of others that have been signing up every few months at InfoWars.com forward slash newsletter.
[00:24:00.580 --> 00:24:09.711]  And you can also spread the word about our free feeds and more podcasts, Android apps, iPhone apps, it's all free at InfoWars.com forward slash show.
[00:24:38.800 --> 00:24:40.724]  Ladies and gentlemen, we are back live.
[00:24:41.726 --> 00:24:42.788]  I'm your host Alex Jones.
[00:24:42.948 --> 00:24:47.257]  The news websites are InfoWars.com and PrisonPlanet.com.
[00:24:47.818 --> 00:24:48.459]  Bottom line.
[00:24:49.582 --> 00:24:50.683]  I want prosperity.
[00:24:51.564 --> 00:24:52.304]  I want wealth.
[00:24:53.025 --> 00:24:54.166]  I want freedom of choice.
[00:24:54.886 --> 00:24:58.969]  I want the family and the human institution honored and protected.
[00:24:59.430 --> 00:25:04.073]  And I want to see our environment, the genetic registry of this planet, protected.
[00:25:04.573 --> 00:25:17.643]  I don't want to see thousands of major corporations genetically splicing every species under the sun, in mass, creating huge mutations across the genetic spectrum, from plankton to whales.
[00:25:18.632 --> 00:25:20.514]  From humans down to fire ants.
[00:25:22.155 --> 00:25:30.823]  We are all being manipulated and changed, and the globalists are acting like the island of Dr. Moreau on PCP.
[00:25:32.965 --> 00:25:40.032]  And I tune in to television, and it is the most weaponized garbage, including Fox News.
[00:25:41.288 --> 00:25:48.775]  Remember the whole lacrosse team thing years ago that went on for three years where the white lacrosse team raped the black stripper?
[00:25:49.155 --> 00:25:49.976]  It was all made up.
[00:25:50.116 --> 00:25:50.876]  It was all lies.
[00:25:52.698 --> 00:26:02.407]  But it was sold to create racial division and also create the illusion that all sexes rape the hardcore third wave feminist view.
[00:26:03.561 --> 00:26:15.444]  And they've got all these movies out, you know, like The Neighbors 2, where, oh, next to the frat house, and the whole thing is about how men wanting to have sex with women is rape, period, and men are inherently bad.
[00:26:15.544 --> 00:26:19.805]  I mean, it's all just weaponized to turn everybody into gibbering idiots.
[00:26:19.825 --> 00:26:23.006]  And I'll be talking about that coming up in the next segment.
[00:26:23.646 --> 00:26:32.328]  You know, this Stanford swimmer champion only got six months because at a party, they caught him with a girl that was drunk and looked like she was passed out.
[00:26:35.114 --> 00:26:37.915]  This guy looks like an entitled creep to me, quite frankly.
[00:26:37.935 --> 00:26:43.798]  Because there's nothing worse than these guys that haven't done anything with their lives that go around thinking they're, you know, elitist and all the rest of it.
[00:26:43.978 --> 00:26:45.159]  And he kind of fits that bill.
[00:26:46.160 --> 00:26:47.220]  And I don't like frat parties.
[00:26:47.240 --> 00:26:48.021]  I don't like the whole thing.
[00:26:48.041 --> 00:26:49.021]  But I'll tell you something right now.
[00:26:50.902 --> 00:26:57.665]  Statistically, they release thousands of illegal aliens every year for hardcore rape and don't even charge them.
[00:26:58.506 --> 00:27:00.707]  Or they're convicted and they just release them.
[00:27:04.022 --> 00:27:04.742]  But that's okay.
[00:27:04.922 --> 00:27:11.924]  But see, it's not a big cause celeb every time an illegal alien, whether they be Chinese or Mexican or Eastern European or whatever.
[00:27:14.445 --> 00:27:22.307]  But boy, let me tell you, when there's some swim team champ and the two white knights catch him.
[00:27:23.404 --> 00:27:25.784]  I'm going to cover this more later, all the details.
[00:27:26.365 --> 00:27:31.226]  You know, catch him with a drunk woman and they tackle him and call the police.
[00:27:32.166 --> 00:27:37.107]  And then the judge and the police and the probation officer and everybody.
[00:27:37.127 --> 00:27:45.088]  This guy had no criminal record previous, but the officer already signed in case he goes on probation, says, you know what?
[00:27:45.568 --> 00:27:48.309]  You need to really just give this guy time served for six months.
