[00:00:02.674 --> 00:00:04.155]  You have the power.
[00:05:46.056 --> 00:05:47.097]  And folks, you can't lose.
[00:05:47.097 --> 00:05:49.798]  It's full of stuff that's great for your body, period.
[00:05:49.798 --> 00:05:49.918]  And...
[00:05:50.658 --> 00:05:51.699]  You support the broadcast.
[00:05:51.699 --> 00:05:53.039]  Infowarslives.com.
[00:05:53.039 --> 00:05:55.301]  Thank you, Dr. Group from the Global Healing Center.
[00:05:55.301 --> 00:06:07.587]  Thank you so much for all your work, sir, on this great product.
[00:06:07.587 --> 00:06:15.252]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:06:23.354 --> 00:06:25.485]  I'm begging you to touch and go.
[00:06:32.478 --> 00:06:36.619]  It is Sunday, the 26th day of June 2016.
[00:06:36.619 --> 00:06:38.879]  I'm your host Alex Jones.
[00:06:38.879 --> 00:06:42.040]  We'll be here live for the next two hours as we are every Sunday 4 to 6 p.m.
[00:06:42.040 --> 00:06:55.982]  Central Live and re-aired on Fine AM and FM affiliates across the United States, blasting out across the world via the somewhat still free World Wide Web, the Internet.
[00:06:55.982 --> 00:06:58.903]  My friends, obviously we have a full plate this evening.
[00:07:00.148 --> 00:07:02.670]  Don't forget, we have the weekday broadcast as well, 11 a.m.
[00:07:02.670 --> 00:07:03.330]  to 3 p.m.
[00:07:03.330 --> 00:07:07.293]  Central, and also re-aired on Fine Affiliates across the United States.
[00:07:07.293 --> 00:07:22.064]  You can always find the free audio and video feeds, the free iPhone, Android apps, and podcast links, and more at InfoWars.com forward slash show, because there's a war on for your mind.
[00:07:22.064 --> 00:07:24.526]  Those of you that are awake, those of you that know what's happening,
[00:07:25.146 --> 00:07:31.489]  You can see that the fight against globalism, the fight against world government, has now been drug out in the open.
[00:07:31.489 --> 00:07:42.715]  And the forces of human liberty and self-determination and sovereignty of the individual and the nation-state, of the man and the woman, are now becoming central.
[00:07:42.715 --> 00:07:49.639]  They've denied this globalist program was going on forever, because if you deny reality and people live in a fantasy land, well then you're never threatened as an elite.
[00:07:50.538 --> 00:07:59.751]  But we, in the liberty movement worldwide, the pro-human, pro-Renaissance, true liberal movement that Thomas Jefferson is the greatest example of.
[00:08:01.787 --> 00:08:05.011]  ...are beginning to win the info war on every front.
[00:08:05.011 --> 00:08:09.496]  The globalists still have the centralized control, but they've robbed it fraudulently.
[00:08:09.496 --> 00:08:12.980]  They have gotten into control by deceit, and it is illegitimate.
[00:08:12.980 --> 00:08:14.081]  It is fraud.
[00:08:14.081 --> 00:08:16.024]  It is no and void.
[00:08:16.024 --> 00:08:17.185]  We're on the march.
[00:08:17.185 --> 00:08:21.210]  The global technotronic technocracy is on the run.
[00:08:22.924 --> 00:08:46.124]  Obviously the Brexit took place Thursday and despite massive election fraud with people's votes being reversed and harassment and demonization campaigns, England voted to get out of the European Union because it maintained some of its sovereignty when it entered the UK.
[00:08:46.124 --> 00:08:50.608]  But now Scotland is threatening to try to block that vote along with Northern Ireland.
[00:08:52.363 --> 00:08:57.725]  But shows why it's not good to ever waive your rights into a larger so-called union.
[00:08:57.725 --> 00:08:59.766]  But this is a devastating victory.
[00:08:59.766 --> 00:09:01.566]  The fight's not over.
[00:09:01.566 --> 00:09:16.531]  But once you admit there's a world government, once you admit the EU is a central hub of that, once the statements of the former head of the EU, Herman Van Rompuy and others about, we're establishing world government through the EU, merging with the American Union and the Asian Union.
[00:09:16.531 --> 00:09:18.092]  I mean, these are real video clips.
[00:09:18.968 --> 00:09:21.629]  That I have in my film, The Obama Deception.
[00:09:21.629 --> 00:09:24.029]  That I have in my film, Fall of the Republic.
[00:09:24.029 --> 00:09:36.972]  I mean, I have scores of these clips of British Prime Ministers and US Senators and German Chancellors saying, we're establishing a private global corporate government with world taxes through the EU.
[00:09:36.972 --> 00:09:38.372]  It is the model of it.
[00:09:38.372 --> 00:09:42.673]  We're going to get rid of our borders and we're going to merge with the Middle East and merge with Africa.
[00:09:42.673 --> 00:09:45.534]  That's what the EU is doing now, outside of law.
[00:09:46.562 --> 00:09:51.626]  Once that debate is forced out in the open, there's no reversing it.
[00:09:51.626 --> 00:09:54.147]  Oh, the Federal Reserve's not private, it's federal.
[00:09:54.147 --> 00:09:58.050]  Well, everybody now knows it really is private and it was a giant scam.
[00:09:58.050 --> 00:10:02.713]  In national polls, 95% in Gallup wanted audited.
[00:10:02.713 --> 00:10:09.658]  We've gone from one person 20 years ago in Congress sponsoring the bill, to it passing the House and narrowly being blocked in the Senate.
[00:10:11.152 --> 00:10:13.634]  Oh, but they called us tinfoil hat people.
[00:10:13.634 --> 00:10:15.495]  Well, that gets a little old.
[00:10:15.495 --> 00:10:18.577]  Just like we told people 20 years ago.
[00:10:18.577 --> 00:10:27.122]  There was a plan to phase out the gas tax and give you a tax by the mile with a tracker box in your car.
[00:10:27.122 --> 00:10:30.724]  That's now being implemented in more than 16 states next year.
[00:10:32.463 --> 00:10:41.888]  Exactly as we said it would be, because we were reading the MIT reports, we were reading the big UN plans, we were reading the big consortium meeting documents on air.
[00:10:43.697 --> 00:10:47.698]  And now, on the West Coast, Oregon launching program to tax drivers by the mile.
[00:10:47.698 --> 00:10:49.319]  And I have the Washington Post here.
[00:10:49.319 --> 00:10:56.141]  East Coast states want to tax drivers travel, not their gas, and track everywhere you go and what you do.
[00:10:56.141 --> 00:10:57.942]  And of course, they've already done this in areas of Europe.
[00:10:57.942 --> 00:11:00.682]  On average, they double the cost of travel.
[00:11:00.682 --> 00:11:02.863]  Turning your car into a taxi.
[00:11:02.863 --> 00:11:05.864]  But, I digress.
[00:11:05.864 --> 00:11:10.165]  They want to keep us from ever having a debate about what's really going on.
[00:11:10.165 --> 00:11:10.846]  It's like the TPP.
[00:11:12.096 --> 00:11:17.099]  The Trans-Pacific Partnership's been negotiated for seven years in secret.
[00:11:17.099 --> 00:11:19.920]  Congress wasn't even allowed to read it.
[00:11:19.920 --> 00:11:25.524]  InfoWars and Drudge and other Patriot sites like WorldNetDaily made a big deal about it the last few years.
[00:11:25.524 --> 00:11:33.708]  And so, in the last six months, Congress was allowed to go in and read one page at a time, but not tell anyone what was in it.
[00:11:33.708 --> 00:11:34.649]  How could Congress
[00:11:36.693 --> 00:11:45.681]  Even under pressure, be only allowed to look at it one page at a time, when it was over 12,000 pages long.
[00:11:45.681 --> 00:11:51.265]  Well, how does the EU appoint leaders in places like Greece and Italy?
[00:11:51.265 --> 00:11:53.107]  And now they want to do it in Spain.
[00:11:53.107 --> 00:11:58.391]  They want to do it... They appoint the leaders, and it's always the former head of Goldman Sachs!
[00:11:58.391 --> 00:11:58.952]  Isn't that funny?
[00:12:00.458 --> 00:12:03.620]  And Goldman Sachs is at the heart of funding a world government project.
[00:12:03.620 --> 00:12:05.602]  This is a Goldman Sachs-J.P.
[00:12:05.602 --> 00:12:07.723]  Morgan project more than anything else.
[00:12:07.723 --> 00:12:10.185]  It's planetary corporate rule.
[00:12:10.185 --> 00:12:21.093]  And they want to just keep us in the point of always debating with the New Yorker magazine and Raw Story and more than 50 other articles I saw in the last two days.
[00:12:21.093 --> 00:12:22.354]  Didn't even have time to read them all.
[00:12:22.354 --> 00:12:23.735]  Only read five or six.
[00:12:23.735 --> 00:12:24.916]  Attacking yours truly.
[00:12:26.539 --> 00:12:40.230]  Saying I'm insane and Donald Trump's insane when he says that the British exit vote is a blow to globalism, a blow to world government, a blow to unelected bureaucracy.
[00:12:40.230 --> 00:12:48.076]  And they quote us and make fun of it and then twist quotes in things I've said to make it look like I'm saying crazy things.
[00:12:51.357 --> 00:13:00.959]  But that doesn't work because even the Associated Press has the headline that the British exit empowers Trump as a sign of populism and a blow to global government.
[00:13:00.959 --> 00:13:02.759]  Even George Soros came out and said that.
[00:13:02.759 --> 00:13:03.780]  It's crazy!
[00:13:03.780 --> 00:13:11.081]  It's like if I say the sky is blue, play you video of it being blue, and they say no, you're crazy, you're a conspiracy theorist.
[00:13:11.081 --> 00:13:19.623]  This is a so-called intellectual elite arrogantly running a giant gaslighting operation, that's a CIA psychology term, where
[00:13:21.817 --> 00:13:27.299]  The most famous example is a film, based on a play, where this guy beats the daylights out of his wife.
[00:13:27.299 --> 00:13:29.900]  Breaks her nose, knocks her, you know, cheekbones in.
[00:13:29.900 --> 00:13:33.901]  And when she's bleeding, he looks at her and says, you're insane, I didn't hit you.
[00:13:33.901 --> 00:13:42.025]  And even when she's got witnesses, he says he didn't do it, and acts super confident, and she's so overwhelmed, she thinks, okay, maybe she did it to herself.
[00:13:42.025 --> 00:13:45.106]  This is the highly suggestible dumbed-down population.
[00:13:45.106 --> 00:13:51.168]  But even a dumbed-down sleeping population, at a certain point, starts to wake up.
[00:13:52.568 --> 00:14:02.071]  So this is such an exciting time to be alive because mainstream media has a 6% trust rate now in Gallup polls and in AP polls.
[00:14:02.071 --> 00:14:04.132]  So what are they gonna do?
[00:14:04.132 --> 00:14:14.576]  What are they gonna do as they try to announce world government and global carbon taxes and taxing you by the mile and smart meters taxing you in your house and tracking everything you do and admitting they're doing it to you?
[00:14:14.576 --> 00:14:17.217]  And Zuckerberg, I forgot!
[00:14:17.217 --> 00:14:18.797]  Zuckerberg was in the New York Times.
[00:14:18.797 --> 00:14:19.497]  Guys, type it in.
[00:14:19.497 --> 00:14:20.618]  I meant to cover this Friday and didn't.
[00:14:21.681 --> 00:14:26.024]  Zuckerberg covers up his webcam camera and you should too.
[00:14:26.024 --> 00:14:35.431]  Oh my gosh, 21 years after I said cover up cameras that were starting to come in standard on some apples.
[00:14:35.431 --> 00:14:39.353]  I said it'll soon be ubiquitous and they're going to watch you with them and tax you with them.
[00:14:39.353 --> 00:14:42.956]  A few years after I warned of that because an NSA insider warned me and said they're already doing it.
[00:14:43.877 --> 00:14:56.083]  Google patented it and announced in 2003 that they were going to start watching and listening to you and sending it through third-party aggregators for corporate data mining.
[00:14:58.174 --> 00:15:00.938]  Oh, but do I get an award for telling you first?
[00:15:00.938 --> 00:15:02.059]  No, no, no.
[00:15:02.059 --> 00:15:12.494]  I'm the kook, but Zuckerberg covers his up and says you should too, and the FBI director came out two months ago and said you should cover up your webcam.
[00:15:12.494 --> 00:15:15.097]  Because it's not just corporations breaking in.
[00:15:17.543 --> 00:15:18.983]  But what about your smartphone?
[00:15:18.983 --> 00:15:22.804]  Can somebody bring me a, quote, smartphone, an Apple phone?
[00:15:22.804 --> 00:15:24.765]  Because I don't bring mine with me very often.
[00:15:24.765 --> 00:15:26.205]  I don't have mine.
[00:15:26.205 --> 00:15:30.506]  It's a limited weapon system I only use to upload videos as a shelf-based computer.
[00:15:30.506 --> 00:15:34.127]  But I know it's got globalist tech and tracking.
[00:15:34.127 --> 00:15:37.268]  No one's telling you, though, there's a built-in camera on this.
[00:15:37.268 --> 00:15:40.189]  And that by federal law, it's not allowed to be turned off.
[00:15:40.189 --> 00:15:43.790]  Even when your camera's off, even when your phone is physically turned off,
[00:15:45.180 --> 00:15:56.142]  Under the 1996 Telecommunications Act, all future computers and quote smartphones, they coined that term, have to be remotely accessed and appear like they're still off but still recording and tracking you.
[00:15:56.142 --> 00:15:56.603]  Federal law.
[00:15:57.765 --> 00:15:59.407]  Clean, pure drinking water.
[00:15:59.407 --> 00:16:00.908]  You can't survive without it.
[00:16:00.908 --> 00:16:02.109]  But where do you get it?
[00:16:02.109 --> 00:16:08.094]  Alexa Pure Pro is a brand-new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:16:08.094 --> 00:16:14.020]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:16:14.020 --> 00:16:21.687]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities.
[00:16:24.529 --> 00:16:31.253]  Including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:16:31.253 --> 00:16:33.734]  Filter capacity up to 5,000 gallons.
[00:16:33.734 --> 00:16:35.215]  Stainless steel construction.
[00:16:35.215 --> 00:16:36.256]  Easy assembly.
[00:16:36.256 --> 00:16:37.176]  Low maintenance.
[00:16:37.176 --> 00:16:39.257]  Replacement filters are simple to install.
[00:16:39.257 --> 00:16:46.541]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:16:46.541 --> 00:16:50.884]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:16:51.724 --> 00:16:57.669]  Go to InfoWarsStore.com or call 888-253-3139.
[00:16:57.669 --> 00:17:00.871]  A clean, toxic-free body is the foundation of true health.
[00:17:00.871 --> 00:17:03.233]  Deep Cleanze by InfoWarsLife.com.
[00:17:03.233 --> 00:17:10.239]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:17:10.239 --> 00:17:15.403]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:17:15.543 --> 00:17:24.990]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[00:17:24.990 --> 00:17:33.857]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research that put together the Rolls-Royce of all-in-one cleansing.
[00:17:33.857 --> 00:17:40.762]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spike G-Rex herbal processing technique.
[00:17:40.922 --> 00:17:47.309]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[00:17:47.309 --> 00:17:52.235]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:17:52.235 --> 00:17:54.177]  That's InfoWarsLife.com or call 888-253-3139.
[00:17:58.777 --> 00:18:06.960]  If you ever wanted a great deal on a powerful solar generator, but were waiting for an outrageously low price, you are not going to want to miss this important message.
[00:18:06.960 --> 00:18:07.760]  Here's why.
[00:18:07.760 --> 00:18:11.922]  My friends, we already see major power grid problems, and it's getting worse.
[00:18:11.922 --> 00:18:12.842]  So please listen.
[00:18:12.842 --> 00:18:16.544]  Solar generators really do provide life-saving electrical power.
[00:18:16.544 --> 00:18:22.926]  And unlike gas generators, solar generators run silently, emit no fumes or gases, and produce electricity from the sun.
[00:18:22.926 --> 00:18:25.227]  Whether it's dangerous summer storms, blackouts,
[00:18:25.507 --> 00:18:27.288]  Intensifying civil unrest.
[00:18:27.288 --> 00:18:30.209]  You're not going to have to suffer through it like the rest of the sheep.
[00:18:30.209 --> 00:18:32.550]  And here's the best news if you want to get one this week.
[00:18:32.550 --> 00:18:37.413]  Solutions from Science has a big sale on their fast charge solar generators.
[00:18:37.413 --> 00:18:44.136]  And they're giving away a couple thousand dollars worth of off-the-grid gear in addition to the low price for InfoWars listeners.
[00:18:44.136 --> 00:18:45.897]  So it's a good time to check it out.
[00:18:45.897 --> 00:18:47.577]  Go to gridwars.com.
[00:18:47.577 --> 00:18:49.318]  That's gridwars.com.
[00:18:49.318 --> 00:18:52.980]  It's a great opportunity to generate maximum electricity with minimum money.
[00:18:53.160 --> 00:18:54.730]  Go to gridwars.com.
[00:18:54.730 --> 00:18:56.099]  That's gridwars.com.
[00:18:58.641 --> 00:19:03.702]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:19:03.702 --> 00:19:12.364]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:19:12.364 --> 00:19:16.505]  Longevity also offers you an ingenious way to augment your income.
[00:19:16.505 --> 00:19:17.285]  And the best part?
[00:19:17.285 --> 00:19:20.165]  You'll be helping your friends and family along the way.
[00:19:20.165 --> 00:19:22.766]  Visit InfoWarsTeam.com today.
[00:19:22.766 --> 00:19:23.546]  Become a member.
[00:19:23.546 --> 00:19:27.627]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:19:27.827 --> 00:19:34.569]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:19:34.569 --> 00:19:35.529]  Another win-win.
[00:19:35.529 --> 00:19:39.270]  That's why I'm a member of the Longevity Team at InfoWarsTeam.com.
[00:19:39.270 --> 00:19:40.510]  And you can be too.
[00:19:40.510 --> 00:19:41.051]  It's simple.
[00:19:41.051 --> 00:19:43.991]  Just go to InfoWarsTeam.com today.
[00:19:43.991 --> 00:19:46.092]  Complete a short sign-up and you're part of the team.
[00:19:46.092 --> 00:19:49.353]  That's InfoWarsTeam.com or InfoWarsHealth.com.
[00:19:49.353 --> 00:19:55.655]  So many people call into my radio show and tell me how Longevity and the products at InfoWarsTeam.com have changed their lives.
[00:19:55.655 --> 00:19:56.955]  Check it out for yourself today.
[00:20:01.770 --> 00:20:20.496]  You're listening to The Alex Jones Show.
[00:20:20.496 --> 00:20:26.758]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:29.551 --> 00:20:31.633]  Monday through Friday from 11 a.m.
[00:20:31.633 --> 00:20:32.073]  to 3 p.m.
[00:20:32.073 --> 00:20:32.374]  Central.
[00:20:32.374 --> 00:20:33.135]  We're here weekdays.
[00:20:33.135 --> 00:20:35.917]  I return live Sundays 4 to 6 p.m.
[00:20:35.917 --> 00:20:36.278]  Central.
[00:20:36.278 --> 00:20:37.198]  Thank you so much for joining us.
[00:20:38.291 --> 00:20:45.736]  Coming up in the next segment, I'm going to get back into the British exit, this death blow to the EU, which is a key world government project.
[00:20:45.736 --> 00:20:47.758]  This is such a huge victory.
[00:20:47.758 --> 00:20:51.200]  But I also want to break down how the globalists are going to strike back.
[00:20:51.200 --> 00:20:53.162]  I predicted this on Thursday and Friday.
[00:20:53.162 --> 00:20:55.844]  They are now doing exactly as I predicted.
[00:20:55.844 --> 00:20:58.005]  It's not hard to understand them, though.
[00:20:58.005 --> 00:21:00.607]  They've done this to countless other nations and regions.
[00:21:00.607 --> 00:21:02.869]  It's very, very formulaic.
[00:21:02.869 --> 00:21:05.511]  But speaking of that, the UN
[00:21:08.018 --> 00:21:22.781]  The program that we see taking place in Europe and the United States is funded and pushed by the big central banks that want to have cheap labor and want to basically play different nation states and populations off against each other.
[00:21:22.781 --> 00:21:24.101]  It's classic divide and conquer.
[00:21:24.101 --> 00:21:27.202]  That's no secret.
[00:21:27.202 --> 00:21:32.503]  But if you look at the UN Migrant Borders Council,
[00:21:33.777 --> 00:21:41.560]  And the holiday they've created, World Refugee Day, that they just celebrated last week.
[00:21:41.560 --> 00:22:00.407]  This is where the globalists weaponize third-world populations from the Middle East and bring them into Europe, from Latin America and Asia, and bring them into the United States, and then organize them into internal political groups, which are then given welfare at levels even higher than U.S.
[00:22:00.407 --> 00:22:02.308]  Social Security recipients.
[00:22:03.876 --> 00:22:10.680]  17,000 plus dollars a year in basic benefits to leverage out the domestic population.
[00:22:10.680 --> 00:22:19.585]  This is classical tyranny, classical subterfuge, over-the-top treason.
[00:22:19.585 --> 00:22:22.727]  Now we've been pointing out that the last three years
[00:22:23.934 --> 00:22:41.399]  Obama went from very lax enforcement of illegals, including illegals that have felony backgrounds and convictions, aggravated felons, rapists, arsonists, bank robbers, you name it, and went to total catch and release about four years ago, and he didn't get in trouble for that.
[00:22:41.399 --> 00:22:45.680]  So then Obama went to the mother of all tyrannies.
[00:22:45.680 --> 00:22:48.701]  The illegals get into the US on trains and on buses.
[00:22:49.798 --> 00:22:56.423]  Mexico lets them in from South America and Central America, but doesn't let them stay there.
[00:22:56.423 --> 00:23:04.009]  And once they get into the country, buses are waiting at every major town and city, from California to Texas.
[00:23:04.009 --> 00:23:07.532]  And all in between, Arizona, New Mexico, Nevada, you name it.
[00:23:07.532 --> 00:23:16.458]  And they bus them to Democratic Party facilities, to public schools, to Catholic churches, where they are then put on welfare.
[00:23:17.412 --> 00:23:22.437]  And given stipends, and then part of that money is donated back to the Democrats.
[00:23:22.437 --> 00:23:23.658]  You cannot make this up.
[00:23:23.658 --> 00:23:26.800]  Now, we broke this two years ago.
[00:23:26.800 --> 00:23:28.362]  The Border Patrol called us.
[00:23:28.362 --> 00:23:29.483]  ICE called us.
[00:23:29.483 --> 00:23:32.405]  We said, wow, thank you for giving this inside info.
[00:23:32.405 --> 00:23:35.868]  And they said, listen, Mr. Jones, we gave this to Fox News.
[00:23:35.868 --> 00:23:38.070]  We gave this to the New York Times before you.
[00:23:38.070 --> 00:23:39.532]  None of them will report.
[00:23:39.532 --> 00:23:44.236]  We drove down, Adon Salazar, Jacari Jackson, Kit Daniels, Joe Biggs, and met.
[00:23:45.273 --> 00:23:51.417]  And did the interviews, with the Border Patrol agents' faces blurred out and their voices scrambled.
[00:23:51.417 --> 00:24:00.343]  And then we went to where they said go, and there were dozens of buses, four times a day, pulling up in McAllen, Texas.
[00:24:00.343 --> 00:24:02.885]  It's a small town.
[00:24:02.885 --> 00:24:14.092]  And the emergency manager told us, oh yeah, we bring them in, the Border Patrol gives them vouchers of money, we put them on Greyhound buses and send them to wherever they want to go.
[00:24:16.169 --> 00:24:23.652]  No one covered this, but Fox a little bit, because the Border Patrol union head was on and said, we complete the smuggling process.
[00:24:23.652 --> 00:24:25.873]  We've warned people, no one will tell the public.
[00:24:25.873 --> 00:24:29.574]  We get threatened with our jobs if we tell you.
[00:24:29.574 --> 00:24:32.375]  So Jakari Jackson went down and got the report.
[00:24:32.375 --> 00:24:38.317]  Now, all these years later, two years later, this was two Junes ago, here is KRGV.
[00:24:38.317 --> 00:24:39.978]  This is so amazing.
[00:24:39.978 --> 00:24:45.160]  I'm not going to play the whole report here, you can see it at InfoWars.com, but they report on it like it's no big deal.
[00:24:46.431 --> 00:24:47.912]  They're, oh, the U.N.!
