[00:00:03.132 --> 00:00:08.237]  Well, InfoWars fans are going to be in for a real treat with the return of The X-Files.
[00:03:30.549 --> 00:03:31.350]  Yeah, absolutely.
[00:03:31.430 --> 00:03:36.494]  They were all keeping tabs on everything, which made the show so relevant back then.
[00:03:36.834 --> 00:03:37.955]  But I like that attention.
[00:03:37.995 --> 00:03:39.596]  It's better than attention from Dinecourt.
[00:03:39.716 --> 00:03:40.517]  Yeah, exactly.
[00:03:40.817 --> 00:03:42.578]  Though I just heard about that now, that you
[00:03:43.639 --> 00:03:45.320]  You're a bit threatened by these guys.
[00:03:45.740 --> 00:03:47.842]  Man, I'll tell you, these are the guys to be threatened by.
[00:03:48.062 --> 00:03:50.743]  Well, you know, this is just a testament to the good work you're doing.
[00:03:50.824 --> 00:03:55.787]  I mean, if you didn't have that kind of influence, they would just ignore you completely.
[00:03:55.827 --> 00:03:57.307]  It actually just gives me the willies.
[00:03:57.448 --> 00:04:00.850]  That type of evil gives me the... Where does that come from?
[00:04:00.890 --> 00:04:01.950]  It's like another universe.
[00:04:02.090 --> 00:04:09.615]  It is another... Well, and it's that level of fear on those corporate structure parts that just indicate that there's a huge cultural shift coming.
[00:04:10.716 --> 00:04:22.708]  I've seen over the last year, you know, since we talked in this documentary that I've been showing, what I've found is that there is something larger going on that is phenomenal, that will, as you said, you know, left, right's an illusion and all that.
[00:04:23.349 --> 00:04:30.936]  We're somehow having this ability to see past these illusions, to see past these power structures that will just, I think, tear down the walls.
[00:04:30.976 --> 00:04:33.439]  Well, it's like selling icy frost
[00:04:33.439 --> 00:04:33.539]  Yeah.
[00:04:33.579 --> 00:04:33.659]  Yeah.
[00:04:33.719 --> 00:04:33.839]  Yeah.
[00:04:53.297 --> 00:04:56.761]  But I'm also seeing the discernment go up.
[00:04:56.821 --> 00:05:00.184]  People are also getting very discriminating, very selective.
[00:05:00.704 --> 00:05:05.789]  They're seen through disinfo operations very quickly, which is very encouraging.
[00:05:06.070 --> 00:05:08.332]  It is encouraging, and I think, you know,
[00:05:08.812 --> 00:05:10.274]  It's sort of the 100 monkey theory.
[00:05:10.374 --> 00:05:10.934]  You know that one?
[00:05:10.954 --> 00:05:14.618]  There's a larger collective unconsciousness that we're all keying into.
[00:05:15.058 --> 00:05:23.546]  And once that happens, then, you know, they can make all the threats they want, they can do all the sort of power grabs and pass all this legislation that turns it into a police state.
[00:05:24.227 --> 00:05:26.869]  I still believe that the larger consciousness
[00:05:27.029 --> 00:05:29.231]  The publicist will break through.
[00:05:29.251 --> 00:05:29.591]  Oh, I agree.
[00:05:29.611 --> 00:05:30.432]  Let's talk more about that.
[00:05:30.472 --> 00:05:31.572]  Because what did Gandhi say?
[00:05:31.653 --> 00:05:35.255]  First they ignore you, then they laugh at you, then they attack you, then you win.
[00:05:36.136 --> 00:05:37.357]  But the movement will win.
[00:05:37.397 --> 00:05:39.718]  I'm just wondering if I can survive the attack.
[00:05:39.778 --> 00:05:41.420]  We'll be right back.
[00:05:41.440 --> 00:05:41.860]  Stay with us.
[00:05:42.120 --> 00:05:49.946]  Dean Hagelin, who again was the star of the X-Files, one of the main stars on the show for nine seasons, ten years, and of course the lone gunman.
[00:05:55.060 --> 00:05:55.780]  Thank you very much.
[00:05:55.900 --> 00:06:07.343]  Yeah, the writers did too, and they wanted to, you know, bring up a lot more of the, the less the ghost stories and the poo monsters that they had in the X-Files and go more into the conspiracy.
[00:06:07.683 --> 00:06:12.484]  But with the comedic edge, you know, as a way of getting some of these serious things across, but in a lighthearted tone.
[00:06:12.524 --> 00:06:20.425]  You know, Coast to Coast AM, second biggest radio show in the country, it's shifted a lot out of the ghost stories and stuff into more of the new role order stuff.
[00:06:20.505 --> 00:06:24.046]  Yeah, absolutely, and the writers were trying to take that show in that direction.
[00:06:24.774 --> 00:06:26.416]  I think it was a combination.
[00:06:26.436 --> 00:06:31.722]  You know, the popularity of the gunman had a large conspiracy contingent to it and so they were going after that fan base and less from the
[00:06:43.454 --> 00:06:48.036]  The shippers and the, you know, who loved Mulder and who loved Scully kind of thing.
[00:06:48.557 --> 00:06:51.638]  Your pilot episode, tell us about that plot.
[00:06:51.818 --> 00:06:52.679]  Yeah, absolutely.
[00:06:52.739 --> 00:07:02.464]  This was a pilot episode for the Lone Gunman where the basic plot was the gunman had to stop a plane from flying into the World Trade Center.
[00:07:03.244 --> 00:07:05.085]  Uh, eight months before it actually happened.
[00:07:05.665 --> 00:07:12.229]  So, uh, when we got the script, it said, you know, plane, World Trade Center, they filmed a, uh, an entire airplane.
[00:07:12.269 --> 00:07:19.853]  They had a, a green matte screen, so they put the, uh, put the shot of the New York skyline in, with the plane flying directly at it.
[00:07:20.453 --> 00:07:27.257]  And, uh, just seconds before we get computer control, we get it back to the pilots, and the pilots can pull the plane up and, and avoid hitting the World Trade Center.
[00:07:28.377 --> 00:07:31.860]  Ladies and gentlemen, it's Alex Jones here with InfoWars Nightly News.
[00:07:31.900 --> 00:07:38.906]  We're going to be throwing it back to Leanne McAdoo here in the studio just in a few minutes, but we have some very, very exciting news.
[00:07:39.467 --> 00:07:46.813]  One of the biggest TV series in world history, sometimes getting as many as 55 million viewers per episode.
[00:07:46.833 --> 00:07:48.455]  That's close to the Super Bowl.
[00:07:49.095 --> 00:07:54.400]  The X-Files, after a decade of being gone, is coming back and the creator
[00:07:55.561 --> 00:08:10.650]  The producer, the director of many of the episodes, Chris Carter, has said what I was already told by Dean Hagel and other insiders from the original show, that a lot of it was based on the quote conspiracy theories that I myself and others developed.
[00:08:11.783 --> 00:08:13.524]  But also from Chris Carter's own research.
[00:08:14.464 --> 00:08:20.988]  Now, I'm not a big mainstream television watcher, but obviously I did watch some of the X-Files back when it was on television, and it didn't leave because it didn't have ratings.
[00:08:21.428 --> 00:08:23.689]  It left because, I guess, Carter wanted to do other things.
[00:08:23.749 --> 00:08:31.553]  Well, now he's coming back, he's giving a big interview to Entertainment Weekly, and said, hey, listen, world government's a real threat.
[00:08:33.354 --> 00:08:44.623]  You know, making a show about right-wingers, I'm basing it on libertarian Alex Jones, who's one of the main characters that the, you know, two FBI agents come to to learn what's happening.
[00:08:44.883 --> 00:08:49.366]  Geoengineering, chemtrailing, false flag terrorism, genetic engineering.
[00:08:49.787 --> 00:08:57.172]  Now remember, MIT Magazine yesterday admitted they're growing humans inside cows and inside sheep and pigs, you know, just a few days ago.
[00:08:57.673 --> 00:09:01.336]  We've known about that chastation for decades, but now it's all being admitted.
[00:09:01.376 --> 00:09:02.657]  So there's really this point where
[00:09:03.800 --> 00:09:08.783]  The elite are announcing world government, they're announcing global taxation, they're announcing the war on the family.
[00:09:09.083 --> 00:09:11.105]  They've denied all this was happening forever.
[00:09:11.485 --> 00:09:13.746]  They denied the Federal Reserve was private, now they admit it.
[00:09:14.267 --> 00:09:20.771]  And now as we race towards a global financial implosion, that the Royal Bank of Scotland said, today is imminent.
[00:09:21.331 --> 00:09:22.772]  I'm not saying it's imminent, they are.
[00:09:23.553 --> 00:09:24.973]  I'm at risk of becoming passé.
[00:09:26.249 --> 00:09:26.529]  Really?
[00:09:26.889 --> 00:09:29.931]  Because so much of what people didn't believe I was saying has come true.
[00:09:30.231 --> 00:09:31.111]  It was already true.
[00:09:31.531 --> 00:09:33.492]  It was in white papers, government documents, you name it.
[00:09:33.872 --> 00:09:34.853]  But it's amazing.
[00:09:34.873 --> 00:09:36.393]  Let's start scrolling through this if we can.
[00:09:36.834 --> 00:09:39.395]  Let's show folks the headline again in there in the control room.
[00:09:41.115 --> 00:09:45.457]  Fox X-Files reveal has controversial new theories.
[00:09:46.098 --> 00:09:47.098]  And then it goes through.
[00:09:47.258 --> 00:09:48.979]  UN takeover, 9-11 and more.
[00:09:50.119 --> 00:09:51.520]  And you scroll down into the article
[00:09:52.296 --> 00:09:54.722]  It says, you know, they're like, hey, you're basing it on Alex Jones, the right winger?
[00:09:54.742 --> 00:09:56.626]  And he says, no, he's a libertarian guy.
[00:09:57.247 --> 00:10:01.115]  And the UN world government, you know, takeover is a real deal.
[00:10:02.219 --> 00:10:04.300]  And this is based on Info Wars.
[00:10:04.660 --> 00:10:07.481]  It says that lower down in the report.
[00:10:07.521 --> 00:10:08.022]  There it is.
[00:10:08.882 --> 00:10:19.046]  It says the conspiracy theory plays a bit like Oliver Stone during his JFK pitch, only if his source material was Info Wars instead of UFO lore.
[00:10:19.687 --> 00:10:23.708]  So before they were 80% UFOs, 20% government conspiracies.
[00:10:24.008 --> 00:10:27.450]  Now they're going to be 80% government conspiracies, 20% UFOs.
[00:10:27.910 --> 00:10:29.831]  And that's exactly what Coast to Coast
[00:10:31.135 --> 00:10:39.880]  AM did about 14 years ago under the leadership of George Norey, which made the show even more successful, is they quit doing 90% space aliens and chupacabras and stuff.
[00:10:40.681 --> 00:10:49.205]  The show's on 600 stations, second biggest radio show in the world, 16 million listeners conservatively every night, just on terrestrial radio, not mentioning satellite or internet.
[00:10:49.225 --> 00:10:50.186]  It's more like 18 million.
[00:10:50.926 --> 00:10:53.568]  But new X-Files based on Alex Jones' InfoWars.
[00:10:53.588 --> 00:10:58.551]  We have the story reposted at InfoWars.com for posterity.
[00:10:59.091 --> 00:11:00.252]  But again, ladies and gentlemen,
[00:11:01.135 --> 00:11:02.976]  I used to go out to Hollywood every few months.
[00:11:03.576 --> 00:11:06.197]  I used to be on Discovery Channel shows, history shows.
[00:11:06.617 --> 00:11:08.318]  I've been in a couple of big link letter movies.
[00:11:08.958 --> 00:11:10.518]  I got offers to be in other big movies.
[00:11:11.559 --> 00:11:20.942]  In fact, I was offered major, not top roles, but supporting actor roles just in the last decade.
[00:11:21.022 --> 00:11:22.082]  I mean, for big movies.
[00:11:22.863 --> 00:11:24.203]  And I said no for a reason.
[00:11:25.224 --> 00:11:29.025]  Hollywood has been totally controlled by propagandists.
[00:11:30.034 --> 00:11:36.675]  And I knew in the underground I had a better chance of putting out my ideas because the internet was a new open platform for that.
[00:11:37.535 --> 00:11:39.656]  And then I wouldn't be able to get my ideas through Hollywood.
[00:11:39.676 --> 00:11:48.717]  I needed to change the world and have others change the world first before I would be able to then do things through Hollywood.
[00:11:49.537 --> 00:11:59.259]  But the fact that Hollywood itself, and I've talked to so many big directors, so many big actors on air, off air, everybody from Viggo Mortensen to you name it,
[00:12:01.291 --> 00:12:06.213]  That they are being suppressed and they're sick of not being able to come out and talk about what's really on their mind.
[00:12:06.534 --> 00:12:09.375]  A great example is the last Captain America from Marvel.
[00:12:09.415 --> 00:12:11.456]  Most Marvel stuff is just pure mindless tripe.
[00:12:11.896 --> 00:12:14.338]  The last Captain America, Winter Soldier, was incredible.
[00:12:15.238 --> 00:12:16.679]  I mean it's exactly what we're facing.
[00:12:16.819 --> 00:12:23.662]  AI systems exterminating millions of Americans that are seen as individualist, that won't go along with the corporate Borg takeover.
[00:12:24.182 --> 00:12:30.586]  So the fact that the X-Files creator is admitting and hat-tipping that much of what he's going to do is based off
[00:12:31.286 --> 00:12:35.967]  The theories that I bring out, the fact that he said nice things about me shows how far we've come.
[00:12:36.388 --> 00:12:43.410]  And they're going to show my view, and then Carter's view, and then, you know, because he talks about it, and then obviously someone else saying I'm full of bull, scully.
[00:12:44.050 --> 00:12:44.850]  But it doesn't matter.
[00:12:45.490 --> 00:12:47.851]  The fact is that we've come to this point.
[00:12:49.199 --> 00:12:51.002]  Shows that we're super effective.
[00:12:51.062 --> 00:12:52.584]  I mean, look at these Facebook mentions we do.
[00:12:52.604 --> 00:12:56.108]  Because we're simulcasting that right now as we tape for the Nightly News tonight.
[00:12:56.709 --> 00:12:59.112]  The average one is getting half a million views right now.
[00:13:00.273 --> 00:13:04.979]  In the last week, we've probably done eight or nine of these, over ten million views.
[00:13:05.500 --> 00:13:06.521]  So the average is going up.
[00:13:07.318 --> 00:13:11.700]  We have videos that get three million views in one day, and that's just on a Facebook platform.
[00:13:12.000 --> 00:13:13.400]  Billions of views on YouTube.
[00:13:14.180 --> 00:13:16.541]  Tens of millions of listeners every week on terrestrial radio.
[00:13:17.121 --> 00:13:22.643]  The truth is, folks, we're already as big as the X-Files was in mainstream.
[00:13:24.384 --> 00:13:25.266]  It's already happened.
[00:13:25.306 --> 00:13:26.868]  The huge success has already happened.
[00:13:27.409 --> 00:13:35.783]  It's just the establishment is trying to pretend like that's not going on and marginalize people that say, hey, Obamacare is written by foreign banks to double and triple prices.
[00:13:36.123 --> 00:13:37.085]  The Republicans wrote it.
[00:13:37.125 --> 00:13:37.886]  It's a screw job.
[00:13:38.632 --> 00:13:40.334]  They use Obama as their front to get it through.
[00:13:40.414 --> 00:13:42.636]  Or, hey, the government admits they want to take our guns.
[00:13:42.876 --> 00:13:45.799]  How dare them say that we're conspiracy theorists?
[00:13:46.399 --> 00:13:47.760]  It just doesn't work anymore.
[00:13:48.101 --> 00:13:52.124]  The people don't have confidence in the system anymore.
[00:13:52.605 --> 00:13:54.026]  It doesn't mean I have all the answers.
[00:13:54.046 --> 00:13:55.347]  It doesn't mean you have all the answers.
[00:13:55.567 --> 00:13:59.971]  But we know believing the same old story, going along with the establishment, is getting us nowhere.
[00:14:00.732 --> 00:14:17.062]  Donald Trump, whether he's good or bad, his huge success, his meteoric rise, being number one for six months, looking like he's going to get the nomination, is due to the fact that people are in open revolt and rebellion, an uprising against the system.
[00:14:18.483 --> 00:14:19.544]  It could be a ham sandwich.
[00:14:19.624 --> 00:14:21.565]  They're going to support it when the establishment attacks it.
[00:14:21.905 --> 00:14:27.869]  Their endorsement of Trump is what kills him with the establishment.
[00:14:29.278 --> 00:14:38.006]  Now to be clear, what I'm talking about here is, when they attack Trump, because that's double speak, but that's how they think, that is an endorsement to the people.
[00:14:39.568 --> 00:14:46.254]  If they wanted to hurt Donald Trump, they would actually come out and endorse him and say that he was a great guy.
[00:14:46.554 --> 00:14:48.977]  That's how much credibility they've lost.
[00:14:49.117 --> 00:14:53.321]  So to be clear, when the system attacks Donald Trump, that is an endorsement.
[00:14:54.755 --> 00:14:59.797]  Because the people hate the establishment and Congress with its 9% approval rating so much.
[00:15:00.377 --> 00:15:06.919]  So coming up tonight on the InfoWars Nightly News, Leanne will air this that we're taping right now.
[00:15:06.979 --> 00:15:09.360]  It's going out live on Facebook Mentions.
[00:15:11.000 --> 00:15:12.901]  And then she'll get into other really, really serious topics.
[00:15:13.041 --> 00:15:19.883]  I don't normally get up here and talk about issues
[00:15:22.045 --> 00:15:24.566]  That are dealing with entertainment, but I've said this more and more on air.
[00:15:27.346 --> 00:15:34.988]  We need to do this because 20% or so of the propaganda and brainwashing is in newspapers and on the nightly news and on international news.
[00:15:35.569 --> 00:15:37.249]  That's where they're engaged in their brainwashing.
[00:15:37.549 --> 00:15:46.732]  But so many people have just tuned out of mainstream media because they know it's deceptive and they're getting their information from fiction, from Hollywood movies, from films, from books.
[00:15:49.929 --> 00:15:51.510]  And sometimes that's good, sometimes that's bad.
[00:15:51.550 --> 00:15:52.090]  It's a mix.
[00:15:52.951 --> 00:15:56.913]  So the real fight, though, is in the fiction.
[00:15:57.193 --> 00:16:00.194]  The real fight is going on on shows like The X-Files.
[00:16:00.855 --> 00:16:03.996]  And so I'm going to sit back and watch and see what happens.
[00:16:04.056 --> 00:16:10.179]  But I hope they try to bring out some of these big topics because NASA admits they're geoengineering the planet with chemtrails.
[00:16:10.599 --> 00:16:11.740]  They just call it geoengineering.
[00:16:12.300 --> 00:16:15.542]  The system admits they're adding virus stimulants to vaccines.
[00:16:15.863 --> 00:16:19.425]  They admit they're engaged in genetic engineering against the people.
[00:16:19.745 --> 00:16:33.955]  It's all though admitted dryly in white papers, what I do is cover it in a flamboyant and exciting way, because as a watchman on the wall watching enemies invade, I've got to yell and scream and blow trumpets to get people awake and to get people involved.
[00:16:34.255 --> 00:16:35.236]  And that's what I'm trying to do.
[00:16:35.276 --> 00:16:36.717]  And I'm not perfect, but I'm real.
[00:16:37.217 --> 00:16:37.997]  I'm unscripted.
[00:16:38.238 --> 00:16:41.640]  I'm teleprompter free, trying to promote a better, freer world.
[00:16:46.444 --> 00:16:52.508]  Again, ladies and gentlemen, you can get six months free at PrisonPlanet.tv, but only for one more week.
[00:16:52.689 --> 00:16:55.931]  Next Monday, the special that only comes around once the year ends.
[00:16:56.011 --> 00:17:07.000]  In fact, we've never offered six months free before, but I really want to get more people to join and be able to watch the nightly news, to see the live reports we do, the special reports, all my films, e-books, and so much more.
[00:17:07.580 --> 00:17:10.362]  One person can share their membership with 20 people.
[00:17:11.283 --> 00:17:19.430]  And you are funding the absolute, very leading edge, the vanguard of the resistance to the globalist operation on every front.
[00:17:19.570 --> 00:17:24.233]  We have to have our own platform that is harder for them to censor, harder for the system to shut down.
[00:17:24.394 --> 00:17:26.055]  PrisonPlanet.tv.
[00:17:26.135 --> 00:17:31.679]  We put out the daily radio show free with the video and audio feeds at Infowars.com forward slash show.
[00:17:31.820 --> 00:17:39.826]  But it is the members that get the nightly news exclusively and first and the commercial free video podcasts and audio podcasts that are
[00:17:39.926 --> 00:17:55.593]  Paying it forward and financing and helping so many other people see the truth when we put the videos on Facebook, YouTube, and it's PrisonPlanet.TV that finances so much of the cameras, the equipment, the crew.
[00:17:55.913 --> 00:17:57.334]  Another GOP debate is upon us.
[00:18:19.744 --> 00:18:26.406]  When you had the World Trade Center go, people were put into planes that were friends, family, and they were sent back.
[00:18:26.706 --> 00:18:27.727]  They knew what was going on.
[00:18:28.027 --> 00:18:31.388]  They went home and they wanted to watch their boyfriends on television.
[00:18:31.488 --> 00:18:35.829]  Who else would come back like that at the Bushes and the Clintons calling them criminals?
[00:18:36.009 --> 00:18:36.710]  And the Saudis.
[00:18:36.910 --> 00:18:37.990]  Guys, go back to your live feeds.
[00:18:38.230 --> 00:18:40.391]  You see, we don't have rights in America.
[00:18:41.011 --> 00:18:43.333]  Only the people who are outside of this country have a right.
[00:18:43.353 --> 00:18:46.495]  The only right that anybody has is to come live in America.
[00:18:46.755 --> 00:18:49.236]  Presumably to live off of us, if that's what they choose.
[00:18:49.536 --> 00:18:52.779]  They can come live off of us, they can come create war in our country.
[00:18:52.999 --> 00:18:53.639]  That's their right.
[00:18:54.079 --> 00:18:55.820]  But people in America don't have rights.
[00:18:55.920 --> 00:19:00.804]  The first and most important priority of the President of the United States is to protect the safety and security of America.
[00:19:00.824 --> 00:19:01.284]  No it isn't!
[00:19:01.744 --> 00:19:02.845]  You're disqualified.
[00:19:03.206 --> 00:19:10.612]  You have an oath to the Constitution, and the oath to the Constitution says, and the Declaration of Independence says, you are created to protect our freedoms.
[00:19:11.053 --> 00:19:11.273]  Right.
[00:19:11.593 --> 00:19:12.934]  Not to keep us safe.
[00:19:13.335 --> 00:19:14.276]  They didn't want safety.
[00:19:14.316 --> 00:19:18.980]  They wouldn't have rebelled against the strongest government in the world if their first priority was safety.
[00:19:19.020 --> 00:19:20.181]  Their first priority was liberty.
[00:19:20.481 --> 00:19:22.003]  They created a government to protect that.
[00:19:22.143 --> 00:19:23.124]  I'm sick of these people.
[00:19:23.524 --> 00:19:26.627]  If we want to defend the country, we have to defend against who's coming in.
[00:19:26.647 --> 00:19:32.773]  And Marco has more of an allegiance to Chuck Schumer and to the liberals than he does to conservative policy.
[00:19:33.173 --> 00:19:36.517]  Do you really think that Republicans have fueled the rise of ISIS?
[00:19:38.275 --> 00:19:39.476]  Yeah, where's she been?
[00:19:39.516 --> 00:19:40.036]  Who is she?
[00:19:40.116 --> 00:19:40.657]  Where is she?
[00:19:40.677 --> 00:19:41.837]  What's she been doing?
[00:19:41.857 --> 00:19:42.438]  Who is this pimpo?
[00:20:00.649 --> 00:20:04.650]  These are a bunch of Morlocks, and the American people are a bunch of Eloi.
[00:20:04.750 --> 00:20:07.651]  When they talk about serving America, you're on the menu.
