[00:00:11.803 --> 00:00:13.144]  ...is a complete idiot.
[00:03:26.228 --> 00:03:30.992]  Look, some people are sore losers and, you know, we just, we just gotta keep going.
[00:03:31.172 --> 00:03:41.295]  The same hag who lectured us about being sore losers refused to even concede to Trump on election night until Obama basically forced her to.
[00:03:41.375 --> 00:03:47.236]  She also reneged on a deal with Trump to concede within 15 minutes of the Associated Press announcing the winner.
[00:03:47.296 --> 00:03:56.418]  Now George Soros, globalist despot who specializes in overthrowing democratically elected governments, has been connected to the recount campaign.
[00:03:56.658 --> 00:03:58.319]  Well imagine my shock.
[00:03:58.459 --> 00:03:58.759]  Listen.
[00:03:58.939 --> 00:04:05.045]  Don't think that just because Trump won the presidency, they're actually going to let him become president without a fight.
[00:04:05.165 --> 00:04:07.468]  The political elite don't play by the rules.
[00:04:07.708 --> 00:04:12.153]  The rioting, hateful, butthurt, intolerant left are their attack dogs.
[00:04:12.393 --> 00:04:17.358]  They're perfectly willing to trash democracy when the result doesn't go their way.
[00:04:17.478 --> 00:04:18.319]  Look at Brexit.
[00:04:18.519 --> 00:04:22.902]  Nearly six months later, they're still doing everything to sabotage it.
[00:04:22.962 --> 00:04:26.784]  Between now and January, we have a massive battle on our hands.
[00:04:26.984 --> 00:04:27.965]  Listen up, Jill!
[00:04:28.345 --> 00:04:30.826]  We know you have complete contempt for democracy.
[00:04:31.006 --> 00:04:33.588]  We know you're bought and paid for by Team Hillary.
[00:04:33.928 --> 00:04:50.492]  We know you're a lying piece of s**t. Why not just admit the real reasons for all this and stop pretending it's about electoral integrity, while you simultaneously praise dictators who once imprisoned and killed those who actually fought for electoral integrity?
[00:04:50.632 --> 00:05:00.855]  Take your George Soros money, go back to being a political failure, and stop being used as a pawn to overturn the democratic will of the American people.
[00:05:02.130 --> 00:05:03.811]  Well done, Bolonzo!
[00:05:03.931 --> 00:05:04.891]  Well done!
[00:05:07.112 --> 00:05:17.356]  All the latest straight ahead on this Tuesday edition.
[00:05:20.357 --> 00:05:28.280]  Anthony Gucciardi joins us to talk about Bio PCA, the latest formula to be announced and released by InfoWarsLife.com.
[00:05:28.341 --> 00:05:31.422]  They're true game changers, they're organic, they're proven as safe.
[00:05:32.230 --> 00:05:34.091]  And they're also very affordable.
[00:05:56.218 --> 00:06:02.967]  Went on what Mother Nature gave us, and it's changed my life, and it's also helped the Infowar change the country and the world.
[00:06:03.368 --> 00:06:04.129]  It's a win-win.
[00:06:04.609 --> 00:06:05.390]  Infowarslife.com.
[00:06:10.626 --> 00:06:13.967]  If you look at Bill Clinton, far worse.
[00:06:14.207 --> 00:06:15.888]  Minor words and his was action.
[00:06:16.468 --> 00:06:18.009]  His was what he's done to women.
[00:06:18.049 --> 00:06:23.711]  There's never been anybody in the history of politics in this nation that's been so abusive to women.
[00:06:23.931 --> 00:06:26.252]  Bill Clinton was abusive to women.
[00:06:26.612 --> 00:06:32.794]  Hillary Clinton attacked those same women and attacked them viciously, four of them here tonight.
[00:06:32.914 --> 00:06:38.216]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[00:06:49.062 --> 00:06:51.803]  There is an information warfare happening right now.
[00:06:52.664 --> 00:06:54.104]  It's a fight for our minds.
[00:06:54.785 --> 00:06:56.705]  And InfoWars.com is on the front lines.
[00:06:57.046 --> 00:07:01.247]  Download our free multimedia app at InfoWars.com forward slash app.
[00:07:01.367 --> 00:07:04.729]  It's free, it's on Droid, it's on Apple, you name it.
[00:07:04.809 --> 00:07:06.330]  InfoWars.com forward slash app.
[00:07:10.825 --> 00:07:11.725]  Whoa!
[00:07:12.065 --> 00:07:15.366]  What's radical Islam got to do with it?
[00:07:16.526 --> 00:07:20.927]  Who needs a gun when you have a machete?
[00:07:21.107 --> 00:07:23.188]  Hey, this is Joe Biggs with InfoWars.com.
[00:07:23.288 --> 00:07:25.228]  Officials investigating anti-U.S.
[00:07:25.288 --> 00:07:28.829]  Facebook rant believed linked to be the OSU attacker.
[00:07:28.989 --> 00:07:31.069]  Authorities are investigating an anti-U.S.
[00:07:31.109 --> 00:07:39.931]  rant posted on Facebook just minutes before the Ohio State University attack yesterday that is believed to be linked to a suspect named Abdul Razik Ali Artan.
[00:07:40.131 --> 00:07:42.252]  The post reads, I can't take it anymore, America.
[00:07:42.433 --> 00:07:46.315]  Stop interfering with our other countries, especially the Muslim Ummah.
[00:07:46.435 --> 00:07:47.276]  We are not weak.
[00:07:47.456 --> 00:07:48.096]  Remember that.
[00:07:48.256 --> 00:07:58.323]  And then, he goes to show us how not weak he is by driving a car into a crowd of innocent people where he steps out with a butcher's knife and starts hacking people up.
[00:07:58.443 --> 00:07:59.664]  That's right, you're not weak.
[00:07:59.904 --> 00:08:00.865]  You're a coward.
[00:08:01.045 --> 00:08:01.946]  And now you're dead.
[00:08:02.166 --> 00:08:03.787]  You brought a knife to a gunfight.
[00:08:03.887 --> 00:08:07.449]  You went to a gun-free zone and got shot down by one hero cop.
[00:08:07.529 --> 00:08:09.831]  This has been Joe Biggs with Infowars.com.
[00:08:22.479 --> 00:08:23.099]  We're live!
[00:08:24.280 --> 00:08:28.063]  29th day of November on this Tuesday Global Transmission.
[00:08:28.083 --> 00:08:34.147]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:37.089 --> 00:08:38.710]  The Alex Jones Show.
[00:08:39.150 --> 00:08:41.652]  Because there is a war on for your mind.
[00:08:41.692 --> 00:08:46.474]  And here's the latest from the Communist News Network, their latest fake news.
[00:08:48.735 --> 00:08:57.920]  Bigots, racists, misogynists feel legitimized and justified by this election, which is why I hope that Donald Trump does much more to lower the temperature.
[00:08:58.520 --> 00:09:01.362]  This election was like boiling water.
[00:09:01.742 --> 00:09:04.744]  When you put water to boil and the thing starts to bubble,
[00:09:05.404 --> 00:09:05.744]  I don't
[00:09:21.049 --> 00:09:21.789]  Not tweeting out!
[00:09:22.250 --> 00:09:28.874]  Not tweeting angry tweets against Jeff Seleny, our colleague, or CNN, or Hamilton cast, or whatever.
[00:09:28.914 --> 00:09:34.738]  You know me, look, when a two-year-old throws a tantrum, he throws himself on the floor and he starts kicking and screaming.
[00:09:35.078 --> 00:09:38.320]  When 70-year-old Donald Trump throws a tantrum, he goes to Twitter.
[00:09:38.641 --> 00:09:40.762]  It's time that somebody give him his medication.
[00:09:41.022 --> 00:09:43.784]  He has tweeted out five tweets against CNN in the last hour.
[00:09:45.385 --> 00:09:59.013]  This is a man who's got 4,000 positions to fill, a cabinet to fill, intelligence briefings to attend, and he's tweeted out 13 tweets against inexistent voter fraud and the recount, five tweets against CNN and Jeff Selene.
[00:09:59.674 --> 00:10:01.114]  Come on, you're president-elect.
[00:10:01.214 --> 00:10:02.215]  Dude, you won.
[00:10:02.275 --> 00:10:03.536]  You're president-elect.
[00:10:03.676 --> 00:10:04.156]  I like it.
[00:10:08.179 --> 00:10:10.260]  Are we living on the same planet as that lady?
[00:10:13.044 --> 00:10:14.425]  I mean, this is what CNN does.
[00:10:15.185 --> 00:10:18.948]  Trump counters the continued, over-the-top, bald-faced lies about him.
[00:10:19.488 --> 00:10:24.451]  Thank God we have a president that doesn't have a filter through a bunch of political wonks.
[00:10:25.392 --> 00:10:26.333]  That's what they're scared of.
[00:10:26.393 --> 00:10:33.157]  The whole bureaucracy, the ruling class, the fifth estate that's been running this country to the ground is in total panic mode right now.
[00:10:34.198 --> 00:10:39.181]  Lying, cheating, stealing, misrepresenting like they've never done before, and the new talking point
[00:10:40.191 --> 00:10:41.932]  Is that Donald Trump needs medication.
[00:10:41.972 --> 00:10:48.035]  As soon as I saw this last night, I thought, I wonder what else they're up to.
[00:10:48.075 --> 00:10:50.136]  So I went and I googled Trump and click news.
[00:10:51.036 --> 00:10:53.577]  And surprise, surprise, guess what I got?
[00:10:53.717 --> 00:10:55.278]  The new talking point had gone out.
[00:10:57.379 --> 00:11:04.162]  These people are so controlled that everything they do is put out by the think tanks and they all go out and parrot it thinking it has a bigger effect.
[00:11:07.318 --> 00:11:09.199]  How to keep Trump from becoming President.
[00:11:09.259 --> 00:11:12.681]  25th Amendment could declare a Republican mentally unfit.
[00:11:12.761 --> 00:11:16.643]  That's in the Washington Post, International Business Times, it's just everywhere.
[00:11:18.484 --> 00:11:25.488]  Meanwhile, the folks that are mentally unfit to rule are the people at CNN that won't let you wear a cross, but have women wear hajibs.
[00:11:27.989 --> 00:11:34.993]  They're the people that, as we speak this morning, are still asking about the Ohio State
[00:11:36.730 --> 00:11:40.473]  Attack that they're still, as of last night, calling a gun attack.
[00:11:42.334 --> 00:11:43.255]  And here's the headline.
[00:11:44.056 --> 00:11:47.699]  Investigators search for motive in Ohio State University campus attack.
[00:11:48.379 --> 00:11:51.542]  Gee, he was an Islamist who's pledged to ISIS from Somalia.
[00:11:53.043 --> 00:11:54.804]  That's been out since yesterday.
[00:11:55.525 --> 00:11:58.707]  But not when you go to News One or CNN.
[00:11:58.767 --> 00:11:59.148]  Why?
[00:11:59.168 --> 00:12:04.512]  Oh, he'd been some right-winger like that idiot at the South Carolina church.
[00:12:06.966 --> 00:12:11.970]  It would have been the collective guilt of every white person that he shot and killed nine people.
[00:12:13.111 --> 00:12:18.576]  But because it's another jihadi... I don't get the thing with Somalis, man.
[00:12:18.596 --> 00:12:22.099]  They are like the very favorite group to ship in by the government.
[00:12:24.401 --> 00:12:29.024]  98,799 Somali refugees settled in the U.S.
[00:12:29.144 --> 00:12:29.825]  since 9-11.
[00:12:32.327 --> 00:12:35.610]  The Republicans have been behind it for much of the time, I should add.
[00:12:38.126 --> 00:12:42.707]  Charlotte-area ISIS suspect expected to plead guilty to terrorism-related charges.
[00:12:42.727 --> 00:12:45.208]  That's just a little side issue.
[00:12:45.228 --> 00:12:47.349]  85 languages spoken in Buffalo, New York schools.
[00:12:48.209 --> 00:12:50.990]  As Buffalo News basically describes it as the Tower of Babel.
[00:12:51.070 --> 00:12:52.030]  No one can learn anything.
[00:12:52.090 --> 00:12:55.431]  It's just total collapse, which is the balkanization plan.
[00:12:56.011 --> 00:12:59.212]  Don't make anybody accept English, which by the way is the global language.
[00:12:59.252 --> 00:13:00.493]  It's the number one language you should learn.
[00:13:00.793 --> 00:13:02.573]  Then Chinese, then Spanish.
[00:13:03.314 --> 00:13:04.174]  Those are the three you need.
[00:13:06.172 --> 00:13:07.153]  People try to learn French.
[00:13:07.173 --> 00:13:08.353]  No offense to the French.
[00:13:08.454 --> 00:13:09.454]  That's the dead language.
[00:13:10.175 --> 00:13:11.195]  They don't let it expand.
[00:13:11.255 --> 00:13:12.436]  They don't let new words in.
[00:13:12.937 --> 00:13:14.438]  English is a mongrel language.
[00:13:14.538 --> 00:13:15.438]  So it expands.
[00:13:15.498 --> 00:13:16.019]  It's dominant.
[00:13:16.399 --> 00:13:17.279]  It's the master language.
[00:13:17.319 --> 00:13:20.462]  It will be spoken if humans survive on distant star bases.
[00:13:20.602 --> 00:13:21.122]  Nothing else.
[00:13:22.603 --> 00:13:23.183]  English is dead.
[00:13:23.343 --> 00:13:24.424]  Just, everybody knows.
[00:13:24.985 --> 00:13:26.906]  Because English is not even a language.
[00:13:26.966 --> 00:13:28.127]  It is a master language.
[00:13:29.468 --> 00:13:31.889]  It's four different Germanic languages.
[00:13:31.909 --> 00:13:35.331]  It's several Romance languages.
[00:13:36.448 --> 00:13:44.731]  Then it's got Viking, Northern European languages, and they even found Asian base words.
[00:13:45.992 --> 00:13:47.152]  And that was Old English.
[00:13:48.633 --> 00:13:51.074]  That's why English takes over, because it isn't a language.
[00:13:51.134 --> 00:13:53.114]  It's a mongrel fusion.
[00:13:54.055 --> 00:13:55.055]  It's the ultimate mutt.
[00:13:55.815 --> 00:13:57.156]  That's why nothing can top English.
[00:13:58.176 --> 00:13:59.837]  It's one of the hardest languages to learn as well.
[00:14:03.703 --> 00:14:05.445]  But at its base, it's a Germanic language.
[00:14:05.505 --> 00:14:06.405]  It is the dominant language.
[00:14:06.425 --> 00:14:07.647]  Let's just get that out for everybody.
[00:14:07.667 --> 00:14:11.230]  Now, I don't care what language was dominant, but people are like, oh, have your kids learn French.
[00:14:11.290 --> 00:14:12.651]  I'm like, they're going to learn Spanish.
[00:14:12.691 --> 00:14:13.472]  They live in Texas.
[00:14:16.374 --> 00:14:19.157]  My kids are like, well, I want to take, you know, German.
[00:14:19.217 --> 00:14:22.420]  I'm like, sweetheart, you ain't going to be needing German, okay?
[00:14:23.000 --> 00:14:23.661]  What about French?
[00:14:23.701 --> 00:14:25.282]  No, we're not going to take French.
[00:14:25.302 --> 00:14:26.383]  Well, the French teacher's real nice.
[00:14:26.924 --> 00:14:27.484]  That's nice.
[00:14:27.725 --> 00:14:29.126]  You're going to learn Spanish right now.
[00:14:32.469 --> 00:14:33.009]  You need to learn.
[00:14:33.629 --> 00:14:36.150]  If you live in North America, you need to learn English and then Spanish.
[00:14:36.250 --> 00:14:39.531]  If you live globally, you want to learn English, Spanish, and Chinese.
[00:14:40.171 --> 00:14:40.931]  I don't want to digress.
[00:14:41.011 --> 00:14:43.832]  It's just... These are facts.
[00:14:43.872 --> 00:14:45.152]  These are not conspiracy theories.
[00:14:45.252 --> 00:14:50.233]  I know I'm a commoner, just an average guy with a giant 40 million, you know, a week listenership now.
[00:14:50.333 --> 00:14:51.934]  I'm not supposed to, you know, give you my views.
[00:14:52.054 --> 00:14:54.414]  Only CNN can, but I'm just laying out the facts here.
[00:14:57.635 --> 00:14:59.616]  WikiLeaks has released more than half a million U.S.
[00:14:59.656 --> 00:15:00.376]  diplomatic cables.
[00:15:00.396 --> 00:15:01.156]  We're going to go on over that.
[00:15:02.893 --> 00:15:05.977]  State's first locally transmitted Zika virus found in South Texas.
[00:15:05.997 --> 00:15:06.638]  Boy, isn't that great?
[00:15:09.502 --> 00:15:10.603]  Now that's not even our top stories.
[00:15:10.623 --> 00:15:15.370]  That's just a particular stat because we don't know why another Somali went and stabbed a bunch of people.
[00:15:15.410 --> 00:15:15.610]  Why?
[00:15:15.630 --> 00:15:17.893]  We just have no idea.
[00:15:17.933 --> 00:15:18.494]  There's a motive.
[00:15:18.514 --> 00:15:20.096]  Either he's running around screaming, Allah Akbar!
[00:15:24.059 --> 00:15:25.700]  Now, I've got so much to get to.
[00:15:26.221 --> 00:15:31.525]  Before I get into massive censorship, let me hit this first, just so everybody knows where we stand.
[00:15:32.265 --> 00:15:40.752]  There's Quantcast, there's Digital Vision, there's a lot of different internet rating services that mainly use a fusion of Google Analytics and other platforms.
[00:15:41.352 --> 00:15:44.355]  And ad agencies really want these numbers, so these are some of the most accurate numbers.
[00:15:45.424 --> 00:15:53.790]  When you look at something like Alexa, it had decent numbers, but still a small sampling, so it wasn't one of the better ones to look at even 10 years ago for advertisers, and ad agencies weren't using it 10 years ago.
[00:15:55.031 --> 00:16:04.619]  When Bezos, two and a half years ago, had it delist basically any libertarian or conservative site by 80%, on one day, people just quit using it.
[00:16:04.659 --> 00:16:06.000]  See, he destroyed himself.
[00:16:06.460 --> 00:16:08.802]  You can only have censorship if there's censorship across the board.
[00:16:08.842 --> 00:16:12.365]  You can't have it just in a spot here, a spot there, you automatically discredit yourself.
[00:16:14.138 --> 00:16:17.001]  So when I mention the ratings, we're 126 on Quantcast.
[00:16:17.021 --> 00:16:18.804]  That's much bigger than BBC or the New York Times.
[00:16:20.748 --> 00:16:27.011]  And I looked at Quantcast and I compared to our Google Analytics and I said, well, we're even higher on our Google Analytics.
[00:16:27.031 --> 00:16:28.012]  We're like 80-something.
[00:16:28.472 --> 00:16:29.152]  And I said, it's weird.
[00:16:29.192 --> 00:16:35.756]  I said, Drudge is in the top 10 according to our Google Analytics if we run his numbers, which we don't have a lot of time to do this, but I could sit back there all day doing it.
[00:16:35.796 --> 00:16:37.697]  We have the access to supercomputers.
[00:16:37.717 --> 00:16:38.457]  That's what Google is.
[00:16:38.477 --> 00:16:40.098]  And we're partners with it.
[00:16:40.138 --> 00:16:41.038]  I'm honest about that.
[00:16:41.098 --> 00:16:45.461]  Partners with the devil to be able to, you know, stare into the eye of Sauron and understand what's happening.
[00:16:46.283 --> 00:16:47.664]  I said, you know, Drudge is bigger than that.
[00:16:48.184 --> 00:16:49.325]  I said this a few weeks ago.
[00:16:49.745 --> 00:17:05.833]  Well, Digital Vision has done their own analysis and Drudge is number one in news, but number three on the web total only after ESPN and MSN, because MSN has a bunch of email accounts and other people on it.
[00:17:07.153 --> 00:17:09.114]  So Drudge is number three in the world total.
[00:17:09.174 --> 00:17:14.037]  I'm not kissing Drudge's butt, I just wanted to be accurate because our own analysis showed Drudge in the top ten.
[00:17:15.424 --> 00:17:15.684]  I don't
[00:17:39.389 --> 00:17:45.653]  is in free fall, and anything that's outside of that, including independent left-wing sites, you name it, are also going up.
[00:17:45.693 --> 00:17:54.198]  So it's not just conservative libertarians that are going up, it is anybody that people see as basically unfiltered, like Donald Trump.
[00:17:54.218 --> 00:17:56.639]  You know, he just got elected in the landslide of the presidency.
[00:17:57.640 --> 00:17:59.381]  But look at DrudgeReport.com right now.
[00:18:00.742 --> 00:18:01.883]  X out that Cadillac head.
[00:18:02.463 --> 00:18:02.903]  Boom!
[00:18:03.043 --> 00:18:05.505]  Drudge tops election month coverage.
[00:18:07.274 --> 00:18:09.775]  1.7 billion views, best of 21 years.
[00:18:12.096 --> 00:18:13.276]  That feels really good, doesn't it?
[00:18:13.296 --> 00:18:24.480]  Because if I've seen a hundred articles, I'm not going to exaggerate, without looking in the last 15 years, I have seen an assault level.
[00:18:24.561 --> 00:18:33.744]  I mean, it's got to be a thousand articles saying that Drudge doesn't have any viewers or any visitors and that Drudge is a big joke and Drudge is over and Drudge is old and blah blah blah blah blah blah blah.
[00:18:34.503 --> 00:18:38.026]  As I could go to the Google Analytics or any other rating service and see Drudge only going up.
[00:18:39.327 --> 00:18:40.368]  And they do that to us, too.
[00:18:40.428 --> 00:18:41.709]  It's like the Mark Twain quote.
[00:18:43.610 --> 00:18:46.052]  Rumors of my demise have been greatly exaggerated.
[00:18:47.333 --> 00:18:49.455]  This is what the fake news media does.
[00:18:50.075 --> 00:18:52.017]  They're the ones that told you Obamacare was free.
[00:18:52.057 --> 00:18:54.199]  They were the ones that told you there were WMDs in Iraq.
[00:18:54.779 --> 00:18:57.021]  They were the ones that blamed Iraq and all the Saudis for 9-11.
[00:18:57.121 --> 00:18:57.802]  They're the ones that
[00:18:58.837 --> 00:19:01.418]  Tell you the family's bad and that gun crime's up when it's not.
[00:19:02.178 --> 00:19:05.038]  They're a pack of criminal liars trying to lie to you.
[00:19:06.199 --> 00:19:11.160]  Do we occasionally, once a week, put out some article that's wrong and I'm calling people going, this is BS, get it down now.
[00:19:12.360 --> 00:19:13.460]  Absolutely we make mistakes.
[00:19:14.020 --> 00:19:18.841]  Then I run around neurotically trying to fix it because I really want to be accurate.
[00:19:20.102 --> 00:19:22.182]  And sometimes what stuff we say is taken out of context.
[00:19:22.522 --> 00:19:26.043]  So I gotta be careful about that, but that's the media doing that, it's not my fault, but still I gotta be careful.
[00:19:28.882 --> 00:19:43.340]  But when it just comes to them declaring that they're the arbiters and they decide, the Washington Post yesterday, we come back and we're talking about this briefly and they get another news, and to their credit even Rolling Stone came out and said it was bad, the Guardian said it was bad.
[00:19:45.933 --> 00:19:50.675]  Put out this giant list of things they say aren't real news and should be shut down, including Drugs Report and InfoWars.
[00:19:51.756 --> 00:19:53.417]  And this is a total blacklist.
[00:19:53.477 --> 00:19:54.617]  It's beyond McCarthyism.
[00:19:54.677 --> 00:19:57.839]  So this is how desperate they are because we're much bigger than them.
[00:19:57.899 --> 00:20:01.741]  So we have to keep declaring that or folks won't understand what's happening.
[00:20:02.161 --> 00:20:03.862]  We've already beat them intellectually.
[00:20:04.462 --> 00:20:06.083]  Now we've got to remove them politically.
[00:20:06.984 --> 00:20:07.484]  Stay with us.
[00:20:10.891 --> 00:20:15.037]  I mentioned this on the show before, bringing back life to the inner cities in America.
[00:20:15.477 --> 00:20:17.720]  Of course, that means bringing jobs back home.
[00:20:18.341 --> 00:20:22.547]  But you know, the other day I looked on a search engine and I found in Chicago...
[00:20:23.771 --> 00:20:28.455]  Not just an urban farm, but a directory of urban farms.
[00:20:29.055 --> 00:20:39.543]  I saw at least eight of these local operations that are all geared to growing fresh nutritious food for people by people who live there and so on and so forth.
[00:20:40.244 --> 00:20:41.845]  That's a revolution right there.
[00:20:42.646 --> 00:20:49.671]  Let's put a hundred, a thousand, five thousand of these urban farms in inner cities across America for a pittance.
[00:20:50.541 --> 00:20:53.443]  People themselves could form them as businesses and make money.
[00:20:54.003 --> 00:20:56.765]  If Trump is listening to this, here's a clue.
[00:20:57.165 --> 00:20:59.126]  You want to bring back inner cities?
[00:20:59.907 --> 00:21:10.233]  Of course you offer people jobs, good jobs, and also programs like this that for a tiny amount of money can reverse life completely in these inner cities.
[00:21:10.833 --> 00:21:11.634]  So I think
[00:21:13.007 --> 00:21:24.168]  That the new administration in Washington, if they have a clue about anything, and they seem to, are going to be listening to people like us because we've been looking at solutions all along.
[00:21:24.835 --> 00:21:26.056]  This is nothing new for us.
[00:21:26.156 --> 00:21:32.020]  Just point out to the people that very quickly they can make this into a profit-making business of their own.
[00:21:32.460 --> 00:21:37.844]  So they can eat fresh, nutritious food that they grow for nothing, and then they can sell the food.
[00:21:38.444 --> 00:21:42.187]  And all of a sudden, you've got free market coming back into the inner cities.
[00:21:42.287 --> 00:21:45.349]  And my feeling is, and I mentioned this to a couple of friends yesterday,
[00:21:46.343 --> 00:21:53.526]  If you're living in an inner city and all of a sudden it starts to blossom with, you know, one of these, several of these enterprises.
[00:21:54.366 --> 00:22:00.169]  Growing food naturally, growing it outdoors, growing it in abandoned buildings, growing it in all kinds of places.
[00:22:00.969 --> 00:22:07.312]  Now, the people that live there are invested in that community in a way that they've never been before in their memory.
[00:22:08.112 --> 00:22:12.734]  Now they're feeding themselves and growing food and selling the food and making a profit.
[00:22:13.094 --> 00:22:13.854]  They're in business.
[00:22:14.435 --> 00:22:14.995]  And now,
[00:22:16.386 --> 00:22:30.969]  Their demand, the level of their demand to live in a safe community, free of thugs and gangs and drugs and so forth, reaches a new peak level that it's never been at before.
[00:22:31.549 --> 00:22:39.771]  This is not just, I want the freedom to be able to go down to the AM, PM, because that's the only store that's there, you know, no.
[00:22:40.391 --> 00:22:46.755]  We've got something to protect now that's real, that's feeding us and making us money on a true product.
[00:22:47.255 --> 00:22:50.737]  Now you're going to see life in those inner cities completely transformed.
[00:22:50.897 --> 00:23:02.303]  What solutions can we feed this new movement that has developed using Trump in a way as a symbol, you know, whatever else you want to say.
[00:23:02.323 --> 00:23:02.864]  A battering ram.
[00:23:03.844 --> 00:23:06.326]  A battering ram, the movement is gigantic.
[00:23:06.506 --> 00:23:08.627]  It got its legs under it with Ron Paul.
[00:23:09.088 --> 00:23:10.629]  These are many of the same people.
[00:23:11.029 --> 00:23:18.114]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:23:18.494 --> 00:23:31.702]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:23:32.643 --> 00:23:43.870]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:23:44.531 --> 00:23:50.495]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:23:51.255 --> 00:23:59.640]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:24:00.261 --> 00:24:08.546]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[00:24:11.127 --> 00:24:17.311]  Eastbound and down, loaded up and truckin'.
[00:24:20.177 --> 00:24:22.517]  About two days before the election, I played this song.
[00:24:23.558 --> 00:24:25.798]  And I said, you watch, Donald J. Trump's gonna win.
[00:24:25.818 --> 00:24:28.159]  On that Sunday edition.
[00:24:30.299 --> 00:24:33.720]  You gotta let that hammer down, folks.
