[00:00:15.544 --> 00:00:20.526]  If you are receiving this transmission, you are the resistance.
[00:06:23.193 --> 00:06:25.876]  It's Alex Jones.
[00:06:25.876 --> 00:06:29.259]  Welcome to the Alex Jones Show on this Sunday, February 14th, 2016.
[00:06:29.259 --> 00:06:31.521]  I am David Knight, here live.
[00:06:31.521 --> 00:06:35.224]  We have a report from Alex Jones about the sudden death of Antonin Scalia.
[00:06:35.885 --> 00:06:37.825]  Of course, we have an article up on Infowars.com.
[00:06:37.825 --> 00:06:41.006]  A Texas judge turns down a Scalia autopsy.
[00:06:41.006 --> 00:06:43.947]  This judge did not even see the body.
[00:06:43.947 --> 00:07:01.691]  Another judge who was reached later said, I would have wanted to have an autopsy, certainly for someone who is this politically important and in the context of what has just happened with recent Supreme Court decisions in terms of the coal industry affecting Obama's climate change agenda.
[00:07:01.691 --> 00:07:03.671]  Here's Alex Jones breaking this down farther.
[00:07:05.572 --> 00:07:16.602]  Was the death of Anthony Scalia yesterday in rural southwest Texas foul play?
[00:07:16.602 --> 00:07:24.409]  Well, of course you ask that question if a top Supreme Court justice dies or if a president suddenly dies.
[00:07:24.409 --> 00:07:32.476]  And you really ask that question if the first report out of ABC News affiliate
[00:07:34.705 --> 00:07:51.681]  In South Texas in a tiny town and then repeated by the ABC News affiliate in San Antonio, Texas, just south of where I'm broadcasting from right now, the first reports come out and say he has died and it does not appear to be foul play.
[00:07:51.681 --> 00:07:52.842]  No more information.
[00:07:53.857 --> 00:07:57.600]  That is unprecedented when you study assassinations.
[00:07:57.600 --> 00:07:59.101]  That is what they do.
[00:07:59.101 --> 00:08:03.465]  When there is a normal death, it says, well, the coroner's report will come out.
[00:08:03.465 --> 00:08:05.646]  We're not sure, but he was 79.
[00:08:05.646 --> 00:08:08.909]  But you don't say, appeared to be natural.
[00:08:08.909 --> 00:08:09.850]  Same thing happened with Breitbart.
[00:08:10.922 --> 00:08:26.254]  And so many times with political assassinations in Arkansas that we saw in Arkansas with the Clintons and their medical examiner, where people have arms and legs chopped off, dozens of bullet wounds found in garbage bags, chopped up, and they would say they killed themselves.
[00:08:26.254 --> 00:08:33.339]  Or the CIA, the author that exposed the CIA, the journalist Gary Webb, who shot himself twice in the head.
[00:08:33.339 --> 00:08:35.721]  I talked to him weeks before.
[00:08:35.721 --> 00:08:38.323]  And he said he was having to move because people were breaking into his house.
[00:08:40.020 --> 00:08:43.903]  And of course, Kill the Messenger came out and basically shows how they murdered him.
[00:08:43.903 --> 00:08:58.515]  So, they've killed so many people, they've done so much, why wouldn't they get rid of this key conservative Supreme Court Justice who was holding back the gun bans, the carbon taxes, the open borders.
[00:08:58.515 --> 00:09:03.119]  I mean, you name it, he was probably the only person on there that couldn't be blackmailed.
[00:09:03.119 --> 00:09:06.042]  You notice that Roberts was against Obamacare and then suddenly switched for it.
[00:09:07.014 --> 00:09:07.134]  Yeah.
[00:09:30.031 --> 00:09:30.871]  This is the key.
[00:09:30.871 --> 00:09:39.376]  Ruth Bader Ginsburg has been rumored to be preparing to step down so that Obama can have the nominee before he leaves.
[00:09:39.376 --> 00:09:41.417]  She's been holding on.
[00:09:41.417 --> 00:09:43.478]  She was appointed in 93 by Bill Clinton.
[00:09:43.478 --> 00:09:47.220]  That will give them not one new appointee, but two.
[00:09:47.220 --> 00:09:55.223]  That's why out of the gates, Mitch McConnell and others came out and did the right thing and said, we're going to block this completely.
[00:09:55.223 --> 00:09:57.905]  And we saw Clinton and others
[00:10:00.493 --> 00:10:03.934]  And the Democrats sit there and try to block Republican judges as well.
[00:10:03.934 --> 00:10:08.716]  And we've seen Democratic presidents block in their last year what the Republicans are up to.
[00:10:08.716 --> 00:10:12.317]  So it's gone both ways here.
[00:10:12.317 --> 00:10:21.080]  The issue is, though, it is a 5-4 split on these issues now that Scalia is gone.
[00:10:21.080 --> 00:10:22.801]  And they put in who Obama wants.
[00:10:22.801 --> 00:10:27.663]  They now can win and get every decision the way they want it.
[00:10:28.743 --> 00:10:40.524]  So the Republican House and the Republican Senate absolutely under the Constitution have the right and the duty under the Separation of Powers Clause that when things are out of control on a court to block
[00:10:41.753 --> 00:10:45.674]  Someone being confirmed to it to stop a takeover.
[00:10:45.674 --> 00:10:48.595]  That's why they control the confirmation process.
[00:10:48.595 --> 00:10:51.376]  And they're saying, hey, we're waiting until the election in eight months.
[00:10:51.376 --> 00:10:53.177]  We're not letting you do this right now.
[00:10:53.177 --> 00:10:54.758]  And then we'll have a battle later.
[00:10:54.758 --> 00:10:56.838]  And that is absolutely what needs to happen.
[00:10:56.838 --> 00:11:04.281]  The centralization of power in the executive and the Supreme Court more and more trying to go with executive power and totalitarianism is so frightening.
[00:11:05.211 --> 00:11:12.481]  And again, we've seen the Democrats in the House and Senate when Bush was trying to appoint someone, blocking them in his last year.
[00:11:12.481 --> 00:11:14.263]  So the President's there, but watch the Democrats.
[00:11:14.263 --> 00:11:15.946]  They're saying, oh, it's unconstitutional.
[00:11:15.946 --> 00:11:16.687]  You can't do this.
[00:11:16.687 --> 00:11:18.128]  You can't do that.
[00:11:18.128 --> 00:11:21.233]  So this is a big, big deal right now.
[00:11:21.233 --> 00:11:22.494]  So let me go ahead and show folks.
[00:11:23.962 --> 00:11:37.351]  This photo here, and for radio listeners we'll break it down, here is the Supreme Court Justice that died yesterday, Anthony Scalia, the most conservative member of the court, not perfect, but way better than Sotomayor or Kagan or Ruth Bader Ginsburg or any of these other people.
[00:11:37.351 --> 00:11:50.561]  And the only other person that was decent on the court is Clarence Thomas, and this guy has been warning of the tyranny in this country, and I also wish I could tell you the inside baseball I know from folks that know members of the Supreme Court, but I'm just going to leave it at that and tell you that
[00:11:51.321 --> 00:12:06.633]  Obviously, one of the conservative justices told Matt Drudge last year at dinner, they've told us in 2016 they're coming after the Second Amendment, free speech, basically everything, and that nothing can stop it because they're going to have more justices in.
[00:12:06.633 --> 00:12:10.496]  But then they were doing the math saying, but if we stay in, you won't have the justices.
[00:12:10.496 --> 00:12:12.077]  Oh, but Ginsburg's going to leave.
[00:12:12.077 --> 00:12:16.080]  Well, she still votes liberal or socialist or command and control.
[00:12:16.080 --> 00:12:18.822]  So what are you going to do now?
[00:12:18.822 --> 00:12:19.603]  What are you going to do?
[00:12:21.537 --> 00:12:23.540]  Oh, Scalia dies.
[00:12:23.540 --> 00:12:25.403]  And oh, he's 79.
[00:12:25.403 --> 00:12:27.886]  Yeah, maybe he did die of natural causes.
[00:12:27.886 --> 00:12:32.172]  But then they tell you right away, no foul play, don't investigate, nothing to see here.
[00:12:32.172 --> 00:12:34.114]  That's the big tell-tale sign.
[00:12:34.114 --> 00:12:35.456]  But how far are we into this transmission?
[00:12:36.817 --> 00:12:47.102]  Good, because I'm going to throw it at break and come back with a special report I taped last night on the fall of Western Civilization, the global collapse that's financially accelerating and now being admitted, and a lot more.
[00:12:47.102 --> 00:12:48.583]  And then David Knight's coming up live.
[00:12:48.583 --> 00:12:53.285]  But I want to continue here with this information.
[00:12:53.285 --> 00:12:55.486]  Scalia is dead.
[00:12:55.486 --> 00:12:59.708]  Now they're going to be able to put in their globalist, their operative, their totalitarian under left cover.
[00:13:01.035 --> 00:13:09.999]  Well, they're leering into totalitarianism, and then Ginsburg's leaving, they'll get their other person in, boom, a total takeover of the court, they will be able to reverse everything.
[00:13:09.999 --> 00:13:17.102]  Hey, I wonder if Clarence Thomas, he's old too, I wonder if he just dies of a heart attack, you know, in a week or two, or maybe in a car wreck, it's run over.
[00:13:17.102 --> 00:13:20.444]  We'll just be told instantly when it's announced, no foul play.
[00:13:20.444 --> 00:13:27.527]  In fact, if they don't say no foul play, that would make you think, just nothing to see here, appears to be completely natural, everything's fine.
[00:13:29.807 --> 00:13:39.290]  With all the other rigging and corruption, the government funding Al-Qaeda, ordering stand-downs at Benghazi, and all the rigging of the stock market, all of it admitted now.
[00:13:39.290 --> 00:13:43.911]  And saying it doesn't matter if Bernie Sanders wins the popular vote, Hillary has the delegates, you know.
[00:13:43.911 --> 00:13:45.212]  Just all of it in our face now.
[00:13:47.062 --> 00:13:48.985]  Now let's go over the rest of these articles.
[00:13:48.985 --> 00:13:51.689]  Again, Ruth Bader Ginsburg, folks, appointed in 93.
[00:13:51.689 --> 00:13:53.491]  Look for that by Clinton.
[00:13:53.491 --> 00:13:56.415]  And look for them to try now if she steps down to bring somebody else in.
[00:13:56.415 --> 00:13:58.358]  But they don't even need her.
[00:13:58.358 --> 00:14:00.962]  Now that Scalia has died, we must block the
[00:14:02.589 --> 00:14:08.597]  Even bringing forward the nomination and then even having the congressional hearings for the confirmation.
[00:14:08.597 --> 00:14:11.601]  Just don't even allow the hearings for the confirmation.
[00:14:11.601 --> 00:14:13.624]  Completely, absolutely block it.
[00:14:13.624 --> 00:14:15.626]  This is the report that's coming up.
[00:14:15.626 --> 00:14:18.210]  Global Ruin is coming unless we stop it.
[00:14:18.210 --> 00:14:19.331]  That's coming up in the next segment.
[00:14:20.132 --> 00:14:21.595]  We have this report I shot last night.
[00:14:21.595 --> 00:14:23.517]  Supreme Court Justice Scalia dead.
[00:14:23.517 --> 00:14:25.260]  Is Clarence Thomas next?
[00:14:25.260 --> 00:14:30.007]  They're already indicting all these Republican governors and Republican filmmakers and conservative libertarians.
[00:14:30.007 --> 00:14:35.194]  They're already indicted the Texas Attorney General that's suing Obama over abortion, open borders and gun control.
[00:14:35.875 --> 00:14:41.778]  I mean, they're already engaged in a huge political war on every single front.
[00:14:41.778 --> 00:14:44.439]  So why would we not question?
[00:14:44.439 --> 00:14:51.042]  Why would we not at least say there'll be an investigation and the coroner should let us know in a few weeks?
[00:14:51.042 --> 00:14:51.923]  Because in any other death,
[00:14:52.625 --> 00:14:54.706]  They always say it takes a few weeks.
[00:14:54.706 --> 00:14:57.488]  They even have state laws in many states that it's two weeks to a month.
[00:14:57.488 --> 00:15:01.250]  So that people can't just pass through murders and say nothing happened here.
[00:15:01.250 --> 00:15:03.051]  There's a reason we have medical examiners.
[00:15:03.051 --> 00:15:04.412]  There's a reason we have coroners.
[00:15:04.412 --> 00:15:07.633]  It's a reason they're independent in the county and the city level.
[00:15:07.633 --> 00:15:08.534]  They're watchdogs.
[00:15:08.534 --> 00:15:09.695]  They're absolutely important.
[00:15:09.695 --> 00:15:20.601]  And I demand that the media, the whore media, that's dying because no one trusts you, to do your job and at least come out and say, hey, will foul play be investigated?
[00:15:21.221 --> 00:15:24.544]  Could there be someone that might want to sway the Supreme Court?
[00:15:24.544 --> 00:15:28.186]  We all know in mafia cases, even state courts have judges shot and killed.
[00:15:28.186 --> 00:15:33.370]  We just had a top state judge in Austin shot, and it's mafia connected, a few months ago.
[00:15:33.370 --> 00:15:36.492]  They instantly said, you know, mob connected.
[00:15:36.492 --> 00:15:44.618]  We have judges dying, you know, in their sleep, and they have big investigations because they're sitting over key hearings and in key rulings.
[00:15:44.618 --> 00:15:48.801]  This is the Supreme Court, and where there are investigations with all the other lower courts.
[00:15:49.301 --> 00:15:51.203]  Alright, that's the report from Alex Jones.
[00:15:51.203 --> 00:15:54.146]  You can find that on our YouTube channel.
[00:15:54.146 --> 00:15:58.129]  And we're going to be coming back right after the break with this report on Global Ruin.
[00:15:58.129 --> 00:15:59.450]  I've been working all day.
[00:15:59.450 --> 00:16:01.532]  I took a couple hours off coaching basketball.
[00:16:01.532 --> 00:16:02.413]  I get in here at 8.30.
[00:16:12.202 --> 00:16:13.543]  I was kind of run down.
[00:16:13.543 --> 00:16:15.484]  You know, I just didn't feel like I was gonna make it.
[00:16:15.484 --> 00:16:17.346]  And I really wanted to do a good job on the interview.
[00:16:17.346 --> 00:16:19.187]  I got my bottle of Brain Force right there.
[00:16:19.187 --> 00:16:20.248]  I popped two of them.
[00:16:20.248 --> 00:16:22.529]  And about 20 minutes later, it's like, bing!
[00:16:22.529 --> 00:16:24.490]  Everything just kind of clears up.
[00:16:24.490 --> 00:16:25.991]  It's got four and a half stars.
[00:16:25.991 --> 00:16:27.312]  People really love it.
[00:16:27.312 --> 00:16:27.913]  Read about it.
[00:16:27.913 --> 00:16:31.755]  Find out why third-party nutraceutical sites give it such high praise.
[00:16:31.755 --> 00:16:37.019]  Because it really does have the best organic-based systems that will blow your socks off.
[00:16:37.219 --> 00:16:41.244]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[00:16:41.244 --> 00:16:47.392]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[00:16:47.392 --> 00:16:53.299]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:16:57.577 --> 00:16:58.497]  Hey, how you doing, Alex?
[00:16:58.497 --> 00:16:59.077]  Good, brother.
[00:16:59.077 --> 00:17:01.018]  Just recently started using your products.
[00:17:01.018 --> 00:17:02.739]  Everything you said about them is correct.
[00:17:02.739 --> 00:17:06.800]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[00:17:06.800 --> 00:17:09.381]  Well, thank you, brother, because it also funds our operation.
[00:17:09.381 --> 00:17:11.821]  But doing that, I know I've got to have the highest quality.
[00:17:11.821 --> 00:17:19.724]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:17:19.984 --> 00:17:23.228]  We do the super male and the super female vitality.
[00:17:23.228 --> 00:17:24.770]  Big changes, a lot of energy.
[00:17:24.770 --> 00:17:27.694]  We've gotten off to the cheap energy drinks, energy shots.
[00:17:27.694 --> 00:17:29.456]  Saving a ton of money there.
[00:17:29.456 --> 00:17:32.200]  Sourced from powerful organic herbs.
[00:17:32.200 --> 00:17:35.264]  Harvested around the planet and then concentrated
[00:17:35.524 --> 00:17:37.305]  Or maximum potency.
[00:17:37.305 --> 00:17:43.768]  They want to stun and dumb down and energy drinks and stuff just cover that up for a while but then burn you out in my experience.
[00:17:43.768 --> 00:17:47.509]  Whereas stuff that gets your glands naturally going goes right to the source.
[00:17:47.509 --> 00:17:49.310]  So it's pretty exciting and I love it.
[00:17:49.310 --> 00:17:56.233]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[00:17:59.961 --> 00:18:03.743]  Thousands of years ago, there was a basic form of chivalry.
[00:18:03.743 --> 00:18:11.468]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:18:11.468 --> 00:18:18.832]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own.
[00:18:18.832 --> 00:18:20.113]  Air raid sirens.
[00:18:20.113 --> 00:18:24.516]  But in the 21st century, there are silent weapons for quiet war.
[00:18:24.516 --> 00:18:26.697]  Pathenogens added to the food and water.
[00:18:26.957 --> 00:18:34.344]  To the lining of plastics that destroy our vitality, turn off our hormones, and accelerate our journey towards death.
[00:18:34.344 --> 00:18:37.748]  I personally counter this onslaught with AnthroPlex.
[00:18:37.748 --> 00:18:48.799]  AnthroPlex is designed with known, organic, concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[00:18:48.899 --> 00:18:51.781]  Discover why Anthroplex is turning so many heads today.
[00:18:51.781 --> 00:18:54.863]  It's time for us to take our bodies back into our own hands.
[00:18:54.863 --> 00:18:58.486]  And it starts at Infowarslife.com with Anthroplex.
[00:18:58.486 --> 00:18:59.587]  Brain force is here.
[00:18:59.587 --> 00:19:01.808]  Ladies and gentlemen, I've been on this the last few months.
[00:19:01.808 --> 00:19:06.812]  You probably noticed I've been more focused, less brain fog, more energy, and it's because of brain force.
[00:19:06.812 --> 00:19:10.094]  There's always hidden additives in your food, even organic food has hidden additives.
[00:19:10.094 --> 00:19:13.577]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[00:19:13.577 --> 00:19:15.318]  Ultimately, we've all been dumbed down to some degree.
[00:19:15.538 --> 00:19:16.459]  It doesn't have stimulants.
[00:19:16.459 --> 00:19:17.660]  It doesn't have garbage in it.
[00:19:17.660 --> 00:19:19.642]  It has natural things that do it clean.
[00:19:19.642 --> 00:19:28.310]  You will find Brain Force and other game-changing products at Infowarslife.com or call 888-253-3139.
[00:19:28.310 --> 00:19:29.230]  Shower filters.
[00:19:29.230 --> 00:19:30.952]  We're introducing the best yet.
[00:19:30.952 --> 00:19:35.016]  The brand new ProPure ProMax high-performance shower filter.
[00:19:35.016 --> 00:19:39.840]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[00:19:39.840 --> 00:19:42.002]  This new four-stage filtration process
[00:19:42.182 --> 00:19:43.563]  You're listening to the Alex Jones Show!
[00:20:09.690 --> 00:20:20.419]  People living in the United States especially, in the last hundred years, have gone through a lot less hardship than other people around the world.
[00:20:37.549 --> 00:20:42.452]  An example is 20 million Germans died in World War II.
[00:20:42.452 --> 00:20:43.833]  20 million Russians as well.
[00:20:43.833 --> 00:20:48.655]  If you want to be technical, 21 million Germans, 20 million Russians.
[00:20:48.655 --> 00:21:01.102]  The Soviets in Russia, Ukraine, and Poland alone are estimated over 70 years to have killed more than 100 million of their own people.
[00:21:01.102 --> 00:21:02.303]  Why am I bringing that up?
[00:21:04.090 --> 00:21:06.171]  There are different types of government in history.
[00:21:06.171 --> 00:21:10.192]  There are governments of conquest and governments of innovation.
[00:21:10.192 --> 00:21:14.954]  And normally governments and systems are a mix of those two.
[00:21:14.954 --> 00:21:21.037]  I've talked a lot about this, but we are now entering a phase in the global historical cycle
[00:21:22.765 --> 00:21:35.793]  That even mainline sociologists and historians are saying looks like the most dangerous, violent, cataclysmic period the world has ever seen.
[00:21:35.793 --> 00:21:38.775]  Dozens of nations are in flames.
[00:21:38.775 --> 00:21:42.738]  Scores of nations are in the middle of civil wars.
[00:21:42.738 --> 00:21:47.461]  ISIS and Al Qaeda groups have invaded more than 14 countries in the last five years.
[00:21:49.352 --> 00:21:56.398]  In the West, we give up our liberties and then are targeted by the security state that supposedly is there to keep us safe.
[00:21:56.398 --> 00:21:58.479]  What am I getting at here?
[00:21:58.479 --> 00:22:01.542]  We're entering a very important time.
[00:22:01.542 --> 00:22:09.828]  And the globalists that sit above the nation states have exempted themselves from our laws, from our taxes.
[00:22:09.828 --> 00:22:13.551]  They have given themselves diplomatic and corporate immunity.
[00:22:13.551 --> 00:22:15.392]  And we talk a lot about that.
[00:22:15.392 --> 00:22:17.314]  But what I want to impart to you is this.
[00:22:20.902 --> 00:22:25.948]  And your family are being targeted by globalism.
[00:22:25.948 --> 00:22:30.454]  Globalism is the most evil political system the world has ever seen.
[00:22:30.454 --> 00:22:31.675]  It uses fascism.
[00:22:31.675 --> 00:22:36.421]  It uses other forms of collectivism like communism and socialism.
[00:22:36.421 --> 00:22:38.864]  It uses command and control systems.
[00:22:39.969 --> 00:22:49.973]  That it plays off against each other to consolidate power and most importantly, impoverish the people of those nations and regions.
[00:22:49.973 --> 00:22:58.597]  Now, Carol Quigley, who was a top globalist advisor and the head of political science at Georgetown, in the 60s wrote a book called Tragedy and Hope.
[00:22:58.597 --> 00:22:59.878]  Much of it's online for free.
[00:22:59.878 --> 00:23:00.498]  Go read it.
[00:23:00.498 --> 00:23:04.079]  Where they admit all of this.
[00:23:04.079 --> 00:23:06.921]  The book was only meant for State Department and CIA officials.
[00:23:06.921 --> 00:23:07.361]  It got out.
[00:23:08.440 --> 00:23:12.462]  That was so they could understand, why do we support communism and fascism?
[00:23:12.462 --> 00:23:15.444]  Why do we support dictators over elected governments?
[00:23:15.444 --> 00:23:17.865]  Why are we supposedly the good guys, but we do this?
[00:23:17.865 --> 00:23:20.206]  And, quickly explained, we are globalists.
[00:23:20.206 --> 00:23:22.167]  This is a world system.
[00:23:22.167 --> 00:23:23.808]  We're getting rid of nation-states.
[00:23:23.808 --> 00:23:27.249]  Join it, or be the enemy.
[00:23:27.249 --> 00:23:36.534]  There are so many quotes from congressional hearings where they openly admit that, yes, we're bringing in a planetary government, and you will either join the New World Order, or die!
[00:23:38.749 --> 00:23:49.245]  But then they have pop culture for decades, demonizing everyone from Barry Goldwater through Ron Paul to myself today, who warns of this, a corporate takeover.
[00:23:50.430 --> 00:24:00.418]  That is designed not to just take over and have you work for it, but is designed to come in and destroy industrial and agrarian farming bases.
[00:24:00.418 --> 00:24:03.460]  And make all nations dependent on each other.
[00:24:03.460 --> 00:24:10.746]  Not to bring about harmony, but to bring about control for the globalists who sit above the nations, playing the nations off against each other.
[00:24:10.746 --> 00:24:14.729]  And in their own writings they say they want you to be poor.
[00:24:14.729 --> 00:24:16.230]  They want you to be dumbed down.
[00:24:16.230 --> 00:24:17.411]  They don't want you to have health care.
[00:24:18.629 --> 00:24:30.513]  That's why Obama again goes to Africa and other countries and regions and continents, in the case of Africa, and says, you can't have air conditioning, you can't have a car.
[00:24:30.513 --> 00:24:42.038]  If everybody's raising living standards to the point where everybody's got a car and everybody's got air conditioning and everybody's got a big house, well, the planet will boil over.
[00:24:42.038 --> 00:24:44.799]  As if the idea of progress itself is bad.
[00:24:45.896 --> 00:24:53.931]  But you see, the idea of progress is bad when we have it, because it makes us independent of their monopoly of control.
[00:24:53.931 --> 00:24:56.216]  You and your family are faced with a total tyranny.
[00:24:57.356 --> 00:25:01.518]  I am faced with a total tyranny, a scientifically organized plan of control.
[00:25:01.518 --> 00:25:12.403]  The only way to defeat it is to admit it's taking place and to withdraw your cultural and financial and also spiritual support from it and to speak out against it.
[00:25:12.403 --> 00:25:17.005]  It will fall, but notice its whole system is about saying it doesn't exist.
[00:25:17.865 --> 00:25:26.051]  Just like the Federal Reserve isn't private, or just like glyphosate doesn't give you cancer, or just like if you have a business you didn't build that.
[00:25:26.051 --> 00:25:32.736]  They attack logic and common sense to make you feel like you're alone.
[00:25:32.736 --> 00:25:36.159]  Ladies and gentlemen, we have reached a turning point.
[00:25:36.159 --> 00:25:37.500]  We have reached the crossroads.
[00:25:37.500 --> 00:25:41.043]  We have reached the point where the final globalist wave is coming in.
