[00:00:00.009 --> 00:00:02.198]  You're listening to The Alex Jones Show!
[00:03:24.973 --> 00:03:25.734]  In fact, there's another
[00:03:26.937 --> 00:03:36.500]  Article in the Weekly Standard and the cover story shows Donald Trump high atop Trump Tower as King Kong.
[00:03:38.081 --> 00:03:43.542]  And he is the King Kong that could defeat these individuals.
[00:03:44.103 --> 00:03:51.185]  The problem is Hillary Clinton is an even bigger King Kong.
[00:03:57.267 --> 00:04:11.540]  Because she's got the media behind her, she's got the money behind her, she's got the establishment behind her, and she's got women who will vote for her because she is a woman.
[00:04:11.701 --> 00:04:12.181]  Period.
[00:04:12.521 --> 00:04:13.082]  End of story.
[00:04:16.072 --> 00:04:18.194]  The Democratic Party is such an incredible cult.
[00:04:18.915 --> 00:04:29.567]  If we run Sarah Palin against her, as VP or even as President last time, you notice that the left media talked about how stupid she was all day and tried to make her look dumb like George W. Bush.
[00:04:29.987 --> 00:04:35.173]  Bush stuck his foot in his mouth pretty much every day, so it was easy to make him look stupid.
[00:04:38.328 --> 00:04:46.815]  I don't know if he got put in the microwave oven or what, but the guy I saw around Austin and saw give speeches was smart, off the cuff, and had brown hair.
[00:04:46.855 --> 00:04:52.360]  As soon as he gets elected, his hair turns gray and he seems like he had, you know, his IQ reduced by 40 points.
[00:04:53.080 --> 00:04:57.624]  But the case with Palin, she's a really smart lady and they called her stupid.
[00:04:58.885 --> 00:05:00.827]  Again, showing where the feminists really come from.
[00:05:01.167 --> 00:05:05.511]  If you're not a globalist, then they're gonna call a woman stupid and use all these cliches.
[00:05:08.627 --> 00:05:15.472]  The Democratic Party establishment that wants to install Hillary into the White House in this next election season is currently in free fall.
[00:05:15.653 --> 00:05:23.699]  The plan for potential first husband Bill Clinton has failed miserably as women have crawled out of the woodwork to describe his detailed history of sexual abuse.
[00:05:23.979 --> 00:05:29.704]  She also has the looming email scandal which doesn't seem to go away no matter how many jokes she throws at it.
[00:05:29.824 --> 00:05:31.345]  The latest news comes out of Beaumont.
[00:05:31.425 --> 00:05:34.446]  Where only six people were at the airport to greet the former first lady.
[00:05:34.566 --> 00:05:38.227]  KDFM reported that she didn't say hello or visit any of those six people.
[00:05:38.327 --> 00:05:39.387]  She just drove away.
[00:05:39.587 --> 00:05:40.407]  And where was she going?
[00:05:40.687 --> 00:05:44.928]  Oh, to a private fundraiser held by Pakistani businessman Tahir Javid to collect $500,000.
[00:05:45.428 --> 00:05:48.249]  The news reported it as a private meeting.
[00:05:48.489 --> 00:05:51.990]  Back in 2008, she attended another private meeting with Barack Obama.
[00:05:52.130 --> 00:05:55.813]  This occurred, of course, in Chantilly, Virginia, during the Bilderberg meeting.
[00:05:56.033 --> 00:06:01.058]  In fact, her campaign has become so desperate, she's now labeling Bernie Sanders as a white elitist.
[00:06:01.258 --> 00:06:02.939]  Read the article at InfoWars.com.
[00:06:03.039 --> 00:06:04.761]  Bernie Sanders, very white.
[00:06:04.921 --> 00:06:08.024]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:06:08.584 --> 00:06:13.365]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:06:13.625 --> 00:06:22.287]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:06:22.307 --> 00:06:26.248]  Longevity also offers you an ingenious way to augment your income.
[00:06:26.428 --> 00:06:27.108]  And the best part?
[00:06:27.229 --> 00:06:29.789]  You'll be helping your friends and family along the way.
[00:06:30.089 --> 00:06:32.530]  Visit InfoWarsTeam.com today.
[00:06:32.710 --> 00:06:33.350]  Become a member.
[00:06:33.490 --> 00:06:37.551]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:06:37.771 --> 00:06:44.273]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:06:44.494 --> 00:06:45.214]  Another win-win.
[00:06:45.454 --> 00:06:49.015]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:06:49.195 --> 00:06:50.196]  And you can be too.
[00:06:50.436 --> 00:06:50.916]  It's simple.
[00:06:50.996 --> 00:06:53.797]  Just go to Infowarsteam.com today.
[00:06:53.917 --> 00:06:55.838]  Complete a short sign-up and you're part of the team.
[00:06:56.038 --> 00:06:59.099]  That's Infowarsteam.com or Infowarshealth.com.
[00:06:59.279 --> 00:07:05.441]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:07:05.581 --> 00:07:06.882]  Check it out for yourself today.
[00:07:11.810 --> 00:07:21.217]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:07:21.557 --> 00:07:24.119]  All of our children are hit with modern mind control.
[00:07:24.259 --> 00:07:27.602]  Television, music, fast food, GMOs, sugars, you name it.
[00:07:27.802 --> 00:07:33.826]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:07:34.127 --> 00:07:38.490]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic
[00:07:38.570 --> 00:07:39.331]  I think so.
[00:08:12.859 --> 00:08:13.840]  We are on the march.
[00:08:13.880 --> 00:08:15.240]  The Empire is on the run.
[00:08:15.380 --> 00:08:18.222]  Alex Jones and the GCN Radio Network.
[00:08:18.322 --> 00:08:21.184]  If you like to gamble, I'll tell you how to land.
[00:08:21.304 --> 00:08:27.367]  You win some, lose some, it's all the same to me.
[00:08:27.447 --> 00:08:30.248]  The pleasure is to play.
[00:08:31.689 --> 00:08:40.254]  Ain't no difference what you say.
[00:08:51.320 --> 00:08:54.703]  Well, I tend to start every broadcast the same way because it's so true.
[00:08:55.383 --> 00:08:58.245]  In the past, I'd say this would be once a month, but I mean, it's every day.
[00:08:58.766 --> 00:09:00.067]  It's just more intense.
[00:09:00.087 --> 00:09:01.868]  The optics are getting crystal clear.
[00:09:02.368 --> 00:09:04.009]  We see exactly where we're going.
[00:09:04.850 --> 00:09:06.972]  A consortium of top scientists.
[00:09:07.532 --> 00:09:23.291]  have besieged the global leaders at the Davos Forum to please stop the AI technocrat takeover and are warning that the electronic smart grid hooked into AI computers will give rise to a AI takeover.
[00:09:24.633 --> 00:09:25.394]  Well, that's the plan.
[00:09:26.633 --> 00:09:32.457]  When Google was founded 17 years ago in 1999, they had the top investors there.
[00:09:32.517 --> 00:09:34.439]  This was reported on in Wired Magazine last year.
[00:09:35.199 --> 00:09:47.088]  I've been told about it by government and industry whistleblowers, including inside Google, over a decade ago, that they're in this board meeting and they say, this is just another search engine using NSA proprietary technology we've given you.
[00:09:50.391 --> 00:09:53.774]  And the directors look at him and say, no sir, we're building an AI.
[00:09:57.329 --> 00:09:59.469]  We intend for it to be sentient within 10 years.
[00:10:03.310 --> 00:10:06.071]  Now you don't think they're going to tell you if it becomes sentient, do you?
[00:10:09.711 --> 00:10:25.634]  But I'm seeing moves by governments and systems that are so complex and so 6th, 7th, 8th dimensional in their complexity and sophistication that you can tell machines are making the decisions already.
[00:10:26.451 --> 00:10:30.315]  And by the way, they admit on the stock market that machines are making the decisions for at least a decade.
[00:10:31.095 --> 00:10:38.703]  They admit that for at least a decade, the next wave of drones that are already out there, they're just getting around to telling you about them, are completely autonomous.
[00:10:39.523 --> 00:10:43.567]  Both underwater, surface water, air, land, you name it.
[00:10:43.968 --> 00:10:44.668]  Air, land, sea.
[00:10:47.971 --> 00:10:48.572]  Submariner.
[00:10:52.836 --> 00:10:54.056]  And so, it's already here.
[00:10:54.416 --> 00:10:58.017]  The elites are already using complex algorithms to make most of their decisions.
[00:11:01.098 --> 00:11:03.218]  We already, basically, are under AI rule.
[00:11:03.759 --> 00:11:09.380]  Let me just make that announcement here, that in my educated opinion, we are already under AI control.
[00:11:12.381 --> 00:11:13.681]  And of course, isn't that just perfect?
[00:11:13.741 --> 00:11:15.361]  It follows the whole plan of soft kill.
[00:11:15.921 --> 00:11:21.743]  You don't know they're adding fluoride to brain damage you and lower your fertility, even though their own white papers admit it, because the mainstream media won't tell you.
[00:11:22.662 --> 00:11:28.503]  You don't know there's a plan to break up the family, even though you can turn on the TV and see the messages meant to do that.
[00:11:32.944 --> 00:11:36.285]  It's all under the surface.
[00:11:37.725 --> 00:11:38.625]  It's all stealth.
[00:11:39.926 --> 00:11:45.607]  But as we enter the more intense phases of this, it's going to become very, very transparent.
[00:11:46.847 --> 00:11:48.307]  It's going to uncloak itself.
[00:11:49.068 --> 00:11:51.048]  And we're now reaching the uncloaking moment.
[00:11:53.274 --> 00:12:02.181]  And a moment in the history of man, in the history of time, in the history of this planet, is 10, 20 years, 30 years.
[00:12:05.364 --> 00:12:12.289]  That's a moment in time, in the past, in the lives of civilizations.
[00:12:12.950 --> 00:12:20.196]  Now, because of the compression of time and the acceleration of technology moving towards the singularity,
[00:12:25.293 --> 00:12:26.074]  Five years, maybe.
[00:12:27.397 --> 00:12:28.058]  Maybe one year.
[00:12:29.300 --> 00:12:30.001]  Maybe one hour.
[00:12:31.143 --> 00:12:37.834]  We don't know what chain reactions are going to take place, and the elite themselves admit they're all in a giant experiment, and we're in the experiment.
[00:12:39.093 --> 00:13:08.620]  And they don't know exactly what's going to happen, but they've got computers monitoring the mass movements of machines, and raw material, and industry, and more importantly, human decisions, millisecond by millisecond, are tracking tens of billions of human activities, fed into complex supercomputer systems, interfacing with billions of people per second, creating the new entity.
[00:13:10.714 --> 00:13:14.817]  That is a human-machine interface merger.
[00:13:15.538 --> 00:13:17.960]  Like a sperm and an egg coming together.
[00:13:19.762 --> 00:13:26.067]  Or the collapsing universe at the Big Bang then suddenly reversing its polarity.
[00:13:28.309 --> 00:13:29.290]  Game over, man!
[00:13:29.310 --> 00:13:30.871]  Game over.
[00:13:33.193 --> 00:13:37.236]  And now men want to ask me why I'm not into the playoffs this weekend?
[00:13:37.977 --> 00:13:38.558]  I'm sorry.
[00:13:40.194 --> 00:13:49.661]  I'm so busy covering the incredible hardcore news that I haven't even gotten into the ninth planet that was discovered that they announced last week.
[00:13:50.902 --> 00:13:53.604]  And of course they discovered it a long time ago, they just got around to telling us.
[00:13:54.024 --> 00:13:56.126]  And there's a reason they didn't get around to telling us about it.
[00:13:56.146 --> 00:14:04.913]  I am someone who always got sick and tired of hearing about Planet X.
[00:14:07.813 --> 00:14:13.076]  Because as long as I've been on the air, people are saying, it's coming next year, it's coming in three years, it's going to happen.
[00:14:15.278 --> 00:14:30.067]  The ancients said it comes through every 20,000 years in a different type of orbit that doesn't go in circles around the sun, but goes way out past the Kuiper Belt and comes in basically at an elliptical.
[00:14:33.922 --> 00:14:46.287]  And then I started reading deeper into this planet, and there it was, a 20,000 year deformed orbit, going out into deep space, 10 times the size of the Earth.
[00:14:49.548 --> 00:14:50.828]  It is Planet X, folks.
[00:14:52.869 --> 00:14:56.871]  Isn't that just perfect, that this would just show up while all this circus is going on?
[00:14:57.151 --> 00:14:58.811]  Now, I want to be clear about this.
[00:15:00.292 --> 00:15:02.933]  It fits the bill of Planet X. They're probably
[00:15:05.396 --> 00:15:07.557]  50, 60, 100, 1,000!
[00:15:06.496 --> 00:15:07.557]  I don't know, Planet X's!
[00:15:08.818 --> 00:15:25.126]  They've already chronicled hundreds and hundreds of planetoids bigger than Pluto in the Kuiper Belt out past the former ninth planet, named after the god of the underworld.
[00:15:27.048 --> 00:15:27.748]  A fitting name.
[00:15:29.169 --> 00:15:31.190]  The Roman god of hell.
[00:15:34.002 --> 00:15:39.087]  So they said no more ninth planet because we gotta say we have hundreds of planets if there's things bigger than it.
[00:15:39.147 --> 00:15:41.730]  Well, Pluto's little.
[00:15:42.230 --> 00:15:44.652]  This sucker is gigantor.
[00:15:49.557 --> 00:15:50.258]  Compared to Pluto.
[00:15:57.278 --> 00:16:03.841]  They're in the news today, meteorologists talking about how the moon being full during the blizzard is going to make it worse, and it does.
[00:16:03.881 --> 00:16:12.186]  It affects space winds, winds of space, the sun, and a lot more.
[00:16:13.206 --> 00:16:18.329]  Why the full moon could make this weekend's blizzard more destructive, who knows?
[00:16:19.207 --> 00:16:20.789]  We're good to go.
[00:16:35.883 --> 00:16:48.206]  And the Mayans and all these other cultures said this big planet comes through and that there's earthquakes and volcanoes and all hell breaks loose and it comes through every 20,000 years and then now here it comes.
[00:16:48.526 --> 00:16:52.427]  Now I don't know if this is the one because there's so many of them out there.
[00:16:52.707 --> 00:16:53.968]  Who knows what's out there?
[00:16:55.548 --> 00:17:00.189]  We're too busy looking at Hillary Clinton and going, I'm voting for her because she's a woman.
[00:17:02.490 --> 00:17:03.070]  Who cares?
[00:17:04.960 --> 00:17:21.417]  What I'm getting at is we don't have time for racism and sexism and all this fighting and all this garbage and all this divide-and-conquer when we have genetic engineering going on, splicing and mutating every species on the planet like something out of H.G.
[00:17:21.898 --> 00:17:26.723]  Wells' The Island of Dr. Maru squared.
[00:17:31.425 --> 00:17:40.559]  Every freakazoid activity you can imagine going on and every scientifically deployed program on record in in-game
[00:17:44.352 --> 00:18:00.387]  1.5, we put out on the internet like eight years ago, we interviewed the professors and people and they show the university documents from the 60s with the CIA, how they would destroy gender, how they would destroy the family, and finally they would even just destroy individualism and how they would do it.
[00:18:00.527 --> 00:18:05.191]  And I remember covering that eight, nine years ago and thinking, this is so crazy, they'll never get away with it.
[00:18:05.512 --> 00:18:09.876]  And then I have the articles right here in front of me, folks, where they've got first graders
[00:18:13.044 --> 00:18:26.257]  Right through twelfth grade, making a large part of the school curriculum officially federally run, this is CBC News reporting, to let quote five-year-olds choose their gender.
[00:18:26.978 --> 00:18:29.300]  That's like saying you want to be Batman, Superman, or Wonder Woman.
[00:18:29.340 --> 00:18:29.981]  They don't know.
[00:18:30.081 --> 00:18:33.425]  It's not the government's place to get involved with your child's gender and their sex.
[00:18:35.649 --> 00:18:51.254]  And then inject it to create the confusion as if it's a new option to allow them to sexualize children and they sell it like it's political correctness and just making people, and yes, they're getting rid of he and she and dad and mom and father and mother.
[00:18:51.314 --> 00:18:59.317]  It's all in a CBC article that's written like Kurt Vonnegut's satire, but they're deadly serious and they're doing it.
[00:19:00.457 --> 00:19:03.258]  Not at one school or this school or some liberal school.
[00:19:05.270 --> 00:19:13.234]  Not at some, you know, trendy art school where a third of the kids end up in prison or, you know, commit suicide because they confuse them so much.
[00:19:14.615 --> 00:19:21.039]  But officially in every school in the country that's government accredited, they're going to get in there and jack with their brains.
[00:19:21.299 --> 00:19:22.840]  Same thing in Europe, same thing here.
[00:19:22.980 --> 00:19:24.341]  We're about two years behind Canada.
[00:19:27.582 --> 00:19:29.964]  Kids aren't going to be talking about super planets.
[00:19:30.964 --> 00:19:38.286]  They're not going to be talking about fission fusion, not going to be talking about space travel, not going to be talking about tribal memories, not going to be talking about the mysteries of the universe.
[00:19:38.526 --> 00:19:48.268]  They're going to have weirdo cult leaders hanging over them, telling them he and she is bad and you don't have to be a boy or girl or you can be gay or you can be this.
[00:19:48.988 --> 00:19:55.249]  What a group of cult creeps that we let come in and jack us over and turn us into idiots.
[00:19:56.510 --> 00:19:57.030]  Stay with us.
[00:19:57.410 --> 00:19:58.150]  I'm Alex Jones.
[00:20:04.520 --> 00:20:06.802]  You're listening to Alex Jones.
[00:20:09.845 --> 00:20:11.346]  Hi, this is Walt Augustinowicz.
[00:20:11.767 --> 00:20:13.748]  I'm the founder and CEO of ID Stronghold.
[00:20:14.309 --> 00:20:17.932]  By now you've heard our commercials about wallets that protect you from electronic pickpocketing.
[00:20:18.172 --> 00:20:26.660]  Ten years ago I created a way to protect my own cards from prying eyes after government officials started talking about issuing a national ID card with a built-in radio chip called RFID.
[00:20:26.980 --> 00:20:30.263]  I felt having to broadcast my personal information was an invasion of privacy.
[00:20:31.124 --> 00:20:34.205]  Soon after, it was also announced that credit cards, debit cards, U.S.
[00:20:34.265 --> 00:20:38.866]  passports, hotel room keys, and even transit passes would all soon incorporate RFID.
[00:20:39.626 --> 00:20:43.847]  It was then I formed IDStronghold to share my inventions in blocking RFID signals with the world.
[00:20:44.547 --> 00:20:47.348]  There are a lot of misconceptions out there today about RFID.
[00:20:47.708 --> 00:20:49.949]  I encourage everyone to get informed and get protected.
[00:20:50.809 --> 00:20:57.053]  Please go to idstronghold.com and get the facts and the wallet sleeves or badge holders you need to protect your personal financial data.
[00:20:57.834 --> 00:21:03.058]  You'll be pleasantly surprised that through our direct sales model you won't pay more than other comparable unprotected wallets.
[00:21:03.438 --> 00:21:05.139]  It is as though the protection is free.
[00:21:05.800 --> 00:21:07.421]  Visit idstronghold.com today.
[00:21:09.099 --> 00:21:13.902]  As your body ages, there's a 10% decline in your ability to repair each passing decade after the age 28.
[00:21:14.582 --> 00:21:20.525]  By age 40, your ability to repair from demanding manual labor, exercise, or a stressful desk job has declined by 12%.
[00:21:21.286 --> 00:21:26.069]  By using One World Whey, you supercharge your body's ability to repair and eliminate inflammation.
[00:21:26.269 --> 00:21:34.013]  Our unique, frequency-encoded whey protein, coupled with our high-quality whey, improves your cell's ability to make protein, which is to say, repair itself.
[00:21:34.073 --> 00:21:36.314]  My name is Jonathan Wright, and I'm 40 years old.
[00:21:36.414 --> 00:21:39.195]  I recently went from a desk job to a manual labor job.
[00:21:39.276 --> 00:21:40.236]  Normally, I'm worn out.
[00:21:40.376 --> 00:21:45.979]  With Energy Enhanced One World Way, I now recover so quickly that I can perform very hard work all day long.
[00:21:46.179 --> 00:21:51.261]  I use Energy Enhanced One World Way for breakfast and lunch, and I experience less hunger throughout the day.
[00:21:51.541 --> 00:21:54.383]  I have a 30% increase in energy, and I just feel better.
[00:21:54.663 --> 00:21:58.285]  I plan to make Energy Enhanced One World Way a permanent part of my lifestyle.
[00:21:59.425 --> 00:22:03.067]  988-3325 or visit OneWorldWay.com.
[00:22:03.087 --> 00:22:06.168]  That's OneWorld, W-H-E-Y.com.
[00:22:09.469 --> 00:22:11.870]  You've heard infidel body armor ads for years.
[00:22:12.250 --> 00:22:15.751]  You've thought about investing in body armor but just haven't found the time.
[00:22:15.771 --> 00:22:15.851]  Stop!
[00:22:17.597 --> 00:22:18.717]  Now is the time.
[00:22:19.077 --> 00:22:20.338]  You want the industry leader.
[00:22:20.618 --> 00:22:22.258]  You need a proven product.
[00:22:22.458 --> 00:22:24.619]  Go to InfidelBodyArmor.com.
[00:22:24.759 --> 00:22:28.180]  Products made in the USA designed to protect Americans.
[00:22:28.460 --> 00:22:31.301]  We make armor easy to understand and easy to purchase.
[00:22:31.521 --> 00:22:33.261]  InfidelBodyArmor.com.
[00:22:33.561 --> 00:22:35.622]  Get yours before time runs out.
[00:22:38.840 --> 00:22:48.162]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:48.262 --> 00:22:52.583]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:52.683 --> 00:22:59.505]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:59.705 --> 00:23:01.485]  Buy now at DefenderShield.com.
[00:23:01.565 --> 00:23:03.786]  For 10% off, use promo code GCN.
[00:23:03.966 --> 00:23:07.487]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:23:08.433 --> 00:23:13.394]  Do you have relatives and friends that are convinced there is no need ever to prepare for any kind of emergency?
[00:23:13.634 --> 00:23:16.115]  Are these also folks you buy Christmas presents for?
[00:23:16.595 --> 00:23:20.595]  At 30dayfoodsupply.com, we can solve both of these problems at the same time.
[00:23:20.916 --> 00:23:26.017]  Go to 30dayfoodsupply.com or call 541-229-0010.
[00:23:26.297 --> 00:23:28.337]  We can ship your Christmas presents directly to them.
[00:23:28.617 --> 00:23:37.419]  Choose from our original $99 30-day food supply, our long-term storage vegan burger mixes, and other oatmeal, soups, porridges, beans, and granolas for everyday use.
[00:23:37.839 --> 00:23:40.861]  All products are non-GMO, MSG-free, and vegetarian.
[00:23:40.901 --> 00:23:42.502]  Most are gluten, soy, and nut-free.
[00:23:42.762 --> 00:23:45.944]  Call 541-229-0010 today.
[00:23:46.264 --> 00:23:53.027]  Oregon Trail Foods and 30dayfoodsupply.com keep prices low, cutting out the middleman by buying directly from their producers in Oregon.
[00:23:53.308 --> 00:23:56.029]  Remember, only $10 ships your entire order to the lower 48.
[00:23:56.850 --> 00:23:59.311]  Visit the website 30dayfoodsupply.com.
[00:23:59.591 --> 00:23:59.871]  Call 541-229-0010.
[00:23:59.891 --> 00:24:00.472]  30dayfoodsupply.com.
[00:24:00.492 --> 00:24:00.532]  541-229-0010.
[00:24:00.592 --> 00:24:02.133]  Monday through Friday, from 11 a.m.
[00:24:02.153 --> 00:24:03.394]  to 3 p.m., we're here live.
[00:24:03.474 --> 00:24:05.215]  You're listening to the Alex Jones Show.
[00:24:27.498 --> 00:24:29.199]  Coming up, Davos Insider.
[00:24:29.259 --> 00:24:30.480]  World economy doomed.
[00:24:30.580 --> 00:24:33.022]  Central banks out of ammo.
[00:24:33.882 --> 00:24:36.324]  Yeah, they already shot all the ammo right through us.
[00:24:38.785 --> 00:24:39.906]  They get all the free money.
[00:24:40.006 --> 00:24:41.187]  We pay the bill for it.
[00:24:42.328 --> 00:24:44.689]  They give themselves immunity and sit there and laugh.
[00:24:45.209 --> 00:24:50.593]  Surrounded by paramilitary troops, who as soon as they retire, they list as the number one enemy.
[00:24:51.806 --> 00:24:52.406]  Gotta love it.
[00:24:52.506 --> 00:24:54.067]  That's coming up in the next segment.
[00:24:54.087 --> 00:25:03.932]  I'm going to cover Snowmageddon 2016 and talk about the different meteorologists we've had on the last few years predicting a major cooling cycle, which we're now seeing.
[00:25:03.992 --> 00:25:09.215]  A mini ice age is what we're set for ahead of a larger
[00:25:10.055 --> 00:25:13.276]  Ice Age in the 10 to 11,000 year cycle.
[00:25:14.017 --> 00:25:17.958]  The last Ice Age ended about 11,000 years ago on record.
[00:25:17.978 --> 00:25:20.319]  They have the ice core samples from the north.
[00:25:21.119 --> 00:25:22.380]  And it's just like clockwork.
[00:25:22.420 --> 00:25:24.020]  There are not just the four seasons.
[00:25:24.060 --> 00:25:24.641]  There's not just 365.
[00:25:25.821 --> 00:25:26.961]  There are larger seasons.
[00:25:27.282 --> 00:25:29.222]  And it's all based on the sun.
[00:25:29.662 --> 00:25:35.625]  That giant thermonuclear explosion going on up in the sky.
[00:25:37.845 --> 00:25:39.046]  That we're the third rock from.
[00:25:41.766 --> 00:25:49.030]  But the UN voted, remember, five years ago to say the sun has no effect on climate, because all these scientists were telling them, no, it's not carbon dioxide, it's the sun.
[00:25:49.290 --> 00:25:50.291]  But they voted!
[00:25:50.691 --> 00:25:53.673]  How about they vote that they're galactic rulers of the universe?
[00:25:55.452 --> 00:26:08.275]  There's like famously, you know, schizophrenics will get up during city council ones and one guy gets up in Houston and announces himself that, you know, he's really Prince Charles and rules the world and, you know, is making money in all time zones.
[00:26:08.795 --> 00:26:16.376]  Why not just announce the sun doesn't exist or give 50 more Nobel Peace Prizes to Obama when he launches all these wars?
[00:26:16.997 --> 00:26:18.897]  You know, why not say 2 plus 2 equals 5?
[00:26:22.802 --> 00:26:27.392]  The problem is, it's working on the young people that have never known anything but this.
[00:26:30.222 --> 00:26:33.926]  Coming up, Richard Reeves got a great question into Hillary and she answered it.
[00:26:34.146 --> 00:26:36.788]  Our political correspondent on the ground.
[00:26:37.189 --> 00:26:40.992]  He'll be joining us via video Skype today at the start of the third hour.
[00:26:41.012 --> 00:26:43.555]  Head of Leon McAdoo from Flint, Michigan.
[00:26:44.416 --> 00:26:48.980]  Just the edifice collapsing and showing the rotting infrastructure in the nation.
[00:26:49.100 --> 00:26:50.842]  The more we pay for it, the worse it gets.
[00:26:51.262 --> 00:26:52.403]  We'll break down that scam.
[00:26:52.763 --> 00:26:55.166]  But breaking, Hillary denies email hack.
[00:26:56.323 --> 00:26:58.044]  We're going to be getting to that.
[00:26:58.084 --> 00:27:01.387]  She said, no, no one hacked me, even though the Secret Service insiders have gone public.
[00:27:02.508 --> 00:27:08.532]  The head, former head of the Defense Department, Robert Gates has come out and said that indeed, you know, she was clearly hacked.
[00:27:09.153 --> 00:27:10.534]  I mean, the evidence is overwhelming.
[00:27:10.574 --> 00:27:10.934]  They did.
[00:27:11.014 --> 00:27:12.035]  And she probably knew it.
