[00:00:00.009 --> 00:00:01.731]  Brain Force is here.
[00:03:13.128 --> 00:03:16.210]  It's inspiring to see law and order restored, frankly.
[00:03:16.370 --> 00:03:16.510]  Right.
[00:03:17.310 --> 00:03:24.998]  Wasn't it really interesting that Saudi Arabia, there was an almost 70% approval rating for Hillary Clinton from Saudi Arabia.
[00:03:25.959 --> 00:03:26.919]  They didn't like Trump.
[00:03:26.960 --> 00:03:28.281]  I wonder if they want their money back.
[00:03:28.341 --> 00:03:33.606]  You know, they gave all that money to Clinton, her campaign, her corrupt foundation.
[00:03:33.726 --> 00:03:34.907]  I'd ask for my money back.
[00:03:35.187 --> 00:03:37.570]  And how much do you think those speeches are worth now?
[00:03:38.110 --> 00:03:41.434]  Do you think they're still getting $250,000 a speech?
[00:03:41.494 --> 00:03:43.796]  Does anyone care what they have to say?
[00:03:43.976 --> 00:03:44.637]  I wouldn't think so.
[00:03:44.857 --> 00:03:47.119]  Well, Millie Weaver, she pointed this out on the ground.
[00:03:47.159 --> 00:03:49.762]  She went to Bill Clinton, a free rally in Ohio.
[00:03:50.122 --> 00:03:51.444]  She goes, he can't give it away.
[00:03:51.464 --> 00:03:52.084]  This is free.
[00:03:53.646 --> 00:03:57.248]  We can't get 30 people in a room to hear Bill Clinton speak when it matters.
[00:03:57.288 --> 00:04:02.711]  When the Saudis or foreign governments aren't paying for it, propping it up under the guise of speeches.
[00:04:03.611 --> 00:04:11.255]  Maybe that'll finally get it through a lot of these people's heads that, yeah, these governments are not just paying them millions of dollars.
[00:04:11.275 --> 00:04:12.115]  What are they getting in return?
[00:04:12.135 --> 00:04:14.437]  Bill Clinton for his birthday because they just love it.
[00:04:16.018 --> 00:04:20.723]  It's like, no, there's some pay to play going on.
[00:04:20.743 --> 00:04:26.189]  There's a reason why they are putting money in the pockets of the Clintons and their foundation.
[00:04:26.209 --> 00:04:28.051]  Let's not forget the Chinese, too.
[00:04:28.531 --> 00:04:36.400]  She was accused of using the State Department to hold these private events for high-level ranking members of the Chinese government.
[00:04:37.100 --> 00:04:40.541]  And Terry McAuliffe, her little BFF there in Virginia.
[00:04:41.741 --> 00:04:45.963]  Blagojevich was a former governor of Illinois who was in similar corruption issues.
[00:04:45.983 --> 00:04:47.763]  He ended up, what, serving 18 months?
[00:04:48.123 --> 00:04:53.485]  Can't remember his exact sentence, but there is a price to pay for these corrupt activities, and they're being exposed.
[00:04:53.985 --> 00:04:56.666]  And a lot of people, they were intimidated by the information.
[00:04:56.686 --> 00:05:06.169]  They didn't know that, you know, the elites want you to think it's too convoluted and complicated for your little brain to understand, when in reality, they're simply a bunch of criminals.
[00:05:06.809 --> 00:05:08.390]  Yeah, it's not complicated at all.
[00:05:08.470 --> 00:05:09.771]  It's right or wrong.
[00:05:09.831 --> 00:05:10.192]  That's right.
[00:05:10.272 --> 00:05:13.214]  And then they have their white collar crimes that they're able to get away with.
[00:05:13.254 --> 00:05:18.778]  And then you have these people protesting in the streets, you know, against a fair election.
[00:05:18.798 --> 00:05:19.439]  That's right.
[00:05:19.599 --> 00:05:23.702]  I think that it was just so much outpouring of support for Donald Trump that they couldn't
[00:05:24.142 --> 00:05:27.564]  Steal it, and they knew all eyes were on this election.
[00:05:27.584 --> 00:05:29.586]  There was no way that they were going to go to the polls.
[00:05:29.726 --> 00:05:30.126]  That's right.
[00:05:30.206 --> 00:05:32.388]  And, you know, they had poll watchers there.
[00:05:32.508 --> 00:05:33.909]  Patriots were out in full force.
[00:05:33.929 --> 00:05:35.990]  UN officials, by the way, were watching our polls.
[00:05:36.330 --> 00:05:39.533]  And Paul Joseph Watson, he did this report for us.
[00:05:39.953 --> 00:05:49.800]  He highlighted the fact that one of these UN onlookers was actually a Hillary supporter who was tweeting out support for Hillary, which is a violation of the ethical code.
[00:05:50.080 --> 00:05:51.301]  They're only there to observe.
[00:05:51.321 --> 00:05:53.102]  They're not there to support a candidate.
[00:05:53.362 --> 00:05:58.604]  And poll workers in Atlanta were wearing, you know, Stop Trump or something with like Stop Trump.
[00:05:58.644 --> 00:05:59.724]  I mean, they're the poll workers.
[00:05:59.764 --> 00:06:00.185]  You can't.
[00:06:00.485 --> 00:06:04.726]  So they would send you out if you wanted to wear a Make America Great Again hat.
[00:06:04.746 --> 00:06:07.067]  You photograph anything, you are going to jail.
[00:06:07.087 --> 00:06:11.589]  But this is just, you know, the thing is, is like, imagine.
[00:06:12.529 --> 00:06:28.589]  Don't imagine too hard because I don't want to bring it into existence, but what in the heck do you think that they really had up their sleeve for the world, for the globe, for humanity, that they were so against Donald Trump and they were like, we must stop him at all costs.
[00:06:28.989 --> 00:06:29.690]  We've got to take him out.
[00:06:29.810 --> 00:06:58.147]  Not to project this, but the lives being saved across the globe, and not to be, again, not to sound naive about things, because I know we live in the real world, but if Clinton had gotten in office, we know what she and her husband did to Iraq in the 90s, 500,000 Iraqi kids, we know what she did to Libya, thousands of people, you know, died, bombed them back to the Stone Age, you know, civil war breaking out, we knew what she wanted to do in Syria, we knew that she was gonna go after Russia, the lives that were saved just from her not being in office,
[00:06:58.687 --> 00:06:58.947]  We don't
[00:07:17.005 --> 00:07:17.786]  We're good to go.
[00:07:41.005 --> 00:07:42.006]  Um, held to account.
[00:07:42.066 --> 00:07:44.988]  No justice was ever brought on his end.
[00:07:45.428 --> 00:07:48.850]  So he just continued to be corrupt.
[00:07:49.211 --> 00:07:55.695]  Even to the fact where they signed an agreement when she became Secretary of State that she wouldn't, you know, use her office for pay to play.
[00:07:55.755 --> 00:08:01.819]  Even then they couldn't even set up a private server in her house because it was more convenient for her to skirt the law.
[00:08:02.139 --> 00:08:05.682]  So these are people that continue to get away with this mess, with all this trouble.
[00:08:06.062 --> 00:08:08.224]  Donald Trump's not going into this office like that.
[00:08:08.284 --> 00:08:09.905]  He's a person who's like a businessman.
[00:08:10.445 --> 00:08:16.407]  He doesn't have any campaign managers that were accused of pedophiles and black magic and spirit cooking.
[00:08:16.848 --> 00:08:18.068]  It's not happening in the White House.
[00:08:18.428 --> 00:08:24.431]  No spirit cooking dinners in the White House or anywhere around the White House where White House officials might be going or attending.
[00:08:24.571 --> 00:08:25.431]  That's awesome!
[00:08:26.011 --> 00:08:34.413]  It just felt really interesting because, you know, you can't really look at the metrics on this because the mainstream media doesn't tell anyone.
[00:08:34.453 --> 00:08:35.813]  They refuse to acknowledge it.
[00:08:35.993 --> 00:08:42.935]  But I just really wonder, I mean, you look at WikiLeaks, whenever they'll tweet something out, they get thousands, tens of thousands of retweets, likes.
[00:08:43.415 --> 00:08:50.457]  So I'm curious how much of an effect the spirit cooking had on people's decisions or the pedophilia.
[00:08:52.297 --> 00:08:52.637]  Yeah.
[00:08:52.717 --> 00:08:55.338]  The Podesta's creepy art collection.
[00:08:55.358 --> 00:08:58.519]  You know, I saw this picture of one of the Podesta brothers.
[00:08:59.279 --> 00:09:02.560]  The art in their home, it is unforgettable.
[00:09:02.660 --> 00:09:03.861]  It is so disturbing.
[00:09:04.061 --> 00:09:04.461]  It's art.
[00:09:04.521 --> 00:09:05.261]  Mind-numbingly disturbing.
[00:09:05.281 --> 00:09:06.322]  You don't get it, Margaret.
[00:09:06.382 --> 00:09:07.122]  You just don't get it.
[00:09:07.262 --> 00:09:08.362]  It's pornographic.
[00:09:08.462 --> 00:09:10.323]  It's celebrating murder.
[00:09:10.383 --> 00:09:12.543]  Well, the thing is, people are like, it's art.
[00:09:12.624 --> 00:09:12.984]  It's fine.
[00:09:13.004 --> 00:09:13.664]  But here's the thing.
[00:09:14.932 --> 00:09:26.304]  It's child porn because how do you get a teenager to take naked pictures and who is the parent that's saying this is okay that you can take these nude photos of my underage, you know, my teenager?
[00:09:26.364 --> 00:09:26.664]  Right.
[00:09:26.804 --> 00:09:27.485]  It's illegal!
[00:09:27.845 --> 00:09:29.107]  Any way you look at it, it's illegal.
[00:09:29.167 --> 00:09:36.134]  It's not art and that's the thing that's so messed up is you have like these modeling agencies, which I know there was something with that as well.
[00:09:36.194 --> 00:09:36.774]  I mean it's just...
[00:09:37.595 --> 00:09:37.695]  It's
[00:09:54.301 --> 00:09:55.041]  That's right.
[00:10:22.208 --> 00:10:23.228]  And Edward Snowden, too.
[00:10:23.289 --> 00:10:24.389]  Well, that was an excellent point.
[00:10:24.489 --> 00:10:25.449]  Edward Snowden, too.
[00:10:25.550 --> 00:10:39.656]  My hope is that he gets to come home, that there are no charges, that everything is dropped, that the truth is rewarded, frankly, because we had a revolution underway in part because of these really brave people who put their necks out on the line that Hillary Clinton wanted to destroy.
[00:10:40.376 --> 00:10:42.077]  She wanted to drone Julian Assange.
[00:10:42.117 --> 00:10:42.337]  Right.
[00:10:42.377 --> 00:10:43.337]  She just talked about it.
[00:10:43.357 --> 00:10:44.537]  You know, can't we just drone him?
[00:10:44.577 --> 00:10:45.698]  He's a soft target.
[00:10:45.718 --> 00:10:46.478]  Drop a little drone.
[00:10:46.538 --> 00:10:59.122]  I mean, think about the war on whistleblowers that we've experienced with the Obama administration, who initially ran on being this champion for whistleblowers, and it was actually a part of his creed on his website.
[00:10:59.903 --> 00:11:01.603]  But then it was deleted.
[00:11:01.663 --> 00:11:08.245]  Mysteriously, that line was once he started actually prosecuting whistleblowers at record numbers and coming after them.
[00:11:08.886 --> 00:11:09.726]  He's like, you know what?
[00:11:10.166 --> 00:11:11.707]  I want to take that down.
[00:11:11.747 --> 00:11:14.850]  Maybe we don't really like this transparency as much as we thought we did.
[00:11:15.110 --> 00:11:20.255]  Well, I mean, thanks to WikiLeaks, they really did end up being the most transparent administration ever.
[00:11:20.275 --> 00:11:22.877]  Reluctantly transparent.
[00:11:23.758 --> 00:11:24.418]  They're still coming.
[00:11:24.518 --> 00:11:25.619]  Five more weeks of this.
[00:11:25.699 --> 00:11:26.620]  We have five more weeks.
[00:11:27.081 --> 00:11:31.164]  And I just hope and pray it's enough to get these criminals behind bars.
[00:11:31.364 --> 00:11:33.086]  Well, let's go ahead and take some more phone calls.
[00:11:33.126 --> 00:11:36.709]  I see they're lighting up the board here, which is so crazy because I know we get like
[00:11:38.050 --> 00:11:38.931]  They are!
[00:11:39.151 --> 00:11:39.411]  Yes!
[00:11:39.631 --> 00:11:40.671]  Let's try to get to these quickly.
[00:11:40.731 --> 00:11:43.693]  So, let's go to Ashleen in Kansas.
[00:11:43.753 --> 00:11:44.113]  Go ahead.
[00:11:44.353 --> 00:11:46.094]  You also want to talk about cannabis reform.
[00:11:47.215 --> 00:11:48.475]  Hi, it's Salene.
[00:11:48.655 --> 00:11:50.436]  Oh, hello Salene.
[00:11:50.677 --> 00:11:51.257]  I love that name.
[00:11:51.297 --> 00:11:55.499]  I had you on in the background and I got confused.
[00:11:55.659 --> 00:12:01.162]  The War on Drugs, the mother who has a
[00:12:02.204 --> 00:12:15.887]  I'm totally ignorant about the marijuana thing.
[00:12:16.087 --> 00:12:30.330]  I thought medical marijuana would be a very bad thing for our country because I resent the idea of going somewhere publicly and they smoke marijuana and I have to consume that against my will.
[00:12:32.338 --> 00:12:40.618]  Uh, years and years ago I was at a party and they were smoking it and I didn't smoke it but I was still affected.
[00:12:41.152 --> 00:12:43.473]  I just, I'm confused about the whole issue.
[00:12:44.233 --> 00:12:56.296]  Well, and that's, you know, that's the thing that a lot of people don't understand is, and that's why, you know, these parents can give their child cannabis oil or they can use cannabis butter or some other types of things, lotions you can rub on your skin.
[00:12:56.776 --> 00:12:59.337]  It's, it doesn't get you high like smoking it.
[00:12:59.937 --> 00:13:06.459]  There's different, and also too, with the medicinal marijuana, they're able to take out the properties
[00:13:07.319 --> 00:13:07.559]  It's
[00:13:22.196 --> 00:13:22.516]  We're good to go!
[00:13:39.701 --> 00:13:42.682]  And so this is the same thing with cannabis.
[00:13:42.782 --> 00:13:47.183]  It's a plant and they are able to extract the medicinal properties out of it.
[00:13:47.463 --> 00:13:48.723]  And that's what people don't understand.
[00:13:48.743 --> 00:13:51.704]  And there's this total misinformation campaign out there.
[00:13:52.604 --> 00:14:01.907]  And so, Celine, I'm appreciative of the fact that you're willing to be open to learn a little bit more because there is a lot of misinformation out there.
[00:14:02.227 --> 00:14:02.827]  People do think...
[00:14:03.607 --> 00:14:10.594]  You know, that they're literally sparking up a joint with their six-year-old and that's just not what's happening.
[00:14:11.414 --> 00:14:23.246]  Dr. Ron Paul really highlights this issue and I didn't really know how to feel about it for a long time because, you know, I bought the lies of, you know, you have to make this a moral issue in order to criminalize it effectively with people.
[00:14:24.026 --> 00:14:30.751]  Dr. Paul, his stance, and I really respect him, it's just, you know, the state has no business in this situation.
[00:14:30.811 --> 00:14:35.555]  It's not the state's responsibility to do this, and they're really manipulating it for profit.
[00:14:36.256 --> 00:14:44.962]  And, you know, this case that you're highlighting, Selene and Kansas, you hear so many of those where parents are criminalized, their kids are taken simply because they want their children whole.
[00:14:45.743 --> 00:14:53.972]  And it's like, if we have something like a plant, like I said, most of your pharmaceuticals out there are plant-derived, but they corner the market on it.
[00:14:54.733 --> 00:15:07.486]  They don't want you to be able to have access to it, and why would you not want to try the least amount of something first to help you, rather than what these doctors are saying is the only way you get
[00:15:08.567 --> 00:15:14.772]  Surgery on your child or put your child through chemotherapy which might exacerbate their cancer and kill them.
[00:15:14.952 --> 00:15:21.797]  Get them to stage four cancer and they're gonna have the most miserable existence up until the day they die versus well maybe we can try this
[00:15:23.544 --> 00:15:25.545]  Plant-derived cannabis oil.
[00:15:25.565 --> 00:15:28.266]  I mean, it's just, it's insane.
[00:15:28.466 --> 00:15:31.347]  And there's so many families out there that are just fighting, saying this works.
[00:15:31.447 --> 00:15:36.049]  And frankly, Celine, this has been around for 5,000 years.
[00:15:36.389 --> 00:15:40.231]  They've been using extract with a plant.
[00:15:40.511 --> 00:15:44.613]  You know, it's just only in the last, what, 100-something years, they came in and decided
[00:15:45.526 --> 00:15:47.107]  They can't have access to that.
[00:15:47.307 --> 00:15:50.190]  And it's also due to the fact that they didn't want the hemp to grow.
[00:15:50.210 --> 00:15:51.771]  It would put an oil.
[00:15:51.791 --> 00:15:57.755]  There's so many industries would be put out of business if they would just legalize marijuana.
[00:15:57.855 --> 00:15:58.176]  That's right.
[00:15:58.196 --> 00:16:02.639]  Well, during Prohibition, alcohol was a wealthy person's drug and marijuana wasn't.
[00:16:03.139 --> 00:16:07.302]  And when alcohol was decriminalized, we didn't see that with pot.
[00:16:07.322 --> 00:16:09.104]  Legalized form and not the other form?
[00:16:09.124 --> 00:16:13.187]  In other words, it'll make one form
[00:16:13.911 --> 00:16:17.913]  The smoking illegal and then the other form legal?
[00:16:18.813 --> 00:16:24.335]  Well, for instance, what they've done in Florida is they've legalized medicinal marijuana.
[00:16:24.475 --> 00:16:32.759]  So if people have a prescription for it, they're able to access the different types of whatever different way that it is able to heal them.
[00:16:32.839 --> 00:16:35.940]  Some people smoking marijuana, that's the way it helps them.
[00:16:36.340 --> 00:16:57.838]  I know that's what helped my father when he was going through chemotherapy and he lost more than a hundred pounds during this chemo and he wasn't eating and he was completely miserable and wanted to die but he couldn't take his pain pills because they were really detrimental to him and I mean this is my dad who's like six foot three and two hundred something pounds and then he was like a skeleton.
[00:16:58.719 --> 00:17:01.882]  Well, it sounds like they're playing on the public's ignorance.
[00:17:18.240 --> 00:17:18.940]  Of course they are.
[00:17:19.200 --> 00:17:28.584]  Well, Celine, thank you so much for your call and thank you for being open to learn more because we do need to put the truth out there and stop this misinformation.
[00:17:29.044 --> 00:17:33.906]  Because it is, it's not about protecting you and protecting your children from these evil drugs.
[00:17:34.026 --> 00:17:36.067]  It truly is a racket on the market.
[00:17:36.667 --> 00:17:36.987]  I think so.
[00:17:52.075 --> 00:17:56.079]  Give us the rundown of what happened out there with these crybaby cowards.
[00:17:56.439 --> 00:17:59.682]  But we're going to go ahead and play this report from John Bowne.
[00:17:59.742 --> 00:18:03.225]  He always has such a way with boiling down what's going on in the world.
[00:18:03.685 --> 00:18:09.791]  And he talks about these protests that broke out all over the country today in protest of Donald Trump for president.
[00:18:10.371 --> 00:18:17.212]  And he goes into the misinformation and the brainwashing that has happened to this generation of students.
[00:18:17.573 --> 00:18:19.433]  And we've been reporting on him for years now.
[00:18:19.513 --> 00:18:21.453]  You all have seen these crybaby cowards.
[00:18:22.034 --> 00:18:27.475]  So let's go ahead and take a look at these people protesting their new president.
[00:18:28.055 --> 00:18:33.696]  Behind me stands the University of Texas tower where a large protest is going on, the F Trump protest.
[00:18:34.542 --> 00:18:39.248]  We're not even 24 hours into his president-elect candidacy, and this is their reaction.
[00:18:39.488 --> 00:18:42.491]  They attack Trump as a racist, a misogynist, a rapist.
[00:18:43.132 --> 00:18:44.774]  But do they actually know the facts?
[00:18:45.175 --> 00:18:47.517]  What's your opinion of Trump being elected president?
[00:18:47.998 --> 00:18:50.040]  I'm really sad and disappointed.
[00:18:50.461 --> 00:18:51.022]  Why is that?
[00:18:51.980 --> 00:18:56.964]  Because I think he's a terrible person who doesn't deserve to be the face of the United States.
[00:18:57.004 --> 00:18:58.585]  Why is he a terrible person?
[00:18:58.625 --> 00:19:03.889]  Well, he's been accused of sexually assaulting several women.
[00:19:04.349 --> 00:19:08.973]  He's also racist and quite clearly sexist, possibly homophobic.
[00:19:09.553 --> 00:19:10.714]  Okay, all right.
[00:19:10.734 --> 00:19:17.660]  Hillary was also under NYPD investigation, according to Eric Prince of Blackwater.
[00:19:18.520 --> 00:19:22.565]  And she was found to have visited Jeffrey Epstein's pedophile island six times.
[00:19:23.686 --> 00:19:25.448]  So she is under investigation.
[00:19:25.569 --> 00:19:31.936]  I don't think several women have specifically come out and said, this person sexually assaulted me.
[00:19:32.297 --> 00:19:33.178]  About Hillary Clinton?
[00:19:33.798 --> 00:19:34.018]  Right.
[00:19:34.639 --> 00:19:35.239]  Yeah, they have it.
[00:19:35.479 --> 00:19:36.560]  It's under investigation.
[00:19:36.760 --> 00:19:37.041]  Right.
[00:19:37.161 --> 00:19:38.021]  As is Donald Trump.
[00:19:38.142 --> 00:19:39.583]  Okay, what about the racism?
[00:19:40.223 --> 00:19:41.504]  What about the racism?
[00:19:41.524 --> 00:19:42.905]  How do you explain the racism?
[00:19:42.945 --> 00:19:44.086]  He was endorsed by the KKK.
[00:19:44.166 --> 00:19:46.728]  Okay, he was endorsed by the KKK.
[00:19:46.748 --> 00:19:52.813]  Do you realize Hillary Clinton's mentor was Robert Byrd?
[00:19:52.893 --> 00:19:53.713]  Is that just a joke?
[00:19:55.211 --> 00:19:56.713]  That's just a joke to you.
[00:19:56.853 --> 00:19:57.473]  Is what a joke?
[00:19:57.673 --> 00:20:02.879]  Today our country has lost a true American original, my friend and mentor Robert C. Byrd.
[00:20:03.579 --> 00:20:07.303]  Senator Byrd was a man of surpassing eloquence and nobility.
[00:20:08.444 --> 00:20:14.029]  There are a lot of people who wrote these eulogies for Senator Byrd in the newspapers and I read a bunch of them.
[00:20:15.686 --> 00:20:20.289]  They mentioned that he once had a fleeting association with a Ku Klux Klan.
[00:20:20.309 --> 00:20:21.229]  And what does that mean?
[00:20:21.269 --> 00:20:22.150]  I'll tell you what it means.
[00:20:22.810 --> 00:20:25.492]  He was a country boy from the hills and hollows of West Virginia.
[00:20:25.532 --> 00:20:28.113]  He was trying to get elected.
[00:20:28.133 --> 00:20:30.114]  And maybe he did something he shouldn't have done.
[00:20:31.015 --> 00:20:33.116]  And he spent the rest of his life making it up.
[00:20:33.760 --> 00:20:35.562]  I don't understand why you ask if that's a joke.
[00:20:36.163 --> 00:20:41.390]  Well, if Trump is a racist, why isn't Hillary Clinton a racist?
[00:20:41.490 --> 00:20:43.573]  Is KKK endorsing Hillary?
[00:20:43.953 --> 00:20:45.816]  The Klan was her mentor.
[00:20:45.836 --> 00:20:47.178]  Why is it so funny?
[00:20:47.538 --> 00:20:49.321]  Alright, so why did you come up here to the protest?
[00:20:50.381 --> 00:20:54.463]  I was walking to class and I saw it was when it was smaller here and then when I came back- Texas!
[00:20:55.204 --> 00:20:56.044]  Fight!
[00:20:56.384 --> 00:20:56.744]  Texas!
[00:20:56.884 --> 00:20:57.925]  Fight!
[00:20:58.245 --> 00:21:00.046]  See, that brings everyone together.
[00:21:00.286 --> 00:21:08.190]  Obviously, it's a very, very big pro-Hillary, anti-Trump rally.
[00:21:08.450 --> 00:21:10.391]  Earlier, you mentioned the people with masks.
[00:21:10.531 --> 00:21:12.333]  Do you know who those people are?
[00:21:12.373 --> 00:21:16.876]  From what I can tell, they're wearing keffiyehs, which generally come from the Middle East.
[00:21:17.076 --> 00:21:23.460]  A lot of Palestinian supporters wear them, because that's like one of their... What if I told you it's the local Communist Party?
[00:21:23.640 --> 00:21:24.881]  Oh, I knew it was.
[00:21:25.361 --> 00:21:30.004]  Because, I mean, the pro-Palestinian group here on campus is very, very communist.
[00:21:30.365 --> 00:21:33.127]  I know a few people from classes that are involved with it.
[00:21:33.267 --> 00:21:34.648]  I think we can come together now.
[00:21:35.148 --> 00:21:36.669]  Donald Trump said, make America great again.
[00:21:37.229 --> 00:21:38.570]  I think we can do that.
[00:21:38.630 --> 00:21:43.134]  And this is going to involve everyone across the entire political spectrum.
[00:21:43.334 --> 00:21:46.456]  Left, right, communist, conservative.
[00:21:46.576 --> 00:21:51.160]  Everyone is going to have to work together to make this country great again.
[00:21:51.800 --> 00:21:57.484]  In fact, the majority of them actually believe they're going to be immediately deported.
[00:22:00.615 --> 00:22:01.456]  Uh huh.
[00:22:01.476 --> 00:22:03.157]  Why does Trump have to go?
[00:22:03.297 --> 00:22:06.060]  Because he does not represent this country.
[00:22:06.180 --> 00:22:13.686]  He is racist, xenophobic, and completely utter... Where are you from, my friend?
[00:22:13.806 --> 00:22:15.307]  I am from Houston.
[00:22:15.427 --> 00:22:16.488]  Okay, where are you?
[00:22:16.548 --> 00:22:18.050]  I was born and raised here.
[00:22:18.070 --> 00:22:19.931]  I am a Muslim American.
[00:22:19.971 --> 00:22:20.932]  You're an American?
[00:22:20.952 --> 00:22:21.452]  Yes, sir.
[00:22:21.472 --> 00:22:22.573]  I am a Muslim American.
[00:22:22.613 --> 00:22:24.135]  I do not deserve to be thrown out of this country.
[00:22:24.175 --> 00:22:25.316]  Well, of course you don't.
[00:22:26.656 --> 00:22:26.976]  Exactly.
[00:22:27.657 --> 00:22:29.677]  Of course not.
[00:22:29.897 --> 00:22:32.198]  Freedom of religion?
[00:22:32.278 --> 00:22:32.778]  Yes, sir.
[00:22:32.798 --> 00:22:36.700]  I do not believe Trump respects that.
[00:22:37.360 --> 00:22:43.222]  He believes all of my kind are terrorists, are radical Islamists, when very few of us are.
[00:22:43.242 --> 00:22:45.923]  What's the first thing that comes to mind?
[00:22:46.163 --> 00:22:52.505]  He's going to deport illegal immigrants who will help this country and white supremacy.
[00:22:54.867 --> 00:23:02.292]  The local Communist Party that I spoke to here in Austin wouldn't speak back because they don't believe in free speech and, frankly, they're cowards.
[00:23:02.812 --> 00:23:05.074]  This entire march was a march of cowardice.
[00:23:05.734 --> 00:23:13.900]  As Obama, your leader, has explained to you, you must accept this peaceful transfer of power and accept the resurrection of the U.S.
[00:23:13.960 --> 00:23:17.903]  Constitution and the Bill of Rights of which this country was founded on.
[00:23:18.363 --> 00:23:19.824]  John Bowne for Infowars.com.
[00:23:30.905 --> 00:23:31.705]  Welcome back, folks.
[00:23:31.826 --> 00:23:33.266]  InfoWars is live.
[00:23:33.326 --> 00:23:37.368]  We are going on, what are we, close to 60 hours now that we've been live.
[00:23:37.408 --> 00:23:38.529]  An unbelievable crew back there.
[00:23:38.549 --> 00:23:39.470]  They're supported by you.
[00:23:39.810 --> 00:23:42.151]  Going to InfoWarsStore.com and buying our products.
[00:23:42.211 --> 00:23:43.992]  I'm about to be joined by Darren McBreen.
[00:23:44.272 --> 00:23:46.433]  But we just watched that video from John Bowne.
[00:23:47.514 --> 00:23:53.077]  And I'm watching this video and I'm sitting here and I'm thinking to myself, have I not dealt with this enough?
[00:23:54.059 --> 00:23:56.801]  Have I not dealt with these dumbasses enough?
[00:23:57.422 --> 00:24:04.848]  Do I have to go to a college campus again tomorrow and make another viral video exposing how stupid and ignorant and illiterate these people are?
[00:24:05.129 --> 00:24:05.369]  Yes.
[00:24:05.889 --> 00:24:08.752]  And watching that video, I think Darren is 100% right.
[00:24:08.832 --> 00:24:09.112]  I do.
[00:24:09.172 --> 00:24:09.753]  So tomorrow...
