[00:00:00.009 --> 00:00:01.532]  The Alex Jones Show.
[00:03:04.026 --> 00:03:07.770]  Who lives in a complete fantasy land with a bunch of starving scarecrows
[00:03:08.826 --> 00:03:12.447]  Being forced to worship him as hundreds of thousands starve to death a year.
[00:03:13.068 --> 00:03:14.328]  This is your state.
[00:03:14.468 --> 00:03:17.609]  This is your feel the burn world.
[00:03:17.789 --> 00:03:23.892]  This is what socialism and communism and collectivism and fascism and all forms of centralization.
[00:03:25.253 --> 00:03:48.639]  Command and Control baguette is gangs and thugs and rule by insider cliques and Russia is just so on target over and over again telling the West, you move nuclear weapons up against our borders and threaten us and put proxy armies in, we're moving nukes in and if it looks like you're about to use them on our troops, we're going to hit you.
[00:03:50.137 --> 00:04:04.772]  Okay, and then telling Turkey, if you mass wave attack us with artillery and with a large army you're forming of over 100,000 troops and mercenaries out of Saudi Arabia, we're going to use a tactical nuke on you.
[00:04:05.233 --> 00:04:08.276]  Now that's classic legal tactics.
[00:04:08.416 --> 00:04:10.058]  If you're being invaded, if you're being hit,
[00:04:10.973 --> 00:04:16.415]  by a large attack that you can't repulse, using a tactical nuclear weapon on it.
[00:04:17.275 --> 00:04:30.278]  The difference is, and that's US policy as well, and it makes sense, it's mutually assured destruction basically at a tactical level, not just a ICBM, intercontinental, nation against nation level.
[00:04:31.679 --> 00:04:39.201]  But if you expand on that, and this is what's really important, North Korea is threatening to just nuke the capital of South Korea
[00:04:40.399 --> 00:04:53.930]  If they don't, quote, capitulate to match their demands, that's nuclear terrorism, that's holding people hostage, and it's a lot bigger than all the Al-Qaeda threats they're constantly hyping to take our freedoms, even as the government gets caught shipping the Al-Qaeda and ISIS threat in itself.
[00:04:54.391 --> 00:04:57.513]  We'll be back after break to go over all this and a lot more.
[00:04:57.854 --> 00:05:01.977]  I'm Alex Jones, and never forget, if you're listening or watching this transmission, you know it's true.
[00:05:02.397 --> 00:05:05.160]  Get active, get involved, because you are the resistance.
[00:05:08.948 --> 00:05:17.370]  In the last Democratic debate, we learned that there are no poor white people and that Hillary Clinton single-handedly saved the auto industry.
[00:05:17.590 --> 00:05:19.371]  What will we learn this time around?
[00:05:19.991 --> 00:05:22.011]  First, they wouldn't debate at all.
[00:05:22.351 --> 00:05:26.152]  Then, only during NFL playoff games or Christmas Eve.
[00:05:26.452 --> 00:05:29.393]  Well, finally, the moment you've been waiting for is here.
[00:05:29.793 --> 00:05:33.074]  Watch the InfoWars crew dismantle the Democratic debate.
[00:05:33.394 --> 00:05:37.816]  Join InfoWars.com this Wednesday, March 9th at 7 p.m.
[00:05:37.876 --> 00:05:44.158]  Central as we get a crack at the race-baiting, give-us-free-stuff duo of Hillary Clinton and Bernie Sanders.
[00:05:44.378 --> 00:05:50.360]  We'll be crashing through their lies in real time for live coverage like you won't see anywhere else.
[00:05:50.740 --> 00:05:55.522]  Watch for free at InfoWars.com slash show and the Alex Jones Channel on YouTube.
[00:05:55.822 --> 00:05:59.627]  We'll be taking your phone calls before, during, and after the debate.
[00:06:00.048 --> 00:06:04.654]  Join us for live debate coverage this Wednesday, March 9th at 7 p.m.
[00:06:04.734 --> 00:06:05.054]  Central.
[00:06:08.069 --> 00:06:11.291]  When cells become toxic, they die early and aging sets in.
[00:06:11.591 --> 00:06:19.595]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:06:19.835 --> 00:06:24.858]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:06:25.258 --> 00:06:27.539]  You want the best that's out there at the lowest price anywhere?
[00:06:27.779 --> 00:06:29.560]  We now have the synergistic solution.
[00:06:29.880 --> 00:06:34.083]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:06:38.035 --> 00:06:38.796]  Shower Filters.
[00:06:38.956 --> 00:06:40.557]  We're introducing the best yet.
[00:06:40.677 --> 00:06:44.599]  The brand new ProPure ProMax High Performance Shower Filter.
[00:06:44.739 --> 00:06:49.362]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[00:06:49.562 --> 00:06:56.486]  This new 4-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[00:06:56.646 --> 00:07:03.610]  You can find more details on this amazing new filter and free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax Shower Filter from ProPure today.
[00:07:07.913 --> 00:07:09.295]  Clean, pure drinking water.
[00:07:09.556 --> 00:07:10.877]  You can't survive without it.
[00:07:11.058 --> 00:07:11.959]  But where do you get it?
[00:07:12.259 --> 00:07:18.028]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:07:18.248 --> 00:07:23.976]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:07:24.136 --> 00:07:41.017]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:07:41.397 --> 00:07:43.538]  Filter capacity up to 5,000 gallons.
[00:07:43.899 --> 00:07:45.079]  Stainless steel construction.
[00:07:45.360 --> 00:07:46.140]  Easy assembly.
[00:07:46.400 --> 00:07:47.021]  Low maintenance.
[00:07:47.321 --> 00:07:49.142]  Replacement filters are simple to install.
[00:07:49.402 --> 00:07:56.547]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:07:56.687 --> 00:08:01.730]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:08:01.890 --> 00:08:04.452]  Go to InfowarsStore.com or call 888-253-3139.
[00:08:15.367 --> 00:08:21.071]  Ladies and gentlemen, it is March 9th, 2016 on this Wednesday Worldwide Broadcast and wow!
[00:08:21.111 --> 00:08:27.695]  We saw another big primary night last night and Donald Trump
[00:08:41.070 --> 00:08:46.394]  Again, dominated and won so many of the key states.
[00:08:46.795 --> 00:08:48.716]  We're going to be walking through all that today.
[00:08:49.597 --> 00:08:53.460]  We have him winning Hawaii, the coveted Michigan, and Mississippi.
[00:08:54.100 --> 00:08:56.382]  But those are not winner-take-all.
[00:08:56.922 --> 00:09:00.065]  And that's been the Republican strategy, we told you about almost three weeks ago.
[00:09:00.445 --> 00:09:01.946]  Now it was in the Washington Post yesterday.
[00:09:02.346 --> 00:09:07.090]  The Republican establishment does intend to steal the election at the
[00:09:08.371 --> 00:09:15.654]  primary level once they get into the Republican National Convention before it ever gets into the general election.
[00:09:16.114 --> 00:09:23.397]  I don't think they're going to be successful because it's so much momentum is getting behind Trump, but they're throwing everything they've got at him right now.
[00:09:23.777 --> 00:09:26.198]  So Trump has 558 delegates.
[00:09:27.119 --> 00:09:30.540]  Ted Cruz is clearly second place now.
[00:09:30.560 --> 00:09:30.540]  359.
[00:09:30.760 --> 00:09:35.082]  Rubio, the big news obviously on the Republican side, is that Rubio
[00:09:36.224 --> 00:09:37.786]  He's now clearly out of the race.
[00:09:38.246 --> 00:09:39.927]  Even most mainline analysts agree.
[00:09:39.948 --> 00:09:42.290]  So that's another establishment darling falling.
[00:09:42.630 --> 00:09:44.111]  And of course, Kasich at 54.
[00:09:45.272 --> 00:09:49.216]  Clearly never really in the race, but they're trying to prop him up as well.
[00:09:49.736 --> 00:09:52.539]  Now, Donald Trump has come out and called for unity.
[00:09:54.105 --> 00:09:56.766]  In a speech last night.
[00:09:57.867 --> 00:10:05.650]  And so it's important that we basically play some of his victory speech and what he was calling for.
[00:10:05.850 --> 00:10:06.991]  Here's some of those highlights.
[00:10:08.511 --> 00:10:09.031]  Carl, thank you.
[00:10:09.051 --> 00:10:12.193]  Let's take a listen to the winner tonight in Michigan and Mississippi.
[00:10:12.213 --> 00:10:17.055]  I don't think I've ever had so many horrible, horrible things said about me in one week.
[00:10:19.686 --> 00:10:23.087]  38 million dollars worth of horrible lies, but that's okay.
[00:10:23.507 --> 00:10:26.228]  It shows you how brilliant the public is.
[00:10:26.988 --> 00:10:31.229]  Because they knew they were lies, and it was just really amazing to watch.
[00:10:31.749 --> 00:10:37.971]  I think what this shows, really more than anything else, is that advertising is not as important.
[00:10:38.431 --> 00:10:40.752]  It really isn't as important as competence.
[00:10:41.477 --> 00:10:46.539]  Because there has never been more money spent on hitting somebody than was spent on me.
[00:10:47.299 --> 00:10:53.002]  And between that and people saying things and, you know, Lindsey Graham goes and... He's a nasty person.
[00:10:53.242 --> 00:10:54.903]  First of all, he's wrong on the military.
[00:10:54.943 --> 00:10:57.804]  He truly... This is why he's... He said, I've been doing this for 15 years.
[00:10:57.824 --> 00:11:00.625]  That's right, we've been fighting a war for 15 years with this kind of thinking.
[00:11:01.726 --> 00:11:05.527]  I mean, if you're gonna fight a war, win the war and let's get back to rebuilding our country, okay?
[00:11:05.767 --> 00:11:07.368]  But Marco helped me a lot because...
[00:11:08.368 --> 00:11:09.830]  He called Ted a liar!
[00:11:09.910 --> 00:11:10.851]  He said, you're a liar!
[00:11:11.091 --> 00:11:12.073]  That's the first time!
[00:11:12.133 --> 00:11:14.095]  Look, I know politicians better than anybody.
[00:11:14.516 --> 00:11:15.577]  They're liars, okay?
[00:11:15.617 --> 00:11:16.458]  They're serious liars.
[00:11:17.685 --> 00:11:20.027]  More importantly, they'll never get you to the promised land.
[00:11:20.187 --> 00:11:20.387]  Ever.
[00:11:20.808 --> 00:11:22.529]  They'll never get you to the promised land.
[00:11:22.569 --> 00:11:23.089]  They won't do it.
[00:11:23.109 --> 00:11:25.151]  Because they're controlled by the special interests.
[00:11:25.531 --> 00:11:28.314]  They're controlled by the people that put up all this money for them to run.
[00:11:28.734 --> 00:11:29.174]  They're controlled.
[00:11:29.194 --> 00:11:32.077]  You know how much money was spent in the last week on me?
[00:11:32.097 --> 00:11:38.662]  And do you know how many times they were asking, despite the fact that they're not supposed to be talking to their super PAC?
[00:11:39.671 --> 00:11:42.295]  Carl, fellas, let me ask you a question.
[00:11:42.475 --> 00:11:47.543]  How many times do you think Marco and Ted and all of them were calling their super PACs?
[00:11:48.124 --> 00:11:49.966]  Now, let's look at the Democrats' side.
[00:11:50.848 --> 00:11:54.212]  Bernie scored a big upset victory in Michigan.
[00:11:54.960 --> 00:11:57.102]  Hillary clearly is stealing the election all over the country.
[00:11:57.122 --> 00:12:03.848]  She's been caught from Iowa to places like the situation in New Hampshire.
[00:12:04.208 --> 00:12:06.531]  She says the delegates are mine, the superdelegates are mine.
[00:12:06.551 --> 00:12:07.191]  It doesn't matter.
[00:12:07.512 --> 00:12:08.693]  The party's going to give it to me.
[00:12:10.634 --> 00:12:15.519]  This is just simply amazing that this is happening again so nakedly.
[00:12:15.799 --> 00:12:17.341]  The Democrats stealing it openly.
[00:12:18.157 --> 00:12:23.601]  The Republicans say they're going to steal it openly, but the Democrats are already doing it.
[00:12:24.001 --> 00:12:30.525]  And we have a lot of evidence that there is point shaving, because it's not winner-take-all in most of these states, in the Republican primaries as well.
[00:12:30.605 --> 00:12:38.130]  Again, so Trump doesn't get that key 50-plus percent of the delegates so they can challenge the nomination.
[00:12:39.451 --> 00:12:42.914]  I know you know that, but we better get that news out to the general public.
[00:12:43.474 --> 00:12:44.495]  This is one of the few times
[00:12:46.621 --> 00:12:49.422]  Where the fact that they can steal elections is now widely known.
[00:12:49.762 --> 00:13:09.851]  We need to hammer that point home and let the Republican precinct chairs, delegates, superdelegates, everyone know that if they steal the popular vote from the record numbers of people that have come into the Republican Party with Trump's big tent approach, it's really what it is, his populist approach, you're going to hold them personally responsible.
[00:13:11.519 --> 00:13:13.561]  You're going to run against them in office.
[00:13:13.601 --> 00:13:16.864]  You're going to make it a personal political beef.
[00:13:18.065 --> 00:13:20.828]  If they engage in this type of activity, you're going to get their name in the newspaper.
[00:13:21.468 --> 00:13:24.451]  The shame of stealing the popular vote from the people.
[00:13:25.092 --> 00:13:25.952]  That's what this is all about.
[00:13:27.193 --> 00:13:29.896]  Now, shifting gears, the story is up on InfoWars.com.
[00:13:29.996 --> 00:13:31.838]  The story is up on DrudgeReport.com.
[00:13:31.898 --> 00:13:34.020]  We're going to cover it in a moment.
[00:13:35.427 --> 00:13:38.169]  Russia is threatening to invade North Korea.
[00:13:38.309 --> 00:13:39.350]  We're going to get to that in a moment.
[00:13:39.390 --> 00:13:45.535]  North Korea obviously has been threatening nuclear terror, holding the world hostage if they don't submit and give them what they want.
[00:13:46.075 --> 00:13:48.678]  Now, is our Pentagon saying anything about that?
[00:13:48.698 --> 00:13:48.738]  No.
[00:13:50.640 --> 00:13:55.365]  They hope there's some big conflict, at least the presidential level, because that's a distraction from Barack Obama.
[00:13:55.725 --> 00:13:58.328]  This is the dangerous military climate we've gotten into.
[00:13:58.829 --> 00:14:06.217]  But North Korea, according to my research and many other experts like Joel Skousen, is the key trigger for World War III, or what the Pentagon calls World War IV.
[00:14:06.497 --> 00:14:08.859]  They call the Cold War, World War, World War III.
[00:14:10.083 --> 00:14:13.706]  Separately, there is a new report out, ladies and gentlemen.
[00:14:14.026 --> 00:14:18.729]  Pentagon admits military spy drones over the USA.
[00:14:19.049 --> 00:14:20.931]  And that's in USA Today.
[00:14:21.611 --> 00:14:25.634]  Again, the story is on DrugsReport.com and InfoWars.com.
[00:14:25.674 --> 00:14:30.958]  We need the flashback articles from 10 years ago, 5 years ago, 3 years ago, a year ago.
[00:14:31.018 --> 00:14:32.799]  Somebody should write an article of our great reporters.
[00:14:33.099 --> 00:14:34.260]  It ought to be Kurt Demme, probably.
[00:14:35.422 --> 00:14:36.263]  And it should just be.
[00:14:37.364 --> 00:14:41.127]  Infowars, Drudge, proven right about military drones over the U.S.
[00:14:41.648 --> 00:14:51.056]  Remember all those articles five years ago and three years ago and two years ago saying Jones is insane, Kurt Nemo is insane, Matt Drudge is lying, because Drudge would run our stories.
[00:14:51.516 --> 00:14:53.398]  There are no military drones over the U.S.
[00:14:53.418 --> 00:14:58.282]  And they would write these articles in USA Today of all places did it.
[00:14:59.463 --> 00:15:00.984]  It was in columns all over the country.
[00:15:01.004 --> 00:15:02.706]  It was a big push several times.
[00:15:04.222 --> 00:15:07.565]  We could pull the articles up saying we were lying about drones and that it was a conspiracy theory.
[00:15:07.585 --> 00:15:13.530]  Kind of like we were lying about the NSA spying on you, or Obamacare being a huge rip-off, which everybody knows it is now.
[00:15:13.770 --> 00:15:16.332]  They'd say, it's a conspiracy, there are no taxes in it.
[00:15:18.054 --> 00:15:18.874]  It's a conspiracy.
[00:15:19.955 --> 00:15:21.116]  It doesn't fine you.
[00:15:21.156 --> 00:15:23.858]  And then the Supreme Court ruled it's a tax and it does fine you.
[00:15:24.018 --> 00:15:25.039]  It was in the stinkin' bill!
[00:15:25.620 --> 00:15:26.801]  They just hope you don't go read.
[00:15:28.180 --> 00:15:48.477]  It was in local newspapers in the Dakotas and in Texas and all over that they had predator drones assigned to Homeland Security under Pentagon control and CIA control, they have two different fleets, watching farmers in Colorado and Texas and South Dakota going after quote cattle rustlers.
[00:15:48.837 --> 00:15:55.823]  Remember the cattle kept coming over on the property under state law in that state, you know, you can take them at that point because the neighbors were just letting their cows be on their property.
[00:15:56.929 --> 00:15:57.769]  You know, you can't do that.
[00:15:57.789 --> 00:16:03.752]  I mean, we've taken cows on our ranch, and we've had some ours about 20-something years ago taken the third time they went over in a guy's yard.
[00:16:04.132 --> 00:16:06.614]  Now, my grandfather didn't like the neighbor too much after that.
[00:16:09.315 --> 00:16:12.076]  But, you know, still, that's the law.
[00:16:12.136 --> 00:16:16.518]  He got to keep some of his cows, including his prized bull that broke through the fence to go after his cows.
[00:16:17.198 --> 00:16:19.740]  So, they used predator drones on that.
[00:16:19.880 --> 00:16:22.241]  And then we were just linking to the local articles.
[00:16:23.305 --> 00:16:24.025]  That's what's crazy.
[00:16:24.065 --> 00:16:26.187]  We weren't breaking it ourselves.
[00:16:26.887 --> 00:16:37.753]  It's like the Civilian Inmate Labor Camp or the Emergency Centers Establishment Act that Obama put in saying for patriots that they believe an uprising is coming, quote, re-education camps.
[00:16:38.133 --> 00:16:41.535]  Just type in Army Manual Admits Preparation for Internment Camps.
[00:16:41.655 --> 00:16:45.417]  They use the word re-education camp, how to process our social security numbers.
[00:16:47.854 --> 00:16:54.437]  I expect when I cover this next article that they'll probably have a Media Matters article out saying nuclear war is about to happen.
[00:16:54.817 --> 00:16:55.838]  No, I'm not saying it.
[00:16:55.958 --> 00:17:00.640]  Daily Caller is reporting on the Russian newspapers and the British newspapers.
[00:17:02.221 --> 00:17:03.842]  Again, they just hope you don't check reality.
[00:17:04.202 --> 00:17:06.263]  Russia threatens invasion of North Korea.
[00:17:07.604 --> 00:17:13.026]  If nuclear rhetoric continues, the warning was issued in the form of a written statement from the Russian Foreign Ministry.
[00:17:14.067 --> 00:17:16.648]  Because North Korea keeps threatening to nuke
[00:17:17.622 --> 00:17:26.546]  To nuke the capital of South Korea that's got like more than 10 million people in it, but Seoul, that's only like 35 miles from the border.
[00:17:27.407 --> 00:17:38.132]  If they don't capitulate and just let North Korea have their money, have their trade routes, and just follow up this little goblin-like collectivist rat.
[00:17:38.192 --> 00:17:39.373]  I mean, look at the communism!
[00:17:39.673 --> 00:17:43.315]  Another hereditary dictator ruling over everyone and vampirically
[00:17:43.795 --> 00:17:51.841]  Literally having sex slaves in a seven-story pleasure palace that his dad built, and weird giant pyramid buildings that they can't even put windows in.
[00:17:52.442 --> 00:17:54.643]  This is what communism and collectivism... But don't worry!
[00:17:54.884 --> 00:18:00.348]  Lots of uniforms, lots of big hats, lots of medals, lots of checkpoints, lots of spies!
[00:18:01.653 --> 00:18:04.695]  This is the conquest, parasite economy we're fighting against.
[00:18:04.736 --> 00:18:11.001]  This is a parasite economy, a conquest economy versus a renaissance, free will, truth economy.
[00:18:11.481 --> 00:18:19.668]  And I see America with social justice warriors and all the political correctness where there's all these losers and nobodies that want to get together in gangs.
[00:18:20.748 --> 00:18:21.889]  Literally stupid scum.
[00:18:22.009 --> 00:18:23.209]  I mean, they're everywhere.
[00:18:24.029 --> 00:18:25.450]  It's white, black, hispanic, everybody.
[00:18:25.550 --> 00:18:26.671]  It's all these victims.
[00:18:26.731 --> 00:18:27.451]  Victimology.
[00:18:27.651 --> 00:18:29.152]  And then they get around and they lie.
[00:18:29.352 --> 00:18:30.952]  They get together and they steal.
[00:18:31.232 --> 00:18:34.294]  They get together and they create all these huge frauds together.
[00:18:34.874 --> 00:18:38.275]  And they try to get in positions of power to then leech off everyone.
[00:18:38.576 --> 00:18:43.618]  And this paradigm has happened time and time and time again in history.
[00:18:44.718 --> 00:18:48.181]  And we are racing towards it, but they want us all fighting with each other low-level.
[00:18:48.221 --> 00:18:57.529]  The technocrats that control the future prediction technologies of Google and all the super science medical advancements and the super weapons, they are breakaway now.
[00:18:57.989 --> 00:19:04.594]  They're just figuring out how to dumb us down, get us in our distraction, get us drugged up, and just phase out the generation.
[00:19:05.555 --> 00:19:06.516]  The soft kill's begun.
[00:19:06.536 --> 00:19:08.597]  They're upping the sterolins in the water, the food.
[00:19:08.877 --> 00:19:09.977]  They're upping the vaccines.
[00:19:09.997 --> 00:19:11.178]  They're upping the glyphosates.
[00:19:11.438 --> 00:19:13.659]  You see all the cancer rates, all the fertility rates.
[00:19:14.100 --> 00:19:17.001]  Fertility down, cancer up, everything else up, diabetes up.
[00:19:17.341 --> 00:19:18.402]  I'm not being alarmist.
[00:19:18.522 --> 00:19:19.883]  This is a eugenics plan.
[00:19:20.203 --> 00:19:22.564]  And people warned about Hitler in 33, 35, 38.
[00:19:23.665 --> 00:19:24.925]  People didn't believe about Hitler till 44.
[00:19:27.226 --> 00:19:29.708]  It was a conspiracy theory that he was killing people inside Germany.
[00:19:30.816 --> 00:19:35.658]  It was a conspiracy theory that Stalin had killed 27 million people, but by the 60s we knew, in the 50s we knew.
[00:19:35.678 --> 00:19:49.005]  We're going to go to break, come back here and cover so much more with other anchors and folks popping in, and I'll be back live, Lord willing, in the second hour on the election and this and a lot more.
[00:19:49.505 --> 00:19:52.747]  Stay with us, tell your friends and family to tune in and neighbors, this is a key fight.
[00:19:52.967 --> 00:19:56.909]  This is humanity struggling for freedom, struggling for air, struggling for the surface.
[00:19:57.489 --> 00:19:59.091]  They want to keep us submerged in oppression.
[00:19:59.111 --> 00:20:02.175]  We don't even know there's a surface world of liberty above us, but it's there.
[00:20:02.195 --> 00:20:05.319]  Alright, I'm Alex Jones, InfoWars.com.
[00:20:05.339 --> 00:20:08.303]  Please support us, please pray for us, because we are the tip of the spear.
[00:20:12.185 --> 00:20:16.548]  Hey, I rode the elevator with you, but I don't work on the upper floors.
[00:20:16.988 --> 00:20:23.532]  I just want to squeeze in there right next to you, so the RFID scanner in my pocket can capture all your personal information.
[00:20:23.852 --> 00:20:26.914]  Your debit and credit cards, even your work ID badge.
[00:20:27.335 --> 00:20:29.696]  So your identity is now my identity.
[00:20:30.276 --> 00:20:30.717]  Going up.
[00:20:31.677 --> 00:20:39.603]  So am I. For over 10 years, ID Stronghold has pioneered RFID-blocking wallets and ID badge holders for consumers, the U.S.
[00:20:39.643 --> 00:20:42.385]  military, and even the Executive Office of the President.
[00:20:42.925 --> 00:20:44.426]  Shouldn't you be protected too?
[00:20:45.067 --> 00:20:49.730]  ID Stronghold wallets cost about the same as wallets in most stores, but give you extra protection.
[00:20:50.050 --> 00:20:52.752]  I'm Wal Augustinowitz, founder and CEO of ID Stronghold.
[00:20:53.072 --> 00:20:54.954]  Don't be a victim of electronic pickpocketing.
[00:20:55.154 --> 00:20:59.317]  Protect yourself from crimes you can't see with ID Stronghold wallets, card sleeves, and purses.
[00:20:59.537 --> 00:21:04.362]  Visit IDStronghold.com and get the original RFID blocking wallets and badge holders.
[00:21:05.924 --> 00:21:07.325]  IDStronghold.com
[00:21:08.928 --> 00:21:10.409]  Are you looking to sell body armor?
[00:21:10.609 --> 00:21:13.432]  Want to make extra money selling body armor at your local gun shows?
[00:21:13.552 --> 00:21:17.115]  With low minimum buys and great returns, KD Armor is the answer.
[00:21:17.215 --> 00:21:18.876]  Make money in your spare time.
[00:21:18.896 --> 00:21:25.802]  It's American-made body armor with the quickest turnaround in the industry, which means you get your product when you need it at very competitive rates.
[00:21:26.182 --> 00:21:27.843]  And they'll ship it to you for free.
[00:21:28.064 --> 00:21:30.626]  If you own a business, give them a call today at 855-488-KD.
[00:21:30.666 --> 00:21:31.166]  That's 855-488-2284.
[00:21:31.186 --> 00:21:32.327]  Or go to KDArmor.com.
[00:21:32.367 --> 00:21:33.388]  Come and take it.
[00:21:38.897 --> 00:21:42.720]  Serious investors and traders want to make 81% return in 60 seconds?
[00:21:43.220 --> 00:21:48.864]  Use the same secret algorithm professional hedge fund managers use to make billions of dollars of profits.
[00:21:48.884 --> 00:21:52.286]  Turn $250 into $4,903 in just 7 clicks of a mouse.
[00:21:52.686 --> 00:21:57.210]  Our tool is so simple that my 82-year-old grandmother can use it to make insane stock market profits.
[00:21:57.490 --> 00:21:59.711]  Go to BigBuckRiches.com.
[00:22:00.071 --> 00:22:03.094]  Watch the free video before the hedge funds make us take it down.
[00:22:03.314 --> 00:22:05.355]  Go to BigBuckRiches.com.
[00:22:05.635 --> 00:22:07.997]  From the Robert Allen System, current returns not indicative of future results.
[00:22:08.737 --> 00:22:18.059]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:18.159 --> 00:22:22.479]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:22.579 --> 00:22:28.620]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:28.680 --> 00:22:31.281]  Buy now at DefenderShield.com.
[00:22:31.461 --> 00:22:33.681]  For 10% off, use promo code GCN.
[00:22:33.841 --> 00:22:37.382]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:38.379 --> 00:22:41.141]  My dad was 59 when he collapsed from a heart attack late last year.
[00:22:41.442 --> 00:22:44.064]  Just this past August was when we spread his ashes on the St.
[00:22:44.084 --> 00:22:44.504]  Croix River.
[00:22:44.824 --> 00:22:46.826]  I loved my dad, but boy was he stubborn.
[00:22:47.046 --> 00:22:49.788]  He hadn't been to the doctor in over 25 years.
[00:22:50.028 --> 00:22:50.529]  His excuse?
[00:22:50.889 --> 00:22:51.970]  He simply couldn't afford it.
[00:22:52.230 --> 00:22:53.511]  He wasn't a rich man by any means.
[00:22:53.831 --> 00:22:59.336]  At less than $107 per month, LibertyOnCall.org would have been the perfect alternative for my father.
[00:22:59.596 --> 00:23:00.337]  Don't wait.
[00:23:00.637 --> 00:23:02.999]  Go to LibertyOnCall.org right now.
[00:23:03.299 --> 00:23:05.541]  For not just your sake, but for the sake of your loved ones.
[00:23:05.781 --> 00:23:07.402]  Again, that's LibertyOnCall.org.
[00:23:08.363 --> 00:23:11.565]  Water is the single most important thing your body needs.
