[00:00:02.040 --> 00:00:03.181]  All right, folks, we're live.
[00:03:09.713 --> 00:03:16.558]  Most Americans are fully aware that our greatest threat lies in Obama's policies regarding immigration.
[00:03:16.558 --> 00:03:27.866]  The bill isn't even warm yet, and Vice President Joe Biden is in Turkey cheerleading World War III, presenting both sides of the issue to Turkey and the American people.
[00:03:28.226 --> 00:03:32.068]  Our allies in the region were our largest problem in Syria.
[00:03:32.068 --> 00:03:37.791]  The Turks were great friends, and I have a great relationship with Erdogan, which I just spent a lot of time with.
[00:03:37.791 --> 00:03:49.197]  They poured hundreds of millions of dollars and tens, thousands of tons of weapons into anyone who would fight against Assad.
[00:03:49.197 --> 00:03:55.280]  Except that the people who were being supplied were al-Nusra and al-Qaeda,
[00:03:55.936 --> 00:04:00.786]  And the extremist elements of jihadis coming from other parts of the world.
[00:04:01.852 --> 00:04:21.341]  Following World War II, the United States leadership has continually sought to foment and drive the industrial military complex machine into an unending unconstitutional state of global war, creating the very enemies Obama's dictatorial powers would seek to suppress.
[00:04:21.341 --> 00:04:29.285]  We have finally reached the precipice of the total annihilation of the balance of powers that act as the foundation of our republic.
[00:04:30.006 --> 00:04:35.169]  Let's not get involved in constitutional arguments.
[00:04:35.169 --> 00:04:49.756]  President Obama is desperately attempting to disarm the public and re-engineer the United States into a lawless military state overseen by corrupt politicians on par with the horror south of our border.
[00:04:49.756 --> 00:04:51.677]  John Bowne for Infowars.com
[00:04:59.192 --> 00:05:07.796]  The Bernie Sanders campaign is so suspicious of Microsoft's influence in the Iowa caucus that they've built an independent system to check the official results.
[00:05:07.796 --> 00:05:23.082]  For the first time this year, Microsoft partnered with the Iowa Democratic and Republican parties to provide a technology platform which officials at hundreds of caucuses across the state will use to report results from individual precincts to party headquarters for tabulation.
[00:05:23.382 --> 00:05:31.628]  The arrangement has raised eyebrows of aides to Sanders, who regularly warn that corporate power and the billionaire class are trying to hijack democracy.
[00:05:31.628 --> 00:05:42.056]  Sanders' Iowa campaign manager questioned Microsoft's motives in an interview with MSNBC, saying, you'd have to ask yourself why they'd want to give something like that away for free.
[00:05:42.056 --> 00:05:42.937]  Fair enough.
[00:05:42.937 --> 00:05:47.901]  But the same question could be asked of a presidential candidate promising so many freebies.
[00:05:47.901 --> 00:05:49.982]  Be sure to tune in to InfoWars.com.
[00:05:49.982 --> 00:05:53.005]  We'll be bringing you up-to-date coverage on the ground from Iowa.
[00:05:53.325 --> 00:05:55.166]  Leanne McAdoo for InfoWars.com.
[00:05:55.166 --> 00:05:59.507]  Hey, how you doing, Alex?
[00:05:59.507 --> 00:06:00.067]  Good, brother.
[00:06:00.067 --> 00:06:01.807]  Just recently started using your products.
[00:06:01.807 --> 00:06:03.748]  Everything you said about them is correct.
[00:06:03.748 --> 00:06:07.809]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[00:06:07.809 --> 00:06:10.390]  Well, thank you, brother, because it also funds our operation.
[00:06:10.390 --> 00:06:12.830]  But doing that, I know I've got to have the highest quality.
[00:06:12.830 --> 00:06:14.851]  Super Mill Vitality was developed
[00:06:15.111 --> 00:06:20.913]  To activate your body's own natural processes instead of using synthetic chemicals.
[00:06:20.913 --> 00:06:24.234]  We do the super male and the super female vitality.
[00:06:24.234 --> 00:06:25.755]  Big changes, a lot of energy.
[00:06:25.755 --> 00:06:28.816]  We've gotten off the cheap energy drinks, energy shots.
[00:06:28.816 --> 00:06:30.456]  Saving a ton of money there.
[00:06:30.456 --> 00:06:32.897]  Sourced from powerful organic herbs.
[00:06:33.197 --> 00:06:38.301]  Harvested around the planet and then concentrated or maximum potency.
[00:06:38.301 --> 00:06:50.309]  They want to stun and dumb down and energy drinks and stuff just cover that up for a while but then burn you out in my experience where stuff that gets your glands naturally going goes right to the source so it's pretty exciting and I love it.
[00:06:50.309 --> 00:06:57.254]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWarsLife.
[00:06:58.425 --> 00:07:01.606]  A clean, toxic-free body is the foundation of true health.
[00:07:01.606 --> 00:07:03.966]  Deep Cleanse by InfoWarsLife.com.
[00:07:03.966 --> 00:07:10.968]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:07:10.968 --> 00:07:16.290]  Using our proprietary multi-step extraction technology, Deep Cleanse is our most affordable all-in-one cleanser.
[00:07:16.290 --> 00:07:25.272]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[00:07:25.712 --> 00:07:34.576]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:07:34.576 --> 00:07:41.679]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary SpiteGerex herbal processing technique.
[00:07:41.679 --> 00:07:47.062]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you the best.
[00:07:47.342 --> 00:07:52.947]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:07:52.947 --> 00:07:54.909]  That's InfoWarsLife.com or call 888-253-3139.
[00:08:14.904 --> 00:08:16.325]  It's Alex Jones.
[00:08:16.325 --> 00:08:19.907]  Ladies and gentlemen, we are broadcasting worldwide.
[00:08:45.010 --> 00:08:54.416]  On this Thursday, the 28th day of January 2016, really hard to believe that the first month of 2016 is almost bye-bye.
[00:08:54.416 --> 00:08:54.956]  Wow!
[00:08:54.956 --> 00:08:56.998]  Total information overload again.
[00:08:56.998 --> 00:08:59.419]  I pledge today to go over all this news.
[00:08:59.419 --> 00:09:02.341]  I will cover all 200 plus articles.
[00:09:02.341 --> 00:09:04.462]  I will get to all five guests.
[00:09:04.462 --> 00:09:06.924]  I will, I will, I will, or die trying.
[00:09:08.442 --> 00:09:16.351]  We have Harry Dent, who's predicted exactly what's happening with the economy with the last few years, with stunning precision, popping in for 30 minutes.
[00:09:16.351 --> 00:09:27.983]  David Knight and Joe Biggs from Oregon, where we've got one dead, another was grazed, and now Ayman Bundy has told the folks inside the Wildlife Refuge, please come out, please, you know, give up.
[00:09:28.784 --> 00:09:31.145]  And they're saying that they may not charge you.
[00:09:31.145 --> 00:09:36.266]  There's a seven-mile perimeter around it, and our crew is approaching that perimeter right now.
[00:09:36.266 --> 00:09:37.967]  They got in last night.
[00:09:37.967 --> 00:09:45.789]  They've now been driving out of the rural area from Portland since they got in last night, Joe Biggs and, of course, David Knight.
[00:09:45.789 --> 00:09:49.871]  Former Congressman Ron Paul is coming on about the huge
[00:09:50.991 --> 00:10:05.162]  Developments with the unprecedented authorization for military force, there's a complete rewrite of the War Powers Act, transferring power from Congress to the presidency for 360 total war with boots on the ground anywhere in the world.
[00:10:05.162 --> 00:10:10.447]  No one has ever had a declaration like this, not even Julius Caesar or Adolf Hitler.
[00:10:10.447 --> 00:10:12.008]  It is wild.
[00:10:12.008 --> 00:10:14.229]  And folks go, well, it probably won't pass.
[00:10:14.229 --> 00:10:19.554]  It was written by the leader of the Senate and is sailing through right now.
[00:10:21.373 --> 00:10:22.974]  Just incredible.
[00:10:22.974 --> 00:10:25.976]  It doesn't mean actual martial law is coming.
[00:10:25.976 --> 00:10:28.337]  They're just putting it on paper to do whatever they want.
[00:10:28.337 --> 00:10:29.218]  It's crazy.
[00:10:29.218 --> 00:10:35.861]  By the way, the Pentagon just announced yesterday, last night, we're staying in Afghanistan another decade.
[00:10:35.861 --> 00:10:39.443]  They promised eight years ago they'd be out within two years.
[00:10:39.443 --> 00:10:41.124]  Then they promised another year.
[00:10:41.124 --> 00:10:42.725]  I mean, now they're just saying, no, we're not leaving.
[00:10:42.725 --> 00:10:45.647]  Oh, and by the way, we're going back into Iraq.
[00:10:45.647 --> 00:10:47.148]  And there's not even discussion of it.
[00:10:47.952 --> 00:10:53.196]  Because that's where all this is going as the nation goes bankrupt.
[00:10:53.196 --> 00:11:04.666]  And then Richard Reeves from Iowa, we got contacted by the Trump folks, they're so nice, and said, hey, we're doing this Wounded Warrior thing last night, and we were serious about trying to raise them millions of dollars.
[00:11:04.666 --> 00:11:07.469]  When Trump first said, hey, if I go on Fox,
[00:11:08.635 --> 00:11:15.642]  Or CNN, you guys ought to donate the extra money because they admit instead of making 5, 10 million dollars on a debate, they might make 20 million dollars.
[00:11:15.642 --> 00:11:20.067]  Instead of 100,000 dollars a minute, they get up towards of a million dollars a minute.
[00:11:20.067 --> 00:11:24.451]  Fox is selling it for 700 plus thousand dollars a minute until Trump dropped out.
[00:11:24.451 --> 00:11:25.232]  Now it's gone down to like 150,000.
[00:11:26.817 --> 00:11:28.578]  Despite all the nationwide hype.
[00:11:28.578 --> 00:11:29.799]  And so he says, I don't want any money.
[00:11:29.799 --> 00:11:30.759]  I want it to go to veterans.
[00:11:30.759 --> 00:11:36.343]  And the media lies and says, that dirty, greedy scoundrel, remember this a few months ago?
[00:11:36.343 --> 00:11:38.284]  He just wants the money for himself.
[00:11:38.284 --> 00:11:38.945]  He wants it.
[00:11:39.733 --> 00:11:42.636]  Until we played the full video here and others did.
[00:11:42.636 --> 00:11:44.898]  That's how they deceive.
[00:11:44.898 --> 00:11:46.119]  And so he's brought that up.
[00:11:46.119 --> 00:11:47.680]  He said, I don't like Megyn Kelly.
[00:11:47.680 --> 00:11:49.082]  She's disingenuous.
[00:11:49.082 --> 00:11:49.942]  She makes stuff up.
[00:11:49.942 --> 00:11:53.285]  They want to set me up and have everybody attack me in a rig deal.
[00:11:53.285 --> 00:12:02.073]  I'm going to go over here and I'm going to run a feed and we're going to raise money, forget advertising, directly for the veterans.
[00:12:02.073 --> 00:12:05.917]  And he's saying, CNN, you can carry it, but you better give money to the Wounded Warriors.
[00:12:08.772 --> 00:12:13.176]  And the media is calling it despicable.
[00:12:13.176 --> 00:12:21.184]  Talked to Mr. Stone this morning, one of the main advisors to Trump, and he is going to be on Fox News with Megyn Kelly tonight.
[00:12:21.184 --> 00:12:22.326]  He's in New York.
[00:12:22.326 --> 00:12:30.173]  We're working on, and we'll probably be able to get him on today, during the fourth hour with Anthony Guicciardi popping in and on our live coverage.
[00:12:31.308 --> 00:12:31.508]  That's
[00:12:54.096 --> 00:12:59.118]  Of course, covering it live from here in Austin, Texas with Richard Reeves in Iowa with our own feed.
[00:12:59.118 --> 00:13:05.241]  With the Trump folks inviting Richard over to run our own InfoWars feed out of there, knowing CNN will probably try to come over and stop us or something.
[00:13:05.241 --> 00:13:10.323]  But notice CNN says they're going to be taking Trump's feed and then commenting on it.
[00:13:10.323 --> 00:13:15.325]  Oh, what we do, taking CNN and Fox's feed and MSNBC's feed and commenting on it.
[00:13:15.945 --> 00:13:18.687]  See, we do our own feed and then they comment on us.
[00:13:18.687 --> 00:13:25.092]  This is what you talk about when you deal with the fall of the mainstream media.
[00:13:25.092 --> 00:13:28.074]  Because now, the debates aren't about them.
[00:13:28.074 --> 00:13:32.277]  It isn't about who they knight, who they king make, who they say the leader is.
[00:13:32.277 --> 00:13:36.119]  It's about who the people tune into and what the people think.
[00:13:36.119 --> 00:13:39.942]  So it's the democratization of the media.
[00:13:39.942 --> 00:13:40.803]  I'm a Republican.
[00:13:42.170 --> 00:13:47.487]  Not Republican Party, Republican when it comes to the congressional system, our federalist system.
[00:13:48.843 --> 00:13:50.024]  Our Americana system.
[00:13:50.024 --> 00:13:52.046]  We're a republic, not a democracy.
[00:13:52.046 --> 00:14:12.021]  But it is a representative, small-D democracy, in that there is democratization through the filter of separation of power, state and federal government, three levels of government per state and federal, for a separation of power system to try to stop centralized dictatorships from being formed.
[00:14:13.697 --> 00:14:14.978]  Well, it's the same thing with the media.
[00:14:14.978 --> 00:14:29.171]  We're now seeing the democratization of it, because the mainstream media stopped doing its job, got so openly deceptive, so openly arrogant, so openly imperialist, that the people have now turned against them big time.
[00:14:30.569 --> 00:14:34.812]  Obviously I didn't cover the Megyn Kelly situation much the last few days.
[00:14:34.812 --> 00:14:38.134]  We talked about it some here, but maybe 5% of our coverage.
[00:14:38.134 --> 00:14:50.223]  Today I'll be talking maybe 20% about it because it is really important through the lens of Fox and through the lens of what Trump's doing, you see the disintegration of the mainstream media stranglehold.
[00:14:51.414 --> 00:15:06.405]  So it's very, very informative to look at what's happening and to look at technological developments that we have now to be able to challenge the dinosaur media, even if they have 50 times, 100 times the funding that we have.
[00:15:06.405 --> 00:15:14.171]  I can just turn on an iPhone, shoot a video live to YouTube or Facebook, and the average video gets around a million views.
[00:15:14.171 --> 00:15:19.936]  10 o'clock at night on a Saturday, 7 o'clock in the morning on a Sunday, 3 o'clock in the afternoon on a Sunday.
[00:15:21.565 --> 00:15:24.527]  Dominating, dominating, dominating.
[00:15:24.527 --> 00:15:43.342]  You know how much it freaks out Fox News and CNN that they've got to spend massive amounts of money in advertising and propaganda and decades of investment and talking heads and screenwriters and teleprompters and just, you know, 400, 500 million dollar a year budgets and they can't
[00:15:43.482 --> 00:15:44.443]  We're good to go.
[00:15:57.159 --> 00:16:00.602]  But they still have big audiences when it comes to a debate.
[00:16:00.602 --> 00:16:03.105]  And to see Trump say, you know what?
[00:16:03.105 --> 00:16:04.706]  I'm going to do my own thing.
[00:16:04.706 --> 00:16:15.657]  And I bet you, if you add up the YouTube, the live streams, the Ustreams, Trump's own feeds, CNN picking it up, everyone else covering what's happening, that people aren't going to be able to stand it.
[00:16:15.657 --> 00:16:19.661]  They're not going to watch the Fox debate.
[00:16:19.661 --> 00:16:20.281]  I predict
[00:16:21.241 --> 00:16:29.131]  It's going to have less viewers than the Donald Trump coverage if you add together the different feeds.
[00:16:29.131 --> 00:16:33.937]  Our feed, CNN, his feed, the Wounded Warrior program, and others.
[00:16:33.937 --> 00:16:35.779]  This is beautiful.
[00:16:35.779 --> 00:16:39.023]  And we'll be here at InfoWars.com tonight, 7 o'clock and on.
[00:16:40.854 --> 00:16:43.476]  Breaking every stinking facet of this town.
[00:16:43.476 --> 00:16:45.377]  We'll be analyzing CNN.
[00:16:45.377 --> 00:16:46.938]  We'll be analyzing Fox.
[00:16:46.938 --> 00:16:52.983]  We'll be, because you know CNN is going to be cutting in with comments and stuff and, you know, trying to hijack it.
[00:16:52.983 --> 00:16:59.708]  And we're going to be here hijacking them, breaking down exactly what they're doing with commentary and live analysis.
[00:17:00.854 --> 00:17:10.899]  With the Young Turks and with Glenn Beck and everybody else following suit now copying what we do, covering the debates, the State of the Unions and others with analysis.
[00:17:10.899 --> 00:17:14.801]  Because that's what it's all about, documenting what the traitor media is doing.
[00:17:14.801 --> 00:17:25.007]  But what a stroke of genius by Donald Trump to come on this show and thumb it in their faces, hoping they'd attack him for coming on the show.
[00:17:25.007 --> 00:17:29.029]  They did it for one day and then zero coverage because it blew up in their face again.
[00:17:30.282 --> 00:17:33.924]  I mean, you don't think Trump didn't know that was what was happening?
[00:17:33.924 --> 00:17:38.166]  And then, of course, Trump leaving the debate knowing he'd be demonized more.
[00:17:38.166 --> 00:17:39.907]  You didn't think he knew what he was doing?
[00:17:39.907 --> 00:17:53.174]  But they're so arrogant, they still haven't figured out the only way to discredit Alex Jones, or Matt Drudge, or Joseph Farah, or Donald Trump, or Vladimir Putin.
[00:17:53.174 --> 00:17:54.575]  I mean, anybody they hate.
[00:17:54.575 --> 00:17:57.156]  I'm not saying we're all good, bad, or perfect, or whatever.
[00:17:57.156 --> 00:17:58.797]  The only way they could defeat Rush Limbaugh
[00:17:59.522 --> 00:18:02.883]  Would be to embrace him and endorse him.
[00:18:02.883 --> 00:18:10.325]  Like when Rand Paul started getting embraced by the establishment, he went from number one six months ago to now like number eight.
[00:18:10.325 --> 00:18:25.669]  And I told him off record, and I told Politico on record when he got elected to the Kentucky Senate, to the federal senate out of Kentucky, I said, the only thing you gotta worry about is you're such a gentleman, I know you won't sell us out, I know you're not gonna compromise in deeds.
[00:18:27.162 --> 00:18:31.466]  But I said, do not compromise in rhetoric.
[00:18:31.466 --> 00:18:32.587]  And Rand Paul has done that.
[00:18:32.587 --> 00:18:38.332]  He's come out and said that good riddance to Donald Trump.
[00:18:38.332 --> 00:18:42.836]  That's like, you know, declaring that Mark Twain was dead 20 years before he died.
[00:18:42.836 --> 00:18:45.519]  He said, rumors of my demise have been greatly exaggerated.
[00:18:46.800 --> 00:18:47.941]  This is something people do.
[00:18:47.941 --> 00:18:49.401]  I see it a lot in media and culture.
[00:18:49.401 --> 00:18:51.703]  They announce someone's over.
[00:18:51.703 --> 00:18:53.504]  They announce someone's bankrupt.
[00:18:53.504 --> 00:18:56.185]  They announce someone's defeated when they're not.
[00:18:56.185 --> 00:18:58.767]  And that used to work when the mainstream media had control.
[00:18:58.767 --> 00:18:59.487]  They don't anymore.
[00:18:59.487 --> 00:19:01.568]  They're constantly announcing that we're done.
[00:19:01.568 --> 00:19:09.052]  They're constantly announcing Drudge as it has been every day when his numbers just go up and up and up.
[00:19:09.052 --> 00:19:12.014]  This is what they engage in.
[00:19:12.014 --> 00:19:13.194]  This is how they operate.
[00:19:13.194 --> 00:19:13.655]  It's like when
[00:19:14.758 --> 00:19:20.600]  The creator of the X-Files came out, Chris Carter, and said it's based mainly on Alex Jones and Infowars work, the new season.
[00:19:20.600 --> 00:19:22.661]  The trolls came out and said, Jones is crazy.
[00:19:22.661 --> 00:19:28.843]  Even in some news articles, he's claiming it's based on him.
[00:19:28.843 --> 00:19:35.225]  I mean, I knew Chris Carter was a listener ten years ago when one of the stars of his show came and visited me at my house.
[00:19:35.225 --> 00:19:38.026]  But I didn't even say it really on air then because it just sounded pompous.
[00:19:39.179 --> 00:19:43.062]  I mean, I know we've been affecting culture since I started out, 21 years ago.
[00:19:43.062 --> 00:19:46.364]  But it isn't about the fact, oh, I affect your culture, aren't I big?
[00:19:46.364 --> 00:19:57.771]  It's that we are dominating and taking the media power away from these people like they're Grendel, we're Beowulf, they're trying to get out the door and we got them by the arm, we're pulling it out of the socket.
[00:19:57.771 --> 00:19:58.992]  I feel it coming out right now.
[00:19:59.272 --> 00:20:02.853]  Winter has just begun, and are you already tired of being cold?
[00:20:02.853 --> 00:20:05.234]  How would you like to never be cold again?
[00:20:05.234 --> 00:20:12.097]  This is Dale with Fortress Clothing, and I'm here to tell you, you will never be cold again with Fortress.
[00:20:12.097 --> 00:20:21.981]  If you're tired of freezing your butt off, elk hunting, sitting in a tree stand deer hunting, winter camping, fishing, ice fishing, no longer fear the cold.
[00:20:21.981 --> 00:20:25.322]  If you snowmobile, ski, snowboard, get Fortress.
[00:20:26.002 --> 00:20:32.632]  Sledding with the kids, shoveling the walks, shopping, or if you or your spouse get cold feet at home, get Fortress.
[00:20:32.632 --> 00:20:41.005]  If you're stuck outside working in the cold, or find yourself in an emergency situation, get our winter bug out bag, and you will never be cold again.
[00:20:41.505 --> 00:20:45.666]  Fortress is the answer, so quit complaining and go to FortressClothing.com.
[00:20:45.666 --> 00:20:48.847]  It's a mid-layer garment that goes with anything you want to wear.
[00:20:48.847 --> 00:20:52.929]  Enter coupon code RADIO and get 20% off any item.
[00:20:52.929 --> 00:20:55.209]  Go now while we still have inventory.
[00:20:55.209 --> 00:20:56.170]  FortressClothing.com.
[00:20:58.450 --> 00:21:02.672]  As if chlorine in our water weren't bad enough, now they're adding ammonia?
[00:21:02.672 --> 00:21:03.312]  It's true.
[00:21:03.312 --> 00:21:07.454]  Some municipalities are now adding ammonia plus chlorine to your water supply.
[00:21:07.454 --> 00:21:09.835]  It's a disinfectant called chloramine.
[00:21:09.835 --> 00:21:14.317]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[00:21:14.617 --> 00:21:27.515]  New NSF EPA Certified Lab Tests show EPA Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride, and much more.
[00:21:27.515 --> 00:21:31.020]  Big Berkey Water Filters are the original and most trusted on the market.
[00:21:31.300 --> 00:21:33.942]  The gold standard in water purification.
[00:21:33.942 --> 00:21:38.266]  And our filters last for years at less than two cents per gallon.
[00:21:38.266 --> 00:21:39.087]  Big Berkey.
[00:21:39.087 --> 00:21:42.790]  The one that's powerful enough to purify stagnant pond water.
[00:21:42.790 --> 00:21:44.552]  Get your Big Berkey today.
[00:21:44.552 --> 00:21:46.854]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[00:21:46.854 --> 00:21:47.654]  That's 1-877-99-BERKEY.
[00:21:47.654 --> 00:21:48.976]  Big Berkey Water Filters.
[00:21:48.976 --> 00:21:50.056]  For the love of clean water.
[00:21:59.091 --> 00:22:00.913]  Hi, this is Walt Augustinowicz.
[00:22:00.913 --> 00:22:03.435]  I'm the founder and CEO of ID Stronghold.
[00:22:03.435 --> 00:22:07.299]  By now you've heard our commercials about wallets that protect you from electronic pickpocketing.
[00:22:07.299 --> 00:22:16.127]  Ten years ago, I created a way to protect my own cards from prying eyes after government officials started talking about issuing a national ID card with a built-in radio chip called RFID.
[00:22:16.127 --> 00:22:19.410]  I felt having to broadcast my personal information was an invasion of privacy.
[00:22:20.271 --> 00:22:23.393]  Soon after, it was also announced that credit cards, debit cards, U.S.
[00:22:23.393 --> 00:22:28.777]  passports, hotel room keys, and even transit passes would all soon incorporate RFID.
[00:22:28.777 --> 00:22:33.700]  It was then I formed IDStronghold to share my inventions in blocking RFID signals with the world.
[00:22:33.700 --> 00:22:36.862]  There are a lot of misconceptions out there today about RFID.
[00:22:36.862 --> 00:22:39.964]  I encourage everyone to get informed and get protected.
[00:22:39.964 --> 00:22:46.189]  Please go to idstronghold.com and get the facts and the wallets, sleeves, or badge holders you need to protect your personal financial data.
[00:22:46.969 --> 00:22:52.553]  You'll be pleasantly surprised that through our direct sales model, you won't pay more than other comparable unprotected wallets.
[00:22:52.553 --> 00:22:54.935]  It is as though the protection is free.
[00:22:54.935 --> 00:22:58.417]  Visit IDStronghold.com today.
[00:22:58.417 --> 00:23:01.159]  The following statements have not been evaluated by the FDA.
[00:23:01.159 --> 00:23:04.642]  This product is not intended to diagnose, treat, cure, or prevent any disease.
[00:23:05.859 --> 00:23:09.341]  Something shocking just happened in a Coast Guard unit in San Diego.
[00:23:09.341 --> 00:23:14.763]  The old guys in the unit have turned the tables and are now destroying the young bucks in head-to-head fitness tests.
[00:23:14.763 --> 00:23:16.264]  How is this even possible?
[00:23:16.264 --> 00:23:23.807]  Turns out the old guys in this unit have been part of a special test group for a doctor-formulated fountain of youth drink called Patriot Power Greens.
[00:23:23.807 --> 00:23:31.450]  Patriot Power Greens has been so effective for many of the older soldiers that it's made their achy joints, stiff muscles, and lack of energy a thing of the past.
[00:23:31.450 --> 00:23:34.652]  Previously, this drink was only available to elite military units.
[00:23:34.932 --> 00:23:42.737]  But for a limited time, the creator of Patriot Power Greens has set aside a small number of free samples specifically for our conservative friends.
[00:23:42.737 --> 00:23:45.899]  All they ask is that you chip in a few bucks to cover shipping.
[00:23:45.899 --> 00:23:50.122]  To claim your free samples of Patriot Power Greens, go to Greens75.com.
[00:23:50.122 --> 00:23:51.103]  That's Greens75.com.
[00:23:51.103 --> 00:23:51.623]  Greens75.com.
[00:24:05.043 --> 00:24:06.325]  Welcome back, ladies and gentlemen.
[00:24:06.325 --> 00:24:07.526]  I'm Alex Jones, your host.
[00:24:07.526 --> 00:24:10.329]  We have a raft of guests joining us today, obviously.
[00:24:10.329 --> 00:24:12.011]  We'll be back tonight, 7 o'clock central.
[00:24:12.011 --> 00:24:14.754]  Here's how you listen or watch.
[00:24:14.754 --> 00:24:24.224]  Many of our radio affiliates, I never thought of this, are now picking up the nightly news every night at 7 o'clock and then running their ads, obviously, over our ads.
[00:24:24.224 --> 00:24:24.744]  That's fine.
[00:24:27.466 --> 00:24:32.810]  We should try to create a contract on that so folks know where we stand, but quite frankly, I don't even care.
[00:24:32.810 --> 00:24:39.336]  I mean, I'd say Nightly News, go ahead and carry it and run ads over every block of ads we've got.
[00:24:39.336 --> 00:24:47.203]  The contract we've got for TV and VHF, UHF, and cable stations is we get like 20% of the ads.
[00:24:47.203 --> 00:24:53.408]  It's not very ad-heavy, but we want the money to go to the local affiliates because we know how bad the economy is.
[00:24:53.408 --> 00:24:54.449]  We just want to get the word out.
[00:24:55.202 --> 00:24:59.246]  And then we've sprinkled, obviously, some advertising into the show to be able to finance ourselves.
[00:25:02.597 --> 00:25:05.298]  Infowars.com forward slash show.
[00:25:05.298 --> 00:25:21.464]  We'll have the feed that we produce here that is a feed of CNN, a feed from Trump, a feed of our reporters on the ground, a feed of our reporters in Iowa, our reporters in Oregon, with the ongoing standoff just all mixed together.
[00:25:21.464 --> 00:25:25.385]  That's the super feed, the nightly news debate coverage feed.
[00:25:26.616 --> 00:25:32.682]  And then you'll have the feed from this four-hour show that a lot of people want to watch that's restreaming when it ends today at three o'clock.
