[00:00:14.375 --> 00:00:17.197]  Hard to believe!
[00:06:02.338 --> 00:06:03.419]  We are under attack.
[00:06:03.439 --> 00:06:27.770]  This is why in the book, Fire in the Minds of Men, James Billington, who is today the Chief Librarian for the Library of Congress, this is Bill Slouch, Chief Librarian for the Library of Congress, wrote a book called Fire in the Minds of Men, in which he explained this whole idea of calling things democratic.
[00:06:28.482 --> 00:06:36.577]  And it came out of the old 1840s with the communist revolution in 1848, the communist movement, etc.
[00:06:36.618 --> 00:06:36.698]  So...
[00:06:39.478 --> 00:06:48.361]  We need to understand that when you use the word democratic today, it does not mean the people's democratic thinking from the Grecian Empire.
[00:06:48.381 --> 00:06:54.283]  We're talking about corporate democracy, which is actually today called communism.
[00:06:54.783 --> 00:07:00.345]  Sure, so we're not talking about a constitutional republic like ours, the first and pretty much only.
[00:07:00.365 --> 00:07:00.746]  No, not at all.
[00:07:00.766 --> 00:07:07.208]  We're talking about a democratic republic, which means a politburo, a secretariat, a totally staged event.
[00:07:07.848 --> 00:07:29.466]  Precisely, and that's exactly why today the communist movement throughout the world is absolutely elated when Obama was made president, because finally, they finally got a full-blown Marxist-Leninist Soviet communist, old-school Soviet communist
[00:07:30.306 --> 00:07:36.849]  Oh, they even use the classic communist paintings where it shows her face and other faces and it's the exact same iconography.
[00:07:57.820 --> 00:07:58.480]  Absolutely.
[00:07:58.560 --> 00:08:06.385]  So, you need to understand that democracy today in America is not a people's democracy where people matter.
[00:08:06.645 --> 00:08:10.708]  It's a corporate democracy under world communism.
[00:08:14.311 --> 00:08:16.172]  Thursday, December 29th, 2016.
[00:08:24.978 --> 00:08:31.547]  It's also what happens when you listen to the radio host Alex Jones.
[00:08:31.647 --> 00:08:33.289]  Move, bitch!
[00:08:33.589 --> 00:08:34.370]  Get out the way!
[00:08:37.995 --> 00:08:44.598]  This means that Donald Trump will be the 45th President of the United States.
[00:08:44.658 --> 00:08:47.559]  Waging war on corruption.
[00:09:07.447 --> 00:09:08.051]  Alex Jones!
[00:09:24.642 --> 00:09:30.329]  We're now only 21 days out from the historic inauguration of Donald John Trump.
[00:09:30.810 --> 00:09:32.512]  That'd be 45, baby.
[00:09:32.932 --> 00:09:34.514]  And return the republic.
[00:09:35.415 --> 00:09:39.380]  Return the republic to its former freeness.
[00:09:40.321 --> 00:09:43.705]  Its greatness as the economic powerhouse of the globe.
[00:09:44.935 --> 00:09:48.039]  Only then can we be the cultural and military powerhouse.
[00:09:48.700 --> 00:09:56.430]  The return of America is upon us if we simply continue to breathe life into its lungs.
[00:09:58.115 --> 00:10:18.224]  It is Thursday, the 29th day of December 2016, in the waning twilight hours of this historic year, as we plunge into 2017, which is guaranteed to be even more tumultuous, more hard-fought, more bitter, but also more exhilarating and filled with opportunity.
[00:10:18.944 --> 00:10:23.906]  Fortune favors the bold, and our fortune is freedom in our time.
[00:10:25.578 --> 00:10:27.920]  The mission is hard, but not impossible.
[00:10:28.701 --> 00:10:30.703]  You've got a long way to go.
[00:10:31.864 --> 00:10:32.845]  Short time to get there.
[00:10:33.646 --> 00:10:37.690]  But the taste of victory is now revitalizing the Republic.
[00:10:38.070 --> 00:10:41.954]  And like the fiery bird of myth, the Phoenix, he's rising!
[00:10:44.116 --> 00:10:45.537]  Ha ha ha ha!
[00:10:46.238 --> 00:10:48.260]  Alright, let's get really focused here.
[00:10:49.537 --> 00:10:56.962]  DrudgeReport.com has an incredible grouping of stories that everybody must look at on the right-hand side.
[00:10:59.204 --> 00:11:04.268]  You cannot make up the oxymoronic, upside-down world of this.
[00:11:05.008 --> 00:11:11.233]  Soros says Trump is a would-be dictator who threatens the new world order.
[00:11:14.127 --> 00:11:16.188]  That's an Infowars.com story.
[00:11:16.488 --> 00:11:17.789]  Top story on the right hand side.
[00:11:17.909 --> 00:11:22.510]  And under it you can actually read the full screed of diarrhea out of Soros' mouth.
[00:11:23.331 --> 00:11:26.132]  Billionaire globalist pins panicked rant.
[00:11:28.433 --> 00:11:29.693]  And boy is it panicked.
[00:11:29.733 --> 00:11:31.774]  He says, we cannot stop nationalism.
[00:11:32.134 --> 00:11:37.897]  And he said, not since I was a young man have I feared Trump is Hitler.
[00:11:39.923 --> 00:11:43.846]  Ladies and gentlemen, he actually calls Trump Hitler and a dictator.
[00:11:44.066 --> 00:11:47.208]  He calls him a Hitlerian dictator.
[00:11:49.170 --> 00:11:51.171]  Now, is this lost on anyone?
[00:11:51.591 --> 00:11:59.777]  George Soros is a famous Nazi collaborator from the age of 13 to 17.
[00:12:03.800 --> 00:12:09.264]  Because no one thought that a young Jew coming in and claiming he was helping get food to groups that were hiding
[00:12:10.558 --> 00:12:12.479]  would actually be a Nazi agent.
[00:12:12.559 --> 00:12:21.726]  He was a literal Nazi agent of the lowest scumbag order, and he's going to lecture us about Adolf Hitler.
[00:12:21.886 --> 00:12:22.947]  I just can't handle it anymore.
[00:12:23.807 --> 00:12:26.569]  It is the total, complete inversion of reality.
[00:12:26.789 --> 00:12:31.393]  We have him on 60 Minutes saying he is not ashamed of what he did.
[00:12:31.433 --> 00:12:38.978]  It's how he, quote, survived a total sociopath who's got a big, giant you-know-what for America.
[00:12:41.135 --> 00:12:44.878]  A raging, you-know-what-to-screw-this-country, and guess what, scumbag?
[00:12:45.659 --> 00:12:46.800]  You think you're losing now?
[00:12:47.060 --> 00:12:48.321]  Go ahead and start a war.
[00:12:48.741 --> 00:12:50.262]  Go ahead and try to assassinate Trump.
[00:12:50.482 --> 00:12:52.944]  Go ahead and fill your hand, you rat bastard.
[00:12:53.345 --> 00:12:55.166]  We're going to get you.
[00:12:58.669 --> 00:13:06.175]  And I'm glad they've tried to take down Trump and put up his lies, because the gloves are off now, brother, and when Trump gets in office in 21 days, get ready, scum.
[00:13:07.369 --> 00:13:11.332]  Because you should have been arrested and in a lot of trouble back when you were 15 years old.
[00:13:14.434 --> 00:13:16.516]  You can run on for a long time, boy.
[00:13:16.536 --> 00:13:19.358]  I mean, look at your failure son.
[00:13:19.378 --> 00:13:21.900]  He's a laughingstock.
[00:13:22.160 --> 00:13:23.401]  That's who you're gonna have run your empire?
[00:13:23.541 --> 00:13:25.543]  No, you'd rather blow the planet up, wouldn't you, scumbag?
[00:13:25.823 --> 00:13:27.645]  You're not gonna get away with it.
[00:13:29.506 --> 00:13:31.348]  You are a true supervillain.
[00:13:32.466 --> 00:13:33.727]  Out to hurt good people.
[00:13:34.207 --> 00:13:36.549]  You hate Christians, you're a dirtbag.
[00:13:37.030 --> 00:13:39.331]  And it's in the WikiLeaks how you want to overthrow Israel.
[00:13:41.353 --> 00:13:44.375]  Of course you're allied, and your new pivot is with the Islamicists.
[00:13:44.976 --> 00:13:48.879]  And people, Israel's got its problems, it's a diverse modern country, my God.
[00:13:50.720 --> 00:13:56.544]  But, we're gonna side with Soros and the Islamicists that suicide bombed their little kids?
[00:13:56.905 --> 00:13:57.105]  No.
[00:13:57.765 --> 00:13:57.985]  No.
[00:13:59.487 --> 00:14:00.507]  This is disgusting.
[00:14:01.488 --> 00:14:08.291]  And a lot of people out there have been brainwashed into just obsessing on Israel all day and hating Israel, and it's quite frankly shameful.
[00:14:11.612 --> 00:14:19.735]  Because the only way to get rid of Israel is a nuclear war, and the Arabs would start killing each other the minute they got control of the Holy Land.
[00:14:21.816 --> 00:14:30.459]  Long before Muhammad showed up in Mecca riding around robbing caravans and sex slaving, there were Jews in Jerusalem, Jack.
[00:14:32.979 --> 00:14:33.839]  3,000 plus years ago!
[00:14:34.260 --> 00:14:34.740]  On record!
[00:14:34.981 --> 00:14:35.861]  Roman historians!
[00:14:36.382 --> 00:14:37.183]  Greek historians!
[00:14:37.303 --> 00:14:37.923]  It's a fact!
[00:14:41.146 --> 00:14:44.790]  No amount of revisionist history will erase that, or that Jesus Christ existed.
[00:14:45.010 --> 00:14:47.753]  I see articles in Time Magazine that Jesus didn't exist.
[00:14:47.833 --> 00:14:50.996]  Oh, there was only like 20 Roman historians wrote about him at the time.
[00:14:51.476 --> 00:14:52.777]  Five or six Jewish historians.
[00:14:52.977 --> 00:14:54.179]  You're a pack of liars!
[00:14:55.569 --> 00:14:59.192]  I suspect they're going to tell us George Washington didn't exist next.
[00:14:59.812 --> 00:15:00.673]  I'm tired of it.
[00:15:00.893 --> 00:15:01.934]  I'm tired of the ignorance.
[00:15:02.134 --> 00:15:03.295]  I'm tired of the idiocy.
[00:15:04.115 --> 00:15:05.416]  And I just can't take it anymore.
[00:15:05.896 --> 00:15:12.881]  It is not fair, and I've used this story a million times, it's so true, that both my grandfathers almost died in World War II in the Army Air Corps.
[00:15:14.262 --> 00:15:15.283]  Both of them almost died.
[00:15:15.383 --> 00:15:16.304]  One of them crashed and landed.
[00:15:16.324 --> 00:15:21.808]  The other did his missions, had volunteered for more, but got sunstroke.
[00:15:23.305 --> 00:15:31.086]  From not wearing sunglasses, burned his eyes, he was blind for a week, and the crew went up with the co-pilot and got blown up and died over Italy.
[00:15:32.006 --> 00:15:33.527]  They were attacking out of North Africa.
[00:15:34.087 --> 00:15:38.268]  And then he almost died when German fighter bombers hit their bases once they got into Italy.
[00:15:39.428 --> 00:15:50.610]  He got a Purple Heart for that, but the point is, I get called a Nazi by the ADL, who gives awards to Soros, and Schwarzenegger, who says he admires Hitler, when I almost don't exist.
[00:15:50.630 --> 00:15:52.510]  Because you killed my grandfathers, you killed me.
[00:15:54.059 --> 00:16:01.909]  And then I've got to sit here and watch a no-Nazi collaborator hop around and call our president a Nazi.
[00:16:02.550 --> 00:16:05.915]  George Soros groups also called him anti-Semitic throughout the campaign.
[00:16:05.975 --> 00:16:09.900]  I mean, this is the complete inversion of reality.
[00:16:14.614 --> 00:16:15.494]  Not shocking!
[00:16:15.614 --> 00:16:17.635]  George Soros funds progressive war on Israel.
[00:16:17.715 --> 00:16:19.476]  He wants to overthrow it, folks.
[00:16:20.936 --> 00:16:22.276]  The guy is a total demon.
[00:16:22.737 --> 00:16:23.597]  He wants your guns.
[00:16:23.897 --> 00:16:24.817]  He wants your family.
[00:16:25.217 --> 00:16:26.598]  He believes the state should run you.
[00:16:26.638 --> 00:16:28.218]  He's a control freak.
[00:16:28.818 --> 00:16:30.259]  He's a monster.
[00:16:30.819 --> 00:16:31.939]  He wants power.
[00:16:32.199 --> 00:16:34.180]  He's behind flooding Europe with Islamists.
[00:16:37.621 --> 00:16:43.123]  But I'm telling you, this goes to another level that no media is pointing out.
[00:16:44.093 --> 00:16:45.794]  That Soros is a Nazi.
[00:16:45.894 --> 00:16:57.341]  And you know, I've had Hollywood people on the show before, and I start bashing Soros, liberals who are on, historians, authors, you name it, and they'll go, Alex, now come on, Soros had to or he'd get killed.
[00:16:57.361 --> 00:17:00.503]  That's like saying, I've got to join the New World Order or I'll get killed.
[00:17:02.525 --> 00:17:05.466]  It's the most sociopathic mindset I've ever seen in my life.
[00:17:05.887 --> 00:17:07.188]  And it's the creed of slaves.
[00:17:07.668 --> 00:17:09.289]  So the story's up on InfoWars.com.
[00:17:09.329 --> 00:17:10.930]  It's obviously on DrugReport.com.
[00:17:10.950 --> 00:17:12.151]  It's a Paul Joseph Watson article.
[00:17:13.576 --> 00:17:18.378]  Soros conjures Hitler in attack on ascendant populist.
[00:17:18.878 --> 00:17:21.999]  That's the area that Zero Hedge decided to zero in on.
[00:17:22.760 --> 00:17:32.544]  We should have a whole other article out just about famous Nazi collaborator says Trump reminds him of Hitler.
[00:17:32.664 --> 00:17:33.964]  What in the world?
[00:17:34.444 --> 00:17:36.605]  He says, I'm afraid of Nazis.
[00:17:37.226 --> 00:17:37.506]  What?
[00:17:38.706 --> 00:17:40.787]  You are a Nazi dirtbag.
[00:17:41.267 --> 00:17:42.828]  You're the lowest scum on earth.
[00:17:44.144 --> 00:17:46.549]  At least the Nazis thought they were doing something for a good reason.
[00:17:46.589 --> 00:17:48.332]  They were out of their minds in a death cult.
[00:17:48.633 --> 00:17:56.188]  You were a collaborator against your own people and betrayed them, scumbag, and made money off of it with your daddy.
[00:17:58.752 --> 00:18:04.435]  He was a little Judas goat they sent him, kind of like pedophiles send a teenager in or another kid to get other kids lured to the van.
[00:18:05.155 --> 00:18:11.599]  Yes, George Soros was the bait they would throw out to bring in and find where the Jews were hidden.
[00:18:11.819 --> 00:18:14.260]  I mean, you just cannot make this stuff up!
[00:18:15.701 --> 00:18:17.182]  You couldn't write this stuff.
[00:18:17.502 --> 00:18:18.503]  No one would believe it.
[00:18:18.763 --> 00:18:25.828]  And now he's perched on top of the country, blaming Russia for America turning against Hillary, while she's stumbling around having convulsions.
[00:18:25.888 --> 00:18:27.008]  Everybody's sick of her.
[00:18:27.248 --> 00:18:28.589]  Russia wasn't involved in anything.
[00:18:28.609 --> 00:18:36.495]  You've got the Communist Chinese, the EU, the Vatican, the Saudi Arabians, all piled up on our election, saying we can't have Trump.
[00:18:36.935 --> 00:18:41.058]  That gets overthrown, and now Obama is set to announce all sorts of
[00:18:41.718 --> 00:18:51.501]  Wartime measures and troop buildups and cyber attacks and diplomatic freezing of Russian money and all this economic war with 21 days out.
[00:18:52.261 --> 00:18:53.401]  And I was watching CNN.
[00:18:53.441 --> 00:18:54.541]  I forget the names of the shows.
[00:18:54.601 --> 00:18:55.202]  I really watched it.
[00:18:55.222 --> 00:18:56.162]  I was watching it last night.
[00:18:56.782 --> 00:18:57.982]  And they had a roundtable group on.
[00:18:58.002 --> 00:18:59.383]  I'm going to go look at the show hosts.
[00:18:59.823 --> 00:19:00.143]  It was like...
[00:19:01.807 --> 00:19:02.468]  630 at night.
[00:19:02.888 --> 00:19:03.768]  Who's on at 630?
[00:19:04.349 --> 00:19:05.930]  Some guy, I don't know his name.
[00:19:06.770 --> 00:19:07.631]  Some gray-haired dude.
[00:19:07.651 --> 00:19:18.678]  He had this roundtable on there and they were, folks, just like before 9-11, 25 days before, I came on there and I said they're going to blow up World Trade Center, blame it on Bin Laden, get ready for terrorism.
[00:19:19.558 --> 00:19:21.340]  I saw the same tell-tale signs.
[00:19:21.680 --> 00:19:24.942]  They said, it is going to be Trump's fault, the war that's coming now.
[00:19:26.249 --> 00:19:28.010]  Islam is going to attack Europe and Israel.
[00:19:28.110 --> 00:19:29.350]  There is a giant war coming.
[00:19:29.751 --> 00:19:30.851]  And there's going to be a war with Russia.
[00:19:31.171 --> 00:19:32.192]  And it is Trump's fault.
[00:19:32.532 --> 00:19:36.394]  And all the roundtable goes, it's very sad, but it is to be.
[00:19:36.714 --> 00:19:38.235]  And you can tell, the fix is in.
[00:19:38.555 --> 00:19:39.915]  They're going to start World War III.
[00:19:40.135 --> 00:19:44.678]  They're a frickin' loon cult who are under Stockholm Syndrome and under Arabist control.
[00:19:44.918 --> 00:19:48.099]  And this is a real pivot to Islam and the takedown of the West.
[00:19:48.339 --> 00:19:49.640]  And it was a cult of scum.
[00:19:50.240 --> 00:19:58.805]  A bunch of CIA operatives up there on the show, all committing to a giant war, and then America's gonna have to be destroyed now because we voted for Trump.
[00:19:58.865 --> 00:20:07.070]  I mean, criminals love to brag, and I saw them do the pre-celebration of World War III and the destruction of Israel and the United States.
[00:20:07.190 --> 00:20:08.611]  I saw psychopathic behavior.
[00:20:10.478 --> 00:20:15.181]  Now what I'm announcing here today is already a custom here in the United States.
[00:20:15.841 --> 00:20:24.566]  And that is extending the Christmas holiday up until New Year's Eve and then taking down the Christmas trees and taking down the Christmas lights.
[00:20:24.706 --> 00:20:25.766]  Ooh, I keep saying Christmas.
[00:20:26.407 --> 00:20:27.567]  I'm so politically incorrect.
[00:20:28.047 --> 00:20:31.229]  The day after New Year's Eve or New Year's Day.
[00:20:31.769 --> 00:20:36.052]  And so I've decided right through New Year's Day, we're going to keep
[00:20:36.872 --> 00:20:54.742]  the virtual Christmas tree or an HD video shot of downtown Austin at the capital of the beautiful Christmas tree up just to upset the social justice warriors and all the little snowflakes that want to bully us into banning our culture and banning free speech.
[00:20:55.142 --> 00:20:58.684]  In fact there's a war going on not just online but in the streets.
[00:20:58.744 --> 00:21:05.288]  I've seen it where people on the hike and bike trails say Merry Christmas and then folks don't respond and they say Happy Holidays.
[00:21:05.868 --> 00:21:13.818]  Or even family I have, that I send the message of Merry Christmas to, they respond back with Happy Holidays.
[00:21:13.878 --> 00:21:16.361]  It is some distant cousins, but it's going on.
[00:21:17.227 --> 00:21:27.375]  But we're also going to extend the Christmas sale right through until New Year's Eve, until everything sells out at InfoWarsTore.com.
[00:21:27.395 --> 00:21:39.384]  Now, we normally try to budget things to where, in the warehouse, most of the products sell out by year-end, and the new products come in in a few weeks or a month after, because we have to pay taxes on inventory.
[00:21:40.124 --> 00:21:44.827]  And this year, I've decided to extend the sale until everything completely sells out.
[00:21:44.987 --> 00:22:01.135]  So to be clear, almost every one of our best-selling nutraceutical supplements is selling out, and for a good reason, because here are the specials that we're running until they sell out or until the new year comes here in just about four or five days.
[00:22:01.875 --> 00:22:04.017]  Living Defense, 30% off.
[00:22:04.518 --> 00:22:06.219]  Super Metal Vitality, 30% off.
[00:22:06.239 --> 00:22:07.080]  These are huge specials.
[00:22:07.520 --> 00:22:09.822]  Silver Bullet Coil Silver, 50% off.
[00:22:10.483 --> 00:22:12.785]  Brain Force Plus, 33% off.
[00:22:13.125 --> 00:22:15.748]  Winter Sun Vitamin D, 25% off.
[00:22:16.228 --> 00:22:19.031]  And again, a lot of these are selling out as we speak or have sold out.
[00:22:19.291 --> 00:22:21.653]  Survival Shield X2, 30% off.
[00:22:21.733 --> 00:22:24.435]  Bio True Selenium, 30% off.
[00:22:24.536 --> 00:22:27.779]  And then let me finish up with this, the Coup De Grace.
[00:22:28.519 --> 00:22:32.522]  Storewide free shipping until New Year's Day.
[00:22:32.642 --> 00:22:45.530]  Storewide at Infowarsstore.com on the non-GMO heirloom seeds and the Trump is my president shirts and Hillary for prison 2017 shirts and deport George Soros the goblin globalist specials.
[00:22:46.131 --> 00:22:47.412]  Storewide free shipping.
[00:22:48.632 --> 00:22:54.394]  50 to 30 percent off on scores of items and all of these are super high quality products.
[00:22:54.714 --> 00:23:00.415]  They help fund the spearhead in the fight against the globalists and they are game changers.
[00:23:00.755 --> 00:23:03.236]  We couldn't have built this operation without you.
[00:23:03.396 --> 00:23:05.816]  So you're not standing beside us or behind us.
[00:23:06.217 --> 00:23:07.617]  You are standing at the heart
[00:23:08.357 --> 00:23:10.078]  Of the rebellion against globalism.
[00:23:10.298 --> 00:23:18.642]  We are American restorationists trying to restore our republic and make it great again and free again and safe again and prosperous again.
[00:23:18.962 --> 00:23:24.325]  And we're doing it the old-fashioned way with free markets and with amazing high-quality products.
[00:23:25.445 --> 00:23:37.733]  I certainly hope and pray you had a blessed and Merry Christmas, and I'm really focusing and working hard to make sure we have a great new year as Americanism, not globalism, accelerates into the future.
[00:23:38.114 --> 00:23:55.265]  So again, I want to encourage you all, take advantage of the biggest sales of 2016 with Christmas sales extended with free shipping storewide and 50 to 30% off on high quality supplements and many other items at InfoWarsStore.com and InfoWarsLifetime.com.
[00:23:56.045 --> 00:24:00.226]  I'm Alex Jones, signing off from the Central Texas News Center in Austin.
[00:24:00.286 --> 00:24:06.928]  Go to Infowarsstore.com today for 30-50% off specials while supplies last, plus free shipping.
[00:24:07.228 --> 00:24:08.769]  Or call 1-888-253-3139.
[00:24:14.950 --> 00:24:16.311]  Welcome back, ladies and gentlemen.
[00:24:16.551 --> 00:24:21.352]  It was Jim Scutto last night that was sitting in for Wolf Blitzer on the Situation Room.
[00:24:21.792 --> 00:24:24.333]  And again, I watched about 30 minutes of it before I left the office.
[00:24:26.101 --> 00:24:30.704]  And maybe for the nightly news tonight, I'll actually go back and find that archive and play these clips.
[00:24:30.724 --> 00:24:38.068]  But they had a roundtable going, it's Trump's fault, and he's going to start a war now, and it's his fault, and the war is inevitable.
[00:24:38.588 --> 00:24:40.549]  And they were all very satisfied.
[00:24:40.569 --> 00:24:42.830]  And they said some really bizarre stuff.
[00:24:43.611 --> 00:24:48.553]  They had a professor on there, and they were saying, Trump's only going with his instincts and his advisors.
[00:24:49.134 --> 00:24:50.635]  So he doesn't know what he's doing.
[00:24:51.015 --> 00:24:52.115]  This is going to cause a war.
[00:24:52.335 --> 00:24:54.737]  Well, what are you following, your advisors and instincts?
[00:24:56.459 --> 00:24:58.440]  They act like no one can think but them.
[00:24:58.520 --> 00:24:59.340]  It's this disconnect.
[00:24:59.640 --> 00:25:01.701]  Plus, they're not even telling us what their real aims are.
[00:25:02.902 --> 00:25:07.004]  They're saying to the world, you elected Trump, so we're going to start a war with Russia.
[00:25:07.444 --> 00:25:12.666]  We're going to start a war in the Middle East, and we're going to give a green light for the new intifada.
[00:25:13.106 --> 00:25:23.431]  That means a giant uprising, a rebellion, a civil war initiated by the United States siding with the United Nations.
[00:25:24.687 --> 00:25:27.668]  To plunge the globe into a worldwide crisis.
[00:25:29.028 --> 00:25:30.389]  Not for the Palestinians!
[00:25:31.089 --> 00:25:38.691]  The globalists financed Islamists' invasion of Syria that's killed over 300,000 people, almost all of them Christians and non-radical Muslims.
[00:25:39.831 --> 00:25:45.693]  They call it a conspiracy theory that our government financed this in the last six years.
[00:25:45.753 --> 00:25:46.533]  It's all public.
[00:25:47.013 --> 00:25:47.953]  Congress has had hearings.
[00:25:48.174 --> 00:25:49.294]  The military's gone public.
[00:25:50.157 --> 00:25:56.903]  It's like the news is saying it's a conspiracy that the United States was behind the vote at the UN and the abstention.
[00:25:57.763 --> 00:25:59.124]  They're behind the whole deal!
[00:25:59.365 --> 00:26:00.826]  They've bragged they're behind it!
[00:26:01.446 --> 00:26:04.429]  I mean, it's a new type of psychological warfare, and I don't think it's working.
[00:26:04.509 --> 00:26:09.513]  I think it's delusion, where they go, we're not behind this vote, even though they admit they are.
[00:26:10.694 --> 00:26:13.316]  There's no, there's no IRS penalties.
[00:26:13.556 --> 00:26:16.619]  There's not 18,000 IRS agents in Obamacare.
[00:26:17.947 --> 00:26:18.827]  The hell they're in?
[00:26:19.087 --> 00:26:20.148]  It's right there in the bill!
[00:26:20.348 --> 00:26:21.768]  And now people are getting hit with it.
[00:26:21.788 --> 00:26:22.428]  That's what I mean.
[00:26:23.089 --> 00:26:24.509]  I think these people are crazy.
[00:26:24.769 --> 00:26:32.192]  You know, they've got a method to what they're doing, but it's total delusion, cuckoo-cocoa-puff land.
[00:26:33.412 --> 00:26:33.972]  It's crazy.
[00:26:35.673 --> 00:26:39.074]  Because the whole world, I mean, they've got polls of
[00:26:42.468 --> 00:26:53.831]  60 plus percent of Americans on the low end, 80 plus percent on the high end, in dozens of polls, you've all seen them, almost no one's buying that Russia was involved in our election, and people don't care!
[00:26:54.211 --> 00:27:04.374]  Because it was a global free-for-all of all these other countries trying to say, we can't have a populist movement.
[00:27:06.152 --> 00:27:13.416]  But when Soros and globalist publications like the Financial Times, the Economist, the New York Times admit what's happening, they know it's not racism.
[00:27:13.756 --> 00:27:14.977]  They know it's not Hitlerian.
