[00:00:00.769 --> 00:00:04.033]  31 days, folks.
[00:04:04.714 --> 00:04:09.535]  But myself, my family, my crew, we're in the arena, and we need Providence.
[00:04:09.535 --> 00:04:11.335]  We need your prayers.
[00:04:11.335 --> 00:04:12.535]  It's not that we believe in prayers.
[00:04:12.535 --> 00:04:13.695]  We depend on it.
[00:04:13.695 --> 00:04:14.395]  We know it.
[00:04:14.395 --> 00:04:15.016]  We don't believe it.
[00:04:15.016 --> 00:04:15.916]  We know it.
[00:04:15.916 --> 00:04:17.276]  In ourselves.
[00:04:17.276 --> 00:04:17.936]  And this is history.
[00:04:17.936 --> 00:04:21.337]  Whatever God's will is going to happen, I am not going to sit idly by.
[00:04:21.337 --> 00:04:22.837]  In fact, I pray every morning and every night.
[00:04:25.330 --> 00:04:29.752]  Intensely that God will give me the answers to wake up the people to defeat Hillary.
[00:04:29.752 --> 00:04:31.193]  Now maybe God's plan Hillary gets in.
[00:04:31.193 --> 00:04:32.494]  I think Trump's going to win.
[00:04:32.494 --> 00:04:33.495]  They're going to steal the election.
[00:04:33.495 --> 00:04:34.575]  The evidence is mounting on that.
[00:04:34.575 --> 00:04:37.076]  We have news on that front today as well.
[00:04:37.076 --> 00:04:39.798]  But this is an incredible time to be alive.
[00:04:39.798 --> 00:04:42.499]  Massive World War III intensification news.
[00:04:42.499 --> 00:04:43.440]  In fact, it's in my office.
[00:04:43.440 --> 00:04:44.821]  I forgot to bring it over from the notes.
[00:04:44.821 --> 00:04:46.041]  It's on Dew's desk.
[00:04:46.041 --> 00:04:48.123]  I gave it to him last night.
[00:04:48.123 --> 00:04:50.864]  A stack of articles about the Russians launching a no-fly zone.
[00:04:50.864 --> 00:04:51.985]  That's getting no attention here.
[00:04:53.251 --> 00:04:58.554]  Obama threatens a no-fly zone, and the Russians just say, our no-fly zone's up, enter, we're gonna shoot you down.
[00:04:58.554 --> 00:05:01.876]  Coming to a city near you, ISIS serial killers!
[00:05:01.876 --> 00:05:08.600]  That's right, and ISIS magazine, Rumiya, is recruiting serial killers to carry out knife attacks in the West.
[00:05:08.860 --> 00:05:16.968]  This hate group, or religion of peace according to Hillary Clinton, explains to potential recruits how they don't need a gun to terrorize innocent people.
[00:05:16.968 --> 00:05:18.429]  They just need a knife.
[00:05:18.429 --> 00:05:24.215]  This same publication also calls for its servants to shed blood and even to die for their cause.
[00:05:24.215 --> 00:05:25.656]  How would you describe that?
[00:05:25.656 --> 00:05:26.817]  Radical Islam?
[00:05:26.817 --> 00:05:30.901]  I'm sure Barack Obama will be ignoring this because radical Islam doesn't exist to him.
[00:05:31.221 --> 00:05:37.262]  I'm sure Hillary Clinton will turn a blind eye to this as well, as she doesn't want to offend anyone on the eve of an election.
[00:05:37.262 --> 00:05:38.723]  Here's a crazy idea.
[00:05:38.723 --> 00:05:44.904]  Find out whoever is publishing this mass-murderer-producing hate rag, and start questioning him and his entire staff.
[00:05:44.904 --> 00:05:48.805]  It's okay to assume it's a man, as they're in charge of women in radical Islam.
[00:05:48.805 --> 00:05:53.246]  Then jail him, or start getting some answers on ISIS leaders, immediately.
[00:05:53.246 --> 00:05:55.386]  Or are we really that incompetent?
[00:05:55.386 --> 00:05:57.507]  This is Owen Schroer from InfoWars.com.
[00:05:58.627 --> 00:06:01.808]  A clean, toxic-free body is the foundation of true health.
[00:06:01.808 --> 00:06:04.169]  Deep Cleanze by InfoWarsLife.com.
[00:06:04.169 --> 00:06:11.191]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:06:11.191 --> 00:06:16.493]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:06:16.493 --> 00:06:25.476]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:06:25.916 --> 00:06:34.803]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:06:34.803 --> 00:06:41.888]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigerex herbal processing technique.
[00:06:41.888 --> 00:06:47.272]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best
[00:06:47.552 --> 00:06:53.173]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:06:53.173 --> 00:06:58.574]  That's InfoWarsLife.com or call 888-253-3139.
[00:06:58.574 --> 00:07:02.535]  Secret 12, InfoWarsLife's vitamin B12 formulation.
[00:07:02.535 --> 00:07:08.837]  Most forms of vitamin B12 are highly processed and synthetic and cannot be properly absorbed by the body.
[00:07:08.837 --> 00:07:15.798]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[00:07:16.118 --> 00:07:25.248]  Infowarslife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[00:07:25.248 --> 00:07:31.415]  Secret 12 is a binary of nutrimedical-grade, bioavailable, coenzyme forms of B12.
[00:07:31.415 --> 00:07:34.579]  Methocobalamin, the same kind used in B12 injections, and
[00:07:34.819 --> 00:07:35.620]  We're good to go.
[00:08:02.763 --> 00:08:05.005]  It's Friday, October 7th, 2016.
[00:08:05.005 --> 00:08:11.411]  We are now only 31 days from a historic election.
[00:08:11.411 --> 00:08:15.154]  This is the Alex Jones Show.
[00:08:15.154 --> 00:08:22.060]  Alex Jones.
[00:08:22.060 --> 00:08:24.502]  Waging war on corruption.
[00:08:24.502 --> 00:08:26.864]  Crashing the lies and disinformation.
[00:08:27.873 --> 00:08:29.394]  I'm your host, thank you so much for joining us.
[00:08:29.394 --> 00:08:34.937]  Now, we've got the nightly news tonight, 7 o'clock, InfoWars.com forward slash show for details.
[00:08:34.937 --> 00:08:39.779]  This is the syndicated radio slash TV transmission, InfoWars Live with your truly Alex Jones.
[00:08:39.779 --> 00:08:45.222]  And then I will return, as we always do, Lord willing, 4 to 6 p.m.
[00:08:45.222 --> 00:08:48.704]  ahead of the second historic debate.
[00:08:48.704 --> 00:08:51.826]  And I don't want to say this is make it or break it for Trump because Hillary's so ill.
[00:08:52.981 --> 00:08:54.222]  They're throwing everything they've got at Trump.
[00:08:54.222 --> 00:08:55.503]  It's still not working.
[00:08:55.503 --> 00:08:58.105]  He clearly is way ahead in most of the swing states.
[00:08:58.105 --> 00:09:08.652]  We've got big reports, though, of the feds moving into the swing states to protect the elections by hooking special, loving computers up to the machines.
[00:09:08.652 --> 00:09:10.893]  But, oh, the feds aren't involved in elections.
[00:09:10.893 --> 00:09:13.916]  It's preposterous what dark heart Alex Jones said.
[00:09:14.736 --> 00:09:20.539]  But now they've got to go federalize them immediately to save us from the Russian boogeyman.
[00:09:20.539 --> 00:09:23.881]  And so I will broadcast live, as we always do, 4 to 6 p.m.
[00:09:23.881 --> 00:09:29.445]  I'm going to walk out of the radio studio, the original studio in this building, starting back 10 years ago.
[00:09:29.445 --> 00:09:30.485]  We've been in this building.
[00:09:30.485 --> 00:09:43.613]  And I will walk over here into the TV studio, the big studio, and I will host for two hours with a roundtable discussion with David Knight, Leanne McAdoo, Darren McBrain, Hugh Naiman, our investigative reporters, taking your phone calls.
[00:09:44.750 --> 00:09:51.352]  And then we will have the 90-minute debate that is going to be hosted by two piranha-like enemies.
[00:09:51.352 --> 00:09:53.352]  And we've got a whole article up on Infowars.com.
[00:09:53.352 --> 00:09:55.793]  This is going to be an even more staged debate.
[00:09:55.793 --> 00:09:57.033]  And it goes over Sunday's debate.
[00:09:57.033 --> 00:09:59.514]  Monitorators will be even more biased than Lester Holt.
[00:09:59.514 --> 00:10:01.315]  Steve Watson does an excellent article.
[00:10:01.315 --> 00:10:06.236]  Anderson Cooper and Martha Ratt are basically Clinton allies.
[00:10:06.236 --> 00:10:08.357]  Basically, they're deep state allies.
[00:10:08.357 --> 00:10:09.697]  And then there's clip after clip.
[00:10:11.647 --> 00:10:14.830]  In there, of them demonizing and lying about Donald Trump.
[00:10:14.830 --> 00:10:18.454]  I mean, this is going to be three against one.
[00:10:18.454 --> 00:10:27.163]  And Trump has to be controlled, but he has to come out and say, in his opening statement, I just want to point out that the Debate Commission admitted that the audience couldn't hear my mic last time, and it was being faded down.
[00:10:27.163 --> 00:10:30.987]  I just want to point out that I was interrupted 40 plus times, Hillary 6.
[00:10:32.239 --> 00:10:41.241]  And I want to point out that I'm here, even though this is stacked against me, just like everything's rigged, like NAFTA and GATT, against the American people.
[00:10:41.241 --> 00:10:49.422]  And I just want America to have a level playing field, and I'm asking Anderson Cooper and Mrs. Raddatz.
[00:10:49.422 --> 00:10:51.742]  I am asking both of you.
[00:10:51.742 --> 00:10:53.523]  The public is watching.
[00:10:53.523 --> 00:10:59.924]  If you interrupt me 50 times and Hillary 5 times, I'm debating three people, not one.
[00:10:59.924 --> 00:11:00.444]  So please,
[00:11:01.653 --> 00:11:05.175]  Coming into this, don't put your finger on the scale.
[00:11:05.175 --> 00:11:06.856]  And I don't say that because I'm a sore loser.
[00:11:06.856 --> 00:11:10.018]  Everyone knows what you did.
[00:11:10.018 --> 00:11:18.203]  Tim Kaine, earlier last week, interrupted 60 plus times, and so did the moderator.
[00:11:18.203 --> 00:11:19.844]  You people are incredible.
[00:11:19.844 --> 00:11:22.946]  So, you're on notice.
[00:11:22.946 --> 00:11:28.469]  And then, every time he starts interrupting, he goes, oh, there you go again, oh, and that's a tactic to point out they're cheating.
[00:11:30.149 --> 00:11:35.650]  They do this tactic deceptively when they go, we can't let one more child be killed by firearms.
[00:11:35.650 --> 00:11:36.291]  Not one more!
[00:11:36.291 --> 00:11:38.071]  And they go, oh, another one.
[00:11:38.071 --> 00:11:39.831]  See, it's their fault, the Second Amendment.
[00:11:39.831 --> 00:11:48.994]  Remember they've gone from denying they want a ban on guns to now all the big editorials and New York Times and Washington Post and Rolling Stone, it's time to repeal the Second Amendment.
[00:11:48.994 --> 00:11:51.614]  Now they're like, yeah, it's your fault, you killed that kid.
[00:11:51.614 --> 00:11:53.995]  Oh really, if somebody runs over someone with a car, is it
[00:11:55.441 --> 00:11:59.082]  My fault if I have a Ford truck and somebody else has a Ford truck and runs over somebody?
[00:11:59.082 --> 00:12:00.202]  You know, that's happened before.
[00:12:00.202 --> 00:12:01.462]  Is it Ford's fault?
[00:12:01.462 --> 00:12:02.242]  Is it the Ford?
[00:12:02.242 --> 00:12:03.363]  No, it's not.
[00:12:03.363 --> 00:12:05.283]  But see, that's a false tactic.
[00:12:05.283 --> 00:12:14.645]  When they know out of 330 million Americans, even though overall gun crime has gone down for 18 years, it's gone back up a little bit, but still way below what it was in 1992.
[00:12:14.645 --> 00:12:16.805]  It was down 60%, now it's down about 52%.
[00:12:16.805 --> 00:12:20.166]  And I've had top statisticians on, the federal government even admits that.
[00:12:20.166 --> 00:12:21.526]  But the point I'm getting at is the tactic.
[00:12:22.529 --> 00:12:24.330]  It's like Chinese water torture.
[00:12:24.330 --> 00:12:40.775]  Because you go, now you did interrupt last time, they've been rigging these, the Domain Commission admitted I was right, and the Commission's watching this time, that appealed to authority, which is true, the Commission admits I'm right, so I would, look, interrupt me 20 times and hurt 10.
[00:12:40.775 --> 00:12:45.816]  I mean, you can have double, just not five times or six times, okay?
[00:12:45.816 --> 00:12:47.597]  I would add some smart-ass stuff in there like that.
[00:12:49.057 --> 00:12:51.260]  Uh, and I'd say, I know you're on a power trip, Anderson.
[00:12:51.260 --> 00:12:54.824]  I mean, I would just go right at him.
[00:12:54.824 --> 00:12:59.810]  To say, these are biased people, they both attacked me, it's on record, but I'm still here.
[00:12:59.810 --> 00:13:01.552]  I'm still here, walking into this rigged event.
[00:13:03.220 --> 00:13:07.943]  But I want their gloves checked because they're putting, you know, shoe horses, uh, or shoe horses.
[00:13:07.943 --> 00:13:10.525]  They're putting, uh, horseshoes in them.
[00:13:10.525 --> 00:13:12.066]  That's the old joke of, you know, a rigged fight.
[00:13:12.066 --> 00:13:15.669]  There's like big blocks of metal, uh, inside of there.
[00:13:15.669 --> 00:13:17.870]  So when you hit your opponent, it's actually brass knuckles.
[00:13:17.870 --> 00:13:18.811]  So that's what I would do.
[00:13:18.811 --> 00:13:23.114]  We can also open the phones up today and get your take on what you think Trump needs to do.
[00:13:23.114 --> 00:13:30.700]  But I know he got told by his daughter, who's very smart and very nice.
[00:13:31.834 --> 00:13:37.136]  Through intermediaries, through Chelsea Clinton, that if you'll just be nice, Mom will be nice.
[00:13:37.136 --> 00:13:40.458]  And that's why Hillary got so happy when he said, Secretary, is it alright if I say that?
[00:13:40.458 --> 00:13:42.279]  And smiled at her.
[00:13:42.279 --> 00:13:47.221]  Hillary did that little fake smile back that almost looked convincing.
[00:13:47.221 --> 00:13:48.401]  The most human I've seen her look in years.
[00:13:48.401 --> 00:13:51.623]  And it was because she knew Trump had taken the bait.
[00:13:53.635 --> 00:13:57.296]  She knew he'd taken the bait, and that people have weaknesses for their daughters.
[00:13:57.296 --> 00:14:00.497]  And by the way, Trump's daughter is incredibly smart.
[00:14:00.497 --> 00:14:12.001]  But I knew this day after it happened, and then later I even saw it leaked in the news that his daughter, Ivanka, had been advising him, and that others had been as well.
[00:14:12.001 --> 00:14:18.023]  And that basically Roger Ailes just walked off weeks before saying, you know, he won't do what I tell him, which is fine.
[00:14:18.023 --> 00:14:19.864]  Uncoachable, but he has his own style.
[00:14:19.864 --> 00:14:20.864]  Trump has to be Trump.
[00:14:23.917 --> 00:14:26.819]  And when she does stuff like, you're so mean to women, go, really?
[00:14:26.819 --> 00:14:30.822]  20 years ago, a contestant that, you know, gained a bunch of weight and wouldn't do the job?
[00:14:30.822 --> 00:14:33.844]  I mean, are you kidding me?
[00:14:33.844 --> 00:14:37.606]  If a boxer, you know, goes above weight, they form at the fight.
[00:14:37.606 --> 00:14:39.828]  Your husband has settled sexual assault cases.
[00:14:39.828 --> 00:14:42.650]  You fund jihadists worldwide that sexually mutilate women.
[00:14:42.650 --> 00:14:45.792]  You got a lot of nerve, lady, and you're the one that punched below the belt.
[00:14:45.792 --> 00:14:48.173]  You're the one that brought up family and women.
[00:14:48.173 --> 00:14:50.555]  You want me to bring up Bill?
[00:14:50.555 --> 00:14:52.696]  And she'll shut her mouth right away.
[00:14:52.696 --> 00:14:53.537]  Let me tell you something, folks.
[00:14:55.626 --> 00:14:56.447]  This is really important.
[00:14:56.447 --> 00:15:04.692]  This is the first news story I'm going to get to, but I really love news stories that are informative, that are happening, but are also illustrative.
[00:15:04.692 --> 00:15:10.897]  There have been six in the last seven days.
[00:15:10.897 --> 00:15:13.038]  It'll be seven days tomorrow, six and a half days.
[00:15:13.038 --> 00:15:16.441]  So there have been six events, and they're accelerating.
[00:15:16.441 --> 00:15:23.666]  The first event happened, and then three days later, the rest of the events happened a few times, two a day, where Bill Clinton, Tim Kaine, Hillary Clinton,
[00:15:24.505 --> 00:15:31.210]  That's why, one reason she's cancelling her events for two weeks, but also she needs to nap, is that they do not want Hillary with somebody screaming, Bill Clinton's a rapist.
[00:15:31.210 --> 00:15:51.805]  Basically every event, because I'm told there's been other ones, that we just haven't seen the video yet, every time somebody basically goes out to give a speech, valiant Americans, valiant Americans, who I salute, in the crowd, legally and lawfully, with their free speech, point out that Bill Clinton has a history of sexual impropriety.
[00:15:55.472 --> 00:16:06.261]  Now, of course, we launched that call and said $5,000 if you get the audio out and the video on national TV, just to make it a little more fun.
[00:16:06.261 --> 00:16:09.384]  But you got to do it in legal and lawful areas, and today we're getting the checks right at the end of the show.
[00:16:09.384 --> 00:16:10.365]  I'm going to sign these on air.
[00:16:10.365 --> 00:16:15.769]  These are going to be mailed out, and next week we're getting a bunch of these folks on the broadcast deck.
[00:16:15.769 --> 00:16:19.793]  We ought to line a bunch of them up for the two-hour or four-hour pregame coverage.
[00:16:21.069 --> 00:16:28.774]  That we're going to have Sunday here at Infowars.com, Ford's last show, and stations across the country, and many stations I know already pick up the Sunday show.
[00:16:28.774 --> 00:16:33.097]  You're just welcome to pick up all or none.
[00:16:33.097 --> 00:16:34.198]  It's basically commercial free.
[00:16:34.198 --> 00:16:40.762]  There's a few breaks an hour, but you can just run ads over us whenever you want.
[00:16:40.762 --> 00:16:47.086]  As everybody knows, in radio and TV and media, we're the easiest people to work with.
[00:16:47.086 --> 00:16:48.067]  We're not territorial.
[00:16:49.189 --> 00:16:50.891]  We're not penny pinchers.
[00:16:50.891 --> 00:16:53.634]  We're not retentive.
[00:16:53.634 --> 00:16:57.578]  When it comes to obsessing, we just want to fight the New World Order.
[00:16:57.578 --> 00:17:04.745]  So, why is this so illustrative of a cascade event?
[00:17:04.745 --> 00:17:12.192]  If you get people out there and they start confronting the Clintons, it's going to force the media to finally bring up rape, which I've been told
[00:17:13.297 --> 00:17:26.620]  By not just Roger Stone, but I've been told by two different Fox hosts, several other Fox executives that I actually met with at the Ritz Carlton at the RNC there in Cleveland, Ohio.
[00:17:26.620 --> 00:17:28.260]  And then others as well.
[00:17:28.260 --> 00:17:31.120]  And I wasn't at liberty to talk about this until the last few days.
[00:17:31.120 --> 00:17:33.681]  I saw Roger talked about it, so now I can.
[00:17:33.681 --> 00:17:36.421]  I can talk about his case.
[00:17:36.421 --> 00:17:38.942]  He had been a consultant for Fox for many years.
[00:17:40.263 --> 00:17:44.964]  And it was basically on retainer to go on there whenever they wanted him on.
[00:17:44.964 --> 00:17:54.307]  And then about six, eight months ago, one week after CNN said he was banned, and MSNBC said he was, quote, banned from the air, something that they never do, and we'll have people on attacking him, but he can't respond.
[00:17:54.307 --> 00:17:59.268]  Unprecedented, unjournalistic, unethical behavior.
[00:17:59.268 --> 00:18:08.211]  He was basically told, you don't bring up Bill Clinton settling sexual assault cases or Juanita Roderick or Roderick or any of this stuff.
[00:18:08.211 --> 00:18:08.791]  You don't bring it up.
[00:18:09.784 --> 00:18:12.146]  And still, he wasn't allowed on air.
[00:18:12.146 --> 00:18:13.847]  So he's been banned all over TV.
[00:18:13.847 --> 00:18:23.493]  Now they still talk about him constantly and take clips out of context, but that's why we're sending people to break this electronic Berlin Wall.
[00:18:23.493 --> 00:18:29.516]  That's why we're doing this, because there are women trying to get their voices out for a long time that the TV won't have on, who've been silenced.
[00:18:29.516 --> 00:18:32.158]  Women who settled cases, who we've had on the broadcast.
[00:18:35.871 --> 00:18:38.472]  That Clinton has settled cases with.
[00:18:38.472 --> 00:18:43.015]  And I've interviewed people that have their arms and legs broken just because they knew about Clinton and Jennifer Flowers.
[00:18:43.015 --> 00:18:44.075]  I mean, they don't play games.
[00:18:44.075 --> 00:18:54.460]  So I'm going to skip this network break here so we have time to play these clips and this latest clip out of Nevada.
[00:18:54.460 --> 00:19:03.865]  But it's key to understand that we're doing this because even the WikiLeaks and the DC Leaks have come out in the last few months.
[00:19:04.753 --> 00:19:07.655]  And confirmed what we already knew.
[00:19:07.655 --> 00:19:13.219]  Busloads of MoveOn.org, that's Soros and Hillary, telling people we're settling with Sanders.
[00:19:13.219 --> 00:19:22.005]  Put on these t-shirts and then go out and physically attack people at Trump rallies so the mainstream media can say Trump was doing it and a racist and show him attacking Sanders people.
[00:19:22.725 --> 00:19:27.386]  And Sanders people attacking, and starting it, so Hillary can be clean on the outside of it.
[00:19:27.386 --> 00:19:31.107]  That was clear Machiavellian, simple level divide and conquer.
[00:19:31.107 --> 00:19:32.647]  That's checker level move, okay?
[00:19:32.647 --> 00:19:35.448]  Very amateur, the public can't even see it or understand it.
[00:19:35.448 --> 00:19:36.928]  Now we have the actual email.
[00:19:36.928 --> 00:19:51.472]  So, you want to send people to rallies, dressed up like KKK, saying they're Nazis, saying they love Trump, to then have fights with the minorities that they go and pick up from the homeless areas and others, and put in Bernie Sanders outfits, and then give them a bunch of liquor,
[00:19:52.012 --> 00:19:57.436]  And then get him drunk to come have a fight, and you want to scream racist and say he's Hitler?
[00:19:57.436 --> 00:20:11.285]  Well, we're going to expose the fact you've settled sexual assault cases and fly around on the Lolita Express, an aircraft of a convicted pedophile who had a pedophile island off the coast of Florida.
[00:20:11.285 --> 00:20:12.246]  I mean, look at, look at...
[00:20:14.383 --> 00:20:15.103]  Penn State.
[00:20:15.103 --> 00:20:16.963]  Look at the Catholic Church.
[00:20:16.963 --> 00:20:19.484]  Look at every major institution.
[00:20:19.484 --> 00:20:22.825]  Big Protestant institutions get caught being run by pedophile rings.
[00:20:22.825 --> 00:20:24.205]  That's where these people go.
[00:20:24.205 --> 00:20:30.526]  It's a very small minority of people that prey on boys and girls.
[00:20:30.526 --> 00:20:32.426]  But nevertheless, it's there.
[00:20:32.426 --> 00:20:37.867]  Bill Clinton took twice as many flights on pedophile island billionaires Alita Express than previously reported.
[00:20:37.867 --> 00:20:39.888]  Look it up yourself.
[00:20:39.888 --> 00:20:42.228]  Jeffrey Epstein, the billionaire pedophile.
[00:20:43.536 --> 00:20:45.617]  Okay, this is what came out.
[00:20:45.617 --> 00:20:51.520]  He settled some of the cases for underage, but he was reportedly had literal sex slaves.
[00:20:51.520 --> 00:21:03.867]  And then, of course, you've got her living with, you know, staying in the same hotel rooms with Uma Abedin, whose mother is into mutilating women sexually, and the number one proponent, promoter, pusher.
[00:21:03.867 --> 00:21:08.289]  That's admitted in these legal filings and these Islamic journals.
[00:21:09.793 --> 00:21:13.575]  To cut women's genitals off because it's so glorious.
[00:21:13.575 --> 00:21:16.537]  I didn't realize how ignorant people are.
[00:21:16.537 --> 00:21:20.639]  Every time I mention this, I see comments on YouTube saying, how do you cut a woman's genitals off?
[00:21:20.639 --> 00:21:24.421]  Women have genitals, ladies and gentlemen.
[00:21:24.421 --> 00:21:29.644]  If you don't know what the Muslims are doing, don't sit there and say I'm a liar, because you don't know what the hell you're talking about.
[00:21:29.644 --> 00:21:31.024]  And I'm not talking to our general audience.
[00:21:31.024 --> 00:21:37.088]  I just get amazed, like I said yesterday, that members of Congress think that islands are floating,
[00:21:38.168 --> 00:21:39.149]  They're not.
[00:21:39.149 --> 00:21:45.415]  They're underwater mountains that stick up, usually volcanic, like Hawaii.
[00:21:45.415 --> 00:21:53.142]  And, you know, then the smarter people in Congress say, well, let's just cruise missile the Russian air bases in Syria, and then we won't have any loss of life.
[00:21:53.142 --> 00:21:58.988]  And the generals say back to them, but that will cause a war, because they'll strike back.
[00:21:58.988 --> 00:22:00.929]  And our own Congress goes, I don't understand.
[00:22:00.929 --> 00:22:01.690]  What do you mean?
[00:22:01.690 --> 00:22:03.432]  We were using pilotless missiles.
[00:22:06.960 --> 00:22:10.742]  See, it's a new level of idiocy that we're dealing with here.
[00:22:10.742 --> 00:22:18.205]  And people just want to imagine they're winners, and imagine they're for women, and imagine they're for the good guys, and imagine everything's okay.
[00:22:18.205 --> 00:22:30.050]  And then you've got Hillary over here with this serial abuser of women, who is the one that shuts them down, who is the one that shuts them up.
[00:22:31.636 --> 00:22:32.377]  Here's the article right here.
[00:22:32.377 --> 00:22:33.279]  We'll show folks.
[00:22:33.279 --> 00:22:34.200]  Bill Clinton is a rapist.
[00:22:34.200 --> 00:22:36.003]  Trump supporter crashes Tim Kaine rally.
[00:22:36.003 --> 00:22:36.925]  It's on Infowars.com.
[00:22:36.925 --> 00:22:37.906]  Spread it before it wins.
[00:22:37.906 --> 00:22:39.248]  We've got all this happening.
[00:22:39.248 --> 00:22:44.276]  We've got all this going on.
[00:22:44.276 --> 00:22:44.837]  And they think...
[00:22:46.055 --> 00:22:50.421]  That their constituents are so stupid that they're not going to figure it out or understand it.
[00:22:50.421 --> 00:22:51.062]  And you know what?
[00:22:51.062 --> 00:22:55.328]  Maybe her constituents are so evil, they don't care if women are getting raped and abused.
[00:22:55.328 --> 00:22:57.772]  They don't care if Hillary's backing jihadists.
[00:22:57.772 --> 00:23:01.657]  But I believe a lot of them will care, so we're working as hard as we can to get this out.
