[00:00:20.379 --> 00:00:22.721]  It's December 15th, 2016.
[00:05:53.582 --> 00:05:58.705]  When you see your GPS acting in real time with certain apps, you can see that.
[00:05:59.065 --> 00:06:06.289]  When you see the facial recognition technology built into Snapchat and other apps, you are aware of this.
[00:06:06.550 --> 00:06:16.836]  But now Mark Zuckerberg envisions a software system inspired by the Iron Man character Jarvis as a virtual butler managing his household.
[00:06:18.171 --> 00:06:37.086]  Now I remember a certain Disney movie growing up it was called Smart House and basically it's you know the smart house you could pretty much imagine what the smart house would be like and in that movie the smart house goes completely haywire basically traps the family in and they have to shut the smart house down.
[00:06:37.606 --> 00:06:38.987]  No surprise there.
[00:06:39.387 --> 00:06:43.709]  Now you've got automated restaurants opening in New York City.
[00:06:43.749 --> 00:06:47.071]  So you've got your smart phone, you've got your smart house, you've got your smart car.
[00:06:47.411 --> 00:06:48.872]  Now you've got your smart bar.
[00:06:49.152 --> 00:06:51.973]  The problem is what you've got is a bunch of dumb humans.
[00:06:52.394 --> 00:06:56.015]  There are no cashiers and you order on an iPad or your phone.
[00:06:56.135 --> 00:06:57.856]  The meal appears in a little locker.
[00:06:57.976 --> 00:07:00.378]  Customers tap to open the door for their meal.
[00:07:01.178 --> 00:07:05.702]  You better love the vegetarian menu and the bowls cost about $7.
[00:07:06.282 --> 00:07:08.944]  So there's your $15 an hour folks.
[00:07:09.585 --> 00:07:11.726]  You won't have a job.
[00:07:12.407 --> 00:07:13.768]  It's going to be a machine.
[00:07:13.828 --> 00:07:17.891]  That's your smart bar for dumb people.
[00:07:18.232 --> 00:07:20.473]  And now of course they want the smart internet.
[00:07:20.874 --> 00:07:23.736]  And they've always said they want to model this after the Chinese model.
[00:07:24.236 --> 00:07:28.420]  Now China takes action on thousands of websites for harmful and obscene
[00:07:28.900 --> 00:07:36.447]  Content China has shut down or dealt with thousands of websites for sharing harmful, erotic, or obscene content since April.
[00:07:36.467 --> 00:07:41.271]  The state's office for combating pornography and illegal publications announced Thursday.
[00:07:41.551 --> 00:07:42.612]  That's the key here for me.
[00:07:42.732 --> 00:07:44.274]  Illegal publications.
[00:07:44.714 --> 00:07:48.037]  Uh, pornography, you know what, whatever they want to do with that, that's their own deal.
[00:07:48.418 --> 00:07:51.921]  But when they start censoring news, that's when we really take note of it.
[00:07:51.961 --> 00:07:59.429]  The government has tightened its grip on Chinese cyberspace in recent months, in particular placing new restrictions on the fast-growing live-streaming industry.
[00:07:59.789 --> 00:08:03.793]  Two popular news websites were also punished for spreading illegal content.
[00:08:05.248 --> 00:08:11.153]  Social media platforms have become a key tool for spreading illegal content and has allowed individuals to make big profits.
[00:08:11.233 --> 00:08:11.933]  Wait a second.
[00:08:12.414 --> 00:08:12.834]  Hold on.
[00:08:12.954 --> 00:08:15.036]  I'm starting to sound, that sounds familiar.
[00:08:15.456 --> 00:08:17.417]  That's what they say about Alex Jones.
[00:08:17.437 --> 00:08:19.159]  That's what they say about InfoWars.
[00:08:19.459 --> 00:08:20.480]  We're fake news.
[00:08:20.860 --> 00:08:27.345]  You know, we're spreading all of this content that's drumming up controversy and we're making profit off of doing it.
[00:08:27.805 --> 00:08:28.386]  Unbelievable.
[00:08:28.446 --> 00:08:29.607]  But what did they say?
[00:08:29.667 --> 00:08:31.668]  They want to bring in Chinese style censorship.
[00:08:32.649 --> 00:08:38.391]  Now we're seeing what the Chinese are doing with their censorship and even having this internet social score.
[00:08:38.931 --> 00:08:40.272]  This is what they want to bring here.
[00:08:40.372 --> 00:08:46.594]  And we're starting to see the rhetoric filter in or get in to our rhetoric in the United States.
[00:08:46.614 --> 00:08:48.435]  We need to cut this off at the head, folks.
[00:08:48.715 --> 00:08:51.236]  We know who the real fake news is.
[00:08:51.776 --> 00:08:53.156]  And I've always said this.
[00:08:53.196 --> 00:09:00.319]  And before I get into the Business Insider story, it should be up to the end user to decide what's real and what's fake.
[00:09:01.059 --> 00:09:02.520]  See, that's the whole point of America.
[00:09:02.960 --> 00:09:05.943]  Why do I need to go to Big Brother to tell me what to do?
[00:09:06.283 --> 00:09:13.608]  It's just like what John Rappaport talked today about the SB18, this bill in California that basically wants to put the state in charge of children.
[00:09:14.068 --> 00:09:16.610]  No, the parents should have the final say.
[00:09:16.970 --> 00:09:24.595]  I'm sick of these totalitarian power grabs that just determine that the state is always going to have your best interest in mind.
[00:09:24.715 --> 00:09:25.796]  I don't buy that for a second.
[00:09:25.836 --> 00:09:29.579]  But now, Facebook is going to use Snopes, Snopes.
[00:09:30.464 --> 00:09:33.509]  And other fact-checkers to combat and bury fake news.
[00:09:33.850 --> 00:09:42.826]  Facebook is going to start fact-checking, labeling, and burying fake news and hoaxes in its news feed, its company said on Thursday.
[00:09:43.703 --> 00:09:50.250]  Well, this is another accurate prediction of the fake news, which is what we're being dubbed.
[00:09:50.751 --> 00:09:58.880]  What I think they're going to do here, and we've had other people talk about this too, and they're going to use Facebook, Twitter, and I guess they're going to use Snopes.
[00:09:58.900 --> 00:10:04.567]  I mean, that discredits them, but they're going to use these social media platforms to verify what's real and what's fake.
[00:10:04.907 --> 00:10:11.831]  Now, we're about to have a report from John Bowne talking about Donald Trump's cabinet, and I'll be talking about that later on in the news as well.
[00:10:11.871 --> 00:10:12.952]  But here's some of the headlines.
[00:10:13.352 --> 00:10:15.654]  Dollar climbs to strongest since 2003.
[00:10:15.814 --> 00:10:19.416]  The Dolly rallied to its strongest level since 2003, up 1.2% on the euro, up 1.4%
[00:10:23.218 --> 00:10:26.420]  On the yen, gold tumbled to a 10-month low.
[00:10:26.941 --> 00:10:28.562]  Also, keep an eye on that.
[00:10:28.622 --> 00:10:31.984]  Stocks rise as Dow nears 20,000.
[00:10:32.124 --> 00:10:33.505]  Financials gain more than 1%.
[00:10:34.426 --> 00:10:36.668]  Stocks are on the rise again on Thursday.
[00:10:36.928 --> 00:10:40.450]  They keep setting records, night in, day in, day out.
[00:10:40.530 --> 00:10:42.712]  The records keep hitting the stock market.
[00:10:43.472 --> 00:10:45.254]  Homebuilder sediments spike 7 points.
[00:10:45.294 --> 00:10:46.675]  Trump has them feeling fantastic.
[00:10:46.915 --> 00:10:49.477]  That's part of the American dream, to build your own home.
[00:10:49.497 --> 00:10:49.797]  But wait!
[00:10:50.057 --> 00:10:51.178]  I thought this was all fake news.
[00:10:51.198 --> 00:10:54.279]  They told you that the market was going to collapse, the economy would be collapsing.
[00:10:54.319 --> 00:10:56.800]  No, Trump has Trumpified the economy up.
[00:10:57.940 --> 00:11:05.144]  Here are President-elect Donald Trump's picks for his presidential cabinet and top administration jobs.
[00:11:05.504 --> 00:11:11.807]  It would be important, I think, that we express some of our interest in seeing how immigration is
[00:11:12.927 --> 00:11:17.050]  We worked our tails off to develop every fact we could.
[00:11:29.719 --> 00:11:30.099]  We're good to go.
[00:11:46.093 --> 00:11:55.059]  At some point, you just can't cut costs anymore, and therefore you ultimately need pricing power and physical volume growth.
[00:11:55.560 --> 00:11:59.562]  And I think that's what's really lacking in today's world.
[00:11:59.903 --> 00:12:04.386]  Since World War II, we've entered probably five major conflicts.
[00:12:05.506 --> 00:12:07.527]  Four of those did not turn out well.
[00:12:07.547 --> 00:12:21.974]  If you don't know how to end the war, the war will go on and on, the enemy will mutate, and the American people will understandably lose an appreciation for what it is they're fighting for, because it's not well articulated.
[00:12:22.634 --> 00:12:30.058]  So if you don't get the political end state right up front, you're going to be engaged in a war you don't know how to end in favorable terms.
[00:12:31.834 --> 00:12:38.751]  Letting states set their own high standards and finally putting an end to the Federalized Common Core.
[00:12:40.586 --> 00:12:56.197]  Why is it that the EPA presently is in the process of developing a uniform federal implementation plan that they're going to put on the shelf to then say to the states, unless you act a particular way, unless you act consistent with the rule, this is what you're going to get.
[00:12:56.217 --> 00:13:00.080]  That, to me, does not sound like cooperation.
[00:13:00.140 --> 00:13:02.001]  That does not sound like partnership.
[00:13:02.061 --> 00:13:04.623]  That sounds like the proverbial gun to the head.
[00:13:05.303 --> 00:13:10.684]  We voted to repeal the President's healthcare legislation very early in this Congress.
[00:13:11.164 --> 00:13:13.985]  Now, if I had my druthers, we'd vote to repeal it every single week.
[00:13:14.385 --> 00:13:15.045]  Many were injured.
[00:13:16.226 --> 00:13:17.226]  Some seriously injured.
[00:13:18.766 --> 00:13:30.329]  But as one of the Iraqis said to me, Sir, they'd run from the danger like any normal man would to save his life.
[00:13:31.971 --> 00:13:38.096]  What he didn't know until then, he said, and what he learned at that instant, was that Americans are not normal.
[00:13:40.178 --> 00:13:47.844]  With tears welling up, he said to me, Sir, in the name of Allah, no sane man would have stood there and done what they did.
[00:13:49.106 --> 00:13:49.846]  No sane man.
[00:13:50.967 --> 00:13:52.368]  They saved all of us.
[00:13:53.489 --> 00:13:56.412]  I'm here today because I believe in the rule of law.
[00:14:03.110 --> 00:14:05.395]  And I'm here today because I did the right thing.
[00:14:09.022 --> 00:14:19.132]  I'm going to enter this courthouse with my head held high, knowing the actions that I took were not only lawful and legal, but right.
[00:14:19.152 --> 00:14:25.358]  You know, the problem with President Obama was we started with somebody at the top who really had no idea what it took to run something.
[00:14:25.438 --> 00:14:27.079]  Donald Trump is just the opposite.
[00:14:27.359 --> 00:14:29.361]  It is going to be so critical right now.
[00:14:30.022 --> 00:14:33.505]  We must resist the temptation to take the easy way out.
[00:14:34.526 --> 00:14:40.890]  And to passively accept what is fed to us by the politically elite and the media.
[00:14:41.330 --> 00:14:43.291]  Because they don't know what they're talking about.
[00:14:43.451 --> 00:14:50.235]  To be the CEO of a publicly traded company, there are leadership skills, management skills, certainly fiscal responsibility.
[00:14:50.455 --> 00:14:53.757]  And those are skills that I think are lacking in Washington.
[00:14:53.777 --> 00:14:54.397]  Yeah.
[00:14:54.497 --> 00:14:56.198]  I don't think we can spend our way out of debt.
[00:14:56.438 --> 00:14:59.240]  I think we have to bring the debt down and stop the spending we're doing.
[00:14:59.720 --> 00:15:02.682]  And someone with business experience has a better shot at that.
[00:15:02.782 --> 00:15:09.733]  All these energy gains and our economic dynamism are at risk if we fail to seize this historic moment.
[00:15:09.933 --> 00:15:15.963]  We have no reason to keep policies in place that reflect an age of scarcity and fear.
[00:15:16.428 --> 00:15:27.639]  Basically Mitch's opponents, his left-wing opponents, can't defeat him on policy issues and so they resort to racial slurs and questioning his patriotism because he's married to me.
[00:15:27.979 --> 00:15:30.101]  Our number one priority is tax reform.
[00:15:30.382 --> 00:15:33.945]  We're going to cut corporate taxes which will bring huge amounts of jobs.
[00:15:34.085 --> 00:15:38.830]  We're going to get to 15% and we're going to bring a lot of cash back into the U.S.
[00:15:39.110 --> 00:15:41.352]  I want to say a few words about President Obama.
[00:15:41.532 --> 00:15:46.656]  We are facing the most dangerous terrorist threat our nation has seen since September 11th.
[00:15:47.437 --> 00:15:52.681]  And this president appears unwilling or unable to deal with it.
[00:15:53.602 --> 00:15:57.405]  President Obama and Hillary Clinton abandoned Iraq.
[00:15:58.506 --> 00:16:05.892]  President Obama and Hillary Clinton drew a red line in Syria and then refused to uphold it.
[00:16:07.179 --> 00:16:16.277]  President Obama and Hillary Clinton watched passively as China and Russia filled the international leadership vacuum that they created.
[00:16:17.694 --> 00:16:22.237]  As of today, four cabinet positions are still being decided on.
[00:16:22.478 --> 00:16:33.726]  That of the Director of National Intelligence, Agriculture Secretary, Secretary of Veteran Affairs, and the person that will embody Donald Trump's chief trade negotiator, the U.S.
[00:16:34.026 --> 00:16:35.227]  Trade Representative.
[00:16:35.507 --> 00:16:41.592]  Of course, the minions of the propaganda machine voiced a chorus of their disapproval.
[00:16:41.752 --> 00:16:48.934]  We have to compare this, again to use John Cleese's line, this crew of a governmental pirate ship to Batman villains.
[00:16:49.374 --> 00:16:50.354]  All Batman villains.
[00:16:50.434 --> 00:16:57.616]  And this morning, Rex Tillerson could also be the first Secretary of State in American history with zero government experience.
[00:16:57.976 --> 00:17:02.938]  The ExxonMobil CEO is now Trump's likely pick to be the nation's top diplomat.
[00:17:03.298 --> 00:17:06.819]  And already his business ties with Russia are raising concerns.
[00:17:07.279 --> 00:17:18.006]  He nominated a wealthy CEO with ties to Russian oligarchs, and Tillerson is just the latest addition to a cabinet full of millionaires and billionaires that was already worth a total of $14 billion.
[00:17:18.066 --> 00:17:20.408]  Trump continues to fill out his cabinet.
[00:17:21.049 --> 00:17:25.672]  Watching Trump pick these people is like watching your nana get a sponge bath.
[00:17:27.293 --> 00:17:30.095]  You know it has to be done, but it's still upsetting.
[00:17:33.026 --> 00:17:43.354]  Yesterday, Trump named Scott Pruitt, Oklahoma Attorney General and sworn enemy of the EPA to be the head of... What's the word?
[00:17:43.634 --> 00:17:44.415]  The EPA.
[00:17:46.496 --> 00:17:54.707]  Appointing Andrew Puzder to run the agency responsible for protecting workers is a slap in the face for every hardworking American family.
[00:17:55.187 --> 00:18:02.477]  And this from Senator Tim Kaine, the nomination of an EPA administrator who does not accept basic climate science is deeply troubling.
[00:18:02.757 --> 00:18:07.659]  I think the bigger question from a policy point of view is who will drive economic policy in this administration?
[00:18:07.920 --> 00:18:21.286]  We still don't know who within the White House will be head of the National Economic Council, but these guys are not people with experience in government in a way that leads you, even with like a Bob Rubin, I don't really have a sense of what policies they're going to carry us out of.
[00:18:21.306 --> 00:18:26.168]  We are now all rooting for his success in uniting and leading the country.
[00:18:27.729 --> 00:18:29.230]  The peaceful transition of power
[00:18:30.228 --> 00:18:32.930]  is one of the hallmarks of our democracy.
[00:18:33.671 --> 00:18:37.133]  And over the next few months, we are going to show that to the world.
[00:18:37.433 --> 00:18:39.895]  Some peaceful transition of power?
[00:18:40.175 --> 00:18:47.040]  We should have known by now that President Obama meant the polar opposite of what he told the American public.
[00:18:47.340 --> 00:18:49.302]  John Bowne for InfoWars.com
[00:19:01.960 --> 00:19:16.387]  Three years ago, the Congress in the National Defense Authorization Act repealed the law that had been on the books for decades, barring the CIA and other agencies from engaging in domestic propaganda and disinformation.
[00:19:17.734 --> 00:19:36.358]  Over the weekend, they passed the Countering Disinformation and Propaganda Act that funds 160 plus million dollars to this new organization that will, quote, discover and counter with its own disinformation, alternative media that they dub fake news.
[00:19:37.659 --> 00:19:52.010]  At the very same time, we see mainstream media claiming that Trump, myself, Tucker Carlson, you name it, are Russian agents, and that the American people really wanted Hillary Clinton, but the Russians somehow hacked in, and that's why Trump won.
[00:19:52.751 --> 00:19:56.173]  Yes, we've gotten Trump elected, but they're openly trying to overthrow that.
[00:19:57.034 --> 00:20:00.379]  Now more than ever, InfoWars needs your prayers and your support.
[00:20:00.439 --> 00:20:06.106]  And I need you to take the articles and the videos that are on the site and realize you're the reason we're having such an effect.
[00:20:06.166 --> 00:20:07.948]  You're the power of InfoWars.
[00:20:08.329 --> 00:20:12.574]  Get those articles, get those videos, get those special reports out to everyone you know.
[00:20:13.869 --> 00:20:22.471]  As we approach Christmas, and I'm supposed to say that word now, our country's under such incredible thought police tyranny, it's important to be thankful.
[00:20:22.612 --> 00:20:34.215]  And I am extremely thankful to all of you that have prayed for us, that have spread the word about the broadcast, that have supported us, that have defended us, and that have financially supported us.
[00:20:34.835 --> 00:20:42.837]  We go out and search for the very best products and we also develop amazing products and then bring them to you at very competitive prices.
[00:20:43.277 --> 00:20:45.798]  So when we have a sale it really is a sale.
[00:20:46.318 --> 00:20:52.340]  That's why this week through the 17th we can guarantee you'll get delivery before Christmas.
[00:20:52.580 --> 00:20:58.602]  Again if you order by this Friday the 17th and you will get store-wide free shipping
[00:20:59.002 --> 00:20:59.442]  I think so.
[00:21:20.994 --> 00:21:21.995]  1995 can't beat that deal.
[00:21:22.495 --> 00:21:26.056]  Winter Sun, Vitamin D3, 25% off.
[00:21:26.416 --> 00:21:31.577]  Survival Shield, X2, Nascent Iodine, again an amazing 30% off.
[00:21:31.977 --> 00:21:36.419]  BioTruth Selenium, 30% off, and that's just some of the specials.
[00:21:36.799 --> 00:21:40.860]  Check them out today at InfoWarsStore.com or InfoWarsLife.com
[00:21:41.340 --> 00:21:42.301]  We're call toll free.
[00:21:42.622 --> 00:21:48.749]  The great crew will answer your questions, tell you about some of the other specials, and take your order if you'd like.
[00:21:48.769 --> 00:21:49.110]  888-253-3139.
[00:21:50.532 --> 00:21:59.003]  And finally, from myself, Alex Jones, and the rest of the InfoWars crew and my family, I want to wish all of you a blessed and merry Christmas.
[00:22:01.354 --> 00:22:03.054]  Electrify your day with Secret 12.
[00:22:03.654 --> 00:22:04.995]  It's like lightning in a bottle.
[00:22:05.215 --> 00:22:08.755]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:22:09.115 --> 00:22:16.877]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:22:17.057 --> 00:22:21.858]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:22:22.018 --> 00:22:27.499]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:22:27.839 --> 00:22:35.380]  Secret 12 by InfoWarsLife is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:22:35.620 --> 00:22:40.081]  It pairs two forms of vitamin B12 into one explosive formula.
[00:22:40.341 --> 00:22:49.163]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:22:49.363 --> 00:22:52.623]  Electrify your mind and body and take your health to the next level.
[00:22:52.903 --> 00:22:56.484]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:22:56.804 --> 00:23:01.868]  That's Infowarslife.com.
[00:23:05.691 --> 00:23:08.913]  That's the headline on Thursday evening at DrugsReport.com.
[00:23:09.534 --> 00:23:11.495]  Fake book to label news.
[00:23:12.676 --> 00:23:15.018]  And of course, Hillary's labeled us the alt-right.
[00:23:15.358 --> 00:23:17.860]  And now she's calling for us to be shut down and censored.
[00:23:18.481 --> 00:23:21.963]  That's right out of Nazi Germany, where you label a group, then you outlaw a group.
[00:23:22.404 --> 00:23:23.845]  The classic tyranny is unfolding.
[00:23:24.960 --> 00:23:31.709]  But when you actually read the Business Insider article, where they got the interview and the press release from the Facebook executives...
[00:23:31.940 --> 00:23:32.961]  They say it's worse than that.
[00:23:33.001 --> 00:23:47.209]  They use the words bury and ban news and they use Democratic Party and Soros funded groups like Snopes to decide what's going to be banned and they use algorithms to block you.
[00:23:48.130 --> 00:23:58.956]  They have a screenshot in here just like Google Chrome has been doing to InfoWars that says disputed by third parties so they're now inserting themselves and you're searching
[00:23:59.710 --> 00:24:04.952]  And saying, before you share the story, you might want to know that independent fact-checkers dispute this accuracy.
[00:24:05.253 --> 00:24:07.694]  Well, this is actually almost the red badge of courage now.
[00:24:07.954 --> 00:24:08.714]  You better share it.
[00:24:08.754 --> 00:24:14.557]  The problem is, there are real fake news sites, like the New York Times got caught running this week, that said Alec Baldwin was dead.
[00:24:15.697 --> 00:24:16.898]  That's the type of stuff they run.
[00:24:16.938 --> 00:24:18.039]  There's pure fake news.
[00:24:18.840 --> 00:24:19.561]  But let them!
[00:24:19.981 --> 00:24:21.363]  Let people figure out it's fake.
[00:24:21.423 --> 00:24:24.385]  That site will be discredited as soon as you learn Alan Baldwin isn't dead.
[00:24:24.846 --> 00:24:30.992]  They then project that onto us to call for independent, true, hardcore journalists to be shut down.
[00:24:32.329 --> 00:24:38.212]  We told you it was coming last week when the EU came out and said, you have 24 hours, Facebook, Google, Twitter, to start censoring the alt-right.
[00:24:38.692 --> 00:24:39.713]  They even listed us.
[00:24:40.133 --> 00:24:48.217]  They said, use the Washington Post list that the Washington Post had to retract last week, saying that it was just made up.
[00:24:48.357 --> 00:24:51.398]  Remember they said, this list of hundreds of sites are Russian agents.
[00:24:51.838 --> 00:24:52.259]  Ban them.
[00:24:53.719 --> 00:24:55.020]  And then lawsuits started getting filed.
[00:24:55.040 --> 00:24:57.041]  They said, OK, we don't know where we got the list.
[00:24:57.101 --> 00:24:57.621]  It's not real.
[00:24:57.681 --> 00:24:58.262]  We retract.
[00:24:58.662 --> 00:25:00.863]  So they're using retracted fake lists
[00:25:01.837 --> 00:25:03.858]  A few years ago, this would have been unthinkable.
[00:25:04.118 --> 00:25:07.359]  The head of the biggest website in the world, Zuckerberg,
[00:25:27.705 --> 00:25:43.691]  is meeting with the Communist Chinese to deploy their very fake news model that they started 20 years ago in 1996 and have arrested hundreds of thousands of people, executed tens of thousands including Buddhists who simply share Falun Gong material on the internet.
[00:25:44.171 --> 00:25:48.513]  That's who we're using as the model and as the advisors.
[00:25:49.557 --> 00:25:54.563]  To set this up in America and they're rolling it out that they're protecting the public.
[00:25:55.003 --> 00:25:56.765]  Just like the Communist Chinese do.
[00:25:57.286 --> 00:26:00.950]  Europe the last few years has been arresting people that mildly criticize Islam.
[00:26:01.250 --> 00:26:05.215]  They've been trying and convicting members of Parliament in Europe.
[00:26:05.555 --> 00:26:09.700]  They've been arresting people that say it's wrong when Muslims rape and kill women.
[00:26:11.448 --> 00:26:19.131]  This is the incredible destruction of free speech in the West and the First Amendment, and where is the left to speak out against it?
[00:26:19.711 --> 00:26:22.132]  Read the statements for yourself.
[00:26:22.952 --> 00:26:24.533]  This is how they label things.
[00:26:24.893 --> 00:26:32.756]  Real media is fake news, and then the dinosaur media labels their incredible censorship and their rollout of tyranny
[00:26:33.743 --> 00:26:35.164]  And while all of this is happening,
[00:27:01.340 --> 00:27:05.943]  Corporate media is out announcing no one's censoring Alex Jones.
[00:27:07.283 --> 00:27:08.344]  None of this is happening.
[00:27:08.964 --> 00:27:09.825]  It's made up.
[00:27:10.825 --> 00:27:12.046]  It's not going on.
[00:27:12.747 --> 00:27:16.649]  But then in the next segment, they say, we've got to shut Alex Jones down.
[00:27:16.969 --> 00:27:17.649]  So it's literal 1984.
[00:27:18.570 --> 00:27:19.410]  We don't censor.
[00:27:19.951 --> 00:27:23.713]  We don't shut people down as it's happening to Breitbart and others, not just us.
[00:27:24.393 --> 00:27:26.975]  And the next segment, we've got to shut Alex Jones down.
[00:27:28.629 --> 00:27:31.872]  This is the level of brainwashing that's going on.
[00:27:32.392 --> 00:27:34.114]  Now, the good news is, this failed.
