[00:00:09.994 --> 00:00:11.735]  Really important for us to remember our history.
[00:19:58.090 --> 00:20:00.711]  Having sex with underage girls or something with no evidence.
[00:20:01.171 --> 00:20:03.593]  And of course that turned out to be a giant hoax and we said it was a hoax.
[00:20:04.253 --> 00:20:06.394]  And they've got all these other hoaxes they're pushing against Trump.
[00:20:06.674 --> 00:20:08.835]  But we will dig into every single one of them.
[00:20:08.855 --> 00:20:09.255]  Stay with us.
[00:20:09.895 --> 00:20:13.197]  There is an attack on the human institution of family.
[00:20:13.957 --> 00:20:17.561]  And if you want to take down the nuclear family, you attack males.
[00:20:18.421 --> 00:20:22.225]  Males are the defender of the human tribe.
[00:20:22.806 --> 00:20:27.550]  When men fall, the rest of humanity can be completely enslaved.
[00:20:28.331 --> 00:20:32.014]  The attack on the family is in movies, sitcoms, dramas.
[00:20:32.295 --> 00:20:33.776]  This isn't to empower women.
[00:20:34.296 --> 00:20:35.798]  This is to wreck civilization.
[00:20:36.038 --> 00:20:41.744]  For too long, we have been allowing the globalist controllers to launch a full-scale chemical war on our masculinity.
[00:20:41.964 --> 00:20:43.045]  You've seen the headlines.
[00:20:43.065 --> 00:20:48.671]  The estrogen mimickers and the gender-bending compounds in the food and water supply are changing the way our bodies work.
[00:20:48.811 --> 00:20:55.037]  And men are the number one target of this program, with the estrogen mimickers in the plastics.
[00:20:55.237 --> 00:20:57.378]  It's impossible, even if you're a health nut, to avoid all of this.
[00:21:22.088 --> 00:21:28.651]  But for myself personally, what I've experienced with the products at Infowarslife.com has been simply amazing.
[00:21:29.531 --> 00:21:32.813]  Supermail Vitality has changed my life in the last three years.
[00:21:33.133 --> 00:21:39.336]  That's why we wanted to develop something that works in conjunction with Supermail to take it to the next level.
[00:21:39.796 --> 00:21:41.277]  It's only been out for about six months.
[00:21:42.137 --> 00:21:50.922]  It sold out so quickly in its first run, and now it is back after months of not being available, Anthroplex.
[00:21:51.723 --> 00:21:57.847]  The reason we sell out when other big vitamin and mineral and nutraceutical makers don't,
[00:21:58.567 --> 00:22:04.592]  Is because we only source the purest, cleanest, high-quality, organic products.
[00:22:04.672 --> 00:22:14.480]  And it's really hard when you've got a formulation that's got a bunch of really great ingredients in it to get them and to always have them be perfectly clean and to be able to pass some of the highest standards in the world.
[00:22:14.800 --> 00:22:25.648]  When you go to Infowarslife.com, you can see that for yourself and find out why Anthroplex, taken by itself or in conjunction with Super Male Vitality, is such a game changer.
[00:22:25.968 --> 00:22:27.189]  This is the next level.
[00:22:28.150 --> 00:22:32.111]  And I'm so proud that we were able to bring a product like this to you.
[00:22:32.792 --> 00:22:35.392]  This is how men were supposed to feel.
[00:22:35.713 --> 00:22:40.114]  Quite frankly, I remember what it felt like to be 18 or 19 or 20.
[00:22:40.674 --> 00:22:45.236]  To be crazed, to be aggressive, to feel just exhilaration.
[00:22:46.116 --> 00:22:55.520]  And it's the super metal vitality and the AnthroPlex with exercise and a better diet that have taken me back to where I was and quite frankly beyond.
[00:22:55.940 --> 00:22:56.600]  It's amazing.
[00:22:56.800 --> 00:23:00.642]  And AnthroPlex is now back in stock at InfoWarsLife.com.
[00:23:00.982 --> 00:23:06.504]  Men, do yourself a favor and get a bottle of AnthroPlex today and see what I'm talking about.
[00:23:07.005 --> 00:23:14.748]  All of our products at InfoWarsLife.com are recognized as safe and they are made in FDA certified labs.
[00:23:15.248 --> 00:23:21.212]  The media tries to demonize supplements because, quite frankly, Mother Nature's got a lot to offer that Big Pharma doesn't.
[00:23:21.833 --> 00:23:26.416]  But there are some bad companies out there and there are some substances that Mother Nature produces that aren't good for you.
[00:23:27.096 --> 00:23:35.502]  That's why everything we put in these products is recognized as safe and produced at the highest level, highest quality FDA certified labs.
[00:23:35.942 --> 00:23:44.127]  Talk to your physician or healthcare provider before you take Anthraplex or any of the products at Infowarslife.com like X2.
[00:23:44.627 --> 00:23:46.709]  Because this stuff's real.
[00:23:47.109 --> 00:23:50.391]  Just one of the ingredients in Anthraplex is horny goat weed.
[00:23:50.651 --> 00:23:56.415]  In Chinese traditional medicine, it is recognized as one of the most powerful male stimulants.
[00:23:56.915 --> 00:23:59.636]  Not just of libido, but overall vitality.
[00:24:00.017 --> 00:24:06.439]  We put together a classic formula, souped up with the highest quality at a very low price.
[00:24:06.920 --> 00:24:09.361]  Available at Infowarslife.com today.
[00:24:22.961 --> 00:24:27.664]  Alright, so the story with all the inside baseball details is up on InfoWars.com.
[00:24:28.204 --> 00:24:32.407]  Exclusive, Koch-Soros insiders attempt to take over the Trump campaign.
[00:24:32.867 --> 00:24:36.589]  Establishment is in last-ditch effort to co-opt the Newark billionaire.
[00:24:37.310 --> 00:24:39.071]  We'll see how Trump responds to this.
[00:24:40.796 --> 00:24:45.860]  Quite frankly, it's hard to be involved in a major national campaign and not have some of these people in there.
[00:24:45.880 --> 00:24:56.147]  If he ever starts changing his policies, or he ever stops his pledge to repeal Obamacare, or to try to control our borders, I will turn on him.
[00:24:58.171 --> 00:24:59.431]  Like 50 day old milk.
[00:24:59.692 --> 00:25:00.452]  I mean, instantly.
[00:25:01.212 --> 00:25:03.333]  But we are watching this closely.
[00:25:03.873 --> 00:25:07.074]  And we've seen some other troubling things out of Lewandowski before.
[00:25:07.714 --> 00:25:10.455]  The question is, is he trying to co-opt the campaign?
[00:25:10.495 --> 00:25:11.615]  Well, regardless, it's happening.
[00:25:11.976 --> 00:25:12.676]  Is he behind it?
[00:25:14.036 --> 00:25:15.797]  Is he the one that's made a lot of the big missteps?
[00:25:17.217 --> 00:25:17.777]  Absolutely.
[00:25:18.178 --> 00:25:25.360]  And I don't have it out for Lewandowski, but I remember during the Ron Paul campaigns, Jesse Benton just always came up with causing the problems.
[00:25:26.641 --> 00:25:32.627]  In two different campaigns and I would hold my tongue and then years later everybody turned against him and all the stuff came out.
[00:25:33.327 --> 00:25:39.533]  And then it's him again running this big supposed Trump PAC that isn't a Trump PAC.
[00:25:40.494 --> 00:25:43.137]  And they won't stop doing it when Trump asks them to stop doing it.
[00:25:43.197 --> 00:25:49.643]  So really what I'm getting at is there's all these forces that try to get into a campaign at this high level.
[00:25:51.169 --> 00:25:55.891]  I mean, if you've got a successful restaurant, people are going to try to get a job there and do weird stuff inside of it.
[00:25:56.372 --> 00:25:58.613]  Or if you have a business, I mean, everybody's experienced this.
[00:25:58.993 --> 00:26:02.755]  If you're in the media and you're very successful, there's always people trying to weasel in.
[00:26:04.296 --> 00:26:13.800]  So when I'm covering this, it's not to go, hey, let's make hay out of a Goldman Sachs-Soros connected people, Koch brother connected, got the trifecta going on here.
[00:26:14.281 --> 00:26:16.182]  Let's just point it out and let's watch it.
[00:26:16.802 --> 00:26:17.922]  Let's ask the larger question.
[00:26:18.523 --> 00:26:20.384]  Trump said he wasn't going to take big
[00:26:21.343 --> 00:26:21.603]  We're good.
[00:26:53.083 --> 00:26:59.089]  And I don't see that as going back on a promise, but if he starts taking globalist money, then we're going to have a big problem.
[00:26:59.749 --> 00:27:02.011]  And so this is all part of keeping people honest.
[00:27:02.432 --> 00:27:03.353]  That's what we're doing.
[00:27:03.393 --> 00:27:07.256]  Now, I do not want to get into this anymore because this is not near our top story today.
[00:27:07.717 --> 00:27:13.442]  It is an exclusive to InfoWars.com, but our integrity will continue on no matter what.
[00:27:14.503 --> 00:27:16.065]  It's just like Ted Cruz.
[00:27:16.565 --> 00:27:18.067]  He had a good voting record in the Senate.
[00:27:18.715 --> 00:27:22.918]  He had a really bad pedigree, really bad connections to nasty globalists.
[00:27:23.458 --> 00:27:27.901]  And he uncloaked about six months ago and really showed us who he was.
[00:27:28.041 --> 00:27:33.484]  And now I'm very, very sad that I was ever supportive of Ted Cruz.
[00:27:34.324 --> 00:27:37.907]  I frankly, a year ago, I was supporting him overall over Donald Trump.
[00:27:39.247 --> 00:27:41.609]  But I liked the nationalist bent of Donald Trump.
