[00:00:20.245 --> 00:00:21.486]  It's November 22nd, 2016.
[00:03:04.707 --> 00:03:14.129]  Well, ladies and gentlemen, the attacks at us here at InfoWars.com, the attacks at you, the Trump supporters, are at full force right now.
[00:03:14.169 --> 00:03:29.752]  Of course, we've seen the fake news that's been pushed for the last two weeks, and now they're really trying to taint the alt-right by saying that we're racist and all of these other attacks on our character without any proof at all.
[00:03:30.053 --> 00:03:31.593]  Now, last night on CNN,
[00:03:32.273 --> 00:03:38.318]  With Don Lemon, probably the worst host on the mainstream news, and that is saying a lot.
[00:03:38.699 --> 00:03:43.023]  Don Lemon wanted to really, really make the alt-right look bad.
[00:03:43.063 --> 00:03:51.770]  He really wanted to smear the alt-right last night on his news program with, of course, David Gergen, one of the other talking heads that they put on there at CNN.
[00:03:52.070 --> 00:03:53.312]  We got some highlights from that.
[00:03:53.572 --> 00:03:57.876]  We're going to respond to the claims they made against the alt-right and their propaganda.
[00:03:58.096 --> 00:03:59.137]  Let's roll the first video.
[00:03:59.633 --> 00:04:00.715]  I want to talk about the alt-right.
[00:04:00.775 --> 00:04:02.177]  I want to ask you about this.
[00:04:02.338 --> 00:04:06.324]  Members of the alt-right, really a euphemism for white supremacists.
[00:04:06.625 --> 00:04:08.167]  I guess it's just their new name now.
[00:04:08.208 --> 00:04:09.450]  They've rebranded themselves.
[00:04:10.379 --> 00:04:13.240]  No, you are the ones that branded us that.
[00:04:14.141 --> 00:04:18.123]  Honestly, I don't know where this whole alt-right thing originated.
[00:04:18.563 --> 00:04:29.408]  Of course, the thought of the alt-right is that we are of the political right in that thought paradigm, the political left versus right, but we're not the neocons.
[00:04:29.428 --> 00:04:30.909]  We're not the establishment right.
[00:04:31.129 --> 00:04:34.691]  We're just conservatives that don't go along with the establishment.
[00:04:35.091 --> 00:04:46.196]  But somehow they put this term alt-right on us, that's their label, and now Don Lemon is going to use that as a blanket statement for anybody who supports Donald Trump, basically.
[00:04:46.596 --> 00:04:52.359]  So if you support Donald Trump, you are the alt-right, and now they have to demonize you and attack you.
[00:04:52.719 --> 00:05:01.944]  With every character assassination they possibly can, it's just a total blanket statement on anybody who's not establishment conservative without any proof.
[00:05:02.204 --> 00:05:10.068]  Now they go on, but let's roll to the next one because this is what they really use to fuel their commentary in this segment.
[00:05:10.088 --> 00:05:11.008]  Go ahead and roll this video.
[00:05:11.428 --> 00:05:12.189]  Hail Trump!
[00:05:12.569 --> 00:05:13.549]  Hail our people!
[00:05:13.609 --> 00:05:14.470]  Hail victory!
[00:05:24.318 --> 00:05:26.019]  So some very strange behavior.
[00:05:26.119 --> 00:05:31.602]  You can even see a guy running forward doing the Hail, it looks like a Hail Hitler salute.
[00:05:31.622 --> 00:05:34.043]  These people are clearly mad, crazed.
[00:05:34.324 --> 00:05:42.648]  This is a tiny fringe segment of our society, but they're amplifying it and then making a blanket statement that this is the alt-right.
[00:05:42.948 --> 00:05:51.353]  So first they're going to just label us as alt-right, and then they're going to decide that alt-right is racist because they also said that these people are alt-right.
[00:05:51.753 --> 00:06:00.381]  This is how the mainstream media twists words, twists information, twists logic, and then tries to character assassinate their opposition.
[00:06:00.802 --> 00:06:02.683]  Without any proof, mind you.
[00:06:03.104 --> 00:06:10.150]  Now, let's hear what the Trump administration said in response to these people being affiliated with Donald Trump.
[00:06:10.191 --> 00:06:10.511]  Go ahead.
[00:06:10.956 --> 00:06:22.198]  Trump has continued to denounce racism of any kind and he was elected because he will be a leader for every American to think otherwise is a complete misrepresentation of the movement that united Americans from all backgrounds.
[00:06:22.438 --> 00:06:25.299]  So my question is, is that specific enough in this statement?
[00:06:25.599 --> 00:06:28.800]  Shouldn't he be very clear what and who he is calling out here?
[00:06:30.780 --> 00:06:32.340]  Of course it's not clear.
[00:06:35.281 --> 00:06:36.661]  Of course it's not clear.
[00:06:36.801 --> 00:06:37.842]  I'm David Gergen.
[00:06:38.822 --> 00:06:39.822]  How is that not clear?
[00:06:41.317 --> 00:06:46.340]  What else could Donald Trump have said, what other statement could have been made that is less clear?
[00:06:47.040 --> 00:06:50.863]  We are, hey, um, whoa, you've got these people over here that seem to be racist.
[00:06:50.883 --> 00:06:51.443]  What do you say?
[00:06:51.883 --> 00:06:55.105]  We do not support racism of any kind at all.
[00:06:55.265 --> 00:06:55.505]  What?
[00:06:55.685 --> 00:06:56.686]  I don't understand what he said!
[00:06:56.706 --> 00:06:57.566]  It's not clear!
[00:06:57.767 --> 00:06:58.307]  It's not clear!
[00:06:58.367 --> 00:06:59.007]  I'm David Gergen!
[00:06:59.047 --> 00:06:59.528]  What happened?
[00:06:59.548 --> 00:07:00.008]  Don Lemon!
[00:07:00.048 --> 00:07:00.648]  Oh my God!
[00:07:01.209 --> 00:07:02.489]  So this is how they operate.
[00:07:02.809 --> 00:07:06.932]  Trump's statement is not clear when it could not have been more clear.
[00:07:07.272 --> 00:07:09.553]  But this is how confused these people are.
[00:07:09.593 --> 00:07:10.414]  Let's roll to the next one.
[00:07:10.930 --> 00:07:19.376]  Clearly, Phillip, his team and he are not that stupid to believe that this doesn't matter, that they're not trafficking in racism and bigotry by doing this.
[00:07:20.236 --> 00:07:21.617]  Did you hear what Don Lemon just said?
[00:07:22.598 --> 00:07:25.280]  Trafficking in racism and bigotry.
[00:07:26.361 --> 00:07:33.225]  Don Lemon just said that the Donald Trump campaign is trafficking in racism and bigotry.
[00:07:35.020 --> 00:07:46.260]  I don't know if Don Lemon knows what trafficking means, so somehow, in Don Lemon's weird reality, Donald Trump's campaign is illegally dealing racism and bigotry.
[00:07:47.438 --> 00:07:47.818]  Huh.
[00:07:48.519 --> 00:07:49.760]  How does that work?
[00:07:50.300 --> 00:07:53.963]  Trafficking racism and bigotry according to Don Lemon.
[00:07:54.223 --> 00:08:01.349]  Well, I would make the argument that if anybody is trafficking racism and bigotry, it's you, Don Lemon!
[00:08:01.829 --> 00:08:05.592]  You are the one that is trafficking in racism and bigotry.
[00:08:05.632 --> 00:08:09.175]  But again, that comment doesn't even make any sense.
[00:08:09.275 --> 00:08:11.316]  You just continue to make yourself look like a jackass.
[00:08:11.396 --> 00:08:16.160]  I can't even imagine CNN looking at you thinking you're the future of their network.
[00:08:16.620 --> 00:08:18.481]  Oh my gosh, of course they are dead.
[00:08:18.741 --> 00:08:19.682]  Let's roll to the next one.
[00:08:20.082 --> 00:08:20.662]  It is so weak.
[00:08:20.682 --> 00:08:26.065]  This is from a guy who spent months railing against Hillary Clinton for not saying radical Islamic terrorism in that phrase exactly.
[00:08:26.345 --> 00:08:31.067]  Can't come out and say, you know, those racist Nazis that were just in DC, that's not me.
[00:08:31.407 --> 00:08:32.128]  Stay away from me.
[00:08:32.188 --> 00:08:32.908]  That's not what I'm about.
[00:08:33.288 --> 00:08:41.992]  So now they want to compare Donald Trump not saying neo-Nazi to Hillary Clinton not saying radical Islamic terror.
[00:08:42.593 --> 00:08:45.514]  I do not think that the two are on the same platform.
[00:08:45.794 --> 00:08:50.496]  If you point to neo-Nazi attacks, it's a very fringe minority amount.
[00:08:50.817 --> 00:08:55.599]  If you talk about radical Islamic terror, this is a threat that the entire planet
[00:08:56.019 --> 00:08:56.379]  We're good.
[00:09:19.013 --> 00:09:21.798]  People in America, and you said, what are the biggest issues in America?
[00:09:22.178 --> 00:09:25.744]  How many of those people do you think would write down neo-Nazi attacks?
[00:09:26.701 --> 00:09:27.401]  Not very many.
[00:09:27.721 --> 00:09:30.582]  How many people do you think would write down radical Islamic terror?
[00:09:31.123 --> 00:09:33.684]  I would guess a large amount of people.
[00:09:33.724 --> 00:09:38.445]  So I'm sorry, but that argument saying, why won't Trump say neo-Nazis?
[00:09:38.725 --> 00:09:41.846]  He demonizes Hillary for not saying radical Islamic terror.
[00:09:42.087 --> 00:09:42.887]  He's a hypocrite.
[00:09:43.247 --> 00:09:45.488]  Sorry, that argument does not hold water.
[00:09:45.748 --> 00:09:46.668]  Let's roll to the next one.
[00:09:47.368 --> 00:09:53.711]  It may not matter that he is insulting to people of color, Rebecca, considering the number of people of color who actually voted for him, about 7%.
[00:09:56.045 --> 00:09:59.026]  No, you are what doesn't matter, Don Lemon.
[00:09:59.486 --> 00:10:02.467]  It's not that Donald Trump doesn't care about people of color.
[00:10:02.727 --> 00:10:03.468]  He clearly does.
[00:10:03.548 --> 00:10:04.888]  He went and visited those people.
[00:10:05.168 --> 00:10:05.969]  He talked to those people.
[00:10:05.989 --> 00:10:07.809]  He's won awards for helping the inner cities.
[00:10:08.049 --> 00:10:10.570]  But we're beyond the whole what color your skin is.
[00:10:10.950 --> 00:10:14.112]  You are actually the ones who are trafficking in race.
[00:10:14.412 --> 00:10:15.112]  That is you.
[00:10:15.392 --> 00:10:17.193]  That's what you're doing in this segment.
[00:10:17.513 --> 00:10:20.454]  But no, you are the one that doesn't matter, okay?
[00:10:20.894 --> 00:10:31.342]  And you are discounting all of the people of color that voted for Donald Trump when you sit here and say that it was a white lash or it's white racism that got Donald Trump elected.
[00:10:31.622 --> 00:10:32.623]  That is racist.
[00:10:32.883 --> 00:10:36.005]  You are the ones trafficking in racism and bigotry, Don Lemon.
[00:10:36.246 --> 00:10:46.173]  You need to take a serious look in the mirror and realize that you are a hypocrite and that the only reason why people of color vote for Donald Trump is because you are the one that doesn't matter.
[00:10:46.413 --> 00:10:47.314]  Let's roll to the next one.
[00:10:48.041 --> 00:10:58.868]  I, I, listen, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I,
[00:11:15.578 --> 00:11:28.637]  And I'm sorry, when the alt-right is taking it seriously as it is, and we begin to normalize this conversation to say, it's alright to do neo-Nazi kind of rhetoric, and we're just going to accept it.
[00:11:28.657 --> 00:11:30.199]  It's just part of who we are as Americans.
[00:11:30.279 --> 00:11:31.401]  No, it is not alright.
[00:11:32.409 --> 00:11:38.497]  So it's alright though for people to threaten people in the electoral college if they don't switch their vote to Hillary.
[00:11:38.798 --> 00:11:42.703]  It's alright when white people get beaten up in the streets for supporting Trump.
[00:11:43.003 --> 00:11:46.928]  It's alright when people talk about assassinating Donald Trump on social media.
[00:11:47.349 --> 00:11:56.872]  All that is acceptable for David Gergen, but God forbid, God forbid that the alt-right exist and have any influence on the narrative.
[00:11:57.012 --> 00:11:57.993]  God forbid.
[00:11:58.273 --> 00:11:59.553]  But how rich is this?
[00:11:59.613 --> 00:12:03.935]  David Gergen is admitting that the students in his class are crying.
[00:12:04.435 --> 00:12:05.295]  He just admitted it.
[00:12:05.675 --> 00:12:07.176]  They're crying in my class.
[00:12:07.396 --> 00:12:08.256]  They're scared.
[00:12:08.837 --> 00:12:09.197]  Why?
[00:12:09.657 --> 00:12:12.338]  Because of the false narratives that you're feeding them.
[00:12:13.038 --> 00:12:14.841]  Why should they be scared of Donald Trump?
[00:12:15.141 --> 00:12:17.084]  Why should they be scared of Stephen Bannon?
[00:12:17.505 --> 00:12:18.887]  There is no substance there.
[00:12:18.927 --> 00:12:22.892]  And again, he's mad about neo-Nazi rhetoric.
[00:12:22.933 --> 00:12:23.413]  That's fine.
[00:12:23.453 --> 00:12:24.715]  Okay, you can be upset about that.
[00:12:25.572 --> 00:12:27.053]  That's well within your right.
[00:12:27.214 --> 00:12:30.577]  I think we could all agree that this neo-Nazi rhetoric, we don't need to stand for that.
[00:12:30.857 --> 00:12:31.638]  There's no room for that.
[00:12:32.118 --> 00:12:35.701]  But where is he calling out the assassination calls against Donald Trump?
[00:12:36.062 --> 00:12:40.306]  Where is he talking to all the people on social media who are threatening Donald Trump supporters?
[00:12:40.626 --> 00:12:42.908]  That just doesn't exist in David Gergen's world.
[00:12:43.188 --> 00:12:47.472]  It's only the alt-right that is racist, that is bigoted, and that is violent.
[00:12:47.873 --> 00:12:49.314]  That's David Gergen's reality.
[00:12:49.554 --> 00:12:51.136]  And then what happens in his class?
[00:12:51.576 --> 00:12:56.838]  His students cry because they didn't get their way, and a racist bigot is now running the country.
[00:12:56.858 --> 00:12:57.838]  Awww.
[00:12:58.058 --> 00:12:59.178]  Let's roll to the next one.
[00:12:59.518 --> 00:13:05.100]  But at the same time, you also don't want to give unnecessary oxygen to some of this hateful rhetoric.
[00:13:05.720 --> 00:13:07.081]  And there is the potential to do that.
[00:13:07.121 --> 00:13:09.521]  It's Breitbart that gave them the unnecessary oxygen.
[00:13:09.601 --> 00:13:11.662]  Breitbart was the one that helped gave them the platform.
[00:13:11.682 --> 00:13:12.862]  That's what Mr. Bannon said.
[00:13:12.882 --> 00:13:13.523]  Right.
[00:13:13.723 --> 00:13:16.384]  I'm talking about these neo-Nazis in Washington.
[00:13:19.071 --> 00:13:23.954]  I love how Rebecca Byrd just kind of patted him on the head there at the end, like, OK, you know what?
[00:13:23.994 --> 00:13:26.536]  You completely missed the point, David, but nice try.
[00:13:26.596 --> 00:13:28.538]  I'm glad that you decided to chime in on this one.
[00:13:28.918 --> 00:13:33.801]  And of course, the ultimate irony, she's here saying, we don't need to give these people attention.
[00:13:33.901 --> 00:13:35.282]  We don't need to give them a platform.
[00:13:35.322 --> 00:13:37.223]  This is only making them want to do this more.
[00:13:37.243 --> 00:13:38.925]  This is only giving them more firepower.
[00:13:39.505 --> 00:13:45.907]  And then David Gergen blames Breitbart for that when he's the CNN pundit on CNN talking about it.
[00:13:46.427 --> 00:13:49.308]  This is Don Lemon who is giving them the platform.
[00:13:49.508 --> 00:13:53.870]  This is Don Lemon who's putting the spotlight on them, not Breitbart.
[00:13:54.450 --> 00:13:56.011]  See, he's missing it all together.
[00:13:56.051 --> 00:13:57.271]  So this is how they work, folks.
[00:13:57.711 --> 00:14:02.313]  First, they want to make a blanket statement about any conservative that supports Trump as alt-right.
[00:14:02.753 --> 00:14:03.693]  That's how they label us.
[00:14:04.514 --> 00:14:07.935]  Then they decide that the alt-right is racist and bigoted.
[00:14:08.695 --> 00:14:19.143]  And then at the end, they're going to twist it all together and put a big bow on top of it like a gift and tell you that it's Breitbart that is putting the platform out there for these people to exist.
[00:14:19.203 --> 00:14:25.527]  It's Breitbart that is giving them oxygen as they sit there and talk about them for an entire segment.
[00:14:25.807 --> 00:14:30.170]  As they sit there and talk about the alt-right all day long demonizing it.
[00:14:30.731 --> 00:14:36.195]  But no, it's Breitbart's fault that the alt-right has a voice, even though that's all they can talk about now.
[00:14:36.957 --> 00:14:38.658]  Well of course we're all that they can talk about.
[00:14:39.138 --> 00:14:40.758]  Why would they want to talk about politics?
[00:14:41.019 --> 00:14:42.939]  Why would they want to talk about policy?
[00:14:43.219 --> 00:14:45.000]  They are losing on those fronts.
[00:14:45.240 --> 00:14:46.361]  So here's the deal folks.
[00:14:47.281 --> 00:14:48.521]  You want to know the funny thing about this?
[00:14:49.482 --> 00:14:57.665]  David Gergen and all the Trump protesters are in the same boat as Kim Jong Un.
[00:14:57.965 --> 00:15:02.587]  How do you like being in a basket with the leader of communist North Korea who has now
[00:15:03.681 --> 00:15:10.510]  wrote Donald Trump a nine-page letter demanding that hostile nuclear threats stop.
[00:15:11.110 --> 00:15:14.034]  Cheeky North Korea has sent a nine-page letter to the U.S.
[00:15:14.074 --> 00:15:19.120]  demanding it stops the hostile nuclear threats towards the rogue state and its despotic leader.
[00:15:20.101 --> 00:15:20.943]  So wait a second.
[00:15:22.037 --> 00:15:29.541]  Again, I point out that the Trump protesters and David Gergen and Don Lemon are now in a basket with Kim Jong-un.
[00:15:30.222 --> 00:15:44.270]  So if you want to sit here and lump me in with neo-Nazis without any proof, without any substance, just because perhaps you think we can both agree on the same president of the country, well you both protest the same president as Kim Jong-un.
[00:15:44.870 --> 00:15:49.131]  So I'll just go ahead and throw you in with the North Korean communists then.
[00:15:49.531 --> 00:15:50.111]  How about that?
[00:15:50.711 --> 00:15:52.692]  How about that, Don Lemon and David Gergen?
[00:15:52.712 --> 00:15:54.772]  You guys are on the same page as Kim Jong-un.
[00:15:55.272 --> 00:15:56.373]  How does that feel for you?
[00:15:56.913 --> 00:15:57.753]  That must be nice.
[00:15:58.413 --> 00:16:10.296]  Now, the funny thing about this is, as Kim Jong-un is telling America to stop threatening them with nuclear attacks, it is North Korea who threatens the United States!
[00:16:11.448 --> 00:16:12.489]  With nuclear attack.
[00:16:13.329 --> 00:16:15.171]  And I've got one story here from CNN.
[00:16:15.231 --> 00:16:19.234]  North Korea threatens nuclear strike amid new U.S.-South Korea drill.
[00:16:19.954 --> 00:16:21.195]  And this is just one story, folks.
[00:16:21.235 --> 00:16:27.660]  I've covered multiple stories a handful of times in the last couple of years.
[00:16:27.861 --> 00:16:32.344]  North Korea has threatened a nuclear strike against the U.S.
[00:16:32.624 --> 00:16:40.110]  But now, here they are telling Donald Trump to tone down his rhetoric as far as nuclear striking North Korea goes.
[00:16:40.410 --> 00:16:50.332]  But again, I just want to remind David Gergen and Don Lemon, since they love putting us all into baskets and doing identity politics, you're in the same basket as Kim Jong-un, if you want to play that game.
[00:16:51.053 --> 00:16:56.614]  New UN chief says politicians are failing losers of globalization.
[00:16:56.674 --> 00:17:04.456]  So basically the new UN chief, Antonio Guterres, comes in and says, look, the reason why the rise of nationalism is happening
[00:17:05.376 --> 00:17:11.820]  It's because the people, the citizens of these countries that are going under globalization are losing.
[00:17:11.900 --> 00:17:21.225]  They're losing money, they're losing their jobs, their economy is collapsing, and they don't like these refugee policies that's collapsing their culture.
[00:17:21.866 --> 00:17:33.633]  And so he comes out and he says this, but it's amazing, still CNN, still MSNBC, still everybody will come out and say that the rise of nationalism is due to racism.
[00:17:35.149 --> 00:17:35.869]  No, folks.
[00:17:36.090 --> 00:17:41.612]  The rise of nationalism is due to the losers of globalization.
[00:17:41.652 --> 00:17:47.415]  The fact that all of these countries going under the globalized government, the citizens are losing.
[00:17:47.435 --> 00:17:49.136]  The citizens are losing power.
[00:17:49.556 --> 00:17:50.897]  The government is getting bigger.
[00:17:50.917 --> 00:17:52.618]  The government is getting more empowered.
[00:17:53.118 --> 00:17:54.400]  And the citizens don't like it.
[00:17:54.460 --> 00:18:00.907]  They're the ones losing, and they're waking up to it, and that is what the rise of nationalism can be attributed to.
[00:18:01.448 --> 00:18:06.174]  Now Dems are wondering if identity politics did them in.
[00:18:06.594 --> 00:18:12.781]  Well, after losing this election to Donald Trump, who was, you know, supposed to be the worst man in the world, they should be questioning everything.
[00:18:13.661 --> 00:18:15.923]  But no, the truth is, you want to know what did them in, folks?
[00:18:16.764 --> 00:18:19.626]  It was nominating Hillary Clinton that did them in.
[00:18:19.686 --> 00:18:21.908]  It was the WikiLeaks that did them in.
[00:18:21.948 --> 00:18:27.914]  It was all the corruption and the baggage that Hillary Clinton brought with her to the White House, or would have, including Bill Clinton.
[00:18:28.996 --> 00:18:30.417]  It was Project Veritas.
[00:18:30.797 --> 00:18:32.098]  It was election theft.
[00:18:32.738 --> 00:18:33.659]  It was WikiLeaks.
[00:18:33.759 --> 00:18:35.260]  Again, it was Hillary Clinton again.
[00:18:35.320 --> 00:18:36.941]  Again, you nominated Hillary Clinton.
[00:18:37.261 --> 00:18:41.404]  It was Barack Obama going around hen-pecking, telling people who they need to vote for.
[00:18:41.804 --> 00:18:43.405]  That's what did the Democratic Party in.
[00:18:43.725 --> 00:18:46.887]  We'll be right back with more on the InfoWars Nightly News.
[00:19:41.420 --> 00:19:46.203]  Alex Jones here with a very important news update to anybody out there that wants to be prepared.
[00:19:46.884 --> 00:19:48.465]  But it goes beyond being prepared.
[00:19:48.845 --> 00:19:53.848]  Our bodies absolutely must have the good halogen iodine or we will die.
[00:19:54.208 --> 00:19:59.652]  And you look at all of the thyroid problems and all the people that don't have energy and that have all sorts of hormone problems.
[00:20:00.052 --> 00:20:06.636]  And from my research and a lot of just mainline research, it leads back to iodine over and over and over again.
[00:20:07.277 --> 00:20:08.438]  It's as important as vitamin C.
[00:20:09.278 --> 00:20:11.219]  If you don't get iodine, you die.
[00:20:11.559 --> 00:20:14.501]  But most people are just deficient, so they're low energy, they're sick.
[00:20:14.941 --> 00:20:18.563]  You've got to have iodine in your body so that your body can produce the hormones you need.
[00:20:18.743 --> 00:20:21.304]  It is the base to so many things.
[00:20:21.364 --> 00:20:33.711]  And since I got into iodine four years ago, we've helped change the entire paradigm by developing and bringing to the public deep earth crystals from 7,000 to 12,000 feet of the purest iodine available.
[00:20:33.931 --> 00:20:39.053]  Other iodine comes from the ocean or from other byproducts of chemical facilities and is tainted.
[00:20:39.153 --> 00:20:40.494]  It's bound.
[00:20:40.554 --> 00:20:41.774]  It's not absorbable.
[00:20:42.194 --> 00:20:46.756]  I tried it and I had incredible effects even with dirty iodine because the body needs it.
[00:20:46.976 --> 00:20:51.878]  When you don't have iodine, it absorbs the chlorine, the fluoride, and all these other bad halogens.
[00:20:52.238 --> 00:20:55.960]  It's such a game changer if you'll just research iodine for yourself.
[00:20:56.120 --> 00:20:58.681]  It's a fact that the federal government in the Midwest back in the 20s
[00:20:59.241 --> 00:21:08.206]  Mandated a grungier form of iodine to the salt because people had low IQs, they had huge goiters, major problems directly connected to it.
[00:21:08.386 --> 00:21:12.048]  There are some studies that show a 15 point increase, others show even higher.
[00:21:12.208 --> 00:21:25.656]  But it really is crazy to realize that this is something that is so deficient in our food chain, so deficient in our played out fields where different crops are being grown, but the federal government isn't educating people and telling them about it.
[00:21:25.856 --> 00:21:37.399]  That's why for a limited time, I want to encourage everyone to go to Infowarslife.com and get 20% off on the best nascent iodine out there from our research, Truly Pure Survival Shield X2.
[00:21:37.640 --> 00:21:40.260]  Again, that's Survival Shield Nascent Iodine X2.
[00:21:40.500 --> 00:21:43.461]  Thank you for joining us in this brief news update.
[00:21:43.841 --> 00:21:48.743]  Do yourself and your family a favor and check out the importance of iodine for yourself.
[00:21:48.823 --> 00:21:49.983]  I think you're going to be blown away.
[00:21:50.143 --> 00:21:52.724]  And whatever you do, support the broadcast and get a bottle.
[00:21:52.884 --> 00:21:53.104]  Of course!
[00:22:15.742 --> 00:22:18.343]  You've got to have vitamin C. You've got to have iodine to live.
[00:22:18.363 --> 00:22:19.404]  You've got to have water to live.
[00:22:19.744 --> 00:22:20.444]  Iodine is key.
[00:22:20.484 --> 00:22:21.104]  You must have it.
[00:22:21.465 --> 00:22:29.008]  But consult your physician first before you get powerful survival shield niacin iodine, X2, at Infowarslife.com or call toll free.
[00:22:29.028 --> 00:22:29.889]  We can answer your questions.
[00:22:29.909 --> 00:22:30.249]  888-253-3139.
[00:22:30.269 --> 00:22:32.630]  There is an information warfare happening right now.
[00:22:43.925 --> 00:22:45.387]  It's a fight for our minds.
[00:22:46.048 --> 00:22:47.971]  And InfoWars.com is on the front lines.
[00:22:48.311 --> 00:22:52.517]  Download our free multimedia app at InfoWars.com forward slash app.
[00:22:52.657 --> 00:22:56.002]  It's free, it's on Droid, it's on Apple, you name it.
[00:22:56.082 --> 00:22:57.644]  InfoWars.com forward slash app.
[00:23:06.852 --> 00:23:09.995]  There's been a tragic school bus crash in Chattanooga, Tennessee.
[00:23:10.595 --> 00:23:13.038]  We have six students still in intensive care.
[00:23:13.078 --> 00:23:17.442]  We have another five who have died, and there's several more that are hospitalized.
[00:23:17.482 --> 00:23:18.483]  Many others have been treated.
[00:23:18.523 --> 00:23:23.487]  Now the question at this moment is whether or not this was deliberate by this individual.
[00:23:23.507 --> 00:23:25.990]  We're going to talk about that, but I also want to look at
[00:23:26.650 --> 00:23:29.511]  The parallels to this and a school shooting.
[00:23:29.851 --> 00:23:34.071]  Because there's indications that this was done deliberately by this individual.
[00:23:34.691 --> 00:23:38.912]  And I don't mean to be disrespectful and I don't want to minimize this tragedy here.
[00:23:39.752 --> 00:23:40.972]  We're not mocking anybody.
[00:23:41.012 --> 00:23:47.073]  We're simply pointing out the different ways that people react to what may be a mass killing.
[00:23:47.113 --> 00:23:50.634]  This time by a school bus instead of by a gun.
[00:23:51.314 --> 00:23:55.735]  And I also want to take a look at other tragedies that have been exacerbated by the government.
[00:23:56.255 --> 00:24:01.218]  Situations where people have been charged with child endangerment, had CPS come after them, removed their children.
[00:24:01.559 --> 00:24:07.863]  Cases where people have been put in jail, charged with homicide, because they didn't properly constrain their children.
[00:24:07.923 --> 00:24:11.425]  And yet, there are not even any seatbelts in
[00:24:12.085 --> 00:24:16.347]  Let's take a look quickly at the facts in this case as we know them now.
[00:24:16.447 --> 00:24:17.807]  It's still very early.
[00:24:18.588 --> 00:24:30.532]  We're told that there are 12 students that have been hospitalized, 6 in critical condition, 5 have died, another 6 are in stable condition still in the hospital, 9 children have been treated and released from the hospital.
[00:24:31.192 --> 00:24:33.615]  Three of the students killed were in fourth grade.
[00:24:34.175 --> 00:24:35.276]  One was in first grade.
[00:24:35.737 --> 00:24:37.058]  Another was in kindergarten.
[00:24:37.078 --> 00:24:40.441]  Now the man who was the bus driver, his name is Johnthony Walker.
[00:24:40.802 --> 00:24:41.322]  He's 24.
