[00:00:00.069 --> 00:00:00.870]  This is our land.
[00:06:57.165 --> 00:07:01.329]  And man, let's dispel this fiction that Barack Obama does not know what he's doing.
[00:07:01.649 --> 00:07:03.010]  He knows exactly what he was doing.
[00:07:03.090 --> 00:07:04.512]  Is that Marco Rubio over there?
[00:07:04.932 --> 00:07:08.595]  If you watched the debates, if you did not, doesn't matter, we've got the best highlights for you.
[00:07:09.016 --> 00:07:10.637]  And some of them just blow my mind.
[00:07:10.857 --> 00:07:13.620]  And we're going to play several up here in a second for you.
[00:07:14.060 --> 00:07:18.724]  But if you watched, Marco Rubio, I think, really is a robot with human skin.
[00:07:19.525 --> 00:07:21.527]  That has some type of a teleprompter in his head.
[00:07:21.587 --> 00:07:23.669]  He just memorizes things and just spits them out.
[00:07:23.909 --> 00:07:25.491]  And when confronted, he does the same thing.
[00:07:25.511 --> 00:07:29.795]  We've also got a ton of news about Trump's lead in New Hampshire, what's going on there.
[00:07:30.215 --> 00:07:35.039]  Some special figure recently just said that there's a special place in hell for women who don't support Hillary.
[00:07:35.840 --> 00:07:38.081]  And Biden being begged to join the race.
[00:07:38.121 --> 00:07:39.441]  We've got a lot, a lot of news.
[00:07:40.141 --> 00:07:43.382]  But first, we're going to go ahead and bring you up to speed with some of these clips.
[00:07:43.502 --> 00:07:46.863]  And some of these are just tremendously mind-blowing to me.
[00:07:47.404 --> 00:07:52.765]  We've also got Alex calling in later in the show to give his take on the debates and what's going on with the election.
[00:07:53.225 --> 00:07:55.706]  And InfoWars reporter Richard Reeves is on the ground.
[00:07:55.726 --> 00:07:57.587]  We're going to go to him at the bottom of the hour.
[00:07:57.987 --> 00:07:59.887]  And he's actually on the ground with a report.
[00:07:59.947 --> 00:08:04.909]  He says that Trump, there was some dirty tricks against Trump that he's going to break on the show today.
[00:08:05.549 --> 00:08:18.680]  Now first, to start it off, bring you guys up to speed or give you a flashback, you know, Rubio was accused of repeating the same line over and over again by Chris Christie, which is, I think, one of the most amazing things Chris Christie's ever done in the debates.
[00:08:19.161 --> 00:08:26.247]  And it was majestically pointed out when Rubio responded with pretty much the same thing after the accusation.
[00:08:26.267 --> 00:08:29.990]  Let's go to this clip where Rubio repeats the same rehearsed line five times.
[00:08:30.350 --> 00:08:32.971]  Let's dispel with this fiction that Barack Obama doesn't know what he's doing.
[00:08:33.031 --> 00:08:34.411]  He knows exactly what he's doing.
[00:08:34.431 --> 00:08:37.973]  This notion that Barack Obama doesn't know what he's doing is just not true.
[00:08:38.053 --> 00:08:41.194]  Let's dispel with this fiction that Barack Obama doesn't know what he's doing.
[00:08:41.514 --> 00:08:43.015]  He knows exactly what he's doing.
[00:08:43.475 --> 00:08:45.175]  He is trying to change this country.
[00:08:45.455 --> 00:08:47.776]  He wants America to become more like the rest of the world.
[00:08:47.936 --> 00:08:52.418]  Anyone who believes that Barack Obama isn't doing what he's doing on purpose doesn't understand what we're dealing with here.
[00:08:53.647 --> 00:08:54.348]  Wow, there it is.
[00:08:54.749 --> 00:08:59.735]  And I watched this live myself, and I was thinking throughout, I was like, wow, he's repeating the same thing over and over again.
[00:08:59.755 --> 00:09:03.740]  And then Chris Christie says, hey, all you do is run scripted lines.
[00:09:03.820 --> 00:09:07.464]  And he goes, well, no, no, let's talk about what Barack Obama is doing here.
[00:09:07.765 --> 00:09:09.427]  It was over the top.
[00:09:09.507 --> 00:09:10.588]  It was truly over the top.
[00:09:11.349 --> 00:09:16.475]  And this links in with a report that Alex actually just shared with me earlier.
[00:09:16.495 --> 00:09:28.208]  He said, look, this is on InfoWars.com, this is really important, where InfoWars asks Rubio about the TPP, which of course the Trans-Pacific Trade Partnership, which in many ways destroys a lot of trade.
[00:09:28.588 --> 00:09:31.551]  He was asked about the TPP and he has a very interesting response.
[00:09:32.452 --> 00:09:44.601]  And also, before that, they show in the video what he said at the Council on Foreign Relations about a year before, where he's like, we need to get TPP into the hands so we can get it voted on and get it moving.
[00:09:44.661 --> 00:09:45.822]  He was all about getting it moving.
[00:09:45.882 --> 00:09:46.783]  So he's all about it.
[00:09:46.803 --> 00:09:47.504]  Big supporter of it.
[00:09:47.544 --> 00:09:57.211]  But now on the campaign trail, now that he knows that people actually understand they're not just robots, people aren't just regurgitating what he's saying, they're actually looking and going, wait a minute, why has this thing been in secret?
[00:09:57.271 --> 00:09:58.232]  Why is it still in secret?
[00:09:58.972 --> 00:10:01.053]  And he wants to go, well, we're going to wait until May.
[00:10:01.174 --> 00:10:04.516]  But anyway, you can see it from him, from the robot himself.
[00:10:04.596 --> 00:10:08.238]  Well, let's go to this video where Marco Rubio responds to questions on the TPP.
[00:10:09.519 --> 00:10:19.205]  It is more important than ever that Congress give the president trade promotion authority so that he can finalize the Trans-Pacific Partnership and the Transatlantic Trade and Investment Partnership.
[00:10:20.610 --> 00:10:26.472]  Senator Rubio, last year you spoke at a Council on Foreign Relations meeting, and you were a big proponent of the TPP.
[00:10:26.913 --> 00:10:30.494]  And I was just wondering, the TPP diminishes our U.S.
[00:10:30.514 --> 00:10:33.995]  sovereignty and also potentially destroys our borders.
[00:10:34.035 --> 00:10:35.316]  Well, I'm a supporter of free trade.
[00:10:35.976 --> 00:10:37.477]  I have to see if this deal is a good deal.
[00:10:37.577 --> 00:10:39.718]  It's being reviewed now by the International Trade Commission.
[00:10:40.018 --> 00:10:41.278]  So if it's a good deal, I'll support it.
[00:10:41.298 --> 00:10:42.839]  If it's not, it has to be renegotiated.
[00:10:42.859 --> 00:10:44.259]  Well, at what point does it get seen?
[00:10:44.299 --> 00:10:45.540]  Because it's been kept secret.
[00:10:45.720 --> 00:10:46.321]  No, it's out there.
[00:10:46.341 --> 00:10:48.202]  The International Trade Commission is reviewing it.
[00:10:48.222 --> 00:10:49.443]  They'll issue their report in May.
[00:10:49.503 --> 00:10:52.426]  So until then, I'm not even going to take a position on it.
[00:10:52.506 --> 00:10:53.346]  It's 5,000 pages.
[00:10:53.386 --> 00:10:54.928]  So it's very dense.
[00:10:55.808 --> 00:10:56.729]  Right, it's 5,000 pages.
[00:10:56.749 --> 00:10:58.451]  So have you been able to read all 5,000 pages?
[00:10:58.491 --> 00:11:07.158]  No, and I'm not going to even try until the IT... Because if the International Trade Commission comes back and finds that it's not good for America, I'll have to go back and renegotiate.
[00:11:07.378 --> 00:11:11.141]  We've got a bunch of people waiting, so if you don't mind.
[00:11:11.842 --> 00:11:15.585]  What about his past support of the TPP, which could endanger U.S.
[00:11:15.625 --> 00:11:18.046]  sovereignty and open up the floodgates of immigration?
[00:11:18.086 --> 00:11:18.747]  What about that?
[00:11:18.867 --> 00:11:20.548]  Well, I don't think he's voted on TPP.
[00:11:20.628 --> 00:11:26.213]  He voted on TPA, which allows us to consider TPP, but we haven't voted on TPP yet.
[00:11:26.253 --> 00:11:29.916]  He also spoke at the Council on Foreign Relations and was a big proponent of it there.
[00:11:31.107 --> 00:11:35.854]  Well, I can't speak to that because I wasn't there.
[00:11:35.954 --> 00:11:38.518]  If you can find a candidate that's perfect, let me know.
[00:11:38.538 --> 00:11:41.642]  Because there's only been one, and he ain't running.
[00:11:41.722 --> 00:11:42.023]  Thank you.
[00:11:42.123 --> 00:11:42.483]  Yes, sir.
[00:11:43.746 --> 00:11:44.486]  Well, there you go.
[00:11:44.846 --> 00:11:46.967]  That's Richard Reeves asking about the TPP.
[00:11:47.587 --> 00:11:48.547]  Who's the perfect candidate?
[00:11:48.727 --> 00:11:51.768]  I was going to wonder who the perfect candidate is also.
[00:11:51.868 --> 00:11:53.168]  I mean, and he's not running?
[00:11:53.548 --> 00:11:53.829]  I don't know.
[00:11:53.869 --> 00:11:56.209]  Maybe he meant Obama.
[00:11:56.229 --> 00:11:56.909]  I'm not really sure.
[00:11:57.369 --> 00:12:02.071]  Anyway, these are some highlights from the debate last night and also some InfoWars exclusives.
[00:12:02.511 --> 00:12:03.471]  Another one we're going to play.
[00:12:04.131 --> 00:12:11.874]  Is you're all probably familiar with how Ted Cruz tweeted out and called voters in Iowa and said, well, Ben Carson is dropping out.
[00:12:11.954 --> 00:12:12.854]  So vote for me.
[00:12:13.394 --> 00:12:14.615]  He's out of the race, guys.
[00:12:15.435 --> 00:12:22.597]  And some background on that is CNN apparently reported that Carson had considered dropping out of the race or was taking a retirement or something.
[00:12:22.958 --> 00:12:27.559]  But a minute later, according to Carson and CNN, said, oh, that's actually not true.
[00:12:27.839 --> 00:12:29.520]  But Cruz's campaign ran with it.
[00:12:30.220 --> 00:12:35.403]  And it wasn't until about hours and hours later when it was too late, they said, oh, actually he's still in the race.
[00:12:35.823 --> 00:12:40.906]  So here's his very insincere apology to Carson, and here's what Carson says.
[00:12:41.306 --> 00:12:45.508]  Ben is a good and honorable man, and Ben and Candy have become friends.
[00:12:46.389 --> 00:12:49.891]  He has an amazing life story that has inspired millions, including me.
[00:12:50.811 --> 00:12:54.073]  When this transpired, I apologized to him then, and I do so now.
[00:12:54.814 --> 00:12:55.414]  Ben, I'm sorry.
[00:12:56.832 --> 00:12:59.894]  Let me tell you the facts of what occurred, for those who are interested in knowing.
[00:13:00.934 --> 00:13:09.559]  On Monday night, about 6.30 p.m., CNN reported that Ben was not going from Iowa to New Hampshire or South Carolina.
[00:13:09.619 --> 00:13:12.861]  Rather, he was, quote, taking a break from campaigning.
[00:13:14.041 --> 00:13:15.722]  They reported that on television.
[00:13:15.882 --> 00:13:24.407]  CNN's political anchors, Jake Tapper and Dana Bash and Wolf Blitzer, said it was highly unusual and highly significant.
[00:13:25.945 --> 00:13:32.069]  My political team saw CNN's report, Breaking News, and they forwarded that news to our volunteers.
[00:13:32.129 --> 00:13:33.970]  It was being covered on live television.
[00:13:34.751 --> 00:13:36.372]  Now, at the time, I was at the caucuses.
[00:13:36.432 --> 00:13:40.274]  I was getting ready to speak at the caucuses, just like Ben was, just like everyone else was.
[00:13:40.774 --> 00:13:41.755]  I knew nothing about this.
[00:13:42.395 --> 00:13:44.276]  A couple hours later, I found out about it.
[00:13:44.316 --> 00:13:46.058]  I was told that Ben was unhappy.
[00:13:46.738 --> 00:13:49.640]  I called him that evening because I respect him very, very highly.
[00:13:49.680 --> 00:13:50.700]  I didn't reach him that evening.
[00:13:51.281 --> 00:13:53.062]  I reached him the next day and apologized.
[00:13:53.883 --> 00:13:56.887]  He asked me then, he said, Ted, would you make this apology in public?
[00:13:57.488 --> 00:13:58.429]  I said, yes, I will.
[00:13:59.210 --> 00:13:59.851]  And I did so.
[00:14:01.052 --> 00:14:04.297]  I regret that subsequently, CNN reported on that.
[00:14:04.317 --> 00:14:06.900]  They didn't correct that story until 9.15 that night.
[00:14:07.180 --> 00:14:10.465]  So from 6.30pm to 9.15, that's what CNN was reporting.
[00:14:12.094 --> 00:14:18.496]  Subsequent to that initial report, Ben's campaign put out a statement saying that he was not suspending his campaign.
[00:14:18.716 --> 00:14:23.157]  I wish that our campaign staff had forwarded that statement.
[00:14:23.197 --> 00:14:24.198]  They were unaware of it.
[00:14:24.578 --> 00:14:25.438]  I wish that they had.
[00:14:25.478 --> 00:14:26.778]  That's why I apologized.
[00:14:27.539 --> 00:14:28.519]  Senator Cruz, thank you.
[00:14:29.059 --> 00:14:30.039]  We're going to move on here.
[00:14:30.079 --> 00:14:30.839]  Back to the issues.
[00:14:30.940 --> 00:14:32.860]  Since I was mentioned... Dr. Parson, please.
[00:14:32.900 --> 00:14:33.400]  This is great.
[00:14:33.440 --> 00:14:35.941]  You guys, I want you to all mention me when you say something.
[00:14:41.311 --> 00:14:52.161]  In fact, the timeline indicates that that initial tweet from CNN was followed by another one within one minute.
[00:14:52.825 --> 00:14:54.786]  Yeah, you can make your own judgment.
[00:14:54.907 --> 00:15:01.911]  And as he goes on to say, I believe it was he said it was an example of Washington politics.
[00:15:02.192 --> 00:15:05.594]  Rob, you know, we were talking a little bit during the video.
[00:15:05.654 --> 00:15:06.615]  It's so wild to me.
[00:15:17.282 --> 00:15:22.186]  That people like Ted Cruz, they just seem like they're so fake.
[00:15:22.487 --> 00:15:24.108]  And don't people want real?
[00:15:24.428 --> 00:15:25.489]  People want reality.
[00:15:25.509 --> 00:15:32.415]  They want people that seem at least somewhat personable, you know, just somewhat normal, speak like a regular human being.
[00:15:32.976 --> 00:15:42.183]  Which is why I think you see people like Donald Trump and Bernie Sanders, who even though Sanders is a raving socialist and I would never vote for him, he's a lot more real than Hillary Clinton out of those two choices.
[00:15:43.084 --> 00:15:46.506]  He's more real, even though he's gonna tax the daylights out of you.
[00:15:46.566 --> 00:15:47.166]  And Trump's real.
[00:15:47.186 --> 00:15:48.627]  Ted Cruz, I'm sorry I just stabbed you in the back.
[00:15:48.647 --> 00:15:50.308]  I'm gonna pull this bloody knife out and stab it in again one more time.
[00:15:50.328 --> 00:15:50.628]  I'm sorry.
[00:15:50.668 --> 00:15:50.868]  I'm sorry.
[00:15:50.888 --> 00:15:51.108]  I'm sorry.
[00:15:51.128 --> 00:15:51.309]  I'm sorry.
[00:15:51.329 --> 00:15:51.669]  I'm sorry.
[00:15:52.069 --> 00:15:52.269]  I'm sorry.
[00:15:52.289 --> 00:15:52.489]  I'm sorry.
[00:15:52.509 --> 00:15:52.689]  I'm sorry.
[00:15:52.709 --> 00:15:52.969]  I'm sorry.
[00:15:52.989 --> 00:15:53.210]  I'm sorry.
[00:15:53.230 --> 00:15:53.450]  I'm sorry.
[00:15:53.490 --> 00:15:53.710]  I'm sorry.
[00:15:53.730 --> 00:15:53.930]  I'm sorry.
[00:15:53.950 --> 00:15:54.130]  I'm sorry.
[00:15:54.150 --> 00:15:54.330]  I'm sorry.
[00:15:54.350 --> 00:15:54.530]  I'm sorry.
[00:15:54.550 --> 00:15:54.770]  I'm sorry.
[00:15:54.830 --> 00:15:55.091]  I'm sorry.
[00:15:55.111 --> 00:15:55.331]  I'm sorry.
[00:15:55.351 --> 00:15:55.671]  I'm sorry.
[00:15:55.691 --> 00:15:56.071]  I'm sorry.
[00:15:56.091 --> 00:15:56.271]  I'm sorry.
[00:15:56.291 --> 00:15:56.471]  I'm sorry.
[00:15:56.491 --> 00:15:56.712]  I'm sorry.
[00:15:56.732 --> 00:15:57.112]  I'm sorry.
[00:15:57.132 --> 00:15:57.312]  I'm sorry.
[00:15:57.332 --> 00:15:57.532]  I'm sorry.
[00:15:57.552 --> 00:15:57.732]  I'm sorry.
[00:15:57.752 --> 00:15:57.992]  I'm sorry.
[00:15:58.032 --> 00:15:58.232]  I'm sorry.
[00:15:58.252 --> 00:15:58.513]  I'm sorry.
[00:15:58.533 --> 00:15:58.733]  I'm sorry.
[00:15:58.753 --> 00:15:58.953]  I'm sorry.
[00:15:58.973 --> 00:15:59.213]  I'm sorry.
[00:15:59.273 --> 00:15:59.473]  I'm sorry.
[00:15:59.513 --> 00:15:59.713]  I'm sorry.
[00:15:59.733 --> 00:15:59.953]  I'm sorry.
[00:15:59.973 --> 00:16:00.173]  I'm sorry.
[00:16:00.193 --> 00:16:00.394]  I'm sorry.
[00:16:00.414 --> 00:16:00.634]  I'm sorry.
[00:16:00.654 --> 00:16:00.834]  I'm sorry.
[00:16:00.854 --> 00:16:01.054]  I'm sorry.
[00:16:01.074 --> 00:16:01.134]  I'm
[00:16:08.479 --> 00:16:11.461]  A clean, toxic-free body is the foundation of true health.
[00:16:11.682 --> 00:16:13.843]  Deep Cleanse by InfoWarsLife.com.
[00:16:14.043 --> 00:16:20.749]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:16:21.049 --> 00:16:26.213]  Using our proprietary multi-step extraction technology, Deep Cleanse is our most affordable all-in-one cleanser.
[00:16:26.373 --> 00:16:35.360]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[00:16:35.780 --> 00:16:44.388]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:16:44.668 --> 00:16:51.594]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigerex herbal processing technique.
[00:16:51.754 --> 00:16:57.119]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[00:16:57.399 --> 00:17:02.903]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:17:03.024 --> 00:17:06.126]  That's InfoWarsLife.com or call 888-253-3139.
[00:17:08.468 --> 00:17:22.619]  My fellow InfoWarriors, I am very excited to be able to announce to you the introduction at InfoWarsLife.com of a new way to save time and money when you stock up on InfoWarsLife formulations like Survival Shield X2 and Super Metal Vitality.
[00:17:22.819 --> 00:17:32.326]  Just go to Infowarslife.com today, select your favorite product, click on AutoShip before adding to cart, and choose how often you want us to send you another one.
[00:17:32.626 --> 00:17:41.413]  Every time you choose AutoShip at Infowarslife.com, you get 10% off, and you won't have to worry about running out and having to reorder next time.
[00:17:41.653 --> 00:17:44.075]  And of course, you can cancel with one click anytime.
[00:17:44.475 --> 00:17:52.301]  As you know, I'm all about the idea of a 360 win, and the new AutoShip feature at Infowarslife.com is a sure win for everybody.
[00:17:52.541 --> 00:17:56.226]  A win for liberty, a win for health, and a win when it comes to big savings.
[00:17:56.547 --> 00:18:02.695]  Visit InfoWarsLife.com today and save 10% on your next InfoWarsLife order by selecting AutoShip at checkout.
[00:18:02.815 --> 00:18:04.818]  That's InfoWarsLife.com or call 888-253-3139.
[00:18:09.229 --> 00:18:09.669]  Hey, everyone!
[00:18:10.049 --> 00:18:12.290]  Pharmacist Ben Fuchs here, host of The Bright Side.
[00:18:12.330 --> 00:18:15.911]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[00:18:16.171 --> 00:18:17.772]  You've all heard the shocking statistics.
[00:18:18.252 --> 00:18:28.156]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[00:18:28.536 --> 00:18:34.498]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[00:18:34.978 --> 00:18:49.835]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino
[00:18:49.855 --> 00:18:50.335]  I think so.
[00:19:08.905 --> 00:19:13.208]  Tell folks how you got introduced to super male, and then when super female came out, tell us what happened.
[00:19:13.568 --> 00:19:18.171]  After I saw such a huge positive change in my husband, I had to try it for myself.
[00:19:18.331 --> 00:19:19.352]  Talk about the effects.
[00:19:19.652 --> 00:19:21.133]  I feel great when I wake up in the morning.
[00:19:21.153 --> 00:19:22.774]  I have drive to go to the gym.
[00:19:23.095 --> 00:19:24.155]  I feel like I look better.
[00:19:24.215 --> 00:19:24.856]  I feel better.
[00:19:24.916 --> 00:19:25.996]  I feel sexier.
[00:19:26.317 --> 00:19:26.697]  I love it.
[00:19:26.937 --> 00:19:29.840]  Even if you don't believe in supplements, take the challenge.
[00:19:29.900 --> 00:19:32.643]  Get a bottle of Super Male, a bottle of Super Female.
[00:19:32.844 --> 00:19:33.885]  Check it out for yourself.
[00:19:33.945 --> 00:19:34.966]  Consult your physician.
[00:19:35.126 --> 00:19:37.329]  Visit InfoWarsLife.com today.
[00:19:37.489 --> 00:19:38.430]  This is life-changing.
[00:19:38.830 --> 00:19:39.591]  Shower filters.
[00:19:39.711 --> 00:19:41.373]  We're introducing the best yet.
[00:19:41.453 --> 00:19:43.676]  The brand new ProPure ProMax.
[00:19:43.996 --> 00:19:44.336]  I think so.
[00:20:12.964 --> 00:20:28.715]  You're listening to The Alex Jones Show.
[00:20:30.215 --> 00:20:35.379]  He aligns himself with the truth, and it's time for you to choose a side.
[00:20:35.899 --> 00:20:38.181]  You're listening to Alex Jones.
[00:20:39.991 --> 00:20:42.812]  That's right, it's the Alex Jones Show.
