[00:00:00.089 --> 00:00:01.450]  We fight the Globals!
[00:03:37.391 --> 00:03:42.534]  Pathenogens added to the food and water, into the lining of plastics that destroy our vitality.
[00:03:42.574 --> 00:03:42.854]  I'm good.
[00:04:11.331 --> 00:04:13.754]  They said in October I'd be dead in six months.
[00:04:15.716 --> 00:04:20.060]  It's also what happens when you listen to the radio host Alex Jones.
[00:04:20.801 --> 00:04:30.151]  I don't know what happens in somebody's mind or how dark their heart must be to say things like that.
[00:04:30.311 --> 00:04:32.474]  We came, we saw, he died.
[00:04:34.625 --> 00:04:39.466]  The intervention led by NATO to topple Gaddafi has led to a failed state.
[00:04:44.227 --> 00:04:51.249]  Maybe Libya was not perfect under Gaddafi, but it had, even if to some extent, a functioning government, one unified country.
[00:04:51.669 --> 00:04:52.849]  It was a sovereign state.
[00:04:54.349 --> 00:05:01.091]  Libya now has two rival governments, a civil war that has left over 4,000 people dead, and its cities are in ruin.
[00:05:01.271 --> 00:05:01.791]  I don't know.
[00:05:02.811 --> 00:05:07.852]  What happens in somebody's mind or how dark their heart must be?
[00:05:08.172 --> 00:05:12.634]  Women are treated discriminated against in all these countries she took money against.
[00:05:12.974 --> 00:05:16.455]  Gays and lesbians are either executed or punished severely.
[00:05:16.535 --> 00:05:17.415]  They're mistreated.
[00:05:18.095 --> 00:05:19.455]  She claims to be their champion.
[00:05:19.756 --> 00:05:20.676]  We led ISIS!
[00:05:21.676 --> 00:05:22.677]  Take this position.
[00:05:23.337 --> 00:05:29.182]  It was Hillary Clinton that she should get an award from them as the founder of ISIS.
[00:05:29.482 --> 00:05:40.971]  We had this brilliant idea that we were going to come to Pakistan and create a force of Mujahideen, equip them with stinger missiles and everything else to go after the Soviets inside Afghanistan.
[00:05:41.651 --> 00:05:42.812]  And we were successful.
[00:05:42.872 --> 00:05:45.054]  And this really just is so disgusting.
[00:05:45.174 --> 00:05:51.658]  When Vince Foster left his White House office on that July day in 1993, he told his secretary that he would be back.
[00:05:52.399 --> 00:05:56.421]  But the Deputy White House Counsel and boyhood friend of Bill Clinton never returned.
[00:05:56.761 --> 00:06:00.023]  There has been this urgency to end this.
[00:06:00.504 --> 00:06:04.086]  And, you know, historically that makes no sense.
[00:06:04.286 --> 00:06:09.029]  We all remember Bobby Kennedy was assassinated in June in California.
[00:06:09.229 --> 00:06:18.691]  Google is being accused of hiding negative stories about Hillary and her campaign by changing its algorithm to bury stories like the Clinton body count story.
[00:06:18.731 --> 00:06:20.492]  That's according to website InfoWars.
[00:06:20.892 --> 00:06:32.315]  If a Google user types in Clinton body, they get car repair shop results instead of a story that talks about a list of people tied to the Clintons who have died under mysterious circumstances over the last three decades.
[00:06:32.595 --> 00:06:37.302]  Whistleblowers go to significant efforts to get us material and often very significant risks.
[00:06:37.482 --> 00:06:40.767]  We have upcoming leaks in relation to Hillary Clinton.
[00:06:41.027 --> 00:06:48.478]  You know, the emails we published show that Hillary Clinton is receiving constant updates about my personal situation.
[00:06:48.598 --> 00:06:54.000]  The latest story was the death of DNC staffer Seth Rich, who was murdered last month in an apparent robbery.
[00:06:54.420 --> 00:07:01.202]  WikiLeaks founder Julian Assange has hinted that Rich was his source, but has made no further comments about the case.
[00:07:01.542 --> 00:07:03.683]  That murder, we should say, remains unsolved.
[00:07:03.883 --> 00:07:14.106]  There's a 27-year-old that works for the DNC who was shot in the back, murdered just two weeks ago for unknown reasons as he was walking down the street in Washington.
[00:07:14.346 --> 00:07:18.689]  It's also what happens when you listen to the radio host Alex Jones.
[00:07:19.409 --> 00:07:25.914]  I don't know what happens in somebody's mind or how dark their heart must be.
[00:07:36.072 --> 00:07:45.681]  Now we are introducing a new t-shirt, which I think folks need to get, telling the real truth about Bill Clinton, who is a serial rapist and an abuser of women.
[00:07:45.801 --> 00:07:49.584]  In another case, it's about groping and fondling and touching against a woman's will.
[00:07:49.744 --> 00:07:50.085]  And rape.
[00:07:50.285 --> 00:07:50.665]  And rape.
[00:07:50.745 --> 00:07:54.909]  Bill rapes them physically, and then Hillary rapes them psychologically.
[00:07:54.969 --> 00:07:55.610]  He's a rapist.
[00:07:56.150 --> 00:07:56.551]  Absolutely.
[00:07:56.571 --> 00:07:57.892]  He's a public figure, he goes straight to hell.
[00:07:58.032 --> 00:08:03.793]  Get your Bill Clinton rape shirt today at Infowarsstore.com or call 1-800-253-3139.
[00:08:03.813 --> 00:08:24.217]  Anthony Gucciardi joins us to talk about Bio PCA, the latest formula to be announced and released by Infowarslife.com.
[00:08:24.277 --> 00:08:27.378]  They're true game changers, they're organic, they're proven as safe.
[00:08:28.168 --> 00:08:30.050]  And they're also very affordable.
[00:08:52.170 --> 00:08:58.914]  Went on what Mother Nature gave us, and it's changed my life, and it's also helped the Infowar change the country and the world.
[00:08:59.314 --> 00:09:00.074]  It's a win-win.
[00:09:00.554 --> 00:09:01.335]  Infowarslife.com.
[00:09:06.912 --> 00:09:09.594]  Look, I'm not gonna sit here and say, see, I told you so.
[00:09:09.814 --> 00:09:12.876]  That communist Chinese style net censorship was coming to the web.
[00:09:13.216 --> 00:09:13.936]  Because it's already here.
[00:09:14.337 --> 00:09:14.977]  It's being announced.
[00:09:15.337 --> 00:09:18.819]  The way you keep the internet open and free is you get involved more than ever.
[00:09:19.220 --> 00:09:21.161]  Go to InfoWars.com forward slash app.
[00:09:21.261 --> 00:09:22.822]  A new battleship in the fight.
[00:09:23.022 --> 00:09:24.023]  InfoWars Live.
[00:09:24.203 --> 00:09:25.023]  Available right now.
[00:09:25.303 --> 00:09:26.644]  We're looking for a crew to manor.
[00:09:27.085 --> 00:09:29.486]  You gonna sit down and play games and be a trendy?
[00:09:30.066 --> 00:09:31.107]  Or you gonna be part of history?
[00:09:31.667 --> 00:09:34.649]  Don't sit by and let the internet and free speech be stolen from you.
[00:09:35.150 --> 00:09:35.730]  Take action!
[00:09:49.309 --> 00:10:02.517]  A stony silence turned to sheer horror early Wednesday for Hillary Clinton supporters and what was meant to be her presidential victory party as it became painfully clear that she would not close the gap with Donald Trump.
[00:10:03.798 --> 00:10:08.121]  One by one, states turned Republican red on the interactive map of the country.
[00:10:09.042 --> 00:10:14.365]  One by one, dejected Clinton fans left in tears without even seeing their beloved candidate.
[00:10:16.317 --> 00:10:32.222]  It's a nightmare, said Jeanette Barberash, a 50-something Clinton backer, leaving the cavernous Javits Center on the west side of Midtown Manhattan, which had been decked out with American flags for Clinton's expected win.
[00:10:34.563 --> 00:10:35.063]  Not great.
[00:10:35.103 --> 00:10:36.043]  We're totally distraught.
[00:10:36.083 --> 00:10:37.824]  We never thought this could happen.
[00:10:39.204 --> 00:10:44.046]  Brian Smith, a 40-year-old consultant from New York City, could simply not process what had happened.
[00:10:45.888 --> 00:10:49.851]  It had been too overwhelming to see things shift in a day, in an hour, in a minute, he lamented.
[00:10:51.472 --> 00:10:54.535]  Indeed, no one was expecting such a violent slap in the face.
[00:10:55.775 --> 00:11:05.363]  Some were saying it would be close, but no one imagined the night would turn into a political funeral for the 69-year-old former First Lady, Senator, Secretary of State.
[00:11:07.985 --> 00:11:08.965]  And there you have it, folks.
[00:11:09.025 --> 00:11:11.087]  We are now creating history.
[00:11:11.107 --> 00:11:13.109]  I'm Rob Due.
[00:11:14.309 --> 00:11:17.231]  I've been here all night and took a couple hours sleep.
[00:11:17.251 --> 00:11:25.337]  I'm going to be your host for the next couple hours of this 52-hour broadcast, which will end at 3 p.m.
[00:11:25.417 --> 00:11:25.737]  today.
[00:11:25.757 --> 00:11:34.022]  And we have to congratulate ourselves, pat ourselves on the back.
[00:11:38.265 --> 00:11:41.748]  New York Times is still not calling
[00:11:43.257 --> 00:11:43.938]  Four states.
[00:11:45.319 --> 00:11:45.880]  Minnesota.
[00:11:47.461 --> 00:11:47.862]  Michigan.
[00:11:49.403 --> 00:11:50.064]  New Hampshire.
[00:11:50.084 --> 00:11:53.467]  And Arizona, surprisingly.
[00:11:54.228 --> 00:11:56.130]  I think Arizona is very surprising, but look at that.
[00:11:56.170 --> 00:11:58.713]  Then you have this blue corridor right here.
[00:12:00.294 --> 00:12:06.521]  And if you believe these results from California, you believe Donald Trump did worse than Mitt Romney.
[00:12:13.024 --> 00:12:14.786]  But it was a crazy night indeed.
[00:12:15.186 --> 00:12:18.769]  Watching the vote tallies come in.
[00:12:20.470 --> 00:12:21.531]  Watching Florida sit at 99%.
[00:12:22.352 --> 00:12:25.174]  And Trump being ahead.
[00:12:25.194 --> 00:12:27.556]  And them not giving it to him.
[00:12:30.198 --> 00:12:33.101]  Watching Pennsylvania go late into the night and Wisconsin.
[00:12:34.682 --> 00:12:40.067]  In fact, at one point, Fox had given him Wisconsin, but not Pennsylvania.
[00:12:42.335 --> 00:12:44.916]  And the New York Times had given him Pennsylvania, but not Wisconsin.
[00:12:46.597 --> 00:12:49.238]  And that is when I finally said, alright, he's won.
[00:12:52.320 --> 00:13:01.584]  Because until we saw him go over the magic number, I didn't think it would be possible.
[00:13:03.084 --> 00:13:07.246]  I really didn't think the system would let him win.
[00:13:09.748 --> 00:13:10.468]  Even right now,
[00:13:12.236 --> 00:13:17.820]  It shows Hillary Clinton with 59,232,000 votes and Donald Trump with 59,080,000 votes.
[00:13:17.940 --> 00:13:22.363]  I can't afford to believe those tallies.
[00:13:23.544 --> 00:13:25.065]  California looks very suspicious.
[00:13:27.086 --> 00:13:28.687]  It didn't even crack 3 million.
[00:13:32.229 --> 00:13:34.131]  And here's a result from Mitt Romney.
[00:13:34.171 --> 00:13:35.992]  Mitt Romney cracked 4 million.
[00:13:44.056 --> 00:13:46.978]  But he has won the Electoral College substantially.
[00:13:56.406 --> 00:13:57.727]  So here we are, the next day.
[00:13:57.747 --> 00:14:03.031]  Should be a day of celebration.
[00:14:06.334 --> 00:14:07.715]  Should be a day of coming together.
[00:14:15.925 --> 00:14:31.189]  Should be a day where we can offer our hand to those we may have ridiculed along this seems like over two year journey at this point.
[00:14:39.291 --> 00:14:39.851]  I tell you what.
[00:14:42.520 --> 00:14:51.964]  When you look up at the Rust Belt in Pennsylvania and Ohio, Indiana, Wisconsin, even in Michigan, these people were sick of it.
[00:14:51.984 --> 00:15:05.431]  They were sick of what they had seen in their time on Earth of countries getting better deals than us, of jobs going to other countries.
[00:15:10.029 --> 00:15:12.631]  Of a government who didn't seem to care about its people.
[00:15:15.253 --> 00:15:17.294]  And hopefully that has come to an end.
[00:15:17.354 --> 00:15:27.582]  Hopefully we've come now and are going to become a country that can start working on these problems.
[00:15:28.402 --> 00:15:29.743]  Here's from Business Insider.
[00:15:29.803 --> 00:15:31.284]  Peter Thiel on Trump's win.
[00:15:31.344 --> 00:15:33.446]  He has an awesomely difficult task.
[00:15:35.239 --> 00:15:41.603]  Silicon Valley's most famous Donald Trump supporter has issued a statement on the President-elect's historic win.
[00:15:43.405 --> 00:15:47.828]  He praised Trump's win and acknowledged the uphill battle ahead of the President-elect.
[00:15:49.769 --> 00:15:51.510]  Congratulations to President Donald Trump.
[00:15:51.530 --> 00:15:58.995]  You did an awesomely difficult task, and since it's long past time for us to face up to our country's problems, we're going to need all hands on deck.
[00:15:59.355 --> 00:15:59.856]  In fact, that
[00:16:01.355 --> 00:16:12.045]  Is almost the same text I got from a friend of mine who lived in Pennsylvania, who earlier in the night said, we may be living in a country where the Constitution is archaic.
[00:16:13.586 --> 00:16:17.570]  And something our children and grandchildren look back as an anachronism.
[00:16:21.533 --> 00:16:22.414]  But that changed.
[00:16:28.354 --> 00:16:29.335]  All hands on deck.
[00:16:29.375 --> 00:16:34.540]  We're going to need everybody to work on this problem of fixing our country.
[00:16:35.280 --> 00:16:35.961]  But we can do it.
[00:16:38.043 --> 00:16:38.603]  We can do it.
[00:16:38.803 --> 00:16:40.004]  It's not as hard as we think.
[00:16:40.685 --> 00:16:47.411]  And once we start scrubbing away at the grime, we're going to find it's easily removed.
[00:16:53.857 --> 00:16:57.839]  I'm gonna go to a video at some point called Globalist to Attack Trump with Economic Collapse.
[00:16:57.859 --> 00:17:02.502]  This is something Alex Jones shot with us right before he left at the end of the night.
[00:17:04.263 --> 00:17:05.623]  He was tired, like the rest of us.
[00:17:05.663 --> 00:17:06.484]  He'd been up for a while.
[00:17:07.084 --> 00:17:07.624]  Long time.
[00:17:11.587 --> 00:17:18.630]  And at the end of the night last night, there were some economic indicators that looked like, oh boy, Wall Street's not gonna be happy with this win.
[00:17:19.131 --> 00:17:21.212]  Chris Hayes was on the television.
[00:17:22.622 --> 00:17:29.606]  Talking about how they had stopped some overnight trading in the markets because it had hit a 5% threshold.
[00:17:29.626 --> 00:17:33.908]  And the markets weren't gonna like this.
[00:17:34.648 --> 00:17:35.448]  This Trump win.
[00:17:35.468 --> 00:17:41.151]  Here's an interesting story.
[00:17:41.452 --> 00:17:46.134]  Philippines President Duarte says his country can enhance relations with the U.S.
[00:17:46.194 --> 00:17:50.076]  and congratulate Trump a month after telling Obama to go to hell.
[00:18:00.236 --> 00:18:14.349]  President, Philippines President, President Rodrigo Duarte has congratulated Donald Trump on his shock election win, saying the reality TV star can enhance relations with the Asian country.
[00:18:18.412 --> 00:18:26.720]  Having repeatedly threatened to end his nation's alliance with Washington, he said to be looking forward to working with the incoming administration.
[00:18:29.605 --> 00:18:33.307]  And you know he's going to catch hell from the left constantly.
[00:18:34.868 --> 00:18:36.489]  And it's going to be penny ante stuff.
[00:18:36.549 --> 00:18:38.470]  It's not going to be issues of substance.
[00:18:40.391 --> 00:18:42.372]  They're not interested in issues of substance.
[00:18:42.652 --> 00:18:46.935]  They're going to be interested in standing on the sideline and crowing.
[00:18:57.523 --> 00:18:58.544]  Remember Lady Gaga?
[00:18:58.584 --> 00:19:06.495]  She wore the Nazi-esque uniform for Hillary's last rally in Burnham Independence Hall.
[00:19:11.874 --> 00:19:20.541]  Lady Gaga stages protest outside Trump Tower while Katy Perry vows not to let hate lead us as Hillary's Hollywood stars struggle to cope.
[00:19:20.562 --> 00:19:25.065]  In fact, last night the immigration website for Canada broke down.
[00:19:25.866 --> 00:19:27.347]  So maybe a lot of people are going to leave.
[00:19:27.427 --> 00:19:31.491]  Maybe they're not ready to work, to do the work to put this country back together.
[00:19:34.734 --> 00:19:36.415]  And hey, we're doing good.
[00:19:37.316 --> 00:19:39.518]  But we have a lot, we have a long way to go.
[00:19:41.752 --> 00:19:42.652]  We have a long way to go.
[00:19:42.672 --> 00:19:49.136]  And there's Lady Gaga with a dump truck.
[00:19:55.359 --> 00:19:59.481]  With her Love Trumps Hate poster.
[00:20:03.943 --> 00:20:06.344]  And I think at this point we have to show them what love is.
[00:20:09.582 --> 00:20:15.806]  This is not the time to go after the Bernie Sanders or the Hillary Clinton supporters.
[00:20:15.826 --> 00:20:21.270]  It's time to take our victory, absorb it, and look at what needs to be done.
[00:20:22.071 --> 00:20:22.751]  And start there.
[00:20:22.771 --> 00:20:24.713]  And make it happen.
[00:20:26.234 --> 00:20:27.555]  Got some callers on the line.
[00:20:27.855 --> 00:20:29.136]  Are we ready to go to calls?
[00:20:30.137 --> 00:20:30.477]  Okay.
[00:20:32.378 --> 00:20:33.699]  Let's go to Bruce in Maryland.
[00:20:34.340 --> 00:20:35.561]  Hey Bruce, thanks for holding.
[00:20:38.283 --> 00:20:38.583]  Go ahead.
[00:20:40.186 --> 00:20:44.448]  I've got a couple of points that have been sitting on hold for a while, so they kept growing.
[00:20:44.728 --> 00:20:45.728]  Sure.
[00:20:46.129 --> 00:20:47.309]  First, I'd like to say this.
[00:20:47.569 --> 00:20:52.131]  I bought my first car in 1971, my first new car.
[00:20:53.251 --> 00:20:55.652]  It cost me $60 a month to buy it.
[00:20:55.953 --> 00:21:06.597]  If you had car insurance, if you had to pay more than one car payment for full car insurance, that was considered expensive.
[00:21:07.449 --> 00:21:14.711]  In 1975, the state said that insurance became mandatory and state regulated.
[00:21:15.772 --> 00:21:19.493]  My insurance went up from $80 a year to about $300.
[00:21:19.973 --> 00:21:26.595]  Now the average for full coverage insurance is of, what, $2,400, $2,500.
[00:21:27.775 --> 00:21:32.477]  When Trump says, get rid of the regulation and get the government out of insurance,
[00:21:33.439 --> 00:21:37.243]  It's amazing what can happen and people are panicking over nothing.
[00:21:37.603 --> 00:21:42.688]  We're always learning the same lessons over and over and over.
[00:21:42.708 --> 00:21:50.655]  The other one is we dodged a bullet getting rid of the puppet of Hillary Clinton.
[00:21:51.276 --> 00:21:54.539]  The problem is we still have the puppet master out there.
[00:21:56.000 --> 00:21:58.042]  I consider them the bankers.
[00:21:59.257 --> 00:22:10.965]  And the Rothschilds from the Bank of England to their next attempt, the Bank of America, now the Federal Reserve, they are relentless.
[00:22:10.985 --> 00:22:19.050]  And if we are not vigilant, if we clean up this mess, it'll happen again and again and again.
[00:22:19.270 --> 00:22:23.672]  We've allowed this republic to go to hell.
[00:22:23.933 --> 00:22:25.534]  There's no other... I'm sorry.
[00:22:26.434 --> 00:22:26.654]  Yeah.
[00:22:26.714 --> 00:22:27.675]  We've allowed it to...
[00:22:28.246 --> 00:22:36.691]  By our own, just not taking care of what is the best country on the planet that the planet has ever known.
[00:22:38.072 --> 00:22:49.258]  The last thing, the last couple of things to chew on, um, the, uh, Stephen Molyneux, I cannot pronounce his name.
[00:22:52.355 --> 00:22:53.496]  Thank you, thank you.
[00:22:54.017 --> 00:23:03.146]  He has, I hate to do a plug for somebody else, but he has one thing called How to Argue with a Social Justice Warrior or a Liberal.
[00:23:03.847 --> 00:23:13.176]  It is a phenomenal, phenomenal video and it hopefully could open up some people how to deal with the brainwashed liberals.
[00:23:14.135 --> 00:23:22.457]  Because it definitely takes a non-violent and it diffuses the confrontation with trying to open up their minds.
[00:23:24.937 --> 00:23:29.358]  And finally, this one came from your predecessor.
[00:23:29.398 --> 00:23:38.060]  He was asking, what do you think that Hillary was feeling and why she backed out of giving her concession speech?
[00:23:38.880 --> 00:23:43.321]  I believe it was abject terror and betrayal.
[00:23:43.846 --> 00:23:49.610]  My own personal conspiracy theory is that actually Trump did a deal.
[00:23:49.850 --> 00:23:51.251]  Not a deal in a bad way.
[00:23:51.971 --> 00:23:52.832]  A deal of this.
[00:23:53.792 --> 00:23:57.535]  I personally think that we're on the verge of violent revolution.
[00:23:57.815 --> 00:24:00.036]  I truly think we're violent.
[00:24:02.277 --> 00:24:09.422]  And quite frankly, Trump said, play with the numbers, do whatever you have to do, but leave.
[00:24:10.202 --> 00:24:11.143]  I'll let you go.
[00:24:11.403 --> 00:24:12.724]  Just get out of the country.
[00:24:13.713 --> 00:24:15.854]  Yeah, I totally agree.
[00:24:15.874 --> 00:24:18.655]  And I can see Trump doing that, saying, you know what?
[00:24:18.735 --> 00:24:19.775]  I've got this.
[00:24:45.543 --> 00:24:46.083]  Take off.
[00:24:47.904 --> 00:24:48.965]  But she can't run forever.
[00:24:48.985 --> 00:24:51.706]  It's like Janet Reno couldn't run forever.
[00:24:52.086 --> 00:24:59.530]  There was a little meme going around with a picture of Janet Reno and it said, Donald Trump will never be president in my lifetime.
[00:25:03.152 --> 00:25:05.333]  And it was the day after her lifetime.
[00:25:06.774 --> 00:25:07.394]  Too soon.
[00:25:07.414 --> 00:25:08.295]  Yeah.
[00:25:10.176 --> 00:25:10.516]  Too soon.
[00:25:11.792 --> 00:25:15.855]  Here's some tweets from, this is Chris Evans, the guy who plays Captain America.
[00:25:15.875 --> 00:25:19.378]  This is an embarrassing night for America.
[00:25:19.998 --> 00:25:22.260]  We've let a hate monger lead our great nation.
[00:25:22.840 --> 00:25:24.341]  We let a bully set our course.
[00:25:24.441 --> 00:25:25.222]  I'm devastated.
[00:25:26.043 --> 00:25:31.527]  Now I would use those characteristics to describe Hillary Clinton.
[00:25:34.549 --> 00:25:40.053]  But Chris Evans wouldn't do that because he's ignorant and he has no idea what Hillary Clinton's done.
[00:25:42.540 --> 00:25:43.861]  Here's Kunal Nayyar.
[00:25:43.881 --> 00:25:44.902]  I don't even know who this is.
[00:25:46.043 --> 00:25:51.909]  Never in the 15 years of living in this country have I ever felt so afraid to look like I do.
[00:25:51.929 --> 00:25:54.472]  No one's coming after you, buddy.
[00:25:58.015 --> 00:26:01.238]  But, lay on the ground, flop around like a little victim.
[00:26:01.759 --> 00:26:02.619]  Ariana Grande.
[00:26:02.639 --> 00:26:05.082]  Well, this is utterly terrifying.
[00:26:16.059 --> 00:26:23.646]  Somebody tweeted a picture of Martin Luther King saying, never forget that everything Hitler did in Germany was legal.
[00:26:23.666 --> 00:26:25.088]  1963 letter from a Birmingham jail.
[00:26:28.771 --> 00:26:29.712]  Literally Hitler.
[00:26:29.732 --> 00:26:30.753]  Literally.
[00:26:37.657 --> 00:26:40.319]  Nigella Lawson, I've never heard of these people.
[00:26:40.359 --> 00:26:43.101]  This is more than just populism, it's racism.
[00:26:43.501 --> 00:26:45.602]  Confederate flags will be flying.
[00:26:47.684 --> 00:26:48.764]  Hey Rob, this is Nico.
[00:26:49.445 --> 00:27:04.295]  On the way in this morning I was listening to NPR and they had several segments about how racist America is and that white America just could not stand to have a black man presiding over them and that this is an extreme reaction to that.
[00:27:04.315 --> 00:27:05.275]  His term was up!
[00:27:07.827 --> 00:27:22.279]  Yeah, his camera's up, and so then we have to give it to the lady, and then we have to give it to an Asian, and then we have, you know, it's just like, it can't be, we can't base the person on their actions, no, because that's what we're told to do.
[00:27:22.879 --> 00:27:25.121]  Don't judge a book by its cover, base the person on their actions.
[00:27:25.221 --> 00:27:27.743]  Oh no, we can't base Hillary Clinton on her actions.
[00:27:29.445 --> 00:27:30.546]  No, we can't do that.
[00:27:31.667 --> 00:27:33.128]  We have to give it to her because she's a girl.
[00:27:38.063 --> 00:27:43.807]  Well, for those liberals who don't like it, go ahead and leave.
[00:27:46.809 --> 00:27:48.370]  Trevor Noah.
[00:27:48.490 --> 00:27:52.492]  They can't because Canada's immigration site has been shut down.
[00:27:54.154 --> 00:27:58.096]  The traffic on the immigration site shut it down.
[00:27:59.637 --> 00:28:00.197]  They killed it.
[00:28:00.738 --> 00:28:01.658]  They're trying to get out.
[00:28:02.119 --> 00:28:03.780]  Zach Braff, though, we Brexited.
[00:28:04.160 --> 00:28:05.341]  He doesn't seem to.
[00:28:05.721 --> 00:28:06.702]  Oh, but he's a white guy.
[00:28:08.120 --> 00:28:09.500]  Seth MacFarlane, he's a white guy.
[00:28:09.520 --> 00:28:12.121]  Some didn't like Bush, some didn't like Obama, but this is different.
[00:28:12.181 --> 00:28:12.921]  Forget dislike.
[00:28:13.061 --> 00:28:15.061]  Many are genuinely fearful now.
[00:28:18.242 --> 00:28:20.222]  I was fearful of a Hillary Clinton presidency.
[00:28:25.684 --> 00:28:27.524]  Five steps forward, ten steps back.
[00:28:27.564 --> 00:28:28.184]  Trevor Noah.
[00:28:29.104 --> 00:28:31.085]  I wouldn't even consider this guy a comedian.
[00:28:31.105 --> 00:28:32.485]  He's not that funny.
[00:28:32.505 --> 00:28:37.106]  He's one of those daily show hosts.
[00:28:42.290 --> 00:28:44.712]  Ellen DeGeneres is honored to be Hillary Clinton's friend.
[00:28:44.792 --> 00:28:45.393]  We just lose.
[00:28:46.133 --> 00:28:50.937]  Let's go to another caller.
[00:28:50.997 --> 00:28:52.619]  Let's go to Michael in Georgia.
[00:28:52.639 --> 00:28:58.544]  It took a while for Georgia to be called for Trump.
[00:28:58.804 --> 00:29:00.085]  What was going on there, Michael?
[00:29:07.165 --> 00:29:08.185]  You still there, Michael?
[00:29:09.085 --> 00:29:09.786]  You fall asleep?
[00:29:10.206 --> 00:29:10.486]  Sorry.
[00:29:10.506 --> 00:29:12.686]  I didn't go to you quick enough.
[00:29:17.328 --> 00:29:17.948]  Alright, Michael.
[00:29:19.368 --> 00:29:23.009]  Well, we sat there and watched Georgia sit pink for a long time.
[00:29:23.029 --> 00:29:28.270]  Let's go to Darren in Tennessee, one of the first states to go for Trump.
[00:29:29.691 --> 00:29:31.151]  What are your concerns on Trump, Darren?
[00:29:32.531 --> 00:29:33.352]  Hey, are you there, Rob?
[00:29:33.372 --> 00:29:34.052]  Can you hear me okay?
[00:29:34.112 --> 00:29:34.572]  I can hear you.
[00:29:35.612 --> 00:29:38.495]  Hey, thanks for your, uh, thanks for your guys, all your guys great work.
[00:29:38.535 --> 00:29:41.198]  Listen, I gotta try to run through a bunch of points real quick.
[00:29:41.858 --> 00:29:44.281]  Um, first thing I want to do is I just want to thank God.
[00:29:44.561 --> 00:29:47.104]  I mean, I'm a, I'm an older gentleman, retired firefighter.
