[00:00:00.009 --> 00:00:00.225]  Thank you.
[00:04:51.097 --> 00:04:54.279]  And she goes, oh, he was so excited to hear that we met you guys.
[00:04:54.319 --> 00:04:55.900]  And I took a selfie and sent it to her.
[00:04:55.960 --> 00:04:57.141]  And again, this isn't us bragging.
[00:04:57.161 --> 00:04:57.682]  It's not us bragging.
[00:04:57.702 --> 00:04:58.222]  We're famous.
[00:04:58.302 --> 00:04:59.643]  It's saying the InfoWars taking over.
[00:04:59.663 --> 00:05:00.443]  People are waking up.
[00:05:00.524 --> 00:05:03.926]  Yeah, and then this morning, the Secret Service, when we pulled up, they recognized.
[00:05:03.946 --> 00:05:05.987]  They're like, InfoWars, good job yesterday.
[00:05:06.027 --> 00:05:06.488]  Good job.
[00:05:06.528 --> 00:05:06.908]  Yeah, it's crazy.
[00:05:06.928 --> 00:05:07.868]  Let's not get them in too much trouble.
[00:05:08.049 --> 00:05:08.509]  We'll be back.
[00:05:10.230 --> 00:05:11.611]  You developed Living Defense for us.
[00:05:11.671 --> 00:05:12.732]  It took you over a year to do it.
[00:05:12.993 --> 00:05:13.913]  Why is this so good?
[00:05:14.214 --> 00:05:19.458]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:05:19.518 --> 00:05:33.089]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:05:33.149 --> 00:05:34.510]  Right now with all the refugees,
[00:05:35.291 --> 00:05:36.893]  Uh, spreading disease around.
[00:05:36.933 --> 00:05:39.436]  We have biological warfare going on everywhere.
[00:05:39.536 --> 00:05:40.797]  These are all parasites.
[00:05:40.837 --> 00:05:41.939]  Tell us about all the stuff that's in it.
[00:05:41.959 --> 00:05:43.000]  There's so many things that are in it.
[00:05:43.300 --> 00:05:47.625]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:05:47.825 --> 00:05:51.009]  I recommend doing a parasite cleanse at least twice a year.
[00:05:51.049 --> 00:05:54.150]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[00:05:54.190 --> 00:05:55.191]  It just came back in yesterday.
[00:05:55.251 --> 00:05:57.132]  Living Defense, Infowarslife.com.
[00:05:57.192 --> 00:05:58.212]  And folks, you can't lose.
[00:05:58.232 --> 00:06:00.293]  It's full of stuff that's great for your body, period.
[00:06:00.933 --> 00:06:03.955]  And you support the broadcast, Infowarslife.com.
[00:06:04.215 --> 00:06:06.096]  Thank you, Dr. Group from the Global Healing Center.
[00:06:06.476 --> 00:06:08.437]  Thank you so much for all your work serving this great product.
[00:06:09.713 --> 00:06:11.094]  Clean, pure drinking water.
[00:06:11.374 --> 00:06:12.654]  You can't survive without it.
[00:06:12.854 --> 00:06:13.755]  But where do you get it?
[00:06:14.055 --> 00:06:19.817]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:06:20.037 --> 00:06:25.759]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:06:25.959 --> 00:06:42.806]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:06:43.206 --> 00:06:45.346]  Filter capacity up to 5,000 gallons.
[00:06:45.707 --> 00:06:46.887]  Stainless steel construction.
[00:06:47.167 --> 00:06:47.947]  Easy assembly.
[00:06:48.207 --> 00:06:48.827]  Low maintenance.
[00:06:49.127 --> 00:06:50.927]  Replacement filters are simple to install.
[00:06:51.208 --> 00:06:58.309]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[00:06:58.489 --> 00:07:03.510]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:07:03.670 --> 00:07:06.250]  Go to InfowarsStore.com or call 888-253-3139.
[00:07:09.611 --> 00:07:10.512]  This just in!
[00:07:10.652 --> 00:07:12.954]  Human stupidity knows no bounds!
[00:07:13.114 --> 00:07:24.683]  Idiot teenage girl walks straight into highway traffic in Pennsylvania to catch a Pokemon in the new craze, Pokemon Go, which has ties to the empire usurping terrorist factory, the CIA.
[00:07:25.444 --> 00:07:32.509]  The idiot 15-year-old Autumn Dezaroth was hit by a car on her journey to become the very best like no one ever was.
[00:07:32.689 --> 00:07:36.132]  She survived with some injuries and is okay, but come on now, she's 15!
[00:07:36.212 --> 00:07:40.015]  Her brain's developed enough to make a decision with some damn sense!
[00:07:40.255 --> 00:07:41.416]  And that's not all!
[00:07:41.576 --> 00:07:52.724]  Dezaroth and her mother, Tracy Nolan, both blame the game, completely abdicating responsibility for choosing to test fate against two ton hunks of metal moving at dangerously high speeds.
[00:07:52.944 --> 00:07:55.645]  No one says, should never let her play that damn game.
[00:07:55.925 --> 00:08:02.449]  The Pennsylvania State Police issued an awareness bulletin for Pokemon Go to warn people against being stupid.
[00:08:02.529 --> 00:08:03.369]  But will it work?
[00:08:03.509 --> 00:08:05.090]  Report from NowThis News.
[00:08:05.170 --> 00:08:08.531]  This is Gabe Golddiamond for InfoWars.com.
[00:08:15.835 --> 00:08:16.595]  Big Brother.
[00:08:17.436 --> 00:08:19.197]  Mainstream Media.
[00:08:20.737 --> 00:08:21.798]  Government Cover-Ups.
[00:08:23.328 --> 00:08:24.249]  You want answers?
[00:08:25.211 --> 00:08:26.212]  Well, so does he.
[00:08:27.153 --> 00:08:35.324]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:08:35.404 --> 00:08:37.848]  Well, we've got two days left of the convention.
[00:08:39.289 --> 00:08:42.310]  And then of course the Democratic National Convention coming up next week.
[00:08:42.610 --> 00:08:45.370]  What a giant police state circus we're in the middle of.
[00:08:45.910 --> 00:08:50.811]  But this is a police state built of our own folly.
[00:08:51.051 --> 00:08:54.832]  This is what Americans have allowed with the jihadis in this country.
[00:08:55.572 --> 00:08:56.632]  And the border's wide open.
[00:08:57.593 --> 00:09:04.234]  And with all the different leftist groups and the Soros-backed organizations running around stoking violence.
[00:09:05.074 --> 00:09:09.159]  This is what you end up having to have, or they'd be storming the RNC.
[00:09:09.499 --> 00:09:12.803]  They've stormed Trump events all over the country.
[00:09:12.843 --> 00:09:13.804]  They've attacked people.
[00:09:14.125 --> 00:09:15.166]  People have been killed.
[00:09:15.947 --> 00:09:18.330]  Police are getting killed on a daily basis now.
[00:09:18.710 --> 00:09:19.111]  Almost.
[00:09:20.566 --> 00:09:23.307]  It is crazy, and Rob Dew, our news director, is here with us.
[00:09:23.567 --> 00:09:25.268]  We have a gigantic broadcast today.
[00:09:25.288 --> 00:09:29.189]  We're talking about a few issues first off here, but tell folks what's coming up today.
[00:09:29.910 --> 00:09:30.630]  All right.
[00:09:30.950 --> 00:09:38.293]  At 11.30, 12.30 Eastern, we'll be Diamond and Silk in studio, and then at the top of the hour at 12 o'clock, 1 o'clock our time.
[00:09:39.013 --> 00:09:41.315]  Here in Cleveland, Roger Stone is going to be here.
[00:09:41.395 --> 00:09:46.058]  And then at the bottom of the hour, 12.30, 1.30, Eastern, Ted Nugent on the phone.
[00:09:46.458 --> 00:09:50.701]  And that should be pretty interesting because of what's going on here at the convention.
[00:09:50.741 --> 00:10:01.468]  And then after that, a one-hour interview with Dinesh D'Souza, talking about his film, which I haven't seen it, but from what I hear from the other crew, they said it's one of the best films they've seen in a long time, as a documentary.
[00:10:01.488 --> 00:10:08.333]  Yeah, I mean, America 2015 or 2016 was kind of milquetoast and kind of, oh, he's the anti-colonialist.
[00:10:09.173 --> 00:10:12.136]  Well, really, globalism is corporate colonialism to take us over.
[00:10:12.737 --> 00:10:14.719]  But he does hint that he hates America.
[00:10:14.779 --> 00:10:25.089]  No, this new film is Hillary is a crime boss, a horrible witch, the Democrats are an organized crime syndicate, hell-bent on destroying the country, collapsing it, consolidating control, and putting us in re-education camps.
[00:10:25.470 --> 00:10:29.554]  And that's shocking to hear, but that's really what they're doing, and boy, that happens in most other countries.
[00:10:29.834 --> 00:10:31.296]  Look at the crap going on in Turkey right now.
[00:10:31.516 --> 00:10:35.337]  Well, and they're using the social media apparatus as the concentration camp now.
[00:10:35.397 --> 00:10:40.518]  That's like the virtual concentration camp now, where they cut people off Twitter, they censor stories.
[00:10:40.618 --> 00:10:41.438]  Yeah, look at Milo.
[00:10:41.598 --> 00:10:44.878]  Permanently banned with his tens of millions of people on Twitter.
[00:10:45.359 --> 00:10:45.819]  Ridiculous.
[00:10:45.839 --> 00:10:54.400]  I mean, because he's a flamboyant gay guy that says he's sick of social justice warriors and their attack on free speech.
[00:10:54.940 --> 00:10:56.541]  I mean, they're a plague.
[00:10:57.201 --> 00:10:59.001]  They are a literal plague.
[00:11:00.114 --> 00:11:05.075]  And it is so frustrating just to see this getting worse and worse and worse.
[00:11:05.155 --> 00:11:07.376]  Now, really exciting news.
[00:11:07.976 --> 00:11:15.178]  On my way over here today, walking out of a store, there was Tucker Carlson with a bunch of people getting out of a sedan.
[00:11:16.318 --> 00:11:18.399]  And he said, hey, Alex, great.
[00:11:18.439 --> 00:11:19.179]  I'm glad you're here.
[00:11:19.199 --> 00:11:21.839]  And I said, what?
[00:11:21.859 --> 00:11:25.660]  Because I had dinner with him and a bunch of media Sunday night when we got in.
[00:11:26.061 --> 00:11:26.421]  You were there.
[00:11:28.885 --> 00:11:29.766]  I go, here for what?
[00:11:29.786 --> 00:11:30.807]  He goes, Farage.
[00:11:31.607 --> 00:11:32.188]  And I went, who?
[00:11:32.368 --> 00:11:33.469]  He goes, Nigel Farage.
[00:11:33.789 --> 00:11:34.990]  Oh, Nigel Farage.
[00:11:35.390 --> 00:11:35.770]  I go, what?
[00:11:35.831 --> 00:11:38.072]  He's, you know, and I said, well, where's the media for this?
[00:11:38.092 --> 00:11:41.475]  He goes, well, I'm just doing a little, you know, thing with the press, a breakfast.
[00:11:42.116 --> 00:11:46.979]  And I guess it's like a Eleven's here, something that Hobbits have, because it's almost noon here when that happened.
[00:11:47.480 --> 00:11:51.263]  And so we just sent a bunch of reporters over there, very excited about that.
[00:11:51.783 --> 00:11:53.625]  I think Nigel Farage is like a rock star.
[00:11:54.145 --> 00:11:55.987]  See, I don't get woo about rock stars.
[00:11:56.963 --> 00:11:58.243]  I don't know about movie stars.
[00:11:58.743 --> 00:12:00.264]  He's retiring in his prime too.
[00:12:00.764 --> 00:12:02.204]  Hopefully we can talk him out of that.
[00:12:02.224 --> 00:12:07.786]  Well, that's why we sent reporters over there to all just basically to talk to him and say, how could you be retiring in your prime?
[00:12:09.246 --> 00:12:15.908]  The thing is, he doesn't play hard to get or whatever like some politicians do when they say, I'm not going to run for office and make everybody beg for him.
[00:12:16.568 --> 00:12:20.692]  Uh, the times I've talked to him off air, he's like, Oh man, I just want to beat this and get back to business in my life.
[00:12:20.752 --> 00:12:23.935]  And, you know, back to, you know, drinking beer at the pub after work.
[00:12:23.955 --> 00:12:27.298]  I mean, he just does not like it, but that's why he's so effective.
[00:12:27.318 --> 00:12:27.919]  Yeah.
[00:12:27.939 --> 00:12:28.840]  He's just straight talks.
[00:12:28.880 --> 00:12:29.620]  He's scumbags.
[00:12:29.921 --> 00:12:30.341]  He's arrogant.
[00:12:30.361 --> 00:12:33.024]  People never had a job, but you know, in their life, and of course they tried to kill him.
[00:12:34.059 --> 00:12:39.501]  Man, he's had the wheels come off his car, and the police said it was sabotage in the EU.
[00:12:39.761 --> 00:12:40.821]  They said, no, you were sabotaged.
[00:12:41.602 --> 00:12:45.923]  And then the plane crashed, and I mean, the pilot's a vegetable.
[00:12:46.543 --> 00:12:52.726]  I mean, Farage climbs out of it, his whole face smashed, blood pouring out of his head, and had, like, many bones broken.
[00:12:53.246 --> 00:12:53.966]  I mean, it was incredible.
[00:12:54.026 --> 00:12:55.547]  And he still has the courage to speak out.
[00:12:55.587 --> 00:12:56.887]  He didn't hide after that.
[00:12:56.927 --> 00:13:01.409]  Well, the thing is, the truth is, and I don't blame him, you know, that's kind of something that
[00:13:02.709 --> 00:13:05.513]  One guest hinted at, you know, I'm sure the threats are getting to him.
[00:13:05.593 --> 00:13:08.957]  At a certain point, he's been leading that party since it started 22 years ago.
[00:13:09.017 --> 00:13:09.657]  He's sick of it.
[00:13:09.958 --> 00:13:12.060]  And I kind of get wanting to not do it anymore.
[00:13:12.320 --> 00:13:16.445]  Because you're either like totally and completely 100% committed.
[00:13:17.286 --> 00:13:21.851]  You're either totally committed to something or you're disengaged.
[00:13:22.793 --> 00:13:23.334]  That's how I am.
[00:13:23.374 --> 00:13:24.917]  I can't quit thinking about fighting the globalists.
[00:13:24.997 --> 00:13:25.678]  I dream about it.
[00:13:25.798 --> 00:13:26.620]  I live it constantly.
[00:13:26.680 --> 00:13:28.362]  I'm hyperventilating on air thinking about it.
[00:13:28.583 --> 00:13:30.306]  Yesterday... Hyperventilating off the air?
[00:13:30.326 --> 00:13:31.949]  Hyperventilating off the air.
[00:13:32.209 --> 00:13:34.954]  Yesterday, I knew they were having this communist party.
[00:13:35.575 --> 00:13:36.456]  That's what officially was.
[00:13:38.729 --> 00:13:49.338]  And I knew that they were going to have a flag burning, and I knew that they were having Black Lives Matter out there, and I knew they had this Dix guy who is like always there a few days before horrible stuff happens.
[00:13:49.398 --> 00:13:50.179]  Stoking the flames.
[00:13:50.319 --> 00:13:58.045]  And so when I got there and they were screaming at us and surrounding us and trying to bully us, even though about a third or more of the folks were Infowarriors, they were all just nicely standing there.
[00:13:58.505 --> 00:14:03.149]  All the socialists were bullying and clawing and, you know, bumping into me underneath, you know, the cameras.
[00:14:03.189 --> 00:14:04.691]  I said, I got to get up there on that high spot.
[00:14:05.171 --> 00:14:05.351]  I don't
[00:14:26.437 --> 00:14:26.657]  I think so.
[00:14:49.833 --> 00:14:58.319]  So I start pushing through them, they get pushed out of the way, but I keep pushing and then there's the police chief, who, obviously you can see I wasn't looking when I run into him.
[00:14:58.519 --> 00:15:01.721]  He grabs my arm and I go, oh actually, someone with forces actually grabbed me.
[00:15:01.781 --> 00:15:03.522]  I go, oh, who's that?
[00:15:03.542 --> 00:15:04.303]  Oh, it's the police chief.
[00:15:04.583 --> 00:15:05.824]  That's a very iconic moment.
[00:15:05.844 --> 00:15:07.865]  You're like, oh, the crowd is the police chief.
[00:15:09.406 --> 00:15:11.427]  Which I guess everybody thought was hilarious, especially the police.
[00:15:12.648 --> 00:15:16.611]  Then the bike cops move in and start separating the people.
[00:15:16.871 --> 00:15:20.774]  Our guys, me, Josh, and Zimmerman, that's how we got separated from y'all.
[00:15:20.794 --> 00:15:22.755]  We were getting pushed back by the guys on the bikes.
[00:15:23.256 --> 00:15:25.397]  I said, hey, hey, hey, relax, relax, we're good.
[00:15:25.918 --> 00:15:27.399]  That is kind of a commie hat, though.
[00:15:27.859 --> 00:15:29.601]  Yeah, I'd probably look like a communist.
[00:15:29.621 --> 00:15:31.183]  But it helps you blend in.
[00:15:31.203 --> 00:15:34.106]  Yeah, and I actually got an interview with the communists later that afternoon.
[00:15:34.507 --> 00:15:36.930]  And I went up and I go, hey, aren't you the guys that attacked Alex Jones?
[00:15:36.970 --> 00:15:37.851]  I think I called them commies.
[00:15:37.891 --> 00:15:39.453]  Aren't you the commies that attacked Alex Jones?
[00:15:39.693 --> 00:15:40.634]  We didn't attack him!
[00:15:40.975 --> 00:15:45.159]  And then in the video we cut to him pushing you and pushing you and then you push back.
[00:15:45.700 --> 00:15:49.762]  You know, because you can only take so much, and you're... I mean, that's the type... It's not even this.
[00:15:50.102 --> 00:15:53.983]  The stuff that's going on in this convention is sort of a backdrop for what's really going on in America.
[00:15:54.003 --> 00:15:54.463]  Well, exactly.
[00:15:54.503 --> 00:16:03.307]  I mean, I'm sitting there in the heat, surrounded by these people hissing at me, and I look at red flags up above me on the steps like they've taken the country.
[00:16:03.327 --> 00:16:04.027]  They're waving them.
[00:16:04.147 --> 00:16:09.129]  And I, quite frankly, I did want to go march up and see what happened, because I just had to take the high ground.
[00:16:09.209 --> 00:16:11.290]  I just... It literally scared me for my children.
[00:16:12.841 --> 00:16:14.162]  I mean, these are evil scum, man.
[00:16:14.202 --> 00:16:16.723]  I mean, communists have killed 200 million people, folks.
[00:16:16.763 --> 00:16:17.683]  They don't play games.
[00:16:17.984 --> 00:16:19.985]  They're running the same destabilization program here.
[00:16:20.225 --> 00:16:21.145]  You say it'll never happen.
[00:16:21.205 --> 00:16:21.585]  Bull!
[00:16:22.086 --> 00:16:26.728]  This country has been rotted from within by a bunch of traitors that have snuck in and infiltrated us, and I'm done with them!
[00:16:27.028 --> 00:16:29.089]  And I'm going to identify them, and I'm coming after them.
[00:16:29.569 --> 00:16:31.570]  People say, oh, you could have got hurt, you could have got whatever.
[00:16:31.590 --> 00:16:33.291]  The point is, I'm not playing around anymore.
[00:16:33.711 --> 00:16:35.172]  It's not because I'm tough or I'm a hero.
[00:16:35.292 --> 00:16:36.633]  I'm not laying down to these people.
[00:16:37.478 --> 00:16:39.540]  They really pissed me off and I'm sick of their crap!
[00:16:39.560 --> 00:16:41.683]  A bunch of mass murdering supporters, man!
[00:16:42.223 --> 00:16:44.286]  And you see what they're doing, they mean business!
[00:16:44.686 --> 00:16:50.112]  And you see the President up there, every time innocent police get killed, saying we need to reform the police.
[00:16:50.553 --> 00:16:53.396]  Basically saying, that's why they got killed because they're bad.
[00:16:53.576 --> 00:16:55.699]  They deserve to be shot in the back, because
[00:16:56.019 --> 00:16:57.640]  Somebody else somewhere did something wrong.
[00:16:57.780 --> 00:17:03.802]  When you look at statistics, our police department in this country is, this is one of the most violent nations on earth.
[00:17:04.102 --> 00:17:05.082]  It always has been.
[00:17:05.382 --> 00:17:09.764]  And per capita, the amount of violence we have, we have a very restrained police force in this country.
[00:17:10.304 --> 00:17:13.505]  Instead, what's happened is they've all gone into a militarized fortress mode.
[00:17:14.085 --> 00:17:16.506]  And that's only going to get worse when cops start getting shot in the back.
[00:17:16.566 --> 00:17:18.547]  It's a formula to bring the country down.
[00:17:18.728 --> 00:17:25.651]  They're building the police state by creating the climate that produces wine, so when they take total power, they have a police state in place.
[00:17:26.112 --> 00:17:27.352]  So I'm not against the police.
[00:17:27.632 --> 00:17:29.834]  I'm against the globalist program, the architecture.
[00:17:30.094 --> 00:17:31.034]  I see them building.
[00:17:31.274 --> 00:17:32.615]  I've seen them do it in other countries.
[00:17:33.015 --> 00:17:34.016]  The globalists brag.
[00:17:34.056 --> 00:17:34.796]  They think we're dumb.
[00:17:35.016 --> 00:17:36.177]  They admit their battle plan.
[00:17:36.457 --> 00:17:38.018]  And folks, we've got to save this country.
[00:17:38.398 --> 00:17:41.180]  Because we're not just getting taken over, as I've said a thousand times by Boss Hogg.
[00:17:42.014 --> 00:17:46.216]  Who just wants to, you know, basically skim money or something, and that'd be bad enough, I'd be against it.
[00:17:46.716 --> 00:17:47.957]  Because it always leads you to something worse.
[00:17:48.037 --> 00:17:50.198]  We're at the point of it leading to the worst thing you can have.
[00:17:51.338 --> 00:17:52.939]  So the games are over, ladies and gentlemen.
[00:17:53.239 --> 00:18:02.643]  The gloves are off, the globalists are attacking, and everybody, I don't care whether you're in a uniform, or whether you're a school teacher, or whether you're a garbage truck driver, you are a human who deserves freedom.
[00:18:03.063 --> 00:18:03.883]  And you're good people.
[00:18:04.244 --> 00:18:09.326]  And I don't care if you're in the military, or you're a social worker, or you're a liberal, or you're a conservative, who you are.
[00:18:10.046 --> 00:18:11.608]  Through the left, you can have tyranny.
[00:18:11.648 --> 00:18:12.789]  Through the right, you can have tyranny.
[00:18:13.169 --> 00:18:15.592]  Okay, and the globalists direct both of those throughout history.
[00:18:15.772 --> 00:18:17.554]  They write books admitting it like Tragedy and Hope.
[00:18:18.055 --> 00:18:22.399]  Written for the State Department and the CIA so they can understand why do we fund fascists and communists.
[00:18:22.640 --> 00:18:25.022]  Why don't, because they want centralized control.
[00:18:25.202 --> 00:18:29.247]  They want to give you fake choices, but then you're always just choosing another flavor of tyranny.
[00:18:30.253 --> 00:18:31.974]  There's no doubt tyranny's here.
[00:18:32.034 --> 00:18:36.257]  There's no doubt they're coming after free speech and they're manifesting through the left right now.
[00:18:36.738 --> 00:18:38.099]  They're manifesting through the left.
[00:18:38.399 --> 00:18:40.601]  The globals will try to manifest tyranny to the right as well.
[00:18:40.981 --> 00:18:50.328]  But we should try to reach out to people on the left and the right who are confused and don't know what's going on and explain all this and then transcend it and then deal with it.
[00:18:50.748 --> 00:18:58.033]  But it's time that these communists, who try to intimidate people, and socialists, and BLM, and all the Soros-affiliated groups, and the Ford Foundation groups, no.
[00:18:58.313 --> 00:18:59.434]  We're not stopping.
[00:18:59.594 --> 00:19:00.574]  We're not backing down.
[00:19:00.875 --> 00:19:01.835]  We're getting stronger.
[00:19:02.255 --> 00:19:04.877]  If we don't identify these people and lay down to them, they win.
[00:19:05.297 --> 00:19:12.502]  If we start resisting them in the information war, and by physically being there and saying, we're taking the hill, you want to fight?
[00:19:12.602 --> 00:19:13.103]  Here we are.
[00:19:13.403 --> 00:19:14.123]  You start it first.
[00:19:14.143 --> 00:19:14.784]  See what happens.
[00:19:15.564 --> 00:19:16.084]  We win.
[00:19:16.365 --> 00:19:17.865]  We get stronger, they get weaker.
[00:19:18.046 --> 00:19:19.747]  We're getting stronger, they're getting weaker.
[00:19:19.927 --> 00:19:21.528]  You're seeing death throes right now.
[00:19:21.808 --> 00:19:25.630]  They've been spending decades rotting out Europe and rotting out the United States for their takeover.
[00:19:26.210 --> 00:19:27.411]  And now we've identified it.
[00:19:27.431 --> 00:19:28.752]  The people know what's going on.
[00:19:28.952 --> 00:19:29.913]  We're moving against it.
[00:19:30.113 --> 00:19:32.054]  We're getting stronger, they're getting weaker.
[00:19:32.434 --> 00:19:34.295]  We're getting stronger, they're getting weaker.
[00:19:34.855 --> 00:19:36.677]  We're getting stronger, they're getting weaker.
[00:19:36.977 --> 00:19:41.239]  Day by day, and they're panicking, and they're throwing everything they've got at us in desperation.
[00:19:41.339 --> 00:19:42.300]  They admit they're desperate.
[00:19:43.496 --> 00:19:47.420]  I'm never stopping, I'm never backing down, I'm never giving in, I'm never giving up.
[00:19:47.580 --> 00:19:57.410]  Ever, ever, ever, ever, ever, ever in the face of people that wear the uniforms of the greatest mass murderers in history and are allied against our republic.
[00:19:57.810 --> 00:19:58.691]  We'll be back, stay with me.
[00:20:09.817 --> 00:20:13.246]  I cannot help asking those who have caused this situation.
