[00:00:00.029 --> 00:00:00.529]  Tip of the week.
[00:06:34.369 --> 00:06:37.211]  And diet and exercise only helped me lose 20 or so.
[00:06:37.831 --> 00:06:55.943]  But when I started using the natural products that God gave us through Mother Nature, and when we developed Supramental Vitality and the Good Halogen X2 and things like Secret 12, that is true, organic, absorbable, bioavailable B12, it changed my life.
[00:06:57.094 --> 00:06:59.676]  I have lost 50, 60 pounds of fat.
[00:07:00.637 --> 00:07:00.997]  Or more.
[00:07:01.057 --> 00:07:02.918]  I've gained 20 pounds of muscle.
[00:07:03.499 --> 00:07:05.520]  I'm stronger than I was when I was 22.
[00:07:06.180 --> 00:07:08.442]  But I could bench press close to 400 pounds and squat 600.
[00:07:08.542 --> 00:07:10.323]  It's actually scary.
[00:07:11.204 --> 00:07:16.448]  And it's because I take products that are researchers developed that block
[00:07:17.364 --> 00:07:21.267]  The estrogen mimickers that basically feminize men.
[00:07:22.268 --> 00:07:35.699]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support InfoWars and our fight to promote human liberty and freedom worldwide.
[00:07:36.180 --> 00:07:40.123]  Start your journey towards normal human metabolic activity today.
[00:07:40.804 --> 00:07:42.245]  Counteract the globalist onslaught.
[00:07:42.705 --> 00:07:44.547]  It starts at InfoWarsLife.com.
[00:07:45.922 --> 00:07:48.843]  Special Forces selection, it's not like you could ever take the easy road.
[00:07:49.143 --> 00:07:53.083]  Now you can't take steroids to make, you know, being a Special Forces operator easy.
[00:07:53.104 --> 00:07:59.405]  I'm always looking for the best and natural way to get myself to the limit.
[00:07:59.425 --> 00:08:01.085]  I have to have the edge in my performance.
[00:08:01.165 --> 00:08:04.946]  I believe that Super Male Vitality, you know, that gives me the edge.
[00:08:04.966 --> 00:08:09.567]  I've been taking it, and I'm still getting faster and stronger every day.
[00:08:09.807 --> 00:08:14.288]  Start your journey to Super Male Vitality today at InfoWarsLife.com
[00:08:29.538 --> 00:08:30.619]  Oh man, I'm angry!
[00:08:33.060 --> 00:08:47.506]  They've been running the clock on us.
[00:08:48.326 --> 00:08:53.749]  We've been hearing for a year that Comey is a tough guy and is gonna indict Hillary.
[00:08:54.149 --> 00:08:56.650]  Because after all they have to, look what they did to Petraeus for far less.
[00:08:58.038 --> 00:09:04.820]  It's not just her engaged in espionage, putting classified material on a server, and then foreign donors giving her money to her foundation.
[00:09:04.840 --> 00:09:08.041]  That's what it was, was a drop box in my educated, researched view.
[00:09:08.061 --> 00:09:13.442]  The bottom line is she knew what she was doing, so regardless, it's espionage.
[00:09:13.562 --> 00:09:15.003]  Where are the espionage charges?
[00:09:15.063 --> 00:09:19.524]  Forget violating, you know, the National Security Act or whatever.
[00:09:19.564 --> 00:09:22.325]  Forget violating a secrecy act with secret documents.
[00:09:22.345 --> 00:09:22.945]  That's bad enough.
[00:09:22.965 --> 00:09:26.546]  It's nothing compared to the willful intent of knowing you're on a compromised server.
[00:09:27.645 --> 00:09:29.886]  And then lying to the public and saying she didn't have the server.
[00:09:30.206 --> 00:09:31.627]  Or saying she didn't know it had been hacked.
[00:09:31.887 --> 00:09:33.227]  Or saying it never had been hacked.
[00:09:33.668 --> 00:09:35.828]  Just a few months ago, our reporters talked to her on the campaign trail.
[00:09:36.089 --> 00:09:40.731]  She was still saying her servers weren't hacked when everyone knew a year ago they were.
[00:09:41.891 --> 00:09:44.112]  And now the FBI director's come out and said they were hacked.
[00:09:46.752 --> 00:09:57.900]  It was very frustrating watching the press conference because he says all the horrible things she's done, or he says a lot of it, and then he just says, by the way, we're not going to indict because no reasonable prosecutor could prosecute her with this information.
[00:09:58.080 --> 00:09:58.320]  What?
[00:10:00.402 --> 00:10:10.429]  Ladies and gentlemen, the lying to federal officers, the lying to Congress, changing her story so many times, it makes my head spin.
[00:10:12.310 --> 00:10:13.631]  You have her right there.
[00:10:16.721 --> 00:10:25.025]  And then you've got her getting money from third-world dictators to then take restrictions off the State Department for technology and weapons transfers.
[00:10:25.325 --> 00:10:26.666]  That's a whole separate area.
[00:10:27.026 --> 00:10:31.488]  And the missile secrets in the 90s, the Communist Chinese, on and on and on.
[00:10:31.808 --> 00:10:33.429]  Roger Stone's coming on about it today.
[00:10:33.449 --> 00:10:41.833]  We're going to repost the top of InfoWars.com, a story he wrote for us exclusively for July 4th, that gets into reminding folks the documented
[00:10:42.950 --> 00:11:11.992]  Technology, the entire system, the miniaturization systems, the re-entry systems, the multiple warhead targeting systems, the MIRV technology, the first stage boost technology, the second stage boost technology, the re-entry technology, the GPS systems, everything, the entire shop of ICBM technology developed here in the United States.
[00:11:15.407 --> 00:11:27.751]  Second to none, the German technology we hadn't developed by the 60s is better than what the Russians have today, but all the designs were accidentally destroyed.
[00:11:30.372 --> 00:11:34.653]  To a whole group of rockets, not just the Saturn series.
[00:11:35.333 --> 00:11:40.275]  And I don't want to digress, but this is the deliberate sabotage of this country.
[00:11:41.806 --> 00:11:47.771]  By the way, the Russians have the best super-heavy boosters, but a bunch of other classes in the United States have better ones.
[00:11:48.171 --> 00:11:55.998]  And the point is, is that we have to go to Russia now to get our boosters, and then what was left of our technology was given to the Communist Chinese.
[00:11:56.038 --> 00:12:01.263]  I mean, this is just the most flagrant, over-the-top, ridiculous treason you could imagine.
[00:12:02.435 --> 00:12:03.236]  But I'm digressing.
[00:12:03.276 --> 00:12:05.397]  Today I want to talk about the crimes of Hillary Clinton.
[00:12:06.057 --> 00:12:11.861]  Because the court of public opinion, they may think they're above the law and have declared independence against the people and against rule of law.
[00:12:12.021 --> 00:12:12.922]  But let me tell you something.
[00:12:13.182 --> 00:12:14.963]  You can't stop the court of public opinion.
[00:12:15.423 --> 00:12:21.087]  And you can't stop the American people across the board realizing that under this globalist economic system we're being screwed over.
[00:12:21.607 --> 00:12:25.669]  And Obama was used as the leftist front to get that globalist, corporatist agenda through.
[00:12:25.890 --> 00:12:29.332]  And now they're going to have the ridiculous stunt of a woman
[00:12:29.932 --> 00:12:32.673]  With her female running mate, is the word.
[00:12:33.394 --> 00:12:34.955]  And that half her cabinet will be women.
[00:12:35.235 --> 00:12:37.676]  This is a total stunt gimmick.
[00:12:40.618 --> 00:12:43.259]  Absolute, complete gimmick.
[00:12:45.620 --> 00:12:51.043]  And so we're gonna get to hear that we're against women now because we're against this crime boss, Hillary Clinton.
[00:12:52.784 --> 00:12:55.646]  And she stole the nomination openly from Bernie Sanders.
[00:12:56.266 --> 00:12:56.666]  Openly!
[00:12:56.906 --> 00:12:57.887]  And of course he rolled over.
[00:12:59.147 --> 00:13:05.670]  And just everything's being given to her because she is so incredibly compromised.
[00:13:10.533 --> 00:13:11.773]  And now there's new reports out.
[00:13:11.833 --> 00:13:18.216]  Huma, Hillary flouted protocol, used burn bags and destroyed documents prohibited by federal regulations and laws.
[00:13:21.038 --> 00:13:27.761]  Aberdeen also admitted to being aware of her obligation to delete federal records or destroy federal records.
[00:13:31.658 --> 00:13:35.159]  Again, aware of her obligation NOT to delete federal records.
[00:13:35.420 --> 00:13:37.841]  NOT to delete federal records, or store federal records.
[00:13:38.141 --> 00:13:45.043]  So they're all admitting that they broke the law now, and saying that they were ordered to do this by Hillary, and it's like, it's okay!
[00:13:45.504 --> 00:13:49.425]  As long as you all say she ordered you to do it, she's above the law, so everybody gets a pass.
[00:13:50.906 --> 00:13:54.627]  So there's the headline, FBI recommends no charges against Clinton in email probe.
[00:13:54.947 --> 00:13:58.529]  I had Dan Bongino, senior retired Secret Service agent,
[00:14:00.538 --> 00:14:02.158]  And he's like, no, no, they're going to indict her.
[00:14:02.179 --> 00:14:02.779]  That's the word.
[00:14:02.879 --> 00:14:03.399]  No, they're not.
[00:14:07.040 --> 00:14:10.241]  Because we have the word directly from the highest levels.
[00:14:11.701 --> 00:14:17.063]  And we told you here last week that she would not be indicted with Larry Nichols and with others.
[00:14:17.963 --> 00:14:23.105]  And Trump, you notice, came out a day before anybody else did and said, the word is no indictment for Crooked Hillary.
[00:14:25.916 --> 00:14:31.837]  Because don't think for a minute the average FBI agent, and even senior people, are not completely freaked out by this.
[00:14:32.137 --> 00:14:37.738]  This woman is completely, absolutely, a total megalomaniac.
[00:14:38.658 --> 00:14:46.120]  In fact, I took an image of her today that really shows her evil, and I tweeted it out at Real Alex Jones, at least I was getting ready to when we were about to go live.
[00:14:46.140 --> 00:14:47.480]  I asked Don to do it, he's probably already done it.
[00:14:47.840 --> 00:14:49.501]  Can you guys go to my Twitter for TV viewers?
[00:14:49.521 --> 00:14:51.381]  I want to show folks the tweet I put out.
[00:14:52.498 --> 00:15:12.924]  And then I'm going to go to Trump's tweet and just read through these, and just imagine having this guy as president versus Hillary, who CNN had up there in a white outfit like she was a goddess, and then flared the iris up where she burns like a god, and they said, Golden God, this is who the power structure wants.
[00:15:14.022 --> 00:15:21.445]  And because she will be like a god politically, when all these criminals get behind her and make her above the law, she can do anything she wants.
[00:15:21.505 --> 00:15:22.625]  And she said what that is.
[00:15:23.005 --> 00:15:27.747]  Start a bunch of wars, jack up taxes, come after our guns, go after bitter clingers.
[00:15:27.907 --> 00:15:28.307]  It's on.
[00:15:29.427 --> 00:15:30.508]  Let's go back to my Twitter, please.
[00:15:31.088 --> 00:15:31.828]  Real Alex Jones.
[00:15:35.329 --> 00:15:36.710]  Very evil image of Hillary.
[00:15:36.730 --> 00:15:37.230]  Yeah, there it is.
[00:15:37.290 --> 00:15:37.590]  There it is.
[00:15:37.630 --> 00:15:38.210]  Scroll back down.
[00:15:40.891 --> 00:15:41.231]  There you go.
[00:15:41.291 --> 00:15:42.492]  Look at that look on her face.
[00:15:42.512 --> 00:15:43.252]  If you're a radio listener,
[00:15:44.511 --> 00:15:45.492]  I'll go to Real Alex Jones.
[00:15:45.972 --> 00:15:52.777]  By the way, it's come out that Hillary has 90-something percent fake Twitter followers, and so does Obama, and so does Michelle Obama.
[00:15:52.997 --> 00:15:54.518]  We don't have any fake followers.
[00:15:54.558 --> 00:15:55.979]  We don't want fake followers.
[00:15:56.339 --> 00:16:02.743]  I can go out and buy 10 million followers for like $20,000, and most of them aren't even real people, and then say how big I am on Twitter.
[00:16:03.404 --> 00:16:05.685]  Are 3 million people that follow us on Facebook real?
[00:16:06.386 --> 00:16:09.087]  400,000 people that follow us on Twitter, all together it's about a million?
[00:16:09.448 --> 00:16:09.688]  Real.
[00:16:10.609 --> 00:16:17.814]  But you do need to follow us there, because we were kind of late to the game getting into Twitter years ago, and it's important to be able to stay in contact with you on more platforms.
[00:16:18.534 --> 00:16:26.740]  But going back to the image that says it all, there's certainly a Ben Garrison image that says, I'm with her, the Grim Reaper, showing all the different wars she started and lied about.
[00:16:27.480 --> 00:16:31.803]  And then I see some leftists going, oh, but it was okay when George Bush did it.
[00:16:32.183 --> 00:16:33.424]  No, we were against that.
[00:16:33.744 --> 00:16:34.605]  The difference is,
[00:16:36.058 --> 00:16:52.593]  Bush didn't actually openly aid ISIS and Al-Qaeda to go in and overthrow Christian countries and our allies like Egypt, or double-cross Qaddafi and set him up, or double-cross Assad to try to put ISIS in that's, let's be conservative, 50 times worse than Assad?
[00:16:53.954 --> 00:16:56.056]  Overthrowing our 30-plus-year allies?
[00:16:58.148 --> 00:17:00.929]  Who were pro-Western and had brought real stability to Egypt.
[00:17:01.209 --> 00:17:06.811]  They overthrew them and they blew up more than 300 churches and killed over 100,000 Christians.
[00:17:07.792 --> 00:17:10.633]  And the Egyptian military said, why are you backing ISIS and Al-Qaeda?
[00:17:11.733 --> 00:17:12.753]  Before it was even known as ISIS.
[00:17:14.174 --> 00:17:15.274]  That's what our government did.
[00:17:16.115 --> 00:17:17.255]  That's who Hillary's behind.
[00:17:17.575 --> 00:17:18.556]  That's who she works with.
[00:17:18.796 --> 00:17:19.636]  That's who these people are.
[00:17:19.656 --> 00:17:22.077]  They are out to get us, folks.
[00:17:23.197 --> 00:17:24.338]  They're not playing games.
[00:17:26.323 --> 00:17:27.003]  They're bizarre.
[00:17:27.783 --> 00:17:30.884]  And Hillary's promising to go to the center if she gets elected.
[00:17:31.305 --> 00:17:31.645]  Bull!
[00:17:32.805 --> 00:17:34.366]  She is never going to stop.
[00:17:34.426 --> 00:17:37.427]  She is going to go for total broke once she's in office.
[00:17:37.467 --> 00:17:39.287]  And this is America's make it or break it time.
[00:17:39.307 --> 00:17:48.130]  And I'm here to tell you, everybody is going to rue the day that we didn't stop Hillary Clinton.
[00:17:50.031 --> 00:17:52.011]  I don't enjoy going up against a crime boss like her.
[00:17:52.032 --> 00:17:58.773]  I don't enjoy actually mobilizing people nationwide in something that is, at my level, a very dangerous exercise.
[00:17:59.033 --> 00:17:59.853]  I'm a father of three.
[00:18:02.034 --> 00:18:06.075]  But I'm here to tell you, my children have no future in the long term if we don't turn this around.
[00:18:06.115 --> 00:18:07.295]  So I'm all in.
[00:18:07.535 --> 00:18:08.796]  And I know you're all in as well.
[00:18:09.116 --> 00:18:12.056]  And believe me, Bill Clinton looks like he's about to die any minute.
[00:18:12.296 --> 00:18:13.977]  Hillary Clinton looks completely mentally ill.
[00:18:15.788 --> 00:18:21.349]  Even if she gets into office, though, I think she'll end up collapsing or going insane or something, because she's definitely mentally ill.
[00:18:21.669 --> 00:18:22.570]  She's definitely on drugs.
[00:18:22.870 --> 00:18:23.790]  She's definitely burnt out.
[00:18:23.850 --> 00:18:25.090]  So don't worry.
[00:18:25.130 --> 00:18:26.270]  God works in mysterious ways.
[00:18:26.610 --> 00:18:29.451]  We've just got to do the right thing, and God will carry us the rest of the way with Providence.
[00:18:29.611 --> 00:18:31.332]  Because there's a lot of awakening happening right now.
[00:18:32.932 --> 00:18:33.372]  And who knows?
[00:18:33.392 --> 00:18:37.833]  They may bring Hillary in, and then the global collapse happens, and world government gets in more trouble.
[00:18:37.853 --> 00:18:41.694]  Look at the British exit, and what's happening with 30 nations wanting to leave the euro right now.
[00:18:43.191 --> 00:18:47.194]  So, you know what, we just gotta move forward, do the right thing, justice be done, may the heavens fall.
[00:18:48.235 --> 00:18:55.300]  Now, I'm gonna open the phones up, and I want first-time callers of the first round to be able to speak specifically to the non-indictment and where you think this is going.
[00:18:55.320 --> 00:18:57.322]  Do you think there'll be talk of other indictments?
[00:18:57.882 --> 00:19:00.224]  I think this shows the sky's the limit for the establishment.
[00:19:00.584 --> 00:19:05.027]  I think this shows a blank check, a declaration of independence against due process, but I wanna know
[00:19:05.808 --> 00:19:07.489]  And a declaration of independence against justice.
[00:19:08.110 --> 00:19:12.213]  And a declaration of independence by the criminals on July 4th against the American people.
[00:19:12.493 --> 00:19:13.293]  That's what this is all about.
[00:19:13.313 --> 00:19:13.774]  800-259-9231.
[00:19:13.794 --> 00:19:13.934]  800-259-9231.
[00:19:14.014 --> 00:19:18.337]  And we'll get you up and on the air.
[00:19:18.417 --> 00:19:22.440]  What do you think the next shoot-a-drop will be?
[00:19:23.761 --> 00:19:25.682]  But let's go out to break with Crooked Hillary.
[00:19:25.702 --> 00:19:27.323]  This is the FBI Director.
[00:19:27.824 --> 00:19:28.824]  Recommends no charges.
[00:19:28.865 --> 00:19:29.165]  Here it is.
[00:19:30.675 --> 00:19:41.499]  Although there is evidence of potential violations of the statutes regarding the handling of classified information, our judgment is that no reasonable prosecutor would bring such a case.
[00:19:43.060 --> 00:19:47.282]  Prosecutors necessarily weigh a number of factors before deciding whether to bring charges.
[00:19:47.742 --> 00:19:51.864]  There are obvious considerations like the strength of the evidence, especially regarding intent.
[00:19:52.724 --> 00:19:59.707]  Responsible decisions also consider the context of a person's actions and how similar situations have been handled in the past.
[00:20:01.710 --> 00:20:03.433]  In similar situations, they've indicted people.
[00:20:03.453 --> 00:20:12.548]  And what you have done here, a little bit of a Freudian slip there, is they set a precedent now where prosecutors are going to say, oh, you got thousands of documents foreign governments are accessing, every one of them is a felony.
[00:20:12.669 --> 00:20:13.169]  That's okay.
[00:20:14.679 --> 00:20:15.159]  Not a group.
[00:20:15.199 --> 00:20:16.600]  You developed Living Defense for us.
[00:20:16.620 --> 00:20:17.741]  It took you over a year to do it.
[00:20:17.981 --> 00:20:18.902]  Why is this show good?
[00:20:19.182 --> 00:20:24.426]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:20:24.506 --> 00:20:38.076]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:20:38.116 --> 00:20:39.517]  Right now with all the refugees,
[00:20:40.417 --> 00:20:41.839]  Spreading disease around.
[00:20:41.919 --> 00:20:44.421]  We have biological warfare going on everywhere.
[00:20:44.521 --> 00:20:45.782]  These are all parasites.
[00:20:45.822 --> 00:20:46.923]  Tell us about all the stuff that's in it.
[00:20:46.943 --> 00:20:48.004]  There's so many things that are in it.
[00:20:48.284 --> 00:20:54.830]  You have the neem in there, you have the organic clove bud, the organic wormwood, you have enzyme blend in there.
[00:20:54.850 --> 00:21:02.877]  And this is very important because a lot of these microorganisms and even going up to tapeworms, pinworms, you have to disintegrate the lining.
[00:21:02.897 --> 00:21:04.078]  I mean on viruses are
[00:21:04.258 --> 00:21:04.598]  We're good.
[00:21:28.061 --> 00:21:32.323]  It's hard to avoid attacking organisms and that's where I see this going.
[00:21:32.363 --> 00:21:39.847]  I mean, I think a lot of the information that we put out there and a lot of the products that we develop are specifically for that reason.
[00:21:39.907 --> 00:21:42.469]  To protect you against the endocrine disrupting chemicals.
[00:21:42.509 --> 00:21:44.830]  To protect you against all those chemicals and toxins.
[00:21:45.050 --> 00:21:55.936]  So we actually design the living defense and put in a specific blend of enzymes which actually chew and eat through the lining of these different organisms.
[00:21:56.536 --> 00:21:58.157]  So the Living Defense is amazing.
[00:21:58.397 --> 00:22:00.679]  We've seen just tremendous reviews.
[00:22:01.339 --> 00:22:03.501]  How often should you take Living Defense?
[00:22:03.581 --> 00:22:04.882]  I mean, is it a regimen every day?
[00:22:04.942 --> 00:22:06.763]  That's what I was doing until we ran out.
[00:22:07.083 --> 00:22:08.804]  Or do you do it heavier for certain cleanses?
[00:22:08.824 --> 00:22:09.665]  What do you do, Dr. Group?
[00:22:10.345 --> 00:22:21.933]  Well, I do usually six weeks at a time because if you look at the life cycle of most parasites, it's six weeks from the time... So you've got to kill the ones that are in there and then kill their babies when the eggs hatch out.
[00:22:22.233 --> 00:22:36.825]  If you're suffering from abdominal pain, allergies, even like headaches, anemia, weakened immune system, gut problems, depression, hair loss, excess gas, muscle pain, nervousness, I mean all these things.
[00:22:36.865 --> 00:22:43.951]  If you look at some of these conditions and then us opening up our borders and all the other countries opening up their borders.
[00:22:44.491 --> 00:22:54.936]  You're just dealing with a mass amount of parasites or harmful organisms or biological weapons that are spreading and mutating all across the world.
[00:22:54.976 --> 00:22:56.616]  And I think that's one of the reasons why.
[00:22:56.636 --> 00:22:59.137]  I mean, all you have to do is look at the news these days.
[00:22:59.678 --> 00:23:02.099]  You can type in refugees spreading disease.
[00:23:02.159 --> 00:23:04.400]  I mean, the CDC is going crazy right now.
[00:23:05.060 --> 00:23:09.482]  There's a new antibiotic-resistant E. coli that they just identified.
[00:23:09.602 --> 00:23:10.682]  Doctors don't know.
[00:23:10.782 --> 00:23:14.404]  They don't teach doctors in medical school about parasites and harmful organisms.
[00:23:14.444 --> 00:23:16.565]  There's a reason why they don't teach them about that.
[00:23:16.665 --> 00:23:22.628]  Just like they don't teach doctors about the root cause of disease and how to eliminate all disease out there.
[00:23:22.688 --> 00:23:24.088]  They don't want you to know about it.
[00:23:24.348 --> 00:23:27.049]  You don't want your own immune system being attacked.
[00:23:27.310 --> 00:23:30.691]  Again, you know, you have animals, especially your cats, dogs.
[00:23:30.731 --> 00:23:32.552]  So many people have pets these days.
[00:23:33.052 --> 00:23:34.453]  People eat raw sushi.
[00:23:34.853 --> 00:23:36.495]  People eat more raw food.
[00:23:36.535 --> 00:23:40.738]  You have all these different organisms showing up in the water supplies now.
[00:23:41.238 --> 00:23:44.581]  You even have it in the air supplies, these tiny microorganisms.
[00:23:44.621 --> 00:23:47.423]  So it's not like we can get away from them.
[00:23:47.503 --> 00:23:48.964]  We just have to do everything.
[00:23:49.064 --> 00:23:50.546]  I recommend doing a parasite
[00:23:51.286 --> 00:23:52.647]  Plans at least twice a year.
[00:23:52.667 --> 00:23:55.929]  Alright, well I'm glad we've got some back in because I'm going back on it today.
[00:23:55.949 --> 00:23:56.950]  It just came back in yesterday.
[00:23:57.010 --> 00:23:57.530]  Living Defense.
[00:23:57.850 --> 00:23:58.891]  Infowarslife.com.
[00:23:58.951 --> 00:23:59.971]  And folks, you can't lose.
[00:23:59.991 --> 00:24:02.073]  It's full of stuff that's great for your body, period.
[00:24:02.693 --> 00:24:04.574]  And you support the broadcast.
[00:24:04.634 --> 00:24:05.715]  Infowarslife.com.
[00:24:05.995 --> 00:24:07.876]  Thank you, Dr. Group from the Global Healing Center.
[00:24:08.257 --> 00:24:10.198]  Thank you so much for all your work, sir, on this great product.
[00:24:26.565 --> 00:24:29.366]  So the world really is divided into two different groups of people.
[00:24:30.566 --> 00:24:32.987]  Those that are informed and those that are uninformed.
[00:24:34.648 --> 00:24:37.328]  There are some people that are informed that are trying to build a free open society.
