[00:00:07.557 --> 00:00:09.478]  Leanne McAdoo for InfoWars.com.
[00:02:11.519 --> 00:02:13.681]  It's kind of odd to not be allowed to carry it.
[00:02:14.761 --> 00:02:15.702]  That's how I feel about it.
[00:02:15.722 --> 00:02:18.024]  It lets you know who has the weapon.
[00:02:18.584 --> 00:02:20.686]  There's people walking around with them concealed anyways.
[00:02:20.746 --> 00:02:21.607]  I think that's scarier.
[00:02:22.307 --> 00:02:26.911]  Would you continue to go to a business that allowed people to bring in their guns?
[00:02:28.612 --> 00:02:31.654]  Yeah, I think, I mean, I think I would.
[00:02:31.674 --> 00:02:34.056]  I wouldn't like boycott them.
[00:02:34.676 --> 00:02:37.899]  If I was in a circumstance where I felt uncomfortable or something, I might leave, but
[00:02:38.700 --> 00:02:39.841]  I wouldn't make a big point out of it.
[00:02:40.021 --> 00:02:41.862]  She said she wants more regulations.
[00:02:42.022 --> 00:02:50.929]  Well, people that are law-abiding citizens are now having more regulations placed upon them, and criminals will, in fact, skirt the law anyway.
[00:02:51.049 --> 00:02:52.390]  So to me, it's ridiculous.
[00:02:52.870 --> 00:02:54.631]  Are you aware of what's going on in Oregon right now?
[00:02:55.152 --> 00:02:55.432]  Yeah.
[00:02:56.052 --> 00:02:59.515]  I'm aware, but I haven't, like, read a lot of details about it.
[00:02:59.755 --> 00:03:04.778]  The President is about to come out on Thursday calling for more gun control regulations.
[00:03:05.179 --> 00:03:11.282]  Do you think something like that is going to cause the country to be in support of more gun control?
[00:03:11.563 --> 00:03:15.505]  Or do you think that they're going to be proud of Americans standing up?
[00:03:16.346 --> 00:03:21.789]  I think whoever is already against and for gun control is just going to sway them more either way.
[00:03:21.809 --> 00:03:24.371]  I don't think it's going to change anyone's mind.
[00:03:24.656 --> 00:03:26.358]  I don't think it's going to be bringing people together.
[00:03:27.039 --> 00:03:29.481]  People are going to interpret it how they see it.
[00:03:29.561 --> 00:03:39.152]  They're going to either be on the side that thinks, oh man, this is what needs to be done, give an inch and take a mile, and the other side is, oh, this is so typical.
[00:03:39.172 --> 00:03:42.716]  There's a lot of people that feel like the federal government overreaches what
[00:03:43.536 --> 00:03:44.396]  What it's there for.
[00:03:45.297 --> 00:03:47.138]  That's what they feel like up there, obviously.
[00:03:47.158 --> 00:03:49.839]  In a lot of cases, that's what I feel like.
[00:03:51.520 --> 00:03:58.623]  I haven't had a situation where I felt compelled to gather some fellow citizens and take over a building.
[00:03:59.783 --> 00:04:10.128]  I'm also not a rancher that lost their livelihood because the federal government decided they were going to take some land or stop letting someone use my land or stop letting me use land.
[00:04:12.509 --> 00:04:25.998]  So I mean I definitely I get where they're coming from but I'm gonna have to read about it more for sure to decide whether I think they're going totally overboard or maybe they're just having the guts to do something that somebody's got to do.
[00:04:26.018 --> 00:04:32.442]  I think things should be done legally all right and do I actually think that's gonna hinder it?
[00:04:33.237 --> 00:04:36.218]  No, I think Obama's going to do what Obama wants to do.
[00:04:36.238 --> 00:04:43.721]  He's in his lame duck term as president and he's just going to try to flex whatever muscle he thinks he can do and try to get away with it.
[00:04:44.241 --> 00:04:45.562]  He's going to do the right thing.
[00:05:07.057 --> 00:05:12.062]  Introducing Secret 12, the new InfoWars Life vitamin B12 formulation.
[00:05:12.282 --> 00:05:18.407]  Most forms of vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[00:05:18.608 --> 00:05:25.554]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[00:05:25.914 --> 00:05:35.838]  Now, InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[00:05:36.418 --> 00:05:42.321]  Secret 12 is a binary of nutrimedical-grade, bioavailable, coenzyme forms of B12.
[00:05:42.581 --> 00:05:45.262]  Methylcobalamin, the same kind used in B12 injections.
[00:05:46.062 --> 00:05:47.163]  Adenosylcobalamin.
[00:05:47.403 --> 00:05:50.745]  Secret 12 is simply taken by mouth, lied on the tongue, and then swallowed.
[00:05:51.005 --> 00:05:52.626]  No needles, no injections.
[00:05:52.887 --> 00:05:54.367]  Don't take my word for it.
[00:05:54.548 --> 00:05:55.568]  Try it for yourself.
[00:05:55.748 --> 00:05:56.749]  Discover the secret.
[00:05:56.989 --> 00:05:57.309]  Secret 12.
[00:05:58.050 --> 00:06:03.213]  Secure your revolutionary Secret 12 formula right now at Infowarslife.com or call 888-253-3139.
