[00:00:00.189 --> 00:00:01.250]  It's Alex Jones!
[00:10:02.283 --> 00:10:03.664]  Kim Jong-un has no dong.
[00:10:04.525 --> 00:10:09.490]  Maxine Waters, unfortunately, is a demented old woman.
[00:10:09.530 --> 00:10:19.339]  Now, we've got a report from John Bowne that also gets into the madness that is the Democratic nightmare, the Democrat Party nightmare.
[00:10:19.859 --> 00:10:21.241]  And here's that report from John Bowne.
[00:10:27.170 --> 00:10:29.350]  I'm not gonna sit here and take it anymore!
[00:10:30.071 --> 00:10:31.531]  That would be the height of stupidity.
[00:10:32.491 --> 00:10:34.111]  With stiff competition, mind you.
[00:10:34.431 --> 00:10:37.572]  But nonetheless, the height of stupidity to date.
[00:10:38.112 --> 00:10:52.795]  Emboldened by the Mockingbird mainstream media's anti-Trump narrative, the Democrats are on a rampage of disinformation, clawing at the undeniable success of President Trump's first hundred days, regardless of the Democrats' best efforts to undermine it.
[00:10:53.055 --> 00:11:04.340]  If the first hundred days is any indication, we're just headed to failure because the working people of America who thought Trump was going to help them have seen promise after promise broken or unfulfilled.
[00:11:04.900 --> 00:11:07.241]  Some people have asked me what grade would I give him.
[00:11:08.062 --> 00:11:09.882]  We could take it subject by subject.
[00:11:10.823 --> 00:11:14.084]  Broken promises on jobs and infrastructure.
[00:11:15.165 --> 00:11:15.185]  F.
[00:11:16.172 --> 00:11:17.794]  We haven't seen a jobs bill.
[00:11:17.974 --> 00:11:21.319]  We haven't seen an infrastructure bill for all the talk.
[00:11:22.100 --> 00:11:25.204]  F. Broken promises on America's healthcare.
[00:11:25.985 --> 00:11:26.906]  F minus.
[00:11:27.647 --> 00:11:29.510]  So, drain the swamp, F2, yeah.
[00:11:29.930 --> 00:11:33.355]  Senator McConnell wanted me to negotiate the wall with President Trump.
[00:11:33.995 --> 00:11:35.116]  I said to him two things.
[00:11:35.156 --> 00:11:36.676]  First, it's not a negotiation.
[00:11:36.916 --> 00:11:37.437]  No wall.
[00:11:37.637 --> 00:11:43.259]  Do you agree with Nancy Pelosi that the border wall is immoral, expensive, and unwise?
[00:11:43.820 --> 00:11:44.860]  Absolutely not.
[00:11:45.240 --> 00:11:47.941]  You know, she talks about splitting the community up.
[00:11:48.402 --> 00:11:55.245]  All the communities that I know about, all of the cities along the border, already have high fences.
[00:11:57.066 --> 00:11:59.947]  Where the wall is necessary,
[00:12:01.228 --> 00:12:08.414]  ...is in a lot of the outlying areas that still only have a four-wire barbed wire fence between Mexico and us.
[00:12:08.554 --> 00:12:14.359]  Sure, and you... John, how much of a reduction have you seen since Donald Trump has been President of the United States?
[00:12:14.879 --> 00:12:16.901]  Well, it's 90%, 95%.
[00:12:18.502 --> 00:12:21.665]  The minute they cast that vote, they put doo-doo on their shoe.
[00:12:22.826 --> 00:12:24.327]  Tattoo on their forehead.
[00:12:24.887 --> 00:12:26.409]  And they have to explain it to their children.
[00:12:27.458 --> 00:12:29.559]  And then, say they pass it.
[00:12:30.080 --> 00:12:30.680]  Even worse.
[00:12:31.620 --> 00:12:33.041]  They really have to be accountable.
[00:12:33.381 --> 00:12:35.823]  Largely unpassable in the Senate.
[00:12:36.203 --> 00:12:37.524]  Walk the plank for nothing.
[00:12:38.044 --> 00:12:39.165]  Thank you, Mr. President.
[00:12:39.844 --> 00:12:47.930]  President Trump has successfully sat at the bargaining table with a slew of American companies to bring the jobs back to the United States.
[00:12:48.130 --> 00:12:50.152]  The stock market is at record highs.
[00:12:50.312 --> 00:12:55.796]  Trump decreased the national debt in his first month by $12 billion, over 0.1%.
[00:12:56.857 --> 00:13:00.060]  And ironically, even the weather appears to be cooperating.
[00:13:00.160 --> 00:13:08.066]  When not filled with seething vitriol, House Minority Leader Nancy Pelosi can't manage to string a sentence together.
[00:13:08.266 --> 00:13:13.349]  ...and Hassan Shourey for your well-deserved recognitions tonight.
[00:13:13.809 --> 00:13:25.416]  Today, the strong moral voice of Refugees International, we degrade our values and our security when we slam the door in the face of children fleeing atrocities.
[00:13:26.345 --> 00:13:37.058]  With the specter of famine looming over northeast Nigeria, Somalia, South Sudan, and Yemen, almost slashing the State Department budget.
[00:13:38.800 --> 00:13:43.602]  And DNC Chair Tom Perez is pushing the Democrats' message by relating to his apparent base of 15-year-olds.
[00:13:43.642 --> 00:13:44.022]  He's a damn liar!
[00:13:44.062 --> 00:13:44.943]  That's what I say, pal!
[00:14:07.034 --> 00:14:08.935]  You're damn right he's a liar!
[00:14:10.795 --> 00:14:12.916]  No one will lose coverage.
[00:14:13.697 --> 00:14:15.197]  That's bullsh**, my friends.
[00:14:17.578 --> 00:14:19.139]  Well, guess what happened?
[00:14:19.939 --> 00:14:24.281]  That turned out to be... Let me be more polite because I just saw a young child in the audience.
[00:14:24.621 --> 00:14:26.482]  That turned out to be a lie!
[00:14:27.362 --> 00:14:29.883]  That turned out to be faulty stuff!
[00:14:30.991 --> 00:14:35.114]  And the budget is another example of broken promises.
[00:14:35.414 --> 00:14:36.815]  The budget is bankrupt.
[00:14:37.235 --> 00:14:38.896]  They call it a skinny budget.
[00:14:39.657 --> 00:14:40.998]  I call it a shitty budget.
[00:14:41.958 --> 00:14:43.479]  Give it up, Pelosi and company.
[00:14:43.699 --> 00:14:46.101]  Donald Trump is your president.
[00:14:46.221 --> 00:14:51.624]  And the American people see right through the Democrats' deep state mouthpiece rhetoric.
[00:14:51.724 --> 00:14:53.566]  John Bowne for Infowars.com
[00:14:54.485 --> 00:14:59.168]  Wow, that was a lot to take in from the Democrats in one John Bowne report.
[00:14:59.329 --> 00:15:01.991]  Okay, let's start with Nancy Pelosi.
[00:15:03.932 --> 00:15:08.776]  I'm no doctor, but you have early onset signs of Alzheimer's.
[00:15:09.696 --> 00:15:10.377]  Maybe dementia.
[00:15:12.199 --> 00:15:13.860]  Perhaps you're a serious alcoholic.
[00:15:14.400 --> 00:15:23.703]  I don't know what you serve at the Three Goats Hill Pizza Shop that you own down there.
[00:15:24.543 --> 00:15:26.884]  I believe there's an offshore account associated with that as well.
[00:15:26.904 --> 00:15:29.025]  But let's get back to Nancy Pelosi's politics.
[00:15:29.145 --> 00:15:31.906]  Okay, so she wants to give Trump an F on draining the swamp.
[00:15:31.926 --> 00:15:32.326]  You know what?
[00:15:32.366 --> 00:15:34.067]  Trump could probably do better with draining the swamp.
[00:15:34.107 --> 00:15:34.647]  But you know what?
[00:15:35.187 --> 00:15:36.888]  It's up to the American people to drain the swamp.
[00:15:37.911 --> 00:15:40.412]  And to get people like Nancy Pelosi out of office.
[00:15:40.973 --> 00:15:45.235]  Now, I interviewed Omar Navarro last Friday, and he's running against Maxine Waters.
[00:15:45.275 --> 00:15:47.216]  He's gonna wipe the floor with her nice and easy.
[00:15:47.716 --> 00:15:54.500]  But with Chuck Schumer, Elizabeth Warren, Nancy Pelosi, I haven't really found anybody that's really pushing the rubber right now like Omar Navarro.
[00:15:54.940 --> 00:15:55.800]  Let's go, people!
[00:15:56.741 --> 00:15:57.601]  This is your chance.
[00:15:58.342 --> 00:15:59.262]  This is a lightweight.
[00:16:00.243 --> 00:16:03.324]  Nancy Pelosi, in fact, featherweight?
[00:16:04.205 --> 00:16:04.785]  No weight!
[00:16:05.805 --> 00:16:06.466]  Paperweight!
[00:16:07.642 --> 00:16:09.563]  Look at the woman you will be going up against.
[00:16:10.163 --> 00:16:11.103]  Nancy Pelosi.
[00:16:11.163 --> 00:16:13.304]  She can't even put two words together.
[00:16:14.605 --> 00:16:16.005]  And she's reading off of notes!
[00:16:17.926 --> 00:16:20.727]  Somebody, please, take her down!
[00:16:20.747 --> 00:16:23.588]  How can you not defeat this woman?
[00:16:23.848 --> 00:16:25.329]  She doesn't even live in the district.
[00:16:25.789 --> 00:16:27.590]  She spends all of her time in Washington.
[00:16:29.190 --> 00:16:29.731]  She's demented.
[00:16:30.291 --> 00:16:30.591]  Okay.
[00:16:31.491 --> 00:16:32.912]  Then you have Tom Perez.
[00:16:34.053 --> 00:16:34.893]  How about this guy?
[00:16:35.514 --> 00:16:38.776]  The Democrats are so upset with Trump's rhetoric.
[00:16:41.137 --> 00:16:41.797]  Nice, guys.
[00:16:42.058 --> 00:16:43.198]  There's Nancy Pelosi.
[00:16:45.259 --> 00:16:47.721]  Like, I guess like small face Nancy Pelosi.
[00:16:48.481 --> 00:16:53.784]  So the Democrats are all upset because apparently Trump's rhetoric, Trump has such a potty mouth.
[00:16:54.365 --> 00:17:01.469]  Then Tom Perez comes out here and curses God, dropping curse bombs left and right while they got children in the audience.
[00:17:04.124 --> 00:17:05.445]  Way to go, Tom Perez!
[00:17:06.166 --> 00:17:06.726]  Nice work!
[00:17:07.727 --> 00:17:09.508]  Real classy, those Democrats.
[00:17:09.788 --> 00:17:15.412]  And to think, these people, they wanted to put Hillary Clinton in office.
[00:17:15.573 --> 00:17:18.275]  It's truly, it's truly unbelievable.
[00:17:18.595 --> 00:17:22.257]  Let's get into some of the media wars going on right now.
[00:17:22.318 --> 00:17:23.819]  This is a story from the New York Post.
[00:17:24.319 --> 00:17:28.182]  Lawyer sued Times, CNN, Fox News for racial discrimination.
[00:17:28.242 --> 00:17:30.584]  Now, I'll be perfectly honest with you, these lawyers are out of control.
[00:17:31.561 --> 00:17:32.462]  They'll sue you for anything.
[00:17:32.842 --> 00:17:35.285]  The ACLU is an absurd group of lawyers.
[00:17:35.385 --> 00:17:36.767]  These lawyers need to be disbarred.
[00:17:37.928 --> 00:17:47.879]  However, when you have CNN involved in a lawsuit claiming they're racist, you really just have to let the irony of that sink in.
[00:17:51.222 --> 00:17:51.543]  Taste it.
[00:17:52.759 --> 00:17:56.240]  Taste that, Van Jones, with your white lash.
[00:17:57.221 --> 00:18:00.242]  CNN sued for racial discrimination, Van Jones.
[00:18:00.902 --> 00:18:06.585]  Now Sean Hannity is saying that the end of Fox is coming.
[00:18:07.423 --> 00:18:09.204]  The end of Fox, as we know it, is coming.
[00:18:09.224 --> 00:18:12.186]  Of course, Hannity is under the microscope.
[00:18:12.747 --> 00:18:14.768]  There is a changing of the guard in the media right now.
[00:18:15.088 --> 00:18:17.230]  But ESPN, they want to fail.
[00:18:17.330 --> 00:18:19.671]  Like it or not, ESPN isn't sticking to sports.
[00:18:20.051 --> 00:18:27.396]  This is the same ESPN that just had to fire a hundred people, including some of their most popular on-air personalities.
[00:18:27.857 --> 00:18:28.657]  They're fired.
[00:18:28.997 --> 00:18:29.318]  Why?
[00:18:29.378 --> 00:18:31.079]  Because they're not even covering sports anymore.
[00:18:31.319 --> 00:18:31.859]  But you know what?
[00:18:31.979 --> 00:18:34.541]  ESPN says, like good liberals, we're losing.
[00:18:34.601 --> 00:18:35.382]  We like losing.
[00:18:35.422 --> 00:18:37.243]  We're just going to keep losing.
[00:18:38.083 --> 00:18:48.990]  So ESPN will keep losing money, they're going to keep losing employees, and they will continue to keep losing the political battles that they engage in.
[00:18:49.350 --> 00:18:54.153]  We'll be right back with our guest Stephanie Hamill to talk about what is going on in Berkeley.
[00:18:54.233 --> 00:18:55.074]  Are they riding yet?
[00:18:55.134 --> 00:18:56.194]  Do they plan on riding?
[00:18:56.515 --> 00:18:57.555]  What is Antifa doing?
[00:18:57.815 --> 00:18:59.216]  What does Antifa really stand for?
[00:18:59.256 --> 00:19:00.357]  We've got that on the other side.
[00:19:03.616 --> 00:19:11.380]  Infowars has partnered with Defender Body Armor to bring you a new state-of-the-art line of advanced, highly tested body armor from InfowarsStore.com.
[00:19:11.600 --> 00:19:18.023]  Defender Body Armor is certified to protect against all handgun rounds and even armor-piercing FN 5.7 pistol rounds.
[00:19:18.263 --> 00:19:26.547]  The secret to Defender Body Armor is its proprietary processing technology that disperses more kinetic energy at a rate higher than any other traditional body armor.
[00:19:26.827 --> 00:19:35.577]  Using one of the strongest synthetic materials ever created, called Ultra High Molecular Weight Polyethylene, Defender Armor is also super compact and lightweight.
[00:19:35.837 --> 00:19:41.564]  There's a reason the Department of Defense chose Defender to manufacture their new line of advanced lightweight armor.
[00:19:41.924 --> 00:19:42.384]  It works.
[00:19:42.685 --> 00:19:50.989]  Defender Body Armor is made right here in America and has received the highest level Ballistic Resistance Certification from an authorized NIJ Ballistic Laboratory.
[00:19:51.009 --> 00:20:00.534]  Defender Body Armor is now available through InfoWarStore.com so you can defend yourself, your family, and finance the Info War against the globalists all at the same time.
[00:20:00.894 --> 00:20:01.374]  A total 360 win.
[00:20:03.479 --> 00:20:05.240]  You provided, Alex, with the caveman?
[00:20:05.261 --> 00:20:07.322]  Well, so we've been formulating this stuff for a while.
[00:20:07.382 --> 00:20:10.785]  We've been getting these different flavors and, you know, oh, I don't know about this one.
[00:20:11.245 --> 00:20:14.228]  You know, and so I've been taking that stuff and I'm an old man.
[00:20:14.248 --> 00:20:14.828]  I'm 42.
[00:20:14.868 --> 00:20:17.751]  I work out five times a week, if not more.
[00:20:17.931 --> 00:20:19.492]  I hear you're okay in jujitsu.
[00:20:19.953 --> 00:20:20.293]  Oh, no.
[00:20:21.334 --> 00:20:22.474]  No, I'm not.
[00:20:22.494 --> 00:20:23.155]  I'm terrible.
[00:20:23.195 --> 00:20:23.755]  I'm terrible.
[00:20:23.855 --> 00:20:31.000]  But, the point is, is that I have a lot of aches and shoulders and, you know, this weird joint stuff that I've had issues with for years.
[00:20:31.601 --> 00:20:38.826]  And this bone broth, the Caveman Bone Broth, along with our joint formula, has just worked magic for me.
[00:20:38.846 --> 00:20:42.328]  And that's just, you know, that's just from my personal experience.
[00:20:43.709 --> 00:20:48.955]  I think they're great products and I think if anybody else has those issues that you should definitely, you owe it to yourself to check it out.
[00:20:48.995 --> 00:20:52.079]  If I'm wrong, then hey man, write me a mean letter.
[00:20:52.479 --> 00:20:53.741]  But let me tell you, they work for me.
[00:20:53.761 --> 00:20:55.343]  Yeah, they work for me too.
[00:20:55.423 --> 00:20:56.564]  Actually, we were talking about this earlier.
[00:20:56.584 --> 00:21:03.773]  Dude and I play basketball and I'm just now, like for the first time in my life, I'm 27 now, after I play basketball my knees are barking.
[00:21:04.353 --> 00:21:06.274]  Yeah.
[00:21:06.314 --> 00:21:12.077]  But the bone broth and the joint formula, like you just said, you combine those two, I felt the difference immediately.
[00:21:12.097 --> 00:21:13.718]  I felt it immediately.
[00:21:13.738 --> 00:21:15.959]  Yeah, and it actually tastes good.
[00:21:16.039 --> 00:21:19.120]  Like, I'm really picky and I will drink it.
[00:21:19.140 --> 00:21:20.281]  It tastes good to me.
[00:21:20.381 --> 00:21:24.323]  I love chocolate, so I really like the flavor of the Caveman.
[00:21:24.363 --> 00:21:26.404]  So, I mean, if the bone broth
[00:21:29.105 --> 00:21:30.186]  Bone broth.
[00:21:30.246 --> 00:21:35.389]  If the bone broth is really that gross, I mean, I would never have known because it tastes really good.
[00:21:35.409 --> 00:21:39.151]  And my favorite is the Super Female Vitality.
[00:21:39.191 --> 00:21:46.956]  So ladies, get yourself some Super Female Vitality if you haven't already because it seriously, it just gets me going.
[00:21:47.016 --> 00:21:51.759]  I mean, I'll take a whole bunch of that stuff before I go out and do my... Maybe get it for your wife then, too, or girlfriend.
[00:21:52.900 --> 00:21:58.885]  I go and take a bunch of it before I go do Man on the Street and I just start running, zipping around, running right into the action.
[00:21:58.905 --> 00:22:00.506]  No fear, nothing, so.
[00:22:01.172 --> 00:22:08.515]  Well, that's a big primary part about, you know, fighting the globalists is making sure that we stay healthy and stay clear-eyed and stay honest and stay humble.
[00:22:09.056 --> 00:22:10.897]  I hope that we do that here at InfoWars.
[00:22:11.597 --> 00:22:22.162]  We got a lot going on and we're in the middle of the fight, so we really appreciate it when anybody supports us either by purchasing our products or you can even go on to our store and donate.
[00:22:22.202 --> 00:22:23.443]  We're doing this by the skin of our teeth.
[00:22:23.503 --> 00:22:28.345]  I know it looks like we're in a billion-dollar studio, but Alex has never taken one cent of
[00:22:30.846 --> 00:22:33.087]  I borrowed money at all whatsoever.
[00:22:33.147 --> 00:22:35.348]  This is all money that's come from you, the listeners.
[00:22:35.368 --> 00:22:43.432]  So you've literally built this place, you know, built this place with your compassion and built this place with the support that you've sent us.
[00:22:43.472 --> 00:22:46.793]  So from the bottom of my heart, I appreciate it because I know we wouldn't be able to do this.
[00:22:46.833 --> 00:22:49.674]  We wouldn't have a voice if it wasn't for you.
[00:22:49.774 --> 00:22:54.817]  So once again, we got to thank the listeners for their steadfastness in supporting us.
[00:22:55.877 --> 00:23:02.760]  Even when we make mistakes, and even when we're not right, and even when we might go a little bit crazy, you guys stick with us, and I appreciate that.
[00:23:04.521 --> 00:23:10.124]  Well, I am monitoring the situation in Berkeley right now, and it does appear that we've had our first arrest!
[00:23:10.604 --> 00:23:11.424]  How about that?
[00:23:12.265 --> 00:23:18.728]  It does not appear to be a member of Berkeley, but it is a black man, so CNN is already getting the
[00:23:19.733 --> 00:23:20.173]  Alert!
[00:23:20.374 --> 00:23:21.054]  Big news!
[00:23:21.314 --> 00:23:22.935]  Ready to go for that.
[00:23:23.336 --> 00:23:25.557]  With that, I bring in my guest Stephanie Hamill.
[00:23:25.577 --> 00:23:28.780]  She's going to be talking with us about the Berkeley situation out there.
[00:23:28.840 --> 00:23:31.061]  She is with the One American News Network.
[00:23:31.101 --> 00:23:32.703]  Stephanie, thank you so much for joining us tonight.
[00:23:33.363 --> 00:23:33.944]  Hi there, Owen.
[00:23:33.964 --> 00:23:34.724]  Thanks for having me.
[00:23:35.284 --> 00:23:38.087]  Well, obviously you know what's going on out there in California.
[00:23:38.107 --> 00:23:47.994]  I know that you're stationed out there, but the big story here to me is, and it's not getting covered like it should, is this is an attack on free speech, point blank.
[00:23:48.786 --> 00:23:51.427]  Yeah, huge attack on our First Amendment rights in general.
[00:23:51.467 --> 00:23:57.250]  And this is not just a Berkeley issue, this is an issue happening on campuses across the country.
[00:23:57.270 --> 00:23:58.991]  This is liberal lunacy.
