[00:00:22.406 --> 00:00:24.127]  Welcome to the NFOR's Nightly News.
[00:07:58.270 --> 00:08:00.271]  Those who are part of the establishment
[00:08:00.834 --> 00:08:11.837]  Those who are, as Bannon pointed out, the enemy, the mainstream media, as well as the Republican and Democrat establishment, those on Wall Street, were moving to try to get Bannon removed.
[00:08:12.398 --> 00:08:14.198]  And one of the things they were doing was ridiculing him.
[00:08:14.338 --> 00:08:17.459]  Ridiculing him and ridiculing Trump, saying Trump was not in control.
[00:08:18.239 --> 00:08:20.980]  And so we had a situation I thought was very interesting, very telling.
[00:08:21.220 --> 00:08:22.721]  Going back two months ago, February the 7th,
[00:08:23.800 --> 00:08:31.224]  The Hill says Bannon is flying too close to the sun and we had Donald Trump obviously was offended by all the talk that he was not in control.
[00:08:31.284 --> 00:08:36.587]  He tweeted out he said I call my own shots largely based on accumulation of data and everyone knows it.
[00:08:37.268 --> 00:08:40.870]  Now this was after this is just one hour.
[00:08:41.830 --> 00:08:51.837]  After Joe Scarborough had played a clip from Saturday Night Live where they were mocking him and using Saturday Night Live to mock Bannon to mock Donald Trump.
[00:08:52.197 --> 00:09:03.144]  So that makes this communication that Roger Stone was talking about, the communication that Politico is saying, that Kushner is talking to those inside and out, particularly complaining about Bannon.
[00:09:03.684 --> 00:09:07.066]  And then we find that he's talking to Joe Scarborough.
[00:09:07.106 --> 00:09:08.768]  So this is the politics that's there.
[00:09:09.488 --> 00:09:11.309]  But what does it mean for you and I?
[00:09:11.329 --> 00:09:16.110]  Because you may not really care about who's in charge as long as Trump's agenda gets enacted.
[00:09:16.490 --> 00:09:17.991]  Well, that's what I'm concerned about as well.
[00:09:18.051 --> 00:09:33.355]  And I don't really care about the internal politics, who he uses to get it done, but as they point out in Politico, they say, they quote one senior administration official saying, the big fight is between the Nationalists and the West Wing Democrats.
[00:09:33.475 --> 00:09:35.576]  Why would they say the West Wing Democrats?
[00:09:36.752 --> 00:09:39.253]  Well, because Jared Kushner has been a Democrat all of his life.
[00:09:39.273 --> 00:09:40.654]  Gary Cohen has been a Democrat.
[00:09:40.694 --> 00:09:42.434]  They have been allied together in this.
[00:09:43.335 --> 00:09:49.637]  And it was Jared Kushner who brought Zeke Emanuel in multiple times to meet with senior staff on Obamacare.
[00:09:49.657 --> 00:09:51.658]  Remember, Zeke Emanuel, Rahm Emanuel's brother.
[00:09:52.560 --> 00:09:58.922]  Was the one who had said, beginning of January, that we're not going to see Obamacare repealed, you can't get rid of it.
[00:09:59.063 --> 00:10:07.946]  And so he came in to try to sell the idea that Obamacare should not be repealed, but it should be, you know, dressed up, we should put some lipstick on it and keep this thing going.
[00:10:08.683 --> 00:10:24.047]  And so when we look at that, and we look at the fact that we have Jared Kushner now put in charge of fixing the administrative state, or draining the swamp if you will, but it was Steve Bannon who was talking about dismantling and deconstructing the administrative state.
[00:10:24.087 --> 00:10:26.027]  Do you really think that is going to happen?
[00:10:26.107 --> 00:10:28.628]  I'm very concerned that that is not going to happen.
[00:10:29.048 --> 00:10:40.611]  Now if we go back and we look at this campaign against Bannon, it wasn't just Saturday Night Live, it wasn't just Joe Scarborough, we had Salon just two weeks ago saying Steve Bannon's dangerous domination of national security.
[00:10:41.011 --> 00:10:53.194]  And at the time they said not only has Bannon established a shadow NSC known as the Strategic Initiatives Group in the White House, which by the way we just learned that didn't exist, but he has also blocked National Security Advisor H.R.
[00:10:53.214 --> 00:10:54.894]  McMaster from naming his own staff.
[00:10:54.934 --> 00:10:57.635]  So they were trying to make him look like he was dominating Trump,
[00:10:58.155 --> 00:11:00.216]  Like he was dominating McMaster and so forth.
[00:11:00.877 --> 00:11:04.699]  Is this blowback against this narrative that's been fed to us by the media?
[00:11:05.579 --> 00:11:08.361]  Well, we'll have to wait and see what happens on other issues.
[00:11:08.921 --> 00:11:09.802]  Like Obamacare.
[00:11:09.862 --> 00:11:11.623]  Like dismantling the administrative state.
[00:11:12.103 --> 00:11:13.183]  Also, then we saw that...
[00:11:14.728 --> 00:11:20.912]  The end of February, we saw an article from the Wall Street Journal that Trump would be willing to remove Bannon from the National Security Council.
[00:11:20.932 --> 00:11:30.338]  So we had the mainstream media at that time asking Sean Spicer at press conferences, would you be willing to let General McMaster remove
[00:11:31.258 --> 00:11:33.339]  Steve Bannon from the National Security Council.
[00:11:33.800 --> 00:11:34.680]  Can't we get him out of there?
[00:11:35.220 --> 00:11:39.323]  And of course, at the time, Sean Spicer said, well, it's McMaster who has control of the Security Council.
[00:11:39.643 --> 00:11:41.684]  If he wants to remove him, he can do that.
[00:11:41.764 --> 00:11:49.789]  But the important thing here is that mainstream media, including the comedy shows and everything, were constantly pushing to remove Steve Bannon.
[00:11:50.729 --> 00:11:51.770]  And then there's this issue.
[00:11:51.810 --> 00:11:56.474]  When we look at trade, when we look at the economy, there is a civil war brewing there as well.
[00:11:57.034 --> 00:12:08.844]  If we go back a month ago, March 10th, there was an article on the Financial Times, as well as Zero Hedge talking about that article, saying a civil war is breaking out in the White House over trade.
[00:12:09.781 --> 00:12:12.624]  Zero Hedge added, and Goldman is winning.
[00:12:12.644 --> 00:12:18.449]  I said earlier this week when we discussed Peter Navarro's jarring op-ed in the Wall Street Journal, which he alleged the persistent U.S.
[00:12:18.489 --> 00:12:22.373]  trade deficit would put national security in jeopardy.
[00:12:22.413 --> 00:12:26.296]  We said, a better question than that is, why is he writing this?
[00:12:26.697 --> 00:12:29.299]  Why is he going to a public forum like the Wall Street Journal?
[00:12:29.439 --> 00:12:32.021]  Is there friction between him and the Trump camp?
[00:12:32.847 --> 00:12:45.213]  The Financial Times reported a civil war has broken out within the White House over trade, leading to what one official calls a fiery meeting in the Oval Office pitting economic nationalists who are close to Donald Trump against pro-trade moderates from Wall Street.
[00:12:45.694 --> 00:12:58.140]  They say facing off in the hardline group of Navarro and other nationalists, Steve Bannon is a faction led by former Goldman Sachs Gary Cohen, a career globalist who leads Mr. Trump's National Economic Council.
[00:12:58.781 --> 00:13:00.662]  That would be the West Wing Democrat wing.
[00:13:01.522 --> 00:13:03.084]  That's what we have to be concerned about, folks.
[00:13:03.624 --> 00:13:26.406]  This is a civil war within the Trump administration as to whether or not we're going to dismantle the structure of the globalist state that is there, of the administrative state, whether we were going to pursue the agenda that Donald Trump had, or are they going to remove the people who got Trump elected, remove the people who put together the agenda that he ran on, the agenda that you and I voted for.
[00:13:27.202 --> 00:13:28.183]  Is that what's going to happen?
[00:13:28.223 --> 00:13:38.248]  They say at the time, the globalists led by Cohen and others have seized on Navarro's public comments and widespread criticism by economists on his stand of trade deficits and other matters to try and sideline him.
[00:13:38.468 --> 00:13:42.630]  What was it that he said that was so controversial?
[00:13:42.870 --> 00:13:46.552]  Well, he said that the trade deficit is a national security issue.
[00:13:46.972 --> 00:13:47.493]  Of course it is.
[00:13:47.593 --> 00:13:49.614]  We don't have an economy, we can't defend ourselves.
[00:13:50.134 --> 00:13:57.458]  And so, as they point out, Cohen has also been featuring more prominently in discussions over the renegotiation of the North American Free Trade Agreement, NAFTA.
[00:13:58.439 --> 00:14:09.386]  They say, meanwhile, Cohen has been beefing up his staffing ranks with more like-minded globalist supporters like Andrew Quinn, a former trade official who served as senior negotiator during the Obama administration's push for the TPP.
[00:14:11.024 --> 00:14:17.205]  And so we had Breitbart at the time say that he is an enemy within the Trump administration.
[00:14:17.866 --> 00:14:22.747]  Folks, we have to understand that we knew this would happen and we have to watch this very carefully.
[00:14:22.787 --> 00:14:26.628]  We want to make sure that Donald Trump stays on the right course.
[00:14:26.728 --> 00:14:31.529]  The thing that concerns me more than anything is that his son-in-law, who is very close to him and of course family,
[00:14:32.335 --> 00:14:35.737]  That he would be allying with the people who have pushed these things.
[00:14:35.757 --> 00:14:38.438]  That he would be bringing in the architect of Obamacare.
[00:14:38.458 --> 00:14:40.959]  That he would be bringing in one of the architects of TPP.
[00:14:41.360 --> 00:14:43.801]  Now, of course, Donald Trump has shut down TPP.
[00:14:44.221 --> 00:14:45.742]  But we still have to be concerned about that.
[00:14:46.382 --> 00:14:47.723]  And then, this final issue here.
[00:14:47.803 --> 00:14:50.944]  Bannon breaks with Pence and delivers a warning to Europe.
[00:14:50.984 --> 00:14:52.685]  And this was February the 21st.
[00:14:53.466 --> 00:14:54.886]  It was Bannon who said,
[00:14:56.212 --> 00:15:01.573]  That we needed to have a bilateral basis in which we deal with the European Union.
[00:15:01.613 --> 00:15:06.734]  That it is a flawed construct and he favored relations on a bilateral basis.
[00:15:07.514 --> 00:15:13.916]  And so at the time it was reported they said there are two clear axes developing with the Trump administration.
[00:15:14.296 --> 00:15:21.417]  A Pence, Mattis, Haley foreign policy and of course you're going to hear about our UN Ambassador Haley talking about what happened in Syria today.
[00:15:21.457 --> 00:15:24.178]  And then there's a Trump-Bannon-Miller foreign policy.
[00:15:24.798 --> 00:15:26.899]  So let's talk about what's going on in the Middle East.
[00:15:26.919 --> 00:15:31.220]  Today we had dozens killed in waves of attacks of Iraq's Tikrit.
[00:15:31.940 --> 00:15:32.420]  Oh, wait a minute.
[00:15:32.881 --> 00:15:33.841]  I thought it was Syria.
[00:15:34.401 --> 00:15:35.021]  Did we miss that?
[00:15:35.641 --> 00:15:37.622]  No, actually, you didn't hear anything about that, did you?
[00:15:38.022 --> 00:15:41.243]  You didn't hear anything about the attack of people dying in Iraq's Tikrit.
[00:15:41.283 --> 00:15:42.564]  Now, of course, that was a tragedy, too.
[00:15:43.104 --> 00:15:46.485]  There's a huge tragedy in Syria, but what they're playing up
[00:15:47.085 --> 00:15:47.365]  That's right.
[00:16:09.242 --> 00:16:14.868]  This is something that they always do whenever there's a terrorist attack anywhere else, but not when there was one in Russia.
[00:16:14.948 --> 00:16:15.789]  Isn't that interesting?
[00:16:16.390 --> 00:16:24.098]  And I find it also interesting that as they're talking about Syria, that everybody ignores this attack in Tikrit.
[00:16:25.339 --> 00:16:27.442]  Now, don't we bear responsibility for that?
[00:16:28.393 --> 00:16:29.814]  We are there with the Iraqi government.
[00:16:29.854 --> 00:16:35.717]  We have as much involvement and control in Iraq as Russia and the Syrian government do in Syria.
[00:16:36.297 --> 00:16:47.123]  But of course we're told that what happened, the tragedy that happened in Syria, is a reason that we need to get tough with Russia and we need to attack Syria and have a regime change there.
[00:16:47.163 --> 00:16:51.086]  But nobody's calling for a regime change in Iraq over this recent issue.
[00:16:51.977 --> 00:16:53.219]  We know what's going on with this.
[00:16:53.419 --> 00:16:54.581]  We have seen this before.
[00:16:54.641 --> 00:16:56.825]  Immediately, we have people come out.
[00:16:57.165 --> 00:17:03.756]  As soon as this attack happens, we have the US, Britain, and France all blaming Assad for the Syrian gas attack.
[00:17:04.477 --> 00:17:05.498]  We saw this four years ago.
[00:17:06.621 --> 00:17:23.464]  And eventually what we wound up understanding as we saw an investigation, and they don't want to wait for an investigation, they've already got somebody picked out that they want to blame, and they want to use this tragedy just like we see them try to use a domestic terror event to push their agenda.
[00:17:24.264 --> 00:17:33.726]  And what happened four years ago was we learned both from UN and US and Russian investigators, we eventually found out that it wasn't the Syrian government.
[00:17:34.534 --> 00:17:43.635]  We had a lot of people calling for us to get involved there, to become the air force for Al Qaeda, or the air force for ISIS, because they are our surrogates there.
[00:17:44.793 --> 00:18:02.900]  We put them in there for regime change, and now it's also interesting that this is all happening as we have the shakeup of the National Security Council, and that it comes on the heels of the admissions about Susan Rice, as we find this very damaging information about her.
[00:18:02.940 --> 00:18:04.081]  Remember what happened
[00:18:04.861 --> 00:18:12.467]  In Iraq before, when we had Bill Clinton, the day after the House came out with all of its indictments about him and Monica Lewinsky, what happened?
[00:18:13.088 --> 00:18:14.329]  He started bombing Iraq.
[00:18:15.029 --> 00:18:16.991]  This is a wag the dog scenario.
[00:18:17.451 --> 00:18:22.695]  And we should remind Donald Trump of what he said as he says, this has completely changed my mind on this.
[00:18:22.815 --> 00:18:23.556]  I hope it hasn't.
[00:18:24.281 --> 00:18:27.502]  We have a long story at InfoWars, and I won't go into the details of this.
[00:18:27.562 --> 00:18:30.022]  We had this talked about earlier in our live show.
[00:18:30.803 --> 00:18:34.303]  It looks like there's a Soros-linked group behind this chemical attack in Syria.
[00:18:34.323 --> 00:18:38.985]  But beyond that, let's remind everybody what Donald Trump said years ago.
[00:18:39.645 --> 00:18:41.785]  We should not attack Syria.
[00:18:42.385 --> 00:18:46.806]  If they make the stupid move to do so, the Arab League, whose members are laughing at us, should pay.
[00:18:47.327 --> 00:18:51.728]  There is nothing that is, he says, if we get involved in that fight, the U.S.
[00:18:51.848 --> 00:18:52.528]  gets nothing.
[00:18:53.348 --> 00:18:54.289]  Absolutely correct.
[00:18:54.349 --> 00:18:56.370]  We do not need to set the Middle East on fire.
[00:18:56.390 --> 00:18:57.890]  It didn't work for us in Libya.
[00:18:58.031 --> 00:18:59.992]  It will not work for us in Syria.
[00:19:00.012 --> 00:19:02.833]  We need to stop pursuing the policy of regime change.
[00:19:02.853 --> 00:19:03.193]  Stay with us.
[00:19:16.920 --> 00:19:18.281]  FN 5.7 pistol rounds.
[00:19:18.501 --> 00:19:26.806]  The secret to Defender body armor is its proprietary processing technology that disperses more kinetic energy at a rate higher than any other traditional body armor.
[00:19:27.086 --> 00:19:35.830]  Using one of the strongest synthetic materials ever created, called ultra-high molecular weight polyethylene, Defender armor is also super compact and lightweight.
[00:19:36.091 --> 00:19:41.874]  There's a reason the Department of Defense chose Defender to manufacture their new line of advanced lightweight armor.
[00:19:42.174 --> 00:19:42.574]  It works.
[00:19:42.934 --> 00:19:51.220]  Defender body armor is made right here in America and has received the highest level ballistic resistance certification from an authorized NIJ ballistic laboratory.
[00:19:51.380 --> 00:20:00.787]  Defender body armor is now available through InfoWarStore.com so you can defend yourself, your family, and finance the InfoWar against the globalists all at the same time.
[00:20:01.147 --> 00:20:01.647]  A total 360 win!
[00:20:03.735 --> 00:20:05.497]  You provided, Alex, with the caveman.
[00:20:05.517 --> 00:20:07.579]  Well, so we've been formulating this stuff for a while.
[00:20:07.639 --> 00:20:11.042]  We've been getting these different flavors and, you know, oh, I don't know about this one.
[00:20:11.503 --> 00:20:14.486]  You know, and so I've been taking that stuff and I'm an old man.
[00:20:14.506 --> 00:20:15.086]  I'm 42.
[00:20:15.127 --> 00:20:18.009]  I work out five times a week, if not more.
[00:20:18.190 --> 00:20:19.651]  I hear you're okay in jujitsu.
[00:20:21.593 --> 00:20:22.713]  No, I'm not.
[00:20:22.733 --> 00:20:23.394]  I'm terrible.
[00:20:23.414 --> 00:20:24.014]  I'm terrible.
[00:20:24.094 --> 00:20:31.238]  But, the point is, is that I have a lot of aches and shoulders and, you know, this weird joint stuff that I've had issues with for years.
[00:20:31.858 --> 00:20:39.062]  And this bone broth, the Caveman Bone Broth, along with our joint formula, has just worked magic for me.
[00:20:39.102 --> 00:20:42.584]  And that's just, you know, that's just from my personal experience.
[00:20:43.965 --> 00:20:49.207]  I think they're great products and I think if anybody else has those issues that you should definitely, you owe it to yourself to check it out.
[00:20:49.247 --> 00:20:52.328]  If I'm wrong, then hey man, write me a mean letter.
[00:20:52.728 --> 00:20:53.988]  But let me tell you, they work for me.
[00:20:54.008 --> 00:20:55.609]  Yeah, they work for me too.
[00:20:55.669 --> 00:20:56.809]  Actually, we were talking about this earlier.
[00:20:56.829 --> 00:21:04.012]  Dude and I play basketball and I'm just now, like for the first time in my life, I'm 27 now, after I play basketball my knees are barking.
[00:21:06.573 --> 00:21:12.216]  But the bone broth and the joint formula, like you just said, you combine those two, I felt the difference immediately.
[00:21:12.276 --> 00:21:13.957]  I felt it immediately.
[00:21:13.977 --> 00:21:16.218]  Yeah, and it actually tastes good.
[00:21:16.298 --> 00:21:19.360]  Like, I'm really picky, and I will drink it.
[00:21:19.380 --> 00:21:20.521]  It tastes good to me.
[00:21:20.541 --> 00:21:24.583]  I love chocolate, so I really like the flavor of the Caveman.
[00:21:24.623 --> 00:21:26.664]  So, I mean, if the bone broth
[00:21:30.505 --> 00:21:35.627]  If the bone broth is really that gross, I mean, I would never have known because it tastes really good.
[00:21:35.647 --> 00:21:39.428]  And my favorite is the Super Female Vitality.
[00:21:39.468 --> 00:21:47.210]  So ladies, get yourself some Super Female Vitality if you haven't already because it seriously, it just gets me going.
[00:21:47.270 --> 00:21:50.510]  I mean, I'll take a whole bunch of that stuff before I go out and do my hair.
[00:21:50.530 --> 00:21:52.431]  Maybe get it for your wife then too, or girlfriend.
[00:21:53.171 --> 00:21:59.156]  I go and take a bunch of it before I go do man on the street, and I just start running, zipping around, running right into the action.
[00:21:59.176 --> 00:22:00.877]  No fear, nothing, so.
[00:22:01.458 --> 00:22:08.783]  Well, that's a big primary part about, you know, fighting the globalists is making sure that we stay healthy and stay clear-eyed and stay honest and stay humble.
[00:22:09.524 --> 00:22:11.165]  I hope that we do that here at InfoWars.
[00:22:11.885 --> 00:22:20.472]  We got a lot going on and we're in the middle of the fight, so we really appreciate it when anybody supports us, either by purchasing our products or you can even go on to our store and donate.
[00:22:22.173 --> 00:22:23.715]  We're doing this by the skin of our teeth.
[00:22:23.755 --> 00:22:33.364]  I know it looks like we're in a billion-dollar studio, but Alex has never taken one cent of borrowed money at all whatsoever.
[00:22:33.384 --> 00:22:43.714]  This is all money that's come from you, the listeners, so you've literally built this place, you know, built this place with your compassion and built this place with the support that you've sent us.
[00:22:44.335 --> 00:22:47.056]  From the bottom of my heart, I appreciate it because I know we wouldn't be able to do this.
[00:22:47.096 --> 00:22:49.998]  We wouldn't have a voice if it wasn't for you.
[00:22:50.058 --> 00:22:55.141]  So once again, we got to thank the listeners for their for their steadfastness and supporting us.
[00:22:55.341 --> 00:23:01.764]  And even even when we make mistakes and even when we're not right, and even when we might go a little bit crazy, you guys stick with us.
[00:23:01.844 --> 00:23:03.025]  And I appreciate that.
[00:23:08.067 --> 00:23:08.567]  Welcome back.
[00:23:09.488 --> 00:23:11.089]  And we're just talking about how the
[00:23:12.119 --> 00:23:14.682]  Move to do something about Syria.
[00:23:14.942 --> 00:23:21.789]  To say, as Donald Trump said, there's been too many lines crossed and it was Obama's fault, he should have done something four years ago.
[00:23:21.849 --> 00:23:25.033]  Well, no, we found out that it really wasn't the Syrian government four years ago.
[00:23:25.757 --> 00:23:31.102]  And we see, as we mentioned before, that there's involvement from George Soros, and we'll talk more about that in just a moment.
[00:23:31.662 --> 00:23:41.110]  But I think it's also significant that we see that this is happening the day after there were major revelations about Susan Rice that the mainstream media does not want to talk about.
[00:23:41.170 --> 00:23:46.335]  As I pointed out, they use this type of distraction, and they've used it very obviously in the past.
[00:23:47.075 --> 00:23:53.777]  Bill Clinton, every time there would be something that would break, especially when the House brought up the impeachment articles and he goes and bombs another country.
[00:23:53.817 --> 00:23:59.799]  So they would very much like to change the discussion, but they also want to have regime change.
[00:23:59.839 --> 00:24:00.779]  That has been their goal.
[00:24:01.239 --> 00:24:02.560]  That has been their goal throughout the Middle East.
[00:24:02.600 --> 00:24:08.901]  That is the policy that was in place with the Obama administration, with Hillary Clinton's State Department.
[00:24:09.001 --> 00:24:10.102]  It was disastrous.
[00:24:10.868 --> 00:24:16.654]  But they're continuing down this same line, just as they're continuing down the same line to shut down the media.
[00:24:16.714 --> 00:24:19.377]  And that's what we're going to talk about also in this segment.
[00:24:19.757 --> 00:24:22.099]  But I want to take a look at what was said by Donna Rice.
[00:24:22.139 --> 00:24:28.866]  She said at one point in this interview that she had, there is no equivalence between unmasking and leaking.
[00:24:29.827 --> 00:24:43.116]  I think it's very important that we take a look at the semantics that are being used here, because as I pointed out, when you talk about unmasking Trump and unmasking those in the Trump administration, what it does is implies that he did something wrong, not that she did something wrong.
[00:24:43.897 --> 00:24:46.839]  And so let's take a look at some of the synonyms of what unmask are here.
[00:24:46.879 --> 00:24:55.225]  I tweeted this out and said, you know, some of the things that she did to these discussions that by law were to remain private, well, she advertised it.
[00:24:55.845 --> 00:24:59.228]  She betrayed those whose privacy was supposed to be protected.
[00:24:59.509 --> 00:25:00.930]  She brandished this out.
[00:25:00.970 --> 00:25:01.951]  She broadcast it.
[00:25:01.991 --> 00:25:02.772]  She disclosed it.
[00:25:03.012 --> 00:25:03.553]  Displayed it.
[00:25:03.633 --> 00:25:04.274]  Divulged it.
[00:25:04.394 --> 00:25:05.034]  Exhibited it.
[00:25:05.495 --> 00:25:05.955]  Featured it.
[00:25:06.055 --> 00:25:06.556]  Flashed it.
[00:25:06.656 --> 00:25:07.236]  Flaunted it.
[00:25:07.797 --> 00:25:08.598]  Opened it to view.
[00:25:08.658 --> 00:25:09.238]  Paraded it.
[00:25:09.379 --> 00:25:09.999]  Presented it.
[00:25:10.099 --> 00:25:10.560]  Published it.
[00:25:11.180 --> 00:25:11.781]  Reported it.
