[00:00:08.004 --> 00:00:08.665]  Well here we are.
[00:04:04.434 --> 00:04:05.135]  That's another blink.
[00:04:05.215 --> 00:04:07.117]  But now they say they're not.
[00:04:08.467 --> 00:04:11.688]  And so I'm just trying to have some positive, you know, news here.
[00:04:12.429 --> 00:04:15.430]  It's mainstream media saying, end of the world, nuclear war imminent.
[00:04:15.830 --> 00:04:18.011]  Oh my gosh, get ready for it, all the rest of it.
[00:04:19.492 --> 00:04:22.613]  So we're going to really focus on Korea and the situation today.
[00:04:22.633 --> 00:04:24.133]  I know David Knight's an expert on it.
[00:04:24.174 --> 00:04:25.054]  He's done a lot of research.
[00:04:25.094 --> 00:04:25.994]  He's going to be joining us.
[00:04:26.655 --> 00:04:28.335]  And we've got so much more to break down.
[00:04:28.355 --> 00:04:29.956]  I'm going to go over more of this when we come back.
[00:04:30.256 --> 00:04:32.297]  What these two new aircraft carrier groups mean.
[00:04:34.517 --> 00:04:36.738]  But the big thing is, let's pray to God for peace.
[00:04:36.798 --> 00:04:48.986]  Let's pray for the whole world to come together, that North Korea be freed, that the United States not be played by the globalists into conflict with Russia, that we not back radical jihadist Islam, and that humanity basically come back from the brink.
[00:04:49.226 --> 00:04:51.467]  We'll be back with so much more news on the other side.
[00:04:51.487 --> 00:04:54.809]  InfoWars.com, we've got big breaking news on that front.
[00:04:54.849 --> 00:04:55.289]  Stay with us.
[00:05:01.929 --> 00:05:03.090]  You have no money?
[00:05:03.350 --> 00:05:05.311]  This is okay, we will take your blood.
[00:05:05.592 --> 00:05:10.935]  If you want access to the Vatican Museums, cash, visa, MasterCard or needle is accepted.
[00:05:11.236 --> 00:05:14.598]  That's right, you can give blood to access the Vatican Museums.
[00:05:14.838 --> 00:05:19.301]  The blood payment plan has a slogan, give blood and follow your artistic inclination.
[00:05:19.622 --> 00:05:22.884]  Blood donors then receive a voucher which gives them access to the museums.
[00:05:23.244 --> 00:05:26.867]  The director of the Vatican Museums said, without blood there is no life.
[00:05:27.347 --> 00:05:29.788]  Without art, life would be empty and sad.
[00:05:30.508 --> 00:05:32.188]  Okay, I love Jesus too.
[00:05:32.288 --> 00:05:32.968]  Happy Easter!
[00:05:33.689 --> 00:05:34.889]  I guess this is a good idea.
[00:05:35.329 --> 00:05:37.970]  Get some blood donations and allow people access to history.
[00:05:38.250 --> 00:05:38.930]  Sounds harmless.
[00:05:39.150 --> 00:05:39.610]  But wait!
[00:05:40.010 --> 00:05:42.551]  Each blood donation is good for a 4 euro voucher.
[00:05:42.951 --> 00:05:45.331]  It costs 16 euros to access the museums.
[00:05:46.051 --> 00:05:49.192]  So you have to donate blood four times before you can even get in.
[00:05:49.772 --> 00:05:52.353]  By the time you've given enough blood, you'd have fainted.
[00:05:53.174 --> 00:05:57.221]  Enjoy Michelangelo's Last Judgment as you recover from hypovolemia.
[00:05:57.742 --> 00:05:59.987]  For InfoWars.com, this is Owen Troyer.
[00:06:01.667 --> 00:06:09.468]  Our fellow info warriors across the United States and across the planet really love the Hillary for Prison 2016 shirts that we began to put out in 2015.
[00:06:10.789 --> 00:06:19.590]  It became a global meme against globalism and corruption, and a very strong maxim that's now being continued on today.
[00:06:19.990 --> 00:06:23.871]  So we now have George Soros, because the media attacked me on this whole goblin meme.
[00:06:23.931 --> 00:06:26.912]  They've made huge jokes about it, but it's totally blown up their face.
[00:06:26.932 --> 00:06:28.432]  We now have George Soros.
[00:06:29.552 --> 00:06:30.292]  As a goblin.
[00:06:30.973 --> 00:06:36.755]  On the back, and it says, with a cross through him, you know, an X, like Ghostbusters, no Soros, him as a goblin.
[00:06:37.495 --> 00:06:41.857]  It says, deport Soros on the bottom, and on the top it says, InfoWars established 1996.
[00:06:44.098 --> 00:06:51.201]  So, it is a limited edition, deport Soros on the back, Hillary for prison on the front, right hand shoulder, InfoWars.com.
[00:06:51.541 --> 00:06:53.182]  It's powerful, I hope you get out to everybody you know.
[00:06:53.462 --> 00:06:55.223]  InfoWarsStore.com, or call 888-253-3139.
[00:07:01.736 --> 00:07:04.678]  A clean, toxic-free body is the foundation of true health.
[00:07:04.978 --> 00:07:14.564]  Introducing Deep Cleanze by Infowarslife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:07:14.864 --> 00:07:20.067]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:07:20.167 --> 00:07:29.012]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:07:29.272 --> 00:07:37.861]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:07:38.101 --> 00:07:45.028]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[00:07:45.148 --> 00:07:51.254]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[00:07:51.494 --> 00:07:56.257]  If you wish to find deep cleanse and experience the all-in-one cleansing visit Infowarslife.com.
[00:07:56.397 --> 00:07:58.279]  That's Infowarslife.com or call 888-253-3139.
[00:07:58.299 --> 00:07:58.799]  I hurt myself today
[00:08:19.725 --> 00:08:22.427]  Welcome back to the Alex Jones Radio Show.
[00:08:22.487 --> 00:08:24.128]  I'm David Knight on this Tuesday, April 18, 2017.
[00:08:25.049 --> 00:08:29.012]  Maybe that's an appropriate song to play on election day.
[00:08:29.712 --> 00:08:30.953]  I've hurt myself today.
[00:08:31.193 --> 00:08:33.495]  It's kind of self-inflicted wounds, isn't it, most of the time.
[00:08:33.535 --> 00:08:35.796]  We've got a couple of elections that are in the news.
[00:08:35.836 --> 00:08:39.919]  Of course, Theresa May has called a snap election coming up in June.
[00:08:39.959 --> 00:08:41.821]  She's trying to consolidate support.
[00:08:42.481 --> 00:08:50.788]  To move forward with Brexit, we also have a special election that is taking place in Georgia today that is getting a lot of national press.
[00:08:51.389 --> 00:08:55.752]  It has become a cause celeb for the left to move against Donald Trump.
[00:08:55.772 --> 00:09:03.799]  We're going to talk about that as well as some information about the election in France and an update on Turkey.
[00:09:04.259 --> 00:09:08.323]  Before we get to all of that and before we get to what's happening in North Korea, there's also been some
[00:09:08.963 --> 00:09:09.384]  We're good to go.
[00:09:31.921 --> 00:09:34.984]  25% off vitamin mineral fusion.
[00:09:35.004 --> 00:09:39.148]  25% off our vitamin B12 liquid supplement that you just put under your tongue.
[00:09:39.388 --> 00:09:43.792]  Has the same effect as what you would get with a vitamin B12 injection with a needle.
[00:09:43.853 --> 00:09:45.454]  No, you can just do it under your tongue.
[00:09:45.914 --> 00:09:48.657]  Our secret 12, that's vitamin B12, that's 25% off.
[00:09:49.157 --> 00:09:52.661]  Also, survival shield X2, nascent iodine, that is 25% off.
[00:09:54.142 --> 00:10:08.189]  And this is going to possibly be our last shipment for a while when this sells out because it is getting very difficult for us to get that deep earth iodine supply that we've been using to create that.
[00:10:08.309 --> 00:10:09.369]  So get that while you can.
[00:10:09.429 --> 00:10:11.730]  It's even at a special 25% off.
[00:10:11.831 --> 00:10:15.652]  And don't forget, also, Brain Force is 30% off.
[00:10:15.712 --> 00:10:18.054]  That's, as I've pointed out many times, my favorite supplement.
[00:10:18.374 --> 00:10:20.455]  It really does help me to focus.
[00:10:21.502 --> 00:10:24.643]  Helps me to recall, and I think you'll find the same thing.
[00:10:24.683 --> 00:10:28.463]  If you give that a try, I think you will really notice a difference.
[00:10:28.483 --> 00:10:31.284]  It doesn't make you jittery like caffeine does.
[00:10:31.384 --> 00:10:35.365]  It's a very focusing natural supplement.
[00:10:35.485 --> 00:10:37.465]  That's 30% off Brain Force.
[00:10:37.505 --> 00:10:41.186]  You'll see all of that at our Easter special that is ending tonight.
[00:10:41.226 --> 00:10:42.946]  That's at InfoWarsStore.com.
[00:10:43.246 --> 00:10:45.487]  There's been an update on the Facebook killer.
[00:10:45.867 --> 00:10:46.707]  You may have seen this.
[00:10:47.007 --> 00:10:47.427]  He just
[00:10:48.287 --> 00:10:51.949]  Killed himself, committed suicide in Erie, Pennsylvania after a chase.
[00:10:52.090 --> 00:10:55.471]  And of course he committed this live murder in Cleveland.
[00:10:55.552 --> 00:10:57.413]  It's been a nationwide manhunt for him.
[00:10:58.233 --> 00:11:00.695]  And he just committed suicide.
[00:11:00.855 --> 00:11:06.058]  And I think as I look at this, and we look at all the press attention that was given to this Facebook killer.
[00:11:06.898 --> 00:11:11.521]  You know there was an article last week, and I covered it, and of course it was out of the UK, and Drudge Report had it.
[00:11:12.799 --> 00:11:14.280]  But nobody really talked about this.
[00:11:14.881 --> 00:11:17.623]  Everybody was talking about the Facebook killer, and yes, it was outrageous.
[00:11:17.703 --> 00:11:18.143]  It was really...
[00:11:19.815 --> 00:11:21.496]  Really disgusting and outrageous.
[00:11:21.536 --> 00:11:26.139]  But there was some other Facebook stuff that was really disgusting and outrageous that didn't get a lot of press coverage.
[00:11:26.179 --> 00:11:29.942]  And perhaps it was because it involved Facebook itself.
[00:11:30.462 --> 00:11:34.025]  You know, anybody can put up a live stream and they took the stream down when they found it.
[00:11:34.565 --> 00:11:44.132]  But in the UK, they have a lot of problems because the British government, I'm going to report this again because other people really haven't picked up on this, the British government
[00:11:45.026 --> 00:11:46.447]  Facebook is taking them to task.
[00:11:46.527 --> 00:11:48.668]  They say they risk criminal prosecution.
[00:11:48.689 --> 00:11:49.829]  Let me repeat that.
[00:11:50.250 --> 00:12:03.999]  Facebook risks criminal prosecution according to the British government because they refuse to remove potentially illegal terrorist and child pornography content despite being told it was on their site.
[00:12:04.379 --> 00:12:04.920]  Do you understand?
[00:12:05.640 --> 00:12:06.960]  People found this information.
[00:12:07.020 --> 00:12:12.282]  They had a violent pedophile cartoon, a video of an apparent sexual assault on a child.
[00:12:12.682 --> 00:12:18.083]  They had propaganda posters that were glorifying recent terrorist attacks in London and in Egypt.
[00:12:18.163 --> 00:12:23.704]  Remember, there wasn't much talk, was there, about the attacks on the Christian churches in Egypt.
[00:12:23.744 --> 00:12:26.185]  We didn't see those people dying slow deaths.
[00:12:26.205 --> 00:12:29.205]  We didn't see the people who were run down by ISIS terrorists with trucks.
[00:12:29.225 --> 00:12:31.546]  We didn't see them dying slow deaths because that wasn't
[00:12:32.066 --> 00:12:42.233]  Something that was going to be used for a political purpose, but boy if you have an attack in one place It's gonna get a lot of attention and they're not going to blur out the faces.
[00:12:42.333 --> 00:12:58.665]  They're not going to censor the pictures No, they will show you in slow motion the people who are dying because they want to use that politically but in this particular situation Facebook had these this sexual assault on a child these propaganda posters for terrorist attacks and they were told that
[00:12:59.730 --> 00:13:13.454]  And the British government said, look, if you are told about this, and you don't take it down, your moderators are told, you hire these people to be moderators, and you don't take that down, you own that.
[00:13:14.294 --> 00:13:14.894]  You own that.
[00:13:15.194 --> 00:13:17.175]  Now you have criminal liability.
[00:13:18.235 --> 00:13:24.077]  And I think it's interesting as we look at what broke yesterday, Mike Cernovich looking at this
[00:13:26.014 --> 00:13:31.116]  Uh, this document that we saw from a, uh, Google putting this out.
[00:13:31.136 --> 00:13:36.699]  We see today, Business Insider, Google is trying to distance themselves saying that it was a rogue vendor.
[00:13:37.139 --> 00:13:37.739]  It wasn't them.
[00:13:38.439 --> 00:13:43.842]  Ah, but they are the ones who are setting themselves up as the arbiters of truth.
[00:13:44.342 --> 00:13:47.663]  They are the ones who are taking down controversial content on YouTube.
[00:13:47.683 --> 00:13:48.004]  Stay with us.
[00:13:48.024 --> 00:13:50.665]  We're going to break that down for you when we come back, as well as North Korea.
[00:13:51.886 --> 00:13:54.630]  Alex Jones and the GCN Radio Network.
[00:14:01.653 --> 00:14:10.180]  On Sunday, Mike Cernovich and Alex Jones broke the news that Google contractors are being directed to rate InfoWars articles to push them even further down in search engine results.
[00:14:10.500 --> 00:14:13.122]  And liberals came out of the woodwork to say we were lying.
[00:14:13.443 --> 00:14:14.924]  Well now we have Business Insider.
[00:14:15.084 --> 00:14:21.429]  Google says rogue vendor violated guidelines by instructing contractors to rate InfoWars as untrustworthy site.
[00:14:21.609 --> 00:14:28.074]  Google said that the vendor had mistakenly told staffers working for the search engine that InfoWars should be ranked as a low-quality site.
[00:14:28.255 --> 00:14:28.555]  Oh yeah.
[00:14:28.795 --> 00:14:29.695]  We believe you, Google.
[00:14:29.875 --> 00:14:30.496]  We believe you.
[00:14:30.696 --> 00:14:38.918]  Google reps are attempting to distance themselves from the contractor's instructions by saying it does not instruct quality rangers on how to grade specific websites.
[00:14:39.138 --> 00:14:41.779]  Let's read what the contractor said in their bonus example.
[00:14:41.999 --> 00:14:46.681]  While CNN isn't a perfect news outlet, it is a popular news source that covers stories with depth to compare.
[00:14:46.861 --> 00:14:50.622]  The InfoWars article is brief and only mentions statements from sources not typical.
[00:14:50.962 --> 00:14:57.526]  Of course, they're talking about the recent Syrian chemical attack that we're saying is a false flag and is now being proven in spades.
[00:14:57.786 --> 00:15:01.008]  Rob Dewey reporting for InfoWars.com and InfoWars Nightly News.
[00:15:01.629 --> 00:15:09.373]  InfoWars has partnered with Defender Body Armor to bring you a new state-of-the-art line of advanced, highly tested body armor from InfoWarsStore.com.
[00:15:09.613 --> 00:15:16.017]  Defender Body Armor is certified to protect against all handgun rounds and even armor-piercing FN 5.7 pistol rounds.
[00:15:16.257 --> 00:15:20.420]  The secret to Defender Body Armor is its proprietary processing technology.
[00:15:20.560 --> 00:15:30.432]  that disperses more kinetic energy at a rate higher than any other traditional body armor, using one of the strongest synthetic materials ever created, called ultra-high molecular weight polyethylene.
[00:15:30.673 --> 00:15:33.576]  Defender armor is also super compact and lightweight.
[00:15:33.837 --> 00:15:39.584]  There's a reason the Department of Defense chose Defender to manufacture their new line of advanced lightweight armor.
[00:15:39.904 --> 00:15:40.365]  It works.
[00:15:40.665 --> 00:15:48.972]  Defender Body Armor is made right here in America and has received the highest level Ballistic Resistance Certification from an authorized NIJ Ballistic Laboratory.
[00:15:48.992 --> 00:15:58.519]  Defender Body Armor is now available through InfoWarsTore.com so you can defend yourself, your family, and finance the Info War against the globalists all at the same time.
[00:15:58.880 --> 00:15:59.380]  A total 360 win.
[00:16:01.508 --> 00:16:10.531]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:16:10.591 --> 00:16:18.694]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:16:18.994 --> 00:16:23.676]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:16:23.876 --> 00:16:30.599]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:16:30.659 --> 00:16:37.741]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:16:37.841 --> 00:16:44.704]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:16:44.864 --> 00:16:49.206]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:16:49.346 --> 00:16:52.608]  Available in original or with our immune support infusion blend.
[00:16:52.728 --> 00:16:58.851]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:16:59.031 --> 00:17:00.711]  Available at Infowarslife.com.
[00:17:08.758 --> 00:17:15.383]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[00:17:15.783 --> 00:17:18.705]  And now, your host, David Knight.
[00:17:19.506 --> 00:17:30.293]  Ladies and gentlemen, you are watching or listening to the Alex Jones Show, the number one enemy of the globalists, the most attacked platform out there now.
[00:17:30.714 --> 00:17:37.018]  Thank you all for your prayers, thank you for your support, thank you for spreading the articles and videos, because we're all in this together.
[00:17:37.078 --> 00:17:38.139]  The mainstream corporate
[00:17:38.439 --> 00:17:39.460]  Press is collapsing.
[00:17:39.500 --> 00:17:40.361]  They're dead already.
[00:17:40.661 --> 00:17:41.462]  They know they are.
[00:17:41.862 --> 00:17:43.643]  So they're trying to get free speech banned.
[00:17:44.104 --> 00:17:46.666]  They're trying to basically push for free speech to be shut down.
[00:17:47.046 --> 00:17:53.011]  They're even openly pushing for people to be arrested for their free speech, to have their children taken for free speech in America.
[00:17:53.552 --> 00:17:54.432]  They're even openly...
[00:17:55.353 --> 00:18:03.942]  Calling for massive censorship, and we have seen Google come out yesterday, Business Insider and others, got a hand of Business Insider, they actually reached out to Google.
[00:18:04.263 --> 00:18:05.564]  The other media said I was lying.
[00:18:06.325 --> 00:18:14.474]  We got the documents that we are being censored, we are being targeted for our free speech, and for exposing the Syria war as a false flag.
[00:18:14.934 --> 00:18:16.316]  By the rebels, not by Trump!
[00:18:16.676 --> 00:18:21.677]  I want to explain, I know why Trump hit the chemical depot, because he would look bad if he didn't, and he couldn't confirm either way.
[00:18:21.717 --> 00:18:25.318]  But we have the intel, we have the history, there should be an investigation of the rebels.
[00:18:25.678 --> 00:18:29.999]  And so the neocon group, with the contract out, the word is it's a $10 million contract.
[00:18:30.019 --> 00:18:31.780]  We broke that, of course, with Cernovich last week.
[00:18:32.180 --> 00:18:38.562]  And Cernovich got this document that Google confirmed is their internal document, where they were ordering people to censor us.
[00:18:38.582 --> 00:18:42.062]  They say it wasn't being done quite right now, so they're going to stop.
[00:18:42.803 --> 00:18:44.063]  No, they're not stopping.
[00:18:44.443 --> 00:18:46.806]  Get InfoWars.com out to everybody you know.
[00:18:47.747 --> 00:18:48.428]  Spread the links.
[00:18:48.788 --> 00:18:53.834]  Because you're not going to get hardcore, unfiltered, teleprompter-free information like this anywhere else.
[00:18:54.134 --> 00:18:57.218]  Now we've got to end the Easter Mega Special here in the next 48 hours.
[00:18:57.538 --> 00:18:58.540]  But people love sales.
[00:18:58.660 --> 00:18:59.260]  I love sales.
[00:19:00.629 --> 00:19:04.492]  And it helps fund our operation, at least if a lot of people take advantage of the sale, then it does.
[00:19:05.533 --> 00:19:11.878]  If we have a big sale and cut prices down to almost no profit, and then people don't take advantage of it, then we actually lose money.
[00:19:12.138 --> 00:19:14.940]  We need to fund ourselves, fund this operation.
[00:19:14.960 --> 00:19:17.022]  30% off BrainForce, the great nootropic.
[00:19:17.062 --> 00:19:17.702]  Try it, folks.
[00:19:17.982 --> 00:19:18.883]  It supports the broadcast.
[00:19:18.923 --> 00:19:19.523]  You can't lose.
[00:19:19.543 --> 00:19:21.645]  25% off Supramel Vitality.
[00:19:21.805 --> 00:19:23.046]  25% off Vitamin Mineral Fusion.
[00:19:23.206 --> 00:19:24.127]  25% off Secret.
[00:19:24.147 --> 00:19:25.708]  12% off Vitamin B12.
[00:19:27.029 --> 00:19:33.954]  25% off Super Female Vitality, 25% off Survival Shield X2, and many others at InfoWarsTore.com.
[00:19:34.595 --> 00:19:47.944]  We've also got it in the special on 40% off on the amazing Nomad Pro Pure Gravity Fed Stainless Steel System at 120-something bucks, leading competitors 250 for the same basic unit.
[00:19:48.084 --> 00:19:49.285]  You cannot beat that deal.
[00:19:50.506 --> 00:19:51.207]  We're good to go.
[00:20:06.610 --> 00:20:19.481]  Just like our information is game-changing and tip-of-the-spear, our products are absolutely game-changing because we want you to come back and buy them because they work good, and we know we're targets of the globalists, so we have the highest standards.
[00:20:20.021 --> 00:20:21.543]  It's a win-win-win-win-win.
[00:20:21.843 --> 00:20:22.984]  Thank you all for your support.
[00:20:23.084 --> 00:20:24.745]  Infowarsstore.com or 888.
[00:20:25.566 --> 00:20:31.331]  Alright ladies and gentlemen, let's now hand the baton to David Knight right here in the Central Texas Command Center.
[00:20:48.322 --> 00:20:53.766]  All right, thank you, Alex, and remember that that mega Easter sale is going to end tonight.
[00:20:53.886 --> 00:20:55.387]  That's what Alex was just talking about.
[00:20:56.187 --> 00:21:01.391]  Just before the break, I was talking about how Google has now responded to the information that we revealed yesterday.
[00:21:01.411 --> 00:21:05.094]  Remember Mike Cernovich, over the weekend, had a contractor send him
[00:21:06.255 --> 00:21:10.823]  A sample of how Google is going to censor entire sites.
[00:21:10.883 --> 00:21:13.968]  And of course they used InfoWars as an example of this.
[00:21:14.348 --> 00:21:18.375]  Saying, well here's a story where Assad says he thinks that this Syrian attack was fake.
[00:21:19.255 --> 00:21:21.956]  CNN talks about it, and they're trustworthy.
[00:21:21.976 --> 00:21:24.757]  You should rate them high, because they talk to government sources.
[00:21:24.797 --> 00:21:26.338]  They talk to people from the Pentagon.
[00:21:26.358 --> 00:21:27.819]  They talk to bankers, okay?
[00:21:28.219 --> 00:21:30.720]  But InfoWars talks to people like Ron Paul.
[00:21:31.040 --> 00:21:32.280]  They tell you what Assad said.
[00:21:32.961 --> 00:21:44.966]  And then, yesterday, we told you that there was a guy who was an MIT professor emeritus, a scientific advisor, former scientific advisor to the Department of Defense, who was a scientific advisor four years ago,
[00:21:45.706 --> 00:21:53.773]  And here's part of the group that took a look at the false flag back then that they were trying to say, look, this is a sarin gas attack and only the government of Syria could have done it.
[00:21:53.833 --> 00:21:55.475]  And they said, no, no, that's not true.
[00:21:55.815 --> 00:22:00.219]  They debunked that four years ago before there was any kind of military action.
[00:22:00.599 --> 00:22:01.019]  The U.N.
[00:22:01.060 --> 00:22:01.580]  agreed with it.
[00:22:01.880 --> 00:22:03.081]  Russia was saying that as well.
[00:22:03.121 --> 00:22:04.863]  So the Russia, Russia, the U.S.
[00:22:05.103 --> 00:22:05.904]  and the U.N.
[00:22:06.084 --> 00:22:08.626]  all agreed that that was a false flag four years ago.
[00:22:08.646 --> 00:22:11.008]  Now, this story here, you can see this on Infowars.com.
[00:22:11.969 --> 00:22:16.874]  He put this up and he said, look, you can see that this was not an aerial munition.
[00:22:17.695 --> 00:22:18.736]  This was crushed.
[00:22:18.816 --> 00:22:20.338]  It did not explode from within.
[00:22:20.358 --> 00:22:22.440]  It was crushed and that created the crater.
[00:22:22.500 --> 00:22:29.047]  So he says the very photo that the Pentagon is putting out here shows that their narrative is not true.
[00:22:29.727 --> 00:22:33.531]  He said this is amateurish and it is politicized.
[00:22:34.292 --> 00:22:35.412]  But, here's the other thing.
[00:22:35.512 --> 00:22:36.833]  They used that as an example.
[00:22:36.913 --> 00:22:39.494]  That was the example, that story, that went out on Friday.
[00:22:40.094 --> 00:22:44.075]  They used that as an example over the weekend and we immediately found out about it through Mike Cernovich.
[00:22:44.095 --> 00:22:45.036]  We put that up yesterday.
[00:22:45.056 --> 00:22:45.696]  We talked about it.
[00:22:45.756 --> 00:22:50.417]  Now, Google has come back and said, well, that was a rogue vendor.
[00:22:51.018 --> 00:22:52.638]  See, this is their Rogue One defense.
[00:22:54.239 --> 00:22:55.359]  It was a rogue vendor that did it.
[00:22:55.719 --> 00:22:56.580]  We really didn't do it.
