[00:00:05.799 --> 00:00:06.539]  What's his name?
[00:10:53.119 --> 00:11:02.462]  The entire Special Forces community, basically, I mean, we're talking 90 plus percent, has decided on their own to go operational against the globalists.
[00:11:04.082 --> 00:11:06.043]  Way bigger than they did during the campaign.
[00:11:07.543 --> 00:11:16.126]  I mean, hell, you saw Tonto, one of the most famous veterans alive, say, without me prompting, he's ready to go operational.
[00:11:16.326 --> 00:11:19.367]  They try to overthrow Trump, they're going to hit the streets, they're going to engage.
[00:11:22.165 --> 00:11:26.047]  There's no way the globalists can win if Trump just stays the course and they don't kill him.
[00:11:27.929 --> 00:11:33.952]  That's why they're trying to undermine him and say he's a fraud and saying he hasn't had success when he's had anything but failure.
[00:11:34.012 --> 00:11:38.635]  It's been almost total success and ridiculous in the last 74 days what he's gotten done.
[00:11:38.655 --> 00:11:41.457]  I don't have to chronicle that again here, do I?
[00:11:41.857 --> 00:11:43.838]  But you need to and everybody you know that's still in the dark.
[00:11:46.420 --> 00:11:48.221]  It is biblical that Mike Cernovich
[00:11:50.134 --> 00:12:02.916]  Investigative journalist, lawyer, filmmaker, would be profiled as the epitome of fake news when he's the epitome of cutting-edge, smart news.
[00:12:02.976 --> 00:12:04.697]  The guy's got a great brain.
[00:12:05.057 --> 00:12:05.717]  He gets it.
[00:12:05.797 --> 00:12:06.457]  He sees it.
[00:12:07.097 --> 00:12:07.997]  He's the thin slicer.
[00:12:08.017 --> 00:12:11.498]  That's what my dad calls it.
[00:12:13.258 --> 00:12:15.219]  And notice, only zero hedge in Infowars.
[00:12:15.879 --> 00:12:16.759]  Of course, drugs link to it.
[00:12:18.050 --> 00:12:23.794]  Gave the guy any credit on the biggest story so far in this whole Spygate, Russiagate garbage.
[00:12:26.076 --> 00:12:29.679]  He got the leak directly from the big outfit.
[00:12:29.819 --> 00:12:31.100]  Our intel is it's Bloomberg.
[00:12:31.881 --> 00:12:33.122]  But he wants to leave his source alone.
[00:12:33.382 --> 00:12:34.603]  Bloomberg within an hour!
[00:12:37.153 --> 00:12:45.361]  Of him publishing, publishes their own thing confirming everything Cernovich said, and no one on the news will even say his name.
[00:12:45.862 --> 00:12:48.344]  One time on CNN they said, oh, he's fake news.
[00:12:49.766 --> 00:12:51.988]  They don't attack the fact that it's a real story.
[00:12:53.629 --> 00:12:56.632]  Or CNN calls it a fake scandal.
[00:12:56.893 --> 00:12:59.135]  They don't call it a fake story.
[00:12:59.155 --> 00:13:01.177]  They say, oh, the scandal's fake.
[00:13:03.959 --> 00:13:06.981]  Look at the arrogance of these parasitic sacks of crap.
[00:13:07.942 --> 00:13:09.143]  They think they're better than everybody else.
[00:13:09.163 --> 00:13:11.425]  Just look at Cuomo and his dirtbag bully brother.
[00:13:11.445 --> 00:13:13.927]  They're gonna get put in their place real soon.
[00:13:14.247 --> 00:13:14.788]  Better believe it.
[00:13:16.009 --> 00:13:16.929]  Running their mouths.
[00:13:17.230 --> 00:13:18.831]  Constantly trying to bankrupt this country.
[00:13:21.773 --> 00:13:22.134]  Pigs.
[00:13:23.835 --> 00:13:26.437]  He comes out and says it's a fake scandal.
[00:13:30.860 --> 00:13:31.421]  It's amazing.
[00:13:33.186 --> 00:13:35.667]  Ladies and gentlemen, they're on record everywhere.
[00:13:35.727 --> 00:13:37.088]  In fact, I've got the stacks of news.
[00:13:37.128 --> 00:13:41.890]  I was asking for that New York Times back, guys, from March 1st, and all the others.
[00:13:43.010 --> 00:13:44.030]  Here it is, right in front of me.
[00:13:44.050 --> 00:13:44.331]  Thank you.
[00:13:44.811 --> 00:13:48.832]  Obama administration rushed to preserve intelligence of Russian election hacking.
[00:13:48.852 --> 00:13:53.194]  That was all the intel grabbed, and Susan Rice is even in these articles.
[00:13:55.535 --> 00:13:59.037]  And then we've got all the other stories we can put up behind us from January 20th.
[00:14:00.325 --> 00:14:01.765]  Wiretaps of Trump Tower!
[00:14:01.785 --> 00:14:03.286]  Here, let's put it on screen whenever we get a chance.
[00:14:04.886 --> 00:14:06.127]  Behind me or in front of me, I don't care.
[00:14:09.408 --> 00:14:10.828]  But that's how dumb they think you are.
[00:14:11.768 --> 00:14:14.589]  And this giant hoax that I was wondering if it would work.
[00:14:15.149 --> 00:14:16.630]  They put everything they had into this.
[00:14:16.910 --> 00:14:20.931]  More than saying Hillary was invincible and couldn't be beaten and was, you know, 15 points ahead.
[00:14:20.951 --> 00:14:25.452]  And then, I knew they were desperate when they said she had 68 points against Trump.
[00:14:29.952 --> 00:14:32.013]  I mean, internal polls where he was 15 points ahead of her.
[00:14:32.573 --> 00:14:34.393]  CNN was saying that she was 30-40 points ahead.
[00:14:34.733 --> 00:14:37.254]  Wiretapping data using inquiry of Trump aides.
[00:14:37.454 --> 00:14:38.234]  Oh my gosh!
[00:14:38.634 --> 00:14:54.899]  Then, two weeks ago, we get the secret DEA-CIA interface into the NSA of Obama going back eight years spying on Trump, his family, and everybody.
[00:14:56.294 --> 00:15:00.856]  This is just the targeting orders and the grids so they know where to go in and what's been surveilled.
[00:15:01.296 --> 00:15:01.917]  Just a listing.
[00:15:03.277 --> 00:15:04.458]  Like a card at the library.
[00:15:06.199 --> 00:15:09.400]  And of course we covered up all the names and the rest of it and then destroyed the information.
[00:15:09.560 --> 00:15:11.381]  We were only given a small portion of the file.
[00:15:11.882 --> 00:15:12.482]  But it was real!
[00:15:14.603 --> 00:15:17.985]  You didn't hear one word out of MSM.
[00:15:18.025 --> 00:15:19.405]  They didn't touch it.
[00:15:20.946 --> 00:15:21.906]  Oh and guess who else was in there?
[00:15:22.067 --> 00:15:23.407]  Alex Jones being spied on.
[00:15:23.787 --> 00:15:24.748]  Michael Savage.
[00:15:26.937 --> 00:15:36.300]  And that was just in the little dump that the Sheriff's Department of Maricopa County gave us that the FBI's had for multiple years.
[00:15:36.320 --> 00:15:40.821]  Then I had Larry Klayman, you know, the lawyer that's beaten the NSA in court, founder of Judicial Watch.
[00:15:41.222 --> 00:15:43.922]  I had him on days later to break down the case.
[00:15:44.082 --> 00:15:49.784]  I mean, this is rock solid.
[00:15:49.804 --> 00:15:51.725]  600 plus million files.
[00:15:54.582 --> 00:15:55.783]  Did you hear anything about that?
[00:15:56.163 --> 00:16:00.385]  That's certified Citizen Trump being spied on.
[00:16:00.405 --> 00:16:02.246]  Day one, Obama.
[00:16:02.866 --> 00:16:03.066]  Why?
[00:16:03.126 --> 00:16:04.407]  Because they knew the charisma.
[00:16:04.607 --> 00:16:05.908]  Number one TV host in the country.
[00:16:06.168 --> 00:16:08.089]  They knew he was planning to probably run as a Republican.
[00:16:08.329 --> 00:16:09.829]  Of course the Democrats were watching him.
[00:16:12.231 --> 00:16:16.833]  If you're not getting watched by these criminals, you're not on the field.
[00:16:17.995 --> 00:16:20.357]  Oh, and Comey came out and said there was no surveillance.
[00:16:20.617 --> 00:16:24.481]  Well, he can say that because his agency wasn't the ones doing it.
[00:16:25.682 --> 00:16:38.974]  And then he can play dumb, because Susan Rice didn't come over and say, I'm spying on the president-elect, but sees no evidence of wiretapping.
[00:16:39.334 --> 00:16:41.216]  Ha ha, now notice, sees no evidence.
[00:16:42.497 --> 00:16:44.259]  What, right in front of his eyeballs?
[00:16:46.167 --> 00:16:48.488]  I mean, are you allowed to lie when you're like 7 feet tall?
[00:16:50.489 --> 00:16:51.229]  I mean, I'm just wondering.
[00:16:51.309 --> 00:16:52.490]  Is that what he's got going for him?
[00:16:52.810 --> 00:16:55.511]  Did nothing about Loretta Lynch on the airplane with Bill Clinton illegally.
[00:16:55.791 --> 00:16:57.451]  All the rest of the crap we've witnessed.
[00:16:59.192 --> 00:17:04.154]  And now he's rolling over to the MSM to piss all over our president and our country.
[00:17:07.355 --> 00:17:08.416]  Got a bunch of clubs I'm gonna play.
[00:17:08.456 --> 00:17:12.297]  We have an incredible list of amazing guests today.
[00:17:12.337 --> 00:17:13.918]  This is another broadcast nobody can miss.
[00:17:15.725 --> 00:17:20.928]  Come back, I'm going to get into these Susan Rice clips, but I want to go ahead and just start getting to some of these right now.
[00:17:20.968 --> 00:17:22.389]  I want to start with Chris Cuomo.
[00:17:23.690 --> 00:17:27.132]  Calls the Susan Rice report a fake scandal.
[00:17:27.152 --> 00:17:28.632]  Again, not fake news, because it's not fake.
[00:17:29.093 --> 00:17:30.554]  Bloomberg admits it real.
[00:17:31.754 --> 00:17:32.415]  They sat on it.
[00:17:32.495 --> 00:17:33.175]  Others sat on it.
[00:17:35.176 --> 00:17:40.199]  Ladies and gentlemen, they also hit it in plain view on March 1st, admitting that they were spreading the info.
[00:17:40.259 --> 00:17:40.980]  That's what's crazy.
[00:17:41.340 --> 00:17:43.341]  I mean, we have the mole that's Susan Rice.
[00:17:43.681 --> 00:17:44.642]  Then we have the mouth.
[00:17:45.558 --> 00:17:52.484]  That is Evelyn Farkas, who goes on TV and pushes it and says, we have the proof.
[00:17:53.485 --> 00:17:54.206]  And then goes, ooh.
[00:17:57.189 --> 00:17:58.550]  That's how delusional they are.
[00:18:00.251 --> 00:18:11.862]  So here's Chris Cuomo, who says, if your 12-year-old daughter doesn't like to see a man's penis in their showers at school, that she's a transphobe and that you're a bad father.
[00:18:12.895 --> 00:18:13.875]  He said that three weeks ago.
[00:18:14.216 --> 00:18:16.196]  I mean, what type of wacko is this guy?
[00:18:17.997 --> 00:18:21.258]  His brother says if you own guns or you're pro-life, get out of New York.
[00:18:21.298 --> 00:18:22.039]  You're not welcome here.
[00:18:22.439 --> 00:18:23.439]  And people said, oh, you're joking.
[00:18:23.459 --> 00:18:24.980]  He said, no, get out of here.
[00:18:25.520 --> 00:18:26.820]  How about you get out of here, buddy?
[00:18:26.840 --> 00:18:30.682]  How about you quit running your fat mouth, punk?
[00:18:31.642 --> 00:18:33.203]  People are sick of people like you.
[00:18:33.343 --> 00:18:35.764]  We're done getting pushed around, and you know it, don't you?
[00:18:37.042 --> 00:18:38.283]  So let's play this piece of trash.
[00:18:38.323 --> 00:18:38.743]  Here he is.
[00:18:38.763 --> 00:18:42.945]  President Trump, right-wing media types peddling a fake scandal.
[00:18:42.985 --> 00:18:43.365]  What is it?
[00:18:43.425 --> 00:18:54.691]  Well, this suggestion that former Obama National Security Advisor Susan Rice improperly unmasked the identity of Trump associates as part of what our president calls a crooked scheme.
[00:18:54.831 --> 00:18:58.513]  An associate of Rice says it's just plain false.
[00:18:58.733 --> 00:19:01.554]  Joining us now is Democratic Congressman Jim- Oh my gosh!
[00:19:01.934 --> 00:19:02.855]  Maybe we can have-
[00:19:03.789 --> 00:19:09.294]  Congressman Schiff on to tell us that there was no stand-in order in Benghazi and all those heroes are liars.
[00:19:09.834 --> 00:19:13.117]  Maybe we can have that guy who's got the biggest lying eyes.
[00:19:13.577 --> 00:19:16.720]  I wouldn't believe him if he said the sky was blue.
[00:19:16.740 --> 00:19:19.902]  I mean these are obvious pieces of trash.
[00:19:20.222 --> 00:19:27.508]  The worst people in America pulled up out of the sewage by the globalists to be put in to run over the American people because who would want to do that?
[00:19:27.528 --> 00:19:28.689]  Who would want to kill prosperity?
[00:19:28.709 --> 00:19:29.290]  Who would want to do that?
[00:19:29.410 --> 00:19:30.291]  These snakes!
[00:19:32.000 --> 00:19:32.762]  Look at that guy!
[00:19:33.002 --> 00:19:34.345]  That's your enemy on screen!
[00:19:34.786 --> 00:19:37.652]  TV viewers, radio listeners, this is Representative Adam Schiff.
[00:19:38.234 --> 00:19:41.400]  When we return, I'm gonna go into these clips.
[00:19:44.705 --> 00:19:50.250]  CNN goes on a rampage against Susan Rice's bombshell, instructs viewers to ignore the story, talk about mind control.
[00:19:51.110 --> 00:19:56.295]  CNN dismisses Rice's unmasking bombshell as a ginned-up distraction.
[00:19:56.395 --> 00:19:58.517]  They don't call it false, just ginned-up distraction.
[00:19:58.837 --> 00:20:00.638]  And we've got so much more.
[00:20:00.999 --> 00:20:02.100]  Stay with us, we'll be back.
[00:20:08.086 --> 00:20:14.791]  Stephan Molyneux, FreeDomainRadio.com, Stephan Molyneux on Twitter, YouTube, Free Domain Radio as well.
[00:20:15.932 --> 00:20:16.693]  A lot going on.
[00:20:16.733 --> 00:20:17.834]  Thanks for joining us via Skype.
[00:20:17.874 --> 00:20:18.835]  What do you want to tackle first?
[00:20:19.435 --> 00:20:22.418]  Now, the Democrats have a big problem in that they lost, right?
[00:20:22.438 --> 00:20:25.720]  They had a very experienced candidate running against a first-time newbie and they lost.
[00:20:25.740 --> 00:20:29.003]  So they have to come up with some reason that protects the elites as to why they lost.
[00:20:29.023 --> 00:20:31.205]  So now it's all Russia and all this kind of crap, right?
[00:20:31.625 --> 00:20:35.968]  It's the same thing when you had two giant world wars in Europe in the 20th century.
[00:20:35.988 --> 00:20:39.850]  Within the space of a couple of decades, the elites were facing rebellion within their own ranks.
[00:20:40.251 --> 00:20:46.575]  So they had to make up this story as to why we had all these terrible wars and 50 million people got killed and so on.
[00:20:47.055 --> 00:20:47.896]  And their answer was,
[00:20:48.837 --> 00:20:50.799]  Alex, do you know what caused these wars?
[00:20:51.340 --> 00:20:51.840]  Borders!
[00:20:52.121 --> 00:20:53.022]  Yes, it's borders!
[00:20:53.042 --> 00:20:57.988]  So if we get rid of borders, it's not the elite, it's not the military-industrial complex, and it sure as hell isn't central banking.
[00:20:58.008 --> 00:20:58.869]  Never wanna touch that.
[00:20:59.350 --> 00:21:00.071]  It's borders!
[00:21:00.491 --> 00:21:03.916]  Like, in other words, if your home gets robbed, the problem is your walls.
[00:21:03.936 --> 00:21:06.199]  So if we take down your walls, everything's gonna be fine.
[00:21:06.639 --> 00:21:16.284]  People, of course, think that the EU was some spontaneous organization of the masses, like, oh, we're facing giant, consolidated totalitarianism behind the Soviet bloc and so on.
[00:21:16.545 --> 00:21:21.367]  So what we need is another giant layer of bureaucracy and central planning, because that's how you fight communism.
[00:21:21.447 --> 00:21:22.208]  It's with socialism.
[00:21:22.248 --> 00:21:24.989]  I've never for the life of me understood that logic.
[00:21:25.029 --> 00:21:27.371]  That's like fighting a headache by cutting your own head off.
[00:21:27.771 --> 00:21:31.453]  But of course, it was the American elites who helped fund the origins
[00:21:31.753 --> 00:21:32.274]  ...of the EU.
[00:21:32.334 --> 00:21:34.195]  It came out of precursors to the CIA.
[00:21:34.235 --> 00:21:37.058]  They never funded less than half of the groups that were advocating for it.
[00:21:37.418 --> 00:21:42.502]  It is a globalist, centralized, CIA-based, collectivist nightmare.
[00:21:42.803 --> 00:21:46.546]  And finally, finally, Europe seems to be waking up from this nightmare.
[00:21:46.886 --> 00:21:47.506]  I agree with you.
[00:21:47.586 --> 00:21:48.787]  What's happening is prima facie.
[00:21:48.827 --> 00:21:52.928]  It's not like we're here just making up our own narrative and we're the fake news.
[00:21:52.988 --> 00:21:53.128]  No.
[00:21:53.328 --> 00:21:55.009]  They have brought in 5 million Muslims.
[00:21:55.409 --> 00:21:56.890]  80% of them are military-age men.
[00:21:57.110 --> 00:21:58.750]  They are running around like they own the place.
[00:21:59.011 --> 00:22:06.693]  The left is literally bringing in men like reinforcements and Peter Sutherland of the EU and UN says they're trying to get rid of Europe because it has a middle class.
[00:22:06.753 --> 00:22:13.236]  I mean, what's weird is in their white papers they tell the truth and it's so crazy and so bad that in public they lie
[00:22:13.536 --> 00:22:17.438]  And I'm wondering, why would they want to bring in authoritarianism when it's the most unstable system?
[00:22:17.518 --> 00:22:18.639]  What the hell are they doing?
[00:22:18.859 --> 00:22:22.021]  People who are focused on political power are drug addicts, right?
[00:22:22.401 --> 00:22:34.447]  We know this from studies in monkeys, that as you rise through the hierarchy of the ranks, you get endorphins, you get all of these wonderful happy brain joy juices flooding through your system, and you become an addict.
