[00:00:05.091 --> 00:00:05.852]  You've got it.
[00:12:57.571 --> 00:12:59.852]  Tower of Babelism is what I'd call it.
[00:13:00.752 --> 00:13:03.714]  A new language, a new world system called Babelism.
[00:13:04.574 --> 00:13:13.858]  Here it is out of Campus Reform, Major Global Society for Social Studies, the main group on the globe, meeting in Boston as we speak.
[00:13:15.131 --> 00:13:16.792]  They just stopped meeting this weekend.
[00:13:17.433 --> 00:13:21.716]  Academic conference aims to de-center English in higher ed.
[00:13:22.196 --> 00:13:25.058]  And you've got all the admissions of bringing down Europe.
[00:13:25.098 --> 00:13:31.542]  And I played a clip on the Sunday Show of the Vice President of the EU saying, we must end the whiteness of Europe.
[00:13:32.103 --> 00:13:35.505]  Any country being a central culture is bad.
[00:13:35.805 --> 00:13:42.410]  Well, bad for globalism that's overriding all the cultures, getting rid of them, so AI can come sweeping in.
[00:13:43.899 --> 00:13:48.522]  So global, total, standardized control can be in place.
[00:13:51.364 --> 00:14:11.519]  I had a all-night dream last night, that whether it was my mind focusing on all the research and projecting in a visual extravaganza what was coming, or whether I've just watched too much science fiction, or whether I've read too many statements by top tech gurus or Vladimir Putin,
[00:14:12.435 --> 00:14:26.537]  But man, I had a dream last night about AI takeover that was unbelievable, and so graphic, and so step-by-step, like I was being given a briefing in chapters of what was going to come, and I woke up about 3 a.m.
[00:14:26.637 --> 00:14:30.118]  with a sickening, sad, overwhelmed feeling.
[00:14:30.498 --> 00:14:40.800]  Not a feeling of fear, but I understood why the globalists have just acquiesced to this spirit, because they're so horrified by it, they just hope they don't get destroyed by it.
[00:14:41.440 --> 00:14:53.229]  Because regardless of what my dream was, vision, or prime projection analysis, or a little bit of both, what humans envision most of the time ends up becoming a reality.
[00:14:53.590 --> 00:15:02.877]  And what I was envisioning in that in-depth, vivid dream is what most of the elites believe is going to be basically manifest very, very soon.
[00:15:04.518 --> 00:15:06.720]  But I know this, if you turn it into a science fiction movie,
[00:15:08.843 --> 00:15:10.627]  Man, unbelievable.
[00:15:10.988 --> 00:15:12.471]  So maybe today, maybe tomorrow.
[00:15:12.571 --> 00:15:17.962]  I don't want to just get into something this big and just kind of have it as a side issue.
[00:15:21.505 --> 00:15:27.949]  May get into that in the days and weeks to come, because I did have a dream of jets flying to the World Trade Centers and things like that.
[00:15:28.029 --> 00:15:32.832]  I did warn people they were going to blow it up two months before it happened and said they'd blame it on their asset bin Laden.
[00:15:33.212 --> 00:15:34.433]  People asked how I knew that.
[00:15:35.173 --> 00:15:41.357]  The media has confirmed that I did indeed say that, exactly those words, and I had recurring dreams of it happening.
[00:15:42.688 --> 00:15:45.370]  So, just a little tidbit.
[00:15:45.470 --> 00:15:50.592]  There's a lot of things going on in this world that aren't in all the establishment's books, and they know that.
[00:15:51.173 --> 00:15:57.396]  But, let me now just get into the main issue, obviously, the thing on our plate right now.
[00:15:57.416 --> 00:16:09.483]  Thermal nuclear war, the hydrogen bomb, tested over the weekend in North Korea, ten times more powerful, showing up way over a six magnitude on the Richter scale for a earthquake.
[00:16:10.490 --> 00:16:14.953]  And confirming that indeed a massive hydrogen bomb was tested.
[00:16:15.393 --> 00:16:23.257]  And now they've shown videos and photos of hydrogen bomb casings that they can load on top of ICBMs.
[00:16:25.758 --> 00:16:27.419]  And they're threatening to nuke Tokyo.
[00:16:27.459 --> 00:16:29.981]  They're threatening to nuke Seoul, South Korea.
[00:16:30.061 --> 00:16:31.581]  They're threatening to attack us preemptively.
[00:16:32.002 --> 00:16:36.324]  North Korea threats prompt Japan evacuation preparedness.
[00:16:37.985 --> 00:16:39.326]  That's out of Japan.
[00:16:40.919 --> 00:16:44.384]  Putin says that the nation that leads in AI will be the ruler of the world.
[00:16:44.404 --> 00:16:45.726]  I'm going to get more into that today.
[00:16:47.249 --> 00:16:55.141]  Putin's also come out and said military hysteria over North Korea may lead to planetary catastrophe, heavy loss of life.
[00:16:56.840 --> 00:16:59.343]  Yes, we're coming up against a big crisis right now.
[00:17:00.184 --> 00:17:15.044]  And notice the Democrats in Time Magazine and Newsweek, all back in January and back in February after Trump had been elected, we need to dig these back up, said, oh don't worry, Trump's going to be challenged by something internationally.
[00:17:15.984 --> 00:17:24.468]  When he's first in office, that we'll see what his medal's made of and to see if he can take it and to see if he'll go ahead and join the globalists.
[00:17:24.548 --> 00:17:28.210]  And then immediately, we know they have globalist back channels in North Korea.
[00:17:28.550 --> 00:17:39.515]  He began to break every agreement and go completely crazy in everyone's face, knowing that he's got big supporters in the Republican and Democratic Party, as well as in the Communist Chinese Party of China.
[00:17:41.403 --> 00:17:43.644]  And indeed, the Daily Caller has a big article up.
[00:17:43.844 --> 00:17:49.086]  Anti-Trump resistance groups, some of the largest of the nation, spreading North Korean propaganda.
[00:17:49.526 --> 00:17:54.928]  And even CNN and the New York Times and The Hill are bad-mouthing Trump and our military.
[00:17:59.369 --> 00:18:04.631]  And acting like that they are the bad guys.
[00:18:05.711 --> 00:18:16.617]  This is just lunacy, but this is the whole Machiavelli and everybody stabbing each other in the back paradigm that the globalists have basically created.
[00:18:19.839 --> 00:18:33.267]  While they're busy trying to dominate Christians and mount our head politically on the wall and make sure they can sexualize our children, the folks at CNN and Salon and all the rest of the enemy media are busy digging their own cultural, historical, economic,
[00:18:35.660 --> 00:18:38.922]  civilizational graves.
[00:18:40.423 --> 00:18:42.223]  It's the stuff that collapse is made of.
[00:18:42.644 --> 00:18:43.404]  Look at RT.
[00:18:43.464 --> 00:18:47.826]  Putin, military hysteria over North Korea may lead to planetary catastrophe, heavy loss of life.
[00:18:49.527 --> 00:18:51.268]  But notice, that's RT.
[00:18:51.308 --> 00:18:52.589]  Notice how the Hill spun it.
[00:18:54.450 --> 00:18:58.432]  Putin urges Trump to avoid hysteria on North Korea, which is not
[00:18:59.793 --> 00:19:00.394]  what he did.
[00:19:00.494 --> 00:19:01.735]  They changed the headline.
[00:19:02.155 --> 00:19:04.197]  Originally it was what Putin actually said.
[00:19:04.537 --> 00:19:06.018]  You can see it in the URL.
[00:19:06.439 --> 00:19:08.841]  Putin warns North
[00:19:10.438 --> 00:19:12.600]  Korea could lead to global catastrophe.
[00:19:13.361 --> 00:19:14.962]  So the URL stayed the same.
[00:19:14.982 --> 00:19:18.546]  They'd have to kill the story if they did change the URL.
[00:19:18.946 --> 00:19:22.790]  But then they changed the headline, Putin urges Trump to avoid hysteria on North Korea.
[00:19:22.810 --> 00:19:29.416]  See, everything is about undermining our president because the globalists are tasked with decentralizing
[00:19:31.627 --> 00:19:41.090]  National power from the people and transferring it to a new centralization, a technocracy controlled by supercomputers that the globalists program for the outcomes they want.
[00:19:41.391 --> 00:19:48.693]  And that ties into Obama and this letter that he leaked, that he supposedly privately gave to Trump.
[00:19:48.713 --> 00:19:49.513]  Isn't that nice of him?
[00:19:49.854 --> 00:19:56.236]  Leaking the letter that was supposedly private, saying your job is to sustain the international order of world government.
[00:19:57.205 --> 00:19:57.466]  Wow!
[00:19:58.187 --> 00:20:00.872]  We've come a long way because all this garbage is now out in the open.
[00:20:00.912 --> 00:20:01.292]  Stay with us.
[00:20:10.993 --> 00:20:13.214]  Michael Malice is our guest.
[00:20:14.074 --> 00:20:16.055]  He has traveled to North Korea repeatedly.
[00:20:16.075 --> 00:20:17.316]  He's written a best-selling book.
[00:20:17.476 --> 00:20:28.721]  Fiction couldn't make up a get-the-clown creature like Kim Jong-un, strutting around like a hobbled tyrannosaurus feeding on humanity.
[00:20:29.041 --> 00:20:33.203]  I hate Kim Jong-un, but the poor people, it's like, what do we do?
[00:20:33.683 --> 00:20:34.304]  You've been there.
[00:20:34.364 --> 00:20:36.665]  I mean, these people are literally on another planet.
[00:20:36.745 --> 00:20:37.265]  What do we do?
[00:20:38.508 --> 00:20:40.750]  I mean, there is no easy answer.
[00:20:41.030 --> 00:20:46.355]  The only thing we can do is put pressure on China, and China has started to buckle, which is a very good sign.
[00:20:46.635 --> 00:20:50.038]  It's easy for North Korea when it's us versus them, when it's the U.S.
[00:20:50.078 --> 00:20:51.999]  imperialists, as they call us, versus them.
[00:20:52.379 --> 00:20:58.164]  But now when you have the international community uniting, including their big brother China, that's a very different dynamic.
[00:20:58.484 --> 00:21:02.067]  And it's a better dynamic, because why is this our problem entirely?
[00:21:02.087 --> 00:21:02.948]  You're an expert on this.
[00:21:02.988 --> 00:21:05.190]  Let's talk about the North Korean-China relationship.
[00:21:05.250 --> 00:21:07.332]  Why has China been going along with this for 50 years?
[00:21:08.132 --> 00:21:09.894]  China doesn't want a U.S.
[00:21:10.014 --> 00:21:10.935]  ally on their border.
[00:21:11.495 --> 00:21:17.440]  China doesn't want 25 million North Korean refugees crossing the river and living in China where they have nothing to offer.
[00:21:18.101 --> 00:21:24.747]  And China basically doesn't... No one wants a collapsed state on their border that they have to basically deal with the problem.
[00:21:24.847 --> 00:21:26.649]  I mean, are we closer to midnight than ever?
[00:21:26.669 --> 00:21:30.452]  Because most experts I talk to say if there's nuclear war, it's going to start in North Korea, not the Middle East.
[00:21:30.933 --> 00:21:32.835]  Not in Ukraine, not on the border of Russia.
[00:21:33.175 --> 00:21:35.877]  I mean, what do you think of the experts you talk to?
[00:21:35.897 --> 00:21:38.560]  Because, I mean, you're all over the place talking to top experts.
[00:21:39.020 --> 00:21:40.462]  I mean, how serious is this?
[00:21:40.522 --> 00:21:41.222]  I got four children.
[00:21:41.262 --> 00:21:41.583]  I want to know.
[00:21:42.723 --> 00:21:43.803]  I think it's good.
[00:21:43.823 --> 00:21:44.543]  Your kids are fine.
[00:21:44.884 --> 00:21:45.644]  Your kids are safe.
[00:21:46.464 --> 00:21:52.165]  North Korea, in their literature, constantly talk about the fact, we know we can't win.
[00:21:52.765 --> 00:21:54.586]  They say this explicitly.
[00:21:55.026 --> 00:21:59.387]  So they're not... Listen, everyone talks about how he's crazy and suicidal.
[00:21:59.607 --> 00:22:00.767]  He's satanic, like you said.
[00:22:01.087 --> 00:22:03.728]  If he's suicidal, they've been around for 70 years.
[00:22:03.948 --> 00:22:05.748]  That's taken a long time to kill yourself, huh?
[00:22:05.928 --> 00:22:07.308]  Alex, you touched on it earlier.
[00:22:07.348 --> 00:22:10.589]  They have something called the monolithic ideological system.
[00:22:12.270 --> 00:22:17.393]  Everyone in the country thinks the same way and thinks in line with the leader.
[00:22:17.874 --> 00:22:22.677]  So they boast about the fact that there's no independent thought in the entire country.
[00:22:23.417 --> 00:22:31.182]  That it's the leader, which is a human being, that kid like you said, who gives the people their political spiritual life.
[00:22:31.882 --> 00:22:35.084]  And that without the leader, basically, no one would exist.
[00:22:35.264 --> 00:22:40.147]  So, it's a very dark quasi-religion that they push on the people.
[00:22:40.167 --> 00:22:48.752]  And again, when you're this demigod at the head of a country, and you're effectively a billionaire, what would it take for you to quit your job?
[00:22:49.072 --> 00:22:50.112]  It's going to take a lot.
[00:22:50.653 --> 00:22:54.295]  And it's going to take a combination of threats and rewards.
[00:22:54.975 --> 00:22:58.397]  And Kim Jong-un doesn't want to go the way of Gaddafi or Saddam Hussein.
[00:23:03.922 --> 00:23:08.308]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[00:23:08.408 --> 00:23:19.342]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[00:23:19.502 --> 00:23:24.424]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:23:24.545 --> 00:23:27.066]  It helps balance the thyroid gland.
[00:23:27.126 --> 00:23:28.627]  It helps detoxify.
[00:23:28.847 --> 00:23:31.668]  Selenium is another one of those absolute must-haves.
[00:23:31.728 --> 00:23:36.471]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:23:36.491 --> 00:23:42.734]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[00:23:42.774 --> 00:23:48.076]  So it really is an all-around nutrient that everybody really needs.
[00:23:48.176 --> 00:23:48.837]  I'm taking it now.
[00:23:49.797 --> 00:23:50.518]  This is so key.
[00:23:50.778 --> 00:23:53.079]  BioTrue Selenium is the product.
[00:23:53.339 --> 00:23:55.060]  The best selenium that we could bring you.
[00:23:55.100 --> 00:23:57.181]  We believe it's the best out there at a very, very low price.
[00:23:57.322 --> 00:24:00.784]  Exclusively available at Infowarslive.com or by calling toll-free 888-253-3139.
[00:24:33.257 --> 00:24:52.505]  You know, I had a waking dream last night that was just made up in my subconscious mind of the some parts of real events that have already taken place or are taking place, but the projection into the future along different computational lines.
[00:24:55.186 --> 00:25:00.529]  And of course the subconscious mind is hundreds if not thousands of times more powerful than the conscious mind.
[00:25:01.454 --> 00:25:06.578]  That's why we get feelings in our gut, the brain, through the spinal cord.
[00:25:07.279 --> 00:25:10.141]  We'll get our attention where it knows it gets our attention, in our stomach.
[00:25:12.683 --> 00:25:14.624]  In our sixth sense.
[00:25:16.185 --> 00:25:19.008]  And I just realized something, I've already realized, but it hit me so strong.
[00:25:19.408 --> 00:25:28.315]  I've got a lot more peace now than I've had in my frustration and my anger and my gibbering all these factoids out trying to convince people of what's going on.
[00:25:28.335 --> 00:25:30.657]  That
[00:25:32.523 --> 00:25:36.346]  This really is in God's hands and it's a spiritual choice we have to make.
[00:25:40.829 --> 00:25:51.036]  And that the rulers of this earth are scared of the spirit of this world and they have just completely shined themselves over through fear, most of them not even through lust for power.
[00:25:51.096 --> 00:25:52.517]  That's mid-level and low-level folks.
[00:25:52.938 --> 00:25:57.541]  The very top of this, you don't have incompetent people like Nancy Pelosi and
[00:25:59.062 --> 00:26:02.563]  Chuck Schumer and folks like that, little grasping nobodies.
[00:26:03.464 --> 00:26:22.092]  You've got really, really smart people that are scared and also fascinated with the universe and who think they've made their bets with the winning party.
[00:26:25.813 --> 00:26:27.794]  And they're all fighting for control of the planet
[00:26:28.851 --> 00:26:50.130]  To then dutifully execute this blueprint that no matter if you're in France or Russia or China or the United States or Egypt gets expressed beyond any
[00:26:58.453 --> 00:27:06.957]  Explainable way in the modern limited spectrum of kosher thought.
[00:27:10.699 --> 00:27:21.685]  And more and more the establishment is just completely dialed out and just thinks we're a complete joke and kind of has MSNBC and CNN and the academia and the media as a rearguard action.
[00:27:24.332 --> 00:27:33.520]  To just entertain people and confuse people and make people as cowardly and dysfunctional as possible so they never know what even hits them.
[00:27:35.362 --> 00:27:49.755]  See, a spider will bite you if you're a bug it's going to eat and just put a little bit of venom into you to immobilize you and then it'll tie you up
[00:27:54.062 --> 00:27:59.568]  And pump some more venom in just to liquefy enough of you that you're barely still alive and your heart's still barely beating.
[00:27:59.808 --> 00:28:04.433]  And the spider comes over and puts its front leg up on you and checks the heart rate.
[00:28:05.634 --> 00:28:11.780]  Okay, it's almost, and then kind of waits and just knows and comes over and touches it again to see, okay, you're pretty much liquefied.
[00:28:12.181 --> 00:28:16.926]  Bites you again to kill you to fully liquefy everything and then sucks the juices out.
[00:28:17.585 --> 00:28:32.724]  And that's what all this attack on the family and attack on farming and attack on men being men and women being women, all of this is simply us tied up in a spider's web with this entity, this system, getting us ready for the big stroke.
[00:28:33.265 --> 00:28:36.489]  It's kind of like a matador gets the bull angry and
