[00:00:12.250 --> 00:00:13.451]  Wow, Friday.
[00:10:35.912 --> 00:10:37.833]  They're designed to be social disruptor systems.
[00:10:37.853 --> 00:10:38.874]  That's all declassified.
[00:10:39.114 --> 00:10:45.499]  But if you contain them, if you contain the weapons system and it can't replicate, it degrades and implodes on itself.
[00:10:45.519 --> 00:10:48.141]  And they're going through a degrade implosion right now.
[00:10:48.181 --> 00:10:50.703]  We're having devastating victories.
[00:10:51.543 --> 00:10:52.324]  Devastating.
[00:10:52.644 --> 00:10:54.286]  We're devastating the enemy worldwide.
[00:10:54.966 --> 00:10:57.608]  They may set off a nuke in D.C., they may release a bioweapon, though.
[00:10:58.149 --> 00:11:01.111]  Soros and the Globalists are very wicked, do not underestimate them.
[00:11:01.532 --> 00:11:04.734]  But even if that happens, the survivors will dig them out of their bunkers.
[00:11:04.955 --> 00:11:09.499]  We will dig you out of your bunkers, no matter where you go, Globalists, even if you release the bioweapon.
[00:11:09.559 --> 00:11:10.539]  We're fully aware of your plans.
[00:11:11.340 --> 00:11:14.842]  Continuing, ladies and gentlemen, the military is fully aware of your operations.
[00:11:15.202 --> 00:11:18.404]  You're all, right now, in the sights, and you know it, don't you, globalists?
[00:11:18.864 --> 00:11:21.946]  Yeah, this is a two-way street, baby, and you've now shown yourself.
[00:11:22.246 --> 00:11:24.507]  Just keep showing yourself, keep burning yourself down.
[00:11:24.867 --> 00:11:25.668]  That's all coming up.
[00:11:25.888 --> 00:11:29.350]  But let me put the cherry on top before I do this key report that Darren McBrain put together.
[00:11:30.569 --> 00:11:37.053]  Johnny Depp is a drug addict meth head that looks like a child molester you'd see on the side of the road, okay?
[00:11:37.073 --> 00:11:39.335]  I'm not saying he's a child molester, he just looks like one.
[00:11:39.675 --> 00:11:43.298]  Johnny Depp is a talentless joke trying to act cool.
[00:11:43.538 --> 00:11:48.061]  Hey, Stevie Ray Vaughan could play the guitar great and had that style in the 80s.
[00:11:48.161 --> 00:11:48.821]  He was cool.
[00:11:49.141 --> 00:11:52.484]  You look like just a joke stumbling around.
[00:11:52.504 --> 00:11:55.065]  $600 million you made, you lost it all.
[00:11:55.466 --> 00:11:59.068]  You've got some other old geezer liberal wannabe trendy.
[00:11:59.108 --> 00:12:00.449]  I mean, I used to not like Hollywood.
[00:12:01.130 --> 00:12:06.454]  I can't look at it, I can't listen to it, I can hardly put up with any of it anymore.
[00:12:07.135 --> 00:12:18.965]  It is just so anti-human, so elitist, so drugged out, so brainwashed, so filthy rich, while it's bitching about Trump trying to cut taxes for the middle class and trying to get jobs back for factory workers.
[00:12:20.103 --> 00:12:20.824]  It's just sick.
[00:12:21.225 --> 00:12:25.532]  And I saw it this morning and couldn't find good audio of it because he's mumbling so bad.
[00:12:26.033 --> 00:12:33.304]  And then he just sits there like he's such a genius when he says he dreams of killing Trump, of assassinating Trump, like he's the greatest genius ever.
[00:12:33.604 --> 00:12:34.566]  And then you see a bunch of...
[00:12:35.897 --> 00:12:41.940]  You're just moronic, mind-numbed, zombie-looking twit fans when he says it.
[00:12:42.320 --> 00:12:46.222]  Just hold on every word like God had just said something.
[00:12:46.482 --> 00:12:53.205]  No, a meth-head, loser, joke, punk, jumped on the whole bandwagon of other
[00:12:54.205 --> 00:13:08.914]  Harpies and sea hags like Madonna and everybody else saying, kill, kill, kill, kill, kill Trump, kill his supporters, kill America, kill Christians, kill flyover country, bring in the radical Muslims, have women wear hijabs.
[00:13:09.134 --> 00:13:14.377]  We're allied with anything that hates Christendom and hates Western civilization and hates freedom.
[00:13:15.097 --> 00:13:15.898]  But here's the good news.
[00:13:16.338 --> 00:13:19.559]  All over Africa, all over Latin America, people are rejecting globalism.
[00:13:19.780 --> 00:13:20.820]  And they're rejecting it here.
[00:13:20.900 --> 00:13:30.105]  People want prosperity, they want freedom, they want families, they want true diversity, they want true open societies, but not bullying brainwash facilities we see everywhere.
[00:13:30.125 --> 00:13:36.709]  So Johnny Depp is such a pathetic, and I'm not just saying that, you know it, just a doddering
[00:13:37.689 --> 00:13:42.830]  Drugged out with meth mouth, he can barely talk, look like Carrie Fisher, feel sorry for her.
[00:13:43.250 --> 00:13:46.871]  You know, she was a drug addict, admittedly, but at least she wasn't a hateful person politically.
[00:13:47.592 --> 00:13:56.214]  Depp is this drugged out, shrivel-brained, looks like a child molester, you'd see him, again, driving around in a creeper van.
[00:13:56.954 --> 00:14:00.737]  And he's up there dreaming of, can actors kill presidents?
[00:14:01.237 --> 00:14:05.900]  Oh, but I'm not an actor making a little joke trying to invoke murder and death.
[00:14:06.201 --> 00:14:12.525]  Hey, Johnny Depp, can somebody find out where you're at sometime and walk up and pump a bunch of bullets into your sorry ass?
[00:14:12.885 --> 00:14:14.106]  Because I don't want that to happen.
[00:14:14.126 --> 00:14:17.428]  I don't walk around in people's yards trying to find dog crap to step in.
[00:14:17.749 --> 00:14:23.313]  But you know, if dogs keep laying it down in front of us, we're going to step on some of you by accident, you jerk!
[00:14:24.395 --> 00:14:26.637]  I mean, you think you're playing games here, boy?
[00:14:27.117 --> 00:14:29.438]  You and you Hollywood scum, bunch of wannabe gangsters?
[00:14:29.678 --> 00:14:33.041]  You've taken America's kindness and openness to crap all over it!
[00:14:33.341 --> 00:14:34.762]  And that time's coming to an end!
[00:14:34.982 --> 00:14:40.245]  So to you and all the Hollywood gangsters and all of you, and I know who you are by name, you better watch your ass!
[00:14:40.505 --> 00:14:48.250]  Because we're gonna kick your ass politically, just like 1776, you keep running your mouth and starting a violent war that you're beating the drums for!
[00:14:49.311 --> 00:14:50.472]  You know what's gonna happen to you.
[00:14:50.492 --> 00:14:52.493]  Let's play Johnny Slimeball Depp.
[00:14:54.423 --> 00:14:56.064]  I think he needs help.
[00:14:56.864 --> 00:15:00.146]  I don't know.
[00:15:01.026 --> 00:15:04.448]  There's a lot of wonderful dark, dark places he could go.
[00:15:04.468 --> 00:15:09.050]  A lot of Doc Martens.
[00:15:11.071 --> 00:15:11.972]  It's just a question.
[00:15:12.132 --> 00:15:13.652]  I'm not insinuating anything.
[00:15:13.813 --> 00:15:15.313]  By the way, this is going to be an address.
[00:15:15.393 --> 00:15:15.874]  It'll be harder.
[00:15:17.188 --> 00:15:18.509]  It'd be horrible.
[00:15:18.669 --> 00:15:20.031]  I like that you're all a part of it.
[00:15:20.071 --> 00:15:23.454]  When was the last time an actor assassinated a president?
[00:15:23.854 --> 00:15:28.378]  When was the last time somebody killed an actor for running their mouth?
[00:15:31.641 --> 00:15:32.482]  I mean, seriously.
[00:15:34.584 --> 00:15:38.047]  Now, I want to clarify, I'm not an actor.
[00:15:40.285 --> 00:15:41.245]  I lied for a living.
[00:15:41.265 --> 00:15:43.986]  That's right you do, you piece of filth.
[00:15:44.066 --> 00:15:45.027]  All right, turn him off.
[00:15:45.047 --> 00:15:50.248]  Harry McBrain did an incredibly powerful piece on the Deep State that I'm going to premiere at the bottom of the hour.
[00:15:51.849 --> 00:16:01.872]  But if you look at all of this, I mean, these people are on every channel there is, beating the drum incessantly to kill Trump, kill his family, kidnap his wife, rape her.
[00:16:03.572 --> 00:16:05.633]  And Bow Wow had the sense to come out and apologize.
[00:16:07.595 --> 00:16:10.998]  And Snoop Dogg has had the decency to shut his mouth, because here's the deal.
[00:16:11.218 --> 00:16:17.543]  You got your free speech, but you keep calling for killing people, and Trump supporters are getting shot and stabbed all over the place.
[00:16:17.983 --> 00:16:22.907]  Congressman got shot, was fighting for his life until just two days ago and has had a bunch of surgeries.
[00:16:23.467 --> 00:16:29.672]  And you people are so evil, you go out and demonstrate and boo and hiss when people call for his recovery.
[00:16:32.349 --> 00:16:35.170]  That's who you are, and you're running your mouths.
[00:16:35.710 --> 00:16:41.871]  You live in the lap of luxury, you run around acting tough and cool all day, and you have no idea.
[00:16:42.511 --> 00:16:43.211]  No idea!
[00:16:44.051 --> 00:16:44.731]  No idea!
[00:16:46.112 --> 00:16:48.492]  That goes for David Brock and all the rest of these people.
[00:16:49.772 --> 00:16:57.754]  We're aware of their operations, we're aware of their productions, we're aware of all the different things they're up to, and now the doctors.
[00:16:59.810 --> 00:17:14.475]  The scientists, the engineers, the surgeons have got their scalpels and their sutures and their instruments out and they're just deciding right now over the patient how much has to get cut out and can the patient even live.
[00:17:15.855 --> 00:17:24.278]  But I will assure you in that process of that delicate surgery that you're going to get everything your evil little butts ever wanted.
[00:17:25.049 --> 00:17:26.089]  And I take no pleasure in that.
[00:17:26.649 --> 00:17:28.610]  I think it's pretty clear you're going to start a civil war.
[00:17:29.110 --> 00:17:31.791]  In fact, I think it's clear we've eased into one.
[00:17:32.651 --> 00:17:36.613]  And that's how a lot of wars, a lot of civil wars start, is you never really have a demarcation line.
[00:17:36.633 --> 00:17:38.933]  You don't have a shot heard around the world like we had in 1775.
[00:17:39.533 --> 00:17:42.334]  You just kind of slip into the lawlessness.
[00:17:42.934 --> 00:17:47.076]  And you guys are sowing the wind, and you know what happens then.
[00:17:47.536 --> 00:17:51.137]  You sow the wind, you reap the whirlwind.
[00:17:52.626 --> 00:17:55.970]  And most of you can hardly talk, you can hardly walk.
[00:17:57.011 --> 00:18:09.783]  It's like I was watching this morning, I saw a clip of The Wall, the music video from Pink Floyd, and it shows the kids going into the school normal, and they come out as little zombies, and they're just fed into a meat grinder.
[00:18:10.615 --> 00:18:13.257]  So first they dehumanize you, then they feed you into a meat grinder.
[00:18:13.998 --> 00:18:17.100]  And that's exactly how all of this works.
[00:18:17.981 --> 00:18:37.756]  And so, you're now calling it a civil war, you're saying you want an insurrection, you're saying you want to hunt Trump supporters, you're saying you want to bomb things, you're saying Trump's a dictator, but you've got your elite publications calling for his overthrow and how they're going to have new elections run by Obama's old homeland security.
[00:18:38.914 --> 00:18:44.680]  And now you're gonna take our guns, and you're gonna shut the press off once and for all, and you're gonna start with Alex Jones?
[00:18:45.180 --> 00:18:45.661]  Good luck!
[00:18:46.622 --> 00:18:48.704]  Really, good luck with all of that, fools.
[00:18:49.124 --> 00:18:56.252]  The minute you try to actually shut us down completely, you take us from powerful to incredibly powerful.
[00:18:56.872 --> 00:18:59.415]  You turn us into martyrs, you take us to the next level.
[00:19:00.540 --> 00:19:02.824]  You can't win, to quote Episode 4 of Star Wars.
[00:19:03.225 --> 00:19:08.195]  You strike us down, we become more powerful than you can possibly imagine.
[00:19:08.435 --> 00:19:09.437]  That's history.
[00:19:09.838 --> 00:19:12.543]  That's art imitating life, not life imitating art.
[00:19:14.005 --> 00:19:14.826]  That's the truth.
[00:19:15.406 --> 00:19:23.711]  We have the upper hand as long as we're moral, as long as we're focused, as long as we have courage, and as long as we don't back down to you people, you're going to lose.
[00:19:24.012 --> 00:19:28.335]  It's not like Korea, where you set up a dictatorship where people never had freedom for thousands of years.
[00:19:28.955 --> 00:19:33.198]  And we're a hermitage-controlled vice system of China.
[00:19:34.477 --> 00:19:35.957]  Under vassal control.
[00:19:36.757 --> 00:19:43.979]  It's not like you're coming out of the Orthodox Christian and then the Czars and some of the oppressions in Russia into something even worse.
[00:19:44.799 --> 00:19:47.059]  The whole world's coming out of globalism.
[00:19:47.119 --> 00:19:48.539]  The renaissance is spreading.
[00:19:49.460 --> 00:19:51.100]  And this is only the birth pains of that.
[00:19:52.220 --> 00:19:59.701]  But that renaissance is humanity getting its feet on the ground before we face the AI and the Antichrist.
[00:20:00.202 --> 00:20:02.382]  So all this stuff you see is just testing.
[00:20:04.514 --> 00:20:13.339]  Supporters of Infowars, not just here in the U.S., but around the world, are the cutting-edge vanguard of the reawakening of the sleeping giant that is human liberty.
[00:20:16.112 --> 00:20:18.853]  Again, I want to thank you all humbly for fighting the globalists.
[00:20:18.913 --> 00:20:20.373]  I want to thank you for your financial support.
[00:20:20.753 --> 00:20:25.795]  You're the reasons we're still here and growing in the face of an unprecedented onslaught.
[00:20:26.275 --> 00:20:29.916]  That's why this July 4th, we're having some of the biggest sales ever.
[00:20:30.436 --> 00:20:35.218]  We have store-wide free shipping at InfoWareStore.com through July 4th.
[00:20:35.658 --> 00:20:41.320]  And on top of that, we have savings as much as 40% off best-selling items.
[00:20:41.920 --> 00:20:43.322]  And we're talking about things you need.
[00:20:43.762 --> 00:20:52.352]  A wide spectrum of high-quality non-GMO heirloom seeds, high-quality storable foods, and amazing, groundbreaking supplements and nutraceuticals.
[00:20:52.632 --> 00:20:56.697]  Our incredible Nootropic Brain Force Plus, 30% off, and now with 20% more in each bottle.
[00:20:59.500 --> 00:21:02.001]  Super Mel Vitality, sold out for months.
[00:21:02.161 --> 00:21:05.522]  Concentrated herbs that have absolutely changed my life and so many others.
[00:21:05.542 --> 00:21:07.063]  30% off as well.
[00:21:07.383 --> 00:21:11.865]  Deep Earth Pure Iodine X2, now back in stock.
[00:21:12.265 --> 00:21:12.525]  30% off.
[00:21:12.865 --> 00:21:15.426]  Z-Shield, our newest product, out of the gates.
[00:21:15.686 --> 00:21:18.287]  30% off because it's so amazing and I want you to try it.
[00:21:18.507 --> 00:21:20.550]  Emmerich's Essentials Outdoor Special.
[00:21:20.750 --> 00:21:34.789]  We're talking our non-nano zinc, incredibly concentrated, high-powered sunscreen, along with Emmerich's Essentials bug spray that's totally organic and natural and works way better than chemical brands I personally use.
[00:21:35.410 --> 00:21:41.952]  On that particular special, at 40% off, if you get the additional auto ship 10% off, we're talking about a lost leader.
[00:21:42.452 --> 00:22:03.818]  This July 4th, celebrating our republic, celebrating worldwide freedom, and celebrating returning America to its place in the world as a true shining city on a hill, where people want to come here to celebrate free market and an open society, not to celebrate a globalist, politically correct cesspool of infighting and mind control.
[00:22:08.368 --> 00:22:17.903]  Everyone knows that InfoWars funds our operation by selling high quality products that we use and that everybody needs at very competitive affordable prices.
[00:22:18.899 --> 00:22:20.780]  That's why I get questions all the time over the years.
[00:22:21.521 --> 00:22:24.884]  Why don't you sell body armor at InfoWarsTore.com?
[00:22:25.244 --> 00:22:27.666]  Or why don't you have sponsors that sell body armor?
[00:22:27.986 --> 00:22:28.627]  And it's simple.
[00:22:29.227 --> 00:22:34.271]  I will only promote and I will only sell the very, very best out there.
[00:22:34.811 --> 00:22:35.792]  And there's a nexus point.
[00:22:35.872 --> 00:22:38.654]  There's quality versus price.
[00:22:38.714 --> 00:22:40.596]  And those two points have to come together.
[00:22:41.216 --> 00:22:46.621]  National Defense Labs and its civilian subsidiary, Citizen Armor,
[00:22:47.442 --> 00:22:54.204]  Has given InfoWars the exclusive on distributing to the American people.
[00:22:55.535 --> 00:22:57.656]  The true next generation in body armor.
[00:22:58.017 --> 00:23:08.883]  Basically what we're bringing to the Info Wars team is a new line of dynamic, lightweight body armor.
[00:23:09.064 --> 00:23:10.685]  It's nanotube technology.
[00:23:11.265 --> 00:23:12.806]  It's created here in Texas.
[00:23:13.426 --> 00:23:20.491]  It is lighter, more flexible, easier to wear, more comfortable, and stronger than anything else on the market.
[00:23:20.971 --> 00:23:32.775]  We used different pistols, different calibers to test different pieces of the body armor to ensure that it was up to the high standards that we expect to carry here at the M4 War Store.
[00:23:33.135 --> 00:23:38.137]  Born in Texas, made in America, exclusively available at m4warestore.com right now.
[00:23:38.357 --> 00:23:40.457]  The backpack body armor is only $200.
[00:23:41.378 --> 00:23:45.539]  And we shot everything you can imagine at it.
[00:23:46.815 --> 00:23:52.762]  Again, fund The Info War, get the game-changing Nanotech Tubes from Buck Rogers.
[00:23:53.243 --> 00:23:55.285]  It's a win-win.
[00:23:55.746 --> 00:23:55.285]  $200.
[00:23:55.866 --> 00:23:58.830]  Go check out all their different products at infowarrestore.com.
[00:23:58.890 --> 00:23:59.591]  It's amazing.
[00:24:10.057 --> 00:24:18.239]  I'm Alex Jones, your host.
[00:24:18.259 --> 00:24:30.582]  I'm going to get into the big deep state news, more on Johnny Depp, what's happening in the economy, the Democrats going into full panic mode in the next segment.
[00:24:30.602 --> 00:24:34.864]  But right now, look at the type of articles they're just handing me in real time.
[00:24:34.884 --> 00:24:36.144]  This is out of Medusa magazine.
[00:24:37.148 --> 00:24:38.708]  Which is a feminist magazine.
[00:24:39.529 --> 00:24:40.249]  That's not a joke.
[00:24:41.809 --> 00:24:45.010]  Beyond pro-choice, the solution to white supremacy is white abortion.
[00:24:46.111 --> 00:24:49.792]  And it says, if you get pregnant with a white man, abort it and adopt a black baby.
[00:24:50.152 --> 00:24:51.312]  Whites are inherently evil.
[00:24:51.872 --> 00:24:53.453]  People think, oh, this is just some French thing.
[00:24:53.553 --> 00:24:57.194]  This is taught at every major college in America.
[00:24:58.694 --> 00:25:00.935]  This is the operating system.
[00:25:01.595 --> 00:25:04.776]  By white professors, mainly.
