[00:00:09.617 --> 00:00:10.558]  Another time.
[00:03:17.946 --> 00:03:20.828]  They haven't been hit in decades there by a bad hurricane.
[00:03:21.269 --> 00:03:24.391]  And then turn up the coast and rampage up through Houston.
[00:03:24.951 --> 00:03:28.614]  But part of it hits Austin and San Antonio, but that's the left flank.
[00:03:29.814 --> 00:03:38.000]  If it keeps its track, it is going to devastate Houston and the entire area north of Corpus Christi and Port Aransas.
[00:03:38.881 --> 00:03:40.382]  One of my favorite fishing spots down there.
[00:03:41.440 --> 00:03:43.521]  So it is barreling in, folks.
[00:03:43.602 --> 00:03:45.943]  Our prayers are with all the folks that are down there.
[00:03:45.963 --> 00:03:49.365]  Now that said, there's the other big giant news.
[00:03:49.866 --> 00:03:58.271]  We broke back on August 4th with Jack Posobiec, who'd been in meetings with folks from the White House who were told, you don't visit InfoWars.com.
[00:04:00.845 --> 00:04:05.050]  And then of course the media totally ignored that, even though it came directly from high-level sources.
[00:04:05.530 --> 00:04:09.135]  Well, it's now in USA Today, Politico broke it.
[00:04:09.575 --> 00:04:15.422]  Oh my gosh, the exact words we said have now been confirmed by basically
[00:04:16.343 --> 00:04:17.104]  General Kelly.
[00:04:17.484 --> 00:04:20.508]  And his argument is, well, he's keeping all news from the president.
[00:04:21.108 --> 00:04:23.551]  But those sites are, I guess, some of his particular favorites.
[00:04:24.472 --> 00:04:25.914]  So the people can't just do walk-ins.
[00:04:26.034 --> 00:04:30.198]  And they're real worried about his son, Donald Jr., bringing him stuff.
[00:04:30.599 --> 00:04:32.961]  And then the media tries to spin it, they're saying it's fake news.
[00:04:34.454 --> 00:04:42.561]  Yeah, fake news like you were going to win the election, the polls were off, or fake news that the president was getting ready to get rid of Rens Priebus and Spicer.
[00:04:42.601 --> 00:04:53.850]  We said they'd get rid of him on a Friday, and they got rid of him on a Friday, or all the hundreds of other big things we told you that came true, just like we told you that Kelly had done this two and a half weeks before anybody else did.
[00:04:54.331 --> 00:04:59.435]  Oh, and then there's the big news, the other fake news, running the headline that I have proof Michelle's a tranny.
[00:05:01.334 --> 00:05:10.019]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:05:10.079 --> 00:05:10.539]  That's right.
[00:05:10.599 --> 00:05:15.622]  Now's the time to build your own food storage with Harvest Right's freeze dryers.
[00:05:15.882 --> 00:05:22.286]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use,
[00:05:22.526 --> 00:05:29.848]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:05:30.128 --> 00:05:30.308]  Woo!
[00:05:30.368 --> 00:05:31.288]  That's what I'm talking about.
[00:05:31.408 --> 00:05:40.011]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:05:40.151 --> 00:05:48.253]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:05:49.733 --> 00:05:53.057]  Now that's what I call the miracle of food preservation.
[00:05:53.178 --> 00:05:57.143]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:05:57.283 --> 00:05:58.204]  So what are you waiting for?
[00:05:58.364 --> 00:06:00.948]  Check it out right now at infowarsstore.com.
[00:06:02.392 --> 00:06:07.275]  New from Emmerich's Essentials, fragrance-free natural deodorant for your body care needs.
[00:06:08.076 --> 00:06:10.998]  Playing basketball in the dry summer heat really makes me sweat.
[00:06:11.678 --> 00:06:14.480]  To maintain my game, I need all the confidence I can get.
[00:06:15.101 --> 00:06:19.984]  That's why I use Emmerich's Essentials natural deodorant, made with organic ingredients.
[00:06:20.344 --> 00:06:26.648]  This deodorant combines mineral crystals with natural botanicals to ionize odor, keeping me fresh throughout the day.
[00:06:27.008 --> 00:06:32.152]  While shooting hoops, the last thing I want is sweaty armpits making my hands slippery and the ball wet.
[00:06:32.832 --> 00:06:36.275]  That's why I recommend Emrix Essentials Fragrance-Free Deodorant.
[00:06:36.836 --> 00:06:44.662]  Even though it's unscented, it's effective at combating strong body odor, and I don't have to worry about any unwanted allergic reactions to my sensitive skin.
[00:06:45.243 --> 00:06:49.567]  Whether you're a guy or gal, the last thing you want to be worried about is your deodorant.
[00:06:49.907 --> 00:06:53.850]  No petroleum-based ingredients, 100% natural and cruelty-free.
[00:06:54.150 --> 00:06:57.974]  Stay in the game with Emrix Essentials Fragrance-Free Natural Deodorant.
[00:06:58.214 --> 00:06:59.895]  Available at InfoWarsStore.com.
[00:07:01.488 --> 00:07:05.553]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:07:06.194 --> 00:07:16.626]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:07:17.507 --> 00:07:21.890]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:07:22.310 --> 00:07:30.275]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:07:30.716 --> 00:07:38.080]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:07:38.441 --> 00:07:40.402]  Wake up refreshed and take on the day.
[00:07:40.862 --> 00:07:48.368]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:07:48.808 --> 00:07:52.171]  Get the sleep you deserve and experience the power of knockout.
[00:07:52.491 --> 00:07:56.555]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:07:56.875 --> 00:07:58.436]  That's InfoWarsLife.com
[00:08:00.489 --> 00:08:02.230]  We've got it.
[00:08:02.270 --> 00:08:07.293]  This transmission is coming to you.
[00:08:07.654 --> 00:08:08.414]  Waging war.
[00:08:08.774 --> 00:08:10.856]  Waging war on corruption.
[00:08:13.157 --> 00:08:18.901]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:08:20.262 --> 00:08:23.264]  What does Stephen Bannon call the fight against the globalists?
[00:08:23.284 --> 00:08:24.384]  He calls it a war.
[00:08:25.425 --> 00:08:26.666]  An information war.
[00:08:27.978 --> 00:08:30.299]  Why do you think the globalists are after us so much?
[00:08:31.880 --> 00:08:33.941]  Why do you think they're demonizing me so much?
[00:08:35.022 --> 00:08:43.887]  Why do you think they're coming after us on every conceivable front with straw men and so many other forms of deception?
[00:08:45.188 --> 00:08:46.929]  It's because the globalists know
[00:08:48.846 --> 00:09:09.237]  That we have their number and that we're aware of their operations and we've read their books and read their publications and understand they're establishing a private corporate world government that controls all the major parties and creates a synthetic form of consensus to bring in a post-industrial anti-human new dark age.
[00:09:10.818 --> 00:09:12.199]  And that's their words, not mine.
[00:09:13.160 --> 00:09:19.542]  An authoritarian technocracy, where the future doesn't need humanity, and where we're obsolete.
[00:09:19.942 --> 00:09:40.009]  These are the big issues that should unify all of us, but instead they make it a partisan issue, and they have the Democratic Party attack you, and you can't help but then fight back in a partisan way, because the only folks organized to battle back against it are the Republicans, but half of them are neocon globalist
[00:09:40.953 --> 00:09:44.858]  Collaborators, and so you're surrounded, basically, in a pincer attack.
[00:09:44.898 --> 00:09:48.001]  But the good news is the people of the world are waking up.
[00:09:48.662 --> 00:09:55.270]  Authoritarian, unelected globalism is in trouble, and the elites admit that in their own internal publications and in leaks.
[00:09:55.450 --> 00:09:59.154]  So, we have right on our side, we have history on our side, we have the numbers.
[00:10:00.095 --> 00:10:06.141]  And we are beginning to transcend their propaganda, but they are intensifying their old tricks to the next level.
[00:10:06.481 --> 00:10:13.408]  We're going to cover this very dangerous hurricane, the worst they're saying to hit the United States in more than 12 years.
[00:10:14.991 --> 00:10:23.353]  We've seen record low hurricane activity in the last 12 years, but now Hurricane Harvey is coming, barreling in, set to hit later this evening.
[00:10:23.433 --> 00:10:42.517]  Reportedly, we can put the track up on screen for folks, is going to rampage up the coast, hitting somewhere around Corpus Christi and Port Aransas, and then turning to the east and plowing up through the central eastern part of the state.
[00:10:43.575 --> 00:10:52.044]  We'll be able to cover the hurricane from right here in Austin, Texas, but I am talking to my brave reporters to see who wants to bite the bullet or draw the short straw.
[00:10:52.685 --> 00:10:58.491]  Wild horses couldn't drag them away to jump in the old Ford F-150 I've got here for the office vehicle.
[00:10:59.730 --> 00:11:07.920]  And drive down close to the coast to show the bare shelves, the people fighting over water that's being reported, and to show the big evacuation.
[00:11:08.681 --> 00:11:16.930]  I don't think we need our guys to be there when it makes landfalls or the famous image of the reporter blowing around, you know, in there.
[00:11:18.764 --> 00:11:31.846]  Rain suit or in their raincoat, but we want to just show how precarious civilization is and how a storm or an earthquake or a war or a disease outbreak can destabilize things so incredibly quickly.
[00:11:32.347 --> 00:11:34.507]  So that's coming up and is absolutely key.
[00:11:35.807 --> 00:11:37.727]  We've got Jack Posobiec joining us.
[00:11:37.808 --> 00:11:45.169]  He broke back on the fourth of this month, two and a half, three weeks ago.
[00:11:46.280 --> 00:11:49.803]  White House staffers, if you like InfoWars or Milo, you're fired.
[00:11:50.624 --> 00:11:53.867]  And basically said it's banned in the White House and don't show it to the President.
[00:11:53.887 --> 00:11:57.890]  Of course, no media that's fake picked it up.
[00:11:57.951 --> 00:12:01.574]  All the real media did pick it up.
[00:12:03.515 --> 00:12:11.302]  And now it's in Politico, it's in the New York Times, in the Washington Post, it's in BuzzFeed.
[00:12:12.438 --> 00:12:17.579]  That indeed we are dead on accurate and exactly as we said has now been confirmed and reported.
[00:12:18.719 --> 00:12:21.480]  But notice they don't give Jack Posobiec credit.
[00:12:23.240 --> 00:12:33.603]  I have Charlie Wurzel's number from BuzzFeed and the organization that poses as reporters, you know, their PPGate comic book fantasies and the rest of it that they write fiction on.
[00:12:33.943 --> 00:12:36.043]  And I text messages him and I said, are you going to add this to your story?
[00:12:36.824 --> 00:12:38.264]  That Jack Posobiec broke it word for word?
[00:12:39.699 --> 00:12:41.761]  He kind of said, good point, he texted back.
[00:12:42.102 --> 00:12:53.833]  But I didn't really get clarification on whether he's going to update the story at the top and say, wow, InfoWars is right again, just like we called exactly when Priebus and others would be fired and who would be brought in.
[00:12:54.844 --> 00:13:06.728]  Just like we told you about the smart meter spying on you and the bisphenol A causing you to have sexual cancers, you know, in your organs and all sorts of other problems and infertility.
[00:13:07.128 --> 00:13:12.449]  Everything we talk about is basically in the main literature, the scientific literature.
[00:13:12.950 --> 00:13:14.230]  It's just not in pop culture.
[00:13:16.311 --> 00:13:21.012]  So I had countless people, I mean, many people walked me in Seattle and go, you are a liar.
[00:13:21.912 --> 00:13:22.433]  I'd go, why?
[00:13:22.453 --> 00:13:23.653]  And they'd go, gay frogs!
[00:13:25.745 --> 00:13:26.925]  And I'd go, well, that's not true.
[00:13:26.945 --> 00:13:28.786]  A lot of you saw the live feeds on the streets.
[00:13:29.126 --> 00:13:29.966]  I go, that's not true.
[00:13:29.986 --> 00:13:31.246]  That's funny then, huh?
[00:13:31.867 --> 00:13:40.609]  But I go, let me just show you here on this, on my computer, on my phone, hundreds of studies about atrazine causing about half the frogs in most of the U.S.
[00:13:40.629 --> 00:13:41.829]  to be bisexual or sterile.
[00:13:42.449 --> 00:13:43.309]  They said, I don't want to look at it.
[00:13:43.329 --> 00:13:44.510]  You're a, you're a Nazi.
[00:13:45.930 --> 00:13:47.370]  And I'd say, don't you care about your kids?
[00:13:47.670 --> 00:13:48.571]  One guy had his kid with him.
[00:13:49.611 --> 00:13:51.351]  This runoff's causing cancer, serious problems.
[00:13:51.371 --> 00:13:53.292]  He said, no, I care about Nazis.
[00:13:55.421 --> 00:13:56.301]  And I'm like, I understand.
[00:13:56.341 --> 00:13:57.301]  You're Captain America.
[00:13:57.361 --> 00:13:58.602]  You found a Nazi now.
[00:13:59.882 --> 00:14:01.863]  This isn't live-action roleplay, bro.
[00:14:02.743 --> 00:14:03.703]  I'm a real person.
[00:14:04.663 --> 00:14:06.584]  The Globalist created the Nazis.
[00:14:06.864 --> 00:14:08.244]  The Kaiser Wilhelm Institute.
[00:14:08.704 --> 00:14:09.584]  The Cold Springs Harbor.
[00:14:09.704 --> 00:14:10.144]  IBM.
[00:14:10.425 --> 00:14:11.545]  They're the ones fighting me.
[00:14:12.305 --> 00:14:13.205]  You know what, Nazi?
[00:14:13.985 --> 00:14:14.305]  F off.
[00:14:15.366 --> 00:14:24.028]  I'm like, yeah, it just feels good to say you found a Nazi and shake your finger at them, because Tom Brokaw told you with no proof, and MSNBC said,
[00:14:25.307 --> 00:14:34.490]  I'm actually here exposing this program that's declassified to literally sterilize your children, and it'll give you breast cancer, it's a secular cancer, you name it.
[00:14:34.550 --> 00:14:35.911]  I mean, just a few of these chemicals.
[00:14:36.731 --> 00:14:38.172]  They don't want to hear it, folks.
[00:14:38.612 --> 00:14:40.173]  They're already committed to the lie.
[00:14:40.593 --> 00:14:41.533]  It feels good.
[00:14:41.833 --> 00:14:42.914]  They feel smug.
[00:14:43.234 --> 00:14:45.515]  They're part of the establishment, even though they're useful idiots.
[00:14:45.795 --> 00:14:46.375]  They don't want to know.
[00:14:48.100 --> 00:14:48.820]  So that's coming up.
[00:14:49.681 --> 00:14:54.123]  Also, Armed Antifa, which means pro-fascist, but they call themselves anti-fascist.
[00:14:54.543 --> 00:14:58.525]  Remember, just always invert it and you're actually back up and down.
[00:14:59.386 --> 00:15:02.947]  Armed Antifa call for open revolution violence against police.
[00:15:03.588 --> 00:15:06.309]  We've got a bunch of videos, a bunch of special reports.
[00:15:06.349 --> 00:15:10.191]  Again, Posobiec's joining us, Leanne McAdoo, Doug Hagman, Roger Stone.
[00:15:11.465 --> 00:15:12.805]  And so much more.
[00:15:13.225 --> 00:15:19.867]  We'll probably be going live to a feed, too, from the White House with Mike Cernovich, who's been there reporting, getting a lot of key intel all week.
[00:15:19.907 --> 00:15:21.267]  He's been inside the White House all week.
[00:15:21.707 --> 00:15:29.489]  So that's going to be coming up as well as we have some excerpts of that or go to some of that live for you right here in the next three hours and 45 minutes.
[00:15:32.010 --> 00:15:37.231]  But before we go any further, I could see this coming a thousand miles away.
[00:15:37.251 --> 00:15:38.531]  Remember Trevor Noah?
[00:15:39.735 --> 00:15:48.902]  But also the Daily Show and the Late Show or whatever it's called with Stephen Colbert.
[00:15:48.962 --> 00:15:50.363]  I don't really keep track of the shows.
[00:15:50.403 --> 00:15:52.584]  I just see the clips where they attack me sometimes.
[00:15:53.345 --> 00:15:56.007]  They attack me daily now, so there's no way to cover it all.
[00:15:56.207 --> 00:16:01.211]  Seriously, I mean, I haven't even watched most of the new clips of them attacking me last night, the night before.
[00:16:01.931 --> 00:16:08.096]  But I knew what I saw, and I said it on air about two months ago, Gwyneth Paltrow
[00:16:09.940 --> 00:16:11.701]  Puts out her own supplement line.
[00:16:13.101 --> 00:16:17.243]  And they didn't want to look like they were persecuting just a quote, conservative, even though they were.
[00:16:17.643 --> 00:16:18.983]  So she drew the short straw.
[00:16:19.383 --> 00:16:20.124]  They picked her.
[00:16:20.144 --> 00:16:29.167]  And I said, all of our products are being bought by big think tanks, watchdog groups, the Daily Show, the Late Late Show, the Late Show.
[00:16:29.787 --> 00:16:30.507]  They're all buying it.
[00:16:30.547 --> 00:16:32.228]  They don't even hide it on the receipts.
[00:16:32.368 --> 00:16:34.709]  NBC, ABC, CBS, Time Warner.
[00:16:36.340 --> 00:16:38.942]  They're buying everything, D Magazine, Newsweek, Time.
[00:16:39.082 --> 00:16:42.304]  They're all buying our products and then sending them off to be tested.
[00:16:43.185 --> 00:16:48.829]  And they found that they were the cleanest out there in the big BuzzFeed study with a very aggressive California lab.
[00:16:49.310 --> 00:16:50.591]  But I said, look, they're not done.
[00:16:51.912 --> 00:17:04.421]  They've chosen poor Gwyneth Paltrow as the sacrificial lamb to go, oh look, we're calling for consumers, everybody to sue and go after Alex Jones, but we're throwing Gwyneth Paltrow in there as well.
[00:17:06.482 --> 00:17:09.603]  You know, because she's saying seaweed baths are good for your skin or whatever.
[00:17:09.643 --> 00:17:11.984]  I mean, that even says that at the Walgreens.
[00:17:12.044 --> 00:17:16.446]  But see, nobody's going after Walgreens.
[00:17:17.526 --> 00:17:21.668]  Nobody's going after CVS that sells colloidal silver.
[00:17:22.228 --> 00:17:25.089]  Nobody's going after Bezos that owns Whole Foods and Amazon.
[00:17:27.230 --> 00:17:32.072]  I asked BuzzFeed this morning, I said, why are you still doing all this when you know it's just to target me?
[00:17:33.680 --> 00:17:36.162]  And they couldn't even deny it, couldn't even argue, because it's true!
[00:17:36.963 --> 00:17:38.545]  And so, they're not going to stop.
[00:17:38.865 --> 00:17:39.886]  You have to understand that.
[00:17:40.267 --> 00:17:42.969]  And if they can't get a California lab to spike it, they'll find somebody to.
[00:17:43.650 --> 00:17:44.270]  They mean business.
[00:17:44.291 --> 00:17:45.592]  These people launch phony wars.
[00:17:45.912 --> 00:17:46.473]  They do it all.
[00:17:46.493 --> 00:17:47.974]  They're fake individuals.
[00:17:48.174 --> 00:17:48.955]  They're fake liberals.
[00:17:50.276 --> 00:17:56.463]  And so they're trying, with everything they can, John Oliver, all of them, they've launched a new
[00:17:58.243 --> 00:18:08.485]  Jordan Kepler program that's like The Daily Show that'll air five days a week where he debuted clips last night on The Daily Show saying, I play Alex Jones and I say the things he says.
[00:18:09.065 --> 00:18:09.605]  No you don't!
[00:18:09.665 --> 00:18:11.605]  You don't say anything I say!
[00:18:11.906 --> 00:18:14.766]  You're a fraud that's stolen my identity that then misrepresents it.
[00:18:14.886 --> 00:18:16.186]  But again, this is what they do.
[00:18:16.426 --> 00:18:20.867]  And then their weak-minded viewers will attack me on the street believing the things he says.
[00:18:21.867 --> 00:18:24.848]  This is next-level psychological strawman warfare.
[00:18:26.485 --> 00:18:27.465]  So here's the new news.
[00:18:28.246 --> 00:18:29.366]  I told you they were doing this.
[00:18:31.007 --> 00:18:44.012]  Advertising watchdog files complaint against Gwyneth Paltrow in two cherry-picked districts of California with district attorneys calling for criminal charges against Gwyneth Paltrow for claims she made.
[00:18:45.073 --> 00:18:46.153]  Now you know how this works.
[00:18:46.253 --> 00:18:47.554]  First they're going to indict her.
[00:18:48.823 --> 00:18:51.567]  Then it's Alex Jones, even though I haven't made the claims.
[00:18:51.747 --> 00:18:52.488]  We've got the lawyers.
[00:18:52.508 --> 00:18:52.948]  We're ready.
[00:18:53.269 --> 00:18:55.291]  We're going to make major hay out of this.
[00:18:55.311 --> 00:18:57.574]  We're going to turn this around in a judo move.
[00:18:57.894 --> 00:18:59.176]  I know we are, because we always do.
[00:18:59.697 --> 00:19:03.281]  But the poor thing has got to be SWAT teamed first.
[00:19:04.598 --> 00:19:29.245]  Because, again, they want to make it look like it's not partisan, as if when I depose all these groups and all these people and get their emails and put private eyes on them and things we've already done to some of these groups, as if we don't already know the strategy I told you months ago, as if we're not already ready, as if we can't show that it's racketeering, as if they're not used to having someone counter-sue them, because they're not used to somebody seeing what they do and understanding their operations.
[00:19:33.226 --> 00:19:35.227]  Even if they ever got it in front of a jury, can you imagine?
[00:19:35.507 --> 00:19:42.409]  Ladies and gentlemen of the jury, I'm selling the exact same product sold at Whole Foods, and they even make more claims than I do, but why am I here?
[00:19:42.850 --> 00:19:59.796]  I'm here because of my political speech, and even if you don't agree with my speech, do you believe that I should be witch-hunted and hauled in here to be fined millions of dollars or thrown in prison because I dare sell melatonin and say it's associated with better sleep when that's a fact?
[00:20:01.781 --> 00:20:09.123]  Of the 30-plus proprietary products that we've developed for InfoWarsLife.com, DNA Force is the flagship.
[00:20:09.503 --> 00:20:18.066]  This highly advanced formula has been sold out for close to six months due to a worldwide shortage of the sought-after ingredients.
[00:20:18.426 --> 00:20:35.500]  Today I'm very excited to announce that we have received a limited shipment of DNA Force and despite the fact that we have been sold out for close to six months, I'm still discounting it 20% because I want listeners and viewers that haven't tried DNA Force yet to actually get a chance to see how amazing it is.
[00:20:35.660 --> 00:20:36.340]  You can't lose.
[00:20:36.560 --> 00:20:44.783]  You support the InfoWar and get great products at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:20:44.943 --> 00:20:46.963]  DNA Force is back in stock.
[00:20:47.284 --> 00:20:52.105]  You can get an additional 10% off when you sign up for AutoShip and you can cancel anytime.
[00:20:52.245 --> 00:20:55.666]  InfoWarsLife.com or 888-253-3139.
[00:20:56.166 --> 00:20:59.827]  And again, thank you for making the InfoWar possible.
[00:21:00.227 --> 00:21:01.608]  You are the InfoWar.
[00:21:10.717 --> 00:21:12.202]  This memo will bring down the traitors.
[00:21:12.664 --> 00:21:16.215]  McMasters doesn't want you... Deep State doesn't want you to read this memo.
[00:21:17.699 --> 00:21:18.939]  I mean, talk about traitors.
[00:21:18.959 --> 00:21:23.361]  You've got McMaster granting Susan Rice her same level of security clearance.
[00:21:23.501 --> 00:21:27.742]  At the same time, Trump is actively saying, we need to find the leakers.
[00:21:28.102 --> 00:21:28.983]  I'm being surveilled.
[00:21:29.283 --> 00:21:30.103]  Oh no, you're not.
[00:21:30.143 --> 00:21:31.083]  That's a big lie.
[00:21:31.143 --> 00:21:32.224]  How are you going to lie to the people?
[00:21:32.324 --> 00:21:34.724]  No, they wiretapped Trump Tower.
[00:21:35.124 --> 00:21:42.427]  And so at the same time that Trump is saying this to the American people, McMaster is saying, I don't think Susan Rice did anything wrong.
[00:21:42.527 --> 00:21:46.028]  I'm going to allow her to still have her same level of security clearance.
[00:21:46.648 --> 00:21:47.650]  It's insane.
[00:21:47.770 --> 00:21:49.852]  Why are the neocons surrounding Trump?
[00:21:50.053 --> 00:21:50.934]  What do they have on him?
[00:21:51.054 --> 00:21:51.795]  What's happening?
[00:21:52.356 --> 00:22:02.568]  Well, again, they even admit the memo, as I've said on air without the memo, the Bolsheviks, same globalist operatives, they created a state within a state for years and Russia only controlled Moscow.
[00:22:03.189 --> 00:22:07.694]  And then they got everybody through time to turn in their guns through propaganda, then they slaughtered millions of people.
[00:22:08.154 --> 00:22:10.957]  So they admit that it is a malice strategy.
[00:22:10.977 --> 00:22:12.378]  That's what the weatherman taught Obama.
[00:22:12.619 --> 00:22:18.925]  They are all carrying out a malice strategy with deep staters and cowards like McMasters and others that Trump picked.
[00:22:19.005 --> 00:22:25.872]  They get approached by deep state, they get scared, and they join with it because they want to play golf and do whatever while we're being carted off to death camps.
[00:22:26.252 --> 00:22:29.914]  And you know, pot-bellied liberals are kicking our brains out and raping our families, literally.
[00:22:30.295 --> 00:22:35.538]  That's what the left talks about, how they're going to rape us, how they're going to murder us, how they're going to have all these little nobodies.
[00:22:35.878 --> 00:22:40.121]  This is their existential dream of power, is to run around desiccating on everybody.
[00:22:42.014 --> 00:22:44.835]  Well, people need to look no further than Venezuela and what happened.
[00:22:44.855 --> 00:22:47.795]  That's the exact same thing that they did there just several years ago.
[00:22:47.835 --> 00:22:48.996]  They got rid of the guns.
[00:22:49.056 --> 00:22:51.897]  Everyone turn in your guns because we want to be a peaceful nation.
[00:22:52.557 --> 00:23:05.480]  And then just about a year or so later, we saw the total collapse there where the government was actually purging people who are eating dogs and giraffes out of the zoo, purging them because they don't have the guns or anything to fight back.
[00:23:07.180 --> 00:23:10.221]  Yeah, it only shows their hand even so more.
[00:23:10.421 --> 00:23:13.301]  When the minute you start telling the truth, they try to slap you down.
[00:23:13.341 --> 00:23:17.862]  The minute they start sharing anything that has a headline that's anti them, they try to ban it.
[00:23:18.142 --> 00:23:24.404]  They are going to be forcing their hand so much that they're showing us, they're exposing us what their actual plans are.
[00:23:24.704 --> 00:23:29.145]  They're trying to ban us, they're trying to shut us down, they're trying to fire people for speaking the truth.
[00:23:29.405 --> 00:23:31.145]  That's only going to mean that more people are going to hear it.
[00:23:31.165 --> 00:23:33.025]  And Posobiec, we're not the radicals saying all this.
[00:23:33.065 --> 00:23:34.726]  They're on C-SPAN.
[00:23:35.766 --> 00:23:42.715]  At the Aspen Institute with Wolf Blitzer, Brennan, and Clapper saying a violent overthrow is coming in the next few months.
[00:23:43.035 --> 00:23:44.216]  Don't wait for impeachment.
[00:23:44.256 --> 00:23:45.258]  We're now moving.
[00:23:45.598 --> 00:23:48.141]  And then Al Gore goes on the Late Late Show and says the same thing.
[00:23:48.502 --> 00:23:50.003]  I mean, they are doing it!
[00:24:11.558 --> 00:24:11.739]  Oh
[00:24:25.299 --> 00:24:26.199]  We are back live.
[00:24:26.239 --> 00:24:29.681]  Coming up in the next segment, I'm going to go through the hurricane and how serious it is.
[00:24:30.062 --> 00:24:30.862]  This is not hype.
[00:24:31.322 --> 00:24:33.524]  Folks, no, I don't hype hurricanes unless they're really serious.
