[00:00:08.900 --> 00:00:10.584]  Thursday, 27th.
[00:20:21.881 --> 00:20:28.862]  So we now have George Soros, because the media attacked me on this whole goblin meme, and they've made huge jokes about it, but it's totally blown up their face.
[00:20:29.263 --> 00:20:30.343]  We now have George Soros.
[00:20:31.443 --> 00:20:32.183]  As a goblin.
[00:20:32.863 --> 00:20:36.524]  On the back, and it says, with a cross through him, you know, an X, like Ghostbusters.
[00:20:36.864 --> 00:20:37.525]  No Soros.
[00:20:37.885 --> 00:20:38.645]  Him as a goblin.
[00:20:39.385 --> 00:20:44.526]  It says, Deport Soros on the bottom, and on the top it says, InfoWars established 1996.
[00:20:46.007 --> 00:20:49.207]  So, it is a limited edition Deport Soros on the back.
[00:20:49.727 --> 00:20:50.888]  Hillary for President on the front.
[00:20:51.288 --> 00:20:53.088]  Right-hand shoulder, InfoWars.com.
[00:20:53.448 --> 00:20:53.988]  It's powerful.
[00:20:54.008 --> 00:20:55.069]  I hope you get out to everybody you know.
[00:20:55.349 --> 00:20:57.089]  InfoWarsStore.com, or call 888-253-3139.
[00:21:06.368 --> 00:21:16.994]  Doug Hagman of the Northeast Intelligence Network, and of course he's a law enforcement training group and also a well-known respected private detective who becomes highly recommended over the years from our sources.
[00:21:17.414 --> 00:21:23.837]  He has FBI sources also, state police sources, and others in multiple states there on the East Coast.
[00:21:24.017 --> 00:21:25.378]  So Doug Hagman, thank you for joining us.
[00:21:25.458 --> 00:21:29.100]  You look at the battlefront worldwide, the globalist forces, we're in a war right now.
[00:21:29.800 --> 00:21:31.421]  Exactly, and that's part of it.
[00:21:31.761 --> 00:21:57.658]  And when I look at my side of things, on the domestic side, what I'm hearing from my FBI sources, one confirmation I got from both an FBI source as well as an agency source or CIA source, saying watch the role of the National Geospatial Agency, the NGA, as well as the NSA in the upcoming days with respect to the leaks that had come out about the Trump administration, but also
[00:21:58.358 --> 00:22:00.339]  We're about to have nuclear war, folks.
[00:22:00.359 --> 00:22:01.999]  It's time to arrest Hillary Clinton.
[00:22:24.384 --> 00:22:25.565]  We've got to save the country.
[00:22:25.605 --> 00:22:27.326]  The world's never been in more danger.
[00:22:27.946 --> 00:22:29.407]  They're the ones that made everything radical.
[00:22:29.627 --> 00:22:33.849]  Kim Jong-un, Hillary, all these other scumbags, Juncker, all of them need to be arrested.
[00:22:34.089 --> 00:22:35.170]  They're all calling for war.
[00:22:35.350 --> 00:22:36.791]  They're all involved in criminal activity.
[00:22:36.911 --> 00:22:37.631]  Arrest all of them.
[00:22:37.851 --> 00:22:38.332]  I'm serious.
[00:22:39.012 --> 00:22:44.415]  Yeah, 100% behind you because they brought us to this point and they have sold us out.
[00:22:45.115 --> 00:22:47.417]  Uh, the Korean, uh, situation.
[00:22:47.517 --> 00:23:00.024]  So, so we've got this, this, this melting pot of, or this, uh, this, uh, really sewage pot of, of strife worldwide that was brought, we, we got to this point because of Obama and right now.
[00:23:01.231 --> 00:23:02.332]  And Clinton, especially.
[00:23:02.352 --> 00:23:16.002]  And by the way, Hillary Clinton played a significant role under Madeleine Albright during the Clinton presidency as the shadow Secretary of State, to bring us to this point as well, and then moving on as Secretary of State under Obama.
[00:23:16.022 --> 00:23:22.066]  So this has her fingerprints all over the place, and here we are, you know, at this level.
[00:23:22.106 --> 00:23:28.651]  So there's much more to get into, but watch the next really 72 to 96 hours with respect to the taps.
[00:23:28.971 --> 00:23:33.120]  Why would they want to not have Russia on our side during this China crisis?
[00:23:33.662 --> 00:23:35.285]  Why are they trying to bring Russia down?
[00:23:36.434 --> 00:23:37.635]  Well, chaos.
[00:23:37.715 --> 00:23:38.956]  Operation Chaos, basically.
[00:23:39.516 --> 00:23:46.541]  This is the same playbook that we used, or that the Globals used back in the 60s, is being used today.
[00:23:46.701 --> 00:23:48.723]  And it's everybody against everybody.
[00:23:48.843 --> 00:23:55.228]  Let's destroy, let's burn the whole damn thing down and, you know, start it from scratch.
[00:23:56.088 --> 00:24:02.333]  It's very imprudent to do that, obviously, but these people that we're dealing with, as you pointed out, they're psychos.
[00:24:14.548 --> 00:24:16.649]  Waging war on corruption.
[00:24:17.610 --> 00:24:22.272]  It's Alex Jones, coming to you live from the front lines of the InfoWars.
[00:24:28.315 --> 00:24:31.156]  We are back ladies and gentlemen, and David Knight's coming into the next segment.
[00:24:31.176 --> 00:24:32.937]  Got a bunch of guests lined up today.
[00:24:32.957 --> 00:24:36.099]  Why is Trump going sideways?
[00:24:37.099 --> 00:24:39.421]  David Knight might want to open the phones up and give people's take on this.
[00:24:39.481 --> 00:24:40.141]  I mean, what do you think?
