[00:00:00.009 --> 00:00:00.790]  Total fact.
[00:02:04.293 --> 00:02:11.219]  Gore tells us in that down-home Tennessee accent that this is our home, this is Earth, and we've hit the peak of human development.
[00:02:11.499 --> 00:02:15.122]  We're not gonna get on rocket ships and fly to Mars.
[00:02:15.783 --> 00:02:19.566]  Don't let anybody tell you that we're gonna get on rocket ships and live on Mars.
[00:02:20.819 --> 00:02:21.800]  This is our home.
[00:02:22.180 --> 00:02:24.501]  The film is decidedly anti-America.
[00:02:25.161 --> 00:02:34.406]  We're shown how the world has unanimously come together through the UN and Al Gore to save the planet from evil carbon dioxide that plants breathe.
[00:02:34.686 --> 00:02:38.168]  But only the evil America and Donald Trump stands in the way.
[00:02:38.928 --> 00:02:48.918]  The truth is, India, China, Mexico and over 150 other countries are exempt from the carbon taxes that Europe, Australia and the United States are under.
[00:02:49.238 --> 00:02:54.303]  So of course they have dirty burning coal, they have all these other systems with no regulations.
[00:02:54.804 --> 00:02:58.127]  Of course they want more regulations on us so they can shut us down.
[00:02:58.447 --> 00:03:00.288]  And that's what this is really all about.
[00:03:00.649 --> 00:03:07.834]  The carbon taxes were developed in the 1980s by then-Senator Al Gore and Ken Lay of Enron fame.
[00:03:08.374 --> 00:03:10.956]  A way to tax the carbon cycle on the planet.
[00:03:11.296 --> 00:03:14.738]  People know oxygen's good, they know sunlight's good, they know water's good.
[00:03:14.999 --> 00:03:20.943]  But the fourth part, carbon dioxide has a scary sounding name, like carbon monoxide.
[00:03:21.303 --> 00:03:23.705]  So this life-giving trace gas,
[00:03:24.205 --> 00:03:28.430]  That's at the lowest level it's ever been recorded on this planet is demonized.
[00:03:28.730 --> 00:03:34.297]  And then if we pay carbon taxes to Al Gore's carbon trading company, we'll all be saved.
[00:03:35.077 --> 00:03:45.149]  And of course, just like Obamacare, all the major companies like General Electric are exempt from the regulations, shutting down their competitors.
[00:03:46.613 --> 00:03:56.035]  After the devil Donald Trump is introduced to us in the film, we then see Al Gore telling you that he made a prediction that lower Manhattan would be flooded by a hurricane.
[00:03:56.375 --> 00:04:06.477]  The most criticized scene in the movie An Inconvenient Truth was showing that the combination of sea level rise and storm surge would flood a 9-11 memorial site.
[00:04:06.677 --> 00:04:09.198]  And people said, what a terrible exaggeration.
[00:04:09.678 --> 00:04:14.079]  Hurricane Sandy slammed into New York City last night, flooding the World Trade Center site.
[00:04:15.134 --> 00:04:17.557]  That happens every decade or so on record.
[00:04:17.877 --> 00:04:30.450]  But he predicts specifically an area by the World Trade Center destruction where they put in a slurry wall and an area designed for the hurricanes that come in and routinely flood the area.
[00:04:30.871 --> 00:04:34.334]  So he manufactures this one prophecy that came true.
[00:04:34.895 --> 00:04:41.276]  But of course, his new film doesn't get into his big prediction in 2006 that didn't come true.
[00:04:41.856 --> 00:04:51.378]  And that was that both the northern and southern ice caps, Arctica and Antarctica, would be completely melted by 2013-2014.
[00:04:51.458 --> 00:05:03.960]  He would use satellite footage that's time-lapse, showing it shrinking in the spring and summer, but he'd cut there and not showing it get big in the fall and winter.
[00:05:04.500 --> 00:05:06.582]  That's what the ice caps do.
[00:05:07.203 --> 00:05:11.867]  The ice caps of Mars get bigger and smaller during its winter and its summers as well.
[00:05:13.217 --> 00:05:23.042]  Another big one in his previous film was the implication that polar bears couldn't swim when they were out hunting on ice flows, and that the ice was all disappearing and they wouldn't have a home.
[00:05:23.822 --> 00:05:39.290]  Al Gore knows full well that the glaciers shrink again in the summer, expand in the winter, and that polar bears are the best land animal swimmers in the world, measured swimming over 300 miles, hunting seal, walrus, and of course, whale.
[00:05:40.145 --> 00:05:44.228]  But again, he knows his young audience, mainly school children, don't know that.
[00:05:44.548 --> 00:05:46.849]  So it tugs at the strings of their hearts.
[00:05:47.270 --> 00:05:54.134]  He also doesn't tell them that polar bear populations are up five times what they were measured in the 1950s.
[00:05:54.794 --> 00:05:56.315]  But of course, that's another big lie.
[00:05:57.116 --> 00:06:01.559]  First, it was going to be the great ice age in the 70s and 80s that we needed carbon taxes for.
[00:06:02.319 --> 00:06:05.461]  Then it was going to be the great warming phase in the 90s and 2000s.
[00:06:05.481 --> 00:06:06.382]  But the last 16, 17 years conclusively,
[00:06:09.924 --> 00:06:11.705]  The decline in temperature has happened.
[00:06:12.285 --> 00:06:17.167]  That's why six years ago in Copenhagen at the UN Summit, they had to quote, hide the decline.
[00:06:17.547 --> 00:06:19.548]  And all of that came out in Climategate.
[00:06:19.948 --> 00:06:27.772]  But Al Gore hopes you forget that, and just believe he's the second coming of Christ, and pay him billions, making him the carbon billionaire.
[00:06:28.232 --> 00:06:29.912]  It is right to save humanity.
[00:06:30.613 --> 00:06:32.814]  It is wrong to pollute this earth.
[00:06:33.194 --> 00:06:35.875]  It is right to give hope to the future generations.
[00:06:38.885 --> 00:06:45.666]  He talks about the despair of global destruction and the forest fires and all the rest of it, but says, don't worry, there's hope.
[00:06:46.206 --> 00:06:51.567]  Global governance and world carbon taxes paid to him and other select corporations.
[00:06:52.148 --> 00:06:53.408]  Let's look at those forest fires.
[00:06:54.168 --> 00:07:04.770]  It's admittedly forest service policy not letting farmers and ranchers cut fire breaks in the last 60 years that has caused huge mega fires to continue to spread.
[00:07:05.270 --> 00:07:08.352]  There's always been wildfires, as long as there's been plants and lightning.
[00:07:08.593 --> 00:07:12.656]  And it's part of the carbon cycle and produces a lot of nitrogen and other things for the soil.
[00:07:13.276 --> 00:07:24.065]  But again, Al Gore points cameras at these forest fires and shows humans driving through them and implies that forest fires are something new on this planet.
[00:07:24.525 --> 00:07:29.327]  He says the great change we've seen is the solar farms and the big wind farms.
[00:07:29.647 --> 00:07:31.348]  But if you look at the statistics, it's clear.
[00:07:31.848 --> 00:07:36.290]  Solar produces far less energy than coal, oil, or natural gas.
[00:07:37.090 --> 00:07:48.535]  But it's still much better than wind, who produces the least amount of energy system out there and creates absolute devastation to wildlife in the areas where it's being implemented.
[00:07:48.835 --> 00:07:58.731]  But the reason Al Gore's for it is that he and his friends, through government contracts, are making hundreds of billions of dollars off the wind farms and off the solar farms.
[00:07:59.352 --> 00:08:00.955]  But there's something even more insidious here.
[00:08:01.755 --> 00:08:24.465]  They get to imply that they're cutting edge, that they are there promoting new technologies when they're the ones blocking fish infusion, zero-point energy, carburetors where you can go a hundred miles on a single gallon, and so many other systems of so-called disruptive technologies we know the globalists have been blocking the development and deployment of in the last 60 years.
[00:08:25.305 --> 00:08:34.698]  I saw on the news just a few days ago that Bill Nye's latest episode of his TV show was about how we shouldn't have more than one child, like China, and how we should be penalized if we do.
[00:08:35.119 --> 00:08:36.400]  And then I noticed the name of the show.
[00:08:36.721 --> 00:08:37.822]  I hadn't seen it on Netflix.
[00:08:38.283 --> 00:08:39.825]  Bill Nye Saves the World.
[00:08:40.782 --> 00:08:47.648]  When I saw that trailer for Al Gore's new film a few weeks ago, I was intending to shoot this review and call it, Al Gore Saves the World.
[00:08:48.169 --> 00:08:51.472]  But you actually look at the people pushing the modern environmental agenda.
[00:08:51.792 --> 00:09:03.103]  It's all about cutting off human resources, all about saying humans are cast as the bad guys, except for the elite who are busy reducing our population and enslaving us all for our own good.
[00:09:03.963 --> 00:09:09.687]  Al Gore and Bill Nye are a bunch of eugenicist globalists on record.
[00:09:10.207 --> 00:09:11.428]  This is not about the environment.
[00:09:11.628 --> 00:09:31.320]  It's about making carbon the evil, instead of genetic engineering, cross-human animal chimeras, open-air pollination of cross-species pharmacological crops, massive rise of new bacteria and mutated viruses that threaten not just human life, but human life on the face of this globe.
[00:09:32.133 --> 00:09:37.919]  This movement is in the tradition of every great movement that has advanced humankind.
[00:09:38.740 --> 00:09:48.009]  They want a system, a new dark age for the general public, where they use environmentalism and political correctness to shut down free thought and bring in a great psychological tyranny.
[00:09:48.450 --> 00:09:52.954]  We need to expose Al Gore's last film and his latest fraud for what it is.
[00:09:53.715 --> 00:10:04.905]  A piece of sophistic fraud meant to demonize humanity, make us hate ourselves, and turn off our life force so the parasite globalists can rule and control us into the future.
[00:10:09.716 --> 00:10:10.736]  DNA Force.
[00:10:10.776 --> 00:10:13.977]  When cells become toxic, they die early and aging sets in.
[00:10:14.017 --> 00:10:15.038]  DNA Force.
[00:10:15.158 --> 00:10:23.140]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:10:23.240 --> 00:10:28.242]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:10:28.282 --> 00:10:29.282]  DNA Force.
[00:10:29.322 --> 00:10:31.143]  We now have the synergistic solution.
[00:10:31.283 --> 00:10:35.584]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:10:35.604 --> 00:10:36.244]  DNA Force.
[00:10:39.305 --> 00:10:41.946]  Look, I'm not gonna sit here and say, see, I told you so.
[00:10:42.166 --> 00:10:45.187]  That communist Chinese-style net censorship is coming to the web.
[00:10:45.547 --> 00:10:46.267]  Because it's already here.
[00:10:46.647 --> 00:10:47.288]  It's being announced.
[00:10:47.648 --> 00:10:51.089]  The way you keep the internet open and free is you get involved more than ever.
[00:10:51.509 --> 00:10:53.409]  Go to InfoWars.com forward slash app.
[00:10:53.529 --> 00:10:55.070]  A new battleship in the fight.
[00:10:55.250 --> 00:10:56.250]  InfoWars Live.
[00:10:56.430 --> 00:10:57.271]  Available right now.
[00:10:57.531 --> 00:10:58.871]  We're looking for a crew to man it.
[00:10:59.291 --> 00:11:01.672]  You gonna sit down and play games and be a trendy?
[00:11:02.372 --> 00:11:03.252]  Or you gonna be part of history?
[00:11:03.813 --> 00:11:06.794]  Don't sit by and let the internet and free speech be stolen from you.
[00:11:07.274 --> 00:11:07.854]  Take action!
[00:11:08.514 --> 00:11:14.283]  In ancient times, man roamed the earth in a constant state of hunting or being hunted.
[00:11:14.443 --> 00:11:19.570]  Introducing Caveman, where cutting-edge science meets ancient super nutrients.
[00:11:19.791 --> 00:11:22.795]  Secure your bottle right now at Infowarsstore.com
[00:11:24.790 --> 00:11:28.132]  Welcome back to our live broadcast, our 30-hour marathon.
[00:11:28.192 --> 00:11:29.893]  I'm David Knight, here with Leanne McAdoo.
[00:11:30.273 --> 00:11:32.094]  We are past the 24-hour mark.
[00:11:32.174 --> 00:11:37.557]  I don't know how many hours we're into it, but we've got another four or five hours left of the marathon broadcast, so we've got a lot of news.
[00:11:37.597 --> 00:11:39.538]  We've had a revision.
[00:11:42.119 --> 00:11:47.542]  Of course, it has to be signed by President Trump, no question about that, but we'll see what happens to it in the Senate.
[00:11:47.562 --> 00:11:50.344]  We're going to take a look at the details of that health care bill.
[00:11:50.704 --> 00:11:55.467]  We're also going to take a look at some of the back and forth and the French debate that I think is very
[00:11:56.027 --> 00:11:56.267]  Yes, we are.
[00:12:13.510 --> 00:12:18.072]  Or a Storm Trooper mask into Ashwaubenon High School.
[00:12:18.672 --> 00:12:27.855]  And this is obviously not Lake Wobegon High School where everybody is above average because they had a below average response to this.
[00:12:27.875 --> 00:12:33.497]  They had a concerned parent call the police because they saw somebody walking in with unusual clothing.
[00:12:33.958 --> 00:12:37.239]  Remember, this is just a Storm Trooper mask.
[00:12:37.939 --> 00:12:40.460]  In case you get scared, it wasn't the full outfit.
[00:12:40.780 --> 00:12:45.281]  They were not dressed in a blue TSA uniform or a SWAT team uniform.
[00:12:45.341 --> 00:12:46.562]  The real Storm Troopers.
[00:12:47.002 --> 00:12:48.782]  But they got freaked out about that.
[00:12:49.443 --> 00:12:53.684]  They said there was no actual... This came out of the Ash Public Safety.
[00:12:53.724 --> 00:12:54.544]  They tweeted this out.
[00:12:54.944 --> 00:12:58.646]  They said there was no actual threat at the high school.
[00:12:58.666 --> 00:13:02.147]  And when they said that, they spelled there as T-H-E-I-R.
[00:13:02.587 --> 00:13:03.707]  Just saying, okay?
[00:13:03.767 --> 00:13:06.248]  So the only threat is that these are the people educating your children.
[00:13:06.468 --> 00:13:07.029]  Exactly!
[00:13:07.089 --> 00:13:09.111]  This is the people at the school putting this out.
[00:13:09.171 --> 00:13:10.413]  There's no actual threat.
[00:13:10.473 --> 00:13:14.318]  At the high school, a student came to school wearing a Star Wars costume with a mask.
[00:13:14.899 --> 00:13:17.282]  That was their complete Twitter sentence there.
[00:13:17.742 --> 00:13:21.187]  So don't be alarmed if you see somebody wearing a Stormtrooper mask.
[00:13:21.207 --> 00:13:24.811]  But do be alarmed if you see the kind of stuff that we're seeing repeatedly.
[00:13:25.874 --> 00:13:27.034]  And the airplane crew.
[00:13:27.715 --> 00:13:34.197]  See, when you have a stormtrooper environment at the airport, it eventually works its way into society.
[00:13:34.217 --> 00:13:46.701]  And I read a long recollection from a lady who lived in East Germany talking about how people in their ordinary, everyday capacity, when you would meet them as an individual to individual, they were fine.
[00:13:47.321 --> 00:13:55.233]  But once they got into their job as a retail store clerk, or if they're behind the counter at a bakery, they got very officious and bossy.
[00:13:55.293 --> 00:13:55.613]  Why?
[00:13:56.154 --> 00:13:59.119]  Because they lived in an authoritarian society.
[00:13:59.499 --> 00:14:02.504]  And once they got into a position of even just a little bit of power,
[00:14:03.254 --> 00:14:07.117]  They wanted to turn that abuse on other people, because they had been abused so much.
[00:14:07.197 --> 00:14:12.562]  I think that's what we're seeing here, because we've seen United Airlines, we've seen American Airlines, now we see Delta Airlines.
[00:14:12.602 --> 00:14:23.732]  Remember the United Airlines, that was the first one, doctor who, they smashed him up, broke some teeth and things like that, drug him off the flight, because they had overbooked the flight.
[00:14:24.272 --> 00:14:25.213]  They had overbooked the flight.
[00:14:25.574 --> 00:14:29.998]  And of course, the government tells the airlines that they can overbook the flight,
[00:14:30.678 --> 00:14:35.102]  And then they have a limit that they don't necessarily have to go up to.
[00:14:36.002 --> 00:14:38.744]  They say that, and I think they have changed this now.
[00:14:38.784 --> 00:14:40.646]  There's talk about having changed that.
[00:14:41.186 --> 00:14:47.932]  But at the time of the United flight, it was, I think, four times the amount of the ticket or something like $1,200 or $1,300.
[00:14:50.003 --> 00:14:53.365]  They didn't have to go beyond that, and they didn't have to go up to that point.
[00:14:53.385 --> 00:14:58.508]  They could just call in the stormtroopers, who would just smash you and drag you off the plane as we saw with that doctor.
[00:14:58.548 --> 00:15:07.493]  Then we had the American Airlines situation, where they had a guy who got very officious, smashed a woman in the face with the stroller, baby stroller.
[00:15:07.513 --> 00:15:08.994]  She's got her hands full of toddlers.
[00:15:09.394 --> 00:15:12.216]  She's trying to stow the trailer, but they have a policy.
[00:15:12.496 --> 00:15:13.137]  I have rules here.
[00:15:13.851 --> 00:15:17.638]  Do what I say, and give this to me and I'll smash you in the face with it, which is what he did.
[00:15:18.179 --> 00:15:20.383]  And a guy from Texas, a church deacon, said,
[00:15:21.522 --> 00:15:22.123]  Knock that off.
[00:15:22.163 --> 00:15:23.944]  You try that with me, that'll be the last thing you do.
[00:15:23.964 --> 00:15:25.525]  The guy said, yeah, yeah, do something about that.
[00:15:25.565 --> 00:15:26.726]  You saw that re-encounter, right?
[00:15:27.247 --> 00:15:28.708]  So the guy still didn't want to back down.
[00:15:29.368 --> 00:15:30.989]  And now we've had Delta today.
[00:15:31.009 --> 00:15:32.070]  We had Delta staff.
[00:15:32.110 --> 00:15:34.032]  This came off a couple of weeks ago.
[00:15:34.852 --> 00:15:36.314]  And it was just loaded onto YouTube.
[00:15:37.034 --> 00:15:45.301]  Delta staff told a California couple they could be jailed and lose their children, their son, age two, if they don't give up their seat.
[00:15:45.581 --> 00:15:47.562]  You will have to give up your seat or you're going to go to jail.
[00:15:47.723 --> 00:15:48.903]  Your wife is going to go to jail.
[00:15:49.044 --> 00:15:50.405]  And we'll take your kids from you.
[00:15:51.258 --> 00:15:51.818]  Incredible.
[00:15:51.978 --> 00:15:52.438]  That's the state.
[00:15:52.458 --> 00:15:53.759]  Because you won't give up your seat.
[00:15:54.219 --> 00:15:55.459]  Yeah, that they oversold.
[00:15:55.979 --> 00:15:58.200]  And the guy said they were due to travel from Hawaii to L.A.
[00:15:58.240 --> 00:15:58.720]  last week.
[00:15:59.200 --> 00:16:02.421]  They were told to relinquish the seat of their youngest son, who was two years old.
[00:16:03.081 --> 00:16:07.722]  The mother said, as a mother, you have to have, you have a one-year-old and a two-year-old.
[00:16:07.782 --> 00:16:09.582]  It doesn't matter whether that's true or false.
[00:16:09.642 --> 00:16:13.683]  It just puts fear in me because they're telling me they're going to take my children.
[00:16:14.364 --> 00:16:19.645]  And so they told, she had a car seat that was on top of the seat, said, you'll have to sit on one of your parents' knees.
[00:16:19.665 --> 00:16:20.645]  We're going to take that car seat.
[00:16:20.725 --> 00:16:21.445]  We don't want that in there.
[00:16:21.925 --> 00:16:25.047]  After a long debate, they agreed to it, but then they threw him off the plane anyway.
[00:16:25.067 --> 00:16:26.247]  Yeah, they said it's too late.
[00:16:26.307 --> 00:16:26.947]  It's too late now.
[00:16:26.987 --> 00:16:29.088]  You finally acquiesced to our commands.
[00:16:29.548 --> 00:16:29.988]  It's too late.
[00:16:30.008 --> 00:16:31.049]  You've made us all mad.
[00:16:31.089 --> 00:16:32.389]  You've ruffled all of our feathers.
[00:16:32.869 --> 00:16:33.610]  Isn't this amazing?
[00:16:33.770 --> 00:16:39.472]  And then they try and say that that's not the policy, that any child under two has to be in the parent's seat.
[00:16:39.952 --> 00:16:42.654]  But then you go to their website and it says the exact opposite.
[00:16:42.694 --> 00:16:50.881]  It says, for your convenience, for your safety, we really recommend you buy an additional seat for your child and get it a child booster seat or whatever.
[00:16:50.901 --> 00:16:52.242]  So they're contradicting themselves.
[00:16:52.262 --> 00:16:57.226]  Well, again, it's just these arbitrary rules, just as they see happening to them on a daily basis by the TSA.
[00:16:57.747 --> 00:17:00.970]  I have a rule, I've drawn a line here, and if you cross over that,
[00:17:01.570 --> 00:17:04.752]  Then there is no reasonable limit to my response.
[00:17:04.812 --> 00:17:08.955]  I can beat you, I can kill you if I want to, because we see the police doing that on a regular basis.
[00:17:09.295 --> 00:17:12.417]  A minor infraction, you're selling loosies on the sidewalk.
[00:17:12.437 --> 00:17:14.639]  We can kill you if you resist us or talk back to us.
[00:17:14.959 --> 00:17:18.341]  And so what they had to do, they did not give them a refund.
[00:17:18.982 --> 00:17:20.763]  They were forced to book a hotel room.
[00:17:21.143 --> 00:17:23.585]  They were forced to buy a plane ticket the next day.
[00:17:23.625 --> 00:17:27.067]  And of course, you know, that's going to be very expensive if you don't buy your plane ticket in advance.
[00:17:27.187 --> 00:17:28.328]  From Hawaii, more or less.
[00:17:28.888 --> 00:17:29.549]  Why so?
[00:17:29.669 --> 00:17:31.431]  Anyway, that's amazing.
[00:17:31.451 --> 00:17:35.235]  They said as we were leaving the plane they had four or five passengers waiting for a seat.
[00:17:35.275 --> 00:17:47.228]  Look, if the airlines want to do that as a business model, and they do, then they ought to bear the economic brunt of it and just understand they're gonna have to pay more if everybody shows up, if they want to keep doing it.
[00:17:47.268 --> 00:17:50.572]  That ought to be the way that they arbitrate that, but you don't have
[00:17:50.712 --> 00:17:51.272]  We're good.
[00:18:20.712 --> 00:18:22.413]  It's not airports, it's transportation.
[00:18:22.913 --> 00:18:29.197]  And as they take over our roads, and believe me, they are going to do it if you don't wake up and demand that they not do it.
[00:18:29.237 --> 00:18:34.720]  Because we have a coalition of the most powerful economic interests in our country and outside of our country.
[00:18:35.141 --> 00:18:37.242]  We have a decaying infrastructure.
[00:18:38.228 --> 00:18:42.794]  They're looking to get that rebuilt partially with private funds.
[00:18:42.834 --> 00:18:45.237]  They will be turning to foreign corporations to get that done.
[00:18:45.257 --> 00:18:51.426]  But then we also have an alliance between Big Otto and Silicon Valley to want to take over your driving.
[00:18:51.466 --> 00:18:52.227]  So we're going to have...
[00:18:53.248 --> 00:18:54.229]  Highways that we don't own.
[00:18:54.609 --> 00:18:56.370]  We're going to have cars that we don't own.
[00:18:56.730 --> 00:19:02.734]  We're going to have a tax and track regime that is going to be run like the officious airports that I cannot stand.
[00:19:02.814 --> 00:19:04.816]  So, just keep that in mind.
[00:19:05.236 --> 00:19:09.719]  The real storm troopers are very well entrenched and they are advancing on us.
[00:19:09.859 --> 00:19:11.700]  And we have to have a rebel alliance.
[00:19:11.840 --> 00:19:25.186]  Absolutely and it's interesting because we're seeing as people are now filming these encounters and so they're able to push back so people could actually see how violent it got with that doctor that was ripped off the plane and how his blood was pouring from his face.
[00:19:25.966 --> 00:19:34.370]  Someone got that on video and that was how it was able to really put the pressure on the airlines even though the CEO came out and issued two terrible apologies.
[00:19:35.610 --> 00:19:41.354]  And so now they said that they're no longer going to kick people off the plane if they've already boarded the plane.
[00:19:41.374 --> 00:19:44.116]  So obviously you said this video came out a few weeks prior to that.
[00:19:44.536 --> 00:19:46.437]  I'm just worried that people are going to get accustomed to it.
[00:19:46.738 --> 00:19:47.358]  Oh yeah, exactly.
[00:19:47.418 --> 00:19:48.419]  Because when they first came out...
[00:19:49.096 --> 00:19:54.099]  With their manhandling sexual assault on children, we had a big pushback against it.
[00:19:54.219 --> 00:19:55.600]  InfoWars is a big part of that.
[00:19:55.760 --> 00:19:58.061]  We organized a opt-out.
[00:19:58.201 --> 00:19:58.722]  Remember that?
[00:19:58.902 --> 00:20:02.884]  The very first Thanksgiving they had the scanners in, we organized an opt-out.
[00:20:02.904 --> 00:20:03.504]  And what did they do?
[00:20:03.564 --> 00:20:10.328]  On the busiest travel day of the year, when they tell us that they have to have these procedures for our security, they just shut everything down.
[00:20:10.348 --> 00:20:11.489]  Let everybody walk through the machine.
[00:20:11.929 --> 00:20:14.251]  Because they didn't want to have that kind of protest.
[00:20:14.291 --> 00:20:14.731]  Shut it down.
[00:20:15.271 --> 00:20:19.214]  Infowars was at the very center of organizing that, but that was the way that they pushed it out.
[00:20:19.274 --> 00:20:27.741]  And so now we do occasionally see people who complain about the way that they are manhandled or molested by the TSA, but people get used to it.
[00:20:27.841 --> 00:20:36.927]  Well, when you opt out, because I, unless I'm in a rush, I usually always opt out and I, you know, kind of in a snarky way request the TSA free massage.
[00:20:37.868 --> 00:20:48.436]  And now, to just make you realize how much you're inconveniencing them for not stepping through their little microwave machine, they really pat you down really hard, really aggressively.
[00:20:48.476 --> 00:20:53.019]  That's kind of their way, like you said, they get that little bit of a power, and they get on the power trip.
[00:20:53.541 --> 00:20:56.002]  They also like to tell you, when you tell them, I don't want to go through the radiation.
[00:20:57.063 --> 00:20:59.484]  You know, I don't want any of this stuff, quite frankly.
[00:20:59.524 --> 00:21:02.006]  But they make you stand over by the machine.
[00:21:02.126 --> 00:21:02.346]  Right.
[00:21:02.486 --> 00:21:04.987]  Which is, I said, I'm not standing there.
[00:21:05.307 --> 00:21:06.648]  I'm not standing by that machine.
[00:21:06.988 --> 00:21:10.150]  I'm doing this because I don't want to be irradiated.
[00:21:10.250 --> 00:21:11.811]  So you get into all that kind of stuff.
[00:21:11.831 --> 00:21:12.972]  You have to stand up to this.
[00:21:13.012 --> 00:21:14.913]  You have to have civil disobedience.
[00:21:14.933 --> 00:21:19.635]  And not like these people who didn't stand up when the doctor is being dragged off the plane.
[00:21:19.735 --> 00:21:22.877]  No one stood up like we saw that Texas Deacon did.
[00:21:23.217 --> 00:21:30.462]  I was really happy to see that, and I was not surprised that he was from Texas, because people from Texas are much less likely to put up with that kind of nonsense.
[00:21:30.882 --> 00:21:33.524]  Another piece of news, and we'll go to a story from you here.
[00:21:34.324 --> 00:21:42.209]  We had a story come out from New American, another study by John Lott, who does a lot of gun and violence statistics.
[00:21:42.249 --> 00:21:43.890]  He said, half of U.S.
[00:21:43.950 --> 00:21:47.232]  murders happen in only 2% of the counties.
[00:21:47.272 --> 00:21:47.873]  Let me repeat that.
[00:21:48.513 --> 00:21:49.995]  Half of the murders in the U.S.
[00:21:50.375 --> 00:21:54.039]  happen in only 2% of the counties.
[00:21:54.260 --> 00:21:59.005]  And as a matter of fact, it goes up to two-thirds happen in only 5% of the counties.
[00:21:59.465 --> 00:22:03.270]  He said more than half of the counties had no murders at all.
[00:22:03.510 --> 00:22:07.234]  And of course, guess where you're more likely to have murders and violence?
[00:22:07.574 --> 00:22:09.036]  Where you have gun controllers.
[00:22:09.096 --> 00:22:14.259]  Urban areas that have low gun ownership amongst the citizenry quote experience much higher murder rates.
[00:22:14.299 --> 00:22:14.739]  We know that.
[00:22:15.179 --> 00:22:16.440]  We can see that in Chicago.
[00:22:16.600 --> 00:22:17.820]  We see that in Washington.
[00:22:17.861 --> 00:22:18.901]  We see that in New York.
[00:22:19.361 --> 00:22:27.285]  While so much of the country that has very high gun ownership rates have zero, zero murders.
[00:22:27.425 --> 00:22:32.008]  So just more statistical evidence showing that there is an inverse correlation
[00:22:32.648 --> 00:22:34.889]  Between gun ownership and violence.
[00:22:35.469 --> 00:22:37.210]  It makes it go down.
[00:22:37.430 --> 00:22:39.711]  Every study shows this, but this is very impressive.
[00:22:40.211 --> 00:22:43.733]  Only 2% of the counties in the United States have half of all the U.S.
[00:22:43.773 --> 00:22:44.033]  murders.
[00:22:44.053 --> 00:22:46.234]  You can see that full story at New American.
[00:22:46.254 --> 00:22:52.856]  Now David, weren't you telling me, I know we kind of like to talk here behind the scenes, and you were explaining the Wild Wild West really wasn't that wild.
[00:22:52.956 --> 00:22:59.599]  Everyone used to open carry, and it kind of kept all the crime down because everyone could see everyone was packing, so you really weren't looking.
[00:22:59.619 --> 00:23:04.565]  Well, yeah, there's a book out called Gunfighters, Vigilantes, and something else.
[00:23:04.605 --> 00:23:10.511]  But basically, you see, Hollywood created the image that we have of the Wild West.
[00:23:10.571 --> 00:23:15.517]  And every time somebody talks about freedom, they always say, oh, we don't want the Wild West when it comes to such and such.
[00:23:15.557 --> 00:23:16.177]  Fill in the blank.
[00:23:16.237 --> 00:23:19.841]  It's what the antithesis of what the Democrats want is the Wild West.
[00:23:19.862 --> 00:23:21.063]  Yeah, the Wild West of the Internet.
