[00:00:18.715 --> 00:00:21.978]  Good evening, you're watching the InfoWars Nightly News.
[00:03:50.750 --> 00:03:57.932]  But they're saying that Spicer has behaved like a deer in the headlights in recent weeks
[00:03:58.712 --> 00:04:03.554]  And is not able to handle the pressure of the job, according to one source.
[00:04:04.154 --> 00:04:24.123]  White House Chief of Staff, Renise Priebus, could also be on the chopping block as President Trump begins a purge of moderate advisers who he feels have performed poorly when it comes to investigating the source of leaks that have proved embarrassing for the administration.
[00:04:25.083 --> 00:04:44.209]  Yes, a lot of leaks have been coming out of the White House press briefing rooms and there were some investigations and it looks like nobody ever got down to who exactly was leaking things to the mainstream media in order to make the Trump administration look bad.
[00:04:45.049 --> 00:04:59.446]  Another interesting one here, you know, we just recently saw how Anderson Cooper was interviewing Kellyanne Conway and he was rolling his eyes at her when she was talking.
[00:04:59.666 --> 00:05:01.108]  Now what's interesting about this is
[00:05:02.069 --> 00:05:23.175]  If, in fact, it was a liberal woman on the show that you have this white male rolling his eyes at, the liberals would have had a storm, saying, oh, he's a misogynist, he's belittling and degrading this woman, if this woman was, in fact, a representative of Hillary's campaign.
[00:05:23.856 --> 00:05:30.938]  But, you know, because it's a Trump, you know, because she's associated with Trump, it's okay to belittle her and disrespect her on camera.
[00:05:32.034 --> 00:05:38.981]  Another one that's interesting is Democrats have been pushing for impeachment already.
[00:05:39.001 --> 00:05:40.622]  So this is interesting.
[00:05:40.682 --> 00:05:47.228]  The stolen valor senator is pushing for impeachment over Comey firing.
[00:05:48.249 --> 00:06:07.182]  Democratic Senator Richard Blumenthal of Connecticut, who once apologized for misrepresenting his military service in Vietnam, claimed President Trump firing FBI Director James Comey may well produce impeachment proceedings.
[00:06:07.622 --> 00:06:09.904]  So liberals were not happy.
[00:06:10.484 --> 00:06:17.349]  He triggered so many leftists and Democrats over firing Comey, which was a long time coming.
[00:06:18.529 --> 00:06:20.190]  And now they want impeachment.
[00:06:20.630 --> 00:06:27.815]  Well, that's kind of interesting because just before they were all praising Comey and they totally let it... No, they were not praising Comey.
[00:06:27.855 --> 00:06:29.736]  They were all criticizing Comey.
[00:06:30.296 --> 00:06:36.079]  And now they're acting like he's some victim because Trump fired him when they were calling for him to resign earlier.
[00:06:36.099 --> 00:06:37.720]  You know, Comey's
[00:06:39.301 --> 00:06:45.406]  Comey, OK, his temporary fill in has ties to Clinton.
[00:06:45.426 --> 00:06:47.267]  This is this is really creepy here.
[00:06:47.528 --> 00:06:57.675]  OK, because the person who's actually going to be replacing Comey is somebody who should not be trusted, according to some people.
[00:06:57.776 --> 00:07:06.602]  Some sources say that it looks like this guy who's going to be replacing Comey is actually a Clinton ally.
[00:07:07.543 --> 00:07:15.565]  Okay, so his name is Andrew McCabe and he's going to be sworn in to replace FBI Director James Comey.
[00:07:16.805 --> 00:07:33.629]  And he first made headlines in 2015 when his wife, who was running for a Virginia Senate seat, received nearly $500,000 in campaign donations from Virginia Governor Terry McAuliffe.
[00:07:34.349 --> 00:07:41.096]  Okay, a known Clinton ally, so he's getting money, his wife is getting money from a known Clinton ally.
[00:07:41.857 --> 00:07:49.606]  Incidentally, McCabe headed the investigation into Hillary Clinton's emails at the time.
[00:07:50.346 --> 00:07:57.053]  And was criticized for not recusing himself from the investigation following revelations.
[00:07:57.493 --> 00:08:05.141]  So this is a guy who was supposed to be investigating Hillary Clinton's emails and didn't disclose that he had conflicts of interest.
[00:08:05.501 --> 00:08:08.964]  He didn't recuse himself and he kept on through that investigation.
[00:08:09.004 --> 00:08:10.706]  I'm sure he kind of played a role in
[00:08:12.379 --> 00:08:14.041]  Uh, getting it thrown out.
[00:08:14.761 --> 00:08:25.690]  And so this is the guy that's going to be temporarily replacing Comey, but it should only be very temporary because Donald Trump is working fast to make sure that somebody else fills the seat.
[00:08:25.730 --> 00:08:31.395]  And everybody on Twitter seems to be saying they want to see Trey Gowdy fill that seat.
[00:08:31.415 --> 00:08:35.618]  Well, that would be pretty amazing to see Trey Gowdy fill that seat because he
[00:08:36.539 --> 00:08:43.681]  Trump has a pretty good track record of being really honest, really straightforward, and a heavy hitter.
[00:08:44.141 --> 00:08:53.224]  He would be the type to go after Hillary Clinton and make sure that she's behind bars for her crimes if in fact she's guilty, which we all know she is.
[00:08:54.164 --> 00:08:54.484]  Okay.
[00:08:55.644 --> 00:09:04.087]  Trump says, okay this one's interesting right here, Trump says that he will release his tax returns
[00:09:05.268 --> 00:09:06.570]  After he leaves office.
[00:09:07.251 --> 00:09:14.100]  So he's out there trolling the liberals and all these people demanding, release your tax returns!
[00:09:14.161 --> 00:09:15.843]  We want to see your tax returns!
[00:09:16.384 --> 00:09:20.269]  He says he might release them after he leaves office.
[00:09:21.070 --> 00:09:33.673]  So this says, in a move destined to trigger detractors, Donald Trump has said he is considering releasing his tax returns but only after his presidency concludes.
[00:09:34.454 --> 00:09:36.894]  He says, oh at some point I'll release them.
[00:09:37.214 --> 00:09:41.736]  Maybe I'll release them after I'm finished because I'm very proud of them actually.
[00:09:41.756 --> 00:09:43.856]  I did a good job.
[00:09:44.196 --> 00:09:46.117]  So he's just totally trolling
[00:09:46.897 --> 00:09:51.681]  People out there and you know you have all these people out there release your tax returns.
[00:09:51.721 --> 00:10:02.730]  We want to see your tax returns and you know they'll only see it after he's done and I think that honestly his tax returns are probably pretty innocent.
[00:10:03.030 --> 00:10:04.812]  He probably has followed the law.
[00:10:04.832 --> 00:10:08.054]  I'm sure he would be under investigation by the IRS if he didn't.
[00:10:08.775 --> 00:10:17.714]  But I think it's just more of the matter that he's not going to make people force his hand and have to give over his tax returns, because then the left would be winning.
[00:10:18.672 --> 00:10:19.433]  This is interesting.
[00:10:20.154 --> 00:10:31.705]  ABC cancels Tim Allen's highly rated TV show after two months after he called out hysterical anti-Trump left.
[00:10:32.486 --> 00:10:39.594]  Okay, so after he goes out and calls out the leftist lunacy, he gets his show canceled.
[00:10:40.325 --> 00:10:53.532]  Well, it's not too surprising from one of the, you know, the stuff that we've seen in the past where anyone who comes out as a conservative that's a Hollywood actor, Hollywood star, they get blacklisted, they get shunned, they get their shows pulled.
[00:10:53.872 --> 00:11:03.217]  Even Dr. Phil had, you know, some repercussions for him airing that show on this girl who claimed to be human sex trafficked.
[00:11:04.678 --> 00:11:07.301]  And this is what's interesting here, okay?
[00:11:08.421 --> 00:11:13.686]  Apparently, in LA there is a secret underground group of showbiz conservatives.
[00:11:13.786 --> 00:11:21.652]  Victoria Jackson, a former Saturday Night Live cast member, told Huffington Post, it started with two people in 2000.
[00:11:21.692 --> 00:11:27.577]  I was at the fifth or tenth meeting and now there are over 2,000 people!
[00:11:29.739 --> 00:11:33.260]  So we have like thousands of Hollywood celebrities.
[00:11:33.300 --> 00:11:43.324]  These are like actors, celebrities, people you've seen on TV who probably out, you know, in front of the camera are liberals, but really secretly behind closed doors.
[00:11:43.364 --> 00:11:49.966]  They're having to have secret meetings and talk about their conservative beliefs amongst each other because they don't want to get blacklisted.
[00:11:50.726 --> 00:11:55.249]  It says the only ones out of the closet are Jon Voight and Pat Boone.
[00:11:55.729 --> 00:12:04.916]  There are famous people in there, but they don't want to lose their careers over their conservative beliefs because conservatives are blacklisted.
[00:12:05.516 --> 00:12:15.083]  My goodness, are we really going to be this afraid of political correctness that people have to be hiding in little secret rooms like they're breaking the law by having a conservative belief?
[00:12:15.743 --> 00:12:23.052]  I mean we have people too afraid to even talk about their conservative beliefs anymore at family dinners or at the office at work.
[00:12:23.172 --> 00:12:34.686]  People have to be in hiding about their conservative beliefs or risk being shamed and shunned by the super serious SJW virtue signaling liberals.
[00:12:36.164 --> 00:12:38.146]  It's pretty insane what we're coming to, folks.
[00:12:38.546 --> 00:12:44.472]  So it's pretty insane that people, conservatives, have to remain in hiding about their conservative beliefs.
[00:12:44.932 --> 00:12:48.195]  But there's also somebody out there who's fighting these SJWs.
[00:12:48.255 --> 00:12:50.977]  We're going to be joined by Brittany Pettibone.
[00:12:51.037 --> 00:12:53.139]  So let's go ahead and talk to Brittany.
[00:12:53.880 --> 00:12:55.622]  Hello, Brittany Pettibone.
[00:12:55.642 --> 00:12:57.483]  How was Paris?
[00:12:57.543 --> 00:13:02.428]  I know you were out there for the election in France and you have some stories to tell.
[00:13:03.666 --> 00:13:07.969]  Yeah, it was very interesting, particularly on Victory Day.
[00:13:07.989 --> 00:13:09.490]  It was a huge march.
[00:13:09.950 --> 00:13:11.471]  It was a bunch of groups, actually.
[00:13:11.491 --> 00:13:16.294]  You had a bunch of different Antifa ones and anarchists.
[00:13:16.575 --> 00:13:22.438]  You even had some people holding peace signs, although they got out of there right before the march started.
[00:13:22.478 --> 00:13:25.480]  I think they figured things were going to get rowdy, so they were gone.
[00:13:25.520 --> 00:13:27.902]  You saw all the elderly people departing, all the children.
[00:13:27.942 --> 00:13:30.524]  It was kind of like a sign that, okay, things are going down.
[00:13:31.044 --> 00:13:34.428]  So you had like hundreds of policemen and full riot gear.
[00:13:34.448 --> 00:13:38.854]  What they did is they, the march was down this long street towards Bastille.
[00:13:38.914 --> 00:13:39.895]  It started at Republic.
[00:13:40.709 --> 00:13:43.670]  And the police, they would not let anyone through the line.
[00:13:43.850 --> 00:13:47.172]  So even if you wanted to get through, even if you were a child, they wouldn't let anyone through.
[00:13:47.192 --> 00:13:48.852]  If you tried to get through, they'd throw you back.
[00:13:48.932 --> 00:13:54.214]  So basically, for a good hour, we were stuck between the policemen and the marchers who were rioting.
[00:13:54.234 --> 00:14:01.737]  So there were only certain moments when it got a little bit crazy, none of which I caught on film because I was, like, scared for it.
[00:14:01.777 --> 00:14:04.038]  Trying to, like, you know, stay out of the craziness.
[00:14:04.498 --> 00:14:07.660]  But yeah, the Antifa there are insane.
[00:14:07.800 --> 00:14:10.462]  They are so many levels above the Antifa here in the USA.
[00:14:10.682 --> 00:14:13.845]  They have like uniforms, flags, chants, you know, their own.
[00:14:15.026 --> 00:14:16.567]  They have got it down.
[00:14:16.927 --> 00:14:17.327]  That's right.
[00:14:17.367 --> 00:14:20.389]  I know you were saying they were a lot more organized.
[00:14:20.930 --> 00:14:26.133]  They were what we can expect in the future for the Antifa here in the United States.
[00:14:26.454 --> 00:14:27.995]  Now, I know you're saying something about
[00:14:28.935 --> 00:14:32.657]  You and Lauren Southern being threatened as reporters out there.
[00:14:32.777 --> 00:14:34.138]  I'm sure it was pretty terrifying.
[00:14:34.178 --> 00:14:34.978]  What happened there?
[00:14:34.998 --> 00:14:37.159]  This was actually the first night when I arrived.
[00:14:37.199 --> 00:14:39.981]  We went to a protest against police brutality.
[00:14:40.021 --> 00:14:44.543]  So apparently someone had been murdered a few weeks ago, had been killed by policemen.
[00:14:44.643 --> 00:14:48.245]  And so they were having this big kind of riot against police brutality.
[00:14:48.625 --> 00:14:50.466]  So we were there and as we arrived,
[00:14:51.520 --> 00:14:58.246]  Yeah, Lauren and I were very intimidated because we were pretty much the only women there and there were about like 350 just big men standing there.
[00:14:58.286 --> 00:15:02.170]  There were some younger boys too, but they looked, you know, just as scary.
[00:15:03.511 --> 00:15:09.296]  And so they basically said, you film us, we will literally beat you, you know, break your cameras, whatever.
[00:15:09.657 --> 00:15:14.141]  So what they did was we actually had someone who spoke French in our group, which was
[00:15:14.807 --> 00:15:21.191]  Thankfully, you know, so he was able to kind of mediate and kind of like warm things, warm things up and talk to them.
[00:15:21.511 --> 00:15:26.374]  So basically, after this, they were kind enough to say, okay, we're starting get out now, like leave.
[00:15:26.734 --> 00:15:28.355]  And so they they said leave or
[00:15:29.178 --> 00:15:33.523]  You know, we can't, we're not going to be able to say that you're going to be able to stay safe.
[00:15:33.884 --> 00:15:34.504]  So we left.
[00:15:34.544 --> 00:15:40.612]  It was very scary though, because as we left, we kept passing big groups of guys as they were moving into the riot.
[00:15:40.732 --> 00:15:43.235]  And they'd like, they knew that we were journalists.
[00:15:43.255 --> 00:15:43.975]  They'd be like, what's that?
[00:15:44.016 --> 00:15:44.676]  What's that stick?
[00:15:44.696 --> 00:15:45.998]  You know, you have like the selfie.
[00:15:46.494 --> 00:15:46.914]  Yeah, yeah.
[00:16:06.209 --> 00:16:08.590]  And they had their, you know, flags and uniforms and everything.
[00:16:08.630 --> 00:16:14.873]  And usually the Antifa, I don't see very many that, usually they're white, just for some reason most of the Antifa are.
[00:16:15.233 --> 00:16:23.056]  But actually all of these men, they looked, they were either, they looked like they were, you know, from the Middle East somewhere or they were black.
[00:16:23.816 --> 00:16:27.138]  Yeah, and so we were pretty much the only white people there actually.
[00:16:27.940 --> 00:16:30.100]  But this was like a no-go zone where we went.
[00:16:31.121 --> 00:16:54.085]  So these are the areas where a lot of the refugees have resettled in France and basically this is what we would be seeing along the lines if more refugees had been allowed to come into the United States because now they're at the point where they're actually out there protesting in the streets which is pretty terrifying and I know Brittany you were saying that you had been to Paris
[00:16:54.725 --> 00:17:01.153]  Before and you know years before before this refugee situation and then you came back and it was so different.
[00:17:01.613 --> 00:17:02.294]  How is it different?
[00:17:03.055 --> 00:17:03.855]  It's very different.
[00:17:03.875 --> 00:17:05.396]  Well, just in the people that are there.
[00:17:05.456 --> 00:17:06.996]  I mean, I was there in 2013.
[00:17:07.096 --> 00:17:07.956]  It was very different.
[00:17:08.436 --> 00:17:13.477]  Now I would be afraid to go out on my own in Paris, walking alone, even during the day.
[00:17:13.678 --> 00:17:29.981]  I just would, like in certain places you go, like for example, this, this protest we went to the first night, all down the street, there were like, it was, it was a relatively nice area, but like a lot of the buildings were just smashed, like the, the, the doors and windows and it was graffiti everywhere.
[00:17:30.001 --> 00:17:32.522]  You know, a lot of trash in the street and it just,
[00:17:33.741 --> 00:17:34.682]  But it's a nice area.
[00:17:34.742 --> 00:17:38.326]  It's not like it's this dump, you know, where you expect these kinds of things to happen.
[00:17:38.346 --> 00:17:40.108]  So that was quite shocking just seeing it.
[00:17:40.348 --> 00:17:41.849]  Yeah.
[00:17:42.150 --> 00:17:45.053]  It's just such that, you know, all of the refugees have come in.
[00:17:45.133 --> 00:17:46.634]  So there's refugees everywhere.
[00:17:47.095 --> 00:17:47.535]  Everywhere.
[00:17:47.796 --> 00:17:49.077]  It's, you know, it's crazy.
[00:17:49.137 --> 00:17:50.338]  I'm sure it's shocking.
[00:17:50.418 --> 00:17:51.760]  It's a shocking transformation.
[00:17:51.820 --> 00:17:56.204]  It's why so many people were trying to support Le Pen to stop some of the refugees coming in.
[00:17:57.145 --> 00:18:00.366]  You know, we've seen all this craziness, even with the Antifa.
[00:18:00.446 --> 00:18:20.213]  I know the Antifa were out there celebrating, but these Antifa and SJWs are getting out of control to where they're even promoting women wearing hijabs and burqas, covering their face, in order to go along with this being politically correct ideology.
[00:18:20.593 --> 00:18:22.033]  And it's pretty disturbing.
[00:18:22.053 --> 00:18:24.314]  What do you think about that politically correct ideology?
[00:18:26.163 --> 00:18:30.486]  Political correctness is just the bane of our country's existence, really.
[00:18:30.786 --> 00:18:33.388]  It's what's causing so many of the problems.
[00:18:33.728 --> 00:18:39.371]  People just going along with things because they don't want to be shunned or, you know, socially ostracized, whatever.
[00:18:39.431 --> 00:18:41.392]  They'll just kind of bend the knee to it.
[00:18:41.633 --> 00:18:45.135]  And I think we have seen, though, an upsurge in people standing up to it.
[00:18:45.435 --> 00:18:46.676]  People are now taking to the streets.
[00:18:47.196 --> 00:18:54.690]  We'll hold that thought, Brittany, because we are going to be coming right back after the break and we're going to be joined by Josephine from My Name is Josephine.
[00:19:01.593 --> 00:19:09.360]  Infowars has partnered with Defender Body Armor to bring you a new state-of-the-art line of advanced, highly tested body armor from InfowarsStore.com.
[00:19:09.560 --> 00:19:16.006]  Defender Body Armor is certified to protect against all handgun rounds and even armor-piercing FN 5.7 pistol rounds.
[00:19:16.226 --> 00:19:24.513]  The secret to Defender Body Armor is its proprietary processing technology that disperses more kinetic energy at a rate higher than any other traditional body armor.
[00:19:24.793 --> 00:19:33.540]  Using one of the strongest synthetic materials ever created, called Ultra High Molecular Weight Polyethylene, Defender Armor is also super compact and lightweight.
[00:19:33.800 --> 00:19:39.544]  There's a reason the Department of Defense chose Defender to manufacture their new line of advanced lightweight armor.
[00:19:39.884 --> 00:19:40.364]  It works.
[00:19:40.645 --> 00:19:48.930]  Defender Body Armor is made right here in America and has received the highest level Ballistic Resistance Certification from an authorized NIJ Ballistic Laboratory.
[00:19:49.090 --> 00:19:58.517]  Defender Body Armor is now available through InfoWarsTore.com so you can defend yourself, your family, and finance the Info War against the Globalists all at the same time.
[00:19:58.857 --> 00:19:59.477]  A total 360 win.
[00:20:01.448 --> 00:20:03.209]  You provided, Alex, with the caveman.
[00:20:03.229 --> 00:20:05.290]  Well, so we've been formulating this stuff for a while.
[00:20:05.350 --> 00:20:08.751]  We've been getting these different flavors and, you know, oh, I don't know about this one.
[00:20:09.212 --> 00:20:12.193]  You know, and so I've been taking that stuff and I'm an old man.
[00:20:12.213 --> 00:20:12.793]  I'm 42.
[00:20:12.833 --> 00:20:15.715]  I work out five times a week, if not more.
[00:20:15.895 --> 00:20:17.356]  I hear you're okay in jujitsu.
[00:20:19.296 --> 00:20:20.437]  No, I'm not.
[00:20:20.457 --> 00:20:21.117]  I'm terrible.
[00:20:21.137 --> 00:20:21.718]  I'm terrible.
[00:20:21.818 --> 00:20:28.961]  But, the point is, is that I have a lot of aches and shoulders and, you know, this weird joint stuff that I've had issues with for years.
[00:20:29.581 --> 00:20:36.785]  And this bone broth, the Caveman Bone Broth, along with our joint formula, has just worked magic for me.
[00:20:36.825 --> 00:20:40.286]  And that's just, you know, that's just from my personal experience.
[00:20:41.687 --> 00:20:46.933]  I think they're great products and I think if anybody else has those issues that you should definitely, you owe it to yourself to check it out.
[00:20:46.973 --> 00:20:50.056]  If I'm wrong, then hey man, write me a mean letter.
[00:20:50.457 --> 00:20:51.758]  But let me tell you, they work for me.
[00:20:52.118 --> 00:20:53.320]  Yeah, they work for me too.
[00:20:53.400 --> 00:20:54.541]  Actually, we were talking about this earlier.
[00:20:54.561 --> 00:21:01.729]  Dude and I play basketball and I'm just now, like for the first time in my life, I'm 27 now, after I play basketball my knees are barking.
[00:21:02.329 --> 00:21:04.091]  Yeah.
[00:21:04.271 --> 00:21:10.057]  But the bone broth and the joint formula, like you just said, you combine those two, I felt the difference immediately.
[00:21:10.077 --> 00:21:11.678]  I felt it immediately.
[00:21:11.898 --> 00:21:13.920]  Yeah, and it actually tastes good.
[00:21:14.020 --> 00:21:17.083]  Like, I'm really picky and I will drink it.
[00:21:17.103 --> 00:21:18.264]  It tastes good to me.
[00:21:18.344 --> 00:21:22.288]  I love chocolate, so I really like the flavor of the Caveman.
[00:21:22.328 --> 00:21:24.390]  So, I mean, if the bone broth
[00:21:27.072 --> 00:21:28.153]  Bone broth!
[00:21:28.213 --> 00:21:33.356]  If the bone broth is really that gross, I mean, I would never have known, because it tastes really good.
[00:21:33.376 --> 00:21:37.118]  And my favorite is the Super Female Vitality.
[00:21:37.158 --> 00:21:44.922]  So, ladies, get yourselves some Super Female Vitality if you haven't already, because it seriously, it just gets me going.
[00:21:44.982 --> 00:21:50.045]  I mean, I'll take a whole bunch of that stuff before I go out and do my... Maybe get it for your wife, then, too, or girlfriend.
[00:21:50.866 --> 00:21:58.481]  I go and take a bunch of it before I go do Man on the Street, and I just start running, zipping around, running right into the action, no fear, nothing, so...
[00:21:59.141 --> 00:22:06.486]  Well, that's a big primary part about, you know, fighting the globalists is making sure that we stay healthy and stay clear-eyed and stay honest and stay humble.
[00:22:07.027 --> 00:22:08.848]  I hope that we do that here at InfoWars.
[00:22:09.569 --> 00:22:20.117]  We got a lot going on and we're in the middle of the fight, so we really appreciate it when anybody supports us, either by purchasing our products or you can even go on to our store and donate.
[00:22:20.177 --> 00:22:21.418]  We're doing this by the skin of our teeth.
[00:22:21.478 --> 00:22:27.562]  I know it looks like we're in a billion-dollar studio, but Alex has never taken one cent of
[00:22:28.803 --> 00:22:31.065]  I borrowed money at all whatsoever.
[00:22:31.105 --> 00:22:33.307]  This is all money that's come from you listeners.
[00:22:33.327 --> 00:22:41.413]  So you've literally built this place, you know, built this place with your compassion and built this place with the support that you've sent us.
[00:22:41.433 --> 00:22:44.776]  So from the bottom of my heart, I appreciate it because I know we wouldn't be able to do this.
[00:22:44.816 --> 00:22:47.658]  We wouldn't have a voice if it wasn't for you.
[00:22:47.758 --> 00:22:53.143]  So once again, we've got to thank the listeners for their steadfastness in supporting us and
[00:22:53.844 --> 00:23:00.702]  Even when we make mistakes and even when we're not right and even when we might go a little bit crazy, you guys stick with us and I appreciate that.
[00:23:04.491 --> 00:23:05.752]  Again, I'm Millie Weaver.
[00:23:05.832 --> 00:23:10.757]  We are joined here with Brittany Pettibone and Josephine Mathias.
[00:23:11.237 --> 00:23:12.658]  Hi, Josephine.
[00:23:12.678 --> 00:23:13.519]  Thanks for joining us.
[00:23:13.599 --> 00:23:20.685]  So, I wanted to talk a little bit about SJWs and oppression and oppression Olympics.
[00:23:20.785 --> 00:23:23.107]  So, do you have anything to say about that?
[00:23:23.127 --> 00:23:24.589]  Because I know you just had an awesome video.
[00:23:26.241 --> 00:23:30.044]  Well, I mean, it seems like everyone just wants to be oppressed nowadays.
[00:23:30.104 --> 00:23:31.565]  They kind of get points for it.
[00:23:32.826 --> 00:23:38.951]  And with the video, I kind of just touched on the idea that they kind of feel like, if I'm oppressed, therefore I'm special.
[00:23:39.072 --> 00:23:40.793]  So, you know, it makes me different.
[00:23:40.913 --> 00:23:43.716]  And it's like fighting each other to be the most oppressed.
[00:23:43.796 --> 00:23:44.356]  It's crazy.
[00:23:45.037 --> 00:23:46.198]  Yeah, it is really crazy.
[00:23:46.218 --> 00:23:47.419]  What do you think about that, Brittany?
[00:23:48.208 --> 00:23:51.571]  Yeah, well, I think it's also a way that people don't have to take responsibility for things.
[00:23:51.611 --> 00:23:58.337]  They can say, oh, you know, I'm oppressed and I'm a victim here, so I should get handouts here and everyone should feel sorry for me, etc.
[00:23:58.677 --> 00:24:02.380]  So I think that we have a huge problem in our society today with taking accountability.
[00:24:02.953 --> 00:24:05.595]  And that is a way that people get out of it.
[00:24:06.156 --> 00:24:06.596]  That's right.
[00:24:06.696 --> 00:24:14.002]  And it actually is a way of oppressing someone to tell them that they're oppressed and that they'll never be able to achieve things.
[00:24:14.422 --> 00:24:16.884]  And that they're always going to be under a glass ceiling.
[00:24:16.904 --> 00:24:19.506]  And I know Josephine was telling me about that.
[00:24:19.686 --> 00:24:22.549]  And you had some really interesting take on that, Josephine.
[00:24:23.149 --> 00:24:25.214]  Well, I think it's ridiculous.
[00:24:25.254 --> 00:24:32.892]  You're trying to tell little kids or tell people that if you are a certain race, if you are a woman, if you are oppressed,
[00:24:33.351 --> 00:24:35.073]  Then you're not going to be able to make it in life.
[00:24:35.093 --> 00:24:37.034]  You're not going to be able to make it to the front steps.
[00:24:37.075 --> 00:24:38.636]  Then it should be the opposite of that.
[00:24:38.676 --> 00:24:42.460]  They should be telling kids that it doesn't matter what race you are, it doesn't matter what sex you are.
[00:24:42.480 --> 00:24:44.401]  If you put in work, then you will make it.
[00:24:45.542 --> 00:24:54.331]  So it's just kind of making people feel bad, or not even feel bad, like the fact that they are different because it makes them special and they get oppression points for that.
[00:24:55.091 --> 00:24:57.854]  And I don't know, it's counterproductive.
[00:24:58.274 --> 00:25:03.579]  It really is, and that's why we're going to show a clip from your video because it's really awesome.
[00:25:03.599 --> 00:25:04.800]  It's very creatively done.
[00:25:05.161 --> 00:25:08.624]  But thank you so much for joining us, Brittany Pettibone.
[00:25:08.644 --> 00:25:16.692]  We really enjoyed having you on, and after this short video clip of Josephine's video, we will be back talking more to Josephine.
[00:25:16.712 --> 00:25:17.473]  So let's roll.
[00:25:18.726 --> 00:25:22.448]  Hey guys, my name is Josephine and today I'll be reviewing BuzzFeed's video, What is Privilege?
[00:25:22.788 --> 00:25:24.829]  Or it's also known as the Oppression Olympics.
[00:25:24.989 --> 00:25:25.789]  Whichever one works.
[00:25:26.349 --> 00:25:32.632]  This is one of my favorite videos on the internet because it shows you how much privilege you have by asking you questions like, did you have a toothbrush growing up?
[00:25:33.053 --> 00:25:35.013]  Or are you a white, straight, cis male?
[00:25:35.133 --> 00:25:36.174]  So let's get right into it.
[00:25:45.211 --> 00:25:52.016]  I suppose being a white male will help me end up somewhere towards the front, but I'll take a few steps back from being gay.
[00:25:52.937 --> 00:25:55.138]  I also lost a limb, so I'm gonna take a step back.
[00:25:55.358 --> 00:25:56.219]  Oh, and I'm Muslim.
