[00:00:04.648 --> 00:00:05.749]  You've got it.
[00:04:27.149 --> 00:04:34.510]  Navy back before they had all the fancy equipment that talked about not a tree left standing on an island.
[00:04:35.190 --> 00:04:36.971]  Or not a tree left standing on a coastline.
[00:04:37.471 --> 00:04:39.791]  Well, we've never seen hurricanes where not a tree's left standing.
[00:04:39.831 --> 00:04:43.212]  So, they've been hit by sixes and you know there's been sevens.
[00:04:44.195 --> 00:04:47.157]  We've only been recording things for a little bit of time.
[00:04:47.177 --> 00:04:55.662]  So when they say this is the most deadly storm in history, it's the most deadly storm ever measured in the Atlantic Ocean.
[00:04:56.923 --> 00:05:00.866]  And it is a nuclear storm, as public officials are calling it.
[00:05:03.707 --> 00:05:05.829]  And they tell the trainees that, the trainees go, rip me off.
[00:05:42.905 --> 00:05:55.209]  I mean that's that's what we're dealing with here, and I'm sick of it!
[00:05:57.469 --> 00:05:59.350]  Bing bing bong bong bing bing bing
[00:06:08.413 --> 00:06:15.017]  We've got great air filters, great water filters, great non-GMO heirloom seeds, great books, great films, great Patriot apparel to meet like-minded people.
[00:06:15.237 --> 00:06:17.639]  And we've got a new humongoid sale.
[00:06:17.799 --> 00:06:21.101]  Not the number of things that are on massive sale, but on what's on sale.
[00:06:21.241 --> 00:06:23.403]  Out for months, not been on sale for months and months.
[00:06:23.443 --> 00:06:28.126]  We've never offered Super Mel Vitality non-concentrated herbs, cold-pressed.
[00:06:28.286 --> 00:06:31.048]  Super Mel Vitality, 57% off.
[00:06:31.148 --> 00:06:35.370]  It's never been the price it is right now, with 3,596 reviews, 4.6 reviews total by third-party sites.
[00:06:38.272 --> 00:06:39.093]  Unprecedented.
[00:06:39.173 --> 00:06:40.234]  And it's cold-pressed.
[00:06:40.374 --> 00:06:42.295]  That's why Supermail is so different.
[00:06:42.315 --> 00:06:50.701]  People say, well, I know these compounds work, because it's admitted in science, and these are other, what you sell, they, BuzzFeed said, it's like, there's already best-selling stuff that's been certified as, you know, healthy and good forever.
[00:06:50.721 --> 00:06:51.921]  Why these aren't anything new?
[00:06:51.941 --> 00:06:55.984]  Because, why do something new when you can have the oldest and best, but cold-pressed?
[00:06:56.004 --> 00:06:56.645]  Dude!
[00:06:56.665 --> 00:06:56.745]  Dude!
[00:07:03.343 --> 00:07:04.785]  Vitamin Mineral Fusion.
[00:07:04.945 --> 00:07:07.367]  Visit Infowarslife.com to secure your canister.
[00:07:07.548 --> 00:07:14.835]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:07:15.035 --> 00:07:25.366]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:07:25.666 --> 00:07:33.251]  In the history of InfoWars Life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:07:33.511 --> 00:07:43.478]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:07:43.718 --> 00:07:45.660]  And this part is most important.
[00:07:45.760 --> 00:07:48.742]  The ingredients in vitamin mineral fusion are either
[00:07:48.962 --> 00:07:52.545]  Plant-derived, or of the highest quality lab standard.
[00:07:52.585 --> 00:07:53.686]  That means it's clean.
[00:07:54.006 --> 00:07:55.027]  That means it's pure.
[00:07:55.147 --> 00:07:57.909]  And rest secured, you're fighting the tip of the spear in the InfoWars.
[00:07:58.049 --> 00:08:00.772]  That's InfoWarsLive.com and Vitamin Mineral Fusion.
[00:08:00.852 --> 00:08:02.513]  Take action now before we sell out.
[00:08:05.736 --> 00:08:11.761]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:12.381 --> 00:08:15.343]  It's Alex Jones and the GCN Radio Network.
[00:08:17.836 --> 00:08:29.796]  We are going to have continued coverage of Hurricane Irma that has already flattened more than five major Caribbean islands.
[00:08:31.238 --> 00:08:32.280]  It still hasn't hit
[00:08:33.530 --> 00:08:41.254]  The bigger islands of Cuba and of Hispaniola, of course, that makes up Haiti and the Dominican Republic, but it's getting very, very close.
[00:08:41.595 --> 00:08:49.119]  It's moving slowly through the Atlantic Ocean into the eastern Caribbean and
[00:08:50.473 --> 00:09:04.524]  Barbuda has been, quote, totally demolished after Hurricane Irma levels 90% of all dwellings, including steel-reinforced concrete structures, totally destroyed.
[00:09:05.865 --> 00:09:09.528]  They are now reporting that the island is uninhabitable.
[00:09:11.470 --> 00:09:18.716]  Across the board, flights to Caribbean destinations, period, are being cancelled by all major airlines.
[00:09:20.031 --> 00:09:29.759]  Richard Branson's luxury Necker Island that Obama likes to hang out at, close to Jerry Epstein's private island, destroyed by Hurricane Irma.
[00:09:30.919 --> 00:09:33.061]  Completely destroyed.
[00:09:34.182 --> 00:09:37.905]  Miami Beach Mayor urges residents to get out of town now.
[00:09:38.225 --> 00:09:40.487]  This is a nuclear hurricane.
[00:09:40.747 --> 00:09:48.033]  The problem is the gas is sold out in almost all areas of southern and particularly eastern Florida.
[00:09:49.380 --> 00:09:51.402]  The stores were sold out a day ago.
[00:09:55.365 --> 00:09:56.565]  The roads are clogged.
[00:09:56.666 --> 00:09:58.027]  A lot of people don't have gas.
[00:09:58.247 --> 00:10:02.530]  This is a mega disaster about to happen.
[00:10:03.731 --> 00:10:09.575]  If it hits Florida Broadside and runs up the state as a Category 4 or 5, it will be biblical.
[00:10:09.996 --> 00:10:11.617]  It may just jump the state.
[00:10:13.820 --> 00:10:22.424]  Leaving a limited trail of disaster and devastation, and smack into the panhandle, running up through Tennessee in many of the tracks.
[00:10:22.964 --> 00:10:26.326]  Or, it may hit Texas and Louisiana again.
[00:10:27.926 --> 00:10:40.232]  There's a good chance in some models, they're just not trying to create panic, that if it does jump into the main gulf of Mexico, that it's going to come into Louisiana or Mississippi.
[00:10:41.272 --> 00:10:42.493]  That's where they normally go.
[00:10:45.126 --> 00:10:48.008]  And there's a good probability it's going to hit Texas again.
[00:10:48.108 --> 00:10:50.230]  So you think about that, ladies and gentlemen.
[00:10:50.670 --> 00:10:51.571]  This is incredible.
[00:10:51.972 --> 00:10:56.115]  Oh, and Limbaugh, who I'm not attacking, said the media is hyping this.
[00:10:56.555 --> 00:10:58.236]  They always overhype hurricanes.
[00:10:58.697 --> 00:11:00.218]  It's not going to be a strong one when it hits us.
[00:11:00.678 --> 00:11:05.963]  And I get he's trying to maintain calm, and he's there on the east coast of Florida, and he's been through many hurricanes.
[00:11:06.003 --> 00:11:08.685]  And a lot of times they hype up hurricanes, and they're not bad.
[00:11:10.356 --> 00:11:15.257]  So, I think it's fair to say what he said, but this is different.
[00:11:15.297 --> 00:11:16.898]  This hurricane is a Category 6.
[00:11:17.358 --> 00:11:26.020]  So, to hype this and to say it's doomsday level for people on its path is not the normal exaggeration.
[00:11:27.100 --> 00:11:28.700]  Yes, the media has cried wolf.
[00:11:29.000 --> 00:11:33.221]  Folks, no, I don't cover a lot of hurricane news normally, because usually it's hype.
[00:11:34.102 --> 00:11:35.322]  I'm covering Irma.
[00:11:36.681 --> 00:11:39.124]  Because we just got t-boned in Texas by Harvey.
[00:11:39.605 --> 00:11:40.966]  And Harvey was a soaker.
[00:11:42.128 --> 00:11:45.332]  And knocked some stuff down and turned over some buildings and things.
[00:11:45.752 --> 00:11:49.417]  But it's nothing in its power of Irma.
[00:11:52.981 --> 00:11:53.582]  We're gonna know.
[00:11:55.646 --> 00:12:00.789]  In the next 24 to 36 hours, where it's going to hit and where it's going to go.
[00:12:01.569 --> 00:12:05.691]  And it's like watching a big monster just lumber towards the country.
[00:12:06.152 --> 00:12:08.413]  How could you even turn your eyes away from it?
[00:12:08.793 --> 00:12:10.634]  It's riveting in a sickening way.
[00:12:10.654 --> 00:12:20.540]  A lot of the past, having gone up the East Coast and then into Georgia, then into South Carolina.
[00:12:21.482 --> 00:12:24.843]  Two nuclear power plants in Florida are directly in the path of Hurricane Irma.
[00:12:25.383 --> 00:12:28.084]  Could it cause another meltdown like we saw with Fukushima?
[00:12:31.845 --> 00:12:34.266]  South Florida nuclear plants say they're ready.
[00:12:34.866 --> 00:12:36.746]  Irma will be devastating for U.S.
[00:12:36.886 --> 00:12:38.747]  emergency, says U.S.
[00:12:38.827 --> 00:12:39.687]  Emergency Chief.
[00:12:40.247 --> 00:12:42.568]  Yeah, it's very serious knocks to the economy.
[00:12:43.008 --> 00:12:43.228]  U.S.
[00:12:43.268 --> 00:12:48.590]  military preparations for Hurricane Irma now include four Navy ships and thousands of troops.
[00:12:50.063 --> 00:12:51.964]  Dade residents find some pumps dry.
[00:12:52.304 --> 00:12:53.485]  Water in short supply.
[00:12:54.045 --> 00:12:55.306]  That was just hours ago.
[00:12:55.366 --> 00:12:56.787]  Now they're saying most pumps dry.
[00:12:59.209 --> 00:13:00.890]  That was last night.
[00:13:00.950 --> 00:13:02.150]  Now most pumps are dry.
[00:13:03.371 --> 00:13:09.675]  Airlines scramble and roads fill as residents and visitors rush to get out of Florida ahead of Irma.
[00:13:11.536 --> 00:13:12.697]  Staring into oblivion.
[00:13:13.752 --> 00:13:16.533]  Bahamas, Dominican Republic, Turks and Caicos.
[00:13:17.113 --> 00:13:27.757]  Brace for impact as Irma powers on after laying waste to multiple Caribbean islands, killing 10 islanders we know of in the deadly path.
[00:13:29.597 --> 00:13:33.258]  Protein surfer dies in Barbados catching Irma wave.
[00:13:36.279 --> 00:13:41.301]  Home Depot customers attacked in plywood dispute during Hurricane Irma preparations.
[00:13:42.924 --> 00:13:45.805]  Irma may topple construction cranes in South Florida.
[00:13:46.105 --> 00:13:47.586]  Residents warned to evacuate.
[00:13:48.846 --> 00:13:49.707]  Hurricane Irma.
[00:13:49.727 --> 00:13:54.328]  Big retailers say more supplies are on the way as Amazon gouges customers.
[00:13:54.729 --> 00:13:56.469]  Well, they're liberal, so it's okay.
[00:13:56.489 --> 00:13:58.110]  Just like Apple and slave factories.
[00:13:58.130 --> 00:13:59.470]  As long as you're liberal.
[00:14:00.171 --> 00:14:01.371]  Slave factories are cool.
[00:14:01.751 --> 00:14:02.972]  Suicide nets are neat.
[00:14:05.933 --> 00:14:10.054]  You'll float, too, says Amazon chief Jeff Bezos.
[00:14:10.114 --> 00:14:11.215]  You'll float, too.
[00:14:12.472 --> 00:14:17.293]  Hurricane Irma has a potential of affecting every major city in Florida.
[00:14:17.714 --> 00:14:20.254]  USA Today reports from reports with NOAA.
[00:14:21.015 --> 00:14:25.096]  Hurricane Irma, Florida expected to get hit, but we're unclear.
[00:14:25.116 --> 00:14:31.498]  So that's just some of the news we're going to be covering today.
[00:14:32.918 --> 00:14:40.861]  Meanwhile, they're turning churches and monasteries from Spain to Germany to France over to Islamist and even taking down the crosses.
[00:14:41.903 --> 00:14:50.229]  And brands of food that have just crosses tiny in the distance on top of buildings are removing it not to be hurtful of the Muslims.
[00:14:50.690 --> 00:14:55.073]  And now another major French monastery turned into an asylum center.
[00:14:56.354 --> 00:14:59.997]  Hungarian Prime Minister warns the Islamification of Europe is real.
[00:15:00.437 --> 00:15:01.598]  And another big report.
[00:15:03.039 --> 00:15:10.885]  Germany and Sweden announced expansion to not just give welfare and free housing to returning ISIS members.
[00:15:12.657 --> 00:15:37.894]  This is Der Spiegel reporting it like it's a good thing, but they're going to give them, the headline states, preferential treatment at the head of the welfare line, as the red bloody carpet of Islam's victims is rolled out into the Middle East and North Africa, and as 80 plus percent of the refugees, the invaders, are military age men.
[00:15:40.523 --> 00:15:45.985]  You can rebuild from a hurricane, you can't rebuild from an Islamic takeover.
[00:15:48.506 --> 00:15:48.926]  There it is.
[00:15:48.986 --> 00:15:54.828]  Returning Islamic State fighters given protected identities to start new lives in Europe.
[00:15:54.888 --> 00:15:57.469]  I hadn't seen that one, that Breitbart article.
[00:15:58.889 --> 00:16:08.673]  I just had the article yesterday that I got to, so I thought I'd mention it, where ISIS fighters in Sweden given preferential treatment for housing and welfare.
[00:16:12.156 --> 00:16:17.218]  Now, a lot of people are criticizing Trump for raising the debt limit.
[00:16:20.179 --> 00:16:21.419]  They want to scuttle the U.S.
[00:16:21.479 --> 00:16:21.859]  economy.
[00:16:21.879 --> 00:16:26.561]  They want to lower our bond ratings, Mooney's and others.
[00:16:27.101 --> 00:16:31.543]  The big central banks have been trying to downgrade the U.S., trying to kill the Trump recovery.
[00:16:32.858 --> 00:16:37.622]  They've been trying to and have raised interest rates, what, four times since he got in, trying to put a damper on.
[00:16:37.642 --> 00:16:46.370]  They're putting out all this bad news to kill the recovery because they want to consolidate control and they know the recovery beginning will get Trump's agenda through.
[00:16:47.531 --> 00:16:53.616]  So when the Republicans that helped write Obamacare wouldn't repeal it, when they wouldn't give the tax cut, what is Trump supposed to do?
[00:16:53.957 --> 00:16:55.058]  He uses leverage.
[00:16:56.624 --> 00:17:16.638]  Goes with the Democrats and gets the debt ceiling raised so they can't corner him while we've got major hurricanes and huge disasters and have Standard & Poor's and Moody's and Barron's and others lower our credit rating and plunge us into a depression that they hang around the neck of populists just like they did in 1929.
[00:17:18.740 --> 00:17:22.142]  Just like they blamed protectionism for that when it was the whole globalist gear up.
[00:17:22.443 --> 00:17:23.363]  History's repeating.
[00:17:23.643 --> 00:17:25.505]  So Trump did what he was supposed to do.
[00:17:26.994 --> 00:17:28.855]  Getting the $8 billion in aid for Harvey.
[00:17:29.115 --> 00:17:32.617]  He's about to need probably $40 billion in aid for Florida alone.
[00:17:34.098 --> 00:17:34.778]  They're estimating.
[00:17:34.798 --> 00:17:35.759]  That's a conservative number.
[00:17:36.759 --> 00:17:40.161]  If we don't prop up the economy now, the globalists are going to implode it.
[00:17:40.782 --> 00:17:49.446]  I don't like fiat money, I don't like all this, but the globalists have been using it for 102 years to buy up the world, using American money.
[00:17:49.967 --> 00:17:53.989]  Now Trump's trying to use it to get the economy going, because we don't have that, we have nothing!
[00:17:55.265 --> 00:17:59.428]  For the first time in decades, the debt started going down this year.
[00:18:00.269 --> 00:18:02.351]  The trade deficit started going down this year.
[00:18:03.011 --> 00:18:12.839]  Trump was taking us in the right direction, but I see Ann Coulter and others going, you didn't do enough with DACA, because you say you'll work with the Democrats and the Republicans if they reform it.
[00:18:13.059 --> 00:18:18.423]  You're breaking your promise to all these families that came to the White House and talked about how they were killed by illegal aliens.
[00:18:18.703 --> 00:18:19.184]  No, he's not!
[00:18:19.764 --> 00:18:22.626]  DACA was done illegally as an executive order by Obama.
[00:18:22.666 --> 00:18:23.567]  It's totally lawless.
[00:18:23.827 --> 00:18:27.789]  Most of the people are full grown adults who are lying about being here since they were little.
[00:18:28.110 --> 00:18:35.475]  And Trump wants a plan where you show you've been here, you've got a degree, you're out of high school, you don't have a criminal record, then you could become a citizen!
[00:18:35.635 --> 00:18:42.339]  But not a wide open to call anybody that gets here a dreamer with no evidence and have a fiat total legalization.
[00:18:42.579 --> 00:18:43.400]  That's a fraud!
[00:18:44.977 --> 00:18:54.070]  And the Republicans won't go in there and create a bill that's reasonable so Trump used executive power that Obama used to create it to kill it.
[00:18:54.971 --> 00:19:00.059]  If it was illegally born, then Trump can legally, with that same executive power, kill something.
[00:19:01.909 --> 00:19:04.970]  And he said, you fix it, I'll put it through!
[00:19:04.990 --> 00:19:12.034]  That's keeping the promise to not let people that have been deported 42 times, 26 times in many of these famous cases.
[00:19:12.334 --> 00:19:16.936]  Rape, murder, arson, mainly against the Hispanic communities where these people live.
[00:19:18.083 --> 00:19:23.725]  But again, the media distorts what he said, just like he did when he said Antifa is bad too.
[00:19:23.965 --> 00:19:25.565]  They said, oh, he's endorsed white supremacists.
[00:19:25.846 --> 00:19:32.248]  Three weeks later, Antifa's running around beating prayer vigils, and the Democrats turn their back on it, realizing the optics weren't working.
[00:19:32.488 --> 00:19:33.608]  America wasn't buying it.
[00:19:33.768 --> 00:19:35.569]  I'm not just defending Trump to defend him.
[00:19:36.149 --> 00:19:37.349]  I'm not getting paid by Trump.
[00:19:38.130 --> 00:19:45.192]  I'm defending him because I study the real policies, not what we've been told he's supposedly doing.
[00:19:47.302 --> 00:19:49.703]  But we're about to get hit with another massive hurricane.
[00:19:49.983 --> 00:20:00.087]  We have to up the debt limit because they're trying to trick him into not doing it to devalue the entire country's rating right when Trump's trying to get our rating to the highest level.
[00:20:00.247 --> 00:20:00.808]  We'll be back.
[00:20:04.529 --> 00:20:10.371]  And everybody will have lower rates, better quality care, and better access.
[00:20:10.972 --> 00:20:16.394]  I don't remember saying that everybody in the country would have a lower premium.
[00:20:17.751 --> 00:20:22.856]  That's why your spotlight on the cockroaches, Alex, is so important.
[00:20:22.876 --> 00:20:24.137]  That's really what we do to people.
[00:20:24.457 --> 00:20:25.678]  That's what our job is.
[00:20:26.639 --> 00:20:28.340]  Oh, this guy isn't doing too good.
[00:20:28.381 --> 00:20:30.082]  Ted Nugent was telling me about this guy.
[00:20:31.143 --> 00:20:33.165]  He looks like he's pretty sick.
[00:20:33.225 --> 00:20:36.207]  Is that Nancy Pelosi?
[00:20:36.267 --> 00:20:39.190]  Is that Chuckie Schumer?
[00:20:40.331 --> 00:20:40.972]  What's her name?
[00:20:41.132 --> 00:20:43.694]  The one that can't remember who attacked Korea.
[00:20:43.714 --> 00:20:44.475]  She thinks it was Putin.
[00:20:45.445 --> 00:20:54.677]  And the fact that he is wrapping his arms around Putin while Putin is continuing to advance into Korea.
[00:21:01.977 --> 00:21:03.658]  You know what Ted Nugent told me?
[00:21:03.698 --> 00:21:05.198]  Turn the lights on, Pat.
[00:21:19.687 --> 00:21:21.268]  That light over there.
[00:21:21.348 --> 00:21:23.249]  It's over there.
[00:21:23.269 --> 00:21:23.989]  Right over there.
[00:21:24.009 --> 00:21:24.589]  Turn the lights on.
[00:21:24.769 --> 00:21:27.030]  Spotlight the cockroaches.
[00:21:27.130 --> 00:21:28.671]  You've perfected that over the years.
[00:21:28.991 --> 00:21:32.193]  Nancy Pelosi needs medical attention.
[00:21:36.314 --> 00:21:38.956]  Democratic Party has just been screaming racism over and over again.
[00:21:40.576 --> 00:21:40.876]  Man.
[00:21:41.837 --> 00:21:44.098]  Hey ladies, hold on.
[00:21:44.118 --> 00:21:44.738]  Come on over here.
[00:21:46.159 --> 00:21:47.780]  Nancy Pelosi came by the house.
[00:21:47.800 --> 00:21:48.280]  Did you know that?
[00:21:49.227 --> 00:22:03.553]  However, these freaks are serious and they threaten to kill our family because we hunt, because we believe in the Second Amendment, because we trounce and spotlight the cockroaches on the left that hate America, hate the Constitution, hate the American dream, hate independence.
[00:22:03.693 --> 00:22:04.633]  Why do they hate it?
[00:22:04.733 --> 00:22:05.433]  Why do they hate it?
[00:22:05.453 --> 00:22:06.834]  Okay, here comes Donald Trump.
[00:22:06.854 --> 00:22:09.015]  Pat, will you please assist me with the camera?
[00:22:09.675 --> 00:22:13.116]  Here comes Donald Trump with the assistance of the American people.
[00:22:13.656 --> 00:22:17.718]  We are going to drain the swamp.
[00:22:24.419 --> 00:22:29.801]  Mr. Moore, your chauffeur is here.
[00:22:29.821 --> 00:22:30.601]  Don't try to get out.
[00:22:30.862 --> 00:22:33.422]  Let me just help you a little bit.
[00:22:33.643 --> 00:22:36.704]  We're not being violent.
[00:22:37.704 --> 00:22:38.965]  Is this cool or what?
[00:22:39.565 --> 00:22:41.265]  No Michael Moores were hurt in the filming of this.
[00:22:41.285 --> 00:22:42.886]  This is a much more useful creature.
[00:22:42.906 --> 00:22:46.067]  A carrion beetle that eats rotten meat.
[00:22:48.348 --> 00:22:49.648]  Let's get all of our friend in there.
[00:22:49.668 --> 00:22:51.029]  We the people are
[00:22:52.901 --> 00:22:55.602]  We're not supposed to act like French and Canadians!
[00:22:55.862 --> 00:23:05.907]  Because to be an extremist, to be radical, are like those Americans who went to Concord Bridge when the British were going to take our guns, and we didn't sit down and have tea with them, we shot them in the damn head!
[00:23:06.187 --> 00:23:06.827]  We killed them!
[00:23:07.007 --> 00:23:09.969]  You come to take away our guns, we'll cut you in half!
[00:23:10.169 --> 00:23:11.850]  Somebody write that down!
[00:23:12.990 --> 00:23:14.931]  Bye, Democratic Party!
[00:23:14.951 --> 00:23:17.092]  Oh, and Paul Ryan's down in there too.
[00:23:17.392 --> 00:23:18.713]  Bye-bye, Paul Ryan!
[00:23:19.533 --> 00:23:20.153]  Bye-bye!
[00:23:20.674 --> 00:23:20.974]  Bye-bye!
[00:23:22.129 --> 00:23:24.371]  Look at my wonderful birth city of Detroit.
[00:23:24.391 --> 00:23:39.700]  It was the work ethic epicenter, the productivity epicenter of the globe when I was born in 1948 until Mayor Coleman Young and the Liberal Democrats took over and trained people, brainwashed people, de-sold people that you don't have to try.
[00:23:39.920 --> 00:23:46.344]  You just stay home or you go ahead and make Chrysler products that won't even run and will still send you a bonus check.
[00:23:46.564 --> 00:23:48.285]  But when you give people something
[00:23:51.064 --> 00:24:00.717]  The worst thing you can do to a human being is to give him stuff because then he has no pride of work ethic or ownership or earning his own way.
[00:24:21.308 --> 00:24:22.949]  Ladies and gentlemen,
[00:24:49.850 --> 00:24:53.372]  I get in here, and I read the news, and I go over the information.
[00:24:54.453 --> 00:25:00.156]  And it's so ultra-massive, and so important, that it's like my head's going to explode.
[00:25:02.757 --> 00:25:11.482]  And people that know me say, you're so calm in your regular life around your family, around your wife at dinner, why are you bouncing off the walls on air?
[00:25:12.243 --> 00:25:12.663]  Because
[00:25:14.522 --> 00:25:16.503]  I look at hundreds of articles before I get here.
[00:25:16.624 --> 00:25:18.145]  I watch dozens of video clips.
[00:25:18.565 --> 00:25:20.266]  I read sections of legislation.
[00:25:21.087 --> 00:25:24.429]  And then I watch mainstream news and see what they're saying about it.
[00:25:25.250 --> 00:25:26.511]  It's incredibly frustrating.
[00:25:28.692 --> 00:25:33.596]  Like, I actually watch what Trump says and what he puts out in a press release on DACA.
[00:25:34.937 --> 00:25:37.058]  And then I see the conservatives attacking him.
[00:25:37.338 --> 00:25:39.160]  And then I see the liberals attacking him.
[00:25:40.285 --> 00:25:43.488]  When what he's doing is incredibly reasonable and is keeping his promises.
[00:25:43.768 --> 00:25:44.729]  That's what's frustrating.
[00:25:45.249 --> 00:25:46.670]  And it isn't about groveling to Trump.
[00:25:46.910 --> 00:26:08.668]  When he's wrong about WikiLeaks, that put him in office basically, saying it's bad, and when he's wrong about his marijuana war, and so many other issues, I talk about it, but as a person overall, he's in our corner, trying to turn the country back on, financially, and culturally, and militarily,
[00:26:10.168 --> 00:26:11.949]  And trying to transfer power back to the people.
[00:26:13.290 --> 00:26:15.231]  And then I look at something like Irma coming in.
[00:26:15.851 --> 00:26:28.639]  America should be coming together big time with this storm about to hit and praying for Florida and getting ready to support Florida and helping get people out of Florida and other states because this is an incredible time to be alive right now.
[00:26:30.370 --> 00:26:37.118]  But instead, particularly, I see the Democrats trying to get political points out of everything they can, and it's sickening.
[00:26:37.419 --> 00:26:41.604]  They need to get in trouble, politically and culturally, for what they're doing.
[00:26:41.784 --> 00:26:42.886]  They're bad people!
[00:26:43.707 --> 00:26:44.628]  They're really bad!
[00:26:44.828 --> 00:26:45.829]  And I'm sick of them!
[00:26:46.630 --> 00:26:47.812]  I'm tired of their crap!
