[00:00:01.162 --> 00:00:03.264]  1884 is 1776.
[00:04:54.122 --> 00:04:56.865]  These men are guilty of war crimes against humanity.
[00:04:56.865 --> 00:04:59.848]  They are on the same par as Adolf A. Lewis.
[00:05:00.891 --> 00:05:22.180]  If you're listening to this message in the weekend of Friday, October 22, 2021, this is your last chance to get some of our best-selling, amazing products at Infowarsstore.com before they sell out, like DNA Force Plus, that is the ultimate formula out there for strengthening your telomeres and the very engines of your cells.
[00:05:22.180 --> 00:05:29.863]  I mean, it's got a big dose of the highest quality PQQ and CoQ10 and a bunch of other key ingredients that God gave us through nature that are simply amazing.
[00:05:30.163 --> 00:05:30.523]  40% off.
[00:05:30.523 --> 00:05:37.825]  This product's been sold out for six, seven months because of supply chain breakdowns because we would not cut the quality of the ingredients.
[00:05:37.825 --> 00:05:42.167]  We could cut the quality all day and buy crap from China and never be sold out, but we're not doing that.
[00:05:42.167 --> 00:05:43.827]  This is the highest rated.
[00:05:43.827 --> 00:05:51.590]  It's 40% off the sale-ins on Monday, 40% off DNA Force Plus, and a limited supply of Brain Force Ultra as well.
[00:05:51.590 --> 00:05:52.750]  It'll be sold out on Monday.
[00:05:52.750 --> 00:05:54.050]  It's 25% off.
[00:05:54.050 --> 00:05:55.131]  So support the M4.
[00:05:55.131 --> 00:05:57.391]  We're getting great products at the same time.
[00:05:57.391 --> 00:05:58.392]  Thank you all for your support.
[00:05:58.392 --> 00:05:58.912]  M4store.com.
[00:06:24.342 --> 00:06:30.206]  My friends, we are now inside the globalist trap.
[00:06:32.483 --> 00:06:37.846]  The extermination of the people of the West is now kicked into high gear.
[00:06:37.846 --> 00:06:45.089]  It is a psychological warfare operation the likes of which humanity has never seen.
[00:06:45.089 --> 00:06:47.670]  It's Wednesday, October 27th, 2021.
[00:06:47.670 --> 00:06:57.555]  And if we do not break out of our trance and break others out of the trance and get out of the normality
[00:06:58.817 --> 00:07:02.338]  They have sunk us into like a hot poisonous bath.
[00:07:02.338 --> 00:07:10.840]  And God will never forgive us for not standing up for the children.
[00:07:10.840 --> 00:07:16.941]  Because now, they are coming for our children.
[00:07:16.941 --> 00:07:19.062]  The globalist big pharma owned and controlled FDA.
[00:07:21.209 --> 00:07:35.533]  has basically forced two rounds of top scientists at the CDC and FDA to quit in the last three months, refusing to roll out experimental shots on 5 and ups.
[00:07:35.533 --> 00:07:40.674]  In fact, Europe's refused to authorize it because of the high death toll in adults.
[00:07:40.674 --> 00:07:46.676]  A lot of people draw the line at killing children, including the fictitious Tony Montana in Scarface.
[00:07:47.910 --> 00:07:56.816]  But the Joseph Mingelas of the world and other mad scientists like the new Angel of Death, Dr. Fauci, enjoy it.
[00:07:56.816 --> 00:08:03.701]  They understand that once we allow this to be done to children, the final protections that God has put over the West will be removed.
[00:08:03.701 --> 00:08:09.665]  They will be green-lit metaphysically to take out the majority of humanity.
[00:08:09.665 --> 00:08:13.067]  Let me as calmly as I can tell you what is in the stacks today.
[00:08:15.031 --> 00:08:17.613]  Now, a lot of this we're going to report you've already heard hundreds of times.
[00:08:17.613 --> 00:08:24.597]  You've heard it predicted by hundreds of experts on this show that we've either interviewed or played clips from.
[00:08:24.597 --> 00:08:31.681]  Top scientists, top virologists, epidemiologists, pathologists.
[00:08:31.681 --> 00:08:36.304]  But the first stack is unbelievable.
[00:08:36.304 --> 00:08:43.768]  It is a lengthy eight-page article, a transcript of NPR from yesterday.
[00:08:46.149 --> 00:08:53.554]  ERs are now swamped with seriously ill patients, but many don't even have COVID.
[00:08:53.554 --> 00:08:58.397]  And nowhere in the article does it mention that they are the double-vaxxed.
[00:08:58.397 --> 00:09:03.340]  Though we found local articles saying, yes, we're overwhelmed, and it's mainly the double-vaxxed.
[00:09:03.340 --> 00:09:10.085]  And then I have the UK saying the same thing, German papers saying the same thing, and even Canadian papers where it slips out.
[00:09:10.085 --> 00:09:11.486]  So, here's this article.
[00:09:13.092 --> 00:09:18.696]  It says we've never seen this many sick people, and then they even give statistics from national statistics boards.
[00:09:18.696 --> 00:09:24.721]  They say it's happening all over the country.
[00:09:24.721 --> 00:09:34.028]  And the people do not have COVID, but wait for it, wait for it, you probably guessed, what does it say they have?
[00:09:34.028 --> 00:09:35.088]  What does it say they have?
[00:09:35.088 --> 00:09:39.412]  Respiratory problems, blood clots, heart conditions,
[00:09:41.071 --> 00:09:44.590]  Abdominal pain, suicide attempts, amongst others.
[00:09:47.813 --> 00:09:49.554]  Heart attacks, blood clots.
[00:09:49.554 --> 00:09:53.157]  What did the CDC say in October of last year that they were predicting it would cause?
[00:09:53.157 --> 00:09:56.580]  Blood clots and heart swelling and flat-out heart attacks.
[00:09:56.580 --> 00:09:58.621]  Here's one out of the UK.
[00:09:58.621 --> 00:10:07.368]  Double-jab Brits have worst lurgy, that means disease ever, could actually have COVID without realizing it, even though they're testing negative.
[00:10:07.368 --> 00:10:10.671]  But it says that the people almost all are double-jabbed.
[00:10:10.671 --> 00:10:13.233]  So at least in this article they point out they're double-jabbed.
[00:10:16.158 --> 00:10:29.336]  And of course, they're describing huge autoimmune responses, not being able to breathe, when they come in contact with a regular coronavirus, the vaccinated that have an autoimmune response, antibody-dependent enhancement.
[00:10:29.336 --> 00:10:32.541]  The simple definition of ADE is, quote, raising antibodies.
[00:10:33.459 --> 00:10:37.862]  That don't protect, but actually make a viral infection even worse.
[00:10:37.862 --> 00:10:44.886]  And that's why they could never do vaccines for coronaviruses, because they tried more than a hundred times around the world, including the U.S.
[00:10:44.886 --> 00:10:46.287]  government, more than 20 times.
[00:10:46.287 --> 00:10:53.311]  And every time I play the congressional hearings here, it caused death.
[00:10:53.311 --> 00:10:53.871]  Death.
[00:10:53.871 --> 00:10:55.933]  D-E-A-T-H.
[00:10:55.933 --> 00:10:57.494]  Death.
[00:10:57.494 --> 00:10:59.055]  Death.
[00:10:59.055 --> 00:11:00.976]  In a large percentage of people.
[00:11:03.840 --> 00:11:07.804]  Including children they did trials on 15 years ago.
[00:11:07.804 --> 00:11:09.766]  So, there's another headline.
[00:11:09.766 --> 00:11:13.109]  Leaky vaccines enhance spread of deadlier chicken viruses.
[00:11:13.109 --> 00:11:14.771]  Yep, that's already begun here.
[00:11:14.771 --> 00:11:19.656]  Marek's disease in humans is what they're warning of.
[00:11:19.656 --> 00:11:21.518]  These are all real things I'm talking about.
[00:11:24.417 --> 00:11:39.706]  So imagine being the NPR globalist propagandist at the highest level of disinfo, and they're reporting on the real fact that there's record numbers of illnesses in the hospitals, and it's all the side effects of the shock that was predicted, but they won't tell you that, ever.
[00:11:39.706 --> 00:11:45.950]  Their answer is, federalize the hospitals and have FEMA take it over, which is already happening with the military.
[00:11:45.950 --> 00:11:48.912]  It describes hellish conditions in the 8-page article.
[00:11:50.134 --> 00:11:52.015]  Very hard to read, but you know what?
[00:11:52.015 --> 00:11:54.875]  I think I'm going to read a large portion of this on our next segment.
[00:11:54.875 --> 00:11:58.836]  Okay, let me move on from that super gigantic bombshell.
[00:11:58.836 --> 00:12:00.997]  By the way, I've got hundreds of these articles the last few months.
[00:12:00.997 --> 00:12:08.199]  It's all over the world, from Israel to Gibraltar to Singapore to the UK to Germany to France.
[00:12:08.199 --> 00:12:14.801]  The higher the vaccinated area with these frankenshots, the higher the hospitalization, the higher the death rates.
[00:12:15.461 --> 00:12:21.063]  And I even got the BBC going, well, you're twice as likely to get COVID if you've had the vaccine.
[00:12:21.063 --> 00:12:23.824]  But it's mild.
[00:12:23.824 --> 00:12:26.345]  I thought a vaccine makes it where you don't get something, period.
[00:12:26.345 --> 00:12:27.265]  You can't replicate it.
[00:12:27.265 --> 00:12:28.986]  But see, oh, this isn't a vaccine.
[00:12:28.986 --> 00:12:31.367]  It's a gene therapy.
[00:12:31.367 --> 00:12:32.327]  Oh, you knew it was coming.
[00:12:32.327 --> 00:12:39.290]  Remember you had all those FDA scientists, including the number one and number two, quit a couple months ago?
[00:12:40.495 --> 00:12:43.737]  Saying that we should not have further injections of these mRNA shots.
[00:12:43.737 --> 00:12:46.178]  They said there's already problems with it.
[00:12:46.178 --> 00:12:47.399]  This was never approved.
[00:12:47.399 --> 00:12:50.680]  England has, the UK had yellow slipped it, saying pull it, but they didn't.
[00:12:50.680 --> 00:12:55.483]  But the main advisory group over there, five months ago, said we need to pull these shots.
[00:12:55.483 --> 00:13:00.886]  Remember, they started about four months before us, so they're right.
[00:13:00.886 --> 00:13:02.327]  We're three or four or five months ahead of them.
[00:13:03.410 --> 00:13:07.951]  So, months and months ahead of us, they'd already come to the same conclusion, you need to pull this.
[00:13:07.951 --> 00:13:16.233]  And in the UK, they were smart, they didn't say resign, they just said, we no longer listen to that national board that's statutorily in place.
[00:13:16.233 --> 00:13:19.834]  So, what did they announce?
[00:13:19.834 --> 00:13:27.716]  Well, they announced a few months ago, the head of the FDA, not her advisory board, the lady that legalized OxyContin and Fentanyl here in the United States,
[00:13:29.043 --> 00:13:30.104]  That monster.
[00:13:30.104 --> 00:13:34.948]  She legalized it for children, by the way, in the case of OxyContin.
[00:13:34.948 --> 00:13:39.011]  That death sentence.
[00:13:39.011 --> 00:13:40.393]  What did I say they'd do in a few months?
[00:13:40.393 --> 00:13:44.276]  Well, they just came out and said, fourth shots now.
[00:13:44.276 --> 00:13:46.117]  So, the board resigned.
[00:13:46.117 --> 00:13:47.438]  They quit.
[00:13:47.438 --> 00:13:48.519]  The boards voted against.
[00:13:48.519 --> 00:13:52.202]  Third Jab said it's going to hurt people.
[00:13:52.202 --> 00:13:54.784]  And they just said, we'll take your resignation.
[00:13:54.784 --> 00:13:57.146]  And now, the actual
[00:13:58.257 --> 00:14:07.624]  Big pharma heads directly call the shots and go on TV and say, we don't care what government advisors say, we don't care what the boards say, we're just going to go ahead with all of this.
[00:14:07.624 --> 00:14:10.847]  So they've now announced a fourth injection.
[00:14:10.847 --> 00:14:11.708]  CDC says...
[00:14:13.129 --> 00:14:15.832]  EMU compromised people can get fourth COVID shot.
[00:14:15.832 --> 00:14:16.793]  Isn't that funny?
[00:14:16.793 --> 00:14:19.176]  Because it erases your immune system.
[00:14:19.176 --> 00:14:20.737]  So now they say you can get more of those shots.
[00:14:20.737 --> 00:14:30.468]  And remember what the head spokesman doctor of the British Maine Ministry said six months ago, bragged, oh, we already know the Pfizer shot erases your immune system.
[00:14:30.468 --> 00:14:33.892]  So people are going to need shots 10 times a year.
[00:14:36.237 --> 00:14:40.340]  They're already up to saying you're going to need five shots a year in Australia.
[00:14:40.340 --> 00:14:42.341]  Now they're up to four shots a year here.
[00:14:42.341 --> 00:14:45.744]  Israel's up to five shots.
[00:14:45.744 --> 00:14:49.247]  But that's not even the big news, ladies and gentlemen.
[00:14:49.247 --> 00:14:56.092]  You know, if adults learn to buy into the lie, or go in and take a deadly poison, it's illegal, it's happening, it's criminal, it's wrong.
[00:14:57.972 --> 00:15:08.946]  It doesn't cross the final Rubicon line in my heart and soul where this morning, I mean, I could feel the Spirit of God just ordering me to do what it takes to stop this, saying, you will stop it or it's on you.
[00:15:08.946 --> 00:15:12.611]  And I don't like that super strong conscience.
[00:15:12.611 --> 00:15:13.773]  God working through that, telling me that.
[00:15:13.773 --> 00:15:15.355]  I'm thinking, yes, sir.
[00:15:15.355 --> 00:15:16.096]  Okay, what do I do?
[00:15:17.540 --> 00:15:18.741]  We're going to have a discussion about this.
[00:15:18.741 --> 00:15:20.022]  What are you going to do?
[00:15:20.022 --> 00:15:24.164]  FDA panel backs Pfizer shots for children as young as five.
[00:15:24.164 --> 00:15:29.208]  We're never going to learn about how safe this vaccine is unless we start giving it.
[00:15:29.208 --> 00:15:31.229]  Wow, even admitting it's untested.
[00:15:31.229 --> 00:15:33.130]  And then the test on children, they've now started.
[00:15:33.130 --> 00:15:35.071]  They're causing a lot of illnesses and deaths.
[00:15:35.071 --> 00:15:36.753]  Then they cover those up and suppress those.
[00:15:36.753 --> 00:15:38.113]  But there's a bigger issue here.
[00:15:38.113 --> 00:15:40.115]  This means mandatory shots for five and up.
[00:15:40.615 --> 00:15:42.037]  For school, for going anywhere.
[00:15:42.037 --> 00:15:45.923]  So, they're now coming at your children with an experimental deadly shot.
[00:15:45.923 --> 00:15:50.269]  Not just linked, but shown to cause heart attacks, autoimmune disorders, ADE.
[00:15:50.269 --> 00:15:53.594]  So this is like people coming with a butcher knife at your child.
[00:15:53.594 --> 00:15:54.736]  They want to start a fight.
[00:15:54.736 --> 00:15:55.597]  That's their plan.
[00:15:55.597 --> 00:15:56.678]  They're trying to force a civil war.
[00:15:58.203 --> 00:16:05.611]  If you're concerned about the I am taping this update on the morning of Friday, October 22nd, 2021.
[00:16:05.611 --> 00:16:18.585]  Listeners who've already tried and really seen the powerful effects of Rainforce Ultra should be excited to know that we've got a limited supply of it in stock, but it'll be sold out at current sales rates by Monday morning.
[00:16:19.065 --> 00:16:23.507]  Despite that fact, we're still offering a major discount of 25% off.
[00:16:23.507 --> 00:16:25.628]  It is an amazing nootropic.
[00:16:25.628 --> 00:16:38.533]  I went to one of the top labs in the country and I said, I want very powerful, quick acting, extremely clean nootropic that wears off quick because I want to be able to take it, if I've got to work till 10 at night, take it at 7 and for it to wear off by 10.
[00:16:38.533 --> 00:16:42.695]  And that's exactly what they did with Brain Force Ultra.
[00:16:43.175 --> 00:16:45.837]  Now, we have other great products like TurboForce that last for 10 hours.
[00:16:45.837 --> 00:16:46.798]  It's a different formula.
[00:16:46.798 --> 00:16:49.279]  It's over-the-top powerful, so astronauts can't even take it.
[00:16:49.279 --> 00:16:50.660]  By the way, it's sold out right now.
[00:16:50.660 --> 00:16:53.382]  But BrainForce Ultra is really something special.
[00:16:53.382 --> 00:16:55.464]  It's 25% off, limited supply.
[00:16:55.464 --> 00:16:57.065]  We'll sell out early next week.
[00:16:57.065 --> 00:16:58.406]  Infowarstore.com.
[00:16:58.886 --> 00:17:01.127]  Why do my enemies hate me so much?
[00:17:01.127 --> 00:17:02.708]  Why do the globalists hate you so much?
[00:17:02.708 --> 00:17:05.589]  Why do they hate America so much?
[00:17:05.589 --> 00:17:13.012]  Because it's an idea of freedom that their tyrannical system that they're pushing cannot coexist with.
[00:17:13.012 --> 00:17:13.952]  It's very, very simple.
[00:17:13.952 --> 00:17:25.817]  For their world government, their anti-human, post-human, eugenic system to flourish, freedom and liberty and due process injustice and God-fearing systems must fail.
[00:17:26.597 --> 00:17:29.138]  So sure, you didn't start a fight with Bill Gates.
[00:17:29.138 --> 00:17:32.099]  You didn't start a fight with David Rockefeller.
[00:17:32.099 --> 00:17:34.040]  You didn't start a fight with the UN.
[00:17:34.040 --> 00:17:37.061]  They started a fight with you.
[00:17:37.061 --> 00:17:45.744]  And they're not gonna back down, and they're not gonna go away, and they're not going to ever stop their attacks until they have the fear of God put into them.
[00:17:46.265 --> 00:17:51.934]  The average person still doesn't even know about the New World Order, or about globalism, or about corporate fascism.
[00:17:51.934 --> 00:17:57.563]  And it's not until people understand that, and that we're under attack, that we have any chance of beating these people.
[00:17:59.298 --> 00:18:03.700]  By now you've heard me talk about the BioPros and how they're creating amazing products.
[00:18:03.700 --> 00:18:12.623]  They've done it again and have just released an entire suite of bioremediation products, bringing industrial-level technology to the everyday consumer.
[00:18:12.623 --> 00:18:16.825]  They're literally changing the industry with a revolutionary patented delivery system.
[00:18:16.825 --> 00:18:24.128]  The BioPros are excited to release BioPortaPro, a product specifically designed to establish healthy waste tanks and pits.
[00:18:24.528 --> 00:18:26.129]  BioPortaPro.
[00:18:26.129 --> 00:18:30.833]  Digest grease, fats, oil, sludge, paper, and organic matter with ease.
[00:18:30.833 --> 00:18:38.700]  It contains no chemicals, no GMOs, and is safe for all portable restrooms, porta-potties, outhouses, and pit toilets.
[00:18:38.700 --> 00:18:41.042]  It is also human and animal safe.
[00:18:41.042 --> 00:18:44.765]  Get up to 20 treatments with the scoop for easy applications.
[00:18:45.345 --> 00:18:46.426]  Just pour in flush.
[00:18:46.426 --> 00:18:47.647]  It's that simple.
[00:18:47.647 --> 00:18:51.531]  Say goodbye to septic problems, gas buildup, and odor.
[00:18:51.531 --> 00:18:53.152]  Guaranteed.
[00:18:53.152 --> 00:18:55.675]  Visit thebiopros.com and see for yourself.
[00:18:58.496 --> 00:19:02.341]  Cognitive dissonance is a major issue amongst the left.
[00:19:02.341 --> 00:19:06.667]  It can be very stressful dealing with facts you refuse to accept.
[00:19:06.667 --> 00:19:14.797]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of Ultimate Fish Oil from Infowarsstore.com.
[00:19:15.518 --> 00:19:32.132]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels, decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[00:19:32.132 --> 00:19:37.957]  Recent studies have suggested that high EPA and DHA fish oil can stimulate
[00:19:38.317 --> 00:19:40.218]  You're listening to the Alex Jones Show!
[00:20:16.001 --> 00:20:18.742]  Well, Bill Gates just went on 60 Minutes with Anderson Cooper.
[00:20:18.742 --> 00:20:21.763]  We got a clip of that coming up later, saying you're not going to be able to eat meat anymore.
[00:20:21.763 --> 00:20:28.666]  Remember, you'll have nothing, you'll own nothing, you'll drink sewage water and eat river plants.
[00:20:28.666 --> 00:20:35.108]  And Bill Gates says that you're going to, quote, get used, that's quotes, to eating soybeans and getting used to the flavor.
[00:20:35.108 --> 00:20:37.389]  He's the biggest owner of farmland in the U.S.
[00:20:37.389 --> 00:20:39.490]  He's converting it from a beef production.
[00:20:40.475 --> 00:20:48.677]  To soybean, the type of soybean he puts out through his holdings in Monsanto into McDonald's is the whole soybean.
[00:20:48.677 --> 00:20:56.839]  You know, the soybean's fine if it's just the outside of the soybean, but if you put the center of the soybean in, it's very toxic levels of estrogen.
[00:20:56.839 --> 00:21:02.801]  And then that gives women massive cancers and also feminizes men and then gives men cancer as well.
[00:21:02.801 --> 00:21:07.602]  So it's all about the chemical, biological attack on humanity.
[00:21:07.602 --> 00:21:09.523]  They're not just hitting us through the poison shots.
[00:21:10.776 --> 00:21:19.638]  But they want the poison shots to be able to then bring in the world ID that is tied to the carbon tax and the social credit score.
[00:21:19.638 --> 00:21:26.999]  And then again, once your immune system's erased, they will simply say, oh, you're sick and dying because the unvaccinated.
[00:21:26.999 --> 00:21:33.260]  But then when it's heart attacks and blood clots and the lungs filling up with fluid, they just say, oh, we don't know what it is.
[00:21:33.260 --> 00:21:35.080]  And it's a big mystery.
[00:21:35.080 --> 00:21:38.481]  I'm going to be reading that report next segment.
[00:21:39.386 --> 00:21:39.706]  I don't
[00:21:57.366 --> 00:22:18.218]  Hey, the FDA panel, the third one they had to put in charge, with a bunch of big pharma heads on it now, they took the scientists off and put the executives on it, just voted, it wasn't unanimous, but it was the majority, to start shooting five-year-olds up, and so now Biden will announce it as he promised to do months ago on Halloween.
[00:22:18.218 --> 00:22:19.999]  It's all a big in-your-face operation.
[00:22:22.329 --> 00:22:45.514]  So think about that and think about how huge that is, that what they're really saying is, your five-year-olds to go to school or to go on a plane or anywhere, that's what they're taking us, is they have to have this shot that erases their immune system for general problems, but then heightens your immune system for any type of virus similar to COVID, which is a coronavirus.
[00:22:46.903 --> 00:22:58.669]  So they've already done the studies and the tests in the last year on children two and up, with these sick leftist parents that are doing this, that worship the states, a form of human sacrifice.
[00:22:58.669 --> 00:23:01.830]  But most of them just have Stockholm Syndrome.
[00:23:01.830 --> 00:23:05.012]  But now, they're going to try to force you to do it.
[00:23:05.012 --> 00:23:08.433]  So this is a real line in the sand they're crossing.
[00:23:11.038 --> 00:23:18.362]  I'm just wondering how much we're going to put up with as a society and as a civilization because this is war.
[00:23:18.362 --> 00:23:34.111]  We confirmed with all these different studies and reports and even the advisories they've got to put on these shots now they can cause a raft of serious cardiovascular issues, heart swelling, flat-out heart attacks, death, and there it is.
[00:23:35.765 --> 00:23:52.945]  And then yesterday, Dr. Fleming and his big medical report and study put out with other scientists under the microscope showing that it takes oxygenated blood and destroys the hemoglobin when you put the Pfizer vaccine in with fresh blood in vitro.
[00:23:54.178 --> 00:23:58.180]  Anybody that knows about blood, it's very hard to get oxygenated blood to change its color.
[00:23:58.180 --> 00:24:02.682]  So this is doing a big, big, big, big, big disservice to everybody.
[00:24:02.682 --> 00:24:14.189]  Now we know why people that have taken the shots are having so much trouble breathing, is because when it gets into a capillary that gets into an artery or a vein, it then really triggers a chain reaction in your body.
[00:24:14.189 --> 00:24:19.671]  And a lot of people drop dead around the world, here in the U.S.
[00:24:19.671 --> 00:24:22.313]  as well, within 30 minutes of taking these shots.
[00:24:23.410 --> 00:24:33.933]  They fall down, they have a convulsion because it gets into an artery or a vein and then it clots up and then it hits the brain or the lungs or the heart and it is bye-bye.
[00:24:33.933 --> 00:24:40.476]  It is time to go six feet under for a long dirt nap.
[00:24:40.476 --> 00:24:47.478]  We don't just have all the documents and the science and the background and the Pathology National Board of Germany coming out and saying this five months ago.
[00:24:49.443 --> 00:24:53.566]  Everyone I know has family that's dead or died after the shot.
[00:24:53.566 --> 00:24:58.709]  Everybody I know knows young people that took it and got either paralyzed or had heart swelling.
[00:24:58.709 --> 00:24:59.670]  Everybody I know.
[00:24:59.670 --> 00:25:11.738]  In fact, I was talking to a family member who has a really good friend whose sister's boyfriend, who's 22 years old,
[00:25:14.213 --> 00:25:14.593]  I don't know.
[00:25:44.873 --> 00:25:48.374]  ERs are now swamped with seriously ill patients, but many don't have COVID.
[00:25:48.374 --> 00:25:50.034]  This is the worst it's ever been.
[00:25:50.034 --> 00:26:05.317]  They've got national numbers on it, and they say it's heart attacks, heart swelling, blood clots, and of course the other list of things the FDA and CDC quietly predicted it would indeed be doing, and now they're coming after the children.
[00:26:05.317 --> 00:26:08.217]  Then we've got the UK with the seminal numbers.
