[00:00:00.830 --> 00:00:12.742]  We've got to make sure that they know that we mean business.
[00:10:51.593 --> 00:10:58.137]  They're nervous and terrified of a not guilty verdict, especially on the top count of felony murder.
[00:10:58.217 --> 00:11:06.361]  Because after all, Derek Chauvin was willing to plead guilty to the third degree murder charge, which is more serious than the second degree manslaughter charge.
[00:11:06.841 --> 00:11:17.409]  So they're desperate for a felony murder conviction, which carries up to 40 years of federal prison time, because they need the media narrative to be vindicated in the court of public opinion.
[00:11:17.749 --> 00:11:28.717]  Indeed, the prosecutors in this case, rather uniquely, rather unusually, chose to pursue the case not based on their best evidentiary theory of guilt, but rather based on the media narrative.
[00:11:29.017 --> 00:11:33.121]  So they put a lot of false evidence, made a lot of false statements in front of the jury.
[00:11:33.581 --> 00:11:40.427]  And what all the Democrats know, and what the media knows, and what those who follow the case in detail know, is the media narrative was a big fat lie.
[00:11:40.828 --> 00:11:42.669]  It was just like, hands up, don't shoot.
[00:11:43.010 --> 00:11:46.513]  It was just like, oh, he just had a play gun and nobody knows why he was shot.
[00:11:46.873 --> 00:11:48.675]  Oh, he was shot because he was eating a sandwich.
[00:11:48.995 --> 00:11:51.077]  Oh, he was shot because he was driving while black.
[00:11:51.857 --> 00:11:54.718]  He was shot and killed because he went out for some Skittles.
[00:11:55.159 --> 00:12:05.343]  These are the lie after lie after lie told in the Michael Brown case, told in the Trayvion Martin case, told in the Tamir Rice case, told in case after case after case.
[00:12:05.803 --> 00:12:10.505]  And what happened here, in fact, at what the jury saw was a very different story.
[00:12:10.925 --> 00:12:13.686]  There was a witness that said he was blood choked.
[00:12:13.706 --> 00:12:16.806]  The government's own state examiner admitted that didn't happen.
[00:12:16.826 --> 00:12:20.327]  There was a witness that said he was choked out by a respiratory choke.
[00:12:20.667 --> 00:12:23.648]  The government's own witnesses admitted that didn't happen.
[00:12:24.108 --> 00:12:28.849]  And leading experts also concluded the government itself couldn't decide on what the cause of death was.
[00:12:29.129 --> 00:12:38.531]  The government itself, their own witnesses, contradicted each other throughout the entire trial about whether or not it was even excessive force, whether or not it was even justifiable force.
[00:12:39.091 --> 00:12:44.876]  And the intent evidence ended up not being anywhere near as strong as the media has pretended it was all along.
[00:12:45.317 --> 00:12:48.820]  It turns out that Chauvin didn't have his knee on his neck the entire time.
[00:12:49.120 --> 00:12:51.542]  It turns out he was balancing his weight all the way through.
[00:12:51.883 --> 00:12:59.109]  It turns out all of the data and evidence shows that that method of prone position bodily restraint rarely or never results in death.
[00:12:59.510 --> 00:13:01.191]  We'll get into what some of those studies are.
[00:13:01.211 --> 00:13:05.295]  We'll get in during the show to what some of the expert testimony was at trial.
[00:13:05.795 --> 00:13:16.939]  But the reason why she's up there extorting the jury into a guilty verse, into this legalized lynching of Derek Chauvin, is because they know the facts don't support their case.
[00:13:17.639 --> 00:13:27.282]  And imagine if this person they held up as a martyr, imagine if this case they held up as an indictment of the criminal justice process in America, ends up indicting them instead.
[00:13:27.862 --> 00:13:28.983]  And they can't afford that.
[00:13:29.123 --> 00:13:41.548]  That's why they're willing to risk mistrials, willing to risk appellate reversals, willing to risk future habeas petitions, just to secure a conviction now to vindicate their narrative in the court of public opinion.
[00:13:41.968 --> 00:13:49.871]  And that is why Mad Max is saying, I will incite riots on the eve of jury deliberation unless you do what I tell you to do.
[00:13:50.751 --> 00:13:53.132]  And that's why she's been the leader of it.
[00:13:53.532 --> 00:14:01.394]  And it's not a coincidence she went right into Minneapolis to do so right on the eve of closing arguments, knowing the jurors were not sequestered.
[00:14:02.054 --> 00:14:03.375]  Frankly, they should have been.
[00:14:03.415 --> 00:14:11.917]  The defense counsel requested that last week, and I'm sure the judge is unhappy that this happened because he really has been trying to establish a fair trial.
[00:14:12.397 --> 00:14:14.658]  It turns out it just couldn't be a fair trial in Minneapolis.
[00:14:15.069 --> 00:14:42.497]  When we come back after the break, we'll get into more not only of what Mad Max's dangerous statements are for a legalized lynching in America, but also what some of the damning evidence of the government's own theories were, right from the witness stand, and play some of those bits as well, and get into some of the underlying evidence about the whole mythology that prone position restraint is a high-risk restraint, when in fact it's far less risk than what can happen when people try to tase, as we found out last week.
[00:14:42.837 --> 00:14:48.841]  So when we come back after the break, we'll get into more about the attempt of illegalized lynching in the Derek Chauvin trial.
[00:14:51.062 --> 00:14:53.203]  Waging war on corruption.
[00:14:53.684 --> 00:14:58.827]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:15:04.534 --> 00:15:15.917]  Legal expert Robert Barnes, who is hosting the show, I'm really excited though to be back tonight breaking down the southern border crisis, everything I witnessed there, taking your calls on it for two hours.
[00:15:16.757 --> 00:15:34.102]  But, Bob Barnes is breaking down what's happening in the Derek Chauvin trial where Maxine Waters is basically inciting terroristic threats if the Democrats and the mainstream media don't get the result they want, which is of course Chauvin being charged with murder.
[00:15:35.247 --> 00:15:39.889]  Of course, all the evidence goes against this, but let's go back to Bob Barnes breaking it down.
[00:15:41.969 --> 00:15:46.651]  So let's take a look at the context of this Mad Max video we're about to witness.
[00:15:47.191 --> 00:15:50.412]  The jury, despite defense request, has not been sequestered.
[00:15:50.894 --> 00:16:04.820]  So they are seeing all of this on their social media, seeing this on newspaper sites, websites, TV sites, and even though they're not supposed to avoid any coverage of the Floyd Chauvin case itself, this coverage is taking place in a quote-unquote different context.
[00:16:05.160 --> 00:16:15.344]  So it is highly likely to get through based on jurors' prior admissions that they saw the settlement news and information, even though they'd been previously instructed to not see or read anything.
[00:16:15.484 --> 00:16:19.646]  It's just impossible for them to follow that instruction in the modern social media
[00:16:20.166 --> 00:16:23.547]  and media-saturated storyline concerning this case.
[00:16:24.167 --> 00:16:39.171]  It's in that context and knowing that knowing the juror's not sequestered, that the jury has frequently been exposed to this kind of exposure, that third, that the jury is about to start to deliberate while they've witnessed riots for a week and looting for a week.
[00:16:39.651 --> 00:16:44.652]  So in that context, let's play what Mad Max said in video clip number four.
[00:16:45.957 --> 00:16:46.518]  Reform.
[00:16:47.038 --> 00:16:53.243]  And so, yes, I would like to see the bill in Congress passed on police reform.
[00:16:53.543 --> 00:16:58.047]  But I know that the right wing, the racists, are opposed to it.
[00:16:58.407 --> 00:17:00.449]  And I don't know what's going to happen to it.
[00:17:00.749 --> 00:17:03.411]  But I know this, we've got to stay in the street.
[00:17:03.932 --> 00:17:06.694]  And we've got to demand justice.
[00:17:06.814 --> 00:17:11.598]  As a black man, despite all the efforts, I feel like nothing changes.
[00:17:11.918 --> 00:17:13.900]  And George Floyd is waking so many people up.
[00:17:15.281 --> 00:17:18.205]  Nothing has happened despite the rhetoric.
[00:17:18.306 --> 00:17:22.031]  What needs to happen that's different this year than all the years before?
[00:17:22.051 --> 00:17:24.695]  We're looking for a guilty verdict!
[00:17:25.583 --> 00:17:45.956]  We're looking for a guilty verdict, and we're looking to see if all of the folks that took place and has been taking place after they saw what happened to George Floyd, if nothing does not happen, then we know that we've got to not only stay in the street, but we've got to fight for justice.
[00:17:46.317 --> 00:17:51.000]  But I am very hopeful and I hope that we're going to get
[00:17:51.560 --> 00:17:55.303]  What happens if we do not get what you just told?
[00:17:55.443 --> 00:17:57.365]  What should the people do?
[00:17:57.405 --> 00:17:59.167]  What should protesters on the street do?
[00:18:14.349 --> 00:18:15.009]  I didn't hear you.
[00:18:15.369 --> 00:18:17.330]  What should protesters do?
[00:18:18.070 --> 00:18:19.611]  Well, we've got to stay on the street.
[00:18:20.391 --> 00:18:22.452]  And we've got to get more active.
[00:18:22.752 --> 00:18:24.973]  We've got to get more confrontational.
[00:18:25.293 --> 00:18:29.134]  We've got to make sure that they know that we mean business.
[00:18:31.235 --> 00:18:33.676]  Got to make sure that they know we make business.
[00:18:33.916 --> 00:18:37.478]  So here she's demanding the jury convict of the top count.
[00:18:37.858 --> 00:18:45.501]  And if they don't, they're basically extorting them that they're going to increase being in the streets, increase the level of confrontation.
[00:18:45.881 --> 00:18:49.223]  And this comes in the context in which there have been riots for days.
[00:18:49.563 --> 00:18:51.124]  Attacks on police for days.
[00:18:51.304 --> 00:18:53.345]  Attacks on police precincts for days.
[00:18:53.706 --> 00:18:58.429]  Attacks on local people who can't even get to their own homes and their own neighborhoods for days.
[00:18:58.849 --> 00:19:00.110]  Looting for days.
[00:19:00.510 --> 00:19:01.611]  Arson for days.
[00:19:02.071 --> 00:19:06.974]  In that context, she says that confrontation tactics need to get more, need to increase.
[00:19:07.414 --> 00:19:10.836]  And it comes in the context of jurors already voicing concern.
[00:19:11.176 --> 00:19:13.098]  This is why the jurors are anonymous so far.
[00:19:13.558 --> 00:19:18.301]  Already voicing concern of their own safety for merely participating in this trial.
[00:19:18.981 --> 00:19:32.393]  And it comes on top of a police officer who was involved in the alleged wrongful shooting that triggered this latest stage of riots, which there's controversy over whether or not it was an intentional mistake as opposed to a negligent mistake.
[00:19:32.954 --> 00:19:39.660]  But putting that aside, her address getting docked to where they had to put police and fences around her home on a 24-7 basis.
[00:19:41.371 --> 00:19:56.384]  So that's the context in which Mad Max is extorting a legalized lynching of Derek Chauvin, saying if you don't bring out his head on a rope, then they're going to basically put other people's heads on a rope in Minneapolis.
[00:19:56.744 --> 00:20:13.275]  That's the mindset and the mentality that is being communicated by a member of Congress, not just a local activist, not just some local city council member, a member of Congress, a long-serving member of Congress, who also chairs critical committees in Congress.
[00:20:13.655 --> 00:20:23.542]  And you can guarantee she went to Minneapolis to make sure this news and information was circulated to everybody, including almost guaranteed the jurors in the case.
[00:20:24.142 --> 00:20:32.169]  And so this is an extortion attempt to get a legalized lynching because she knows that basically she's been pushing a big lie.
[00:20:32.549 --> 00:20:34.150]  It's been a lie all the way through.
[00:20:35.571 --> 00:20:45.019]  Mark Dice did a video about Black Lives Matter because Black Lives Matter has often told so many fictions and fabrications about the reality of this case and others.
[00:20:45.698 --> 00:20:54.401]  In that context, we're going to show a little bit later on in the show video excerpts of trial testimony, but I'll give you a quick summation of that testimony.
[00:20:54.761 --> 00:21:01.164]  The first question for the jury is whether or not Derek Chauvin exercised unreasonable, unjustifiable force.
[00:21:01.713 --> 00:21:26.600]  The force he used was the prone position, where his knee was mostly not on the neck for most of the time period, where he was shifting his body weight, and where studies and surveys from Canada, from the United States, from medical professionals and forensic medical experts around the world have shown that one of the safest ways to restrain a suspect
[00:21:27.080 --> 00:21:37.866]  One of the safest ways to control a suspect, one of the safest ways to detain a suspect, is to put them in a prone position with body weight controlling them.
[00:21:38.387 --> 00:21:38.747]  Why?
[00:21:38.947 --> 00:21:41.688]  Because it turns out that it is extremely rare.
[00:21:41.789 --> 00:21:44.990]  They looked at thousands of cases in Canada.
[00:21:45.010 --> 00:21:47.652]  They looked at thousands of cases in the United States.
[00:21:48.212 --> 00:21:54.798]  And they found, and then they looked at, gave examples of people putting on more body weight for much longer periods of time.
[00:21:55.239 --> 00:21:58.422]  And what did study after study after study confirm?
[00:21:58.902 --> 00:22:11.674]  It confirmed that being in the prone position, with body weight being put on you, even more body weight than was put on Floyd, even for longer time periods than happened with Floyd, study after study came back and found no deaths.
[00:22:12.347 --> 00:22:17.668]  Out of thousands of cases, zero deaths taking place because of that prone position.
[00:22:17.949 --> 00:22:20.889]  It is much safer than using a taser.
[00:22:21.430 --> 00:22:23.710]  It is much safer than pulling your gun.
[00:22:24.230 --> 00:22:26.351]  It is much safer than using a baton.
[00:22:26.771 --> 00:22:31.872]  It is much safer than almost every other method and mechanism of force that you can use.
[00:22:32.253 --> 00:22:33.793]  In fact, what came out at trial
[00:22:34.373 --> 00:22:44.581]  Is that the body cam footage that the media has been trying to hide and that the state tried to keep from the public for months after this case originally became public.
[00:22:45.186 --> 00:22:50.729]  Is that George Floyd himself requested to lie on the ground repeatedly.
[00:22:51.150 --> 00:22:58.734]  He requested not to be placed in the police car, but because of his health condition, he asked to be put on the ground, knowing what that was.
[00:22:59.434 --> 00:23:05.298]  And throughout the entire process, and was complaining he couldn't breathe before he was ever put on the ground.
[00:23:05.919 --> 00:23:06.280]  Why?
[00:23:06.660 --> 00:23:08.422]  Because he had a severe heart condition.
[00:23:08.762 --> 00:23:09.063]  Why?
[00:23:09.143 --> 00:23:11.906]  Because he had a tumor that released massive amounts of adrenaline.
[00:23:12.246 --> 00:23:12.546]  Why?
[00:23:12.626 --> 00:23:17.051]  Because he had just taken a sudden ingestion of a lethal amount of fentanyl.
[00:23:17.332 --> 00:23:20.395]  That was three times the rate that would kill a normal person.
[00:23:20.965 --> 00:23:21.506]  That's why.
[00:23:21.626 --> 00:23:27.172]  He had done the exact same thing, sudden ingestion of drugs when caught, just a year before.
[00:23:27.713 --> 00:23:30.736]  And that's the evidence that the media and the press has tried to cover up.
[00:23:31.156 --> 00:23:32.798]  That's why they're scared of the verdict.
[00:23:33.119 --> 00:23:34.821]  That's why they need to extort a verdict.
[00:23:35.161 --> 00:23:37.564]  We'll get back into more of those details right after the break.
[00:23:38.104 --> 00:23:43.868]  This transmission is coming to you.
[00:23:43.948 --> 00:23:46.049]  Waging war on corruption.
[00:23:48.330 --> 00:23:53.954]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:23:58.507 --> 00:24:03.470]  Owen Troyer here in the InfoWars World Headquarters in Austin, Texas.
[00:24:04.070 --> 00:24:06.192]  Bob Barnes hosting the Alex Jones Show this evening.
[00:24:06.232 --> 00:24:15.777]  We're going to be going back to legal expert Bob Barnes here momentarily, but quickly, ladies and gentlemen, I wanted to remind you that coming up from 6 to 8 p.m.
[00:24:15.857 --> 00:24:25.123]  on InfoWars, I'm going to be doing a Sunday night emergency transmission discussing everything I witnessed at the southern border and taking your phone calls
[00:24:26.480 --> 00:24:31.842]  As well, things that you've observed, dots that you've connected, or questions that you have for me.
[00:24:31.902 --> 00:24:36.264]  I probably know more about what's going on down there than Biden or Harris combined.
[00:24:36.664 --> 00:24:38.125]  Quite frankly, they haven't been down there.
[00:24:38.965 --> 00:24:45.748]  But ladies and gentlemen, remember that we're only able to do this type of coverage with your support at InfowarsStore.com.
[00:24:45.788 --> 00:24:46.889]  It would not be possible.
[00:24:47.964 --> 00:24:52.927]  I don't have to talk about the hoops that we have to jump through with the censorship and the attack and everything.
[00:24:52.967 --> 00:24:53.508]  You know that.
[00:24:53.888 --> 00:24:59.651]  But it's your support at InfoWarsStore.com that makes it all possible for us to go and do these reports on the road.
[00:24:59.972 --> 00:25:06.056]  For us to do the live broadcast 10 hours on weekdays and now 4 hours on Sunday evenings.
[00:25:06.136 --> 00:25:08.157]  Put up the Saturday emergency broadcast.
[00:25:08.177 --> 00:25:10.558]  Have people working around the clock here at InfoWars.
[00:25:10.959 --> 00:25:14.381]  Shop at InfoWarsStore.com so we can keep this momentum going.
[00:25:14.822 --> 00:25:18.260]  Shop at infowarsstore.com so we can keep the truth on air.
[00:25:20.222 --> 00:25:24.664]  And get all the great guests and all the band guests and people like Bob Barnes on with us.
[00:25:25.184 --> 00:25:30.225]  It's only possible when you shop at InfoWarsStore.com and when you share the links with friends and family.
[00:25:30.545 --> 00:25:35.327]  And quite frankly, the store is always getting updated with new specials and new t-shirts and everything.
[00:25:35.947 --> 00:25:37.328]  InfoWarsStore.com.
[00:25:37.588 --> 00:25:38.248]  Shop with us.
[00:25:38.608 --> 00:25:39.729]  Keep the truth on air.
[00:25:39.829 --> 00:25:40.789]  Keep the truth alive.
[00:25:41.009 --> 00:25:42.409]  Keep the fight for America alive.
[00:25:42.450 --> 00:25:43.470]  Keep the resistance alive.
[00:25:43.830 --> 00:25:46.671]  Shop at InfoWarsStore.com.
[00:25:46.711 --> 00:25:49.632]  We go back now to legal expert Bob Barnes.
[00:25:52.071 --> 00:25:56.400]  The amazing thing about the Chauvin trial is the precedent it's going to set.
[00:25:56.961 --> 00:26:00.427]  Can the institutional media, can the democratic political hacks,
[00:26:01.153 --> 00:26:14.537]  Weaponize the process so extensively, so expansively, that they can force-feed a lie onto the jury and get the jury to swallow and regurgitate that lie to allow a legalized lynching.
[00:26:14.957 --> 00:26:18.739]  It is the political equivalent of what happened to Emmett Till.
[00:26:18.979 --> 00:26:22.960]  It is the political equivalent to the old Klan lynchings of the South.
[00:26:23.973 --> 00:26:25.394]  That's what this case really is.
[00:26:25.574 --> 00:26:37.039]  If they can lynch Derek Chauvin and do so through the legal process, do so by force-feeding a lie into the jury and then regurgitating that lie to the world, they can do it to anybody.
[00:26:37.439 --> 00:26:41.921]  Because this case has been a Soviet-style show trial from the get-go.
[00:26:42.481 --> 00:26:45.942]  Derek Chauvin already has problems because of tax and corruption issues.
[00:26:46.323 --> 00:26:49.464]  So he was guaranteed to go to prison one way or the other.
[00:26:49.992 --> 00:27:02.519]  Yeah, that is why partially he agreed to plead guilty to a crime he likely did not commit, which was third degree murder, which is supposed to be for devious mind, reckless murder, where you go in and shoot at a whole bunch of people and kill one person.
[00:27:03.059 --> 00:27:15.266]  Here they were trying to apply it to him in a constitutionally questionable manner, as both Professor Dershowitz and Professor Turley have acknowledged and admitted the legal and constitutional questions with the statutory construction.
[00:27:15.882 --> 00:27:17.223]  And yet we're still in this trial.
[00:27:17.583 --> 00:27:22.626]  Why are we in a trial where someone was willing to plead guilty likely to a crime he didn't commit and do 10 years in prison?
[00:27:23.126 --> 00:27:31.611]  Because they want to show trial that convicts Chauvin of something he didn't do to feed and justify the media narrative.
