[00:00:00.572 --> 00:00:04.636]  Dr. Fauci, as you are aware, it is a crime to lie to Congress.
[00:03:25.831 --> 00:03:26.711]  That is correct.
[00:03:26.871 --> 00:03:31.353]  And Senator Paul, you do not know what you are talking about, quite frankly.
[00:03:31.494 --> 00:03:33.474]  And I want to say that officially.
[00:03:33.895 --> 00:03:36.556]  You do not know what you are talking about.
[00:03:37.156 --> 00:03:41.601]  Let's read from the NIH definition of gain of function.
[00:03:41.641 --> 00:03:44.424]  This is your definition that you guys wrote.
[00:03:44.984 --> 00:03:52.853]  It says that scientific research that increases the transmissibility among animals is gain of function.
[00:03:53.293 --> 00:03:56.677]  They took animal viruses that only occur in animals
[00:03:56.937 --> 00:03:57.017]  Okay.
[00:03:57.037 --> 00:03:57.717]  And let's, let's, Dr. Fauci...
[00:04:17.623 --> 00:04:26.407]  Is that the grant that was funded as a sub-award from EcoHealth to Wuhan created SARS-CoV-2.
[00:04:26.927 --> 00:04:28.167]  That's where you are getting.
[00:04:28.547 --> 00:04:29.348]  Let me finish.
[00:04:29.428 --> 00:04:30.008]  We don't know.
[00:04:30.268 --> 00:04:38.752]  We don't know if it did come from the lab, but all the evidence is pointing that it came from the lab, and there will be responsibility for those who funded the lab, including yourself.
[00:04:38.912 --> 00:04:42.193]  I totally resent... This committee will allow the witness to respond.
[00:04:42.213 --> 00:04:46.795]  I totally resent the lie that you are now propagating, Senator.
[00:04:47.515 --> 00:05:02.471]  Because if you look at the viruses that were used in the experiments that were given in the annual reports that were published in the literature, it is molecularly impossible
[00:05:02.591 --> 00:05:04.834]  No one's saying those viruses caused it.
[00:05:04.975 --> 00:05:07.679]  No one is alleging that those viruses caused the pandemic.
[00:05:07.739 --> 00:05:13.087]  What we're alleging is that gain-of-function research was going on in that lab and NIH funded it.
[00:05:13.107 --> 00:05:14.589]  Get away from it.
[00:05:14.929 --> 00:05:17.994]  It meets your definition and you are obfuscating the truth.
[00:05:18.214 --> 00:05:20.077]  I'm not obfuscating the truth.
[00:05:20.277 --> 00:05:22.581]  You are the one.
[00:05:22.701 --> 00:05:23.542]  Let me just finish.
[00:05:23.843 --> 00:05:32.656]  I want everyone to understand that if you look at those viruses, and that's judged by qualified virologists and evolutionary biologists,
[00:05:33.357 --> 00:05:37.140]  Those viruses are molecularly impossible to result in SARS-CoV-2.
[00:05:37.160 --> 00:05:38.081]  No one's saying they are.
[00:05:38.141 --> 00:05:40.623]  No one's saying those viruses caused the pandemic.
[00:05:40.803 --> 00:05:47.888]  We're saying they are gain-of-function viruses because they were animal viruses that became more transmissible in humans, and you funded it.
[00:05:48.308 --> 00:05:49.489]  You can't admit the truth.
[00:05:49.609 --> 00:05:55.554]  And you're implying... Senator Paul, your time has expired, and I will allow witnesses who come before this committee to respond.
[00:05:56.234 --> 00:05:57.676]  And you are implying...
[00:05:58.476 --> 00:06:02.297]  That what we did was responsible for the deaths of individual.
[00:06:02.917 --> 00:06:04.238]  I totally resent that.
[00:06:04.258 --> 00:06:04.838]  And it could have been.
[00:06:05.018 --> 00:06:08.279]  And if anybody is lying here, Senator, it is you!
[00:06:08.379 --> 00:06:12.800]  From the front lines of the information war, it's Alex Jones.
[00:06:12.820 --> 00:06:17.361]  It's Tuesday, July 20th, the year is 2021.
[00:06:24.105 --> 00:06:29.548]  I'm your host Alex Jones and we are seeing history take place in front of all of our eyes.
[00:06:29.588 --> 00:06:48.158]  We're seeing world government with the express aim of sterilizing and killing us openly establishing a worldwide medical ID passport system that will finally end with an implantable microchip under the skin in the words of the United Nations head operative Klaus Schwab.
[00:06:49.306 --> 00:07:03.658]  And that's where we are, and they're saying it's a new world order everywhere, and with it is the sexual indoctrination of your children, your parental rights being taken, and your children being sterilized as young as age three in phase one.
[00:07:04.919 --> 00:07:17.630]  Phase two, at birth, a helmet will be put over your children, and they will be programmed from birth in a 360 virtual reality
[00:07:19.292 --> 00:07:28.703]  Into the quote, new way of thinking with direct neural interaction with the AI.
[00:07:28.723 --> 00:07:29.243]  Nevermind.
[00:07:30.465 --> 00:07:31.005]  They call this...
[00:07:32.199 --> 00:07:39.443]  Direct neural intervention so that the racism and the inherent evilness of your child will be gotten rid of.
[00:07:39.824 --> 00:07:46.748]  The left will line up to have his children mounted at birth in the trial programs, turning them into even further autistic zombies.
[00:07:47.088 --> 00:07:48.949]  And there's no level the left won't follow.
[00:07:49.489 --> 00:07:53.772]  When the left husband or wife dies of the shock, they go take it themselves.
[00:07:54.512 --> 00:07:56.654]  They line up to give newborn babies the deadly shot.
[00:07:57.314 --> 00:08:00.376]  They want to die and they want to take us with them.
[00:08:01.325 --> 00:08:03.669]  They've been turned over to a great illusion.
[00:08:05.031 --> 00:08:14.125]  Well, it's happened in Greece, it's happened in France, now it's been announced in the UK, it's all the UN-directed program that you must have an injection to leave your house and go to the grocery store.
[00:08:15.640 --> 00:08:24.446]  Of course, they're starting out with football games and concerts to have the big corporations force it on you, and then it'll roll on down to the smaller restaurants and bars.
[00:08:24.506 --> 00:08:27.948]  But Johnson's saying you'll be arrested and given multiple years in prison.
[00:08:27.968 --> 00:08:30.630]  If you don't do it, the exact same thing's been announced in France.
[00:08:31.611 --> 00:08:33.632]  Remember, we told you a year and a half ago this was coming.
[00:08:33.672 --> 00:08:35.894]  It was the official UN globalist plan.
[00:08:37.329 --> 00:08:40.691]  It's like Fauci came out and said, make three-year-olds wear two masks last week.
[00:08:41.031 --> 00:08:45.814]  And I said, by next week, the major medical associations will say, never take masks off.
[00:08:45.834 --> 00:08:46.615]  And they announced it today.
[00:08:46.635 --> 00:08:47.736]  They said, never take masks off.
[00:08:48.176 --> 00:08:50.538]  This is a cult of psychotic murderers.
[00:08:51.058 --> 00:08:52.719]  Fauci ran the whole Wuhan lab.
[00:08:52.959 --> 00:08:54.160]  They released the damn virus.
[00:08:54.460 --> 00:08:57.442]  The vaccine is worse than the virus, but does what the virus does.
[00:08:57.782 --> 00:09:00.844]  It just has your body grow the virus with a spike protein.
[00:09:00.864 --> 00:09:03.306]  This is just an apocalypse unfolding.
[00:09:03.746 --> 00:09:10.009]  But the public has Stockholm Syndrome and can't admit it's happening, and so they rationalize and make excuses about what's going on.
[00:09:10.329 --> 00:09:21.013]  That's why it's key for the globalist program that we be taken off air and others be taken off air, and that no medical doctors be able to challenge this as they are, so they can gaslight everyone to death.
[00:09:21.534 --> 00:09:27.876]  Paul Joseph Watson joins us on the other side of this break to talk about what it's like to live right in the middle of Airstrip One.
[00:09:27.896 --> 00:09:31.358]  But here's Boris Johnson yesterday celebrating Freedom Day!
[00:09:31.718 --> 00:09:34.460]  I should serve notice now that by the end of September when all over 18s will have had
[00:10:01.894 --> 00:10:02.874]  Arrest Boris Johnson!
[00:10:03.094 --> 00:10:03.815]  Arrest Boris Johnson!
[00:10:03.835 --> 00:10:04.895]  Arrest Boris Johnson!
[00:10:04.935 --> 00:10:05.655]  Arrest Boris Johnson!
[00:10:05.695 --> 00:10:06.776]  Arrest Boris Johnson!
[00:10:07.016 --> 00:10:08.136]  Arrest Boris Johnson!
[00:10:25.086 --> 00:10:27.007]  This is so nightmarish.
[00:10:27.688 --> 00:10:28.928]  We'll be right back.
[00:10:28.948 --> 00:10:30.810]  Stay with us.
[00:10:30.890 --> 00:10:31.330]  It's all here.
[00:10:31.370 --> 00:10:33.171]  We're inside the New World Order.
[00:10:43.544 --> 00:10:46.485]  Globalist mole now fully activated.
[00:10:46.525 --> 00:11:01.488]  Boris Johnson has joined the UN, Klaus Schwab, Macron and others in announcing the medical passport forced experimental injection that will finally lead to not being able to leave your home and forced imprisonment if you don't accept the medical tyranny.
[00:11:01.808 --> 00:11:04.209]  Here he is announcing it on Freedom Day yesterday.
[00:11:04.229 --> 00:11:09.510]  I should serve notice now that by the end of September when all over 18s
[00:11:15.043 --> 00:11:21.289]  Full vaccination, the condition of entry to nightclubs and other venues where large crowds gather.
[00:11:22.110 --> 00:11:27.295]  Proof of a negative test will no longer be an option.
[00:11:44.827 --> 00:11:46.048]  Arrest Fauci.
[00:11:46.128 --> 00:11:47.269]  Arrest Bill Gates.
[00:11:47.369 --> 00:11:48.309]  They ran the lab.
[00:11:48.349 --> 00:11:49.290]  They ran the program.
[00:11:49.690 --> 00:11:50.470]  They released it.
[00:11:50.871 --> 00:11:52.332]  They plan to never end the lockdown.
[00:11:52.372 --> 00:11:53.252]  I told you this.
[00:11:53.352 --> 00:11:55.093]  I told Paul this a year and a half ago.
[00:11:55.834 --> 00:12:00.376]  I told Eddie Bravo the lockdowns were going to come back to Los Angeles within months of them ending them.
[00:12:00.656 --> 00:12:01.797]  Now it's all started again.
[00:12:01.817 --> 00:12:04.219]  It is a post-industrial world.
[00:12:04.739 --> 00:12:06.320]  First, they take you off the land.
[00:12:06.340 --> 00:12:07.520]  Then they take you out of the factories.
[00:12:07.781 --> 00:12:09.201]  Then they say you're a service economy.
[00:12:09.442 --> 00:12:11.783]  Then they say you're obsolete, non-essential.
[00:12:12.303 --> 00:12:13.064]  Well, he's been with us
[00:12:13.884 --> 00:12:15.906]  20 years and now he runs summit.news.
[00:12:15.966 --> 00:12:21.071]  Paul Joseph Watson right in the middle of this incredible time.
[00:12:21.131 --> 00:12:22.052]  Talk about Orwellian.
[00:12:22.452 --> 00:12:26.656]  On Freedom Day, Boris Johnson announces mandatory vaccine passports.
[00:12:27.016 --> 00:12:30.179]  Giant crowds all over the country coming out and protesting.
[00:12:30.540 --> 00:12:33.602]  Brutally then attacked by the police.
[00:12:34.623 --> 00:12:35.945]  I guess if they were Islamist or
[00:12:37.076 --> 00:12:38.297]  Pedophiles, it would have been okay.
[00:12:38.657 --> 00:12:41.900]  Paul Joseph Watson, thanks for joining us at the kickoff of the transmission.
[00:12:41.940 --> 00:12:45.624]  Give us your expert and in-person analysis of what's unfolding.
[00:12:47.421 --> 00:12:53.322]  Well, what's unfolding, Alex, is firstly, those protests that you just played a clip of are not being played in the news.
[00:12:53.362 --> 00:12:55.003]  They get no news coverage whatsoever.
[00:12:55.423 --> 00:13:08.406]  The only coverage they get is on Twitter by middle-class, privileged leftists dehumanising them, calling them gammon, calling them scum, calling them Cove idiots while they're getting beaten in the face by the police.
[00:13:09.221 --> 00:13:19.227]  Remember we had a whole, what, several months, a whole summer of this last year with Black Lives Matter being treated similarly in some circumstances, but also themselves violently attacking the police.
[00:13:19.267 --> 00:13:20.267]  The media covered it.
[00:13:20.688 --> 00:13:22.609]  They ran defense for Black Lives Matter.
[00:13:23.009 --> 00:13:24.550]  This doesn't even get on the news.
[00:13:24.590 --> 00:13:26.011]  You would think protests of
[00:13:27.000 --> 00:13:34.023]  100,000 people, the last major one a couple of weekends ago, in the capital city would get news coverage.
[00:13:34.543 --> 00:13:36.404]  Now it barely gets any.
[00:13:36.464 --> 00:13:41.947]  But the good thing, Alex, is that these protests are growing because they still have a reason to protest.
[00:13:41.967 --> 00:13:49.190]  There was a conservative news outlet called Guido Fawkes yesterday who ran a headline saying, why are they out protesting?
[00:13:49.250 --> 00:13:51.011]  They've got their freedom back.
[00:13:52.094 --> 00:13:53.815]  Okay, freedom to conform.
[00:13:54.516 --> 00:14:09.066]  Within minutes of these scenes that you see now, Boris Johnson announced, as you said, that we're going to have vaccine passports initially for nightclubs, today they're talking about maybe for pubs, they're talking about definitely for football matches,
[00:14:10.003 --> 00:14:13.584]  And they present it as, oh, you just have to show your COVID certification.
[00:14:13.644 --> 00:14:27.608]  No, this is about banning dissidents who refuse to take vaccines and then rolling them and putting them on lists to create the entree to the Chinese communist style social credit score system, which we've been warning about for years.
[00:14:28.368 --> 00:14:30.889]  Boris Johnson himself, Alex, said,
[00:14:31.804 --> 00:14:36.067]  In regard to ID cards, which the vaccine passport is basically the same thing.
[00:14:36.447 --> 00:14:41.990]  The mock-ups that the government paid these corporations to create had name, photograph, date of birth.
[00:14:42.170 --> 00:14:45.652]  It's an ID card, it's even worse than that because it has your entire medical history.
[00:14:46.253 --> 00:14:52.276]  But in 2004 when Blair, who by the way has pushed the vaccine passport for the past 15 months,
[00:14:54.013 --> 00:15:02.315]  When Blair was trying to pass the National ID Card in the United Kingdom, Boris Johnson called it, quote, a recipe for tyranny and oppression.
[00:15:02.815 --> 00:15:07.297]  And here we are in 2021 and he's introducing the exact same thing.
[00:15:08.297 --> 00:15:12.178]  So the restrictions were supposedly lifted yesterday and yet
[00:15:13.012 --> 00:15:17.817]  I went for a walk yesterday, I went for a walk today near where I live.
[00:15:17.837 --> 00:15:25.504]  75 to 90% of the people I would say are still wearing masks inside shops, despite the fact that it's not a law anymore, you don't have to do that.
[00:15:25.804 --> 00:15:32.411]  I saw a family masked up outside, bearing in mind it was the hottest day of the year in the UK today.
[00:15:33.051 --> 00:15:39.274]  Eating their lunch in between putting the mask back on, taking it off, having a bite, putting it back on.
[00:15:39.654 --> 00:15:44.416]  There are tons of people wearing masks outside in the hottest week of the year.
[00:15:45.076 --> 00:15:47.557]  People have been terrified they've been brainwashed.
[00:15:47.597 --> 00:15:51.158]  And when I say that, it's not a superficial cliche.
[00:15:51.419 --> 00:15:55.560]  We know they were brainwashed because, as you used to say, Alex, we've got the documents.
[00:15:56.401 --> 00:15:59.642]  And this was the decision that was made at the start of the pandemic back in March 2020.
[00:15:59.702 --> 00:16:00.182]  They deviated
[00:16:03.092 --> 00:16:17.586]  From the normal response to every single historical pandemic in the past, which was to go for herd immunity, and instead they chose to terrify people by making them more afraid of the threat, the actual threat, that the virus posed.
[00:16:18.086 --> 00:16:19.768]  And the documents have all been released.
[00:16:20.208 --> 00:16:23.832]  This was the SAGE, Scientific Pandemic Influenza Group.
[00:16:24.392 --> 00:16:24.993]  Bearing in mind
[00:16:25.633 --> 00:16:30.757]  These people advising the government on these measures with regards to masks, social distancing, etc.
[00:16:30.977 --> 00:16:32.058]  They're not virologists.
[00:16:32.078 --> 00:16:33.239]  They're not medical scientists.
[00:16:33.479 --> 00:16:35.801]  They're behavioral psychologists.
[00:16:36.261 --> 00:16:41.185]  So they made the decision after Boris Johnson initially said, let's go for herd immunity.
[00:16:41.205 --> 00:16:42.146]  It's what we've done in the past.
[00:16:42.186 --> 00:16:45.348]  And by the way, Paul, just to interrupt you, you're not just saying this.
[00:16:46.169 --> 00:16:49.373]  They're all over the news saying we used mind control, close quote.
[00:16:49.593 --> 00:16:51.074]  We terrorized them.
[00:16:52.216 --> 00:17:00.024]  They're already on the news here saying 99% of the new cases are unvaccinated, even though 46% of hospitalizations are the vaccinated.
[00:17:00.204 --> 00:17:01.165]  They're saying got COVID.
[00:17:01.446 --> 00:17:05.670]  Now, eight Democrats that flew on that plane tested positive, even though they were already vaccinated.
[00:17:06.651 --> 00:17:08.012]  I was talking to Joe Rogan last night.
[00:17:08.052 --> 00:17:11.755]  He knows a whole bunch of people personally that got the vaccine and got super ill from it.
[00:17:11.956 --> 00:17:13.016]  Then they tell them it's COVID.
[00:17:13.297 --> 00:17:16.559]  Everyone around me that ended up getting the shot got super sick off of it, Paul.
[00:17:16.819 --> 00:17:20.322]  But again, they're using psychological warfare on people, as you pointed out.
[00:17:21.543 --> 00:17:23.125]  Yeah, and why did they get the shot?
[00:17:23.185 --> 00:17:24.546]  And they can flash up this headline.
[00:17:24.606 --> 00:17:29.550]  It's how to telegraph life inside the fear factory, how the government keeps us on high alert.
[00:17:30.416 --> 00:17:34.258]  And this was when they came out and they got the documents, it's all been released.
[00:17:34.318 --> 00:17:48.423]  They admit using totalitarian mind control methods and the weaponization of behavioral psychology, because they said at the start of the first lockdown, quote, people still do not feel sufficiently personally threatened.
[00:17:48.863 --> 00:17:54.785]  So that's when all these advertisements came out about you're gonna kill granny, you're spreading the virus everywhere.
[00:17:55.085 --> 00:17:57.266]  That's when the mask propaganda came out.
[00:17:57.506 --> 00:18:03.868]  Because before this obviously Fauci was in his own email saying masks are pathetic, they're useless, they don't stop the virus.
[00:18:04.488 --> 00:18:11.350]  Now we know from another report yesterday, and I've been talking about this for the best part of the past six months,
[00:18:12.117 --> 00:18:21.644]  All those blue surgical masks that people are wearing, the gaps in those masks are 1,000 times the size of the COVID particle.
[00:18:22.165 --> 00:18:27.268]  So this government scientist who bravely came out and said this, Dr Colin Axon, made the analogy.
[00:18:27.789 --> 00:18:31.652]  It's like throwing marbles at builders' scaffolding.
[00:18:32.012 --> 00:18:37.236]  If the marble is the virus particle, yeah, a few of them are going to bounce off and hit the scaffolding.
[00:18:37.636 --> 00:18:40.098]  The vast majority are going straight through.
[00:18:41.759 --> 00:18:45.942]  The analogy is you could fly a Boeing 747 through that mask if it was the virus.
[00:18:46.322 --> 00:18:47.062]  They don't work!
[00:18:47.423 --> 00:18:48.884]  Fauci admitted they didn't work.
[00:18:49.184 --> 00:18:55.668]  Our own medical health official, the top guy, Chris Whitty, said February 2020 they don't work.
[00:18:55.788 --> 00:18:58.830]  Why did they make the decision to make everyone suddenly start wearing them?
[00:18:59.050 --> 00:19:04.714]  Because they shifted from a medical response to a justified threat of what the pandemic represented.
[00:19:05.419 --> 00:19:14.867]  To a behavioral mind control approach, which is if we can get people to submit to this, we can basically get them to submit to anything.
[00:19:15.167 --> 00:19:17.008]  And now they're submitting to the vaccine passport.
[00:19:17.449 --> 00:19:19.030]  And Paul, that's what we'll come back with.
[00:19:19.090 --> 00:19:19.551]  Exactly.
[00:19:19.611 --> 00:19:23.314]  Now they're saying children two and up must wear two masks.
[00:19:23.894 --> 00:19:26.435]  Well, we had the numbers come out a couple of weeks ago.
[00:19:44.507 --> 00:19:50.231]  25 people under the age of 18 died from COVID in the UK across a year period.
[00:19:50.491 --> 00:19:52.793]  Two-thirds of those had serious illnesses.
[00:19:53.113 --> 00:20:02.739]  So it's literally, you can almost count on one hand the number of under 18s who died of COVID in the UK, and yet suddenly all the kids need to get vaccinated and wear masks.
[00:20:02.840 --> 00:20:05.641]  All right, summit.news is his own independent site.
[00:20:05.681 --> 00:20:06.182]  It's excellent.
[00:20:06.242 --> 00:20:07.082]  In fact, I'm jealous of it.
[00:20:07.863 --> 00:20:10.765]  But again, everybody's got to move out and leave home someday.
[00:20:11.105 --> 00:20:13.787]  Paul Joseph Watson, my little baby, when we come back.
[00:20:14.827 --> 00:20:15.548]  Welcome back!
[00:20:15.648 --> 00:20:16.868]  I'm Alex Jones, your host.
[00:20:17.528 --> 00:20:28.273]  Paul Joseph Watson from Summit.News is with us for another segment from right smack dab in the middle of the world government takeover.
[00:20:28.313 --> 00:20:38.537]  The world ID to have a world social credit score to where they can turn that ID to leave your home and to travel and to go to a restaurant or go to the park.
[00:20:39.037 --> 00:20:40.278]  I mean to go to the grocery store.
[00:20:40.618 --> 00:20:42.119]  This has all been announced as their plan.
[00:20:43.197 --> 00:20:44.618]  They're introducing it via the virus.
[00:20:45.239 --> 00:20:49.322]  And their own books, their own admissions, their own white papers from the Rockefeller Foundation admit that.
[00:20:49.862 --> 00:20:55.867]  And now the Rockefeller Foundation is in charge of all of Biden's anti-free speech propaganda.
[00:20:56.927 --> 00:21:01.271]  Trying to silence all these scientists and medical doctors and victims of these shots.
[00:21:01.611 --> 00:21:02.392]  Paul, you've been
[00:21:03.644 --> 00:21:05.986]  Involved in media for 22 years.
[00:21:07.608 --> 00:21:11.732]  You've been active since you were in high school.
[00:21:12.933 --> 00:21:13.914]  20 plus years in the fight.
[00:21:14.054 --> 00:21:14.795]  I mean, I've been in this 27.
[00:21:15.175 --> 00:21:19.059]  So you're the longest running person that I've worked with on this.
[00:21:19.480 --> 00:21:23.503]  What is it like to be totally vindicated and to see from our own research
[00:21:24.224 --> 00:21:32.635]  What they were planning to actually be living it now and to know that we're in their endgame and now they're going to accelerate it all and that if people don't wake up, we're facing hell on earth.
[00:21:32.695 --> 00:21:35.439]  I mean, this dystopia is only going to get worse.
[00:21:35.699 --> 00:21:36.961]  What is it like to be vindicated?
[00:21:38.689 --> 00:21:56.071]  I mean it's kind of surreal because you you don't want to believe it yourself and then you want to warn people to try and roll it back and that's what we've attempted to do and I think we've been successful in many ways but you still don't quite believe that it could be this bad but it is this bad and you talk about the media social media censorship
[00:21:56.954 --> 00:21:58.957]  This isn't coming just from YouTube.
[00:21:59.458 --> 00:22:10.033]  Here in the United Kingdom, and it's the same in America, the people responsible for getting all those videos of the medical doctors warning about all this banned from YouTube, banned from Facebook,
[00:22:11.047 --> 00:22:14.248]  This is literally the UK military, okay?
[00:22:14.488 --> 00:22:23.552]  The UK military is only supposed to direct propaganda to foreign adversaries, and yet we have something called the 77th Brigade in the United Kingdom.
[00:22:23.932 --> 00:22:34.697]  What they did, Alex, at the start of the pandemic, was they took Chinese government propaganda, hyping the hysteria, hyping the threat of this virus, to the point where
[00:22:35.464 --> 00:22:43.748]  You remember those videos of all the Chinese people in the street convulsing and falling over, even though now we know that was never even a claimed symptom of COVID.
[00:22:44.408 --> 00:22:54.453]  Our military, our GCHQ, took those videos and artificially amplified them through social media and through the conventional media to the point where
[00:22:55.322 --> 00:23:07.768]  You now have replies under tweets about the latest lockdown announcement, and it's literally word for word people agreeing with the lockdown and saying it should be even worse, and I've tweeted those on many occasions.
[00:23:07.849 --> 00:23:11.630]  Sure, and putting out all the fake polls, you know, 80% of the lockdown will never end.
[00:23:11.991 --> 00:23:18.654]  This is your military, my military, under globalist control, literally waging war on free open societies.
[00:23:18.954 --> 00:23:20.155]  This is criminal activity.
[00:23:21.536 --> 00:23:24.277]  And it's worked to a great extent, if you believe some of the polls.
[00:23:24.297 --> 00:23:40.441]  There was a poll conducted by an organisation which is not affiliated with the government, which I've talked about before, from August last summer, which found that the average Brit thought that 100 times more people had died of coronavirus than actually had according to the official numbers.
[00:23:40.801 --> 00:23:42.001]  So it worked to some extent.
[00:23:42.081 --> 00:23:44.702]  And you look at the official numbers, for example, in the UK,
[00:23:45.402 --> 00:23:55.788]  Someone did a Freedom of Information Act request to the government and they said, okay, so tell us how many people in the UK died from COVID alone with no other comorbidities?
[00:23:56.168 --> 00:24:04.912]  They came back, and this is still on the government website, and said the total was 8.9% of the official death toll died from COVID alone.
[00:24:05.333 --> 00:24:12.336]  So it's more than 10 times less, yet the British population thinks it's 100 times higher.
[00:24:12.376 --> 00:24:13.477]  Paul, in the time we have,
[00:24:13.837 --> 00:24:19.562]  You're going to be hosting the whole fourth hour today and knocking it out of the park because what's happening in the UK is coming everywhere else tomorrow.
[00:24:19.602 --> 00:24:20.763]  Canada is still under lockdown.
[00:24:21.104 --> 00:24:22.045]  Australia never left it.
[00:24:22.105 --> 00:24:23.426]  I mean, this is a globally directed thing.
[00:24:23.946 --> 00:24:25.288]  What do we do to say no?
[00:24:25.308 --> 00:24:28.491]  I mean, I think we've got to prosecute the people that cooked this plan up.
[00:24:28.831 --> 00:24:29.291]  I don't think so.
[00:24:50.558 --> 00:24:55.163]  They've bragged they did it all, and all the documents have come out, yet the vast majority of people are still unaware of that.
[00:24:55.223 --> 00:24:56.825]  So it's about circulating that message.
[00:24:56.865 --> 00:24:59.188]  It's about going after them legally, as you said.
[00:24:59.668 --> 00:25:04.033]  And there's an organisation in the UK called Big Brother Watch, which is going to do that, going to sue the government.
[00:25:04.353 --> 00:25:10.160]  The good news is, the nightclub owners, some of the nightclub owners came out today after this announcement and said,
[00:25:10.880 --> 00:25:14.182]  Our profit margins are literally 10, 15, 20%.
[00:25:15.243 --> 00:25:26.409]  If you eliminate 10, 20, 15% of the British population, bearing in mind 35% of 18 to 30 year olds haven't had the vaccine, that's going to completely eliminate their profit margin.
[00:25:26.649 --> 00:25:27.730]  They're all going to shut down.
[00:25:28.030 --> 00:25:31.412]  We've had 10% of restaurants in the UK being shut down.
[00:25:31.712 --> 00:25:37.436]  Meanwhile, Jeff Bezos, the billionaires, have made vast sums of money from this lockdown.
[00:25:38.359 --> 00:25:40.851]  150 million people going into extreme poverty.
[00:25:41.716 --> 00:25:46.857]  So you go at it from that angle and you also protest and non-violent civil disobedience.
[00:25:46.897 --> 00:25:49.758]  We've seen what's happened in Greece and France over the past couple of weeks.
[00:25:50.338 --> 00:25:53.819]  The French love to riot and they'll riot at the drop of a hat.
[00:25:53.859 --> 00:26:01.101]  The UK population is a bit more sedate but they've got Macron already after he first tried to introduce it in December.
[00:26:01.481 --> 00:26:04.602]  Vaccine passports to even go into supermarkets.
[00:26:04.942 --> 00:26:08.463]  They've got him to roll it back where supermarkets has been eliminated.
[00:26:09.003 --> 00:26:13.625]  And it's as a result of getting out on the streets and being vocal and being physical about it.
[00:26:13.645 --> 00:26:14.626]  And that's what we need to do.
[00:26:14.646 --> 00:26:15.986]  What you said earlier, Paul, was key.
[00:26:16.446 --> 00:26:17.847]  The media is shutting this down.
[00:26:18.107 --> 00:26:21.348]  Millions have protested in Germany, almost no coverage.
[00:26:21.789 --> 00:26:24.710]  Millions have protested in other areas, almost no coverage.
[00:26:25.050 --> 00:26:29.212]  Hundreds of thousands, millions over time in the UK, almost no coverage.
