[00:00:00.069 --> 00:00:00.870]  But who knows?
[00:01:42.736 --> 00:01:44.197]  He came in to see me last event.
[00:01:45.177 --> 00:01:59.326]  And Representatives Shirley Jackson Lee, Al Green, Sylvia Garcia, Lizzie Pinnelli, excuse me, Pinnell, and what am I doing here?
[00:02:00.026 --> 00:02:01.267]  I'm going to lose track here.
[00:02:03.394 --> 00:02:08.898]  Mayor Turner, Judge Hidalgo, thank you all for welcoming us.
[00:02:08.918 --> 00:02:12.720]  And Jill and I wanted to visit Texas today for a couple of reasons.
[00:02:12.980 --> 00:02:18.143]  Anybody that's been around family that's really old or has Alzheimer's knows the most common things that say, where am I?
[00:02:18.583 --> 00:02:19.204]  What's going on?
[00:02:19.444 --> 00:02:19.884]  Who are you?
[00:02:19.904 --> 00:02:22.406]  And then, oh, you're my grandson.
[00:02:23.426 --> 00:02:25.668]  Wait, we're at the football game?
[00:02:27.409 --> 00:02:29.410]  Wait, my sister just had a stroke.
[00:02:30.236 --> 00:02:32.378]  No, no, no, your sister had a stroke and died eight years ago.
[00:02:32.678 --> 00:02:33.839]  No, no, we gotta go to the hospital.
[00:02:33.899 --> 00:02:34.839]  Oh, you're right.
[00:02:35.620 --> 00:02:36.721]  That's right, I got Alzheimer's.
[00:02:36.841 --> 00:02:39.503]  Oh, you're my grandson, I remember.
[00:02:40.243 --> 00:02:40.484]  Wow.
[00:02:40.704 --> 00:02:42.865]  I mean, it's like in the gear, out of gear.
[00:02:43.406 --> 00:02:47.809]  And you have Bongino coming out with a Secret Service connection saying he's far gone.
[00:02:47.889 --> 00:02:50.291]  Well, we don't need Bongino to tell us that.
[00:02:50.331 --> 00:02:51.352]  Nothing against Bongino.
[00:02:51.732 --> 00:02:52.632]  You can look at it.
[00:02:53.496 --> 00:02:55.197]  He's degrading by the day.
[00:02:55.957 --> 00:02:57.217]  This is a fiasco.
[00:02:57.998 --> 00:03:02.819]  Let's actually hear from the real president that won in a landslide, and they stole it bigger than Dallas.
[00:03:02.879 --> 00:03:04.920]  I agree with the CEO of Goya Foods.
[00:03:04.940 --> 00:03:06.820]  They said the board had gagged.
[00:03:07.041 --> 00:03:17.104]  Well, I guess they didn't gag him, because here's Robert Yunabe in the news telling the truth that President Trump is legitimate and still acting president.
[00:03:18.024 --> 00:03:19.585]  We have to keep exposing that.
[00:03:20.492 --> 00:03:21.173]  That's the truth.
[00:03:21.573 --> 00:03:24.535]  To then expose the election fraud and not let them do it again.
[00:03:24.575 --> 00:03:25.876]  But here's some of the president.
[00:03:25.896 --> 00:03:26.777]  We'll come back with more of it.
[00:03:30.360 --> 00:03:31.621]  Well, thank you very much.
[00:03:31.761 --> 00:03:33.162]  And hello, CPAC.
[00:03:33.242 --> 00:03:34.383]  Do you miss me yet?
[00:03:34.583 --> 00:03:35.383]  Do you miss me?
[00:03:35.764 --> 00:03:41.068]  A lot of things going on.
[00:03:43.075 --> 00:03:58.768]  To so many wonderful friends, conservatives and fellow citizens in this room and all across our country, I stand before you today to declare that the incredible journey we begun together, we went through a journey like nobody else.
[00:03:58.808 --> 00:04:00.730]  There's never been a journey like it.
[00:04:00.750 --> 00:04:03.051]  There's never been a journey so successful.
[00:04:03.832 --> 00:04:09.056]  We began it together four years ago, and it is far from being over.
[00:04:15.976 --> 00:04:19.537]  We're going to come back and go back in where we left off.
[00:04:19.617 --> 00:04:21.018]  We have the main feed.
[00:04:21.058 --> 00:04:26.720]  He's about 10 minutes into the speech that's going live right now at InfoWars.com and NewsWars.com.
[00:04:26.760 --> 00:04:32.762]  If you go to the front page of InfoWars.com, you can see the page that says live coverage of President Trump's historic
[00:04:33.860 --> 00:04:34.320]  We're good to go.
[00:04:51.235 --> 00:04:52.016]  Online right now.
[00:04:52.096 --> 00:04:58.342]  I was clicking on the YouTube links and Fox links and CPAC links, but it's almost nowhere else.
[00:04:58.402 --> 00:05:02.145]  They're really fighting and they had it at the Hyatt Hotel.
[00:05:02.506 --> 00:05:05.429]  The Democrats tried to have Hyatt cancel CPAC.
[00:05:06.169 --> 00:05:11.354]  We've seen Twitter ban CPAC and ban the videos being posted along with Facebook and others.
[00:05:11.394 --> 00:05:14.737]  I mean, this is really a criminal international consortium
[00:05:15.658 --> 00:05:20.886]  Openly trying to meddle in the electoral process and communications of the American people.
[00:05:20.906 --> 00:05:24.972]  Oh, you're not allowed to have the president, the leader of the insurrection there.
[00:05:24.993 --> 00:05:29.599]  Why, my gosh, we killed four citizens that day and a cop had a stroke a few days later and died.
[00:05:30.936 --> 00:05:33.177]  Family now says he did not get hit in the head with a fire extinguisher.
[00:05:33.477 --> 00:05:35.599]  They call that the most deadly attack in U.S.
[00:05:35.619 --> 00:05:35.959]  history.
[00:05:36.199 --> 00:05:38.180]  Wow, that's the biggest lie in U.S.
[00:05:38.200 --> 00:05:38.500]  history.
[00:05:38.800 --> 00:05:39.901]  We're sad for the dead cop, though.
[00:05:40.521 --> 00:05:44.524]  But this was definitely mainly a setup of the Democrats and a few useful idiots.
[00:05:44.584 --> 00:05:51.728]  But when we come back in 60 seconds, back into Trump and then just huge positive news, even bigger than Friday, we've got for you here today.
[00:05:52.228 --> 00:05:56.052]  Whatever you do, remember, this is a participation sport of liberty.
[00:05:56.332 --> 00:05:59.275]  So spread the links to Band.Video and Infowars.com.
[00:05:59.515 --> 00:06:00.837]  That's how we override big tech.
[00:06:00.997 --> 00:06:01.758]  I salute you all.
[00:06:02.879 --> 00:06:06.442]  The people of America, the people of the world, are taking their power back.
[00:06:06.803 --> 00:06:14.891]  And one way of doing it is locking up your cell phone when you're not using it so it's not tracking your location for contact tracers, the UN, the globalists, and hackers.
[00:06:15.271 --> 00:06:17.873]  And normally we sell out of these at $19.95.
[00:06:18.293 --> 00:06:20.615]  But we're selling them at $14.95 right now.
[00:06:20.875 --> 00:06:22.196]  That's 50% off retail.
[00:06:22.556 --> 00:06:26.879]  Get these Privacy Pockets today at InfowarsStore.com while you still can.
[00:06:27.159 --> 00:06:27.980]  And I almost forgot!
[00:06:28.240 --> 00:06:31.562]  You gotta use promo code PRIVACY to get that discount.
[00:06:31.802 --> 00:06:33.904]  Promo code PRIVACY for the Privacy Pocket.
[00:06:35.748 --> 00:06:37.329]  Welcome, my friends.
[00:06:37.369 --> 00:06:40.211]  Thank you for joining us on this Sunday, February 28th transmission.
[00:06:40.731 --> 00:06:41.792]  I am your host, Alex Jones.
[00:06:41.832 --> 00:06:46.755]  And President Trump, as we speak, is giving his speech in Florida at CPAC.
[00:06:46.875 --> 00:06:53.399]  And the controlled corporate press, the chi-coms, the Democratic Party, the enemies of America, have tried to get the event cancelled.
[00:06:54.420 --> 00:06:58.222]  They have tried to boycott Hyatt for even allowing thought criminals to meet.
[00:06:59.023 --> 00:07:02.045]  Not content to ban President Trump's speech.
[00:07:03.254 --> 00:07:04.054]  Off of Twitter.
[00:07:04.394 --> 00:07:07.215]  Yes, they banned the CPAC live feeds.
[00:07:07.255 --> 00:07:11.677]  We have feeds at InfoWars.com in the headline article.
[00:07:12.337 --> 00:07:15.618]  Sunday live, watch Trump deliver historic CPAC speech 2021.
[00:07:19.537 --> 00:07:22.219]  Right here on the Alex Jones Show, we have that live feed right below.
[00:07:22.259 --> 00:07:26.563]  We'd rather just see that uninterrupted, but we're here playing excerpts of it throughout the next two hours.
[00:07:26.983 --> 00:07:33.229]  Again, he's been speaking about 15 minutes, but we're just following along and pausing it as we go to break and then coming back and giving commentary.
[00:07:34.590 --> 00:07:35.491]  But let's do this first.
[00:07:35.551 --> 00:07:39.374]  Let's play Joe Biden, who's surrogate.
[00:07:41.584 --> 00:07:44.346]  Chuckie Schumer said Texas got what it deserved.
[00:07:44.386 --> 00:07:53.853]  He hopes we've learned our lesson that we're just idiots and that we can't supply our own power and that we need him, someone that's managed New York into the ground, to run our lives.
[00:07:53.933 --> 00:08:04.682]  Even though we have the Department of Energy document with the governor begging for them to waive federal law and federal regulations to let us boost our power outputs ahead of the storm.
[00:08:05.362 --> 00:08:07.643]  They said no until the power started going out.
[00:08:08.084 --> 00:08:13.227]  When the grid was almost completely out, ERCOT begged again on Valentine's Day.
[00:08:13.247 --> 00:08:20.471]  And they allowed Texas graciously to up the power without fines or criminal charges.
[00:08:21.684 --> 00:08:22.505]  That's a fact.
[00:08:23.425 --> 00:08:28.950]  And it's a fact Obama shut down over 120 power plants in Texas, over 1,000 nationwide.
[00:08:29.210 --> 00:08:33.393]  And it's a fact without those clean burning coal facilities, we can't operate.
[00:08:33.613 --> 00:08:38.497]  Now the Democrats in California want to ban using natural gas to create power.
[00:08:39.940 --> 00:08:47.909]  We are being strangled, but China has thousands of dirty plants with no scrubbers and they have energy about one-third the cost of ours when it comes to electricity.
[00:08:48.249 --> 00:08:49.991]  So you build your factories there, not here.
[00:08:50.251 --> 00:08:50.872]  It's real simple.
[00:08:51.412 --> 00:08:59.701]  So here's Joe Biden doing his victory lap, surveying the devastation in Texas that he and his party helped engineer with their stupid windmills and their
[00:09:00.302 --> 00:09:03.563]  Shutdowns of our power plants, not even knowing where he is.
[00:09:03.603 --> 00:09:11.265]  And every time he speaks, last week's town hall, one where he said Communist China should invade Hong Kong and that having people in death camps is good.
[00:09:11.285 --> 00:09:11.805]  Remember that?
[00:09:12.726 --> 00:09:13.426]  He said, where am I?
[00:09:13.486 --> 00:09:14.746]  I said, where am I?
[00:09:15.026 --> 00:09:15.506]  Where am I?
[00:09:15.646 --> 00:09:18.567]  And his group was like, you're on CNN, sir.
[00:09:18.907 --> 00:09:24.669]  Well, here he is again in Houston Friday, not knowing what planet his little rotten ass is on.
[00:09:26.593 --> 00:09:28.235]  I think he's getting on a plane.
[00:09:28.875 --> 00:09:30.357]  He came in to see me last event.
[00:09:31.318 --> 00:09:45.435]  And Representatives Shirley Jackson Lee, Al Green, Sylvia Garcia, Lizzie Pinelli, excuse me, Pinell, and what am I doing here?
[00:09:46.161 --> 00:09:47.403]  I'm going to lose track here.
[00:09:47.723 --> 00:09:51.508]  And Mayor Turner... That's enough.
[00:09:51.548 --> 00:09:52.630]  He just goes on babbling.
[00:09:52.850 --> 00:09:56.475]  And we've all been there with our grandparents and great-grandparents and seen them act like this.
[00:09:57.036 --> 00:09:59.279]  And they're usually dead within a few years once their brain's like this.
[00:09:59.359 --> 00:10:02.783]  So, that's who the globalists put in on purpose, a total puppet they control.
[00:10:03.584 --> 00:10:11.390]  Now let's go to the real president who won in a landslide when they closed the polls and stopped the vote counting in those six states.
[00:10:11.850 --> 00:10:14.792]  He won by two points, three points, four points, five points, six points.
[00:10:15.493 --> 00:10:18.115]  Double, triple, quadruple his margin in battleground states before.
[00:10:18.415 --> 00:10:21.638]  Bigger margins in states like Texas and Florida than he got four years ago.
[00:10:22.198 --> 00:10:23.119]  You know the rest of the story.
[00:10:24.226 --> 00:10:33.568]  But then magically those magic spikes happened as the vans were pulled up and generally Chinese nationals got out, had their swipe cards, went in and it was a big victory.
[00:10:33.868 --> 00:10:36.389]  And witnesses that saw it said they were all scanned the same.
[00:10:37.589 --> 00:10:44.351]  In Pennsylvania and Michigan and other states, it was voted for no one but the presidency and Senate races.
[00:10:44.771 --> 00:10:45.531]  That's all they cared about.
[00:10:45.691 --> 00:10:46.451]  Senate and presidency.
[00:10:46.471 --> 00:10:47.031]  Just get that done.
[00:10:48.212 --> 00:10:49.152]  The Senate and the presidency.
[00:10:49.312 --> 00:10:50.232]  The Senate and the presidency.
[00:10:50.432 --> 00:10:51.473]  The Senate and the presidency.
[00:10:52.393 --> 00:10:52.733]  Remember the
[00:10:53.706 --> 00:10:58.789]  USPS driver, he had all these big boxes of ballots, he looks in it, and it's all for Joe Biden?
[00:10:59.269 --> 00:11:01.790]  And it's all done by a computer, not by a pen or a pencil?
[00:11:03.431 --> 00:11:06.112]  Oh, there's no evidence, but no one's allowed to say there's evidence either!
[00:11:06.132 --> 00:11:09.514]  Oh, you don't have a right to say it or you'll be taken off the internet!
[00:11:09.674 --> 00:11:11.635]  You'll lose your radio show, we're all told!
[00:11:12.355 --> 00:11:13.676]  You're not supposed to ask questions!
[00:11:15.638 --> 00:11:19.002]  I love what the CEO of Goya Foods just said at CPAC.
[00:11:19.042 --> 00:11:35.258]  He said President Trump is the quote legitimate and still acting president during CPAC speech and we are following along with the speech about 15 minutes behind again where he's actually yet we'll play most of it here tonight with my commentary but let's go ahead and get to five minutes or so before we go to break of the president's beginning of a speech.
[00:11:44.688 --> 00:11:48.191]  Our movement of proud hard-working, and you know what this is?
[00:11:48.271 --> 00:11:54.196]  The hardest-working people, hard-working American patriots, is just getting started.
[00:11:55.016 --> 00:11:57.458]  And in the end, we will win.
[00:11:57.478 --> 00:11:58.379]  We will win.
[00:11:58.639 --> 00:11:59.019]  Yes!
[00:12:00.260 --> 00:12:01.121]  Never surrender!
[00:12:01.842 --> 00:12:03.523]  We've been doing a lot of winning.
[00:12:04.884 --> 00:12:13.671]  As we gather this week, we're in the middle of a historic struggle for America's future, America's culture, and America's institutions.
[00:12:14.395 --> 00:12:16.957]  Borders and most cherished principles.
[00:12:17.917 --> 00:12:26.502]  Our security, our prosperity and our very identity as Americans is at stake, like perhaps at no other time.
[00:12:27.663 --> 00:12:36.108]  So no matter how much the Washington establishment and the powerful special interests may want to silence us, let there be no doubt
[00:12:37.259 --> 00:12:43.201]  We will be victorious and America will be stronger and greater than ever before.
[00:12:43.941 --> 00:12:44.381]  Yes!
[00:12:45.162 --> 00:12:45.562]  Yes!
[00:12:45.642 --> 00:12:46.842]  We will defeat the globalists!
[00:12:49.343 --> 00:12:53.164]  I want to thank my great friends Matt and Mercedes Schlapp.
[00:12:55.665 --> 00:12:56.505]  Matt, thank you.
[00:12:57.105 --> 00:12:57.525]  Thank you.
[00:12:57.605 --> 00:12:59.086]  Mercedes, thank you very much.
[00:12:59.855 --> 00:13:03.957]  And the American Conservative Union for hosting this extraordinary event.
[00:13:03.977 --> 00:13:05.877]  They're talking about it all over the world, Matt.
[00:13:05.897 --> 00:13:07.698]  I know you don't like that, but that's okay.
[00:13:08.799 --> 00:13:09.939]  All over the world.
[00:13:09.959 --> 00:13:15.141]  I also want to pay my love and respect to the great Rush Limbaugh.
[00:13:17.002 --> 00:13:17.642]  Absolutely.
[00:13:18.502 --> 00:13:19.743]  Bon voyage, Rush.
[00:13:20.003 --> 00:13:20.623]  Happy trails.
[00:13:23.384 --> 00:13:24.785]  Rush wasn't perfect, was pro-America.
[00:13:24.805 --> 00:13:25.845]  Believe the country.
[00:13:26.285 --> 00:13:27.866]  Who is watching closely.
[00:13:29.799 --> 00:13:35.141]  And smiling down on us, he's watching, and he's loving it, and he loves Catherine.
[00:13:35.321 --> 00:13:36.961]  Catherine, thank you for being here.
[00:13:37.041 --> 00:13:37.582]  So great.
[00:13:37.682 --> 00:13:38.562]  Thank you, Catherine.
[00:13:39.002 --> 00:13:41.223]  He loved you, Catherine, I will tell you that.
[00:13:43.424 --> 00:13:44.344]  So fantastic.
[00:13:44.364 --> 00:13:45.624]  Thank you, Catherine, very much.
[00:13:46.605 --> 00:13:53.087]  To each and every one of you here at CPAC, I am more grateful to you than you will ever know.
[00:13:54.013 --> 00:14:02.319]  We are gathered this afternoon to talk about the future of our movement, the future of our party, and the future of our beloved country.
[00:14:03.240 --> 00:14:17.391]  For the next four years, the brave Republicans in this room will be at the heart of the effort to oppose the radical Democrats, the fake news media, and their toxic cancel culture.
[00:14:17.451 --> 00:14:19.092]  Something new to our ears.
[00:14:19.192 --> 00:14:20.153]  Cancel culture.
[00:14:21.064 --> 00:14:26.526]  And I want you to know that I'm going to continue to fight right by your side.
[00:14:27.107 --> 00:14:31.508]  We will do what we've done right from the beginning, which is to win.
[00:14:33.389 --> 00:14:35.350]  We're not starting new parties.
[00:14:38.311 --> 00:14:41.372]  You know, they kept saying, he's going to start a brand new party.
[00:14:42.253 --> 00:14:43.773]  We have the Republican Party.
[00:14:43.793 --> 00:14:47.295]  It's going to unite and be stronger than ever before.
[00:14:47.515 --> 00:14:49.296]  I am not starting a new party.
[00:14:49.336 --> 00:14:49.836]  Yes.
[00:14:50.526 --> 00:14:51.626]  That was fake news.
[00:14:52.867 --> 00:14:53.587]  Fake news.
[00:14:53.667 --> 00:14:53.867]  No.
[00:14:53.887 --> 00:14:55.788]  Wouldn't that be brilliant?
[00:14:55.808 --> 00:15:00.189]  Let's start a new party and let's divide our vote so that you can never win.
[00:15:00.250 --> 00:15:01.710]  No, we're not interested in that.
[00:15:01.830 --> 00:15:03.631]  No, we have tremendous
[00:15:05.106 --> 00:15:08.908]  Mr. McLaughlin just gave me numbers that nobody's ever heard of before.
[00:15:08.988 --> 00:15:10.668]  More popular than anybody.
[00:15:10.688 --> 00:15:11.409]  That's all of us.
[00:15:11.509 --> 00:15:12.829]  It's all of us.
[00:15:37.108 --> 00:15:37.809]  They're in deep trouble.
[00:15:38.369 --> 00:15:41.473]  And I've got some other really good news for you coming up.
[00:15:41.653 --> 00:15:48.481]  All over international news, they are calling the Great Reset and the UN a criminal world anti-human extermination operation.
[00:15:48.921 --> 00:15:53.186]  Mainstream news is calling it a global takeover extermination operation.
[00:15:53.967 --> 00:15:57.050]  I mean, people are getting the full horror and so we can beat it.
[00:15:57.671 --> 00:16:00.376]  So, InfoWars is becoming more mainstream than ever, folks.
[00:16:00.736 --> 00:16:02.780]  That's why they want to shut everybody down, because we have the truth.
[00:16:03.120 --> 00:16:04.703]  And you guys are incredible keeping us on air.
[00:16:04.983 --> 00:16:07.768]  But we're literally riding the talking points for the global resistance.
[00:16:08.088 --> 00:16:09.150]  This operation is.
[00:16:09.410 --> 00:16:10.492]  So, thank you for your prayers.
[00:16:10.672 --> 00:16:11.995]  We're doing it all together.
[00:16:13.086 --> 00:16:13.686]  Stay with us.
[00:16:48.290 --> 00:16:56.636]  Make no mistake, President Trump won the election in a landslide.
[00:16:56.676 --> 00:16:57.597]  The evidence is overwhelming.
[00:16:58.177 --> 00:17:06.203]  And make no mistake, he went to bat for America and the one-sided deals with the globalists shipped all of our jobs to Communist China in the last 30 years.
[00:17:06.823 --> 00:17:07.924]  And he reversed it overnight.
[00:17:07.964 --> 00:17:08.305]  He cut
[00:17:09.145 --> 00:17:12.946]  Drug prices by two-thirds on average, and now it's all been reversed.
[00:17:13.326 --> 00:17:25.871]  And they're shutting down power plants again, and the stock market's starting to go down, and the dollar's starting to fail, and the CFR is in every publication they put out saying, America's over, America's done, don't invest here.
[00:17:26.251 --> 00:17:29.592]  And that represents the ruling class of Republicans and Democratic Party.
[00:17:30.632 --> 00:17:35.534]  And we have a major inroad, we have a giant beachhead in the populist Trump movement.
[00:17:36.681 --> 00:17:43.064]  That Infowars and you and others built the liberty movement that was already dormant in this country that's existed since 1776.
[00:17:43.164 --> 00:17:51.649]  And so Trump rode in on that wave, he made mistakes, he was surrounded in the swamp, but they hated his ass because of his rhetoric and his actions on trade.
[00:17:52.910 --> 00:17:57.312]  And they are now trying to totally suppress him because they want to suppress you.
[00:17:57.352 --> 00:17:58.293]  They are so scared.
[00:17:59.573 --> 00:18:00.394]  But it's not suppressed.
[00:18:00.933 --> 00:18:09.453]  He's well into his speech now, we're just following along behind, playing excerpts, and the full speech is again live at InfoWars.com and NewsWars.com.
[00:18:09.733 --> 00:18:10.114]  Remember,
[00:18:11.257 --> 00:18:13.238]  The system does not want you to hear this.
[00:18:13.619 --> 00:18:14.960]  They're fighting to stop it.
[00:18:15.000 --> 00:18:16.601]  So you are the amplifiers.
[00:18:17.121 --> 00:18:19.162]  You are the people that carry the ball down the field.
[00:18:19.503 --> 00:18:25.287]  Share the live links now for man.video, Infowars.com, and tell folks about those local stations you're listening to.
[00:18:25.427 --> 00:18:26.568]  It is beyond critical.
[00:18:26.608 --> 00:18:27.969]  If you don't do it, we'll lose.
[00:18:28.229 --> 00:18:29.189]  If you do it, we'll win.
[00:18:29.510 --> 00:18:30.270]  You've been doing it.
[00:18:30.310 --> 00:18:31.511]  We're starting to win globally.
[00:18:31.731 --> 00:18:34.133]  I'll cover that next hour, but let's go right now.
[00:18:34.733 --> 00:18:35.614]  Let's go back to the present.
[00:18:37.284 --> 00:18:39.687]  Those are great numbers and I want to thank you very much.
[00:18:39.707 --> 00:18:40.848]  Those are incredible numbers.
[00:18:40.908 --> 00:18:43.131]  I came here and he was giving me 95%, 97%, 92%.
[00:18:47.556 --> 00:18:51.120]  I said they're great and I want to thank everybody in this room and everybody else.
[00:18:51.140 --> 00:18:53.303]  That's 90 plus percent of Republicans say he's the leader.
[00:18:55.813 --> 00:18:58.535]  Thank you.
[00:18:58.735 --> 00:19:05.018]  We will be united and strong like never before.
[00:19:05.078 --> 00:19:13.022]  We will fight the onslaught of radicalism, socialism, and indeed it all leads to communism once and for all.
[00:19:13.042 --> 00:19:13.983]  That's what it leads to.
[00:19:14.163 --> 00:19:14.583]  Absolutely.
[00:19:14.823 --> 00:19:18.805]  You'll be hearing more and more about that as we go along, but that's what it leads to.
[00:19:18.905 --> 00:19:19.385]  You know that.
[00:19:20.486 --> 00:19:24.288]  We all knew that the Biden administration was going to be bad.
[00:19:24.972 --> 00:19:30.716]  But none of us even imagined just how bad they would be and how far left they would go.
[00:19:30.776 --> 00:19:32.036]  He never talked about this.
[00:19:32.857 --> 00:19:34.478]  We would have those wonderful debates.
[00:19:34.518 --> 00:19:35.879]  He would never talk about this.
[00:19:36.159 --> 00:19:38.420]  We didn't know what the hell he was talking about, actually.
[00:19:44.304 --> 00:19:45.965]  His campaign was all lies.
[00:19:46.025 --> 00:19:46.985]  Talked about energy.
[00:19:47.045 --> 00:19:49.927]  I thought, I said, you know, this guy actually, he's okay with energy.
[00:19:49.967 --> 00:19:51.228]  He wasn't okay with energy.
[00:19:51.829 --> 00:19:53.270]  Wants to put you all out of business?
[00:19:53.310 --> 00:19:54.471]  He's not okay with energy.
[00:19:54.491 --> 00:19:55.532]  He wants windmills.
[00:19:55.632 --> 00:19:56.332]  The windmills.
[00:19:57.513 --> 00:20:00.075]  The windmills that don't work when you need them.
[00:20:01.495 --> 00:20:06.819]  Joe Biden has had the most disastrous first month of any president in modern history.
[00:20:06.839 --> 00:20:07.339]  That's true.
[00:20:07.379 --> 00:20:08.820]  I don't think ever.
[00:20:08.960 --> 00:20:09.761]  He can't even talk.
[00:20:09.861 --> 00:20:17.166]  Already the Biden administration has proven that they are anti-jobs, anti-family,
[00:20:17.888 --> 00:20:23.871]  Anti-borders, anti-energy, anti-women, and anti-science.
[00:20:24.831 --> 00:20:27.572]  That's right, they say men can compete in women's sports and go in your daughter's bathroom.
[00:20:28.412 --> 00:20:35.295]  In just one short month, we have gone from America first to America last.
[00:20:35.796 --> 00:20:36.936]  You think about it, right?
[00:20:37.156 --> 00:20:38.037]  America last.
[00:20:38.577 --> 00:20:38.837]  Oh yeah?
[00:20:39.097 --> 00:20:43.779]  There's no better example than the new and horrible crisis on our southern border.
[00:20:44.778 --> 00:20:46.078]  We did such a good job.
[00:20:46.178 --> 00:20:47.239]  It was all worth it.
[00:20:47.299 --> 00:20:51.840]  Actually, Biden went and told the G7 that we suck.
[00:20:53.401 --> 00:20:54.701]  He said, no more America first.
[00:20:54.721 --> 00:20:59.043]  Six weeks ago, we had created the most secure border in US history.
[00:21:02.624 --> 00:21:06.365]  We had built almost 500 miles of great border wall.
[00:21:09.289 --> 00:21:14.432]  That helped us with these numbers because once it's up, you know, they used to say a wall doesn't work.
[00:21:14.492 --> 00:21:15.913]  Well, you know what I've always said?
[00:21:16.553 --> 00:21:17.694]  Walls and wheels.
[00:21:17.794 --> 00:21:19.475]  Those are two things that will never change.
[00:21:20.677 --> 00:21:22.098]  The wall has been amazing.
[00:21:22.118 --> 00:21:23.739]  Yeah, why'd they put a wall up around the Capitol?
[00:21:23.759 --> 00:21:25.039]  ...sections of it to complete.
[00:21:25.079 --> 00:21:26.100]  They don't want to complete it.
[00:21:26.620 --> 00:21:29.801]  They don't want to complete little sections in certain little areas.
[00:21:29.861 --> 00:21:34.564]  They don't want to complete, but it's had an impact that nobody would have even believed.
[00:21:34.604 --> 00:21:35.244]  And now caravans are coming.
[00:21:35.264 --> 00:21:45.629]  It's amazing, considering that the Democrats' number one priority was to make sure that the wall would never, ever get built, would never, ever happen, would never get financed.
[00:21:45.669 --> 00:21:46.630]  We got it financed.
[00:21:46.670 --> 00:21:49.031]  We ended catch and release, ended
[00:21:49.887 --> 00:21:55.570]  Don't you love how almost no one's wearing masks in the CPAC event?
[00:21:56.871 --> 00:21:58.952]  Even though they've been haranguing them to?
[00:21:59.052 --> 00:21:59.832]  Isn't that great?
[00:22:00.293 --> 00:22:01.093]  These are good people!
[00:22:01.173 --> 00:22:03.114]  These are the smart people!
[00:22:18.158 --> 00:22:23.580]  Into a self-inflicted humanitarian and national security disaster.
[00:22:24.360 --> 00:22:32.062]  By recklessly eliminating our border, security measures, controls, all of the things that we put into place.
[00:22:32.082 --> 00:22:32.983]  This is Florida's standout.
[00:22:33.223 --> 00:22:40.625]  Joe Biden has triggered a massive flood of illegal immigration into our country, the likes of which we have never seen before.
[00:22:40.685 --> 00:22:42.986]  They're coming up by the tens of thousands.
[00:22:43.886 --> 00:22:46.327]  They're all coming to take advantage of
[00:22:47.341 --> 00:22:52.365]  The things that he said that's luring everybody to come to America.
[00:22:53.927 --> 00:22:55.348]  And we're one country.
[00:22:55.608 --> 00:23:00.092]  We can't afford the problems of the world as much as we'd love to.
[00:23:00.192 --> 00:23:02.114]  We'd love to help, but we can't do that.
[00:23:02.394 --> 00:23:04.576]  Sure as hell can't do it with Biden cutting the electricity off.
[00:23:07.170 --> 00:23:23.839]  Perhaps worst of all, Joe Biden's decision to cancel border security has single-handedly launched a youth migrant crisis that is enriching child smugglers, vicious criminal cartels, and some of the most evil people on the planet.
[00:23:24.119 --> 00:23:25.160]  You see it every day.
